
					Hê-bơ-rơ 1				|
Đức Thánh Linh cũng làm chứng cho chúng ta như vậy; vì đã phán rằng:|聖 靈 也 對 我 們 作 見 證 ． 因 為 他 既 已 說 過 、
Chúa phán: Nầy là giao ước ta lập với chúng nó Sau những ngày đó, Ta sẽ để luật pháp ta vào lòng chúng nó Và ghi tạc nơi trí khôn,|『 主 說 、 那 些 日 子 以 後 、 我 與 他 們 所 立 的 約 乃 是 這 樣 ． 我 要 將 我 的 律 法 寫 在 他 們 心 上 、 又 要 放 在 他 們 的 裡 面 。 』
Lại phán: Ta sẽ chẳng còn nhớ đến tội lỗi gian ác của chúng nó nữa.|以 後 就 說 、 『 我 不 再 記 念 他 們 的 罪 愆 、 和 他 們 的 過 犯 。 』
Bởi hễ có sự tha thứ thì không cần dâng của lễ vì tội lỗi nữa.|這 些 罪 過 既 已 赦 免 、 就 不 用 再 為 罪 獻 祭 了 。
Hỡi anh em, vì chúng ta nhờ huyết Đức Chúa Jêsus được dạn dĩ vào nơi rất thánh,|弟 兄 們 、 我 們 既 因 耶 穌 的 血 、 得 以 坦 然 進 入 至 聖 所 、
bởi đường mới và sống mà Ngài đã mở ngang qua cái màn, nghĩa là ngang qua xác Ngài,|是 藉 著 他 給 我 們 開 了 一 條 又 新 又 活 的 路 從 幔 子 經 過 、 這 幔 子 就 是 他 的 身 體 ．
lại vì chúng ta có một thầy tế lễ lớn đã lập lên cai trị nhà Đức Chúa Trời,|又 有 一 位 大 祭 司 治 理 　 神 的 家 ．
nên chúng ta hãy lấy lòng thật thà với đức tin đầy dẫy trọn vẹn, lòng được tưới sạch khỏi lương tâm xấu, thân thể rửa bằng nước trong, mà đến gần Chúa.|並 我 們 心 中 天 良 的 虧 欠 已 經 灑 去 、 身 體 用 清 水 洗 淨 了 、 就 當 存 著 誠 心 、 和 充 足 的 信 心 、 來 到 　 神 面 前 ．
Hãy cầm giữ sự làm chứng về điều trông cậy chúng ta chẳng chuyển lay, vì Đấng đã hứa cùng chúng ta là thành tín.|也 要 堅 守 我 們 所 承 認 的 指 望 、 不 至 搖 動 ． 因 為 那 應 許 我 們 的 是 信 實 的 ．
Ai nấy hãy coi sóc nhau để khuyên giục về lòng yêu thương và việc tốt lành;|又 要 彼 此 相 顧 、 激 發 愛 心 、 勉 勵 行 善 。
chớ bỏ qua sự nhóm lại như mấy kẻ quen làm, nhưng phải khuyên bảo nhau, và hễ anh em thấy ngày ấy hầu gần chừng nào, thì càng phải làm như vậy chừng nấy.|你 們 不 可 停 止 聚 會 、 好 像 那 些 停 止 慣 了 的 人 、 倒 要 彼 此 勸 勉 ． 既 知 道 〔 原 文 作 看 見 〕 那 日 子 臨 近 、 就 更 當 如 此 。
Vì nếu chúng ta đã nhận biết lẽ thật rồi, mà lại cố ý phạm tội, thì không còn có tế lễ chuộc tội nữa,|因 為 我 們 得 知 真 道 以 後 、 若 故 意 犯 罪 、 贖 罪 的 祭 就 再 沒 有 了 ．
nhưng chỉ có sự đợi chờ kinh khiếp về sự phán xét, và lửa hừng sẽ đốt cháy kẻ bội nghịch mà thôi.|惟 有 戰 懼 等 候 審 判 和 那 燒 滅 眾 敵 人 的 烈 火 。
Ai đã phạm luật pháp Môi-se, nếu có hai ba người làm chứng, thì chết đi không thương xót,|人 干 犯 摩 西 的 律 法 、 憑 兩 三 個 見 證 人 、 尚 且 不 得 憐 恤 而 死 ．
huống chi kẻ giày đạp Con Đức Chúa Trời, coi huyết của giao ước, tức là huyết mà mình nhờ nên thánh, là ô uế, lại khinh lờn Đức Thánh Linh ban ơn, thì anh em há chẳng tưởng rằng người ấy đáng bị hình rất nghiêm đoán phạt hay sao?|何 況 人 踐 踏 　 神 的 兒 子 、 將 那 使 他 成 聖 之 約 的 血 當 作 平 常 、 又 褻 慢 施 恩 的 聖 靈 、 你 們 想 、 他 要 受 的 刑 罰 該 怎 樣 加 重 呢 。
Vì chúng ta biết Đấng đã phán rằng: Sự trả thù thuộc về ta; ta sẽ báo ứng, ấy là lời Chúa phán. Lại rằng: Chúa sẽ xét đoán dân mình.|因 為 我 們 知 道 誰 說 、 『 伸 冤 在 我 、 我 必 報 應 。 』 又 說 、 『 主 要 審 判 他 的 百 姓 。 』
Sa vào tay Đức Chúa Trời hằng sống là sự đáng kinh khiếp thay!|落 在 永 生 　 神 的 手 裡 、 真 是 可 怕 的 。
Hãy nhớ lại những lúc ban đầu đó, anh em đã được soi sáng rồi, bèn chịu cơn chiến trận lớn về những sự đau đớn:|你 們 要 追 念 往 日 、 蒙 了 光 照 以 後 、 所 忍 受 大 爭 戰 的 各 樣 苦 難 ．
phần thì chịu sỉ nhục, gặp gian nan, như làm trò cho thiên hạ xem, phần thì chia khổ với những kẻ bị đối đãi đồng một cách.|一 面 被 毀 謗 、 遭 患 難 、 成 了 戲 景 、 叫 眾 人 觀 看 ． 一 面 陪 伴 那 些 受 這 樣 苦 難 的 人 。
Vì anh em đã thương xót kẻ bị tù, và vui lòng chịu của cải mình bị cướp, bởi biết mình có của cải quí hơn hằng còn luôn.|因 為 你 們 體 恤 了 那 些 被 捆 鎖 的 人 、 並 且 你 們 的 家 業 被 人 搶 去 、 也 甘 心 忍 受 、 知 道 自 己 有 更 美 長 存 的 家 業 。
Vậy chớ bỏ lòng dạn dĩ mình, vốn có một phần thưởng lớn đã để dành cho.|所 以 你 們 不 可 丟 棄 勇 敢 的 心 ． 存 這 樣 的 心 必 得 大 賞 賜 。
Vì anh em cần phải nhịn nhục, hầu cho khi đã làm theo ý muốn Đức Chúa Trời rồi, thì được như lời đã hứa cho mình.|你 們 必 須 忍 耐 、 使 你 們 行 完 了 　 神 的 旨 意 、 就 可 以 得 著 所 應 許 的 。
Còn ít lâu, thật ít lâu nữa, Thì Đấng đến sẽ đến; Ngài không chậm trễ đâu.|『 因 為 還 有 一 點 點 時 候 、 那 要 來 的 就 來 、 並 不 遲 延 。
Người công bình của ta sẽ cậy đức tin mà sống, Nhưng nếu lui đi thì linh hồn ta chẳng lấy làm đẹp chút nào.|只 是 義 人 必 因 信 得 生 、 〔 義 人 有 古 卷 作 我 的 義 人 〕 他 若 退 後 、 我 心 裡 就 不 喜 歡 他 。 』
Về phần chúng ta, nào phải là kẻ lui đi cho hư mất đâu, bèn là kẻ giữ đức tin cho linh hồn được cứu rỗi.|我 們 卻 不 是 退 後 入 沉 淪 的 那 等 人 、 乃 是 有 信 心 以 致 靈 魂 得 救 的 人 。

					Hê-bơ-rơ 11				|
						希伯來書 11					
Vả, đức tin là sự biết chắc vững vàng của những điều mình đương trông mong là bằng cớ của những điều mình chẳng xem thấy.|信 就 是 所 望 之 事 的 實 底 、 是 未 見 之 事 的 確 據 。
Ay là nhờ đức tin mà các đấng thuở xưa đã được lời chứng tốt.|古 人 在 這 信 上 得 了 美 好 的 證 據 。
Bởi đức tin, chúng ta biết rằng thế gian đã làm nên bởi lời của Đức Chúa Trời, đến nỗi những vật bày ra đó đều chẳng phải từ vật thấy được mà đến.|我 們 因 著 信 、 就 知 道 諸 世 界 是 藉 　 神 話 造 成 的 ． 這 樣 、 所 看 見 的 、 並 不 是 從 顯 然 之 物 造 出 來 的 。
Bởi đức tin, A-bên đã dâng cho Đức Chúa Trời một tế lễ tốt hơn của Ca-in, và được xưng công bình, vì Đức Chúa Trời làm chứng về người rằng Ngài nhậm lễ vật ấy; lại cũng nhờ đó dầu người chết rồi, hãy còn nói.|亞 伯 因 著 信 獻 祭 與 　 神 、 比 該 隱 所 獻 的 更 美 、 因 此 便 得 了 稱 義 的 見 證 、 就 是 　 神 指 著 他 禮 物 作 的 見 證 ． 他 雖 然 死 了 、 卻 因 這 信 仍 舊 說 話 。
Bởi đức tin, Hê-nóc được cất lên và không hề thấy sự chết; người ta không thấy người nữa, vì Đức Chúa Trời đã tiếp người lên. Bởi chưng trước khi được tiếp lên, người đã được chứng rằng mình ở vừa lòng Đức Chúa Trời rồi.|以 諾 因 著 信 被 接 去 、 不 至 於 見 死 ． 人 也 找 不 著 他 、 因 為 　 神 已 經 把 他 接 去 了 ． 只 是 他 被 接 去 以 先 、 已 經 得 了 　 神 喜 悅 他 的 明 證 。
Vả, không có đức tin, thì chẳng hề có thế nào ở cho đẹp ý Ngài; vì kẻ đến gần Đức Chúa Trời phải tin rằng có Đức Chúa Trời, và Ngài là Đấng hay thưởng cho kẻ tìm kiếm Ngài.|人 非 有 信 、 就 不 能 得 　 神 的 喜 悅 ． 因 為 到 　 神 面 前 來 的 人 、 必 須 信 有
Bởi đức tin, Nô-ê được Chúa mách bảo cho về những việc chưa thấy, và người thành tâm kính sợ, đóng một chiếc tàu để cứu nhà mình; bởi đó người định tội thế gian, và trở nên kẻ kế tự của sự công bình đến từ đức tin vậy.|挪 亞 因 著 信 、 既 蒙 　 神 指 示 他 未 見 的 事 、 動 了 敬 畏 的 心 、 豫 備 了 一 隻 方 舟 、 使 他 全 家 得 救 ． 因 此 就 定 了 那 世 代 的 罪 、 自 己 也 承 受 了 那 從 信 而 來 的 義 。
Bởi đức tin, Ap-ra-ham vâng lời Chúa gọi, đi đến xứ mình sẽ nhận làm cơ nghiệp: người đi mà không biết mình đi đâu.|亞 伯 拉 罕 因 著 信 、 蒙 召 的 時 候 、 就 遵 命 出 去 、 往 將 來 要 得 為 業 的 地 方 去 ． 出 去 的 時 候 、 還 不 知 往 那 裡 去 。
Bởi đức tin, người kiều ngụ trong xứ đã hứa cho mình, như trên đất ngoại quốc, ở trong các trại, cũng như Y-sác và Gia-cốp, là kẻ đồng kế tự một lời hứa với người.|他 因 著 信 、 就 在 所 應 許 之 地 作 客 、 好 像 在 異 地 居 住 帳 棚 、 與 那 同 蒙 一 個 應 許 的 以 撒 、 雅 各 一 樣 。
Vì người chờ đợi một thành có nền vững chắc, mà Đức Chúa Trời đã xây cất và sáng lập.|因 為 他 等 候 那 座 有 根 基 的 城 、 就 是 　 神 所 經 營 所 建 造 的 。
Cũng bởi đức tin mà Sa-ra dẫu có tuổi còn có sức sanh con cái được, vì người tin rằng Đấng hứa cho mình điều đó là thành tín.|因 著 信 、 連 撒 拉 自 己 、 雖 然 過 了 生 育 的 歲 數 、 還 能 懷 孕 ． 因 他 以 為 那 應 許 他 的 是 可 信 的 ．
Cũng vì đó mà chỉ một người, lại là một người già yếu, sanh ra muôn vàn con cháu, đông như sao trên trời, như cát bãi biển, không thể đếm được.|所 以 從 一 個 彷 彿 已 死 的 人 就 生 出 子 孫 、 如 同 天 上 的 星 那 樣 眾 多 、 海 邊 的 沙 那 樣 無 數 。
Hết thảy những người đó đều chết trong đức tin, chưa nhận lãnh những điều hứa cho mình; chỉn trông thấy và chào mừng những điều đó từ đằng xa, xưng mình là kẻ khách và bộ hành trên đất.|這 些 人 都 是 存 著 信 心 死 的 、 並 沒 有 得 著 所 應 許 的 、 卻 從 遠 處 望 見 、 且 歡 喜 迎 接 、 又 承 認 自 己 在 世 上 是 客 旅 、 是 寄 居 的 。
Những kẻ nói như thế, tỏ rõ rằng mình đương đi tìm nơi quê hương.|說 這 樣 話 的 人 、 是 表 明 自 己 要 找 一 個 家 鄉 。
Ví thử họ đã tưởng đến nơi quê hương mà mình từ đó đi ra, thì cũng có ngày trở lại,|他 們 若 想 念 所 離 開 的 家 鄉 、 還 有 可 以 回 去 的 機 會 。
nhưng họ ham mến một quê hương tốt hơn, tức là quê hương ở trên trời; nên Đức Chúa Trời không hổ thẹn mà xưng mình là Đức Chúa Trời của họ, vì Ngài đã sắm sẵn cho họ một thành.|他 們 卻 羨 慕 一 個 更 美 的 家 鄉 、 就 是 在 天 上 的 ． 所 以 　 神 被 稱 為 他 們 的 　 神 、 並 不 以 為 恥 ． 因 為 他 已 經 給 他 們 豫 備 了 一 座 城 。
Bởi đức tin, Ap-ra-ham dâng Y-sác trong khi bị thử thách: người là kẻ đã nhận lãnh lời hứa, dâng con một mình,|亞 伯 拉 罕 因 著 信 、 被 試 驗 的 時 候 、 就 把 以 撒 獻 上 ． 這 便 是 那 歡 喜 領 受 應 許 的 、 將 自 己 獨 生 的 兒 子 獻 上 。
là về con đó mà Đức Chúa Trời có phán rằng: Ay bởi trong Y-sác mà người sẽ có một dòng dõi lấy tên ngươi mà kêu.|論 到 這 兒 子 曾 有 話 說 、 『 從 以 撒 生 的 纔 要 稱 為 你 的 後 裔 ． 』
Người tự nghĩ rằng Đức Chúa Trời cũng có quyền khiến kẻ chết sống lại; cũng giống như từ trong kẻ chết mà người lại được con mình.|他 以 為 　 神 還 能 叫 人 從 死 裡 復 活 ． 他 也 彷 彿 從 死 中 得 回 他 的 兒 子 來 。
Bởi đức tin, Y-sác chúc phước cho Gia-cốp và Ê-sau về những sự hầu đến.|以 撒 因 著 信 、 就 指 著 將 來 的 事 、 給 雅 各 以 掃 祝 福 。
Bởi đức tin, Gia-cốp lúc gần chết, chúc phước cho hai con của Giô-sép, và nương trên gậy mình mà lạy.|雅 各 因 著 信 、 臨 死 的 時 候 、 給 約 瑟 的 兩 個 兒 子 各 自 祝 福 、 扶 著 杖 頭 敬 拜 　 神 。
Bởi đức tin, Giô-sép lúc gần qua đời nói về việc con cháu Y-sơ-ra-ên sẽ đi ra, và truyền lịnh về hài cốt mình.|約 瑟 因 著 信 、 臨 終 的 時 候 、 題 到 以 色 列 族 將 來 要 出 埃 及 、 並 為 自 己 的 骸 骨 留 下 遺 命 。
Bởi đức tin, khi Môi-se mới sanh ra, cha mẹ người đem giấu đi ba tháng, vì thấy là một đứa con xinh tốt, không sợ chiếu mạng của vua.|摩 西 生 下 來 、 他 的 父 母 見 他 是 個 俊 美 的 子 、 就 因 著 信 把 他 藏 了 三 個 月 、 並 不 怕 王 命 。
Bởi đức tin, Môi-se lúc đã khôn lớn, bỏ danh hiệu mình là con trai của công chúa Pha-ra-ôn,|摩 西 因 著 信 、 長 大 了 就 不 肯 稱 為 法 老 女 兒 之 子 ．
đành cùng dân Đức Chúa Trời chịu hà hiếp hơn là tạm hưởng sự vui sướng của tội lỗi:|他 寧 可 和 　 神 的 百 姓 同 受 苦 害 、 也 不 願 暫 時 享 受 罪 中 之 樂 ．
người coi sự sỉ nhục về Đấng Christ là quí hơn của châu báu xứ Ê-díp-tô, vì người ngửa trông sự ban thưởng.|他 看 為 基 督 受 的 凌 辱 、 比 埃 及 的 財 物 更 寶 貴 ． 因 他 想 望 所 要 得 的 賞 賜 。
Bởi đức tin, người lìa xứ Ê-díp-tô không sợ vua giận; vì người đứng vững như thấy Đấng không thấy được.|他 因 著 信 、 就 離 開 埃 及 、 不 怕 王 怒 ． 因 為 他 恆 心 忍 耐 、 如 同 看 見 那 不 能 看 見 的 主 。
Bởi đức tin người giữ lễ Vượt Qua và làm phép rưới huyết, hầu cho đấng hủy diệt chẳng hề hại đến con đầu lòng dân Y-sơ-ra-ên.|他 因 著 信 、 就 守 逾 越 節 、 〔 守 或 作 立 〕 行 灑 血 的 禮 、 免 得 那 滅 長 子 的 臨 近 以 色 列 人 。
Bởi đức tin, dân Y-sơ-ra-ên vượt qua Biển đỏ như đi trên đất khô, còn người Ê-díp-tô thử đi qua, bị nuốt mất tại đó.|他 們 因 著 信 、 過 紅 海 如 行 乾 地 ． 埃 及 人 試 著 要 過 去 、 就 被 吞 滅 了 。
Bởi đức tin, các tường thành Giê-ri-cô đổ xuống, sau khi người ta đi vòng quanh bảy ngày.|以 色 列 人 因 著 信 、 圍 繞 耶 利 哥 城 七 日 、 城 牆 就 倒 塌 了 。
Bởi đức tin, kỵ nữ Ra-háp không chết với kẻ chẳng tin, vì nàng đã lấy ý tốt tiếp rước các kẻ do thám.|妓 女 喇 合 因 著 信 、 曾 和 和 平 平 的 接 待 探 子 、 就 不 與 那 些 不 順 從 的 人 一 同 滅 亡 。
Ta còn nói chi nữa? Vì nếu ta muốn nói về Ghê-đê-ôn, Ba-rác, Sam-sôn, Giép-thê, Đa-vít, Sa-mu-ên và các đấng tiên tri, thì không đủ thì giờ.|我 又 何 必 再 說 呢 ． 若 要 一 一 細 說 、 基 甸 、 巴 拉 、 參 孫 、 耶 弗 他 、 大 衛 、 撒 母 耳 、 和 眾 先 知 的 事 、 時 候 就 不 彀 了 。
Những người đó bởi đức tin đã thắng được các nước, làm sự công bình, được những lời hứa, bịt mồm sư tử,|他 們 因 著 信 、 制 伏 了 敵 國 、 行 了 公 義 、 得 了 應 許 、 堵 了 獅 子 的 口 。
tắt ngọn lửa hừng, lánh khỏi lưỡi gươm, thắng bịnh tật, tỏ sự bạo dạn nơi chiến tranh, khiến đạo binh nước thù chạy trốn|滅 了 烈 火 的 猛 勢 、 脫 了 刀 劍 的 鋒 刃 、 軟 弱 變 為 剛 強 、 爭 戰 顯 出 勇 敢 、 打 退 外 邦 的 全 軍 。
Có người đờn bà đã được người nhà mình chết sống lại, có kẻ bị hình khổ dữ tợn mà không chịu giải cứu, để được sự sống lại tốt hơn.|有 婦 人 得 自 己 的 死 人 復 活 、 又 有 人 忍 受 嚴 刑 、 不 肯 苟 且 得 釋 放 、 〔 釋 放 原 文 作 贖 〕 為 要 得 著 更 美 的 復 活 ．
Có kẻ khác chịu nhạo cười, roi vọt, lại cũng chịu xiềng xích, lao tù nữa.|又 有 人 忍 受 戲 弄 、 鞭 打 、 捆 鎖 、 監 禁 、 各 等 的 磨 煉 、
Họ đã bị ném đá, tra tấn, cưa xẻ; bị giết bằng lưỡi gươm; lưu lạc rày đây mai đó, mặc những da chiên da dê, bị thiếu thốn mọi đường, bị hà hiếp, ngược đãi,|被 石 頭 打 死 、 被 鋸 鋸 死 、 受 試 探 、 被 刀 殺 ． 披 著 綿 羊 山 羊 的 皮 各 處 奔 跑 、 受 窮 乏 、 患 難 、 苦 害 、
thế gian không xứng đáng cho họ ở, phải lưu lạc trong đồng vắng, trên núi trong hang, trong những hầm dưới đất.|在 曠 野 、 山 嶺 、 山 洞 、 地 穴 、 飄 流 無 定 ． 本 是 世 界 不 配 有 的 人 。
Hết thảy những người đó dầu nhơn đức tin đã được chứng tốt, song chưa hề nhận lãnh điều đã được hứa cho mình.|這 些 人 都 是 因 信 得 了 美 好 的 證 據 、 卻 仍 未 得 著 所 應 許 的 ．
Vì Đức Chúa Trời có sắm sẵn điều tốt hơn cho chúng ta, hầu cho ngoại chúng ta ra họ không đạt đến sự trọn vẹn được.|因 為 　 神 給 我 們 豫 備 了 更 美 的 事 、 叫 他 們 若 不 與 我 們 同 得 、 就 不 能 完 全 。

					Hê-bơ-rơ 12				|
						希伯來書 12					
Thế thì, vì chúng ta được nhiều người chứng kiến vây lấy như đám mây rất lớn, chúng ta cũng nên quăng hết gánh nặng và tội lỗi dễ vấn vương ta, lấy lòng nhịn nhục theo đòi cuộc chạy đua đã bày ra cho ta,|我 們 既 有 這 許 多 的 見 證 人 、 如 同 雲 彩 圍 著 我 們 、 就 當 放 下 各 樣 的 重 擔 、 脫 去 容 易 纏 累 我 們 的 罪 、 存 心 忍 耐 、 奔 那 擺 在 我 們 前 頭 的 路 程 、
nhìn xem Đức Chúa Jêsus, là cội rễ và cuối cùng của đức tin, tức là Đấng vì sự vui mừng đã đặt trước mặt mình, chịu lấy thập tự giá, khinh điều sỉ nhục, và hiện nay ngồi bên hữu ngai Đức Chúa Trời.|仰 望 為 我 們 信 心 創 始 成 終 的 耶 穌 ． 〔 或 作 仰 望 那 將 真 道 創 始 成 終 的 耶 穌 〕 他 因 那 擺 在 前 面 的 喜 樂 、 就 輕 看 羞 辱 、 忍 受 了 十 字 架 的 苦 難 、 便 坐 在 　 神 寶 座 的 右 邊 。
Vậy, anh em hãy nghĩ đến Đấng đã chịu sự đối nghịch của kẻ tội lỗi dường ấy, hầu cho khỏi bị mỏi mệt sờn lòng.|那 忍 受 罪 人 這 樣 頂 撞 的 、 你 們 要 思 想 、 免 得 疲 倦 灰 心 。
Anh em chống trả với tội ác còn chưa đến mỗi đổ huyết;|你 們 與 罪 惡 相 爭 、 還 沒 有 抵 擋 到 流 血 的 地 步 。
lại đã quên lời khuyên anh em như khuyên con, rằng: Hỡi con, chớ dể ngươi sự sửa phạt của Chúa, Và khi Chúa trách, chớ ngã lòng;|你 們 又 忘 了 那 勸 你 們 如 同 勸 兒 子 的 話 、 說 、 『 我 兒 、 你 不 可 輕 看 主 的 管 教 、 被 他 責 備 的 時 候 、 也 不 可 灰 心 ．
Vì Chúa sửa phạt kẻ Ngài yêu, Hễ ai mà Ngài nhận làm con, thì cho roi cho vọt.|因 為 主 所 愛 的 他 必 管 教 、 又 鞭 打 凡 所 收 納 的 兒 子 。 』
Ví bằng anh em chịu sửa phạt, ấy là Đức Chúa Trời đãi anh em như con, vì có người nào là con mà cha không sửa phạt?|你 們 所 忍 受 的 、 是 　 神 管 教 你 們 、 待 你 們 如 同 待 兒 子 ． 焉 有 兒 子 不 被 父 親 管 教 的 呢 。
nhưng nếu anh em được khỏi sự sửa phạt mà ai nấy cũng phải chịu, thì anh em là con ngoại tình, chớ không phải con thật.|管 教 原 是 眾 子 所 共 受 的 、 你 們 若 不 受 管 教 、 就 是 私 子 、 不 是 兒 子 了 。
Cha về phần xác sửa phạt, mà chúng ta còn kính sợ thay, huống chi Cha về phần hồn, chúng ta há chẳng càng nên vâng phục lắm để được sự sống sao?|再 者 、 我 們 曾 有 生 身 的 父 管 教 我 們 、 我 們 尚 且 敬 重 他 、 何 況 萬 靈 的 父 、 我 們 豈 不 更 當 順 服 他 得 生 麼 。
Vả, cha về phần xác theo ý mình mà sửa phạt chúng ta tạm thời, nhưng Đức Chúa Trời vì ích cho chúng ta mà sửa phạt, để khiến chúng ta được dự phần trong sự thánh khiết Ngài.|生 身 的 父 都 是 暫 隨 己 意 管 教 我 們 ． 惟 有 萬 靈 的 父 管 教 我 們 、 是 要 我 們 得 益 處 、 使 我 們 在 他 的 聖 潔 上 有 分 。
Thật các sự sửa phạt lúc đầu coi như một cớ buồn bã, chớ không phải sự vui mừng; nhưng về sau sanh ra bông trái công bình và bình an cho những kẻ đã chịu luyện tập như vậy.|凡 管 教 的 事 、 當 時 不 覺 得 快 樂 、 反 覺 得 愁 苦 ． 後 來 卻 為 那 經 練 過 的 人 、 結 出 平 安 的 果 子 、 就 是 義 ．
Vậy, hãy dở bàn tay yếu đuối của anh em lên, luôn cả đầu gối lỏng lẻo nữa.|所 以 你 們 要 把 下 垂 的 手 、 發 酸 的 腿 、 挺 起 來 ．
Khá làm đường thẳng cho chơn anh em theo, hầu cho kẻ nào què khỏi lạc đường mà lại được chữa lành nữa.|也 要 為 自 己 的 腳 把 道 路 修 直 了 、 使 瘸 子 不 至 歪 腳 、 反 得 痊 癒 。 〔 歪 腳 或 作 差 路 〕
Hãy cầu sự bình an với mọi người, cùng tìm theo sự nên thánh, vì nếu không nên thánh thì chẳng ai được thấy Đức Chúa Trời.|你 們 要 追 求 與 眾 人 和 睦 、 並 要 追 求 聖 潔 ． 非 聖 潔 沒 有 人 能 見 主 ．
Khá coi chừng kẻo có kẻ trật phần ân điển của Đức Chúa Trời, kẻo rễ đắng châm ra, có thể ngăn trở và làm ô uế phần nhiều trong anh em chăng.|又 要 謹 慎 、 恐 怕 有 人 失 了 　 神 的 恩 ． 恐 怕 有 毒 根 生 出 來 擾 亂 你 們 、 因 此 叫 眾 人 沾 染 污 穢 ．
Hãy coi chừng, trong anh em chớ có ai gian dâm, cũng đừng có ai khinh lờn như Ê-sau, chỉ vì một món ăn mà bán quyền con trưởng.|恐 怕 有 淫 亂 的 、 有 貪 戀 世 俗 如 以 掃 的 ． 他 因 一 點 食 物 把 自 己 長 子 的 名 分 賣 了 。
Thật vậy, anh em biết rằng đến sau, người muốn cha mình chúc phước cho, thì lại bị bỏ; vì dẫu người khóc lóc cầu xin, cũng chẳng đổi được ý cha mình đã định rồi.|後 來 想 要 承 受 父 所 祝 的 福 、 竟 被 棄 絕 、 雖 然 號 哭 切 求 、 卻 得 不 著 門 路 、 使 他 父 親 的 心 意 回 轉 、 這 是 你 們 知 道 的 。
Anh em chẳng tới gần một hòn núi mà người ta có thể rờ đến được, cũng chẳng đến gần lửa hừng, hoặc tối tăm, hoặc âm ế, hoặc gió dữ,|你 們 原 不 是 來 到 那 能 摸 的 山 、 此 山 有 火 焰 、 密 雲 、 黑 暗 、 暴 風 、
hoặc tiếng loa thổi vang, hoặc tiếng nói kinh khiếp đến nỗi ai nghe đều nài xin đừng nói với mình nữa;|角 聲 與 說 話 的 聲 音 ． 那 些 聽 見 這 聲 音 的 、 都 求 不 要 再 向 他 們 說 話 ．
vì họ không chịu nổi lời phán nầy: Dẫu loài thú vật tới gần núi nầy cũng sẽ bị ném đá.|因 為 他 們 當 不 起 所 命 他 們 的 話 、 說 、 『 靠 近 這 山 的 、 即 便 是 走 獸 、 也 要 用 石 頭 打 死 。 』
Lại cảnh trạng đó rất kinh khiếp, đến nỗi Môi-se nói rằng: Ta thật sợ sệt và run rẩy cả người.|所 見 的 極 其 可 怕 、 甚 至 摩 西 說 、 『 我 甚 是 恐 懼 戰 兢 。 』
Nhưng anh em đã tới gần núi Si-ôn, gần thành của Đức Chúa Trời hằng sống, tức là Giê-ru-sa-lem trên trời, gần muôn vàn thiên sứ nhóm lại,|你 們 乃 是 來 到 錫 安 山 、 永 生 　 神 的 城 邑 、 就 是 天 上 的 耶 路 撒 冷 ． 那 裡 有 千 萬 的 天 使 、
gần Hội thánh của những con trưởng được ghi tên trong các từng trời, gần Đức Chúa Trời, là quan án của mọi người, gần các linh hồn người nghĩa được vẹn lành,|有 名 錄 在 天 上 諸 長 子 之 會 所 共 聚 的 總 會 、 有 審 判 眾 人 的 　 神 、 和 被 成 全 之 義 人 的 靈 魂 、
gần Đức Chúa Jêsus, là Đấng trung bảo của giao ước mới, và gần huyết rưới ra, huyết đó nói tốt hơn huyết của A-bên vậy.|並 新 約 的 中 保 耶 穌 、 以 及 所 灑 的 血 ． 這 血 所 說 的 比 亞 伯 的 血 所 說 的 更 美 。
Anh em hãy giữ, chớ từ chối Đấng phán cùng mình; vì nếu những kẻ kia cự Đấng truyền lời báo cáo ở dưới đất, còn không tránh khỏi thay, huống chi chúng ta, nếu cự Đấng truyền lời báo cáo từ trên trời, thì càng không tránh khỏi được.|你 們 總 要 謹 慎 、 不 可 棄 絕 那 向 你 們 說 話 的 ． 因 為 那 些 棄 絕 在 地 上 警 戒 他 們 的 、 尚 且 不 能 逃 罪 、 何 況 我 們 違 背 那 從 天 上 警 戒 我 們 的 呢 。
Tiếng Đấng ấy bây giờ rúng động cả đất, hiện nay phán hứa rằng: Còn một lần nữa, ta sẽ chẳng những rúng động đất mà thôi, những cũng rúng động trời nữa.|當 時 他 的 聲 音 震 動 了 地 ． 但 如 今 他 應 許 說 、 『 再 一 次 我 不 單 要 震 動 地 、 還 要 震 動 天 。 』
Và, trong những chữ: Còn một lần nữa, tỏ ra rằng các vật hay bị rúng động, vì là những vật đã chịu dựng nên, sẽ bị cất đi, hầu cho những vật không hề rúng động được còn lại.|這 再 一 次 的 話 、 是 指 明 被 震 動 的 、 就 是 受 造 之 物 、 都 要 挪 去 、 使 那 不 被 震 動 的 常 存 。
Như vậy, vì chúng ta có phần trong một nước không hay rúng động, nên hãy cảm ơn, hầu cho lấy lòng kính sợ hầu việc Đức Chúa Trời một cách đẹp lòng Ngài;|所 以 我 們 既 得 了 不 能 震 動 的 國 、 就 當 感 恩 、 照 　 神 所 喜 悅 的 、 用 虔 誠 敬 畏 的 心 事 奉 　 神 。
vì Đức Chúa Trời chúng ta là đám lửa hay thiêu đốt.|因 為 我 們 的 　 神 乃 是 烈 火 。

					Hê-bơ-rơ 13				|
						希伯來書 13					
Hãy hằng có tình yêu thương anh em.|你 們 務 要 常 存 弟 兄 相 愛 的 心 。
