
					Các Thủ Lãnh 1				|
Vua dân Am-môn đáp cùng sứ giả Giép-thê rằng: Ay bởi Y-sơ-ra-ên khi ra khỏi nước Ê-díp-tô, có chiếm lấy xứ ta từ At-nôn cho đến Gia-bốc và Giô-đanh. Bây giờ hãy trả êm lại xứ ấy cho ta.|亞 捫 人 的 王 回 答 耶 弗 他 的 使 者 說 、 因 為 以 色 列 人 從 埃 及 上 來 的 時 候 、 佔 據 我 的 地 、 從 亞 嫩 河 到 雅 博 河 、 直 到 約 但 河 ． 現 在 你 要 好 好 的 將 這 地 歸 還 罷 。
Giép-thê lại sai sứ giả đến cùng vua dân Am-môn nói rằng:|耶 弗 他 又 打 發 使 者 去 見 亞 捫 人 的 王 、
Giép-thê nói như vầy: Y-sơ-ra-ên không có xâm đoạt địa phận Mô-áp, cũng chẳng có chiếm lấy xứ của dân Am-môn.|對 他 說 、 耶 弗 他 如 此 說 、 以 色 列 人 並 沒 有 佔 據 摩 押 地 、 和 亞 捫 人 的 地 ．
Song khi Y-sơ-ra-ên ra xứ Ê-díp-tô, thì đi ngang qua đồng vắng cho đến Biển đỏ, rồi tới Ca-đe.|以 色 列 人 從 埃 及 上 來 、 乃 是 經 過 曠 野 到 紅 海 、 來 到 加 低 斯 ．
Bấy giờ, người sai sứ giả đến vua Ê-đôm đặng tâu rằng: Xin cho tôi đi ngang qua xứ vua. Nhưng vua Ê-đôm không bằng lòng. Người cũng sai sứ giả đến vua Mô-áp, vua Mô-áp cũng không khứng cho, nên Y-sơ-ra-ên cứ ở tại Ca-đe.|就 打 發 使 者 去 見 以 東 王 、 說 、 求 你 容 我 從 你 的 地 經 過 ． 以 東 王 卻 不 應 允 。 又 照 樣 打 發 使 者 去 見 摩 押 王 ． 他 也 不 允 准 、 以 色 列 人 就 住 在 加 低 斯 。
Đoạn, người lại đi vào đồng vắng, vòng quanh xứ Ê-đôm và xứ Mô-áp; rồi đến cõi phía đông xứ Mô-áp. Người hạ trại ở bên kia At-nôn, không vào bờ cõi Mô-áp; vì At-nôn là giới hạn của xứ Mô-áp.|他 們 又 經 過 曠 野 、 繞 著 以 東 和 摩 押 地 、 從 摩 押 地 的 東 邊 過 來 、 在 亞 嫩 河 邊 安 營 、 並 沒 有 入 摩 押 的 境 內 、 因 為 亞 嫩 河 是 摩 押 的 邊 界 。
Rốt lại, Y-sơ-ra-ên sai sứ giả đến cùng Si-hôn, vua người A-mô-rít, ở tại Bết-hôn, và dặn nói rằng: Xin để cho chúng tôi đi ngang qua xứ vua đặng đến xứ chúng tôi.|以 色 列 人 打 發 使 者 去 見 亞 摩 利 王 西 宏 、 就 是 希 實 本 的 王 、 對 他 說 、 求 你 容 我 們 從 你 的 地 經 過 、 往 我 們 自 己 的 地 方 去 。
Nhưng Si-hôn không đủ tin dân Y-sơ-ra-ên, nên không cho đi ngang qua xứ mình, bèn hiệp lại cả cơ binh mình, kéo đến đóng trại tại Gia-hát và chống đấu cùng Y-sơ-ra-ên.|西 宏 卻 不 信 服 以 色 列 人 、 不 容 他 們 經 過 他 的 境 界 ． 乃 招 聚 他 的 眾 民 、 在 雅 雜 安 營 、 與 以 色 列 人 爭 戰 。
Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phó Si-hôn và cả cơ binh người vào tay Y-sơ-ra-ên. Y-sơ-ra-ên đánh bại chúng nó, và lấy toàn xứ dân A-mô-rít, là dân miền đó.|耶 和 華 以 色 列 的 　 神 、 將 西 宏 和 他 的 眾 民 都 交 在 以 色 列 人 手 中 、 以 色 列 人 就 擊 殺 他 們 、 得 了 亞 摩 利 人 的 全 地 、
Vậy, Y-sơ-ra-ên nhận được toàn xứ dân A-mô-rít, từ At-nôn cho đến Gia-bốc, và từ đồng vắng cho đến Giô-đanh.|從 亞 嫩 河 到 雅 博 河 、 從 曠 野 直 到 約 但 河 。
Vậy bây giờ, Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên đã đuổi dân A-mô-rít khỏi trước mặt dân Y-sơ-ra-ên của Ngài rồi, thì ngươi lại muốn chiếm lấy xứ của họ sao!|耶 和 華 以 色 列 的 　 神 、 在 他 百 姓 以 色 列 面 前 趕 出 亞 摩 利 人 、 你 竟 要 得 他 們 的 地 麼 ．
Ngươi há chẳng nhận được đất mà Kê-mốt, là thần của ngươi, đã ban cho ngươi sao? Thế thì, chúng ta cũng nhận được đất của những kẻ nào mà Giê-hô-va Đức Chúa Trời chúng ta đã đuổi khỏi trước mặt chúng ta.|你 的 神 基 抹 所 賜 你 的 地 你 不 是 得 為 業 麼 。 耶 和 華 我 們 的 　 神 在 我 們 面 前 所 趕 出 的 人 我 們 就 得 他 的 地 。
Vả lại, ngươi cho trổi hơn Ba-lác, con trai Xếp-bô, vua Mô-áp chăng? Hắn há có khi nào cãi cọ hay là chiến đấu cùng Y-sơ-ra-ên chăng?|難 道 你 比 摩 押 王 西 撥 的 兒 子 巴 勒 還 強 麼 ． 他 曾 與 以 色 列 人 爭 競 、 或 是 與 他 們 爭 戰 麼 。
Đương lúc ba trăm năm mà Y-sơ-ra-ên ở tại Hết-bôn và các thành địa hạt nó, A-rô -e và các thành địa hạt nó, cùng hết thảy các thành ở dọc theo At-nôn, sao ngươi không lấy nó lại trong khi đó?|以 色 列 人 住 希 實 本 和 屬 希 實 本 的 鄉 村 、 亞 羅 珥 和 屬 亞 羅 珥 的 鄉 村 、 並 沿 亞 嫩 河 的 一 切 城 邑 、 已 經 有 三 百 年 了 ． 在 這 三 百 年 之 內 你 們 為 甚 麼 沒 有 取 回 這 些 地 方 呢 ．
Vậy, ta không có phạm tội cùng ngươi, nhưng ngươi đã làm quấy cùng ta mà hãm đánh ta. Nguyện Đức Giê-hô-va, là Đấng đoán xét, ngày nay xét đoán giữa dân Y-sơ-ra-ên và dân Am-môn!|原 來 我 沒 有 得 罪 你 、 你 卻 攻 打 我 、 惡 待 我 ． 願 審 判 人 的 耶 和 華 、 今 日 在 以 色 列 人 和 亞 捫 人 中 間 、 判 斷 是 非 。
Nhưng vua dân Am-môn không khứng nghe lời của Giép-thê sai nói cùng người.|但 亞 捫 人 的 王 不 肯 聽 耶 弗 他 打 發 人 說 的 話 。
Thần của Đức Giê-hô-va bèn cảm động Giép-thê; người trải qua Ga-la-át và Ma-na-se, sang đến Mích-ba ở Ga-la-át, rồi từ Mích-ba ở Ga-la-át, người đi đánh dân Am-môn.|耶 和 華 的 靈 降 在 耶 弗 他 身 上 、 他 就 經 過 基 列 和 瑪 拿 西 、 來 到 基 列 的 米 斯 巴 、 又 從 米 斯 巴 來 到 亞 捫 人 那 裡 。
Giép-thê khẩn nguyện cùng Đức Giê-hô-va rằng: Nếu Ngài phó dân Am-môn vào tay tôi, khi tôi thắng chúng nó trở về,|耶 弗 他 就 向 耶 和 華 許 願 、 說 、 你 若 將 亞 捫 人 交 在 我 手 中 、
hễ chi ở cửa nhà tôi đi ra đầu hết đặng đón rước tôi, thì nấy sẽ thuộc về Đức Chúa Trời, và tôi sẽ dâng nó làm của lễ thiêu.|我 從 亞 捫 人 那 裡 平 平 安 安 回 來 的 時 候 、 無 論 甚 麼 人 、 先 從 我 家 門 出 來 迎 接 我 、 就 必 歸 你 、 我 也 必 將 他 獻 上 為 燔 祭 。
Đoạn, Giép-thê đi đến dân Am-môn đặng giao chiến cùng chúng nó, và Đức Giê-hô-va phó chúng nó vào tay người.|於 是 耶 弗 他 往 亞 捫 人 那 裡 去 、 與 他 們 爭 戰 ． 耶 和 華 將 他 們 交 在 他 手 中 。
Người đánh bại chúng nó từ A-rô -e cho đến Mi-nít, và cho đến A-bên-Kê-ra-mim, cùng chiếm lấy của chúng nó hai mươi cái thành. Ay là một trận-bại rất lớn; dân Am-môn bị phục trước mặt dân Y-sơ-ra-ên.|他 就 大 大 殺 敗 他 們 、 從 亞 羅 珥 到 米 匿 、 直 到 亞 備 勒 基 拉 明 、 攻 取 了 二 十 座 城 ． 這 樣 亞 捫 人 就 被 以 色 列 人 制 伏 了 。
Giép-thê trở về nhà mình tại Mích-ba; kìa, con gái người ra đón-rước người, có cầm trống nhỏ và nhảy múa. Nàng là con một của người, ngoài nàng chẳng có con trai hoặc con gái nào khác hơn.|耶 弗 他 回 米 斯 巴 到 了 自 己 的 家 ． 不 料 、 他 女 兒 拿 著 鼓 跳 舞 出 來 迎 接 他 、 是 他 獨 生 的 ． 此 外 無 兒 無 女 。
Giép-thê vừa thấy nàng, liền xé áo mình mà rằng: Ớ con, than ôi! con gây cho cha tức tối quá thay! Con thuộc vào số kẻ làm rối cha! Vì cha có mở miệng khấn nguyện cùng Đức Giê-hô-va, không thế nuốt lời.|耶 弗 他 看 見 他 、 就 撕 裂 衣 服 、 說 、 哀 哉 、 我 的 女 兒 阿 、 你 使 我 甚 是 愁 苦 、 叫 我 作 難 了 ． 因 為 我 已 經 向 耶 和 華 開 口 許 願 、 不 能 挽 回 。
Nàng thưa rằng: Cha ôi, nếu cha có mở miệng khấn nguyện cùng Đức Giê-hô-va, xin hãy làm cho con y như lời ra khỏi miệng cha, vì bây giờ Đức Giê-hô-va đã báo thù kẻ cừu địch cha rồi, tức là dân Am-môn.|他 女 兒 回 答 說 、 父 阿 、 你 既 向 耶 和 華 開 口 、 就 當 照 你 口 中 所 說 的 向 我 行 、 因 耶 和 華 已 經 在 仇 敵 亞 捫 人 身 上 為 你 報 仇 。
Đoạn, nàng lại nói cùng cha mình rằng: Xin cha hãy nhậm cho con lời nầy: Để cho con thong thả trong hai tháng, con sẽ đi ở trên núi đặng cùng chị em bạn con khóc về sự đồng trinh của con.|又 對 父 親 說 、 有 一 件 事 求 你 允 准 ． 容 我 去 兩 個 月 、 與 同 伴 在 山 上 、 好 哀 哭 我 終 為 處 女 。
Giép-thê đáp rằng: Con cứ đi. Rồi người để nàng đi hai tháng. Vậy, nàng đi cùng chị em bạn mình, khóc sự đồng trinh mình tại trên núi.|耶 弗 他 說 、 你 去 罷 ． 就 容 他 去 兩 個 月 ． 他 便 和 同 伴 去 了 、 在 山 上 為 他 終 為 處 女 哀 哭 。
Cuối hai tháng, nàng trở về cha mình, và người làm cho nàng tùy theo lời khấn nguyện mình đã hứa. Nàng chẳng có biết người nam. Tại cớ đó trong Y-sơ-ra-ên có thường lệ nầy:|兩 月 已 滿 、 他 回 到 父 親 那 裡 、 父 親 就 照 所 許 的 願 向 他 行 了 ． 女 兒 終 身 沒 有 親 近 男 子 。
Mỗi năm, các con gái Y-sơ-ra-ên đi than khóc con gái của Giép-thê, người Ga-la-át, trong bốn ngày.|此 後 以 色 列 中 有 個 規 矩 ． 每 年 以 色 列 的 女 子 去 為 基 列 人 耶 弗 他 的 女 兒 哀 哭 四 天 。

					Các Thủ Lãnh 12				|
						士師記 12					
Người Ep-ra-im nhóm hiệp đến tại Xa-phôn, và nói cùng Giép-thê rằng: Vì sao ngươi đi đánh dân Am-môn không gọi chúng ta đi với? Chúng ta sẽ đốt nhà ngươi luôn với ngươi.|以 法 蓮 人 聚 集 、 到 了 北 方 、 對 耶 弗 他 說 、 你 去 與 亞 捫 人 爭 戰 、 為 甚 麼 沒 有 招 我 們 同 去 呢 ． 我 們 必 用 火 燒 你 和 你 的 房 屋 。
Giép-thê đáp rằng: Ta và dân sự ta có cuộc tranh cạnh rất lớn với dân Am-môn; và khi ta kêu các ngươi, thì các ngươi không có giải cứu ta khỏi tay chúng nó.|耶 弗 他 對 他 們 說 、 我 和 我 的 民 與 亞 捫 人 大 大 爭 戰 ． 我 招 你 們 來 、 你 們 竟 沒 有 來 救 我 脫 離 他 們 的 手 。
Thấy rằng các ngươi không đến tiếp cứu ta, thì ta đã liều mình đi đánh dân Am-môn, và Đức Giê-hô-va đã phó chúng nó vào tay ta. Vậy, sao ngày nay các ngươi lên đến ta đặng tranh chiến cùng ta?|我 見 你 們 不 來 救 我 、 我 就 拚 命 前 去 攻 擊 亞 捫 人 、 耶 和 華 將 他 們 交 在 我 手 中 ． 你 們 今 日 為 甚 麼 上 我 這 裡 來 攻 打 我 呢 。
Kế ấy, Giép-thê hiệp lại hết thảy dân Ga-la-át, giao chiến cùng Ep-ra-im. Người Ga-la-át đánh bại người Ep-ra-im, vì họ nói rằng: Ớ dân Ga-la-át, giữa Ep-ra-im và Ma-na-se, các ngươi chỉ là là kẻ trốn tránh của Ep-ra-im đó thôi!|於 是 耶 弗 他 招 聚 基 列 人 、 與 以 法 蓮 人 爭 戰 ． 基 列 人 擊 殺 以 法 蓮 人 、 是 因 他 們 說 、 你 們 基 列 人 在 以 法 蓮 瑪 拿 西 中 間 、 不 過 是 以 法 蓮 逃 亡 的 人 。
Đoạn, người Ga-la-át xâm chiếm những chỗ cạn sông Giô-đanh, trước khi người Ep-ra-im đến đó. Và khi một người trốn nào của Ep-ra-im nói rằng: Xin để cho tôi đi qua, thì người Ga-la-át nói rằng: Ngươi có phải người Ep-ra-im chăng? Người đáp: Không.|基 列 人 把 守 約 但 河 的 渡 口 、 不 容 以 法 蓮 人 過 去 。 以 法 蓮 逃 走 的 人 若 說 、 容 我 過 去 、 基 列 人 就 問 他 說 、 你 是 以 法 蓮 人 不 是 ． 他 若 說 、 不 是 、
Chúng bèn nói cùng người rằng: Thế thì, hãy nói: Si-bô-lết; người nói Si-bô-lết, không thế nói cho rõ được; chúng bèn bắt họ và giết đi tại chỗ cạn của sông Giô-đanh. Trong lúc đó có bốn mươi hai ngàn người Ep-ra-im bị chết.|就 對 他 說 、 你 說 示 播 列 ． 以 法 蓮 人 因 為 咬 不 真 字 音 、 便 說 西 播 列 ． 基 列 人 就 將 他 拿 住 、 殺 在 約 但 河 的 渡 口 。 那 時 以 法 蓮 人 被 殺 的 、 有 四 萬 二 千 人 。
Giép-thê, người Ga-la-át làm quan xét trong Y-sơ-ra-ên được sáu năm. Đoạn, người qua đời, và được chôn trong một thành ở xứ Ga-la-át.|耶 弗 他 作 以 色 列 的 士 師 六 年 。 基 列 人 耶 弗 他 死 了 、 葬 在 基 列 的 一 座 城 裡 。
Sau người, có Iếp-san ở Bết-lê-hem làm quan xét trong Y-sơ-ra-ên.|耶 弗 他 以 後 、 有 伯 利 恆 人 以 比 讚 作 以 色 列 的 士 師 。
Người có ba mươi con trai và ba mươi con gái. Người gả các con gái ra ngoài nhà mình, và cưới ba mươi con gái ở ngoài làm vợ cho con trai mình. Người làm quan xét trong Y-sơ-ra-ên được bảy năm.|他 有 三 十 個 兒 子 、 三 十 個 女 兒 、 女 兒 都 嫁 出 去 了 ． 他 給 眾 子 從 外 鄉 娶 了 三 十 個 媳 婦 。 他 作 以 色 列 的 士 師 七 年 。
Đoạn, Iếp-san qua đời, được chôn ở Bết-lê-hem.|以 比 讚 死 了 、 葬 在 伯 利 恆 。
Sau Iếp-san, có Ê-lôn người Sa-bu-lôn, làm quan xét trong Y-sơ-ra-ên, phán xét Y-sơ-ra-ên trong mười năm.|以 比 讚 之 後 、 有 西 布 倫 人 以 倫 、 作 以 色 列 的 士 師 十 年 。
Đoạn, Ê-lôn, người Sa-bu-lôn, qua đời, được chôn tại A-gia-lôn, trong đất chi phái Sa-bu-lôn.|西 布 倫 人 以 倫 死 了 、 葬 在 西 布 倫 地 的 亞 雅 崙 。
Sau Ê-lôn, có Ap-đôn, con trai Hi-lên, người Phi-ra-thôn, làm quan xét trong Y-sơ-ra-ên.|以 倫 之 後 、 有 比 拉 頓 人 希 列 的 兒 子 押 頓 、 作 以 色 列 的 士 師 。
Người có bốn mươi con trai và ba mươi cháu trai; chúng nó đều cỡi bảy mươi lừa con; người phán xét Y-sơ-ra-ên tám năm.|他 有 四 十 個 兒 子 、 三 十 個 孫 子 、 騎 著 七 十 匹 驢 駒 ． 押 頓 作 以 色 列 的 士 師 八 年 。
Đoạn, Ap-đôn, con trai Hi-lên, người Phi-ra-thôn, qua đời và được chôn tại Phi-ra-thôn, ở xứ Ep-ra-im, trên núi dân A-ma-léc.|比 拉 頓 人 希 列 的 兒 子 押 頓 死 了 、 葬 在 以 法 蓮 地 的 比 拉 頓 、 在 亞 瑪 力 人 的 山 地 。

					Các Thủ Lãnh 13				|
						士師記 13					
Dân Y-sơ-ra-ên cứ làm điều ác trước mặt Đức Giê-hô-va, nên Đức Giê-hô-va phó chúng nó vào tay dân Phi-li-tin trọn bốn mươi năm.|以 色 列 人 又 行 耶 和 華 眼 中 看 為 惡 的 事 、 耶 和 華 將 他 們 交 在 非 利 士 人 手 中 四 十 年 。
Vả, có một người Xô-rê -a, thuộc về một họ hàng của chi phái Đan, tên là Ma-nô -a; vợ người son-sẽ, không có con.|那 時 有 一 個 瑣 拉 人 、 是 屬 但 族 的 、 名 叫 瑪 挪 亞 ． 他 的 妻 不 懷 孕 、 不 生 育 。
Thiên sứ của Đức Giê-hô-va hiện đến cùng người đờn bà ấy mà rằng: Kìa, ngươi son sẻ không có con; nhưng ngươi sẽ thọ thai và sanh một đứa con trai.|耶 和 華 的 使 者 向 那 婦 人 顯 現 、 對 他 說 、 向 來 你 不 懷 孕 、 不 生 育 、 如 今 你 必 懷 孕 生 一 個 兒 子 ．
Vậy, từ bây giờ hãy cẩn thận, chớ uống rượu hay là vật chi say, và cũng đừng ăn vật gì chẳng sạch;|所 以 你 當 謹 慎 、 清 酒 濃 酒 都 不 可 喝 、 一 切 不 潔 之 物 也 不 可 喫 。
vì người sẽ có nghén và sanh một đứa con trai. Dao cạo sẽ không đưa qua đầu nó, bởi vì đứa trẻ từ trong lòng mẹ sẽ làm người Na-xi-rê cho Đức Chúa Trời; về sau nó sẽ giải cứu Y-sơ-ra-ên khỏi tay dân Phi-li-tin.|你 必 懷 孕 生 一 個 兒 子 、 不 可 用 剃 頭 刀 剃 他 的 頭 、 因 為 這 孩 子 一 出 胎 就 歸 　 神 作 拿 細 耳 人 ． 他 必 起 首 拯 救 以 色 列 人 脫 離 非 利 士 人 的 手 。
Người đờn bà đi thuật lại cùng chồng mình rằng: Một người của Đức Chúa Trời đến cùng tôi, diện mạo người giống như diện mạo thiên sứ của Đức Chúa Trời, rất đáng kính đáng sợ. Tôi không dám hỏi người ở đâu, người cũng không tỏ cho biết tên người;|婦 人 就 回 去 對 丈 夫 說 、 有 一 個 神 人 到 我 面 前 來 、 他 的 相 貌 如 　 神 使 者 的 相 貌 、 甚 是 可 畏 、 我 沒 有 問 他 從 那 裡 來 、 他 也 沒 有 將 他 的 名 告 訴 我 、
nhưng người có nói cùng tôi rằng: Kìa, ngươi sẽ thọ thai và sanh một đứa trai; vậy bây giờ, chớ uống rượu hay là vật chi say, và cũng đừng ăn vật gì chẳng sạch; vì đứa trẻ đó, từ trong lòng mẹ cho đến ngày qua đời, sẽ là người Na-xi-rê cho Đức Chúa Trời.|卻 對 我 說 、 你 要 懷 孕 生 一 個 兒 子 、 所 以 清 酒 濃 酒 都 不 可 喝 、 一 切 不 潔 之 物 也 不 可 喫 、 因 為 這 孩 子 從 出 胎 一 直 到 死 必 歸 　 神 作 拿 細 耳 人 。
Ma-nô -a cầu nguyện Đức Giê-hô-va mà rằng: Oi, Chúa! xin Chúa cho người của Đức Chúa Trời mà Chúa đã sai xuống, lại đến cùng chúng tôi, đặng dạy chúng tôi điều phải làm cho đứa trẻ sẽ sanh ra!|瑪 挪 亞 就 祈 求 耶 和 華 說 、 主 阿 、 求 你 再 差 遣 那 神 人 到 我 們 這 裡 來 、 好 指 教 我 們 怎 樣 待 這 將 要 生 的 孩 子 。
Đức Chúa Trời nhậm lời cầu nguyện của Ma-nô -a. Thiên sứ của Đức Chúa Trời lại đến cùng người đờn bà đương khi ngồi trong đồng ruộng; còn Ma-nô -a, chồng nàng, không có tại đó với nàng.|　 神 應 允 瑪 挪 亞 的 話 ． 婦 人 正 坐 在 田 間 的 時 候 、 　 神 的 使 者 又 到 他 那 裡 、 他 丈 夫 瑪 挪 亞 卻 沒 有 同 他 在 一 處 。
Người đờn bà liền chạy đi thuật cho chồng rằng: Kìa, người đã đến cùng tôi ngày nọ, nay lại hiện đến.|婦 人 急 忙 跑 去 告 訴 丈 夫 說 、 那 日 到 我 面 前 來 的 人 、 又 向 我 顯 現 。
Ma-nô -a đứng dậy, đi theo vợ mình, và khi đến gần người đó, thì nói rằng: Ong có phải là người đã nói cùng đờn bà nầy chăng? Người đáp: Ay là ta.|瑪 挪 亞 起 來 跟 隨 他 的 妻 來 到 那 人 面 前 、 對 他 說 、 與 這 婦 人 說 話 的 就 是 你 麼 ． 他 說 、 是 我 。
Ma-nô -a tiếp: Khi lời ông ứng nghiệm, thì đứa trẻ phải giữ theo lệ nào, và phải làm làm sao?|瑪 挪 亞 說 、 願 你 的 話 應 驗 ． 我 們 當 怎 樣 待 這 孩 子 、 他 後 來 當 怎 樣 呢 。
Thiên sứ của Đức Giê-hô-va đáp cùng Ma-nô -a rằng: Người đờn bà phải kiêng cữ mọi điều ta đã dặn|耶 和 華 的 使 者 對 瑪 挪 亞 說 、 我 告 訴 婦 人 的 一 切 事 、 他 都 當 謹 慎 。
nàng chớ nên ăn sản vật gì của vườn nho, chớ nên uống rượu hay là vật chi uống say, và cũng đừng ăn vật gì chẳng sạch, người khá giữ theo mọi điều ta đã chỉ dạy cho.|葡 萄 樹 所 結 的 都 不 可 喫 ． 清 酒 濃 酒 都 不 可 喝 ． 一 切 不 潔 之 物 也 不 可 喫 ． 凡 我 所 吩 咐 的 他 都 當 遵 守 。
Bấy giờ, Ma-nô -a thưa cùng thiên sứ của Đức Giê-hô-va rằng: Xin cho phép chúng tôi cầm ông đặng dọn dâng cho ông một con dê con.|瑪 挪 亞 對 耶 和 華 的 使 者 說 、 求 你 容 我 們 款 留 你 、 好 為 你 豫 備 一 隻 山 羊 羔 。
Thiên sứ của Đức Giê-hô-va đáp cùng Ma-nô -a rằng: Dầu ngươi cầm ta lại, ta cũng chẳng ăn vật thực của ngươi; nhưng nếu muốn làm một của lễ thiêu, thì hãy dâng lên cho Đức Giê-hô-va. Vả, Ma-nô -a không rõ ấy là thiên sứ của Đức Giê-hô-va,|耶 和 華 的 使 者 對 瑪 挪 亞 說 、 你 雖 然 款 留 我 、 我 卻 不 喫 你 的 食 物 ． 你 若 豫 備 燔 祭 就 當 獻 與 耶 和 華 。 原 來 瑪 挪 亞 不 知 道 他 是 耶 和 華 的 使 者 。
Ma-nô -a lại thưa cùng thiên sứ của Đức Giê-hô-va rằng: Danh ông là chi, để chúng tôi tôn trọng ông khi lời ông phán được ứng nghiệm?|瑪 挪 亞 對 耶 和 華 的 使 者 說 、 請 將 你 的 名 告 訴 我 、 到 你 話 應 驗 的 時 候 、 我 們 好 尊 敬 你 。
Thiên sứ của Đức Giê-hô-va đáp rằng: Sao ngươi hỏi danh ta như vậy? Danh ấy lấy làm diệu kỳ.|耶 和 華 的 使 者 對 他 說 、 你 何 必 問 我 的 名 、 我 名 是 奇 妙 的 。
Ma-nô -a bắt con dê con luôn với của lễ chay, dâng lên cho Đức Giê-hô-va tại trên hòn đá. Thiên sứ bèn làm ra một việc lạ lùng, có Ma-nô -a và vợ người làm chứng kiến.|瑪 挪 亞 將 一 隻 山 羊 羔 和 素 祭 、 在 磐 石 上 獻 與 耶 和 華 ． 使 者 行 奇 妙 的 事 、 瑪 挪 亞 和 他 的 妻 觀 看 ．
trong lúc ngọn lửa từ bàn thờ cất bay lên trên trời, thì thiên sứ của Đức Giê-hô-va cũng dâng lên theo trong ngọn lửa của bàn thờ. Thấy vậy, Ma-nô -a té sấp mặt xuống đất.|見 火 燄 從 壇 上 往 上 升 、 耶 和 華 的 使 者 在 壇 上 的 火 燄 中 也 升 上 去 了 ． 瑪 挪 亞 和 他 的 妻 看 見 、 就 俯 伏 於 地 。
Thiên sứ của Đức Giê-hô-va chẳng còn hiện đến cùng Ma-nô -a và vợ người nữa. Ma-nô -a nhận biết ấy là thiên sứ của Đức Giê-hô-va,|耶 和 華 的 使 者 不 再 向 瑪 挪 亞 和 他 的 妻 顯 現 ． 瑪 挪 亞 纔 知 道 他 是 耶 和 華 的 使 者 。
bèn nói cùng vợ rằng: Quả thật chúng ta sẽ chết, vì đã thấy Đức Chúa Trời!|瑪 挪 亞 對 他 的 妻 說 、 我 們 必 要 死 、 因 為 看 見 了 　 神 。
Nhưng vợ đáp rằng: Nếu Đức Giê-hô-va muốn giết chúng ta, lẽ nào Ngài có nhậm của lễ thiêu và của lễ chay nơi tay ta, lại lẽ nào Ngài đã cho chúng ta thấy các điều nầy, và cho ta nghe những lời mà chúng ta đã nghe ngày nay.|他 的 妻 卻 對 他 說 、 耶 和 華 若 要 殺 我 們 、 必 不 從 我 們 手 裡 收 納 燔 祭 和 素 祭 、 並 不 將 這 一 切 事 指 示 我 們 、 今 日 也 不 將 這 些 話 告 訴 我 們 。
Người đàn bà này sanh một con trai, đặt tên là Sam-sôn. Đứa trẻ lớn lên, và Đức Giê-hô-va ban phước cho.|後 來 婦 人 生 了 一 個 兒 子 、 給 他 起 名 叫 參 孫 ． 孩 子 長 大 、 耶 和 華 賜 福 與 他 。
Thần Đức Giê-hô-va khởi cảm động người tại trong dinh Đan, giữa khoảng Xô-rê -a và Ê-ra-ôn.|在 瑪 哈 尼 但 、 就 是 瑣 拉 和 以 實 陶 中 間 、 耶 和 華 的 靈 纔 感 動 他 。

					Các Thủ Lãnh 14				|
						士師記 14					
Sam-sôn đi xuống Thim-na, thấy một người nữ trong vòng con gái Phi-li-tin.|參 孫 下 到 亭 拿 、 在 那 裡 看 見 一 個 女 子 、 是 非 利 士 人 的 女 兒 。
Người đã trở lên, thuật điều đó cho cha mẹ mình, mà rằng: Con có thấy tại Thim-ma một người nữ trong vòng con gái Phi-li-tin; bây giờ xin hãy hỏi nàng cưới cho con.|參 孫 上 來 稟 告 他 父 母 說 、 我 在 亭 拿 看 見 一 個 女 子 、 是 非 利 士 人 的 女 兒 、 願 你 們 給 我 娶 來 為 妻 。
Cha mẹ người nói rằng: Trong vòng các con gái của anh em con và trong cả dân sự chúng ta, há chẳng có người nữ nào, mà con phải đi cưới vợ nơi dân Phi-li-tin chẳng chịu cắt bì đó sao? Sam-sôn đáp cùng cha rằng: Xin cha hãy cưới nàng đó cho con, vì nó đẹp mắt con.|他 父 母 說 、 在 你 弟 兄 的 女 兒 中 、 或 在 本 國 的 民 中 、 豈 沒 有 一 個 女 子 、 何 至 你 去 在 未 受 割 禮 的 非 利 士 人 中 娶 妻 呢 ． 參 孫 對 他 父 親 說 、 願 你 給 我 娶 那 女 子 、 因 我 喜 悅 他 。
Vả, cha mẹ người chẳng rõ điều đó bởi nơi Đức Giê-hô-va mà đến; vì người tìm dịp tranh đấu cùng dân Phi-li-tin. Lúc bấy giờ dân Phi-li-tin quản hạt Y-sơ-ra-ên.|他 的 父 母 卻 不 知 道 這 事 是 出 於 耶 和 華 、 因 為 他 找 機 會 攻 擊 非 利 士 人 ． 那 時 非 利 士 人 轄 制 以 色 列 人 。
Sam-sôn đi xuống Thim-na với cha mẹ mình; khi đến vườn nho Thim-na, thấy một con sư tử tơ đến đón gầm hét.|參 孫 跟 他 父 母 下 亭 拿 去 、 到 了 亭 拿 的 葡 萄 園 、 見 有 一 隻 少 壯 獅 子 向 他 吼 叫 ．
Thần của Đức Giê-hô-va cảm động Sam-sôn rất mạnh, tuy chẳng cầm vật chi, song người xé con sư tử đó như xé con dê con vậy. Nhưng người chẳng thuật lại cho cha mẹ hay điều mình đã làm.|耶 和 華 的 靈 大 大 感 動 參 孫 、 他 雖 然 手 無 器 械 、 卻 將 獅 子 撕 裂 、 如 同 撕 裂 山 羊 羔 一 樣 ． 他 行 這 事 並 沒 有 告 訴 父 母 。
Vậy, người đi xuống, nói cùng người nữ, người nữ đẹp lòng Sam-sôn.|參 孫 下 去 與 女 子 說 話 、 就 喜 悅 他 。
