
					Xuất Hành 1				|
Ngài chẳng tra tay vào những người tôn trọng trong vòng dân Y-sơ-ra-ên; nhưng họ ngó thấy Đức Chúa Trời, thì ăn và uống.|他 的 手 不 加 害 在 以 色 列 的 尊 者 身 上 ． 他 們 觀 看 　 神 、 他 們 又 喫 又 喝 。
Đức Giê-hô-va phán cùng Môi-se rằng: Hãy lên núi, đến cùng ta và ở lại đó; ta sẽ ban cho ngươi bảng đá, luật pháp và các điều răn của ta đã chép đặng dạy dân sự.|耶 和 華 對 摩 西 說 、 你 上 山 到 我 這 裡 來 住 在 這 裡 、 我 要 將 石 版 、 並 我 所 寫 的 律 法 、 和 誡 命 、 賜 給 你 、 使 你 可 以 教 訓 百 姓 。
Môi-se bèn chờ dậy cùng Giô-suê, kẻ hầu mình, rồi Môi-se đi lên núi Đức Chúa Trời.|摩 西 和 他 的 幫 手 約 書 亞 起 來 、 上 了 　 神 的 山 、
Người bèn nói cùng các trưởng lão rằng: Hãy đợi chúng tôi tại đây cho đến chừng nào trở về cùng các ngươi. Nầy, A-rôn và Hu-rơ ở lại cùng các ngươi, ai có việc chi hãy hỏi hai người đó.|摩 西 對 長 老 說 、 你 們 在 這 裡 等 著 、 等 到 我 們 再 回 來 、 有 亞 倫 、 戶 珥 與 你 們 同 在 、 凡 有 爭 訟 的 、 都 可 以 就 近 他 們 去 。
Vậy, Môi-se lên núi, mây che phủ núi.|摩 西 上 山 、 有 雲 彩 把 山 遮 蓋 。
Sự vinh quang của Đức Giê-hô-va ở tại núi Si-na -i; trong sáu ngày mây phủ núi, qua ngày thứ bảy Đức Giê-hô-va ngự trong đám mây gọi Môi-se.|耶 和 華 的 榮 耀 停 於 西 乃 山 、 雲 彩 遮 蓋 山 六 天 ． 第 七 天 他 從 雲 中 召 摩 西 。
Cảnh trạng của sự vinh quang Đức Giê-hô-va nơi đỉnh núi, trước mặt dân Y-sơ-ra-ên, khác nào như đám lửa hừng.|耶 和 華 的 榮 耀 在 山 頂 上 、 在 以 色 列 人 眼 前 、 形 狀 如 烈 火 。
Môi-se vào giữa đám mây, lên núi, ở tại đó trong bốn mươi ngày và bốn mươi đêm.|摩 西 進 入 雲 中 上 山 、 在 山 上 四 十 晝 夜 。

					Xuất Hành 25				|
						出埃及記 25					
Đức Giê-hô-va phán cùng Môi-se rằng:|耶 和 華 曉 諭 摩 西 說 、
Hãy nói cùng dân Y-sơ-ra-ên đặng họ dâng lễ vật cho ta; các ngươi hãy nhận lấy lễ vật của mọi người có lòng thành dâng cho.|你 告 訴 以 色 列 人 當 為 我 送 禮 物 來 、 凡 甘 心 樂 意 的 、 你 們 就 可 以 收 下 歸 我 。
Nầy là lễ vật các ngươi sẽ nhận lấy của họ: vàng, bạc, và đồng;|所 要 收 的 禮 物 、 就 是 金 、 銀 、 銅 、
chỉ tím, đỏ điều, đỏ sặm, vải gai mịn, lông dê, da chiên đực nhuộm đỏ,|藍 色 紫 色 朱 紅 色 線 、 細 麻 、 山 羊 毛 、
da cá nược, cây si-tim,|染 紅 的 公 羊 皮 、 海 狗 皮 、 皂 莢 木 、
dầu thắp, hương liệu đặng làm dầu xức và hương,|點 燈 的 油 、 並 作 膏 油 和 香 的 香 料 、
bích ngọc cùng các thứ ngọc khác để gắn vào ê-phót và bảng đeo ngực.|紅 瑪 瑙 、 與 別 樣 的 寶 石 、 可 以 鑲 嵌 在 以 弗 得 和 胸 牌 上 。
Họ sẽ làm cho ta một đền thánh và ta sẽ ở giữa họ.|又 當 為 我 造 聖 所 、 使 我 可 以 住 在 他 們 中 間 。
Hãy làm điều đó y như kiểu đền tạm cùng kiểu các đồ dùng mà ta sẽ chỉ cho ngươi.|製 造 帳 幕 和 其 中 的 一 切 器 具 、 都 要 照 我 所 指 示 你 的 樣 式 。
Vậy, chúng hãy đóng một cái hòm bằng cây si-tim; bề dài hai thước rưỡi, bề ngang một thước rưỡi, và bề cao cũng một thước rưỡi,|要 用 皂 莢 木 作 一 櫃 、 長 二 肘 半 、 寬 一 肘 半 、 高 一 肘 半 。
lấy vàng ròng bọc trong, bọc ngoài, và chạy đường viền chung quanh hòm bằng vàng.|要 裡 外 包 上 精 金 、 四 圍 鑲 上 金 牙 邊 。
Ngươi cũng hãy đúc bốn khoen bằng vàng để tại bốn góc hòm: hai cái bên hông nầy, hai cái bên hông kia,|也 要 鑄 四 個 金 環 安 在 櫃 的 四 腳 上 、 這 邊 兩 環 、 那 邊 兩 環 。
cùng làm hai cây đòn bằng cây si-tim, bọc vàng;|要 用 皂 莢 木 作 兩 根 杠 、 用 金 包 裹 。
rồi lòn đòn vào khoen hai bên hông hòm, để dùng đòn khiêng hòm.|要 把 杠 穿 在 櫃 旁 的 環 內 、 以 便 抬 櫃 。
Đòn sẽ ở trong khoen luôn, không nên rút ra.|這 杠 要 常 在 櫃 的 環 內 、 不 可 抽 出 來 。
Ngươi hãy cất vào trong hòm bảng chứng mà ta sẽ ban cho.|必 將 我 所 要 賜 給 你 的 法 版 、 放 在 櫃 裡 。
Ngươi cũng hãy làm một cái nắp thi ân bằng vàng ròng, bề dài hai thước rưỡi, bề ngang một thước rưỡi.|要 用 精 金 作 施 恩 座 、 〔 施 恩 或 作 蔽 罪 下 同 〕 長 二 肘 半 、 寬 一 肘 半 。
Lại làm hai tượng chê-ru-bin bằng vàng giát mỏng, để hai đầu nắp thi ân,|要 用 金 子 錘 出 兩 個 ? ? ? 來 、 安 在 施 恩 座 的 兩 頭 。
ló ra ngoài, một tượng ở đầu nầy và một tượng ở đầu kia.|這 頭 作 一 個 ? ? ? 、 那 頭 作 一 個 ? ? ? 、 二 ? ? ? 要 接 連 一 塊 、 在 施 恩 座 的 兩 頭 。
Hai chê-ru-bin sẽ sè cánh ra, che trên nắp thi ân, đối diện nhau và xây mặt vào nắp thi ân.|二 ? ? ? 要 高 張 翅 膀 、 遮 掩 施 恩 座 ． ? ? ? 要 臉 對 臉 、 朝 著 施 恩 座 。
Ngươi hãy để nắp thi ân trên hòm, rồi để vào trong hòm bảng chứng mà ta sẽ ban cho.|要 將 施 恩 座 安 在 櫃 的 上 邊 、 又 將 我 所 要 賜 給 你 的 法 版 放 在 櫃 裡 。
Ta sẽ gặp ngươi tại đó, và ở trên nắp thi ân, giữa hai tượng chê-ru-bin, trên hòm bảng chứng, ta sẽ truyền cho ngươi các mạng lịnh về dân Y-sơ-ra-ên.|我 要 在 那 裡 與 你 相 會 、 又 要 從 法 櫃 施 恩 座 上 二 ? ? ? 中 間 、 和 你 說 我 所 要 吩 咐 你 傳 給 以 色 列 人 的 一 切 事 。
Ngươi cũng hãy đóng một cái bàn bằng cây si-tim; bề dài hai thước, bề ngang một thước, và bề cao một thước rưỡi,|要 用 皂 莢 木 作 一 張 桌 子 、 長 二 肘 、 寬 一 肘 、 高 一 肘 半 。
bọc bằng vàng ròng, và chạy một đường viền chung quanh;|要 包 上 精 金 、 四 圍 鑲 上 金 牙 邊 。
rồi lên be cho tứ vi bàn, cao chừng bốn ngón tay và chạy cho be một đường viền vàng.|桌 子 的 四 圍 各 作 一 掌 寬 的 橫 梁 、 橫 梁 上 鑲 著 金 牙 邊 。
Lại đúc bốn cái khoen vàng, tra vào bốn góc nơi chân bàn.|要 作 四 個 金 環 、 安 在 桌 子 的 四 角 上 、 就 是 桌 子 四 腳 上 的 四 角 。
Khoen sẽ ở gần be, để xỏ đòn khiêng bàn.|安 環 子 的 地 方 要 挨 近 橫 梁 、 可 以 穿 杠 抬 桌 子 。
Ngươi hãy chuốt đòn bằng cây si-tim, bọc vàng, rồi người ta sẽ dùng khiêng bàn đó.|要 用 皂 莢 木 作 兩 根 杠 、 用 金 包 裹 、 以 便 抬 桌 子 。
Lại hãy lấy vàng ròng mà làm dĩa, chén, chậu, và ly đặng dùng làm lễ quán.|要 作 桌 子 上 的 盤 子 、 調 羹 、 並 奠 酒 的 爵 、 和 瓶 、 這 都 要 用 精 金 製 作 。
Trên bàn ngươi sẽ để bánh trần thiết cho có luôn luôn trước mặt ta.|又 要 在 桌 子 上 、 在 我 面 前 、 常 擺 陳 設 餅 。
Ngươi cũng hãy làm chân đèn bằng vàng ròng. Cái chân, cái thân, cái đài, cái bầu cùng cái hoa của đèn đều làm bằng vàng đánh giát.|要 用 精 金 作 一 個 燈 臺 ． 燈 臺 的 座 、 和 榦 、 與 杯 、 球 、 花 、 都 要 接 連 一 塊 錘 出 來 。
Hai bên thân đèn sẽ có sáu nhánh nứt ra, hạ nhánh ở bên nầy và ba nhánh ở bên kia.|燈 臺 兩 旁 要 杈 出 六 個 枝 子 、 這 旁 三 個 、 那 旁 三 個 。
Trong sáu nhánh nứt ra trên chân đèn, mỗi nhánh đều sẽ có ba cái đài hình như hột hạnh nhân cùng bầu và hoa.|這 旁 每 枝 上 有 三 個 杯 、 形 狀 像 杏 花 、 有 球 、 有 花 ． 那 旁 每 枝 上 也 有 三 個 杯 、 形 狀 像 杏 花 、 有 球 、 有 花 ． 從 燈 臺 杈 出 來 的 六 個 枝 子 、 都 是 如 此 。
Trên thân chân đèn, lại cũng sẽ có bốn cái đài hình hột hạnh nhân, bầu và hoa.|燈 臺 上 有 四 個 杯 、 形 狀 像 杏 花 、 有 球 、 有 花 ．
Trong sáu nhánh từ thân chân đèn nứt ra, hễ cứ mỗi hai nhánh thì dưới có một cái bầu.|燈 臺 每 兩 個 枝 子 以 下 、 有 球 、 與 枝 子 接 連 一 塊 ． 燈 臺 出 的 六 個 枝 子 、 都 是 如 此 。
Bầu cùng nhánh của chân đèn đều bằng vàng ròng nguyên miếng đánh giát.|球 和 枝 子 要 接 連 一 塊 、 都 是 一 塊 精 金 錘 出 來 的 。
Ngươi cũng hãy làm bảy cái thếp đèn, đặng hễ khi thắp thì chiếu trước chân đèn.|要 作 燈 臺 的 七 個 燈 盞 ． 祭 司 要 點 這 燈 、 使 燈 光 對 照 。
Kéo bắt tim cùng đồ đựng tàn đèn cũng sẽ bằng vàng ròng.|燈 臺 的 蠟 剪 、 和 蠟 花 盤 、 也 是 要 精 金 的 。
Người ta sẽ dùng một ta lâng vàng ròng làm chân đèn nầy và các đồ phụ tùng của chân đèn.|作 燈 臺 和 這 一 切 的 器 具 、 要 用 精 金 一 他 連 得 。
Vậy, ngươi hãy xem, cứ làm y như kiểu đã chỉ cho trên núi.|要 謹 慎 作 這 些 物 件 、 都 要 照 著 在 山 上 指 示 你 的 樣 式 。

					Xuất Hành 26				|
						出埃及記 26					
Ngươi hãy dùng mười bức màn mà làm đền tạm, màn dệt bằng vải gai mịn, chỉ tím, đỏ điều và đỏ sặm, có thêu các hình chê-ru-bin cực xảo.|你 要 用 十 幅 幔 子 作 帳 幕 ． 這 些 幔 子 要 用 撚 的 細 麻 、 和 藍 色 紫 色 朱 紅 色 線 製 造 ． 並 用 巧 匠 的 手 工 繡 上 ? ? ? 。
Mỗi bức màn bề dài hai mươi tám thước, bề rộng bốn thước. Các bức đều đồng cỡ với nhau.|每 幅 幔 子 、 要 長 二 十 八 肘 、 寬 四 肘 、 幔 子 都 要 一 樣 的 尺 寸 。
Mỗi năm bức màn sẽ kết dính lại nhau.|這 五 幅 幔 子 要 幅 幅 相 連 ． 那 五 幅 幔 子 也 要 幅 幅 相 連 。
Ngươi hãy thắt vòng chỉ tím nơi triêng của bức màn thứ nhất ở đầu bức nguyên; và cũng làm như vậy cho đầu chót của bức màn cuối trong bức nguyên thứ nhì.|在 這 相 連 的 幔 子 末 幅 邊 上 、 要 作 藍 色 的 鈕 扣 ． 在 那 相 連 的 幔 子 末 幅 邊 上 、 也 要 照 樣 作 。
Lại làm năm chục cái vòng cho bức màn thứ nhất, và năm chục cái vòng nơi đầu triêng bức nguyên thứ nhì; các vòng hai bên sẽ đối nhau.|要 在 這 相 連 的 幔 子 上 作 五 十 個 鈕 扣 、 在 那 相 連 的 幔 子 上 也 作 五 十 個 鈕 扣 、 都 要 兩 兩 相 對 。
Cũng hãy làm năm mươi cái móc bằng vàng, rồi móc bức nguyên nầy qua bức nguyên kia, hầu cho đền tạm kết lại thành một.|又 要 作 五 十 個 金 鉤 、 用 鉤 使 幔 子 相 連 、 這 纔 成 了 一 個 帳 幕 。
Ngươi cũng hãy kết mười một bức màn bằng lông dê, để dùng làm bong che trên đền tạm.|你 要 用 山 羊 毛 、 織 十 一 幅 幔 子 、 作 為 帳 幕 以 上 的 罩 棚 。
Bề dài mỗi bức màn ba chục thước, bề rộng bốn thước, mười một bức đồng một cỡ với nhau.|每 幅 幔 子 要 長 三 十 肘 、 寬 四 肘 ． 十 一 幅 幔 子 、 都 要 一 樣 的 尺 寸 。
Ngươi hãy kết năm bức màn nầy riêng ra, và sáu bức màn kia riêng ra; nhưng hãy gấp đôi bức màn thứ sáu ở trước đền tạm.|要 把 五 幅 幔 子 連 成 一 幅 ． 又 把 六 幅 幔 子 連 成 一 幅 、 這 第 六 幅 幔 子 、 要 在 罩 棚 的 前 面 摺 上 去 。
Lại thắt năm chục cái vòng nơi triêng màn thứ nhất, ném về cuối của bức nguyên thứ nhất, và năm chục cái vòng nơi triêng màn của bức nguyên thứ nhì;|在 這 相 連 的 幔 子 末 幅 邊 上 、 要 作 五 十 個 鈕 扣 ． 在 那 相 連 的 幔 子 末 幅 邊 上 、 也 作 五 十 個 鈕 扣 。
cũng làm năm chục cái móc bằng đồng, móc vào vòng, rồi hiệp cái bong lại, để nó thành ra một.|又 要 作 五 十 個 銅 鉤 、 鉤 在 鈕 扣 中 、 使 罩 棚 連 成 一 個 。
Nhưng còn dư, tức là phân nửa của bức màn dư trong bức bong nguyên, thì sẽ xủ xuống phía sau đền tạm;|罩 棚 的 幔 子 所 餘 那 垂 下 來 的 半 幅 幔 子 、 要 垂 在 帳 幕 的 後 頭 。
phần bề dài dư trong các bức màn của bong, bên nầy một thước, bên kia một thước, thì sẽ xủ xuống hai bên hông đền tạm đặng che vậy.|罩 棚 的 幔 子 所 餘 長 的 、 這 邊 一 肘 、 那 邊 一 肘 、 要 垂 在 帳 幕 的 兩 旁 、 遮 蓋 帳 幕 。
Ngươi hãy làm một tấm lá phủ bằng da chiên đực nhuộm đỏ để trên bong, và kết một tấm lá phủ bằng da cá nược đắp lên trên nữa.|又 要 用 染 紅 的 公 羊 皮 、 作 罩 棚 的 蓋 ． 再 用 海 狗 皮 作 一 層 罩 棚 上 的 頂 蓋 。
Ngươi cũng hãy làm những ván cho vách đền tạm bằng cây si-tim.|你 要 用 皂 莢 木 作 帳 幕 的 豎 板 。
Mỗi tấm trướng mười thước, hoành một thước rưỡi,|每 塊 要 長 十 肘 、 寬 一 肘 半 。
có hai cái mộng liền nhau; hết thảy các tấm ván vách đền tạm ngươi cũng sẽ làm như vậy.|每 塊 必 有 兩 榫 相 對 ． 帳 幕 一 切 的 板 、 都 要 這 樣 作 。
Về phía nam đền tạm, ngươi hãy làm hai mươi tấm ván;|帳 幕 的 南 面 要 作 板 二 十 塊 。
dưới hai mươi tấm ván hãy đặt bốn mươi lỗ mộng bằng bạc; cứ hai lỗ mộng ở dưới, để chịu hai cái mộng của mỗi tấm ván.|在 這 二 十 塊 板 底 下 、 要 作 四 十 個 帶 卯 的 銀 座 、 兩 卯 接 這 塊 板 上 的 兩 榫 、 兩 卯 接 那 塊 板 上 的 兩 榫 。
Lại hãy làm hai mươi tấm ván về phía bắc đền tạm,|帳 幕 第 二 面 、 就 是 北 面 、 也 要 作 板 二 十 塊 、
và bốn mươi lỗ mộng bằng bạc, cứ dưới mỗi tấm có hai lỗ mộng.|和 帶 卯 的 銀 座 四 十 個 ． 這 板 底 下 有 兩 卯 、 那 板 底 下 也 有 兩 卯 。
Ngươi cũng hãy làm sáu tấm ván về phía sau đền tạm, tức là về hướng tây.|帳 幕 的 後 面 、 就 是 西 面 、 要 作 板 六 塊 。
Về hai góc phía sau đền tạm, phải làm hai tấm ván,|帳 幕 後 面 的 拐 角 、 要 作 板 兩 塊 。
khít nhau tự dưới chí trên bởi một cái khoen ở nơi đầu; hai cái góc đều làm như vậy.|板 的 下 半 截 要 雙 的 、 上 半 截 要 整 的 、 直 頂 到 第 一 個 環 子 、 兩 塊 都 要 這 樣 作 兩 個 拐 角 。
Thế thì, có tám tấm ván và mười sáu lỗ mộng bằng bạc; cứ hai lỗ mộng ở dưới mỗi một tấm ván.|必 有 八 塊 板 、 和 十 六 個 帶 卯 的 銀 座 、 這 板 底 下 有 兩 卯 、 那 板 底 下 也 有 兩 卯 。
Lại, ngươi hãy làm năm cây xà ngang bằng gỗ si-tim cho những tấm ván về phía bên nầy,|你 要 用 皂 莢 木 作 閂 ． 為 帳 幕 這 面 的 板 作 五 閂 。
năm cây xà ngang về phía bên kia và năm cây xà ngang khác nữa về phía sau của đền tạm, tức là hướng tây.|為 帳 幕 那 面 的 板 作 五 閂 、 又 為 帳 幕 後 面 的 板 作 五 閂 。
Cây xà ngang giữa sẽ ở về thân giữa những tấm ván, chạy suốt từ đầu nầy đến đầu kia.|板 腰 間 的 中 閂 、 要 從 這 一 頭 通 到 那 一 頭 。
Cũng hãy lấy vàng bọc ván cùng xà ngang, và làm những khoen bằng vàng, đặng xỏ các cây xà ngang.|板 要 用 金 子 包 裹 、 又 要 作 板 上 的 金 環 套 閂 、 閂 也 要 用 金 子 包 裹 。
Ngươi phải dựng đền tạm y như kiểu đã chỉ cho ngươi trên núi vậy.|要 照 著 在 山 上 指 示 你 的 樣 式 、 立 起 帳 幕 。
Ngươi hãy làm một bức màn bằng vải gai đậu mịn, chỉ tím, đỏ điều, đỏ sặm, có thêu những hình chê-ru-bin cực xảo;|你 要 用 藍 色 紫 色 朱 紅 色 線 、 和 撚 的 細 麻 、 織 幔 子 ． 以 巧 匠 的 手 工 繡 上 ? ? ? 。
rồi xủ màn đó trên bốn trụ bằng cây si-tim, bọc vàng, dựng trên bốn lỗ trụ bằng bạc; các móc trụ đều bằng vàng.|要 把 幔 子 挂 在 四 根 包 金 的 皂 莢 木 柱 子 上 、 柱 子 上 當 有 金 鉤 、 柱 子 安 在 四 個 帶 卯 的 銀 座 上 。
Ngươi sẽ treo màn đó vào móc dưới bức bong, rồi ở phía trong màn để hòm bảng chứng; màn nầy dùng phân biệt cho các ngươi nơi thánh và nơi chí thánh.|要 使 幔 子 垂 在 鉤 子 下 、 把 法 櫃 抬 進 幔 子 內 、 這 幔 子 要 將 聖 所 和 至 聖 所 隔 開 。
Đoạn, hãy để cái nắp thi ân trên hòm bảng chứng, đặt trong nơi chí thánh.|又 要 把 施 恩 座 安 在 至 聖 所 內 的 法 櫃 上 。
Bên ngoài bức màn về phía bắc đền tạm thì để cái bàn; còn cây chân đèn thì để về phía nam đối ngang cái bàn.|把 桌 子 安 在 幔 子 外 帳 幕 的 北 面 ． 把 燈 臺 安 在 帳 幕 的 南 面 、 彼 此 相 對 。
Về cửa Trại ngươi hãy làm một bức màn bằng chỉ tím, đỏ điều, đỏ sặm, vải gai đậu mịn, có thêu cực xảo;|你 要 拿 藍 色 紫 色 朱 紅 色 線 、 和 撚 的 細 麻 、 用 繡 花 的 手 工 織 帳 幕 的 門 簾 。
rồi làm cho bức màn nầy năm cái trụ bằng cây si-tim, bọc vàng; đinh nó cũng bằng vàng, và đúc năm lỗ trụ bằng đồng.|要 用 皂 莢 木 為 簾 子 作 五 根 柱 子 、 用 金 子 包 裹 ． 柱 子 上 當 有 金 鉤 、 又 要 為 柱 子 用 銅 鑄 造 五 個 帶 卯 的 座 。

					Xuất Hành 27				|
						出埃及記 27					
Ngươi cũng hãy đóng một bàn thờ bằng cây si-tim, hình vuông, năm thước bề dài, năm thước bề ngang, và bề cao ba thước.|你 要 用 皂 莢 木 作 壇 ． 這 壇 要 四 方 的 、 長 五 肘 、 寬 五 肘 、 高 三 肘 。
Nơi bốn góc bàn thờ hãy làm sừng ló ra và bọc đồng.|要 在 壇 的 四 拐 角 上 作 四 個 角 、 與 壇 接 連 一 塊 、 用 銅 把 壇 包 裹 。
Những đồ phụ tùng của bàn thờ thì hãy làm bằng đồng: bình đựng tro, vá, ảng, nỉa và bình hương.|要 作 盆 、 收 去 壇 上 的 灰 、 又 作 鏟 子 、 盤 子 、 肉 鍤 子 、 火 鼎 、 壇 上 一 切 的 器 具 、 都 用 銅 作 。
Lại làm cho bàn thờ một tấm rá bằng lưới đồng; và nơi bốn góc rá làm bốn cái khoen bằng đồng;|要 為 壇 作 一 個 銅 網 ． 在 網 的 四 角 上 、 作 四 個 銅 環 。
rồi để rá đó dưới thành bàn thờ, từ dưới chân lên đến nửa bề cao.|把 網 安 在 壇 四 面 的 圍 腰 板 以 下 、 使 網 從 下 達 到 壇 的 半 腰 。
Cũng hãy chuốt đòn khiêng bàn thờ bằng cây si-tim, bọc đồng,|又 要 用 皂 莢 木 為 壇 作 杠 、 用 銅 包 裹 。
rồi xỏ vào những khoen; khi khiêng đi, đòn sẽ ở hai bên bàn thờ.|這 杠 要 穿 在 壇 兩 旁 的 環 子 內 、 用 以 抬 壇 。
Bàn thờ sẽ đóng bằng ván, trống bộng, làm y như đã chỉ cho ngươi trên núi vậy.|要 用 板 作 壇 ． 壇 是 空 的 、 都 照 著 在 山 上 指 示 你 的 樣 式 作 。
Ngươi cũng hãy làm cái hành lang cho đền tạm. Về phía nam của hành lang làm bố vi bằng vải gai đậu mịn, dài trăm thước,|你 要 作 帳 幕 的 院 子 ． 院 子 的 南 面 、 要 用 撚 的 細 麻 作 帷 子 、 長 一 百 肘 。
cùng hai chục cây trụ và hai chục lỗ trụ bằng đồng; đinh và nuông trụ thì bằng bạc.|帷 子 的 柱 子 要 二 十 根 ． 帶 卯 的 銅 座 二 十 個 ． 柱 子 上 的 鉤 子 、 和 杆 子 、 都 要 用 銀 子 作 。
Về phía bắc cũng vậy; bố vi đó có trăm thước bề dài, hai chục cây trụ và hai chục lỗ trụ bằng đồng; đinh và nuông trụ thì bằng bạc.|北 面 也 當 有 帷 子 、 長 一 百 肘 、 帷 子 的 柱 子 二 十 根 、 帶 卯 的 銅 座 二 十 個 ． 柱 子 上 的 鉤 子 、 和 杆 子 、 都 要 用 銀 子 作 。
Bố vi của hành lang về phía tây có năm chục thước bề dài, mười cây trụ và mười lỗ trụ.|院 子 的 西 面 當 有 帷 子 、 寬 五 十 肘 ． 帷 子 的 柱 子 十 根 、 帶 卯 的 座 十 個 。
Bề ngang của hành lang phía trước, tức là phía đông, có năm chục thước: phía hữu|院 子 的 東 面 要 寬 五 十 肘 。
có mười lăm thước bố vi, ba cây trụ và ba lỗ trụ;|門 這 邊 的 帷 子 要 十 五 肘 ． 帷 子 的 柱 子 三 根 、 帶 卯 的 座 三 個 。
phía tả có mười lăm thước bố vi, ba cây trụ và ba lỗ trụ.|門 那 邊 的 帷 子 也 要 十 五 肘 ． 帷 子 的 柱 子 三 根 、 帶 卯 的 座 三 個 。
Còn cửa hành lang có một bức màn dài hai chục thước bằng vải gai đậu mịn, chỉ tím, đỏ điều, đỏ sặm, có thêu, cùng vốn cây trụ và bốn lỗ trụ.|院 子 的 門 當 有 簾 子 、 長 二 十 肘 ． 要 拿 藍 色 紫 色 朱 紅 色 線 、 和 撚 的 細 麻 、 用 繡 花 的 手 工 織 成 ． 柱 子 四 根 、 帶 卯 的 座 四 個 。
Hết thảy trụ xung quanh hành lang đều sẽ có nhờ nuông bạc chắp lại với nhau; đinh trụ thì bằng bạc, lỗ trụ thì bằng đồng.|院 子 四 圍 一 切 的 柱 子 、 都 要 用 銀 杆 連 絡 ． 柱 子 上 的 鉤 子 要 用 銀 作 ． 帶 卯 的 座 要 用 銅 作 。
Bề dài của hành lang được một trăm thước, bề ngang, mỗi phía, năm chục thước, bề cao năm thước; bố vi sẽ bằng vải gai đậu mịn, còn những lỗ trụ thì bằng đồng.|院 子 要 長 一 百 肘 、 寬 五 十 肘 、 高 五 肘 、 帷 子 要 用 撚 的 細 麻 作 ． 帶 卯 的 座 要 用 銅 作 。
Hết thảy đồ phụ tùng dùng về các việc phụng sự trong đền tạm, cùng cây nọc của đền tạm và cây nọc của hành lang, đều sẽ làm bằng đồng.|帳 幕 各 樣 用 處 的 器 具 、 並 帳 幕 一 切 的 橛 子 、 和 院 子 裡 一 切 的 橛 子 、 都 要 用 銅 作 。
Ngươi hãy truyền cho dân Y-sơ-ra-ên đem đến dầu lọc ô-li-ve ép, đặng thắp đèn cho đèn sáng luôn luôn.|你 要 吩 咐 以 色 列 人 、 把 那 為 點 燈 搗 成 的 清 橄 欖 油 拿 來 給 你 、 使 燈 常 常 點 著 。
Trong hội mạc, ở ngoài màn, trước hòm bảng chứng, A-rôn cùng các con trai người sẽ lo sửa soạn đèn, hầu cho trước mặt Đức Giê-hô-va đèn cháy luôn luôn từ tối cho đến sáng. Ay là một luật đời đời cho dòng dõi dân Y-sơ-ra-ên phải giữ.|在 會 幕 中 法 櫃 前 的 幔 外 、 亞 倫 和 他 的 兒 子 、 從 晚 上 到 早 晨 、 要 在 耶 和 華 面 前 經 理 這 燈 ． 這 要 作 以 色 列 人 世 世 代 代 永 遠 的 定 例 。

					Xuất Hành 28				|
						出埃及記 28					
Trong vòng dân Y-sơ-ra-ên, ngươi hãy chọn A-rôn, anh ngươi, cùng các con trai ngươi, là Na-đáp, A-bi-hu, Ê-lê -a-sa, và Y-tha-ma, lập lên làm chức tế lễ trước mặt ta.|你 要 從 以 色 列 人 中 使 你 的 哥 哥 亞 倫 、 和 他 的 兒 子 拿 答 、 亞 比 戶 、 以 利 亞 撒 、 以 他 瑪 、 一 同 就 近 你 、 給 我 供 祭 司 的 職 分 。
Ngươi hãy chế bộ áo thánh cho A-rôn, anh ngươi, để người được vinh hiển trang sức.|你 要 給 你 哥 哥 亞 倫 作 聖 衣 為 榮 耀 、 為 華 美 。
Hãy truyền cho hết thảy kẻ thông minh, là người ta đã ban đầy tính trí huệ, chế bộ áo cho A-rôn, đặng biệt người riêng ra thánh, hầu cho người làm chức tế lễ trước mặt ta.|又 要 吩 咐 一 切 心 中 有 智 慧 的 、 就 是 我 用 智 慧 的 靈 所 充 滿 的 、 給 亞 倫 作 衣 服 、 使 他 分 別 為 聖 、 可 以 給 我 供 祭 司 的 職 分 。
Đây là bộ áo mà họ sẽ chế: Bảng đeo ngực, ê-phót, áo dài, áo lá trong thêu, mũ và đai. Thế thì, họ sẽ chế bộ áo thánh cho A-rôn, anh ngươi, cùng các con trai người, để các người đó làm chức tế lễ trước mặt ta.|所 要 作 的 就 、 是 胸 牌 、 以 弗 得 、 外 袍 、 雜 色 的 內 袍 、 冠 冕 、 腰 帶 、 使 你 哥 哥 亞 倫 和 他 兒 子 穿 這 聖 服 、 可 以 給 我 供 祭 司 的 職 分 。
Họ sẽ dùng kim tuyến, chỉ màu tím, đỏ điều, đỏ sặm, và vải gai mịn.|要 用 金 線 和 藍 色 紫 色 朱 紅 色 線 、 並 細 麻 去 作 。
Họ sẽ chế ê-phót bằng kim tuyến, chỉ màu tím, đỏ điều, đỏ sặm, và vải gai đậu mịn thêu cực xảo.|他 們 要 拿 金 線 和 藍 色 紫 色 朱 紅 色 線 、 並 撚 的 細 麻 、 用 巧 匠 的 手 工 作 以 弗 得 。
Hai bên ê-phót làm hai đai vai, đâu đầu vào ê-phót.|以 弗 得 當 有 兩 條 肩 帶 、 接 上 兩 頭 、 使 他 相 連 。
Đai để cột ê-phót ở phía ngoài, sẽ làm nguyên miếng một cũng như công việc ê-phót, bằng kim tuyến, chỉ tím, đỏ điều, đỏ sặm, và vải gai đậu mịn.|其 上 巧 工 織 的 帶 子 、 要 和 以 弗 得 一 樣 的 作 法 、 用 以 束 上 、 與 以 弗 得 接 連 一 塊 ． 要 用 金 線 和 藍 色 紫 色 朱 紅 色 線 、 並 撚 的 細 麻 作 成 。
