
					Rô-ma 1				|
Cho nên hiện nay chẳng còn có sự đoán phạt nào cho những kẻ ở trong Đức Chúa Jêsus Christ;|如 今 那 些 在 基 督 耶 穌 裡 的 、 就 不 定 罪 了 。
vì luật pháp của Thánh Linh sự sống đã nhờ Đức Chúa Jêsus Christ buông tha tôi khỏi luật pháp của sự tội và sự chết.|因 為 賜 生 命 聖 靈 的 律 、 在 基 督 耶 穌 裡 釋 放 了 我 、 使 我 脫 離 罪 和 死 的 律 了 。
Vì điều chi luật pháp không làm nổi, tại xác thịt làm cho luật pháp ra yếu đuối, thì Đức Chúa Trời đã làm rồi: Ngài đã vì cớ tội lỗi sai chính Con mình lấy xác thịt giống như xác thịt tội lỗi chúng ta, và đã đoán phạt tội lỗi trong xác thịt,|律 法 既 因 肉 體 軟 弱 、 有 所 不 能 行 的 、 　 神 就 差 遣 自 己 的 兒 子 、 成 為 罪 身 的 形 狀 、 作 了 贖 罪 祭 、 在 肉 體 中 定 了 罪 案 ．
hầu cho sự công bình mà luật pháp buộc phải làm được trọn trong chúng ta, là kẻ chẳng noi theo xác thịt, nhưng noi theo Thánh Linh.|使 律 法 的 義 、 成 就 在 我 們 這 不 隨 從 肉 體 、 只 隨 從 聖 靈 的 人 身 上 。
Thật thế, kẻ sống theo xác thịt thì chăm những sự thuộc về xác thịt; còn kẻ sống theo Thánh Linh thì chăm những sự thuộc về Thánh Linh.|因 為 隨 從 肉 體 的 人 、 體 貼 肉 體 的 事 ． 隨 從 聖 靈 的 人 、 體 貼 聖 靈 的 事 。
Vả, chăm về xác thịt sanh ra sự chết, còn chăm về Thánh Linh sanh ra sự sống và bình an;|體 貼 肉 體 的 就 是 死 ． 體 貼 聖 靈 的 乃 是 生 命 平 安 ．
vì sự chăm về xác thịt nghịch với Đức Chúa Trời, bởi nó không phục dưới luật pháp Đức Chúa Trời, lại cũng không thể phục được.|原 來 體 貼 肉 體 、 就 是 與 　 神 為 仇 ． 因 為 不 服 　 神 的 律 法 、 也 是 不 能 服 。
Vả, những kẻ sống theo xác thịt, thì không thể đẹp lòng Đức Chúa Trời.|而 且 屬 肉 體 的 人 、 不 能 得 　 神 的 喜 歡 。
Về phần anh em, nếu thật quả Thánh Linh Đức Chúa Trời ở trong mình, thì không sống theo xác thịt đâu, nhưng theo Thánh Linh; song nếu ai không có Thánh Linh của Đấng Christ, thì người ấy chẳng thuộc về Ngài.|如 果 　 神 的 靈 住 在 你 們 心 裡 、 你 們 就 不 屬 肉 體 、 乃 屬 聖 靈 了 ． 人 若 沒 有 基 督 的 靈 、 就 不 是 屬 基 督 的 。
Vậy nếu Đấng Christ ở trong anh em, thì thân thể chết nhơn cớ tội lỗi, mà thần linh sống nhơn cớ sự công bình.|基 督 若 在 你 們 心 裡 、 身 體 就 因 罪 而 死 、 心 靈 卻 因 義 而 活 ．
Lại nếu Thánh Linh của Đấng làm cho Đức Chúa Jêsus sống lại từ trong kẻ chết ở trong anh em, thì Đấng làm cho Đức Chúa Jêsus Christ sống lại từ trong kẻ chết cũng sẽ nhờ Thánh Linh Ngài ở trong anh em mà khiến thân thể hay chết của anh em lại sống.|然 而 叫 耶 穌 從 死 裡 復 活 者 的 靈 、 若 住 在 你 們 心 裡 、 那 叫 基 督 耶 穌 從 死 裡 復 活 的 、 也 必 藉 著 住 在 你 們 心 裡 的 聖 靈 、 使 你 們 必 死 的 身 體 又 活 過 來 。
Vậy, hỡi anh em, chúng ta chẳng mắc nợ xác thịt đâu, đặng sống theo xác thịt.|弟 兄 們 、 這 樣 看 來 、 我 們 並 不 是 欠 肉 體 的 債 、 去 順 從 肉 體 活 著 。
Thật thế, nếu anh em sống theo xác thịt thì phải chết; song nếu nhờ Thánh Linh, làm cho chết các việc của thân thể, thì anh em sẽ sống.|你 們 若 順 從 肉 體 活 著 必 要 死 ． 若 靠 著 聖 靈 治 死 身 體 的 惡 行 必 要 活 著 。
Vì hết thảy kẻ nào được Thánh Linh của Đức Chúa Trời dắt dẫn, đều là con của Đức Chúa Trời.|因 為 凡 被 　 神 的 靈 引 導 的 、 都 是 　 神 的 兒 子 。
Thật anh em đã chẳng nhận lấy thần trí của tôi mọi đặng còn ở trong sự sợ hãi; nhưng đã nhận lấy thần trí của sự làm con nuôi, và nhờ đó chúng ta kêu rằng: A-ba! Cha!|你 們 所 受 的 不 是 奴 僕 的 心 、 仍 舊 害 怕 ． 所 受 的 乃 是 兒 子 心 、 因 此 我 們 呼 叫 阿 爸 、 父 。
Chính Đức Thánh Linh làm chứng cho lòng chúng ta rằng chúng ta là con cái Đức Chúa Trời.|聖 靈 與 我 們 的 心 同 證 我 們 是 　 神 的 兒 女 ．
Lại nếu chúng ta là con cái, thì cũng là kẻ kế tự: kẻ kế tự Đức Chúa Trời và là kẻ đồng kế tự với Đấng Christ, miễn chúng ta đều chịu đau đớn với Ngài, hầu cho cũng được vinh hiển với Ngài.|既 是 兒 女 、 便 是 後 嗣 、 就 是 　 神 的 後 嗣 、 和 基 督 同 作 後 嗣 ． 如 果 我 們 和 他 一 同 受 苦 、 也 必 和 他 一 同 得 榮 耀 。
Vả, tôi tưởng rằng những sự đau đớn bây giờ chẳng đáng so sánh với sự vinh hiển hầu đến, là sự sẽ được bày ra trong chúng ta.|我 想 現 在 的 苦 楚 、 若 比 起 將 來 要 顯 於 我 們 的 榮 耀 、 就 不 足 介 意 了 。
Thật thế, muôn vật ước ao, nóng nảy mà trông đợi con cái Đức Chúa Trời được tỏ ra.|受 造 之 物 、 切 望 等 候 　 神 的 眾 子 顯 出 來 。
Vì muôn vật đã bị bắt phục sự hư không, chẳng phải tự ý mình, bèn là bởi cớ Đấng bắt phục.|因 為 受 造 之 物 服 在 虛 空 之 下 、 不 是 自 己 願 意 、 乃 是 因 那 叫 他 如 此 的 。
Muôn vật mong rằng mình cũng sẽ được giải cứu khỏi làm tôi sự hư nát, đặng dự phần trong sự tự do vinh hiển của con cái Đức Chúa Trời.|但 受 造 之 物 仍 然 指 望 脫 離 敗 壞 的 轄 制 、 得 享 　 神 兒 女 自 由 的 榮 耀 。 〔 享 原 文 作 入 〕
Vì chúng ta biết rằng muôn vật đều than thở và chịu khó nhọc cho đến ngày nay;|我 們 知 道 一 切 受 造 之 物 、 一 同 歎 息 勞 苦 、 直 到 如 今 。
không những muôn vật thôi, lại chúng ta, là kẻ có trái đầu mùa của Đức Thánh Linh, cũng than thở trong lòng đang khi trông đợi sự làm con nuôi, tức là sự cứu chuộc thân thể chúng ta vậy.|不 但 如 此 、 就 是 我 們 這 有 聖 靈 初 結 果 子 的 、 也 是 自 己 心 裡 歎 息 、 等 候 得 著 兒 子 的 名 分 、 乃 是 我 們 的 身 體 得 贖 。
Vì chúng ta được cứu trong sự trông cậy, nhưng khi người ta đã thấy điều mình trông cậy rồi, ấy không phải là trông nữa: mình thấy rồi, sao còn trông làm chi?|我 們 得 救 是 在 乎 盼 望 ． 只 是 所 見 的 盼 望 不 是 盼 望 ． 誰 還 盼 望 他 所 看 的 呢 。 〔 有 古 卷 作 人 所 看 見 的 何 必 再 盼 望 呢 〕
Song nếu chúng ta trông điều mình không thấy, ấy là chúng ta chờ đợi điều đó cách nhịn nhục.|但 我 們 若 盼 望 那 所 不 見 的 、 就 必 忍 耐 等 候 。
Cũng một lẽ ấy, Đức Thánh Linh giúp cho sự yếu đuối chúng ta. Vì chúng ta chẳng biết sự mình phải xin đặng cầu nguyện cho xứng đáng; nhưng chính Đức Thánh Linh lấy sự thở than không thể nói ra được mà cầu khẩn thay cho chúng ta.|況 且 我 們 的 軟 弱 有 聖 靈 幫 助 、 我 們 本 不 曉 得 當 怎 樣 禱 告 、 只 是 聖 靈 親 自 用 說 不 出 來 的 歎 息 、 替 我 們 禱 告 。
Đấng dò xét lòng người hiểu biết ý tưởng của Thánh Linh là thể nào, vì ấy là theo ý Đức Chúa Trời mà Ngài cầu thế cho các thánh đồ vậy.|鑒 察 人 心 的 、 曉 得 聖 靈 的 意 恩 ． 因 為 聖 靈 照 著 　 神 的 旨 意 替 聖 徒 祈 求 。
Vả, chúng ta biết rằng mọi sự hiệp lại làm ích cho kẻ yêu mến Đức Chúa Trời, tức là cho kẻ được gọi theo ý muốn Ngài đã định.|我 們 曉 得 萬 事 都 互 相 效 力 、 叫 愛 　 神 的 人 得 益 處 、 就 是 按 他 旨 意 被 召 的 人 。
Vì Ngài cũng đã định sẵn để nên giống như hình bóng Con Ngài, hầu cho Con nầy được làm Con cả ở giữa nhiều anh em;|因 為 他 豫 先 所 知 道 的 人 、 就 豫 先 定 下 效 法 他 兒 子 的 模 樣 使 他 兒 子 在 許 多 弟 兄 中 作 長 子 ．
còn những kẻ Ngài đã định sẵn, thì Ngài cũng đã gọi, những kẻ Ngài đã gọi, thì Ngài cũng đã xưng là công bình, và những kẻ Ngài đã xưng là công bình, thì Ngài cũng đã làm cho vinh hiển.|豫 先 所 定 下 的 人 又 召 他 們 來 ． 所 召 來 的 人 、 又 稱 他 們 為 義 ． 所 稱 為 義 的 人 、 又 叫 他 們 得 榮 耀 。
Đã vậy thì chúng ta sẽ nói làm sao? Nếu Đức Chúa Trời vùa giúp chúng ta, thì còn ai nghịch với chúng ta?|既 是 這 樣 、 還 有 甚 麼 說 的 呢 ． 　 神 若 幫 助 我 們 、 誰 能 敵 擋 我 們 呢 。
Ngài đã không tiếc chính Con mình, nhưng vì chúng ta hết thảy mà phó Con ấy cho, thì Ngài há chẳng cũng sẽ ban mọi sự luôn với Con ấy cho chúng ta sao?|　 神 既 不 愛 惜 自 己 的 兒 子 為 我 們 眾 人 捨 了 、 豈 不 也 把 萬 物 和 他 一 同 白 白 的 賜 給 我 們 麼 。
Ai sẽ kiện kẻ lựa chọn của Đức Chúa Trời: Đức Chúa Trời là Đấng xưng công bình những kẻ ấy.|誰 能 控 告 　 神 所 揀 選 的 人 呢 ． 有 　 神 稱 他 們 為 義 了 。 〔 或 作 是 稱 他 們 為 義 的 　 神 麼 〕
Ai sẽ lên án họ ư? Đức Chúa Jêsus Christ là Đấng đã chết, và cũng đã sống lại nữa. Ngài đang ngự bên hữu Đức Chúa Trời, cầu nguyện thế cho chúng ta.|誰 能 定 他 們 的 罪 呢 ． 有 基 督 耶 穌 已 經 死 了 、 而 且 從 死 裡 復 活 、 現 今 在 　 神 的 右 邊 、 也 替 我 們 祈 求 。 〔 有 基 督 云 云 或 作 是 已 經 死 了 而 且 從 死 裡 復 活 現 今 在 　 神 的 右 邊 也 替 我 們 祈 求 的 基 督 耶 穌 麼 〕
Ai sẽ phân rẽ chúng ta khỏi sự yêu thương của Đấng Christ? có phải hoạn nạn, khốn cùng, bắt bớ, đói khát, trần truồng, nguy hiểm, hay là gươm giáo chăng?|誰 能 使 我 們 與 基 督 的 愛 隔 絕 呢 ． 難 道 是 患 難 麼 、 是 困 苦 麼 、 是 逼 迫 麼 、 是 飢 餓 麼 、 是 赤 身 露 體 麼 、 是 危 險 麼 、 是 刀 劍 麼 。
Như có chép rằng: Vì cớ Ngài, chúng tôi bị giết cả ngày; Họ coi chúng tôi như chiên định đem đến hàng làm thịt.|如 經 上 所 記 、 『 我 們 為 你 的 緣 故 、 終 日 被 殺 ． 人 看 我 們 如 將 宰 的 羊 。 』
Trái lại, trong mọi sự đó, chúng ta nhờ Đấng yêu thương mình mà thắng hơn bội phần.|然 而 靠 著 愛 我 們 的 主 、 在 這 一 切 的 事 上 、 已 經 得 勝 有 餘 了 。
Vì tôi chắc rằng bất kỳ sự chết, sự sống, các thiên sứ, các kẻ cầm quyền, việc bây giờ, việc hầu đến, quyền phép,|因 為 我 深 信 無 論 是 死 、 是 生 、 是 天 使 、 是 掌 權 的 、 是 有 能 的 、 是 現 在 的 事 、 是 將 來 的 事 、
bề cao, hay là bề sâu, hoặc một vật nào, chẳng có thể phân rẽ chúng ta khỏi sự yêu thương mà Đức Chúa Trời đã chứng cho chúng ta trong Đức Chúa Jêsus Christ, là Chúa chúng ta.|是 高 處 的 、 是 低 處 的 、 是 別 的 受 造 之 物 、 都 不 能 叫 我 們 與 　 神 的 愛 隔 絕 ． 這 愛 是 在 我 們 的 主 基 督 耶 穌 裡 的 。

					Rô-ma 9				|
						羅馬書 9					
Tôi nói thật trong Đấng Christ, tôi không nói dối, lương tâm tôi làm chứng cho tôi bởi Đức Chúa Trời:|我 在 基 督 裡 說 真 話 、 並 不 謊 言 、 有 我 良 心 被 聖 靈 感 動 、 給 我 作 見 證 ．
tôi buồn bực lắm, lòng tôi hằng đau đớn.|我 是 大 有 憂 愁 、 心 裡 時 常 傷 痛 。
Bởi tôi ước ao có thể chính mình bị dứt bỏ, lìa khỏi Đấng Christ, vì anh em bà con tôi theo phần xác,|為 我 弟 兄 、 我 骨 肉 之 親 、 就 是 自 己 被 咒 詛 、 與 基 督 分 離 、 我 也 願 意 。
tức dân Y-sơ-ra-ên, là dân được những sự làm con nuôi, sự vinh hiển, lời giao ước, luật pháp, sự thờ phượng và lời hứa;|他 們 是 以 色 列 人 ． 那 兒 子 的 名 分 、 榮 耀 、 諸 約 、 律 法 、 禮 儀 、 應 許 、 都 是 他 們 的 ．
là dân sanh hạ bởi các tổ phụ, và theo phần xác, bởi dân ấy sanh ra Đấng Christ, là Đấng trên hết mọi sự, tức là Đức Chúa Trời đáng ngợi khen đời đời. A-men.|列 祖 就 是 他 們 的 祖 宗 、 按 肉 體 說 、 基 督 也 是 從 他 們 出 來 的 、 他 是 在 萬 有 之 上 、 永 遠 可 稱 頌 的 　 神 。 阿 們 。
Ay chẳng phải lời Đức Chúa Trời là vô ích. Vì những kẻ bởi Y-sơ-ra-ên sanh hạ, chẳng phải vì đó mà hết thảy đều là người Y-sơ-ra-ên.|這 不 是 說 　 神 的 話 落 了 空 ． 因 為 從 以 色 列 生 的 、 不 都 是 以 色 列 人 ．
cũng không phải vì là dòng dõi Ap-ra-ham thì hết thảy đều là con cái người; nhưng có chép rằng: Ay là bởi Y-sác mà ngươi sẽ có một dòng dõi gọi theo tên ngươi;|也 不 因 為 是 亞 伯 拉 罕 的 後 裔 、 就 都 作 他 的 兒 女 ． 惟 獨 『 從 以 撒 生 的 、 纔 要 稱 為 你 的 後 裔 。 』
nghĩa là chẳng phải con cái thuộc về xác thịt là con cái Đức Chúa Trời, nhưng con cái thuộc về lời hứa thì được kể là dòng dõi Ap-ra-ham vậy.|這 就 是 說 、 肉 身 所 生 的 兒 女 、 不 是 　 神 的 兒 女 ． 惟 獨 那 應 許 的 兒 女 、 纔 算 是 後 裔 。
Vả, lời nầy thật là một lời hứa: Cũng kỳ nầy ta sẽ lại đến, Sa-ra sẽ có một con trai.|因 為 所 應 許 的 話 是 這 樣 說 、 『 到 明 年 這 時 候 我 要 來 、 撒 拉 必 生 一 個 兒 子 。 』
Nào những thế thôi, về phần Rê-be-ca, khi bà ấy bởi tổ phụ chúng ta là Y-sác mà có thai đôi cũng vậy.|不 但 如 此 、 還 有 利 百 加 、 既 從 一 個 人 、 就 是 從 我 們 的 祖 宗 以 撒 懷 了 孕 ．
Vì, khi hai con chưa sanh ra, chưa làm điều chi lành hay dữ hầu cho được giữ vững ý chỉ Đức Chúa Trời, là ý định sẵn bởi sự kén chọn tự do của Ngài, chẳng cứ việc làm, nhưng cứ Đấng kêu gọi|（ 雙 子 還 沒 有 生 下 來 、 善 惡 還 沒 有 作 出 來 、 只 因 要 顯 明 　 神 揀 選 人 的 旨 意 、 不 在 乎 人 的 行 為 、 乃 在 乎 召 人 的 主 ）
thì có lời phán cho mẹ của hai con rằng: Đứa lớn sẽ làm tôi đứa nhỏ;|　 神 就 對 利 百 加 說 、 『 將 來 大 的 要 服 事 小 的 。 』
như có chép rằng: Ta yêu Gia-cốp và ghét Ê-sau.|正 如 經 上 所 記 、 『 雅 各 是 我 所 愛 的 、 以 掃 是 我 所 惡 的 。 』
Vậy chúng ta sẽ nói làm sao? Có sự không công bình trong Đức Chúa Trời sao? Chẳng hề như vậy!|這 樣 、 我 們 可 說 甚 麼 呢 ． 難 道 　 神 有 甚 麼 不 公 平 麼 ． 斷 乎 沒 有 。
Vì Ngài phán cùng Môi-se rằng: Ta sẽ làm ơn cho kẻ ta làm ơn, ta sẽ thương xót kẻ ta thương xót.|因 他 對 摩 西 說 、 『 我 要 憐 憫 誰 、 就 憐 憫 誰 、 要 恩 待 誰 、 就 恩 待 誰 。 』
Vậy điều đó chẳng phải bởi người nào ao ước hay người nào bôn ba mà được, bèn là bởi Đức Chúa Trời thương xót.|據 此 看 來 、 這 不 在 乎 那 定 意 的 、 也 不 在 乎 那 奔 跑 的 、 只 在 乎 發 憐 憫 的 　 神 。
Trong Kinh Thánh cũng có phán cùng Pha-ra-ôn rằng: Nầy là cớ vì sao ta đã dấy ngươi lên, ấy là để tỏ quyền phép ta ra trong ngươi, hầu cho danh ta được truyền ra khắp đất.|因 為 經 上 有 話 向 法 老 說 、 『 我 將 你 興 起 來 、 特 要 在 你 身 上 彰 顯 我 的 權 能 、 並 要 使 我 的 名 傳 遍 天 下 。 』
Như vậy, Ngài muốn thương xót ai thì thương xót, và muốn làm cứng lòng ai thì làm.|如 此 看 來 、 　 神 要 憐 憫 誰 、 就 憐 憫 誰 、 要 叫 誰 剛 硬 、 就 叫 誰 剛 硬 。
Vậy thì người sẽ hỏi ta rằng: Sao Ngài còn quở trách? Vì có ai chống lại ý muốn Ngài được chăng?|這 樣 、 你 必 對 我 說 、 他 為 甚 麼 還 指 責 人 呢 ． 有 誰 抗 拒 他 的 旨 意 呢 。
Nhưng, hỡi người, ngươi là ai, mà dám cãi lại cùng Đức Chúa Trời? Có lẽ nào cái bình bằng đất sét lại nói với kẻ nắn nên mình rằng: Sao ngươi đã làm nên ta như vậy?|你 這 個 人 哪 、 你 是 誰 、 竟 敢 向 　 神 強 嘴 呢 ． 受 造 之 物 豈 能 對 造 他 的 說 、 你 為 甚 麼 這 樣 造 我 呢 。
Người thợ gốm há chẳng có quyền trên đất sét, cùng trong một đống mà làm ra hạng bình để dùng việc sang trọng, lại hạng bình khác để dùng việc hèn hạ sao?|? 匠 難 道 沒 有 權 柄 、 從 一 團 泥 裡 拿 一 塊 作 成 貴 重 的 器 皿 、 又 拿 一 塊 作 成 卑 賤 的 器 皿 麼 。
Nếu Đức Chúa Trời muốn tỏ ra cơn thạnh nộ và làm cho bởi thế quyền phép Ngài, đã lấy lòng khoan nhẫn lớn chịu những bình đáng giận sẵn cho sự hư mất,|倘 若 　 神 要 顯 明 他 的 忿 怒 、 彰 顯 他 的 權 能 、 就 多 多 忍 耐 寬 容 那 可 怒 豫 備 遭 毀 滅 的 器 皿 ．
để cũng làm cho biết sự giàu có của vinh hiển Ngài bởi những bình đáng thương xót mà Ngài đã định sẵn cho sự vinh hiển, thì còn nói chi được ư?|又 要 將 他 豐 盛 的 榮 耀 、 彰 顯 在 那 蒙 憐 憫 早 豫 備 得 榮 耀 的 器 皿 上 ．
Đó tôi nói về chúng ta, là kẻ Ngài đã gọi, chẳng những từ trong dân ngoại nữa.|這 器 皿 就 是 我 們 被 　 神 所 召 的 、 不 但 是 從 猶 太 人 中 、 也 是 從 外 邦 人 中 、 這 有 甚 麼 不 可 呢 。
Như Ngài phán trong sách Ô-sê rằng: Ta sẽ gọi kẻ chẳng phải dân ta là dân ta, Kẻ chẳng được yêu dấu là yêu dấu;|就 像 　 神 在 何 西 阿 書 上 說 、 『 那 本 來 不 是 我 子 民 的 、 我 要 稱 為 我 的 子 民 ． 本 來 不 是 蒙 愛 的 、 我 要 稱 為 蒙 愛 的 。
Lại xảy ra trong nơi Ngài phán cùng họ rằng: Các ngươi chẳng phải là dân ta đâu, Cũng lại nơi đó họ sẽ được xưng là con của Đức Chúa Trời hằng sống.|從 前 在 甚 麼 地 方 對 他 們 說 、 你 們 不 是 我 的 子 民 、 將 來 就 在 那 裡 稱 他 們 為 永 生 　 神 的 兒 子 。 』
Còn Ê-sai nói về dân Y-sơ-ra-ên mà kêu lên rằng: Dầu số con cái Y-sơ-ra-ên như cát dưới biển, chỉ một phần sót lại sẽ được cứu mà thôi;|以 賽 亞 指 著 以 色 列 人 喊 著 說 、 『 以 色 列 人 雖 多 如 海 沙 、 得 救 的 不 過 是 剩 下 的 餘 數 ．
vì Chúa sẽ làm ứng nghiệm lời Ngài cách trọn vẹn và vội vàng trên đất.|因 為 主 要 在 世 上 施 行 他 的 話 、 叫 他 的 話 都 成 全 、 速 速 的 完 結 。 』
Lại như Ê-sai đã nói tiên tri rằng: Nếu Chúa vạn quân chẳng để lại một cái mầm của dòng giống chúng ta, Thì chúng ta đã trở nên như thành Sô-đôm và giống như thành Gô-mô-rơ vậy.|又 如 以 賽 亞 先 前 說 過 、 『 若 不 是 萬 軍 之 主 給 我 們 存 留 餘 種 、 我 們 早 已 像 所 多 瑪 、 蛾 摩 拉 的 樣 子 了 。 』
Vậy chúng ta sự nói làm sao? Những dân ngoại chẳng tìm sự công bình, thì đã được sự công bình, nhưng là sự công bình đến bởi Đức Chúa Trời;|這 樣 、 我 們 可 說 甚 麼 呢 ． 那 本 來 不 追 求 義 的 外 邦 人 、 反 得 了 義 、 就 是 因 信 而 得 的 義 ．
còn như dân Y-sơ-ra-ên tìm luật pháp của sự công bình, thì không đạt đến luật pháp ấy.|但 以 色 列 人 追 求 律 法 的 義 、 反 得 不 著 律 法 的 義 。
Tại sao? Tại họ chẳng bởi đức tin mà tìm, nhưng bởi việc làm. Họ đã vấp phải hòn đá ngăn trở,|這 是 甚 麼 緣 故 呢 ． 是 因 為 他 們 不 憑 著 信 心 求 、 只 憑 著 行 為 求 ． 他 們 正 跌 在 那 絆 腳 石 上 ．
như có chép rằng: Nầy ta để tại Si-ôn một hòn đá ngăn trở, tức là hòn đá lớn làm cho vấp ngã; Hễ ai tin đến thì khỏi bị hổ thẹn.|就 如 經 上 所 記 、 『 我 在 錫 安 放 一 塊 絆 腳 的 石 頭 、 跌 人 的 磐 石 ． 信 靠 他 的 人 必 不 至 於 羞 愧 。 』

					Rô-ma 10				|
						羅馬書 10					
Hỡi anh em, sự ước ao trong lòng tôi và lời tôi vì dân Y-sơ-ra-ên cầu nguyện cùng Đức Chúa Trời, ấy là cho họ được cứu.|弟 兄 們 、 我 心 裡 所 願 的 、 向 　 神 所 求 的 、 是 要 以 色 列 人 得 救 。
Vì tôi làm chứng cho họ rằng họ có lòng sốt sắng về Đức Chúa Trời, nhưng lòng sốt sắng đó là không phải theo trí khôn.|我 可 以 證 明 他 們 向 　 神 有 熱 心 、 但 不 是 按 著 真 知 識 ．
Bởi họ không nhận biết sự công bình của Đức Chúa Trời và tìm cách lập sự công bình riêng của mình, nên không chịu phục sự công bình của Đức Chúa Trời;|因 為 不 知 道 　 神 的 義 、 想 要 立 自 己 的 義 、 就 不 服 　 神 的 義 了 。
vì Đấng Christ là sự cuối cùng của luật pháp, đặng xưng mọi kẻ tin là công bình.|律 法 的 總 結 就 是 基 督 、 使 凡 信 他 的 都 得 著 義 。
Vả, Môi-se luận sự công bình đến bởi luật pháp cách nầy: Hễ ai làm theo điều đó thì nhờ đó mà sống.|摩 西 寫 著 說 、 『 人 若 行 那 出 於 律 法 的 義 、 就 必 因 此 活 著 。 』
Nhưng sự công bình đến bởi đức tin, thì nói như vầy: Chớ nói trong lòng ngươi rằng: Ai sẽ lên trời? ấy là để đem Đấng Christ xuống;|惟 有 出 於 信 心 的 義 如 此 說 、 『 你 不 要 心 裡 說 、 誰 要 升 到 天 上 去 呢 ． 就 是 要 領 下 基 督 來 ．
hay là: Ai sẽ xuống vực sâu? ấy là để đem Đấng Christ từ trong kẻ chết lại lên.|誰 要 下 到 陰 間 去 呢 ． 就 是 要 領 基 督 從 死 裡 上 來 。 』
Nhưng nói làm sao? Đạo ở gần ngươi, ở trong miệng và trong lòng ngươi. Ay là đạo đức tin và chúng ta giảng dạy.|他 到 底 怎 麼 說 呢 ． 他 說 、 『 這 道 離 你 不 遠 、 正 在 你 口 裡 、 在 你 心 裡 。 』 就 是 我 們 所 傳 信 主 的 道 。
Vậy nếu miệng ngươi xưng Đức Chúa Jêsus ra và lòng ngươi tin rằng Đức Chúa Trời đã khiến Ngài từ kẻ chết sống lại, thì ngươi sẽ được cứu;|你 若 口 裡 認 耶 穌 為 主 、 心 裡 信 　 神 叫 他 從 死 裡 復 活 、 就 必 得 救 ．
vì tin bởi trong lòng mà được sự công bình, còn bởi miệng làm chứng mà được sự cứu rỗi.|因 為 人 心 裡 相 信 、 就 可 以 稱 義 ． 口 裡 承 認 、 就 可 以 得 救 。
Vả, Kinh-Thánh nói rằng: Kẻ nào tin Ngài sẽ chẳng bị hổ thẹn.|經 上 說 、 『 凡 信 他 的 人 、 必 不 至 於 羞 愧 。 』
Trong người Giu-đa và người Gờ-réc không có sự phân biệt gì hết, vì họ có chung một Chúa, giàu ơn đối với mọi kẻ kêu xin Ngài.|猶 太 人 和 希 利 尼 人 、 並 沒 有 分 別 ． 因 為 眾 人 同 有 一 位 主 、 他 也 厚 待 一 切 求 告 他 的 人 ．
Vì ai kêu cầu danh Chúa thì sẽ được cứu.|因 為 『 凡 求 告 主 名 的 、 就 必 得 救 。 』
Nhưng họ chưa tin Ngài thì kêu cầu sao được? Chưa nghe nói về Ngài thì làm thể nào mà tin? Nếu chẳng ai rao giảng, thì nghe làm sao?|然 而 人 未 曾 信 他 、 怎 能 求 他 呢 ． 未 曾 聽 見 他 、 怎 能 信 他 呢 ． 有 沒 傳 道 的 、 怎 能 聽 見 呢 。
Lại nếu chẳng ai được sai đi, thì rao giảng thể nào? như có chép rằng: Những bàn chơn kẻ rao truyền tin Lành là tốt đẹp biết bao!|若 沒 有 奉 差 遣 、 怎 能 傳 道 呢 ． 如 經 上 所 記 、 『 報 福 音 傳 喜 信 的 人 、 他 們 的 腳 蹤 何 等 佳 美 。 』
Nhưng chẳng phải mọi người đều nghe theo tin lành đâu; vì Ê-sai có nói rằng: Lạy Chúa, ai tin lời chúng tôi rao giảng?|只 是 人 沒 有 都 聽 從 福 音 ． 因 為 以 賽 亞 說 、 『 主 阿 、 我 們 所 傳 的 有 誰 信 呢 。 』
Như vậy, đức tin đến bởi sự người ta nghe, mà người ta nghe, là khi lời của Đấng Christ được rao giảng.|可 見 信 道 是 從 聽 道 來 的 、 聽 道 是 從 基 督 的 話 來 的 。
Nhưng tôi hỏi: Có phải là họ chưa nghe chăng? Trái lại, Tiếng của các sứ giả đã vang khắp đất, Và lời của sứ giả đã đạt đến cùng thế gian.|但 我 說 、 人 沒 有 聽 見 麼 ． 誠 然 聽 見 了 ． 『 他 們 的 聲 音 傳 遍 天 下 、 他 們 的 言 語 傳 到 地 極 。 』
Tôi lại hỏi: Thế mà dân Y-sơ-ra-ên chẳng biết chi hết sao? Môi-se đã nói rằng: Ta sẽ giục lòng ganh tị các ngươi bởi kẻ chẳng phải là dân; Ta sẽ chọc giận các ngươi bởi một dân ngu dốt.|我 再 說 、 以 色 列 人 不 知 道 麼 ． 先 有 摩 西 說 、 『 我 要 用 那 不 成 子 民 的 、 惹 動 你 們 的 憤 恨 ． 我 要 用 那 無 知 的 民 、 觸 動 你 們 的 怒 氣 。 』
Lại Ê-sai nói cách bạo dạn rằng: Những kẻ chẳng tìm kiếm ta thì đã gặp thấy ta, Ta đã tỏ mình ra cho kẻ chẳng hỏi han ta.|又 有 以 賽 亞 放 膽 說 、 『 沒 有 尋 找 我 的 、 我 叫 他 們 遇 見 ． 沒 有 訪 問 我 的 、 我 向 他 們 顯 現 。 』
Song về dân Y-sơ-ra-ên, thì rằng: Ta đã giơ tay ra cả ngày hướng về dân bội nghịch và hay nói trái.|至 於 以 色 列 人 、 他 說 、 『 我 整 天 伸 手 招 呼 那 悖 逆 頂 嘴 的 百 姓 。 』

					Rô-ma 11				|
