
					II Các Vua 1				|
Người làm điều ác trước mặt Đức Giê-hô-va, chẳng từ bỏ tội lỗi của Giê-rô-bô-am, con trai Nê-bát, đã gây cho Y-sơ-ra-ên phạm tội.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 不 離 開 尼 八 的 兒 子 耶 羅 波 安 使 以 色 列 人 陷 在 罪 裡 的 一 切 罪 。
Người khôi phục bờ cõi Y-sơ-ra-ên từ nơi giáp Ha-mát cho đến biển đồng bằng, theo như lời Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên đã phán bởi miệng tiên tri Giô-na, tôi tớ Ngài, là con trai A-mi-tai, ở tại Gát-Hê-phe.|他 收 回 以 色 列 邊 界 之 地 、 從 哈 馬 口 直 到 亞 拉 巴 海 、 正 如 耶 和 華 以 色 列 的 　 神 藉 他 僕 人 迦 特 希 弗 人 亞 米 太 的 兒 子 先 知 約 拿 所 說 的 ．
Vả, Đức Giê-hô-va đã thấy Y-sơ-ra-ên bị gian nan rất cay đắng; vì trong Y-sơ-ra-ên chẳng còn ai tự do, hoặc nô lệ nữa, cũng chẳng có ai tiếp cứu Y-sơ-ra-ên.|因 為 耶 和 華 看 見 以 色 列 人 甚 是 艱 苦 ． 無 論 困 住 的 自 由 的 、 都 沒 有 了 、 也 無 人 幫 助 以 色 列 人 。
Đức Giê-hô-va không có phán rằng Ngài sẽ xóa danh Y-sơ-ra-ên khỏi dưới trời, bèn cậy Giê-rô-bô-am, con trai Giô-ách, mà giải cứu họ.|耶 和 華 並 沒 有 說 要 將 以 色 列 的 名 從 天 下 塗 抹 ． 乃 藉 約 阿 施 的 兒 子 耶 羅 波 安 拯 救 他 們 。
Các chuyện khác của Giê-rô-bô-am, những công việc người, sự mạnh dạn người, thể nào người chiến trận và khôi phục lại cho Y-sơ-ra-ên Đa-mách và Ha-mát trước đã phục Giu-đa, mọi việc ấy đều đã chép trong sử ký về các vua Y-sơ-ra-ên.|耶 羅 波 安 其 餘 的 事 、 凡 他 所 行 的 、 和 他 的 勇 力 、 他 怎 樣 爭 戰 、 怎 樣 收 回 大 馬 色 和 先 前 屬 猶 大 的 哈 馬 歸 以 色 列 、 都 寫 在 以 色 列 諸 王 記 上 。
Giê-rô-bô-am an giấc cùng các tổ phụ người, là các vua Y-sơ-ra-ên; rồi Xa-cha-ri, con trai người, kế vị người.|耶 羅 波 安 與 他 列 祖 以 色 列 諸 王 同 睡 ． 他 兒 子 撒 迦 利 雅 接 續 他 作 王 。

					II Các Vua 15				|
						列王紀下 15					
Năm thứ hai mươi bảy đời Giê-rô-bô-am, vua Y-sơ-ra-ên, thì A-xa-ria, con trai A-ma-xia, vua Giu-đa, lên làm vua.|以 色 列 王 耶 羅 波 安 二 十 七 年 、 猶 大 王 亞 瑪 謝 的 兒 子 亞 撒 利 雅 登 基 ．
Người được mười sáu tuổi khi lên ngôi, và cai trị năm mươi hai năm tại Giê-ru-sa-lem. Mẹ người tên là Giê-cô-lia, quê ở Giê-ru-sa-lem.|他 登 基 的 時 候 、 年 十 六 歲 、 在 耶 路 撒 冷 作 王 五 十 二 年 ． 他 母 親 名 叫 耶 可 利 雅 、 是 耶 路 撒 冷 人 。
Người làm điều thiện trước mặt Đức Giê-hô-va, cứ theo mọi điều của A-ma-xia, cha người đã làm.|亞 撒 利 雅 行 耶 和 華 眼 中 看 為 正 的 事 、 效 法 他 父 親 亞 瑪 謝 一 切 所 行 的 ．
Thế mà người không dỡ các nơi cao đi; dân sự cứ cúng tế và xông hương trên các nơi cao.|只 是 邱 壇 還 沒 有 廢 去 ． 百 姓 仍 在 那 裡 獻 祭 燒 香 。
Đức Giê-hô-va giáng họa cho vua, khiến bị bịnh phung cho đến ngày người chết; người phải rút ở trong nhà riêng. Giô-tham, con trai vua, cai quản đền vua và xét đoán dân sự của xứ.|耶 和 華 降 災 與 王 、 使 他 長 大 痲 瘋 、 直 到 死 日 、 他 就 住 在 別 的 宮 裡 ． 他 的 兒 子 約 坦 管 理 家 事 、 治 理 國 民 。
Các chuyện khác của A-xa-ria, những công việc người, đều đã chép trong sử ký về các vua Giu-đa.|亞 撒 利 雅 其 餘 的 事 、 凡 他 所 行 的 、 都 寫 在 猶 大 列 王 記 上 ．
A-xa-ria an giấc cùng các tổ phụ người, và được chôn cùng họ tại trong thành Đa-vít. Giô-tham, con trai người, kế vị người.|亞 撒 利 雅 與 他 列 祖 同 睡 、 葬 在 大 衛 城 他 列 祖 的 墳 地 裡 ． 他 兒 子 約 坦 接 續 他 作 王 。
Năm thứ ba mươi tám đời A-xa-ria, vua Giu-đa, Xa-cha-ri, con trai Giê-rô-bô-am, lên làm vua Y-sơ-ra-ên tại Sa-ma-ri; người cai trị sáu tháng.|猶 大 王 亞 撒 利 雅 三 十 八 年 、 耶 羅 波 安 的 兒 子 撒 迦 利 雅 在 撒 瑪 利 亞 作 以 色 列 王 六 個 月 。
Người làm điều ác trước mặt Đức Giê-hô-va, y như các tổ phụ mình đã làm; người không từ bỏ tội lỗi của Giê-rô-bô-am, con trai Nê-bát, là tội đã gây cho Y-sơ-ra-ên phạm tội.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 效 法 他 列 祖 所 行 的 、 不 離 開 尼 八 的 兒 子 耶 羅 波 安 使 以 色 列 人 陷 在 罪 裡 的 那 罪 。
Vả, Sa-lum, con trai Gia-be, dấy nghịch cùng người, đánh giết người tại trước mặt dân sự; đoạn làm vua thế cho người.|雅 比 的 兒 子 沙 龍 背 叛 他 、 在 百 姓 面 前 擊 殺 他 、 篡 了 他 的 位 。
Các chuyện khác của Xa-cha-ri đều chép trong sử ký về các vua Y-sơ-ra-ên.|撒 迦 利 雅 其 餘 的 事 、 都 寫 在 以 色 列 諸 王 記 上 。
Như vậy là ứng nghiệm lời của Đức Giê-hô-va phán cho Giê-hu rằng: Dòng dõi ngươi sẽ ngồi trên ngôi Y-sơ-ra-ên cho đến đời thứ tư. Thật vậy, ấy là điều đã xảy đến.|這 是 從 前 耶 和 華 應 許 耶 戶 說 、 你 的 子 孫 必 坐 以 色 列 的 國 位 直 到 四 代 ． 這 話 果 然 應 驗 了 。
Năm thứ ba mươi chín đời Ô-xia, vua Giu-đa, Sa-lum, con trai Gia-be, lên làm vua, cai trị một tháng tại Sa-ma-ri.|猶 大 王 烏 西 雅 〔 就 是 亞 撒 利 雅 〕 三 十 九 年 、 雅 比 的 兒 子 沙 龍 登 基 、 在 撒 瑪 利 亞 作 王 一 個 月 。
Mê-na-hem, con trai Ga-đi, ở Tiệt sa đi lên Sa-ma-ri, và giết người đi. Đoạn, Mê-ha-hem lên làm vua thế cho.|迦 底 的 兒 子 米 拿 現 從 得 撒 上 撒 瑪 利 亞 、 殺 了 雅 比 的 兒 子 沙 龍 、 篡 了 他 的 位 。
Các chuyện khác của Sa-lum, và người phản ngụy làm sao, đều chép trong sử ký về các vua Y-sơ-ra-ên.|沙 龍 其 餘 的 事 、 和 他 背 叛 的 情 形 、 都 寫 在 以 色 列 諸 王 記 上 。
Bấy giờ, Mê-na-hem đi khỏi Tiệt-sa, hãm đánh Típ-sắc, cả dân sự ở trong, và khắp địa hạt chung quanh, bởi vì thành ấy không khứng mở cửa cho; nên người đánh nó, và mổ bụng hết thảy người đàn bà có nghén ở tại đó.|那 時 米 拿 現 從 得 撒 起 、 攻 打 提 斐 薩 和 其 四 境 、 擊 殺 城 中 一 切 的 人 、 剖 開 其 中 所 有 的 孕 婦 ． 都 因 他 們 沒 有 給 他 開 城 。
Năm thứ ba mươi chín đời A-xa-ria, vua Giu-đa, thì Mê-na-hem, con trai Ga-đi, lên làm vua Y-sơ-ra-ên, và cai trị mười năm tại Sa-ma-ri.|猶 大 王 亞 撒 利 雅 三 十 九 年 、 迦 底 的 兒 子 米 拿 現 登 基 、 在 撒 瑪 利 亞 作 以 色 列 王 十 年 ．
Người làm điều ác trước mặt Đức Giê-hô-va; trọn đời chẳng hề lìa khỏi các tội lỗi của Giê-rô-bô-am, con trai Nê-bát, là tội đã gây cho Y-sơ-ra-ên phạm tội.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 終 身 不 離 開 尼 八 的 兒 子 耶 羅 波 安 使 以 色 列 人 陷 在 罪 裡 的 那 罪 。
Phun, vua A-si-ri, loán đến trong xứ; Mê-na-hem bèn nộp cho người một ngàn ta lâng bạc, để người giúp đỡ làm cho nước mình đặng vững vàng trong tay người.|亞 述 王 普 勒 來 攻 擊 以 色 列 國 ． 米 拿 現 給 他 一 千 他 連 得 銀 子 、 請 普 勒 幫 助 他 堅 定 國 位 。
Mê-na-hem thâu lấy tiền bạc ấy nơi dân Y-sơ-ra-ên, tức nơi nhữn người có tài sản nhiều, cứ mỗi người năm mươi siếc lơ bạc, đặng nộp cho vua A-si-ri. Đoạn, vua A-si-ri trở về, chẳng ở lâu tại xứ.|米 拿 現 向 以 色 列 一 切 大 富 戶 索 要 銀 子 、 使 他 們 各 出 五 十 舍 客 勒 、 就 給 了 亞 述 王 ． 於 是 亞 述 王 回 去 、 不 在 國 中 停 留 。
Các chuyện khác của Mê-na-hem, và những công việc người, đều đã chép trong sử ký về các vua Y-sơ-ra-ên.|米 拿 現 其 餘 的 事 、 凡 他 所 行 的 、 都 寫 在 以 色 列 諸 王 記 上 。
Mê-na-hem an giấc với các tổ phụ người, và Phê-ca-hia, con trai người, kế vị người.|米 拿 現 與 他 列 祖 同 睡 ． 他 兒 子 比 加 轄 接 續 他 作 王 。
Năm thứ năm mươi đời A-xa-ria, vua Giu-đa, thì Phê-ca-hia, con trai Mê-na-hem, lên làm vua Y-sơ-ra-ên tại Sa-ma-ri, và cai trị hai năm.|猶 大 王 亞 撒 利 雅 五 十 年 、 米 拿 現 的 兒 子 比 加 轄 在 撒 瑪 利 亞 登 基 、 作 以 色 列 王 二 年 。
Người làm điều ác trước mặt Đức Giê-hô-va, không từ bỏ tội lỗi của Giê-rô-bô-am, con trai Nê-bát, là tội đã gây cho Y-sơ-ra-ên phạm tội.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 不 離 開 尼 八 的 兒 子 耶 羅 波 安 使 以 色 列 人 陷 在 罪 裡 的 那 罪 。
Phê-ca, con trai Rê-ma-lia, quan tổng binh người, phản nghịch người, và đánh người tại Sa-ma-ri, trong thành lũy của đền vua, luôn với At-gốp và A-ri-ê. Người có năm mươi người Ga-la-át theo mình. Vậy người giết Phê-ca-hia và cai trị thế cho.|比 加 轄 的 將 軍 、 利 瑪 利 的 兒 子 比 加 、 背 叛 他 、 在 撒 瑪 利 亞 王 宮 裡 的 衛 所 殺 了 他 ． 亞 珥 歌 伯 和 亞 利 耶 並 基 列 的 五 十 人 幫 助 比 加 ． 比 加 擊 殺 他 、 篡 了 他 的 位 。
Các chuyện khác của Phê-ca-hia, và những công việc của người, đều chép trong sử ký về các vua Y-sơ-ra-ên.|比 加 轄 其 餘 的 事 、 凡 他 所 行 的 、 都 寫 在 以 色 列 諸 王 記 上 。
Năm thứ năm mươi hai đời A-xa-ria, vua Giu-đa, thì Phê-ca, con trai Rê-ma-lia, lên làm vua Y-sơ-ra-ên, tại Sa-ma-ri, và cai trị hai mươi năm.|猶 大 王 亞 撒 利 雅 五 十 二 年 、 利 瑪 利 的 兒 子 比 加 在 撒 瑪 利 亞 登 基 、 作 以 色 列 王 二 十 年 。
Người làm điều ác trước mặt Đức Giê-hô-va, không từ bỏ tội lỗi của Giê-rô-bô-am, con trai Nê-bát, là tội đã gây cho Y-sơ-ra-ên phạm tội.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 不 離 開 尼 八 的 兒 子 耶 羅 波 安 使 以 色 列 人 陷 在 罪 裡 的 那 罪 。
Trong đời Phê-ca, vua Y-sơ-ra-ên, Tiếc-la-Phi-lê-se, vua A-si-ri, loán đến chiếm lấy Y-giôn, A-bên-Bết-Ma-ca, Gia-nô-ác, Kê-đe, Hát-so, miền Ga-la-át, miền Ga-li-lê, và cả địa phận Nép-ta-li; đoạn đem dân sự các sứ ấy sang A-si-ri.|以 色 列 王 比 加 年 間 、 亞 述 王 提 革 拉 毘 列 色 來 奪 了 以 雲 、 亞 伯 伯 瑪 迦 、 亞 挪 、 基 低 斯 、 夏 瑣 、 基 列 、 加 利 利 、 和 拿 弗 他 利 全 地 ． 將 這 些 地 方 的 居 民 、 都 擄 到 亞 述 去 了 。
Ô-sê, con trai Ê-la, mưu phản Phê-ca, con trai Rê-ma-lia, và đánh giết người, rồi lên làm vua thế cho, nhằm năm thứ hai mươi đời Giô-tham, con trai Ô-xia.|烏 西 雅 的 兒 子 約 坦 二 十 年 、 以 拉 的 兒 子 何 細 亞 背 叛 利 瑪 利 的 兒 子 比 加 、 擊 殺 他 、 篡 了 他 的 位 。
Các chuyện khác của Phê-ca, và những công việc người, đều chép trong sử ký về các vua Y-sơ-ra-ên.|比 加 其 餘 的 事 、 凡 他 所 行 的 、 都 寫 在 以 色 列 諸 王 記 上 。
Năm thứ hai đời Phê-ca, con trai Rê-ma-lia, vua Y-sơ-ra-ên, thì Giô-tham, con trai Ô-xia, vua Giu-đa, lên ngôi làm vua|以 色 列 王 利 瑪 利 的 兒 子 比 加 第 二 年 、 猶 大 王 烏 西 雅 的 兒 子 約 坦 登 基 ．
Người được hai mươi lăm tuổi khi tức vị, cai trị mười sáu năm tại Giê-ru-sa-lem. mẹ người tên là Giê-ru-sa, con gái Xa-đốc.|他 登 基 的 時 候 、 年 二 十 五 歲 ． 在 耶 路 撒 冷 作 王 十 六 年 ． 他 母 親 名 叫 耶 路 沙 、 是 撒 督 的 女 兒 。
Người làm điều thiện trước mặt Đức Giê-hô-va, cứ theo trọn mọi điều Ô-xia, cha người đã làm.|約 坦 行 耶 和 華 眼 中 看 為 正 的 事 、 效 法 他 父 親 烏 西 雅 一 切 所 行 的 ．
Dầu vậy, người không dỡ các nơi cao; dân sự cứ cúng tế và xông hương trên các nơi cao đó. Ay là Giô-tham xây cất cửa thượng của đền thờ Đức Giê-hô-va.|只 是 邱 壇 還 沒 有 廢 去 ． 百 姓 仍 在 那 裡 獻 祭 燒 香 。 約 坦 建 立 耶 和 華 殿 的 上 門 。
Các chuyện khác của Giô-tham, và những công việc người, đều chép trong sử ký về các vua Giu-đa.|約 坦 其 餘 的 事 、 凡 他 所 行 的 、 都 寫 在 猶 大 列 王 記 上 。
Trong lúc đó, Đức Giê-hô-va khởi khiến Rê-xin, vua Sy-ri, và Phê-ca, con trai Rê-ma-lia, đến hãm đánh Giu-đa.|在 那 些 日 子 、 耶 和 華 纔 使 亞 蘭 王 利 汛 和 利 瑪 利 的 兒 子 比 加 去 攻 擊 猶 大 。
Giô-tham an giấc cùng các tổ phụ người, được chôn bên họ, tại thành Đa-vít, tổ tiên người. A-cha, con trai người, lên làm vua thế cho người.|約 坦 與 他 列 祖 同 睡 、 葬 在 他 祖 大 衛 城 他 列 祖 的 墳 地 裡 ． 他 兒 子 亞 哈 斯 接 續 他 作 王 。

					II Các Vua 16				|
						列王紀下 16					
Năm thứ mười bảy đời Phê-ca, con tra Rê-ma-lia, thì A-cha, con trai Giô-tham, vua Giu-đa, lên làm vua.|利 瑪 利 的 兒 子 比 加 十 七 年 、 猶 大 王 約 坦 的 兒 子 亞 哈 斯 登 基 ．
A-cha được hai mươi tuổi khi người lên làm vua; người cai trị mười sáu năm tại Giê-ru-sa-lem. Người chẳng làm điều thiện trước mặt Giê-hô-va Đức Chúa Trời người, như Đa-vít tổ phụ người, đã làm;|他 登 基 的 時 候 、 年 二 十 歲 ． 在 耶 路 撒 冷 作 王 十 六 年 ． 不 像 他 祖 大 衛 行 耶 和 華 他 　 神 眼 中 看 為 正 的 事 ．
nhưng người đi theo con đường của các vua Y-sơ-ra-ên, thậm chí bắt chước theo gương gớm ghiếc của các dân tộc Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-sơ-ra-ên, mà đưa con trai mình qua lửa.|卻 效 法 以 色 列 諸 王 所 行 的 、 又 照 著 耶 和 華 從 以 色 列 人 面 前 趕 出 的 外 邦 人 所 行 可 憎 的 事 、 使 他 的 兒 子 經 火 ．
Người cũng cúng tế và xông hương trên các nơi cao, trên gò và dưới cây rậm.|並 在 邱 壇 上 、 山 岡 上 、 各 青 翠 樹 下 、 獻 祭 燒 香 。
Bấy giờ, Rô-xin, vua Sy-ri và Phê-ca, con trai Rê-ma-lia, vua Y-sơ-ra-ên, đều đi lên đặng hãm đánh Giê-ru-sa-lem; họ vây A-cha; nhưng không thắng người được.|亞 蘭 王 利 汛 和 以 色 列 王 利 瑪 利 的 兒 子 比 加 上 來 攻 打 耶 路 撒 冷 、 圍 困 亞 哈 斯 ． 卻 不 能 勝 他 。
Ay nhằm lúc đó Rê-xin, vua Sy-ri; người đuổi dân Giu-đa khỏi Ê-lát, và dân Sy-ri bèn đến Ê-lát, ở đó cho đến ngày nay.|當 時 亞 蘭 王 利 汛 收 回 以 拉 他 歸 與 亞 蘭 、 將 猶 大 人 從 以 拉 他 趕 出 去 ． 亞 蘭 人 〔 有 作 以 東 人 的 〕 就 來 到 以 拉 他 、 住 在 那 裡 、 直 到 今 日 。
A-cha sai sứ giả đến Tiếc-la-Phi-lê-se, vua A-si-ri, nói với người rằng: Tôi là kẻ tôi tớ vua, là con trai vua; hãy đi đến giải cứu tôi khỏi tay vua Sy-ri và vua Y-sơ-ra-ên đã dấy lên cùng tôi.|亞 哈 斯 差 遣 使 者 去 見 亞 述 王 提 革 拉 毘 列 色 、 說 、 我 是 你 的 僕 人 、 你 的 兒 子 ． 現 在 亞 蘭 王 和 以 色 列 王 攻 擊 我 ． 求 你 來 救 我 脫 離 他 們 的 手 。
A-cha lấy bạc và vàng có ở trong đền thờ Đức Giê-hô-va và ở trong kho đền vua, gởi đem làm của lễ cho vua A-si-ri.|亞 哈 斯 將 耶 和 華 殿 裡 和 王 宮 府 庫 裡 所 有 的 金 銀 、 都 送 給 亞 述 王 為 禮 物 ．
Vua A-si-ri nhậm làm điều A-cha xin, đi lên hãm đánh Đa-mách và chiếm lấy, bắt đem dân cư nó sang Ki-rơ, và giết Rê-xin.|亞 述 王 應 允 了 他 、 就 上 去 攻 打 大 馬 色 、 將 城 攻 取 、 殺 了 利 汛 ． 把 居 民 擄 到 吉 珥 。
A-cha bèn đi đến Đa-mách đặng đón Tiếc-la-Phi-lê-se, vua A-si-ri. A-cha thấy một cái bàn thờ ở tại Đa-mách, bèn gởi kiểu mẫu và hình bàn thờ ấy tùy theo cách chế tạo nó, cho thầy tế lễ U-ri.|亞 哈 斯 王 上 大 馬 色 去 迎 接 亞 述 王 提 革 拉 毘 列 色 、 在 大 馬 色 看 見 一 座 壇 ． 就 照 壇 的 規 模 樣 式 作 法 畫 了 圖 樣 、 送 到 祭 司 烏 利 亞 那 裡 。
Thầy tế lễ U-ri chế một cái bàn thờ y theo kiểu mà vua A-cha từ Đa-mách đã gởi đến; thầy tế lễ U-ri chế xong bàn thờ ấy trước khi vua trở về.|祭 司 烏 利 亞 照 著 亞 哈 斯 王 從 大 馬 色 送 來 的 圖 樣 、 在 亞 哈 斯 王 沒 有 從 大 馬 色 回 來 之 先 、 建 築 一 座 壇 。
Khi vua từ Đa-mách trở về, thấy bàn thờ bèn lại gần và dâng của lễ trên nó.|王 從 大 馬 色 回 來 看 見 壇 ． 就 近 前 來 、 在 壇 上 獻 祭 ．
Người xông trên bàn thờ của lễ thiêu và của lễ chay mình, đổ ra lễ quán và huyết về của lễ thù ân tại trên đó.|燒 燔 祭 素 祭 、 澆 奠 祭 、 將 平 安 祭 牲 的 血 灑 在 壇 上 。
Còn bàn thờ bằng đồng ở trước mặt Đức Giê-hô-va, thì người cất khỏi chỗ nó tại trước đền thờ, giữa bàn thờ mới và đền của Đức Giê-hô-va, rồi để nó bên bàn thờ của người, về phía bắc.|又 將 耶 和 華 面 前 的 銅 壇 、 從 耶 和 華 殿 和 新 壇 的 中 間 搬 到 新 壇 的 北 邊 。
Đoạn, vua A-cha truyền lịnh cho thầy tế lễ U-ri rằng: Người sẽ xông trên bàn thờ lớn của lễ thiêu buổi sáng và của lễ chay buổi chiều, của lễ thiêu và của lễ chay của vua; lại xông của lễ thiêu và của lễ chay của cả dân sự trong xứ, cũng đổ ra tại trên nó lễ quán của họ, và tưới cả huyết con sinh dùng làm của lễ thiêu, luôn cả huyết về các con sinh khác. Còn bàn thờ bằng đồng, ta sẽ dùng cầu vấn ý Chúa.|亞 哈 斯 王 吩 咐 祭 司 烏 利 亞 說 、 早 晨 的 燔 祭 、 晚 上 的 素 祭 、 王 的 燔 祭 素 祭 、 國 內 眾 民 的 燔 祭 素 祭 奠 祭 、 都 要 燒 在 大 壇 上 ． 燔 祭 牲 和 平 安 祭 牲 的 血 也 要 灑 在 這 壇 上 ． 只 是 銅 壇 我 要 用 以 求 問 耶 和 華 ．
Thầy tế lễ U-ri làm theo mọi điều vua A-cha truyền dạy cho người.|祭 司 烏 利 亞 就 照 著 亞 哈 斯 王 所 吩 咐 的 行 了 。
Vả lại, vua A-cha dỡ các miếng trám của những táng, và cất hết những chậu đặt ở trên; lại hạ cái biển bằng đồng xuống khỏi bò nâng nó, rồi đem để nó trên một nền lót đá.|亞 哈 斯 王 打 掉 盆 座 四 面 鑲 著 的 心 子 、 把 盆 從 座 上 挪 下 來 、 又 將 銅 海 從 馱 海 的 銅 牛 上 搬 下 來 、 放 在 鋪 石 地 。
Vì cớ vua A-si-ri, người cũng đổi trong đền thờ của Đức Giê-hô-va cái hiên cửa dùng về ngày Sa-bát mà người ta đã xây trong đền, và cửa ngoài để dành cho vua.|又 因 亞 述 王 的 緣 故 、 將 耶 和 華 殿 為 安 息 日 所 蓋 的 廊 子 、 和 王 從 外 入 殿 的 廊 子 、 挪 移 圍 繞 耶 和 華 的 殿 。
Các chuyện khác của A-cha, và những công việc người làm, đều chép trong sử ký về các vua Giu-đa.|亞 哈 斯 其 餘 所 行 的 事 、 都 寫 在 猶 大 列 王 記 上 。
Đoạn, A-cha an giấc cùng các tổ phụ người, được chôn bên họ, trong thành Đa-vít. Ê-xê-chia, con trai người, kế vị người.|亞 哈 斯 與 他 列 祖 同 睡 、 葬 在 大 衛 城 他 列 祖 的 墳 地 裡 ． 他 兒 子 希 西 家 接 續 他 作 王 。

					II Các Vua 17				|
						列王紀下 17					
Năm thứ mười hai đời A-cha, vua Giu-đa, thì Ô-sê, con trai Ê-la, lên làm vua Y-sơ-ra-ên, tại Sa-ma-ri; người cai trị chín năm.|猶 大 王 亞 哈 斯 十 二 年 、 以 拉 的 兒 子 何 細 亞 在 撒 瑪 利 亞 登 基 、 作 以 色 列 王 九 年 。
Người làm điều ác trước mặt Đức Giê-hô-va, song chẳng bằng các vua Y-sơ-ra-ên trước người.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 只 是 不 像 在 他 以 前 的 以 色 列 諸 王 。
Sanh-ma-na-sa, vua A-si-ri, đi lên hãm đánh Ô-sê; người bị thần phục Sanh-ma-na-sa và đóng thuế cho người.|亞 述 王 撒 縵 以 色 上 來 攻 擊 何 細 亞 、 何 細 亞 就 服 事 他 、 給 他 進 貢 。
Nhưng vua A-si-ri thấy Ô-sê toan mưu phản; vì Ô-sê có sai sứ giả đến Sô, vua Ê-díp-tô, và không nộp thuế cho vua A-si-ri như người hằng năm đã làm; vua A-si-ri bèn bắt người xiềng lại, và hạ ngục.|何 細 亞 背 叛 、 差 人 去 見 埃 及 王 梭 、 不 照 往 年 所 行 的 、 與 亞 述 王 進 貢 。 亞 述 王 知 道 了 、 就 把 他 鎖 禁 、 囚 在 監 裡 。
Đoạn, vua A-si-ri đi lên xâm chiếm cả xứ, đến vây Sa-ma-ri trong ba năm.|亞 述 王 上 來 攻 擊 以 色 列 遍 地 、 上 到 撒 瑪 利 亞 、 圍 困 三 年 。
Năm thứ chín đời Ô-sê, vua A-si-ri hãm lấy Sa-ma-ri, đem dân Y-sơ-ra-ên sang qua A-si-ri, lập họ ở tại Cha-la và trên bờ Cha-bo, sông của Gô-xan, cùng trong các thành nước Mê-đi.|何 細 亞 第 九 年 亞 述 王 攻 取 了 撒 瑪 利 亞 、 將 以 色 列 人 擄 到 亞 述 、 把 他 們 安 置 在 哈 臘 、 與 歌 散 的 哈 博 河 邊 、 並 瑪 代 人 的 城 邑 。
Vả, dân Y-sơ-ra-ên đã phạm tội cùng Giê-hô-va Đức Chúa Trời của họ, là Đấng đã rút họ ra khỏi xứ Ê-díp-tô, và khỏi tay hà hiếp của Pha-ra-ôn, vua Ê-díp-tô; chúng đã kính thờ các thần khác|這 是 因 以 色 列 人 得 罪 那 領 他 們 出 埃 及 地 、 脫 離 埃 及 王 法 老 手 的 耶 和 華 他 們 的 　 神 、 去 敬 畏 別 神 、
theo thói tục của các dân tộc mà Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-sơ-ra-ên, và theo lệ mà Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-sơ-ra-ên đã định.|隨 從 耶 和 華 在 他 們 面 前 所 趕 出 外 邦 人 的 風 俗 、 和 以 色 列 諸 王 所 立 的 條 規 。
Dân Y-sơ-ra-ên làm lén những việc bất chánh nghịch cùng Giê-hô-va Đức Chúa Trời của chúng, xây dựng những nơi cao trong khắp các thành họ, từ tháp vọng canh cho đến thành kiên cố,|以 色 列 人 暗 中 行 不 正 的 事 、 違 背 耶 和 華 他 們 的 　 神 、 在 他 們 所 有 的 城 邑 、 從 瞭 望 樓 直 到 堅 固 城 、 建 築 邱 壇 ．
dựng lên những trụ thờ trên các nỗng cao và dưới những cây rậm.|在 各 高 岡 上 、 各 青 翠 樹 下 、 立 柱 像 和 木 偶 ．
Tại trên các nơi cao, chúng xông hương y như các dân tộc mà Đức Giê-hô-va đã đuổi khỏi trước mặt họ, phạm những việc gian ác, và chọc giận Đức Giê-hô-va.|在 邱 壇 上 燒 香 、 效 法 耶 和 華 在 他 們 面 前 趕 出 的 外 邦 人 所 行 的 、 又 行 惡 事 惹 動 耶 和 華 的 怒 氣 ．
Chúng hầu việc những hình tượng mà Đức Giê-hô-va đã cấm chúng rằng: Các ngươi chớ thờ chúng nó.|且 事 奉 偶 像 、 就 是 耶 和 華 警 戒 他 們 不 可 行 的 。
Song Đức Giê-hô-va cậy miệng các đấng tiên tri và những kẻ tiên kiến mà khuyên Y-sơ-ra-ên và Giu-đa rằng: Khá từ bỏ đường ác của các ngươi, hãy gìn giữ điều răn và luật lệ ta, tùy theo các mạng lịnh ta cậy những tiên tri, là tôi tớ ta, mà truyền cho tổ phụ các ngươi.|但 耶 和 華 藉 眾 先 知 、 先 見 、 勸 戒 以 色 列 人 、 和 猶 大 人 、 說 、 當 離 開 你 們 的 惡 行 、 謹 守 我 的 誡 命 律 例 、 遵 行 我 吩 咐 你 們 列 祖 、 並 藉 我 僕 人 眾 先 知 所 傳 給 你 們 的 律 法 。
Nhưng chúng không muốn nghe, cứng cổ mình, y như các tổ phụ của chúng không có lòng tin Giê-hô-va Đức Chúa Trời của họ.|他 們 卻 不 聽 從 、 竟 硬 著 頸 項 、 效 法 他 們 列 祖 、 不 信 服 耶 和 華 他 們 的 　 神 ．
Chúng khinh bỏ các luật lệ và giao ước Ngài đã lập cùng tổ phụ họ, và những lời chứng mà Ngài đã phán với họ. Chúng đi theo các thần hư không, và trở thành hư không, bắt chước các dân tộc ở chung quanh mình, mà Đức Giê-hô-va đã cấm làm theo gương của chúng nó.|厭 棄 他 的 律 例 、 和 他 與 他 們 列 祖 所 立 的 約 、 並 勸 戒 他 們 的 話 、 隨 從 虛 無 的 神 、 自 己 成 為 虛 妄 、 效 法 周 圍 的 外 邦 人 、 就 是 耶 和 華 囑 咐 他 們 不 可 效 法 的 、
