
					Ê-xơ-tê 1				|
Những dân Giu-đa khác ở trong các tỉnh vua, bèn hiệp lại binh vực cho sanh mạng mình, hãm đánh kẻ thù nghịch mình, giết bảy mươi lăm ngàn người ghen ghét mình; nhưng họ không tra tay vào hóa tài.|在 王 各 省 其 餘 的 猶 大 人 也 都 聚 集 保 護 性 命 、 殺 了 恨 他 們 的 人 七 萬 五 千 ． 卻 沒 有 下 手 奪 取 財 物 ． 這 樣 、 就 脫 離 仇 敵 、 得 享 平 安 。
Việc ấy xảy ra nhằm ngày mười ba tháng A-đa; còn ngày mười bốn tháng ấy, chúng an nghỉ, lập thành một ngày tiệc yến vui vẻ.|亞 達 月 十 三 日 、 行 了 這 事 ． 十 四 日 安 息 、 以 這 日 為 設 筵 歡 樂 的 日 子 ．
Nhưng dân Giu-đa ở tại Su-rơ nhóm hiệp trong ngày mười ba và mười bốn của tháng ấy; còn ngày mười lăm tháng ấy, chúng an nghỉ và lập thành một ngày tiệc yến vui vẻ.|但 書 珊 的 猶 大 人 這 十 三 日 十 四 日 聚 集 殺 戮 仇 敵 ． 十 五 日 安 息 、 以 這 日 為 設 筵 歡 樂 的 日 子 ．
Bởi cớ ấy, những người Giu-đa ở nơi các hương thôn, lấy ngày mười bốn thánh A-đa làm một ngày vui mừng, tiệc yến, một ngày lễ để gởi cho lẫn nhau những lễ vật.|所 以 住 無 城 牆 鄉 村 的 猶 大 人 、 如 今 都 以 亞 達 月 十 四 日 為 設 筵 歡 樂 的 吉 日 、 彼 此 餽 送 禮 物 。
Mạc-đô-chê ghi chép các điều nầy, và gởi thơ cho hết thảy dân Giu-đa ở trong các tỉnh của vua A-suê-ru, hoặc gần hay xa,|末 底 改 記 錄 這 事 、 寫 信 與 亞 哈 隨 魯 王 各 省 遠 近 所 有 的 猶 大 人 、
để khiến cho họ hằng năm giữ ngày mười bốn và mười lăm của tháng A-đa,|囑 咐 他 們 每 年 守 亞 達 月 十 四 十 五 兩 日 、
vì trong ngày và tháng ấy dân Giu-đa đã thoát khỏi kẻ thù nghịch mình và được bình an, sự đau đớn đổi ra mừng rỡ, và ngày buồn thảm hóa ra ngày lễ; lại bảo họ lập thành ngày tiệc yến và vui mừng, gởi cho lẫn nhau những lễ vật, và bố thí cho người nghèo khổ.|以 這 月 的 兩 日 、 為 猶 大 人 脫 離 仇 敵 得 平 安 、 轉 憂 為 喜 、 轉 悲 為 樂 的 吉 日 ． 在 這 兩 日 設 筵 歡 樂 、 彼 此 餽 送 禮 物 、 賙 濟 窮 人 。
Dân Giu-đa nhận làm theo việc mình đã khởi làm, và theo điều Mạc-đô-chê đã viết gởi cho mình;|於 是 猶 大 人 、 按 著 末 底 改 所 寫 與 他 們 的 信 、 應 承 照 初 次 所 守 的 守 為 永 例 。
vì Ha-man, con trai Ha-mê-đa-tha, dân A-gát, kẻ hãm hiếp hết thảy dân Giu-đa, có lập mưu hại dân Giu-đa đặng tuyệt diệt đi, và có bỏ Phu-rơ, nghĩa là bỏ thăm, để trừ diệt và phá hủy chúng đi.|是 因 猶 大 人 的 仇 敵 、 亞 甲 族 哈 米 大 他 的 兒 子 哈 曼 、 設 謀 殺 害 猶 大 人 、 掣 普 珥 、 就 是 掣 籤 、 為 要 殺 盡 滅 絕 他 們 。
Song khi bà Ê-xơ-tê đến trước mặt vua để tỏ việc ấy, thì vua ra chiếu chỉ truyền bảo rằng các mưu ác mà Ha-man đã toan hại dân Giu-đa hãy đổ lại trên đầu của hắn, và người ta treo hắn với các con trai hắn nơi mộc hình.|這 事 報 告 於 王 、 王 便 降 旨 使 哈 曼 謀 害 猶 大 人 的 惡 事 、 歸 到 他 自 己 的 頭 上 、 並 吩 咐 把 他 和 他 的 眾 子 、 都 挂 在 木 架 上 。
Bởi cớ đó, người ta cứ theo chữ Phu-rơ, mà gọi các ngày đó là Phu-rim. Lại vì có lời của thơ nầy, và vì cớ các điều chúng đã thấy, cùng bị xảy đến cho mình,|照 著 普 珥 的 名 字 、 猶 大 人 就 稱 這 兩 日 為 普 珥 日 ． 他 們 因 這 信 上 的 話 、 又 因 所 看 見 所 遇 見 的 事 、
nên dân Giu-đa nhận và định thường lệ cho mình, cho dòng giống mình, và cho những người sẽ nhập bọn với mình, mỗi năm phải giữ hai ngày nầy tùy cái thơ nầy và theo thì nhứt định, chẳng ai nên bỏ bê;|就 應 承 自 己 與 後 裔 、 並 歸 附 他 們 的 人 、 每 年 按 時 必 守 這 兩 日 、 永 遠 不 廢 。
lại người ta phải nhớ lại hai ngày ấy, và mỗi gia tộc trong mỗi tỉnh mỗi thành phải giữ nó trải qua các đời; chẳng được bỏ bê ngày Phu-rim nầy khỏi giữa dân Giu-đa, và kỷ niệm nó chớ hề mất khỏi dòng dõi họ.|各 省 各 城 、 家 家 戶 戶 、 世 世 代 代 、 紀 念 遵 守 這 兩 日 、 使 這 普 珥 日 在 猶 大 人 中 不 可 廢 掉 ． 在 他 們 後 裔 中 也 不 可 忘 記 。
Hoàng hậu Ê-xơ-tê, con gái của A-bi-hai, và Mạc-đô-chê, người Giu-đa, lại viết thơ thứ nhì đặng khuyên dân Giu-đa gìn giữ lễ Phu-rim;|亞 比 孩 的 女 兒 王 后 以 斯 帖 和 猶 大 人 末 底 改 以 全 權 寫 第 二 封 信 、 堅 囑 猶 大 人 守 這 普 珥 日 ．
người lấy lời hòa bình và chơn thật mà gởi thơ cho hết thảy dân Giu-đa ở trong một trăm hai mươi bảy tỉnh của nước A-suê-ru,|用 和 平 誠 實 話 、 寫 信 給 亞 哈 隨 魯 王 國 中 一 百 二 十 七 省 所 有 的 猶 大 人 、
đặng làm chứng quyết định các ngày Phu-rim ấy theo thì tiết nhứt định, y như Mạc-đô-chê, người Giu-đa, và hoàng hậu Ê-xơ-tê đã dạy biểu chúng, và y như chúng đã lập lấy cho mình và cho dòng dõi mình, về kỳ kiêng ăn và ai khóc.|勸 他 們 按 時 守 這 普 珥 日 、 禁 食 呼 求 、 是 照 猶 大 人 末 底 改 和 王 后 以 斯 帖 所 囑 咐 的 、 也 照 猶 大 人 為 自 己 與 後 裔 所 應 承 的 。
Lịnh mạng của bà Ê-xơ-tê định việc giữ các ngày Phu-rim; đoạn điều đó được chép vào sách.|以 斯 帖 命 定 守 普 珥 日 ． 這 事 也 記 錄 在 書 上 。

					Ê-xơ-tê 10				|
						以斯帖記 10					
Vua A-suê-ru bắt xứ và các cù lao của biển nộp thuế.|亞 哈 隨 魯 王 使 旱 地 和 海 島 的 人 民 都 進 貢 。
Các công sự về quyền thế và năng lực người, cả sự cao trọng của Mạc-đô-chê, vua thăng chức người lên làm sao, thảy đều có chép vào sách sử ký các vua nước Mê-đi và Phe-rơ-sơ.|他 以 權 柄 能 力 所 行 的 、 並 他 抬 舉 末 底 改 使 他 高 升 的 事 、 豈 不 都 寫 在 瑪 代 和 波 斯 王 的 歷 史 上 麼 。
Vì Mạc-đô-chê, người Giu-đa, làm tể tướng của vua A-suê-ru; trong vòng dân Giu-đa người được tôn trọng, đẹp lòng các anh em mình, tìm việc tốt lành cho dân tộc mình, và nói sự hòa bình cho cả dòng dõi mình.|猶 大 人 末 底 改 作 亞 哈 隨 魯 王 的 宰 相 、 在 猶 大 人 中 為 大 、 得 他 眾 弟 兄 的 喜 悅 、 為 本 族 的 人 求 好 處 、 向 他 們 說 和 平 的 話 。
