
					II Sa-mu-ên 1				|
Vua tiếp: Nếu có ai hăm dọa ngươi nữa, hãy dẫn nó đến ta. Nó được chẳng còn dám đụng đến ngươi đâu nữa.|王 說 、 凡 難 為 你 的 、 你 就 帶 他 到 我 這 裡 來 、 他 必 不 再 攪 擾 你 。
Nàng tiếp rằng: Tôi cầu xin vua hãy chỉ Giê-hô-va Đức Chúa Trời của vua làm chứng rằng kẻ báo thù huyết chớ làm hại tôi càng nặng hơn, và giết con trai tôi. Vua đáp: Ta chỉ Đức Giê-hô-va hằng sống mà thề rằng, một sợi tóc sẽ chẳng rụng xuống khỏi đầu của con trai ngươi!|婦 人 說 、 願 王 記 念 耶 和 華 你 的 　 神 、 不 許 報 血 仇 的 人 施 行 滅 絕 、 恐 怕 他 們 滅 絕 我 的 兒 子 。 王 說 、 我 指 著 永 生 的 耶 和 華 起 誓 、 你 的 兒 子 、 連 一 根 頭 髮 也 不 至 落 在 地 上 。
Người đờn bà lại tiếp: Xin cho phép con đòi vua còn tâu một lời cùng vua chúa tôi nữa. Vua đáp: Hãy nói.|婦 人 說 、 求 我 主 我 王 、 容 婢 女 再 說 一 句 話 ． 王 說 、 你 說 罷 。
Người đờn bà nói: Vậy thì sao đối cùng dân sự của Đức Chúa Trời, vua chẳng đoán xét đồng một thể? Vua phán lời đó giống như kẻ có tội, vì vua không đòi về đứa con trai mà vua đã đày đi.|婦 人 說 、 王 為 何 也 起 意 要 害 　 神 的 民 呢 ． 王 不 使 那 逃 亡 的 人 回 來 ． 王 的 這 話 、 就 是 自 證 己 錯 了 。
Vì rốt lại, chúng ta là kẻ hay chết, giống như nước chảy trên đất, không hốt lại được. Nhưng Đức Chúa Trời không cất mạng sống đi, Ngài biết tìm cách thế đặng không đẩy kẻ bị đầy cách xa Ngài.|我 們 都 是 必 死 的 、 如 同 水 潑 在 地 上 、 不 能 收 回 ． 　 神 並 不 奪 取 人 的 性 命 、 乃 設 法 使 逃 亡 的 人 不 至 成 為 趕 出 回 不 來 的 。
Bấy giờ, nếu tôi đến tâu cùng vua chúa tôi, ấy vì dân sự làm cho tôi run sợ. Con đòi vua có nghĩ rằng: Mình phải tâu cùng vua, có lẽ vua sẽ làm điều con đòi vua cầu xin.|我 來 將 這 話 告 訴 我 主 我 王 、 是 因 百 姓 使 我 懼 怕 ． 婢 女 想 、 不 如 將 這 話 告 訴 王 ． 或 者 王 成 就 婢 女 所 求 的 。
Phải, vua sẽ nghe con đòi vua mà giải cứu nó khỏi tay kẻ muốn diệt chúng tôi, và tôi và con trai tôi, khỏi sản nghiệp của Đức Chúa Trời.|人 要 將 我 和 我 兒 子 、 從 　 神 的 地 業 上 一 同 除 滅 ． 王 必 應 允 救 我 脫 離 他 的 手 ．
Vậy, con đòi vua đã nghĩ rằng: Chớ chi lời của vua chúa tôi ban cho chúng tôi sự an nghỉ; vì vua chúa tôi khác nào một thiên sứ của Đức Chúa Trời, hiểu sự lành và sự dữ. Nguyện Giê-hô-va Đức Chúa Trời của vua ở cùng vua!|婢 女 又 想 我 主 我 王 的 話 必 安 慰 我 ． 因 為 我 主 我 王 能 辨 別 是 非 、 如 同 　 神 的 使 者 一 樣 ． 惟 願 耶 和 華 你 的 　 神 與 你 同 在 。
Vua nói tiếp cùng người đờn bà rằng: Chớ dấu ta chi hết về điều ta sẽ hỏi ngươi. Người đờn bà thưa rằng: Xin vua chúa tôi hãy hỏi.|王 對 婦 人 說 、 我 要 問 你 一 句 話 、 你 一 點 不 要 瞞 我 。 婦 人 說 、 願 我 主 我 王 說 。
Vua hỏi: Có phải Giô-áp đã đặt tay vào mọi điều đó chăng? Người đờn bà thưa rằng: Vua chúa tôi ôi, tôi chỉ mạng sống của vua mà thề, người ta không thế xít qua bên hữu hoặc bên tả, đặng khỏi điều vua chúa tôi mới nói đó. Phải, ấy là Giô-áp, tôi tớ của vua, đã truyền lịnh cho tôi, và để các lời nầy trong miệng con đòi vua.|王 說 、 你 這 些 話 莫 非 是 約 押 的 主 意 麼 。 婦 人 說 、 我 敢 在 我 主 我 王 面 前 起 誓 、 王 的 話 正 對 、 不 偏 左 右 ． 是 王 的 僕 人 約 押 吩 咐 我 的 、 這 些 話 是 他 教 導 我 的 。
Giô-áp, tôi tớ của vua, đã làm như vậy, để làm cho việc nầy thành ra cách mới. Nhưng chúa tôi là khôn ngoan như thiên sứ của Đức Chúa Trời, hiểu rõ mọi việc đã xảy ra trên đất.|王 的 僕 人 約 押 如 此 行 、 為 要 挽 回 這 事 、 我 主 的 智 慧 、 卻 如 　 神 使 者 的 智 慧 、 能 知 世 上 一 切 事 。
Vua bèn nói cùng Giô-áp rằng: Vậy vì ngươi đã làm việc nầy, hãy đi đòi gã trai trẻ Ap-sa-lôm trở về.|王 對 約 押 說 、 我 應 允 你 這 事 ． 你 可 以 去 、 把 那 少 年 人 押 沙 龍 帶 回 來 。
Giô-áp sấp mình xuống đất lạy, và chúc phước cho vua, mà rằng: Vua chúa tôi ôi, ngày nay tôi tớ vua biết rằng nó đã được ơn trước mặt vua; vì vua đã làm điều tôi tớ vua đã cầu xin Ngài.|約 押 就 面 伏 於 地 叩 拜 、 祝 謝 於 王 ． 又 說 、 王 既 應 允 僕 人 所 求 的 、 僕 人 今 日 知 道 在 我 主 我 王 眼 前 蒙 恩 了 。
Giô-áp bèn chổi dậy, đi đến Ghê-su-rơ, đem Ap-sa-lôm về Giê-ru-sa-lem.|於 是 約 押 起 身 往 基 述 去 、 將 押 沙 龍 帶 回 耶 路 撒 冷 。
Vua bèn nói rằng: Nó phải ở trong nhà nó, chớ ra mặt trước mặt ta. Ay vậy, Ap-sa-lôm rút ở trong nhà mình, không ra mắt vua.|王 說 、 使 他 回 自 己 家 裡 去 、 不 要 見 我 的 面 、 押 沙 龍 就 回 自 己 家 裡 去 、 沒 有 見 王 的 面 。
Vả, trong cả Y-sơ-ra-ên chẳng có một người nào được khen chuộng về nhan sắc mình như Ap-sa-lôm; nơi mình người, từ bàn chơn cho đến chót đầu, chẳng có tì vít gì hết.|以 色 列 全 地 之 中 、 無 人 像 押 沙 龍 那 樣 俊 美 、 得 人 的 稱 讚 ． 從 腳 底 到 頭 頂 、 毫 無 瑕 疵 。
Mỗi năm người hớt tóc mình, vì nặng làm cho người bất tiện, thì tóc người cân được hai trăm siếc-lơ, theo cân của vua.|他 的 頭 髮 甚 重 、 每 到 年 底 剪 髮 一 次 ． 所 剪 下 來 的 、 按 王 的 平 稱 一 稱 、 重 二 百 舍 客 勒 。
Ap-sa-lôm sanh ba con trai và một con gái, tên là Ta-ma; nàng là người nữ rất lịch sự.|押 沙 龍 生 了 三 個 兒 子 、 一 個 女 兒 ． 女 兒 名 叫 他 瑪 、 是 個 容 貌 俊 美 的 女 子 。
Ap-sa-lôm ở tại Giê-ru-sa-lem trọn hai năm, không ra mắt vua.|押 沙 龍 住 在 耶 路 撒 冷 足 有 二 年 ． 沒 有 見 王 的 面 。
Kế đó, Ap-sa-lôm đòi Giô-áp đặng sai người đi đến cùng vua; nhưng Giô-áp không chịu đến gần người. Ap-sa-lôn đòi người lại một lần thứ nhì, song Giô-áp lại từ chối, không muốn đến.|押 沙 龍 打 發 人 去 叫 約 押 來 、 要 託 他 去 見 王 ． 約 押 卻 不 肯 來 ． 第 二 次 打 發 人 去 叫 他 、 他 仍 不 肯 來 ．
Ap-sa-lôn bèn nói cùng các tôi tớ mình rằng: Hãy xem ruộng của Giô-áp, là ruộng lúa mạch kia, ở gần bên ruộng ta; hãy đi châm lửa vào ruộng ấy. Các tôi tớ của Ap-sa-lôm bèn châm lửa vào ruộng đó.|所 以 押 沙 龍 對 僕 人 說 、 你 們 看 、 約 押 有 一 塊 田 、 與 我 的 田 相 近 、 其 中 有 大 麥 ． 你 們 去 放 火 燒 了 。 押 沙 龍 的 僕 人 就 去 放 火 燒 了 那 田 。
Bấy giờ, Giô-áp đứng dậy, đến cùng Ap-sa-lôn trong nhà người mà nói rằng: Cớ sao các tôi tớ ngươi có châm lửa vào ruộng ta?|於 是 約 押 起 來 、 到 了 押 沙 龍 家 裡 、 問 他 說 、 你 的 僕 人 為 何 放 火 燒 了 我 的 田 呢 。
Ap-sa-lôn nói với người rằng: Hãy đến đây, ta sẽ sai ngươi đến cùng vua, đặng nói rằng: Tôi đã ở Ghê-su-rơ trở về làm chi? Thà tôi còn ở đó thì hơn. Vậy bây giờ, tôi muốn ra mắt vua; ví bằng tôi có tội ác gì, xin vua hãy giết tôi đi.|押 沙 龍 回 答 約 押 說 、 我 打 發 人 去 請 你 來 、 好 託 你 去 見 王 、 替 我 說 ． 我 為 何 從 基 述 回 來 呢 。 不 如 仍 在 那 裡 。 現 在 要 許 我 見 王 的 面 ． 我 若 有 罪 、 任 憑 王 殺 我 就 是 了 。
Vậy, Giô-áp đi đến vua, thuật lại các lời ấy. Vua bèn đòi Ap-sa-lôm đến; người vào đền vua, sấp mình xuống trước mặt vau, và vua hôn Ap-sa-lôm.|於 是 約 押 去 見 王 、 將 這 話 奏 告 王 ． 王 便 叫 押 沙 龍 來 ． 押 沙 龍 來 見 王 、 在 王 面 前 俯 伏 於 地 ． 王 就 與 押 沙 龍 親 嘴 。

					II Sa-mu-ên 15				|
						撒母耳記下 15					
Cách ít lâu, Ap-sa-lôm sắm xe và ngựa với năm mươi quân chạy trước mặt mình.|此 後 、 押 沙 龍 為 自 己 豫 備 車 馬 、 又 派 五 十 人 在 他 前 頭 奔 走 。
Ap-sa-lôm dậy sớm, đứng nơi mé đường vào cửa thành. Nếu gặp ai có sự kiện thưa chi đi đến vua đặng cầu xét đoán, thì Ap-sa-lôm gọi người ấy hỏi rằng: Người ở thành nào? Nếu họ đáp: Tôi tớ ông thuộc về chi phái kia của Y-sơ-ra-ên,|押 沙 龍 常 常 早 晨 起 來 站 在 城 門 的 道 旁 、 凡 有 爭 訟 要 去 求 王 判 斷 的 、 押 沙 龍 就 叫 他 過 來 、 問 他 說 、 你 是 那 一 城 的 人 ． 回 答 說 、 僕 人 是 以 色 列 某 支 派 的 人 。
thì Ap-sa-lôm tiếp rằng: Sự tình của ngươi thật phải và công bình; nhưng nơi đền vua nào có ai để nghe ngươi đâu.|押 沙 龍 對 他 說 、 你 的 事 有 情 有 理 ． 無 奈 王 沒 有 委 人 聽 你 伸 訴 。
Đoạn, Ap-sa-lôm tiếp rằng: Ồ! chớ chi người ta lập ta làm quan xét trong xứ! Phàm người nào có việc tranh tụng hay kiện cáo gì cần đoán xét, sẽ đến ta, thì ta sẽ xử đoán công bình cho họ.|押 沙 龍 又 說 、 恨 不 得 我 作 國 中 的 士 師 ． 凡 有 爭 訟 求 審 判 的 、 到 我 這 裡 來 、 我 必 秉 公 判 斷 。
Nếu có ai đến gần đặng lạy người, Ap-sa-lôm giơ tay ra đỡ lấy người và hôn.|若 有 人 近 前 來 要 拜 押 沙 龍 、 押 沙 龍 就 伸 手 拉 住 他 、 與 他 親 嘴 。
Ap-sa-lôm làm như vậy đối cùng hết thảy những người Y-sơ-ra-ên đi đến tìm vua, đặng cầu đoán xét; và Ap-sa-lôm dụ lấy lòng người Y-sơ-ra-ên vậy.|以 色 列 人 中 、 凡 去 見 王 求 判 斷 的 、 押 沙 龍 都 是 如 此 待 他 們 。 這 樣 、 押 沙 龍 暗 中 得 了 以 色 列 人 的 心 。
Cuối bốn năm, Ap-sa-lôm nói cùng vua rằng: Xin cho phép con đi đến Hếp-rôn đặng trả xong sự hứa nguyện mà tôi đã khấn với Đức Giê-hô-va.|滿 了 四 十 年 、 〔 有 作 四 年 的 〕 、 押 沙 龍 對 王 說 、 求 你 准 我 往 希 伯 崙 去 、 還 我 向 耶 和 華 所 許 的 願 ．
Vì lúc tôi tớ vua ở tại Ghê-su-rơ trong Sy-ri, có khấn lời nguyện nầy: Nếu Đức Giê-hô-va dẫn tôi về Giê-ru-sa-lem, thì tôi sẽ thờ phượng Đức Giê-hô-va.|因 為 僕 人 住 在 亞 蘭 的 基 述 、 曾 許 願 說 、 耶 和 華 若 使 我 再 回 耶 路 撒 冷 、 我 必 事 奉 他 。
Vua đáp cùng người rằng: Hãy đi bình an. Vậy người chổi dậy, và đi đến Hếp-rôn.|王 說 、 你 平 平 安 安 的 去 罷 。 押 沙 龍 就 起 身 、 往 希 伯 崙 去 了 。
Ap-sa-lôm sai những kẻ do thám rao lịnh nầy khắp trong các chi phái Y-sơ-ra-ên rằng: Thoạt khi anh em nghe tiếng kèn, thì hãy nói: Ap-sa-lôm làm vua tại Hếp-rôn!|押 沙 龍 打 發 探 子 走 遍 以 色 列 各 支 派 、 說 、 你 們 一 聽 見 角 聲 、 就 說 、 押 沙 龍 在 希 伯 崙 作 王 了 。
Có hai trăm người ở Giê-ru-sa-lem mà Ap-sa-lôm đã mời, đều đi với người cách thật thà chẳng nghi ngại chi hết.|押 沙 龍 在 耶 路 撒 冷 請 了 二 百 人 與 他 同 去 、 都 是 誠 誠 實 實 去 的 、 並 不 知 道 其 中 的 真 情 。
Đương lúc Ap-sa-lôm dâng của lễ, bèn sai mời A-hi-tô-phe, là mưu sĩ của Đa-vít ở Ghi-lô, bổn thành người. Sự phản nghịch trở nên mạnh, và đoàn dân đi theo Ap-sa-lôm cùng ngày càng đông.|押 沙 龍 獻 祭 的 時 候 、 打 發 人 去 將 大 衛 的 謀 士 、 基 羅 人 亞 希 多 弗 、 從 他 本 城 請 了 來 。 於 是 叛 逆 的 勢 派 甚 大 ． 因 為 隨 從 押 沙 龍 的 人 民 、 日 漸 增 多 。
Có người đến báo tin cho Đa-vít rằng: Lòng của dân Y-sơ-ra-ên nghiêng về Ap-sa-lôm.|有 人 報 告 大 衛 說 、 以 色 列 人 的 心 、 都 歸 向 押 沙 龍 了 。
Đa-vít bèn nói cùng các tôi tớ ở với mình tại Giê-ru-sa-lem rằng: Hãy chổi dậy và chạy trốn đi, bằng chẳng, chúng ta không thế thoát khỏi Ap-sa-lôm được. Hãy đi mau mau, e nó sẽ đến kịp chúng ta, làm hại cho chúng ta, và dùng gươm diệt thành.|大 衛 就 對 耶 路 撒 冷 跟 隨 他 的 臣 僕 說 、 我 們 要 起 來 逃 走 ． 不 然 都 不 能 躲 避 押 沙 龍 了 ． 要 速 速 的 去 、 恐 怕 他 忽 然 來 到 、 加 害 於 我 們 、 用 刀 殺 盡 合 城 的 人 。
Các tôi tớ của vua thưa rằng: Phàm việc gì vua chúa chúng tôi nhứt định, thì các tôi tớ vua sẽ sẵn làm theo.|王 的 臣 僕 對 王 說 、 我 主 我 王 所 定 的 、 僕 人 都 願 遵 行 。
Vậy, vua ra đi, có cả nhà người cùng theo; nhưng vua để lại mười người cung phi đặng giữ đền.|於 是 王 帶 著 全 家 的 人 出 去 了 、 但 留 下 十 個 妃 嬪 、 看 守 宮 殿 。
Thế thì, vua đi ra, có cả dân sự theo sau; chúng dừng lại tại nhà ở cuối chót thành.|王 出 去 、 眾 民 都 跟 隨 他 、 到 伯 墨 哈 、 就 住 下 了 。
Hết thảy tôi tớ của vua và cả người Kê-rê-thít, người Phê-lê-thít đều đi ở bên vua, còn người Ghi-tít, số sáu trăm người ở Gát đến theo vua, đều đi đàng trước.|王 的 臣 僕 都 在 他 面 前 過 去 ． 基 利 提 人 、 比 利 提 人 、 就 是 從 迦 特 跟 隨 王 來 的 六 百 人 、 也 都 在 他 面 前 過 去 。
Vua bèn nói cùng Y-tai, người Ghi-tít rằng: Cớ sao ngươi cũng muốn đến cùng chúng ta? Hãy trở lại, ở với vua, bởi vì ngươi là một người ngoại bang đã lìa xứ ngươi.|王 對 迦 特 人 以 太 說 、 你 是 外 邦 逃 來 的 人 ． 為 甚 麼 與 我 們 同 去 呢 。 你 可 以 回 去 、 與 新 王 同 住 、 或 者 回 你 本 地 去 罷 。
Ngươi mới đến hôm qua, và hôm nay ta há sẽ cho ngươi lạc lài đây đó với chúng ta sao? Còn ta, ta đi đâu không rõ. Vậy, hãy trở về và dẫn các anh em ngươi theo ngươi. Nguyện sự thương xót và sự thành tín ở cùng ngươi!|你 來 的 日 子 不 多 、 我 今 日 怎 好 叫 你 與 我 們 一 同 飄 流 、 沒 有 一 定 的 住 處 呢 ． 你 不 如 帶 你 的 弟 兄 回 去 罷 ． 願 耶 和 華 用 慈 愛 誠 實 待 你 。
Nhưng Y-tai thưa cùng vua rằng: Tôi chỉ Đức Giê-hô-va hằng sống, và chỉ mạng sống của vua chúa tôi mà thề, hễ vua chúa tôi ở đâu, hoặc trong sự chết, hoặc trong sự sống, thì kẻ tôi tớ vua cũng sẽ ở đó.|以 太 對 王 說 、 我 指 著 永 生 的 耶 和 華 起 誓 、 又 敢 在 王 面 前 起 誓 、 無 論 生 死 、 王 在 那 裡 、 僕 人 也 必 在 那 裡 。
Vua Đa-vít bèn nói với Y-tai rằng: Vậy, hãy đến đi trước. Thế thì, Y-tai người Ghi-tít cùng hết thảy con trẻ theo mình, và cả bọn người đều đi tới trước.|大 衛 對 以 太 說 、 你 前 去 過 河 罷 。 於 是 迦 特 人 以 太 帶 著 跟 隨 他 的 人 和 所 有 的 婦 人 孩 子 、 就 都 過 去 了 。
Hết thảy dân trong xứ đều khóc và la lớn tiếng lên trong khi cả đám đông nầy đi qua. Vua qua khe Xết-rôn, và cả dân sự đều sơm tới trên con đường về đồng vắng.|本 地 的 人 都 放 聲 大 哭 、 眾 民 盡 都 過 去 ． 王 也 過 了 汲 淪 溪 、 眾 民 往 曠 野 去 了 。
Ở đó cũng có Xa-đốc và hết thảy người Lê-vi khiêng hòm giao ước của Đức Chúa Trời. Họ để hòm của Đức Chúa Trời xuống đất, rồi A-bia-tha đi lên trước cho đến khi hết thảy dân sự đã ra khỏi thành xuống rồi.|撒 督 、 和 抬 　 神 約 櫃 的 利 未 人 、 也 一 同 來 了 、 將 　 神 的 約 櫃 放 下 ． 亞 比 亞 他 上 來 、 等 著 眾 民 從 城 裡 出 來 過 去 。
Vua bèn nói cùng Xa-đốc rằng: Hãy thỉnh hòm của Đức Chúa Trời vào trong thành. Nếu ta được ơn trước mặt Đức Giê-hô-va, ắt Ngài sẽ đem ta về, cho ta thấy lại hòm giao ước và nơi ngự của Ngài.|王 對 撒 督 說 、 你 將 　 神 的 約 櫃 抬 回 城 去 ． 我 若 在 耶 和 華 眼 前 蒙 恩 、 他 必 使 我 回 來 、 再 見 約 櫃 、 和 他 的 居 所 。
Nhưng nếu Ngài phán như vầy: Ta không ưa thích ngươi; thế thì, nguyện Ngài xử ta theo ý Ngài lấy làm tốt!|倘 若 他 說 、 我 不 喜 悅 你 ． 看 哪 、 我 在 這 裡 、 願 他 憑 自 己 的 意 旨 待 我 。
Vua lại nói cùng thầy tế lễ Xa-đốc rằng: Nầy nghe, hãy trở về thành bình an, với A-bia-tha, A-hi-mát, và Giô-na-than, là hai con trai ngươi.|王 又 對 祭 司 撒 督 說 、 你 不 是 先 見 麼 ． 你 可 以 安 然 回 城 ． 你 兒 子 亞 希 瑪 斯 、 和 亞 比 亞 他 的 兒 子 約 拿 單 、 都 可 以 與 你 同 去 。
Còn ta, ta sẽ đợi tại trong đồng bằng của sa mạc cho đến khi có kẻ bởi các ngươi đem tin báo cho ta.|我 在 曠 野 的 渡 口 那 裡 等 你 們 報 信 給 我 。
Ay vậy, Xa-đốc và A-bia-tha thỉnh hòm của Đức Chúa Trời về Giê-ru-sa-lem, và họ ở lại tại đó.|於 是 撒 督 和 亞 比 亞 他 將 　 神 的 約 櫃 抬 回 耶 路 撒 冷 ． 他 們 就 住 在 那 裡 。
Đa-vít trèo lên núi Ô-li-ve; người vừa leo lên vừa khóc, đầu trùm lại và chơn không. Hết thảy người đi theo cũng trùm đầu, vừa trèo lên vừa khóc.|大 衛 蒙 頭 赤 腳 、 上 橄 欖 山 、 一 面 上 、 一 面 哭 ． 跟 隨 他 的 人 、 也 都 蒙 頭 哭 著 上 去 。
Người ta bèn đến nói cùng Đa-vít rằng: A-hi-tô-phe cũng hiệp đảng phản nghịch với Ap-sa-lôm. Đa-vít cầu rằng: Oi, Đức Giê-hô-va! xin làm cho những mưu chước của A-hi-tô-phe ra ngu dại.|有 人 告 訴 大 衛 說 、 亞 希 多 弗 也 在 叛 黨 之 中 、 隨 從 押 沙 龍 。 大 衛 禱 告 說 、 耶 和 華 阿 、 求 你 使 亞 希 多 弗 的 計 謀 、 變 為 愚 拙 。
Khi Đa-vít đã đi đến chót núi, tại nơi người ta thờ lạy Đức Chúa Trời, thì Hu-sai, người At-kít, đến đón người, áo xé rách và đầu đầy bụi đất.|大 衛 到 了 山 頂 、 敬 拜 　 神 的 地 方 、 見 亞 基 人 戶 篩 、 衣 服 撕 裂 、 頭 蒙 灰 塵 、 來 迎 接 他 。
Đa-vít nói cùng người rằng: Nếu ngươi đến cùng ta, tất ngươi sẽ làm khó nhọc cho ta.|大 衛 對 他 說 、 你 若 與 我 同 去 、 必 累 贅 我 。
Nhưng nếu ngươi trở về thành, và nói cùng Ap-sa-lôm rằng: Oi vua! tôi là kẻ tôi tớ vua. Thuở trước tôi đã phục sự vua cha thể nào, bây giờ tôi sẽ phục sự vua thể ấy, vậy ngươi sẽ vì ta làm bại mưu chước của A-hi-tô-phe.|你 若 回 城 去 、 對 押 沙 龍 說 、 王 阿 、 我 願 作 你 的 僕 人 ． 我 向 來 作 你 父 親 的 僕 人 、 現 在 我 也 照 樣 作 你 的 僕 人 ． 這 樣 、 你 就 可 以 為 我 破 壞 亞 希 多 弗 的 計 謀 。
Hai thầy tế lễ Xa-đốc và A-bia-tha sẽ đồng cùng ngươi. Phàm việc chi ngươi hay được về nhà vua, ngươi phải thuật cho hai thầy tế lễ Xa-đốc và A-bia-tha biết.|祭 司 撒 督 和 亞 比 亞 他 、 豈 不 都 在 那 裡 麼 ． 你 在 王 宮 裡 聽 見 甚 麼 、 就 要 告 訴 祭 司 撒 督 和 亞 比 亞 他 。
Hai người có hai đứa con trai theo mình, là A-hi-mát, con trai của Xa-đốc, và Giô-na-than, con trai của A-bia-tha; các ngươi phải dùng chúng nó để báo tin cho ta mọi điều mình sẽ nghe thấy.|撒 督 的 兒 子 亞 希 瑪 斯 、 亞 比 亞 他 的 兒 子 約 拿 單 、 也 都 在 那 裡 ． 凡 你 們 所 聽 見 的 、 可 以 託 這 二 人 來 報 告 我 。
Vậy, Hu-sai, bạn hữu của Đa-vít, trở về thành đương khi Ap-sa-lôm vào trong Giê-ru-sa-lem.|於 是 大 衛 的 朋 友 戶 篩 進 了 城 ． 押 沙 龍 也 進 了 耶 路 撒 冷 。

					II Sa-mu-ên 16				|
						撒母耳記下 16					
Đa-vít vừa trèo qua khỏi chót núi, thì Xíp-ba, tôi tớ của Mê-phi-bô-sết, đến đón vua với hai con lừa mang bành chở hai trăm ổ bánh, một trăm cái bánh nhỏ bằng trái nho, một trăm cái bánh nhỏ bằng trái vả, và một bầu rượu nho.|大 衛 剛 過 山 頂 、 見 米 非 波 設 的 僕 人 洗 巴 拉 著 備 好 了 的 兩 匹 驢 、 驢 上 馱 著 二 百 麵 餅 、 一 百 葡 萄 餅 、 一 百 個 夏 天 的 果 餅 、 一 皮 袋 酒 來 、 迎 接 他 。
Vua hỏi Xíp-ba rằng: Ngươi có ý dùng điều đó làm chi? Xíp-ba thưa rằng: Hai con lừa dùng làm vật cỡi cho nhà vua; bánh và trái nho dùng làm đồ ăn cho các người trai trẻ, còn rượu để dùng cho người kẻ mệt nhọc trong đồng vắng uống.|王 問 洗 巴 、 說 、 你 帶 這 些 來 是 甚 麼 意 思 呢 。 洗 巴 說 、 驢 、 是 給 王 的 家 眷 騎 的 、 麵 餅 、 和 夏 天 的 果 餅 、 是 給 少 年 人 喫 的 ． 酒 、 是 給 在 曠 野 疲 乏 人 喝 的 。
Vua hỏi: Vậy, con trai của chủ ngươi đâu? Xíp-ba thưa: Người ở lại Giê-ru-sa-lem, vì nói rằng: Ngày nay nhà Y-sơ-ra-ên sẽ trả nước của cha ta lại cho ta.|王 問 說 、 你 主 人 的 兒 子 在 那 裡 呢 。 洗 巴 回 答 王 說 、 他 仍 在 耶 路 撒 冷 ． 因 他 說 、 以 色 列 人 今 日 必 將 我 父 的 國 歸 還 我 。
Vua bèn nói cùng Xíp-ba rằng: Thế thì, mọi vật thuộc về Mê-phi-bô-sết đều nên của ngươi. Xíp-ba tiếp: Nầy tôi phục dưới chơn vua. Vua ôi, ước gì tôi được ơn trước mặt vua chúa tôi!|王 對 洗 巴 說 、 凡 屬 米 非 波 設 的 都 歸 你 了 。 洗 巴 說 、 我 叩 拜 我 主 我 王 ． 願 我 在 你 眼 前 蒙 恩 。
Vua Đa-vít vừa đến Ba-hu-rim, thấy ở đó đi ra một người về dòng dõi nhà Sau-lơ, tên là Si-mê -i, con trai của Ghe-ra. Người vừa đi tới vừa rủa sả,|大 衛 王 到 了 巴 戶 琳 、 見 有 一 個 人 出 來 、 是 掃 羅 族 基 拉 的 兒 子 、 名 叫 示 每 、 他 一 面 走 、 一 面 咒 罵 ．
ném đá vào Đa-vít và các tôi tớ của vua; cả dân sự và các dõng sĩ đều vây phủ vua bên hữu và bên tả.|又 拿 石 頭 砍 大 衛 王 和 王 的 臣 僕 ． 眾 民 和 勇 士 都 在 王 的 左 右 。
Si-mê -i rủa sả Đa-vít như lời nầy: Ớ người huyết, người gian tà kia! hãy đi nà, hãy đi nà!|示 每 咒 罵 說 、 你 這 流 人 血 的 壞 人 哪 ． 去 罷 去 罷 。
Người đã tự làm vua thay vì Sau-lơ, nên bây giờ Đức Giê-hô-va khiến những huyết của nhà người đổ lại trên ngươi; Ngài sẽ phó nước vào tay Ap-sa-lôm, con trai ngươi; và kìa, chính ngươi bị hoạn nạn, bởi vì ngươi là một người huyết.|你 流 掃 羅 全 家 的 血 、 接 續 他 作 王 ． 耶 和 華 把 這 罪 歸 在 你 身 上 、 將 這 國 交 給 你 兒 子 押 沙 龍 ． 現 在 你 自 取 其 禍 、 因 為 你 是 流 人 血 的 人 。
Bấy giờ, A-bi-sai, con trai của Xê-ru-gia, tâu với vua rằng: Cớ sao con chó chết kia dám mắng vua chúa tôi? Hãy để tôi đi chém đầu nó.|洗 魯 雅 的 兒 子 亞 比 篩 對 王 說 、 這 死 狗 豈 可 咒 罵 我 主 我 王 呢 。 求 你 容 我 過 去 、 割 下 他 的 頭 來 。
Nhưng vua đáp rằng: Hỡi các con trai Xê-ru-gia, ta có can hệ gì với các ngươi? Hãy để Si-mê -i rủa sả. Ay là Đức Giê-hô-va đã phán cùng người rằng: Hãy rủa sả Đa-vít. Vậy ai dám nói cùng người rằng: Cớ sao ngươi làm như vậy?|王 說 、 洗 魯 雅 的 兒 子 、 我 與 你 們 有 何 關 涉 呢 。 他 咒 罵 、 是 因 耶 和 華 吩 咐 他 說 、 你 要 咒 罵 大 衛 ． 如 此 、 誰 敢 說 你 為 甚 麼 這 樣 行 呢 。
Đoạn, Đa-vít nói với A-bi-sai và các tôi tớ mình rằng: Kìa, con ruột ta, là kẻ do lòng ta sanh ra, còn muốn hại mạng sống ta thay; phương chi người Bên-gia-min nầy! Hãy để cho nó làm, để nó rủa sả, vì Đức Giê-hô-va đã phán dặn nó làm vậy.|大 衛 又 對 亞 比 篩 和 眾 臣 僕 說 、 我 親 生 的 兒 子 、 尚 且 尋 索 我 的 性 命 、 何 況 這 便 雅 憫 人 呢 。 由 他 咒 罵 罷 ． 因 為 這 是 耶 和 華 吩 咐 他 的 。
Có lẽ Đức Giê-hô-va sẽ đoái xem sự hoạn nạn ta, lấy phước trả lại thế cho sự rủa sả mà ta bị ngày nay.|或 者 耶 和 華 見 我 遭 難 、 為 我 今 日 被 這 人 咒 罵 、 就 施 恩 與 我 。
