
					Công Vụ Các Sứ đồ 1				|
Nhưng các môn đồ đương nhóm chung quanh người, thì người vùng đứng dậy và vào trong thành. Bữa sau, người đi với Ba-na-ba đến thành Đẹt-bơ.|門 徒 正 圍 著 他 、 他 就 起 來 、 走 進 城 去 ． 第 二 天 、 同 巴 拿 巴 往 特 庇 去 、
Khi hai sứ đồ đã rao truyền Tin Lành trong thành đó, và làm cho khá nhiều người trở nên môn đồ, thì trở về thành Lít-trơ, thành Y-cô-ni và thành An-ti-ốt,|對 那 城 裡 的 人 傳 了 福 音 、 使 好 些 人 作 門 徒 ． 就 回 路 司 得 、 以 哥 念 、 安 提 阿 去 、
giục các môn đồ, vững lòng, khuyên phải bền đổ trong đức tin, và bảo trước rằng phải trải qua nhiều nỗi khó khăn mới vào được nước Đức Chúa Trời.|堅 固 門 徒 的 心 、 勸 他 們 恆 守 所 信 的 道 ． 又 說 、 我 們 進 入 　 神 的 國 、 必 須 經 歷 許 多 艱 難 。
Khi hai sứ đồ khiến lựa chọn những trưởng lão trong mỗi Hội thánh, cầu nguyện và kiêng ăn xong, thì dâng các người đó cho Chúa là Đấng mình đã tin đến.|二 人 在 各 教 會 中 選 立 了 長 老 、 又 禁 食 禱 告 、 就 把 他 們 交 託 所 信 的 主 。
Kế đó, hai sứ đồ vượt qua đất Bi-si-đi, đến trong xứ Bam-phi-ly.|二 人 經 過 彼 西 底 、 來 到 旁 非 利 亞 。
Sau khi đã truyền đạo tại thành Bẹt-giê rồi, thì xuống thành At-ta-li.|在 別 加 講 了 道 、 就 下 亞 大 利 去 。
Từ nơi đó, hai người chạy buồn về thành An-ti-ốt, là chỗ mình đã ra đi, được giao phó cho ân điển Đức Chúa Trời, để làm công việc mình vừa mới làm xong.|從 那 裡 坐 船 、 往 安 提 阿 去 。 當 初 他 們 被 眾 人 所 託 蒙 　 神 之 恩 、 要 辦 現 在 所 作 之 工 、 就 是 在 這 地 方 。
Hai người đến nơi, nhóm họp Hội thánh rồi, bèn thật lại mọi việc Đức Chúa Trời đã cậy mình làm, và Ngài mở cửa đức tin cho người ngoại là thể nào.|到 了 那 裡 、 聚 集 了 會 眾 、 就 述 說 　 神 藉 他 們 所 行 的 一 切 事 、 並 　 神 怎 樣 為 外 邦 人 開 了 信 道 的 門 。
Hai người ở tại đó lâu ngày với các môn đồ.|二 人 就 在 那 裡 同 門 徒 住 了 多 日 。

					Công Vụ Các Sứ đồ 15				|
						使徒行傳 15					
Vả, có mấy người từ xứ Giu-đê đến, dạy các anh em rằng: Nếu các ngươi chẳng chịu phép cắt bì theo lễ Môi-se, thì không thể được cứu rỗi.|有 幾 個 人 、 從 猶 太 下 來 、 教 訓 弟 兄 們 說 、 你 們 若 不 按 摩 西 的 規 條 受 割 禮 、 不 能 得 救 。
Nhơn đó, có sự khác ý và cuộc cãi lẽ dữ dội giữa Phao-lô và Ba-na-ba với mấy người đó, người ta nhứt định Phao-lô và Ba-na-ba với mấy người trong bọn kia đi lên thành Giê-ru-sa-lem, đến cùng các sứ đồ và trưởng lão đặng hỏi về việc nầy.|保 羅 巴 拿 巴 與 他 們 大 大 的 分 爭 辯 論 、 眾 門 徒 就 定 規 、 叫 保 羅 巴 拿 巴 和 本 會 中 幾 個 人 、 為 所 辯 論 的 、 上 耶 路 撒 冷 去 、 見 使 徒 和 長 老 。
Vậy, sau khi các ngươi ấy được Hội thánh đưa đường rồi, thì trải qua xứ Phê-ni-xi và xứ Sa-ma-ri, thuật lại sự người ngoại trở về đạo, và như vậy làm cho anh em thay thảy được vui mừng lắm.|於 是 教 會 送 他 們 起 行 、 他 們 經 過 腓 尼 基 、 撒 瑪 利 亞 、 隨 處 傳 說 外 邦 人 歸 主 的 事 、 叫 眾 弟 兄 都 甚 歡 喜 。
Vừa tới thành Giê-ru-sa-lem, được Hội thánh, các sứ đồ và trưởng lão tiếp rước, rồi thuật lại mọi điều Đức Chúa Trời đã cậy mình làm.|到 了 耶 路 撒 冷 、 教 會 和 使 徒 並 長 老 、 都 接 待 他 們 、 他 們 就 述 說 　 神 同 他 們 所 行 的 一 切 事 。
Nhưng có mấy kẻ về đảng Pha-ri-si đã tin đạo, đứng dậy nói rằng phải làm phép cắt bì cho những người ngoại, và truyền họ phải tuân theo luật pháp Môi-se.|惟 有 幾 個 信 徒 是 法 利 賽 教 門 的 人 、 起 來 說 、 必 須 給 外 邦 人 行 割 禮 、 吩 咐 他 們 遵 守 摩 西 的 律 法 。
Các sứ đồ và các trưởng lão bèn họp lại để xem xét về việc đó.|使 徒 和 長 老 、 聚 會 商 議 這 事 。
Sau một cuộc bàn luận dài rồi, Phi -e-rơ đứng dậy nói cùng chúng rằng: Hỡi anh em, hãy biết rằng từ lúc ban đầu, Đức Chúa Trời đã chọn tôi trong các anh em, để cho người ngoại được nghe Tin Lành bởi miệng tôi và tin theo.|辯 論 已 經 多 了 、 彼 得 就 起 來 、 說 、 諸 位 弟 兄 、 你 們 知 道 　 神 早 已 在 你 們 中 間 揀 選 了 我 、 叫 外 邦 人 從 我 口 中 得 聽 福 音 之 道 、 而 且 相 信 。
Đức Chúa Trời là Đấng biết lòng người, đã làm chứng cho người ngoại, mà ban Đức Thánh Linh cho họ cũng như cho chúng ta;|知 道 人 心 的 　 神 、 也 為 他 們 作 了 見 證 ． 賜 聖 靈 給 他 們 、 正 如 給 我 們 一 樣 。
Ngài chẳng phân biệt chúng ta với người ngoại đâu, vì đã lấy đức tin khiến cho lòng họ tinh sạch.|又 藉 著 信 潔 淨 了 他 們 的 心 、 並 不 分 他 們 我 們 。
Vậy bây giờ, cớ sao anh em thử Đức Chúa Trời, gán cho môn đồ một cái ách mà tổ phụ chúng ta hoặc chính chúng ta cũng chưa từng mang nổi?|現 在 為 甚 麼 試 探 　 神 、 要 把 我 們 祖 宗 和 我 們 所 不 能 負 的 軛 、 放 在 門 徒 的 頸 項 上 呢 。
Trái lại, chúng ta tin rằng nhờ ơn Đức Chúa Jêsus, chúng ta được cứu cũng như người ngoại vậy.|我 們 得 救 、 乃 是 因 主 耶 穌 的 恩 、 和 他 們 一 樣 、 這 是 我 們 所 信 的 。
Cả hội đồng đều lẳng lặng, nghe Ba-na-ba và Phao-lô thuật lại những phép lạ dấu kỳ mà Đức Chúa Trời đã cậy mình làm ra giữa người ngoại.|眾 人 都 默 默 無 聲 、 聽 巴 拿 巴 和 保 羅 、 述 說 　 神 藉 他 們 在 外 邦 人 中 所 行 的 神 蹟 奇 事 。
Nói xong, Gia-cơ cất tiếng lên rằng: Hỡi anh em, hãy nghe tôi!|他 們 住 了 聲 、 雅 各 就 說 、 諸 位 弟 兄 、 請 聽 我 的 話 。
Si-môn có thuật thế nào lần thứ nhứt, Đức Chúa Trời đã đoái thương người ngoại, đặng từ đó lấy ra một dân để dâng cho danh Ngài.|方 纔 西 門 述 說 　 神 當 初 怎 樣 眷 顧 外 邦 人 、 從 他 們 中 間 選 取 百 姓 歸 於 自 己 的 名 下 。
Điều đó phù hiệp với lời các đấng tiên tri, vì có chép rằng:|眾 先 知 的 話 、 也 與 這 意 思 相 合 ．
Rồi đó, ta sẽ trở lại, Dựng lại đền tạm của vua Đa-vít bị đổ nát; Ta sẽ sửa sự hư nát đền đó lại Mà gây dựng lên;|正 如 經 上 所 寫 的 、 『 此 後 我 要 回 來 、 重 新 修 造 大 衛 倒 塌 的 帳 幕 、 把 那 破 壞 的 、 重 新 修 造 建 立 起 來 ．
Hầu cho những người sót lại Và mọi dân cầu khẩn danh ta đều tìm Chúa. Chúa là Đấng làm nên những việc nầy có phán như vậy;|叫 餘 剩 的 人 、 就 是 凡 稱 為 我 名 下 的 外 邦 人 、 都 尋 求 主 ．
từ trước vô cùng Ngài đã thông biết những việc đó.|這 話 是 從 創 世 以 來 、 顯 明 這 事 的 主 說 的 。 』
Vậy, theo ý tôi, thật chẳng nên khuấy rối những người ngoại trở về cùng Đức Chúa Trời;|所 以 據 我 的 意 見 、 不 可 難 為 那 歸 服 　 神 的 外 邦 人 ．
song khá viết thơ dặn họ kiêng giữ cho khỏi sự ô uế của thần tượng, sự tà dâm, sự ăn thịt thú vật chết ngột và huyết.|只 要 寫 信 、 吩 咐 他 們 禁 戒 偶 像 的 污 穢 和 姦 淫 、 並 勒 死 的 牲 畜 、 和 血 。
Vì trải bao nhiêu đời nay, trong mỗi thành vẫn có người giảng luật pháp Môi-se, bởi mọi ngày Sa-bát, trong các nhà hội người ta có đọc luật ấy.|因 為 從 古 以 來 、 摩 西 的 書 在 各 城 有 人 傳 講 、 每 逢 安 息 日 、 在 會 堂 裡 誦 讀 。
Kế đó, các sứ đồ và trưởng lão cùng cả Hội thánh bèn quyết định sai những người được chọn ở nơi mình đi với Phao-lô và Ba-na-ba đến thành An-ti-ốt. Ay là Giu-đe, cũng gọi là Ba-sa-ba, và Si-la, là hai người đứng đầu trong hàng anh em;|那 時 、 使 徒 和 長 老 並 全 教 會 、 定 意 從 他 們 中 間 揀 選 人 、 差 他 們 和 保 羅 、 巴 拿 巴 、 同 住 安 提 阿 去 ． 所 揀 選 的 、 就 是 稱 呼 巴 撒 巴 的 猶 大 、 和 西 拉 、 這 兩 個 人 在 弟 兄 中 是 作 首 領 的 。
rồi giao cho hai người bức thơ như sau nầy: Các sứ đồ, trưởng lão và anh em gởi lời chào thăm anh em trong những người ngoại tại thành An-ti-ốt, trong xứ Sy-ri và xứ Si-li-si!|於 是 寫 信 交 付 他 們 、 內 中 說 、 使 徒 和 作 長 老 的 弟 兄 們 、 問 安 提 阿 、 敘 利 亞 、 基 利 家 外 邦 眾 弟 兄 的 安 。
Bởi từng nghe có một vài người trong vòng chúng ta, chẳng lãnh mạng lịnh nào nơi chúng ta, tự lấy lời mình khuấy rối, và biến loạn lòng các ngươi nữa,|我 們 聽 說 有 幾 個 人 、 從 我 們 這 裡 出 去 、 用 言 語 攪 擾 你 們 、 惑 亂 你 們 的 心 ． 〔 有 古 卷 在 此 有 你 們 必 須 受 割 禮 守 摩 西 的 律 法 〕 其 實 我 們 並 沒 有 吩 咐 他 們 ．
nên chúng ta đồng lòng quyết ý chọn những người thay mặt sai đi cũng kẻ rất yêu dấu của chúng ta là Ba-na-ba và Phao-lô, mà đến nơi các ngươi;|所 以 我 們 同 心 定 意 、 揀 選 幾 個 人 、 差 他 們 同 我 們 所 親 愛 的 巴 拿 巴 、 和 保 羅 、 往 你 們 那 裡 去 。
hai người nầy vốn đã liều thân vì danh Đức Chúa Jêsus Christ là Chúa chúng ta.|這 二 人 是 為 我 主 耶 穌 基 督 的 名 、 不 顧 性 命 的 。
Vậy chúng ta đã sai Giu-đe và Si-la đến, để nói miệng với anh em về việc đó:|我 們 就 差 了 猶 大 和 西 拉 、 他 們 也 要 親 口 訴 說 這 些 事 ．
ấy là Đức Thánh Linh và chúng ta đã ưng rằng chẳng gán gánh nặng nào khác cho anh em ngoài những điều cần dùng,|因 為 聖 靈 和 我 們 、 定 意 不 將 別 的 重 擔 放 在 你 們 身 上 ． 惟 有 幾 件 事 是 不 可 少 的 、
tức là anh em phải kiêng ăn của cúng thần tượng, huyết, thú vật chết ngột, và chớ tà dâm; ấy là mọi điều mà anh em khá kiêng giữ lấy vậy. Kính chúc bình an.|就 是 禁 戒 祭 偶 像 的 物 、 和 血 、 並 勒 死 的 牲 畜 、 和 姦 淫 ． 這 幾 件 你 們 若 能 自 己 禁 戒 不 犯 、 就 好 了 ． 願 你 們 平 安 。
Vậy, khi các người đó đã từ giã Hội thánh, xuống thành An-ti-ốt, nhóm hết thảy anh em lại và trao thơ cho.|他 們 既 奉 了 差 遣 、 就 下 安 提 阿 去 、 聚 集 眾 人 、 交 付 書 信 。
Người ta đọc thơ, thảy đều mừng rỡ vì được lời yên ủi.|眾 人 念 了 、 因 為 信 上 安 慰 的 話 、 就 歡 喜 了 。
Giu-đe và Si-la chính là kẻ tiên tri, cũng lấy nhiều lời giảng mà khuyên bảo, và giục lòng anh em mạnh mẽ.|猶 大 和 西 拉 也 是 先 知 、 就 用 許 多 話 勸 勉 弟 兄 、 堅 固 他 們 。
Khỏi ít lâu, anh em chúc các người đó bình an mà cho về cùng những người đã sai đến.|住 了 些 日 子 、 弟 兄 們 打 發 他 們 平 平 安 安 的 回 到 差 遣 他 們 的 人 那 裡 去 。 〔 有 古 卷 在 此 有 〕
Nhưng mà Si-la thì quyết ở lại thành An-ti-ốt.|〔 惟 有 西 拉 定 意 仍 住 在 那 裡 〕
Nhưng Phao-lô và Ba-na-ba ở lại tại thành An-ti-ốt, giảng Tin Lành và dạy đạo Chúa với nhiều người khác.|但 保 羅 和 巴 拿 巴 、 仍 住 在 安 提 阿 、 和 許 多 別 人 一 同 教 訓 人 、 傳 主 的 道 。
Sau ít lâu, Phao-lô nói với Ba-na-ba rằng: Chúng ta hãy trở lại thăm hết thảy anh em trong các thành mà chúng ta trước đã giảng đạo Chúa, xem thử ra thể nào.|過 了 些 日 子 、 保 羅 對 巴 拿 巴 說 、 我 們 可 以 回 到 從 前 宣 傳 主 道 的 各 城 、 看 望 弟 兄 們 景 況 如 何 。
Ba-na-ba muốn đem theo Giăng cũng gọi là Mác.|巴 拿 巴 有 意 、 要 帶 稱 呼 馬 可 的 約 翰 同 去 ．
Nhưng Phao-lô không có ý đem Mác đi với, vì người đã lìa hai người trong xứ Bam-phi-ly, chẳng cùng đi làm việc với.|但 保 羅 、 因 為 馬 可 從 前 在 旁 非 利 亞 離 開 他 們 、 不 和 他 們 同 去 作 工 、 就 以 為 不 可 帶 他 去 。
Nhơn đó có sự cãi lẫy nhau dữ dội, đến nỗi hai người phân rẽ nhau, và Ba-na-ba đem Mác cùng xuống thuyền vượt qua đảo Chíp-rơ.|於 是 二 人 起 了 爭 論 、 甚 至 彼 此 分 開 ． 巴 拿 巴 帶 著 馬 可 、 坐 船 往 居 比 路 去 ．
Còn Phao-lô sau khi đã chọn Si-la, và nhờ anh em giao phó mình cho ân điển Chúa, thì khởi đi.|保 羅 揀 選 了 西 拉 、 也 出 去 、 蒙 弟 兄 們 把 他 交 於 主 的 恩 中 。
Người trải qua xứ Sy-ri và xứ Si-li-si, làm cho các Hội thánh được vững bền.|他 就 走 遍 敘 利 亞 、 基 利 家 、 堅 固 眾 教 會 。

					Công Vụ Các Sứ đồ 16				|
						使徒行傳 16					
Phao-lô tới thành Đẹt-bơ và thành Lít-trơ. Nơi đó, có một môn đồ tên là Ti-mô-thê, con của một người đờn bà Giu-đa đã tin, còn cha thì người Gờ-réc.|保 羅 來 到 特 庇 、 又 到 路 司 得 ． 在 那 裡 有 一 個 門 徒 、 名 叫 提 摩 太 、 是 信 主 之 猶 太 婦 人 的 兒 子 、 他 父 親 卻 是 希 利 尼 人 。
Anh em ở thành Lít-trơ và thành Y-cô-ni đều làm chứng tốt về người.|路 司 得 和 以 哥 念 的 弟 兄 、 都 稱 讚 他 。
Phao-lô muốn đem người theo; bởi cớ những người Giu-đa ở trong các nơi đó, nên Phao-lô lấy người và làm phép cắt bì cho, vì hết thảy đều biết cha Ti-mô-thê là người Gờ-réc.|保 羅 要 帶 他 同 去 、 只 因 那 些 地 方 的 猶 太 人 、 都 知 道 他 父 親 是 希 利 尼 人 、 就 給 他 行 了 割 禮 。
Hễ ghé qua thành nào, hai người cũng dặn biểu phải giữ mấy lề luật mà sứ đồ và trưởng lão tại thành Giê-ru-sa-lem lập ra.|他 們 經 過 各 城 、 把 耶 路 撒 冷 使 徒 和 長 老 所 定 的 條 規 、 交 給 門 徒 遵 守 。
Ay vậy, các Hội thánh được vững vàng trong đức tin, và số người càng ngày càng thêm lên.|於 是 眾 教 會 信 心 越 發 堅 固 、 人 數 天 天 加 增 。
Đoạn, trải qua xứ Phi-ri-gi và đất Ga-la-ti, vì Đức Thánh Linh đã cấm truyền đạo trong cõi A-si.|聖 靈 既 然 禁 止 他 們 在 亞 西 亞 講 道 、 他 們 就 經 過 弗 呂 家 加 拉 太 一 帶 地 方 ．
Tới gần xứ My-ri rồi, hai người sắm sửa vào xứ Bi-thi-ni; nhưng Thánh Linh của Đức Chúa Jêsus không cho phép,|到 了 每 西 亞 的 邊 界 、 他 們 想 要 往 庇 推 尼 去 、 耶 穌 的 靈 卻 不 許 ．
bèn kíp qua khỏi xứ My-si, và xuống thành Trô-ách.|他 們 就 越 過 每 西 亞 、 下 到 特 羅 亞 去 。
Đương ban đêm, Phao-lô thấy sự hiện thấy; có một người Ma-xê-đoan đứng trước mặt mình, nài xin rằng: Hãy qua xứ Ma-xê-đoan mà cứu giúp chúng tôi.|在 夜 間 有 異 象 現 與 保 羅 ． 有 一 個 馬 其 頓 人 、 站 著 求 他 說 、 請 你 過 到 馬 其 頓 來 幫 助 我 們 。
Phao-lô vừa thấy sự hiện thấy đó rồi, chúng ta liền tìm cách qua xứ Ma-xê-đoan, vì đã định rằng Đức Chúa Trời gọi chúng ta rao truyền Tin Lành ở đó.|保 羅 既 看 見 這 異 象 、 我 們 隨 即 想 要 往 馬 其 頓 去 、 以 為 　 神 召 我 們 傳 福 音 給 那 裡 的 人 聽 。
Vậy, chúng ta từ thành Trô-ách đi thuyền thẳng đến đảo Sa-mô-tra-xơ; bữa sau, đến thành Nê -a-bô-li;|於 是 從 特 羅 亞 開 船 、 一 直 行 到 撒 摩 特 喇 、 第 二 天 到 了 尼 亞 波 利 。
từ nơi đó, chúng ta tới thành Phi-líp, là thành thứ nhứt của tỉnh Ma-xê-đoan, và là thuộc địa nước Rô-ma. Chúng ta ở tạm đó vài ngày.|從 那 裡 來 到 腓 立 比 、 就 是 馬 其 頓 這 一 方 的 頭 一 個 城 ． 也 是 羅 馬 的 駐 防 城 ． 我 們 在 這 城 裡 住 了 幾 天 ．
Đến ngày Sa-bát, chúng ta ra ngoài cửa thành, đến gần bên sông, là nơi chúng ta tưởng rằng người ta nhóm lại đặng cầu nguyện; chúng ta ngồi xong, giảng cho những đờn bà đã nhóm lại.|當 安 息 日 、 我 們 出 城 門 、 到 了 河 邊 、 知 道 那 裡 有 一 個 禱 告 的 地 方 、 我 們 就 坐 下 對 那 聚 會 的 婦 女 講 道 。
Có một người trong bọn đó nghe chúng ta, tên là Ly-đi, quê ở thành Thi -a-ti-rơ, làm nghề buôn hàng sắc tía, vẫn kính sợ Đức Chúa Trời. Chúa mở lòng cho người, đặng chăm chỉ nghe lời Phao-lô nói.|有 一 個 賣 紫 色 布 疋 的 婦 人 、 名 叫 呂 底 亞 、 是 推 雅 推 喇 城 的 人 、 素 來 敬 拜 　 神 ． 他 聽 見 了 、 主 就 開 導 他 的 心 、 叫 他 留 心 聽 保 羅 所 講 的 詁 。
Khi người đã chịu phép báp-tem với người nhà mình rồi, thì xin chúng ta rằng: Nếu các ông đã đoán tôi là trung thành với Chúa, thì hãy vào nhà tôi, mà ở lại đó; rồi người ép mời vào.|他 和 他 一 家 既 領 了 洗 、 便 求 我 們 說 、 你 們 若 以 為 我 是 真 信 主 的 、 〔 或 作 你 們 若 以 為 我 是 忠 心 事 主 的 〕 請 到 我 家 裡 來 住 ． 於 是 強 留 我 們 。
Một ngày kia, chúng ta đi cầu nguyện, gặp một đứa đầy tớ gái bị quỉ Phi-tôn ám vào, hay bói khoa, làm lợi lớn cho chủ nó.|後 來 、 我 們 往 那 禱 告 的 地 方 去 ． 有 一 個 使 女 迎 著 面 來 、 他 被 巫 鬼 所 附 、 用 法 術 、 叫 他 主 人 們 大 得 財 利 。
Nó theo Phao-lô và chúng ta, mà kêu la rằng: Những người đó là đầy tớ của Đức Chúa Trời Rất Cao, rao truyền cho các ngươi đạo cứu rỗi.|他 跟 保 羅 和 我 們 、 喊 著 說 、 這 些 人 是 至 高 　 神 的 僕 人 、 對 你 們 傳 說 救 人 的 道 。
Trong nhiều ngày nó cứ làm vậy, nhưng Phao-lô lấy làm cực lòng, xây lại nói cùng quỉ rằng: Ta nhơn danh Đức Chúa Jêsus Christ mà truyền mầy ra khỏi người đờn bà nầy. Chính giờ đó, quỉ liền ra khỏi.|他 一 連 多 日 這 樣 喊 叫 、 保 羅 就 心 中 厭 煩 、 轉 身 對 那 鬼 說 、 我 奉 耶 穌 基 督 的 名 、 吩 咐 你 從 他 身 上 出 來 ． 那 鬼 當 時 就 出 來 了 。
Song le các chủ nàng thấy mình chẳng còn trông được lợi lộc nữa, bèn bắt Phao-lô và Si-la, kéo đến nơi công sở, trước mặt các quan,|使 女 的 主 人 們 、 見 得 利 的 指 望 沒 有 了 、 便 揪 住 保 羅 和 西 拉 、 拉 他 們 到 市 上 去 見 首 領 ．
rồi điệu đến các thượng quan, mà thưa rằng: Những người nầy làm rối loạn thành ta; ấy là người Giu-đa,|又 帶 到 官 長 面 前 說 、 這 些 人 原 是 猶 太 人 、 竟 騷 擾 我 們 的 城 、
dạy dỗ các thói tục mà chúng ta chẳng nên nhận lấy, hoặc vâng theo, vì chúng ta là người Rô-ma.|傳 我 們 羅 馬 人 所 不 可 受 、 不 可 行 的 規 矩 。
Đoàn dân cũng nổi lên nghịch cùng hai người, và khi các thượng quan khiến xé áo hai người ra rồi, bèn truyền đánh đòn.|眾 人 就 一 同 起 來 攻 擊 他 們 ． 官 長 吩 咐 剝 了 他 們 的 衣 裳 、 用 棍 打 。
Sau khi người ta đánh nhiều đòn rồi, thì bỏ vào ngục, dặn người đề lao phải canh giờ cho nghiêm nhặt.|打 了 許 多 棍 、 便 將 他 們 下 在 監 裡 、 囑 咐 禁 卒 嚴 緊 看 守 。
Được lịnh đó, đề lao bỏ hai người vào ngục tối và tra chơn vào cùm.|禁 卒 領 了 這 樣 的 命 、 就 把 他 們 下 在 內 監 裡 、 兩 腳 上 了 木 狗 。
Lối nữa đêm, Phao-lô và Si-la đương cầu nguyện, hát ngợi khen Đức Chúa Trời; và những tù phạm đều nghe.|約 在 半 夜 、 保 羅 和 西 拉 、 禱 告 唱 詩 讚 美 　 神 ． 眾 囚 犯 也 側 耳 而 聽 。
Thình lình, có nơi động đất rất lớn, đến nỗi nền ngục rúng động; cùng một lúc, các cửa mở ra, xiềng tù phạm thảy đều tháo cả.|忽 然 地 大 震 動 、 甚 至 監 牢 的 地 基 都 搖 動 了 ． 監 門 立 刻 全 開 、 眾 囚 犯 的 鎖 鍊 也 都 鬆 開 了 。
Người đề lao giựt mình thức dậy, thấy các cửa ngục đều mở, tưởng tù đã trốn hết, bèn rút gươm, toan giết mình.|禁 卒 一 醒 、 看 見 監 門 全 開 、 以 為 囚 犯 已 經 逃 走 、 就 拔 刀 要 自 殺 。
Nhưng Phao-lô kêu người lớn tiếng rằng: Chớ làm hại mình; chúng ta đều còn cả đây.|保 羅 大 聲 呼 叫 說 、 不 要 傷 害 自 己 、 我 們 都 在 這 裡 。
Người đề lao bèn kêu lấy đèn, chạy lại, run sợ lắm, gieo mình nơi chơn Phao-lô và Si-la.|禁 卒 叫 人 拿 燈 來 、 就 跳 進 去 、 戰 戰 兢 兢 的 、 俯 伏 在 保 羅 西 拉 面 前 ．
Đoạn, đưa hai người ra ngoài, mà hỏi rằng: Các chúa ơi, tôi phải làm chi cho được cứu rỗi?|又 領 他 們 出 來 、 說 、 二 位 先 生 、 我 當 怎 樣 行 纔 可 以 得 救 。
Hai người trả lời rằng: Hãy tin Đức Chúa Jêsus, thì ngươi và cả nhà đều sẽ được cứu rỗi.|他 們 說 、 當 信 主 耶 穌 、 你 和 你 一 家 都 必 得 救 。
Hai người truyền đạo Đức Chúa Trời cho người, và cho những kẻ ở nhà người nữa.|他 們 就 把 主 的 道 、 講 給 他 和 他 全 家 的 人 聽 。
Trong ban đêm, chính giờ đó, người đề lao đem hai người ra rửa các thương tích cho; rồi tức thì người và mọi kẻ thuộc về mình đều chịu phép báp-tem.|當 夜 、 就 在 那 時 候 、 禁 卒 把 他 們 帶 去 、 洗 他 們 的 傷 ． 他 和 屬 乎 他 的 人 、 立 時 都 受 了 洗 。
Đoạn, người đề lao mời hai người lên nhà mình, đặt bàn, và người với cả nhà mình đều mừng rỡ vì đã tin Đức Chúa Trời.|於 是 禁 卒 領 他 們 上 自 己 家 裡 去 、 給 他 們 擺 上 飯 、 他 和 全 家 、 因 為 信 了 　 神 、 都 很 喜 樂 。
Đến sáng, thượng quan sai lính nói cùng người đề lao rằng: Hãy thả các người ấy đi.|到 了 天 亮 、 官 長 打 發 差 役 來 說 、 釋 放 那 兩 個 人 罷 。
Người trình lời đó cùng Phao-lô rằng: Các thượng quan đã khiến truyền cho tôi thả các ông; vậy, hãy ra, và xin đi cho bình yên.|禁 卒 就 把 這 話 告 訴 保 羅 說 、 官 長 打 發 人 來 叫 釋 放 你 們 ． 如 今 可 以 出 監 、 平 平 安 安 的 去 罷 。
Nhưng Phao-lô nói cùng lính rằng: Chúng ta vốn là quốc dân Rô-ma, khi chưa định tội, họ đã đánh đòn chúng ta giữa thiên hạ, rồi bỏ vào ngục; nay họ lại thả lén chúng ta ư! Điều đó không được. Chính các quan phải tới đây mà thả chúng ta mới phải!|保 羅 卻 說 、 我 們 是 羅 馬 人 、 並 沒 有 定 罪 、 他 們 就 在 眾 人 面 前 打 了 我 們 、 又 把 我 們 下 在 監 裡 ． 現 在 要 私 下 攆 我 們 出 去 麼 、 這 是 不 行 的 ． 叫 他 們 自 己 來 領 我 們 出 去 罷 。
Các thượng quan nghe lính trình lại bấy nhiêu lời, biết hai người đó là người Rô-ma, thì sợ hãi.|差 役 把 這 話 回 稟 官 長 ． 官 長 聽 見 他 們 是 羅 馬 人 、 就 害 怕 了 。
Họ bèn đến nói với hai người, thả đi, và xin lìa khỏi thành.|於 是 來 勸 他 們 、 領 他 們 出 來 、 請 他 們 離 那 城 。
Khi ra ngục rồi, hai sứ đồ vào nhà Ly-đi, thăm và khuyên bảo anh em, rồi đi.|二 人 出 了 監 、 往 呂 底 亞 家 裡 去 ． 見 了 弟 兄 們 、 勸 慰 他 們 一 番 、 就 走 了 。

					Công Vụ Các Sứ đồ 17				|
						使徒行傳 17					
Phao-lô và Si-la đi ngang qua thành Am-phi-bô-li và thành A-bô-lô-ni, rồi tới thành Tê-sa-lô-ni-ca; ở đó người Giu-đa có một nhà hội.|保 羅 和 西 拉 、 經 過 暗 妃 波 里 、 亞 波 羅 尼 亞 、 來 到 帖 撒 羅 尼 迦 、 在 那 裡 有 猶 太 人 的 會 堂 。
Phao-lô tới nhà hội theo thói quen mình, và trong ba ngày Sa-bát bàn luận với họ,|保 羅 照 他 素 常 的 規 矩 進 去 、 一 連 三 個 安 息 日 、 本 著 聖 經 與 他 們 辯 論 、
lấy Kinh Thánh cắt nghĩa và giải tỏ tường về Đấng Christ phải chịu thương khó, rồi từ kẻ chết sống lại. Người nói rằng Đấng Christ nầy, tức là Đức Chúa Jêsus mà ta rao truyền cho các ngươi.|講 解 陳 明 基 督 必 須 受 害 、 從 死 裡 復 活 ． 又 說 、 我 所 傳 與 你 們 的 這 立 耶 穌 、 就 是 基 督 。
Trong bọn họ có một vài người được khuyên dỗ nối theo Phao-lô và Si-la, lại cũng có rất nhiều người Gờ-réc vẫn kính sợ Đức Chúa Trời, và mấy người đờn bà sang trọng trong thành nữa.|他 們 中 間 有 些 人 聽 了 勸 、 就 附 從 保 羅 和 西 拉 ． 並 有 許 多 虔 敬 的 希 利 尼 人 、 尊 貴 的 婦 女 也 不 少 。
Nhưng người Giu-đa đầy lòng ghen ghét, rủ mấy đứa hoang đàng nơi đường phố, xui giục đoàn dân gây loạn trong thành. Chúng nó xông vào nhà của Gia-sôn, tìm bắt Phao-lô và Si-la đặng điệu đến cho dân chúng.|但 那 不 信 的 猶 太 人 心 裡 嫉 妒 、 招 聚 了 些 市 井 匪 類 、 搭 夥 成 群 、 聳 動 合 城 的 人 、 闖 進 耶 孫 的 家 、 要 將 保 羅 西 拉 帶 到 百 姓 那 裡 。
