
					Mác 1				|
Tức thì nàng vội trở vào nơi vua mà xin rằng: Tôi muốn vua lập tức cho tôi cái đầu Giăng Báp-tít để trên mâm.|他 就 急 忙 進 去 見 王 、 求 他 說 、 我 願 王 立 時 把 施 洗 約 翰 的 頭 、 放 在 盤 子 裡 給 我 。
Vua lấy làm buồn rầu lắm; nhưng vì cớ lời thề mình và khách dự yến, thì không muốn từ chối nàng.|王 就 甚 憂 愁 ． 但 因 他 所 起 的 誓 、 又 因 同 席 的 人 、 就 不 肯 推 辭 。
Vua liền sai một người lính thị vệ truyền đem đầu Giăng đến.|隨 即 差 一 個 護 衛 兵 、 吩 咐 拿 約 翰 的 頭 來 ． 護 衛 兵 就 去 在 監 裡 斬 了 約 翰 、
Người ấy đi chém Giăng trong ngục; rồi để đầu trên mâm đem cho người con gái, và người con gái đem cho mẹ mình.|把 頭 放 在 盤 子 裡 、 拿 給 女 子 、 女 子 就 給 他 母 親 。
Môn đồ Giăng nghe tin, đến lấy xác người chôn trong mả.|約 翰 的 門 徒 聽 見 了 、 就 來 把 他 的 屍 首 領 去 、 葬 在 墳 墓 裡 。
Các sứ đồ nhóm lại cùng Đức Chúa Jêsus, thuật cho Ngài mọi điều mình đã làm và dạy.|使 徒 聚 集 到 耶 穌 那 裡 、 將 一 切 所 作 的 事 、 所 傳 的 道 、 全 告 訴 他 。
Ngài phán cùng sứ đồ rằng: Hãy đi tẻ ra trong nơi vắng vẻ, nghỉ ngơi một chút. Vì có kẻ đi người lại đông lắm, đến nỗi Ngài và sứ đồ không có thì giờ mà ăn.|他 就 說 、 你 們 來 同 我 暗 暗 的 到 曠 野 地 方 去 歇 一 歇 ． 這 是 因 為 來 往 的 人 多 、 他 們 連 喫 飯 也 沒 有 工 夫 。
Vậy, Ngài và sứ đồ xuống thuyền đặng đi tẻ ra trong nơi vắng vẻ.|他 們 就 坐 船 、 暗 暗 的 往 曠 野 地 方 去 。
Nhưng nhiều người thấy đi, thì nhận biết; dân chúng từ khắp các thành đều chạy bộ đến nơi Chúa cùng sứ đồ vừa đi, và đã tới đó trước.|眾 人 看 見 他 們 去 、 有 許 多 認 識 他 們 的 、 就 從 各 城 步 行 、 一 同 跑 到 那 裡 、 比 他 們 先 趕 到 了 。
Bấy giờ Đức Chúa Jêsus ở thuyền bước ra, thấy đoàn dân đông lắm, thì Ngài động lòng thương xót đến, vì như chiên không có người chăn; Ngài bèn khởi sự dạy dỗ họ nhiều điều.|耶 穌 出 來 、 見 有 許 多 的 人 、 就 憐 憫 他 們 ． 因 為 他 們 如 同 羊 沒 有 牧 人 一 般 ． 於 是 開 口 教 訓 他 們 許 多 道 理 。
Trời đã chiều, môn đồ tới gần Ngài mà thưa rằng: Chỗ nầy là vắng vẻ, và trời đã chiều rồi;|天 己 經 晚 了 、 門 徒 進 前 來 說 、 這 是 野 地 、 天 已 經 晚 了 、
xin cho dân chúng về, để họ đi các nơi nhà quê và các làng gần đây đặng mua đồ ăn.|請 叫 眾 人 散 開 、 他 們 好 往 四 面 鄉 村 裡 去 、 自 己 買 甚 麼 喫 。
Ngài đáp rằng: Chính các ngươi phải cho họ ăn. Môn đồ thưa rằng: chúng tôi sẽ đi mua đến hai trăm đơ-ni-ê bánh để cho họ ăn hay sao?|耶 穌 回 答 說 、 你 們 給 他 們 喫 罷 ． 門 徒 說 、 我 們 可 以 去 買 二 十 兩 銀 子 的 餅 、 給 他 們 喫 麼 。
Ngài hỏi rằng: Các ngươi có bao nhiêu bánh? Hãy đi xem thử. Môn đồ xem xét rồi, thưa rằng: Năm cái bánh và hai con cá.|耶 穌 說 、 你 們 有 多 少 餅 、 可 以 去 看 看 ． 他 們 知 道 了 、 就 說 、 五 個 餅 、 兩 條 魚 。
Ngài bèn truyền cho môn đồ biểu chúng ngồi xuống hết thảy từng chòm trên cỏ xanh.|耶 穌 吩 咐 他 們 叫 眾 人 一 幫 一 幫 的 、 坐 在 青 草 地 上 。
Chúng ngồi xuống từng hàng, hàng thì một trăm, hàng thì năm chục.|眾 人 就 一 排 一 排 的 坐 下 、 有 一 百 一 排 的 、 有 五 十 一 排 的 。
Đức Chúa Jêsus lấy năm cái bánh và hai con cá, ngước mắt lên trời, tạ ơn, rồi bẻ bánh ra mà trao cho môn đồ, đặng phát cho đoàn dân; lại cũng chia hai con cá cho họ nữa.|耶 穌 拿 著 這 五 個 餅 、 兩 條 魚 、 望 著 天 祝 福 、 擘 開 餅 、 遞 給 門 徒 擺 在 眾 人 面 前 ． 也 把 那 兩 條 魚 分 給 眾 人 。
Ai nấy ăn no nê rồi;|他 們 都 喫 、 並 且 喫 飽 了 。
người ta lượm được mười hai giỏ đầy những miếng bánh và cá còn thừa lại.|門 徒 就 把 碎 餅 碎 魚 、 收 拾 起 來 、 裝 滿 了 十 二 個 籃 子 。
Vả, số những kẻ đã ăn chừng năm ngàn người.|喫 餅 的 男 人 、 共 有 五 千 。
Rồi Ngài liền giục môn đồ vào thuyền, qua bờ bên kia trước mình, hướng đến thành Bết-sai-đa, trong khi Ngài cho dân chúng về.|耶 穌 隨 即 催 門 徒 上 船 、 先 渡 到 那 邊 伯 賽 大 去 、 等 他 叫 眾 人 散 開 。
Ngài lìa khỏi chúng rồi, thì lên núi mà cầu nguyện.|他 既 辭 別 了 他 們 、 就 往 山 上 去 禱 告 。
Đến tối, chiếc thuyền đương ở giữa biển, còn Ngài thì ở một mình trên đất.|到 了 晚 上 、 船 在 海 中 、 耶 穌 獨 自 在 岸 上 ．
Ngài thấy môn đồ chèo khó nhọc lắm, vì gió ngược. Lối canh tư đêm ấy, Ngài đi bộ trên biển mà đến cùng môn đồ; và muốn đi trước.|看 見 門 徒 、 因 風 不 順 、 搖 櫓 甚 苦 ． 夜 裡 約 有 四 更 天 、 就 在 海 面 上 走 、 往 他 們 那 裡 去 、 意 思 要 走 過 他 們 去 ．
Môn đồ thấy Ngài đi bộ trên mặt biển ngỡ là ma, nên la lên;|但 門 徒 看 見 他 在 海 面 上 走 、 以 為 是 鬼 怪 、 就 喊 叫 起 來 ．
vì ai nấy đều thấy Ngài và sợ hoảng. nhưng Ngài liền nói chuyện với môn đồ và phán rằng: Hãy yên lòng, ta đây đừng sợ chi.|因 為 他 們 都 看 見 了 他 、 且 甚 驚 慌 。 耶 穌 連 忙 對 他 們 說 、 你 們 放 心 ． 是 我 、 不 要 怕 。
Ngài bèn bước lên thuyền với môn đồ, thì gió lặng. Môn đồ càng lấy làm lạ hơn nữa;|於 是 到 他 們 那 裡 上 了 船 、 風 就 住 了 ． 他 們 心 裡 十 分 驚 奇 。
vì chẳng hiểu phép lạ về mấy cái bánh, bởi lòng cứng cỏi.|這 是 因 為 他 們 不 明 白 那 分 餅 的 事 、 心 裡 還 是 愚 頑 。
Khi Ngài và môn đồ đã qua khỏi biển, đến xứ Ghê-nê-xa-rết, thì ghé thuyền vào bờ.|既 渡 過 去 、 來 到 革 尼 撒 勒 地 方 、 就 靠 了 岸 。
Vừa ở trong thuyền bước ra, có dân chúng nhận biết Ngài,|一 下 船 、 眾 人 認 得 是 耶 穌 ．
chạy khắp cả miền đó, khiêng những người đau nằm trên giường, hễ nghe Ngài ở đâu thì đem đến đó.|就 跑 遍 那 一 帶 地 方 、 聽 見 他 在 何 處 、 便 將 有 病 的 人 、 用 褥 子 抬 到 那 裡 。
Ngài đến nơi nào, hoặc làng, thành, hay chốn nhà quê, người ta đem người đau để tại các chợ, và xin Ngài cho mình ít nữa được rờ đến trôn áo Ngài; những kẻ đã rờ đều được lành bịnh cả.|凡 耶 穌 所 到 的 地 方 、 或 村 中 、 或 城 裡 、 或 鄉 間 、 他 們 都 將 病 人 放 在 街 市 上 、 求 耶 穌 只 容 他 們 摸 他 的 衣 裳 繸 子 ． 凡 摸 著 的 人 就 都 好 了 。

					Mác 7				|
						馬可福音 7					
Bấy giờ các người Pha-ri-si và mấy thầy thông giáo từ thành Giê-ru-sa-lem đến, nhóm lại cùng Đức Chúa Jêsus,|有 法 利 賽 人 、 和 幾 個 文 士 、 從 耶 路 撒 冷 、 來 到 耶 穌 那 裡 聚 集 。
thấy một vài môn đồ Ngài dùng tay chưa tinh sạch mà ăn, nghĩa là không rửa tay.|他 們 曾 看 見 他 的 門 徒 中 、 有 人 用 俗 手 、 就 是 沒 有 洗 的 手 、 喫 飯 。
Vả, người Pha-ri-si và người Giu-đa thường giữ lời truyền khẩu của người xưa, nếu không rửa tay cẩn thận thì không ăn;|（ 原 來 法 利 賽 人 和 猶 太 人 、 都 拘 守 古 人 的 遺 傳 、 若 不 仔 細 洗 手 、 就 不 喫 飯 ．
khi họ ở chợ về, nếu không rửa cũng không ăn. Họ lại còn theo lời truyền khẩu mà giữ nhiều sự khác nữa, như rửa chén và bình bằng đất hoặc bằng đồng.|從 市 上 來 、 若 不 洗 浴 、 也 不 喫 飯 、 還 有 好 些 別 的 規 矩 、 他 們 歷 代 拘 守 、 就 是 洗 杯 、 罐 、 銅 器 、 等 物 。 ）
Vậy, các người Pha-ri-si và các thầy thông giáo hỏi Ngài rằng: Sao môn đồ thầy không giữ lời truyền khẩu của người xưa, dùng tay chưa tinh sạch mà ăn như vậy?|法 利 賽 人 和 文 士 問 他 說 、 你 的 門 徒 為 甚 麼 不 照 古 人 的 遺 傳 、 用 俗 手 喫 飯 呢 。
Ngài đáp rằng: Hỡi kẻ giả hình, Ê-sai đã nói tiên tri về việc các ngươi phải lắm, như có chép rằng: Dân nầy lấy môi miếng thờ kính ta; Nhưng lòng chúng nó xa ta lắm.|耶 穌 說 、 以 賽 亞 指 著 你 們 假 冒 為 善 之 人 所 說 的 豫 言 、 是 不 錯 的 、 如 經 上 說 、 『 這 百 姓 用 嘴 唇 尊 敬 我 、 心 卻 遠 離 我 。
Sự chúng nó thờ lạy ta là vô ích, Vì chúng nó dạy theo những điều răn mà chỉ bởi người ta đặt ra.|他 們 將 人 的 吩 咐 、 當 作 道 理 教 導 人 、 所 以 拜 我 也 是 枉 然 。 』
Các ngươi bỏ điều răn của Đức Chúa Trời, mà giữ lời truyền khẩu của loài người!|你 們 是 離 棄 　 神 的 誡 命 、 拘 守 人 的 遺 傳 。
Ngài cũng phán cùng họ rằng: Các ngươi bỏ hẳn điều răn của Đức Chúa Trời, đặng giữ theo lời truyền khẩu của mình.|又 說 、 你 們 誠 然 是 廢 棄 　 神 的 誡 命 、 要 守 自 己 的 遺 傳 。
Vì Môi-se có nói: Hãy tôn kính cha mẹ ngươi; lại nói: Ai rủa sả cha mẹ, thì phải bị giết.|摩 西 說 、 『 當 孝 敬 父 母 。 』 又 說 、 『 咒 罵 父 母 的 、 必 治 死 他 。 』
Nhưng các ngươi nói rằng: Nếu ai nói với cha hay mẹ mình rằng: Mọi điều tôi sẽ giúp cha mẹ được, thì đã là co-ban ,|你 們 倒 說 、 人 若 對 父 母 說 、 我 所 當 奉 給 你 的 、 己 經 作 了 各 耳 板 （ 各 耳 板 、 就 是 供 獻 的 意 思 ）
vậy người ấy không được phép giúp cha mẹ mình sự gì nữa;|以 後 你 們 就 不 容 他 再 奉 養 父 母 ．
dường ấy, các ngươi lấy lời truyền khẩu mình lập ra mà bỏ mất lời Đức Chúa Trời. Các ngươi còn làm nhiều việc khác nữa giống như vậy.|這 就 是 你 們 承 接 遺 傳 、 廢 了 　 神 的 道 ． 你 們 還 作 許 多 這 樣 的 事 。
Bấy giờ, Ngài lại kêu đoàn dân mà phán rằng: Các ngươi ai nấy hãy nghe ta và hiểu:|耶 穌 又 叫 眾 人 來 、 對 他 們 說 、 你 們 都 要 聽 我 的 話 、 也 要 明 白 ．
Chẳng sự gì từ ngoài vào trong cơ thể làm dơ dáy người được; nhưng sự gì từ trong người ra, đó là sự làm dơ dáy người.|從 外 面 進 去 的 、 不 能 污 穢 人 、 惟 有 從 裡 面 出 來 的 、 乃 能 污 穢 人 。 〔 有 古 卷 在 此 有 〕
Nếu ai có tai mà nghe, hãy nghe.|〔 有 耳 可 聽 的 就 應 當 聽 〕
Khi Ngài vào trong nhà, cách xa đoàn dân rồi, môn đồ hỏi Ngài về lời thí dụ ấy.|耶 穌 離 開 眾 人 、 進 了 屋 子 、 門 徒 就 問 他 這 比 喻 的 意 思 。
Ngài phán rằng: Vậy chớ các ngươi cũng không có trí khôn sao? Chưa hiểu chẳng có sự gì ở ngoài vào trong người mà làm dơ dáy người được sao?|耶 穌 對 他 們 說 、 你 們 也 是 這 樣 不 明 白 麼 ． 豈 不 曉 得 凡 從 外 面 進 入 的 、 不 能 污 穢 人 ．
Vả, sự đó không vào lòng người, nhưng vào bụng, rồi bị bỏ ra nơi kín đáo, như vậy làm cho mọi đồ ăn được sạch.|因 為 不 是 入 他 的 心 、 乃 是 入 他 的 肚 腹 、 又 落 到 茅 廁 裡 。 這 是 說 、 各 樣 的 食 物 、 都 是 潔 淨 的 。
Vậy, Ngài phán: Hễ sự gì từ người ra, đó là sự làm dơ dáy người!|又 說 、 從 人 裡 面 出 來 的 、 那 纔 能 污 穢 人 ．
Vì thật là tự trong, tự lòng người mà ra những ác tưởng, sự dâm dục, trộm cướp, giết người,|因 為 從 裡 面 、 就 是 從 人 心 裡 、 發 出 惡 念 、 苟 合 、
tà dâm, tham lam, hung ác, gian dối, hoang đàng, con mắt ganh đố, lộng ngôn, kiêu ngạo, điên cuồng.|偷 盜 、 兇 殺 、 姦 淫 、 貪 婪 、 邪 惡 、 詭 詐 、 淫 蕩 、 嫉 妒 、 謗 讟 、 驕 傲 、 狂 妄 ．
Hết thảy những điều xấu ấy ra từ trong lòng thì làm cho dơ dáy người.|這 一 切 的 惡 、 都 是 從 裡 面 出 來 、 且 能 污 穢 人 。
Đoạn, Ngài từ đó đi đến bờ cõi thành Ty-rơ và thành Si-đôn. Ngài vào một cái nhà, không muốn cho ai biết mình, song không thể ẩn được.|耶 穌 從 那 裡 起 身 、 往 推 羅 西 頓 的 境 內 去 ． 進 了 一 家 、 不 願 意 人 知 道 、 卻 隱 藏 不 住 。
Vì có một người đờn bà, con gái người bị tà ma ám, đã nghe nói về Ngài, tức thì vào gieo mình dưới chơn Ngài.|當 下 有 一 個 婦 人 、 他 的 小 女 兒 被 污 鬼 附 著 、 聽 見 耶 穌 的 事 、 就 來 俯 伏 在 他 腳 前 。
Đờn bà ấy là người Gờ-réc, dân Sy-rô-phê-ni-xi. Người xin Ngài đuổi quỉ ra khỏi con gái mình.|這 婦 人 是 希 利 尼 人 、 屬 敘 利 非 尼 基 族 。 他 求 耶 穌 趕 出 那 鬼 、 離 開 他 的 女 兒 。
Đức Chúa Jêsus phán cùng người rằng: Hãy để con cái ăn no nê trước đã; vì không lẽ lấy bánh của con cái quăng cho chó.|耶 穌 對 他 說 、 讓 兒 女 們 先 喫 飽 ． 不 好 拿 兒 女 的 餅 丟 給 狗 喫 。
Song người đáp lại rằng: Lạy Chúa, hẳn vậy rồi; nhưng mà chó dưới bàn ăn mấy miếng bánh vụn của con cái.|婦 人 回 答 說 、 主 阿 、 不 錯 ． 但 是 狗 在 桌 子 底 下 、 也 喫 孩 子 們 的 碎 渣 兒 。
Ngài bèn phán: Hãy đi, vì lời ấy, quỉ đã ra khỏi con gái ngươi rồi.|耶 穌 對 他 說 、 因 這 句 話 、 你 回 去 罷 ． 鬼 已 經 離 開 你 的 女 兒 了 。
Khi người trở về nhà, thấy đứa trẻ nằm trên giường, và quỉ đã bị đuổi khỏi.|他 就 回 家 去 、 見 小 孩 子 躺 在 床 上 、 鬼 已 經 出 去 了 。
Đức Chúa Jêsus lìa bờ cõi thành Ty-rơ, qua thành Si-đôn và trải địa phận Đê-ca-bô-lơ, đến biển Ga-li-lê.|耶 穌 又 離 了 推 羅 的 境 界 、 經 過 西 頓 、 就 從 低 加 波 利 境 內 來 到 加 利 利 海 。
Người ta đem một người điếc và ngọng đến cùng Ngài, xin Ngài đặt tay trên người.|有 人 帶 著 一 個 耳 聾 舌 結 的 人 、 來 見 耶 穌 、 求 他 按 手 在 他 身 上 。
Ngài đem riêng người ra, cách xa đám đông, rồi để ngón tay vào lỗ tai người, và thấm nước miếng xức lưỡi người.|耶 穌 領 他 離 開 眾 人 、 到 一 邊 去 、 就 用 指 頭 探 他 的 耳 朵 、 吐 唾 沬 抹 他 的 舌 頭 、
Đoạn Ngài ngửa mặt lên trời, thở ra mà phán cùng người rằng: Ep-pha-ta! nghĩa là: Hãy mở ra!|望 天 歎 息 、 對 他 說 、 以 法 大 、 就 是 說 、 開 了 罷 。
Tức thì tai được mở ra, lưỡi được thong thả, người nói rõ ràng.|他 的 耳 朵 就 開 了 、 舌 結 也 解 了 、 說 話 也 清 楚 了 。
Đức Chúa Jêsus cấm chúng chớ nói điều đó cùng ai; song Ngài càng cấm người ta lại càng nói đến nữa.|耶 穌 囑 咐 他 們 、 不 要 告 訴 人 ． 但 他 越 發 囑 咐 、 他 們 越 發 傳 揚 開 了 。
Chúng lại lấy làm lạ quá đỗi mà rằng: Ngài làm mọi việc được tốt lành: khiến kẻ điếc nghe, kẻ câm nói vậy!|眾 人 分 外 希 奇 、 說 、 他 所 作 的 事 都 好 、 他 連 聾 子 也 叫 他 們 聽 見 、 啞 吧 也 叫 他 們 說 話 。

					Mác 8				|
						馬可福音 8					
Những ngày đó, lại có một đoàn dân đông theo Đức Chúa Jêsus. Vì chúng không có chi ăn, nên Ngài kêu các môn đồ mà phán rằng:|那 時 、 又 有 許 多 人 聚 集 、 並 沒 有 甚 麼 喫 的 ． 耶 穌 叫 門 徒 來 、 說 、
Ta thương xót đoàn dân nầy: vì đã ba ngày nay, không rời bỏ ta, và chẳng có chi ăn.|我 憐 憫 這 眾 人 、 因 為 他 們 同 我 在 這 裡 已 經 三 天 、 也 沒 有 喫 的 了 。
Nếu ta truyền cho nhịn đói trở về nơi họ ở, dọc đàng chắc sẽ kém sức, vì có mấy người đã đến từ nơi xa.|我 若 打 發 他 們 餓 著 回 家 、 就 必 在 路 上 困 乏 ． 因 為 其 中 有 從 遠 處 來 的 。
Môn đồ thưa rằng: Có thể kiếm bánh đâu được trong đồng vắng nầy cho chúng ăn no ư?|門 徒 回 答 說 、 在 這 野 地 、 從 那 裡 能 得 餅 、 叫 這 些 人 喫 飽 呢 。
Ngài nói: Các ngươi có bao nhiêu bánh? Thưa: Có bảy cái.|耶 穌 問 他 們 說 、 你 們 有 多 少 餅 ． 他 們 說 、 七 個 。
Ngài bèn biểu đoàn dân ngồi xuống đất; đoạn lấy bảy cái bánh, tạ ơn, rồi bẻ ra trao cho môn đồ để phân phát cho đoàn dân.|他 吩 咐 眾 人 坐 在 地 上 、 就 拿 著 這 七 個 餅 、 祝 謝 了 、 擘 開 遞 給 門 徒 叫 他 們 擺 開 、 門 徒 就 擺 在 眾 人 面 前 。
Môn đồ cũng có mấy con cá nhỏ; Đức Chúa Jêsus tạ ơn rồi, cũng khiến đem phân phát như vậy.|又 有 幾 條 小 魚 ． 耶 穌 祝 了 福 、 就 吩 咐 也 擺 在 眾 人 面 前 。
Ai nấy ăn no nê; rồi người ta thâu được bảy giỏ những miếng thừa.|眾 人 都 喫 、 並 且 喫 飽 了 ． 收 拾 剩 下 的 零 碎 、 有 七 筐 子 。
Và, những người ăn đó ước chừng bốn ngàn người. Đức Chúa Jêsus cho chúng về;|人 數 約 有 四 千 。 耶 穌 打 發 他 們 走 了 、
rồi liền vào thuyền với môn đồ, sang xứ Đa-ma-nu-tha.|隨 即 同 門 徒 上 船 、 來 到 大 瑪 努 他 境 內 。
Có mấy người Pha-ri-si đến đó, cãi lẽ với Ngài, muốn thử Ngài, thì xin một dấu lạ từ trên trời.|法 利 賽 人 出 來 盤 問 耶 穌 、 求 他 從 天 上 顯 個 神 蹟 給 他 們 看 、 想 要 試 探 他 。
Đức Chúa Jêsus than thở trong lòng mà rằng: Làm sao dòng dõi nầy xin dấu lạ? Quả thật, ta nói cùng các ngươi, họ chẳng được ban cho một dấu lạ nào.|耶 穌 心 裡 深 深 的 歎 息 說 、 這 世 代 為 甚 麼 求 神 蹟 呢 。 我 實 在 告 訴 你 們 、 沒 有 神 蹟 給 這 世 代 看 。
Ngài bèn bỏ họ, trở vào thuyền mà qua bờ bên kia.|他 就 離 開 他 們 、 又 上 船 往 海 那 邊 去 了 。
Vả, môn đồ quên đem bánh theo, trong thuyền chỉ có một cái bánh mà thôi.|門 徒 忘 了 帶 餅 ． 在 船 上 除 了 一 個 餅 、 沒 有 別 的 食 物 。
Ngài răn môn đồ rằng: Hãy giữ mình cẩn thận về men người Pha-ri-si, và men đãng Hê-rốt.|耶 穌 囑 咐 他 們 說 、 你 們 要 謹 慎 、 防 備 法 利 賽 人 的 酵 、 和 希 律 的 酵 。
Môn-đồ nói cùng nhau rằng: Ay là vì chúng ta không có bánh.|他 們 彼 此 議 論 說 、 這 是 因 為 我 們 沒 有 餅 罷 。
Nhưng Đức Chúa Jêsus biết điều đó, thì phán rằng: Sao các ngươi nói cùng nhau rằng đó là tại các ngươi không có bánh? Chớ các ngươi còn chưa nghe, chưa hiểu sao? Các ngươi có lòng cứng cỏi luôn ư?|耶 穌 看 出 來 、 就 說 、 你 們 為 甚 麼 因 為 沒 有 餅 就 議 論 呢 。 你 們 還 不 省 悟 、 還 不 明 白 麼 ． 你 們 的 心 還 是 愚 頑 麼 。
Các ngươi lại không nhớ hay sao? Có tai mà sao không nghe? Các ngươi lại không nhớ hay sao?|你 們 有 眼 睛 、 看 不 見 麼 、 有 耳 朵 、 聽 不 見 麼 ． 也 不 記 得 麼 。
Khi ta bẻ năm cái bánh cho năm ngàn người, các ngươi thâu được mấy giỏ đầy bánh vụn? Thưa: Mười hai giỏ.|我 擘 開 那 五 個 餅 分 給 五 千 人 、 你 們 收 拾 的 零 碎 、 裝 滿 了 多 少 籃 子 呢 ． 他 們 說 、 十 二 個 。
Còn khi ta bẻ bảy cái bánh cho bốn ngàn người, các ngươi thâu được bấy giỏ đầy bánh vụn? Thưa: Bảy giỏ.|又 擘 開 那 七 個 餅 分 給 四 千 人 、 你 們 收 拾 的 零 碎 、 裝 滿 了 多 少 筐 子 呢 ． 他 們 說 、 七 個 。
Ngài phán: Các ngươi còn chưa hiểu sao?|耶 穌 說 、 你 們 還 不 明 白 麼 。
Kế đó, Đức Chúa Jêsus và môn đồ đi đến làng Bết-sai-đa. Người ta đem cho Ngài một người mù và cầu xin Ngài rờ đến người.|他 們 來 到 伯 賽 大 、 有 人 帶 一 個 瞎 子 來 、 求 耶 穌 摸 他 。
Ngài bèn nắm tay người mù, dắt ra ngoài làng, thấm nước miếng trên mắt người, đặt tay trên người, và hỏi, có thấy chi không?|耶 穌 拉 著 瞎 子 的 手 、 領 他 到 村 外 ． 就 吐 唾 沫 在 他 眼 睛 上 、 按 手 在 他 身 上 、 問 他 說 、 你 看 見 甚 麼 了 。
Người mù ngó lên rồi thưa rằng: Tôi thấy người ta, và nhìn họ giống như cây.|他 就 抬 頭 一 看 、 說 、 我 看 見 人 了 ． 他 們 好 像 樹 木 、 並 且 行 走 。
Rồi Đức Chúa Jêsus lại đặt tay trên mắt người; người nhìn xem, được sáng mắt thấy rõ ràng cả thảy.|隨 後 又 按 手 在 他 眼 睛 上 、 他 定 睛 一 看 、 就 復 了 原 、 樣 樣 都 看 得 清 楚 了 。
Đức Chúa Jêsus khiến người về nhà, và truyền rằng: Đừng trở vào trong làng.|耶 穌 打 發 他 回 家 、 說 、 連 這 村 子 你 也 不 要 進 去 。
Đức Chúa Jêsus đi khỏi đó với môn đồ mình, đến trong các làng gần thành Sê-sa-rê phi-líp. Dọc đàng, Ngài hỏi môn đồ rằng: Người ta nói ta là ai?|耶 穌 和 門 徒 出 去 、 往 該 撒 利 亞 腓 立 比 的 村 莊 去 。 在 路 上 問 門 徒 說 、 人 說 我 是 誰 。
Thưa rằng: Kẻ thì nói là Giăng Báp-tít; người thì nói là Ê-li; kẻ thì nói một trong các đấng tiên tri.|他 們 說 、 有 人 說 、 是 施 洗 的 約 翰 ． 有 人 說 、 是 以 利 亞 ． 又 有 人 說 、 是 先 知 裡 的 一 位 。
Ngài hỏi: Nhưng các ngươi thì nói ta là ai? Phi -e-rơ thưa rằng: Thầy là Đấng Christ.|又 問 他 們 說 、 你 們 說 我 是 誰 ． 彼 得 回 答 說 、 你 是 基 督 。
Đức Chúa Jêsus bèn cấm ngặt môn đồ chớ nói sự mình cùng ai hết.|耶 穌 就 禁 戒 他 們 、 不 要 告 訴 人 。
Bấy giờ, nước khởi sự dạy môn đồ rằng Con người phải chịu khổ nhiều, phải bị các trưởng lão, các thầy tế lễ cả, và các thầy thông giáo loại ra, phải chịu giết, sau ba ngày phải sống lại.|從 此 他 教 訓 他 們 說 、 人 子 必 須 受 許 多 的 苦 、 被 長 老 祭 司 長 和 文 士 棄 絕 、 並 且 被 殺 、 過 三 天 復 活 。
Ngài nói tỏ tường điều đó với môn đồ. Phi -e-rơ đem Ngài riêng ra, mà căn gián Ngài.|耶 穌 明 明 的 說 這 話 、 彼 得 就 拉 著 他 、 勸 他 。
Nhưng Đức Chúa Jêsus xây lại ngó môn đồ, và quở Phi -e-rơ rằng: Hỡi quỉ Sa-tan, hãy lui ra đằng sau ta; vì người chẳng nghĩ đến việc Đức Chúa Trời, song nghĩ đến việc người ta.|耶 穌 轉 過 來 、 看 著 門 徒 、 就 責 備 彼 得 說 、 撒 但 、 退 我 後 邊 去 罷 ． 因 為 你 不 體 貼 　 神 的 意 思 、 只 體 貼 人 的 意 思 。
Đoạn, Ngài kêu dân chúng và môn đồ, mà phán rằng: Nếu ai muốn theo ta, phải liều mình, vác thập tự giá mình mà theo ta.|於 是 叫 眾 人 和 門 徒 來 、 對 他 們 說 、 若 有 人 要 跟 從 我 、 就 當 捨 己 、 背 起 他 的 十 字 架 來 跟 從 我 。
Vì ai muốn cứu sự sống mình thì sẽ mất; còn ai vì cớ ta và đạo Tin Lành mà mất sự sống thì sẽ cứu.|因 為 凡 要 救 自 己 生 命 的 、 〔 生 命 或 作 靈 魂 下 同 〕 必 喪 掉 生 命 ． 凡 為 我 和 福 音 喪 掉 生 命 的 、 必 救 了 生 命 。
Người nào nếu được cả thiên hạ mà mất linh hồn mình, thì có ích gì?|人 就 是 賺 得 全 世 界 、 賠 上 了 自 己 的 生 命 、 有 甚 麼 益 處 呢 。
Hay là có người nào lấy chi mà đổi linh hồn mình ư?|人 還 能 拿 什 麼 換 生 命 呢 。
Vì giữa dòng dõi gian dâm tội lỗi nầy, hễ ai hổ thẹn về ta và đạo ta, thì Con người sẽ hổ thẹn về kẻ ấy, khi ngự trong sự vinh hiển của Cha Ngài mà đến với các thiên sứ thánh.|凡 在 這 淫 亂 罪 惡 的 世 代 、 把 我 和 我 的 道 當 作 可 恥 的 、 人 子 在 他 父 的 榮 耀 裡 、 同 聖 天 使 降 臨 的 時 候 、 也 要 把 那 人 當 作 可 恥 的 。

					Mác 9				|
						馬可福音 9					
Ngài lại phán cùng môn đồ rằng: Quả thật, ta nói cùng các ngươi, trong những người đứng đây, có mấy kẻ chẳng chết trước khi chưa thấy nước Đức Chúa Trời lấy quyền phép mà đến.|耶 穌 又 對 他 們 說 、 我 實 在 告 訴 你 們 、 站 在 這 裡 的 、 有 人 在 沒 嘗 死 味 以 前 、 必 要 看 見 　 神 的 國 大 有 能 力 臨 到 。
Khỏi sáu ngày, Đức Chúa Jêsus đem Phi -e-rơ, Gia-cơ, và Giăng đi tẻ với Ngài lên núi cao; và Ngài hóa hình trước mặt ba người.|過 了 六 天 、 耶 穌 帶 著 彼 得 、 雅 各 、 約 翰 、 暗 暗 的 上 了 高 山 、 就 在 他 們 面 前 變 了 形 像 ．
