
					Giảng Sư 1				|
Người ta bày tiệc đặng vui chơi; rượu khiến cho đời vui; có tiền bạc thì ứng cho mọi sự.|設 擺 筵 席 、 是 為 喜 笑 ． 酒 能 使 人 快 活 、 錢 能 叫 萬 事 應 心 。
Dầu trong tư tưởng ngươi cũng chớ nguyền rủa vua; dầu trong phòng ngủ ngươi cũng chớ rủa sả kẻ giàu có; vì chim trời sẽ đến ra tiếng ngươi, và loài có cánh sẽ thuật việc ra.|你 不 可 咒 詛 君 王 、 也 不 可 心 懷 此 念 ． 在 你 臥 房 也 不 可 咒 詛 富 戶 ． 因 為 空 中 的 鳥 、 必 傳 揚 這 聲 音 ． 有 翅 膀 的 、 也 必 述 說 這 事 。

					Giảng Sư 11				|
						傳道書 11					
Hãy liệng bánh ngươi nơi mặt nước, vì khỏi lâu ngày ngươi sẽ tìm nó lại.|當 將 你 的 糧 食 撒 在 水 面 、 因 為 日 久 必 能 得 著 。
Hãy phân phát nó cho bảy hoặc cho tám người; vì ngươi không biết tai nạn nào sẽ xảy ra trên đất.|你 要 分 給 七 人 、 或 分 給 八 人 、 因 為 你 不 知 道 將 來 有 甚 麼 災 禍 臨 到 地 上 。
Khi mây đầy nước, nó bèn mưa xuống đất; khi một cây ngã về hướng nam hay về hướng bắc, hễ ngã chỗ nào nó phải ở chỗ đó.|雲 若 滿 了 雨 、 就 必 傾 倒 在 地 上 ． 樹 若 向 南 倒 、 或 向 北 倒 、 樹 倒 在 何 處 、 就 存 在 何 處 。
Ai xem gió sẽ không gieo; ai xem mây sẽ không gặt.|看 風 的 必 不 撒 種 ． 望 雲 的 必 不 收 割 。
Người không biết đường của gió đi, cũng không biết xương cốt kết cấu trong bụng đờn bà mang thai thể nào, thì cũng một thể ấy, ngươi chẳng hiểu biết công việc của Đức Chúa Trời, là Đấng làm nên muôn vật.|風 從 何 道 來 、 骨 頭 在 懷 孕 婦 人 的 胎 中 如 何 長 成 、 你 尚 且 不 得 知 道 、 這 樣 、 行 萬 事 之 　 神 的 作 為 、 你 更 不 得 知 道 。
Vừa sáng sớm, khá gieo giống ngươi, và buổi chiều, chớ nghỉ tay ngươi; vì ngươi chẳng biết giống nào sẽ mọc tốt, hoặc giống nầy, hoặc giống kia, hoặc là cả hai đều sẽ ra tốt.|早 晨 要 撒 你 的 種 、 晚 上 也 不 要 歇 你 的 手 、 因 為 你 不 知 道 那 一 樣 發 旺 、 或 是 早 撒 的 、 或 是 晚 撒 的 、 或 是 兩 樣 都 好 。
Anh sáng thật là êm dịu; con mắt thấy mặt trời lấy làm vui thích.|光 本 是 佳 美 的 、 眼 見 日 光 也 是 可 悅 的 。
Nếu một người được sống lâu năm, thì khá vui vẻ trong trọn các năm ấy; song cũng chớ quên những ngày tối tăm, vì những ngày ấy nhiều. Phàm việc gì xảy đến đều là sự hư không.|人 活 多 年 、 就 當 快 樂 多 年 ． 然 而 也 當 想 到 黑 暗 的 日 子 、 因 為 這 日 子 必 多 、 所 要 來 的 都 是 虛 空 。
Hỡi kẻ trẻ kia, hãy vui mừng trong buổi thiếu niên, khá đem lòng hớn hở trong khi còn thơ ấu, hãy đi theo đường lối lòng mình muốn, và nhìn xem sự mắt mình ưa thích, nhưng phải biết rằng vì mọi việc ấy, Đức Chúa Trời sẽ đòi ngươi đến mà đoán xét.|少 年 人 哪 、 你 在 幼 年 時 當 快 樂 ． 在 幼 年 的 日 子 、 使 你 的 心 歡 暢 、 行 你 心 所 願 行 的 、 看 你 眼 所 愛 看 的 、 卻 要 知 道 、 為 這 一 切 的 事 、 　 神 必 審 問 你 。
Vậy, khá giải sầu khỏi lòng ngươi, và cất điều tai hại khỏi xác thịt ngươi; vì lúc thiếu niên và thì xuân xanh là sự hư không mà thôi.|所 以 你 當 從 心 中 除 掉 愁 煩 ． 從 肉 體 克 去 邪 惡 ． 因 為 一 生 的 開 端 、 和 幼 年 之 時 、 都 是 虛 空 的 。

					Giảng Sư 12				|
						傳道書 12					
Trong buổi còn thơ ấu hãy tưởng nhớ Đấng Tạo hóa ngươi, trước khi người ngày gian nan chưa đến, trước khi những năm tới mà ngươi nói rằng: Ta không lấy làm vui lòng;|你 趁 著 年 幼 、 衰 敗 的 日 子 尚 未 來 到 、 就 是 你 所 說 、 我 毫 無 喜 樂 的 那 些 年 日 未 曾 臨 近 之 先 、 當 記 念 造 你 的 主 ．
trước khi ánh sáng mặt trời, mặt trăng, và các ngôi sao chưa tối tăm, và mây chưa lại tuôn đến sau cơn mưa;|不 要 等 到 日 頭 、 光 明 、 月 亮 、 星 宿 、 變 為 黑 暗 、 雨 後 雲 彩 反 回 、
trong ngày ấy kẻ giữ nhà run rẩy, những người mạnh sức cong khom, kẻ xay cối ngừng lại bởi vì số ít, nhiều kẻ trông xem qua cửa sổ đã làng mắt,|看 守 房 屋 的 發 顫 、 有 力 的 屈 身 、 推 磨 的 稀 少 就 止 息 、 從 窗 戶 往 外 看 的 都 昏 暗 、
hai cánh cửa bên đường đóng lại, và tiếng xay mỏn lần; lúc ấy người ta nghe tiếng chim kêu bèn chờ dậy, và tiếng con gái hát đều hạ hơi;|街 門 關 閉 、 推 磨 的 響 聲 微 小 、 雀 鳥 一 叫 、 人 就 起 來 、 歌 唱 的 女 子 、 也 都 衰 微 、
lại người ta sợ sệt mà lên cao, và hãi hùng lúc đi đường; lúc ấy cây hạnh trổ bông, cào cào trở nên nặng, và sự ước ao chẳng còn nữa; vì bấy giờ người đi đến nơi ở đời đời của mình, còn những kẻ tang chế đều đi vòng quanh các đường phố:|人 怕 高 處 、 路 上 有 驚 慌 、 杏 樹 開 花 、 蚱 蜢 成 為 重 擔 、 人 所 願 的 也 都 廢 掉 、 因 為 人 歸 他 永 遠 的 家 、 弔 喪 的 在 街 上 往 來 、
lại hãy tưởng nhớ Đấng Tạo hóa trước khi dây bạc đất, và chén vàng bể, trước khi vò vỡ ra bên suối, và bánh xe gãy ra trên giếng;|銀 鍊 折 斷 、 金 罐 破 裂 、 瓶 子 在 泉 旁 損 壞 、 水 輪 在 井 口 破 爛 、
và bụi tro trở vào đất y như nguyên cũ, và thần linh trở về nơi Đức Chúa Trời, là Đấng đã ban nó.|塵 土 仍 歸 於 地 、 靈 仍 歸 於 賜 靈 的 　 神 。
Kẻ truyền đạo nói: Hư không của sự hư không; mọi sự đều hư không.|傳 道 者 說 、 虛 空 的 虛 空 、 凡 事 都 是 虛 空 。
Vả lại, bởi vì kẻ truyền đạo là người khôn ngoan, nên cũng cứ dạy sự tri thức cho dân sự; người đã cân nhắc, tra soát, và sắp đặt thứ tự nhiều câu châm ngôn.|再 者 、 傳 道 者 因 有 智 慧 、 仍 將 知 識 教 訓 眾 人 ． 又 默 想 、 又 考 查 、 又 陳 說 許 多 箴 言 。
Kẻ truyền đạo có chuyên lo tìm kiếm những câu luận tốt đẹp; và các lời đã viết ra đều là chánh trực và chơn thật.|傳 道 者 專 心 尋 求 可 喜 悅 的 言 語 、 是 憑 正 直 寫 的 誠 實 話 。
Lời của người khôn ngoan giống như đót; sắp chọn các câu châm ngôn khác nào đinh đóng chặt: nó do một đấng chăn chiên mà truyền ra.|智 慧 人 的 言 語 、 好 像 刺 棍 ． 會 中 之 師 的 言 語 、 又 像 釘 穩 的 釘 子 ． 都 是 一 個 牧 者 所 賜 的 。
Lại, hỡi con, hãy chịu dạy: người ta chép nhiều sách chẳng cùng; còn học quá thật làm mệt nhọc cho xác thịt.|我 兒 、 還 有 一 層 、 你 當 受 勸 戒 ． 著 書 多 、 沒 有 窮 盡 ． 讀 書 多 、 身 體 疲 倦 。
Chúng ta hãy nghe lời kết của lý thuyết nầy: Khá kính sợ Đức Chúa Trời và giữ các điều răn Ngài; ấy là trọn phận sự của ngươi.|這 些 事 都 已 聽 見 了 ． 總 意 就 是 敬 畏 　 神 、 謹 守 他 的 誡 命 、 這 是 人 所 當 盡 的 本 分 。 〔 或 作 這 是 眾 人 的 本 分 〕
Vì Đức Chúa Trời sẽ đem đoán xét các công việc, đến đỗi việc kín nhiệm hơn hết, hoặc thiện hoặc ác cũng vậy.|因 為 人 所 作 的 事 、 連 一 切 隱 藏 的 事 、 無 論 是 善 是 惡 、 　 神 都 必 審 問 。
