
					II Cô-rinh-tô 1				|
Vả, những khí giới mà chúng tôi dùng để chiến tranh là không phải thuộc về xác thịt đâu, bèn là bởi quyền năng của Đức Chúa Trời, có sức mạnh để đạp đổ các đồn lũy:|我 們 爭 戰 的 兵 器 、 本 不 是 屬 血 氣 的 、 乃 是 在 　 神 面 前 有 能 力 、 可 以 攻 破 堅 固 的 營 壘 、
nhờ khí giới đó chúng tôi đánh đổ các lý luận, mọi sự cao tự nổi lên nghịch cùng sự hiểu biết Đức Chúa Trời, và bắt hết các ý tưởng làm tôi vâng phục Đấng Christ.|將 各 樣 的 計 謀 、 各 樣 攔 阻 人 認 識 　 神 的 那 些 自 高 之 事 、 一 概 攻 破 了 、 又 將 人 所 有 的 心 意 奪 回 、 使 他 都 順 服 基 督 ．
Cũng nhờ khí giới đó, chúng tôi sẵn sàng phạt mọi kẻ chẳng phục, khi anh em đã chịu lụy trọn rồi.|並 且 我 已 經 豫 備 好 了 、 等 你 們 十 分 順 服 的 時 候 、 要 責 罰 那 一 切 不 順 服 的 人 。
Anh em cứ xem bề ngoài sao? Bằng có ai quyết mình thuộc về Đấng Christ, hãy ngẫm nghĩ rằng nếu người thuộc về Đấng Christ, thì chúng tôi cũng thuộc về Ngài.|你 們 是 看 眼 前 的 麼 ． 倘 若 有 人 自 信 是 屬 基 督 的 、 他 要 再 想 想 、 他 如 何 屬 基 督 、 我 們 也 是 如 何 屬 基 督 的 。
Dầu khi tôi khoe mình khí quá về quyền phép Chúa đã ban cho chúng tôi, để gây dựng anh em, chớ chẳng phải để hủy diệt, thì tôi sự không hổ thẹn;|主 賜 給 們 權 柄 、 是 要 造 就 你 們 、 並 不 是 要 敗 壞 你 們 、 我 就 是 為 這 權 柄 稍 微 誇 口 、 也 不 至 於 慚 愧 ．
song tôi chẳng muốn làm bộ dọa anh em bằng thơ từ của tôi.|我 說 這 話 免 得 你 們 以 為 我 寫 信 是 要 威 嚇 你 們 。
Có người nói rằng các thơ của người nặng lời và bạo mạnh; nhưng đến khi có mặt thì người yếu đuối và lời nói chẳng có giá gì.|因 為 有 人 說 、 他 的 信 、 又 沉 重 、 又 利 害 ． 及 至 見 面 、 卻 是 氣 貌 不 揚 、 言 語 粗 俗 的 。
Kẻ nói như vậy, hãy nghĩ rằng khi chúng tôi vắng mặt, lời trong thơ thể nào, thì khi có mặt, việc làm cũng thể ấy.|這 等 人 當 想 、 我 們 不 在 那 裡 的 時 候 、 信 上 的 言 語 如 何 、 見 面 的 時 候 、 行 事 也 必 如 何 。
Thật chúng tôi không dám bằng vai hoặc sánh mình với những người kia, là kẻ hay tự phô mình. Nhưng lấy mình đo mình, lấy mình so sánh với mình, thì họ tỏ ra ít trí khôn.|因 為 我 們 不 敢 將 自 己 和 那 自 薦 的 人 同 列 相 比 ． 他 們 用 自 己 度 量 自 己 、 用 自 己 比 較 自 己 、 乃 是 不 通 達 的 。
Về phần chúng tôi, chẳng muốn khoe mình quá mực, chỉ theo mực về địa phận mà Đức Chúa Trời đã chỉ định cho chúng tôi tới đến anh em.|我 們 不 願 意 分 外 誇 口 、 只 要 照 　 神 所 量 給 我 們 的 界 限 、 搆 到 你 們 那 裡 。
Bởi chưng chúng tôi chẳng vượt quá mực mình, như thể chúng tôi không đến cùng anh em, vì thật chúng tôi đã đem Tin Lành của Đấng Christ mà đến nơi anh em trước hết.|我 們 並 非 過 了 自 己 的 界 限 、 好 像 搆 不 到 你 們 那 裡 ． 因 為 我 們 早 就 到 你 們 那 裡 、 傳 了 基 督 的 福 音 。
Chúng tôi không khoe mình quá mực, cũng không khoe về việc người khác làm; nhưng mong rằng đức tin của anh em thêm lên, thì công việc chúng tôi cũng sẽ lớn lên thêm giữa anh em, theo giới hạn đã định cho chúng tôi, và công việc ấy càng mở mang,|我 們 不 仗 著 別 人 所 勞 碌 的 、 分 外 誇 口 ． 但 指 望 你 們 信 心 增 長 的 時 候 、 所 量 給 我 們 的 界 限 、 就 可 以 因 著 你 們 更 加 開 展 、
cho đến nỗi chúng tôi sẽ có thể truyền Tin Lành ra đến các xứ xa hơn xứ anh em, song chúng tôi không hề khoe mình về việc đã làm trong địa phận của người khác.|得 以 將 福 音 傳 到 你 們 以 外 的 地 方 、 並 不 是 在 別 人 界 限 之 內 、 藉 著 他 現 成 的 事 誇 口 。
Nhưng ai khoe mình, hãy khoe mình trong Chúa.|但 誇 口 的 當 指 著 主 誇 口 。
Vì ấy chẳng phải là kẻ tự phô mình đáng được ưng chịu, bèn là kẻ mà Chúa gởi gắm.|因 為 蒙 悅 納 的 、 不 是 自 己 稱 許 的 、 乃 是 主 所 稱 許 的 。

					II Cô-rinh-tô 11				|
						哥林多後書 11					
Oi! Chớ chi anh em dung chịu sự dồ dại của tôi một ít! Phải, anh em nên dung chịu.|但 願 你 們 寬 容 我 這 一 點 愚 妄 ． 其 實 你 們 原 是 寬 容 我 的 。
Vì về anh em, tôi rất sốt sắng như sự sốt sắng của Đức Chúa Trời, bởi tôi đã gả anh em cho một chồng mà thôi, dâng anh em như người trinh nữ tinh sạch cho Đấng Christ.|我 為 你 們 起 的 憤 恨 、 原 是 　 神 那 樣 的 憤 恨 ． 因 為 我 曾 把 你 們 許 配 一 個 丈 夫 、 要 把 你 們 如 同 貞 潔 的 童 女 、 獻 給 基 督 。
Nhưng tôi ngại rằng như xưa Ê-va bị cám dỗ bởi mưu chước con rắn kia, thì ý tưởng anh em cũng hư đi, mà dời đổi lòng thật thà tinh sạch đối với Đấng Christ chăng.|我 只 怕 你 們 的 心 或 偏 於 邪 、 失 去 那 向 基 督 所 存 純 一 清 潔 的 心 、 就 像 蛇 用 詭 詐 誘 惑 了 夏 娃 一 樣 。
Vì nếu có người đến giảng cho anh em một Jêsus khác với Jêsus chúng tôi đã giảng, hoặc anh em nhận một Thánh Linh khác với Thánh Linh anh em đã nhận, hoặc được một Tin Lành khác với Tin Lành anh em đã được, thì anh em chắc dung chịu!|假 如 有 人 來 、 另 傳 一 個 耶 穌 、 不 是 我 們 所 傳 過 的 ． 或 者 你 們 另 受 一 個 靈 、 不 是 你 們 所 受 過 的 ． 或 者 另 傳 一 個 福 音 、 不 是 你 們 所 得 過 的 ． 你 們 容 讓 他 也 就 罷 了 ．
Nhưng tôi tưởng rằng dầu các sứ đồ ấy tôn trọng đến đâu, tôi cũng chẳng thua kém chút nào.|但 我 想 、 我 一 點 不 在 那 些 最 大 的 使 徒 以 下 。
Về lời nói, tôi dầu là người thường, nhưng về sự thông biết, tôi chẳng phải là người thường: đối với anh em, chúng tôi đã tỏ điều đó ra giữa mọi người và trong mọi sự.|我 的 言 語 雖 然 粗 俗 、 我 的 知 識 卻 不 粗 俗 ． 這 是 我 們 在 凡 事 上 、 向 你 們 眾 人 顯 明 出 來 的 。
Tôi đã rao giảng Tin Lành của Đức Chúa Trời cho anh em một cách nhưng không, hạ mình xuống cho anh em được cao lên, vậy thì tôi có phạm lỗi gì chăng?|我 因 為 白 白 傳 　 神 的 福 音 給 你 們 、 就 自 居 卑 微 、 叫 你 們 高 升 、 這 算 是 我 犯 罪 麼 。
Tôi đã nhận lương hướng, vét lấy của Hội thánh khác đặng giúp việc anh em.|我 虧 負 了 別 的 教 會 、 向 他 們 取 了 工 價 來 、 給 你 們 效 力 。
Khi tôi ở cùng anh em, gặp phải lúc thiếu thốn, thì không lụy đến ai cả; vì các anh em ở xứ Ma-xê-đoan đến, đã bù lại sự thiếu thốn cho tôi. Không cứ việc gì, tôi đã giữ mình cho khỏi lụy đến anh em, tôi lại cũng sẽ giữ mình như vậy nữa.|我 在 你 們 那 裡 缺 乏 的 時 候 、 並 沒 有 累 著 你 們 一 個 人 ． 因 我 所 缺 乏 的 、 那 從 馬 其 頓 來 的 弟 兄 們 都 補 足 了 ． 我 向 來 凡 事 謹 守 、 後 來 也 必 謹 守 、 總 不 至 於 累 著 你 們 。
Như chắc rằng sự chơn thật của Đấng Christ ở trong tôi, thì trong các miền xứ A-chai không ai cất lấy sự tôi khoe mình đó được.|既 有 基 督 的 誠 實 在 我 裡 面 、 就 無 人 能 在 亞 該 亞 一 帶 地 方 阻 擋 我 這 自 誇 。
Sao vậy? Vì tôi không yêu anh em chăng? Đã có Đức Chúa Trời biết!|為 甚 麼 呢 ． 是 因 我 不 愛 你 們 麼 ． 這 有 　 神 知 道 。
Song điều tôi làm, tôi còn làm nữa, để cất mọi mưu của kẻ tìm mưu, hầu cho trong những sự họ lấy mà khoe mình, chẳng có một sự nào trổi hơn chúng tôi được.|我 現 在 所 作 的 、 後 來 還 要 作 、 為 要 斷 絕 那 些 尋 機 會 人 的 機 會 、 使 他 們 在 所 誇 的 事 上 、 也 不 過 與 我 們 一 樣 。
Vì mấy người như vậy là sứ đồ giả, là kẻ làm công lừa dối, mạo chức sứ đồ của Đấng Christ.|那 等 人 是 假 使 徒 、 行 事 詭 詐 、 裝 作 基 督 使 徒 的 模 樣 。
Nào có lạ gì, chính quỉ Sa-tan mạo làm thiên sứ sáng láng.|這 也 不 足 為 怪 ． 因 為 連 撒 但 也 裝 作 光 明 的 天 使 。
Vậy thì những kẻ giúp việc nó mạo làm kẻ giúp việc công bình cũng chẳng lại gì; nhưng sự cuối cùng họ sẽ y theo việc làm.|所 以 他 的 差 役 、 若 裝 作 仁 義 的 差 役 、 也 不 算 希 奇 ． 他 們 的 結 局 、 必 然 照 著 他 們 的 行 為 。
Tôi lại nói rằng: chớ có ai xem tôi như kẻ dại dột; nếu vậy thì hãy nhận tôi như kẻ dại dột, hầu cho tôi cũng khoe mình ít nhiều.|我 再 說 、 人 不 可 把 我 看 作 愚 妄 的 ． 縱 然 如 此 、 也 要 把 我 當 作 愚 妄 人 接 納 、 叫 我 可 以 略 略 自 誇 。
Điều tôi nói, là khi tôi lấy sự quả quyết dường ấy mà khoe mình, thì chẳng phải nói theo Chúa song như kẻ dại dột vậy.|我 說 的 話 、 不 是 奉 主 命 說 的 、 乃 像 愚 妄 人 放 膽 自 誇 ．
Bởi có nhiều người khoe mình theo xác thịt, tôi cũng sẽ khoe mình.|既 有 好 些 人 憑 著 血 氣 自 誇 、 我 也 要 自 誇 了 ．
Vì anh em là kẻ khôn ngoan lại vui mừng dung chịu kẻ dại dột.|你 們 既 是 精 明 人 、 就 能 甘 心 忍 耐 愚 妄 人 。
Phải, anh em hay chịu người ta bắt mình làm tôi tớ, hay là nuốt sống, hay là cướp bóc, hay là tự cao mà khinh dể anh em, vả trên mặt anh em.|假 若 有 人 強 你 們 作 奴 僕 、 或 侵 吞 你 們 、 或 擄 掠 你 們 、 或 悔 慢 你 們 、 或 打 你 們 的 臉 、 你 們 都 能 忍 耐 他 。
Tôi làm hổ thẹn cho chúng tôi nói lời nầy, chúng tôi đã tỏ mình ra yếu đuối. Nhưng, ví bằng có ai dám khoe mình về sự gì tôi nói như kẻ dại dột thì tôi cũng dám khoe mình.|我 說 這 話 、 是 羞 辱 自 己 ． 好 像 我 們 從 前 軟 弱 的 ． 然 而 人 在 何 事 上 勇 敢 、 （ 我 說 句 愚 妄 話 ） 我 也 勇 敢 。
Họ là người Hê-bơ-rơ phải chăng? Tôi cũng vậy. Họ là người Y-sơ-ra-ên phải chăng? Tôi cũng vậy. Họ là dòng dõi của Ap-ra-ham phải chăng? Tôi cũng vậy.|他 們 是 希 伯 來 人 麼 ． 我 也 是 。 他 們 是 以 色 列 人 麼 ． 我 也 是 。 他 們 是 亞 伯 拉 罕 的 後 裔 麼 ． 我 也 是 。
Họ là kẻ hầu việc của Đấng Christ phải chăng? Ừ, tôi nói như kẻ dại dột, tôi lại là kẻ hầu việc nhiều hơn! Tôi đã chịu khó nhọc nhiều hơn, tù rạc nhiều hơn, đòn vọt quá chừng. Đòi phen tôi gần phải bị chết;|他 們 是 基 督 的 僕 人 麼 ． （ 我 說 句 狂 話 ） 我 更 是 。 我 比 他 們 多 受 勞 苦 、 多 下 監 牢 、 受 鞭 打 是 過 重 的 、 冒 死 是 屢 次 有 的 ．
năm lần bị người Giu-đa đánh roi, mỗi lần thiếu một roi đầy bốn chục;|被 猶 太 人 鞭 打 五 次 、 每 次 四 十 、 減 去 一 下 ．
ba lần bị đánh đòn; một lần bị ném đá; ba lần bị chìm tàu. Tôi đã ở trong biển sâu một ngày một đêm.|被 棍 打 了 三 次 、 被 石 頭 打 了 一 次 、 遇 著 船 壞 三 次 、 一 晝 一 夜 在 深 海 裡 。
Lại nhiều lần tôi đi đường nguy trên sông bến, nguy với trộm cướp, nguy với giữa dân mình, nguy với dân ngoại, nguy trong các thành, nguy trong các đồng vắng, nguy trên biển, nguy với anh em giả dối;|又 屢 次 行 遠 路 、 遭 江 河 的 危 險 、 盜 賊 的 危 險 、 同 族 的 危 險 、 外 邦 人 的 危 險 、 城 裡 的 危 險 、 曠 野 的 危 險 、 海 中 的 危 險 、 假 弟 兄 的 危 險 。
chịu khó chịu nhọc, lắm lúc thức đêm, chịu đói khát, thường khi phải nhịn ăn, chịu lạnh và lõa lồ.|受 勞 碌 、 受 困 苦 、 多 次 不 得 睡 、 又 飢 又 渴 、 多 次 不 得 食 、 受 寒 冷 、 赤 身 露 體 。
Còn chưa kể mọi sự khác, là mỗi ngày tôi phải lo lắng về hết thảy các Hội thánh.|除 了 這 外 面 的 事 、 還 有 為 眾 教 會 掛 心 的 事 、 天 天 壓 在 我 身 上 。
Nào có ai yếu đuối mà tôi chẳng yếu đuối ư? Nào có ai vấp ngã mà tôi chẳng như nung như đốt ư?|有 誰 軟 弱 、 我 不 軟 弱 呢 ． 有 誰 跌 倒 、 我 不 焦 急 呢 。
Vì phải khoe mình, thì tôi sẽ khoe mình về sự yếu đuối tôi.|我 若 必 須 自 誇 、 就 誇 那 關 乎 我 軟 弱 的 事 便 了 。
Đức Chúa Trời là Cha Đức Chúa Jêsus, là Đấng đáng ngợi khen đời đời vô cùng, biết rằng tôi không nói dối đâu.|那 永 遠 可 稱 頌 之 主 耶 穌 的 父 　 神 、 知 道 我 不 說 謊 。
Ở thành Đa-mách, quan tổng đốc của vua A-rê-ta giữ thành của người Đa-mách để bắt tôi.|在 大 馬 色 亞 哩 達 王 手 下 的 提 督 、 把 守 大 馬 色 城 要 捉 拿 我 ．
Có người từ cửa sổ dòng tôi xuống, bằng một cái giỏ, dọc theo lưng thành, ấy vậy là tôi thoát khỏi tay họ.|我 就 從 窗 戶 中 、 在 筐 子 裡 從 城 牆 上 被 人 縋 下 去 、 脫 離 了 他 的 手 。

					II Cô-rinh-tô 12				|
						哥林多後書 12					
Tôi cần phải khoe mình, dầu chẳng có ích gì; nhưng tôi sẽ nói đến các sự hiện thấy và sự Chúa đã tỏ ra.|我 自 誇 固 然 無 益 、 但 我 是 不 得 已 的 ． 如 今 我 要 說 到 主 的 顯 現 和 啟 示 。
Tôi biết một người trong Đấng Christ, cách mười bốn năm trước, đã được đem lên đến từng trời thứ ba .|我 認 得 一 個 在 基 督 裡 的 人 、 他 前 十 四 年 被 提 到 第 三 層 天 上 去 ． 或 在 身 內 、 我 不 知 道 ． 或 在 身 外 、 我 也 不 知 道 ． 只 有 　 神 知 道 。
Tôi biết người đó|我 認 得 這 人 、 或 在 身 內 、 或 在 身 外 、 我 都 不 知 道 ． 只 有 　 神 知 道 。
được đem lên đến chốn Ba-ra-đi, ở đó, nghe những lời không thể nói, mà không có phép cho người nào nói ra.|他 被 提 到 樂 園 裡 、 聽 見 隱 秘 的 言 語 、 是 人 不 可 說 的 。
Về người đó, tôi sẽ khoe mình; nhưng về chính mình tôi, tôi không khoe, chỉ khoe về sự yếu đuối của tôi mà thôi.|為 這 人 、 我 要 誇 口 ． 但 是 為 我 自 己 、 除 了 我 的 軟 弱 以 外 、 我 並 不 誇 口 。
Dầu tôi muốn khoe mình, thì cũng không phải là một người dại dột, vì tôi sẽ nói thật; nhưng tôi giữ, không nói, hầu cho chẳng ai nghĩ tôi vượt quá sự họ thấy ở nơi tôi và nghe tôi nói.|我 就 是 願 意 誇 口 、 也 不 算 狂 ． 因 為 我 必 說 實 話 ． 只 是 我 禁 止 不 說 、 恐 怕 有 人 把 我 看 高 了 、 過 於 他 在 我 身 上 所 看 見 所 聽 見 的 。
Vậy nên, e rằng tôi lên mình kiêu ngạo bởi sự cao trọng cả thể của những sự tỏ ra ấy chăng, thì đã cho một cái giằm xóc vào thịt tôi, tức là quỉ sứ của Sa-tan, để vả tôi, và làm cho tôi đừng kiêu ngạo.|又 恐 怕 我 因 所 得 的 啟 示 甚 大 、 就 過 於 自 高 、 所 以 有 一 根 剌 加 我 肉 體 上 、 就 是 撒 但 的 差 役 、 要 攻 擊 我 、 免 得 我 過 於 自 高 。
Đã ba lần tôi cầu nguyện Chúa cho nó lìa xa tôi.|為 這 事 、 我 三 次 求 過 主 、 叫 這 剌 離 開 我 。
Nhưng Chúa phán rằng: An điển ta đủ cho ngươi rồi, vì sức mạnh của ta nên trọn vẹn trong sự yếu đuối. Vậy, tôi sẽ rất vui lòng khoe mình về sự yếu đuối tôi, hầu cho sức mạnh của Đấng Christ ở trong tôi.|他 對 我 說 、 我 的 恩 典 彀 你 用 的 ． 因 為 我 的 能 力 、 是 在 人 的 軟 弱 上 顯 得 完 全 ． 所 以 我 更 喜 歡 誇 自 己 的 軟 弱 、 好 叫 基 督 的 能 力 覆 庇 我 ．
Cho nên tôi vì Đấng Christ mà đành chịu trong sự yếu đuối, nhuốc nha, túng ngặt, bắt bớ, khốn khó; vì khi tôi yếu đuối, ấy là lúc tôi mạnh mẽ.|我 為 基 督 的 緣 故 、 就 以 軟 弱 、 凌 辱 、 急 難 、 逼 迫 、 困 苦 、 為 可 喜 樂 的 ． 因 我 甚 麼 時 候 軟 弱 、 甚 麼 時 候 就 剛 強 了 。
Tôi đã nên dại dột bởi anh em ép uổng tôi; lẽ thì anh em khen lao tôi mới phải, vì dầu tôi không ra gì, cũng chẳng kém các sứ đồ rất lớn kia chút nào.|我 成 了 愚 妄 人 、 是 被 你 們 強 逼 的 ． 我 本 該 被 你 們 稱 許 纔 是 ． 我 雖 算 不 了 甚 麼 、 卻 沒 有 一 件 事 在 那 些 最 大 的 使 徒 以 下 。
Các bằng cớ về chức sứ đồ tôi đã tỏ ra trong anh em bởi sự nhịn nhục mọi đàng, bởi các phép lạ.|我 在 你 們 中 間 、 用 百 般 的 忍 耐 、 藉 著 神 蹟 奇 事 異 能 、 顯 出 使 徒 的 憑 據 來 。
Vả, nếu trừ ra sự chính tôi không làm lụy cho anh em, thì anh em có việc gì mà chẳng bằng các Hội thánh khác? Xin tha thứ cho tôi sự không công bình đó!|除 了 我 不 累 著 你 們 這 一 件 事 、 你 們 還 有 甚 麼 事 不 及 別 的 教 會 呢 ． 這 不 公 之 處 、 求 你 們 饒 恕 我 罷 。
Nầy là lần thứ ba tôi sẵn sàng đi đến cùng anh em, và tôi sẽ chẳng làm lụy cho anh em đâu, vì không phải tôi tìm của cải anh em, bèn là tìm chính anh em vậy; thật, chẳng phải con cái nên chứa của quí cho cha mẹ, nhưng thà cha mẹ chứa cho con cái thì hơn.|如 今 我 打 算 第 三 次 到 你 們 那 裡 去 、 也 必 不 累 著 你 門 ． 因 我 所 求 的 是 你 們 、 不 是 你 們 的 財 物 ． 兒 女 不 該 為 父 母 積 財 、 父 母 該 為 兒 女 積 財 。
Về phần tôi, tôi rất vui lòng phí của và phí trọn cả mình tôi vì linh hồn anh em, dẫu rằng tôi yêu anh em thêm, mà cần phải bị anh em yêu tôi kém.|我 也 甘 心 樂 意 為 你 們 的 靈 魂 費 財 費 力 。 難 道 我 越 發 愛 你 們 、 就 越 發 少 得 你 們 的 愛 麼 。
Tuy rằng tôi chưa từng làm lụy cho anh em, nhưng tôi là người khôn khéo, đã dùng mưu kế mà bắt lấy anh em!|罷 了 、 我 自 己 並 沒 有 累 著 你 們 、 你 們 卻 有 人 說 、 我 是 詭 詐 、 用 心 計 牢 籠 你 們 。
Vậy tôi há đã dùng một người nào trong những kẻ tôi sai đến cùng anh em mà lấy lợi của anh em chăng?|我 所 差 到 你 們 那 裡 去 的 人 、 我 藉 著 他 們 一 個 人 佔 過 你 們 的 便 宜 麼 。
Tôi đã xin Tít đi thăm anh em, lại đã sai một người trong anh em chúng tôi cùng đi với người. Có phải là Tít đã lấy lợi của anh em không? Chúng tôi há chẳng bước đi bởi một Thánh Linh, theo cùng một dấu chơn sao?|我 勸 了 提 多 到 你 們 那 裡 去 、 又 差 那 位 兄 弟 與 他 同 去 ． 提 多 佔 過 你 們 的 便 宜 麼 ． 我 們 行 事 、 不 同 是 一 個 心 靈 麼 ． 不 同 是 一 個 腳 蹤 麼 。 〔 心 靈 或 作 聖 靈 〕
Đã lâu nay, anh em tưởng rằng chúng tôi tìm cách chữa mình trước mặt anh em. Ay là trong Đấng Christ, trước mặt Đức Chúa Trời mà chúng tôi nói; hỡi những kẻ rất yêu dấu, mọi điều đó thảy vì sự gây dựng cho anh em.|你 們 到 如 今 、 還 想 我 們 是 向 你 們 分 訴 ． 我 們 本 是 在 基 督 裡 當 　 神 面 前 說 話 。 親 愛 的 弟 兄 阿 、 一 切 的 事 、 都 是 為 造 就 你 們 。
Vì tôi e rằng khi tôi đến, chẳng thấy anh em như tôi ước ao, lại về phần anh em, chẳng thấy tôi như anh em đã ước ao chăng. Tôi còn e rằng trong các anh em có những điều rầy rà, ghen ghét, nóng giận, bất hòa, nói hành, nói gần nói xa, kiêu căng, hỗn loạn chăng.|我 怕 我 再 來 的 時 候 、 見 你 們 不 合 我 所 想 望 的 、 你 們 見 我 也 不 合 你 們 所 想 望 的 ． 又 怕 有 分 爭 、 嫉 妒 、 惱 怒 、 結 黨 、 毀 謗 、 讒 言 、 狂 傲 、 混 亂 的 事 ．
Có lẽ nào khi tôi đến nơi anh em, Đức Chúa Trời lại làm cho tôi phải hạ mình xuống về việc anh em một lần nữa, và tôi sẽ phải khóc lóc về nhiều kẻ trước đã phạm tội mà không ăn năn về những sự ô uế, gian dâm, luông tuồng họ đã phạm, hay sao?|且 怕 我 來 的 時 候 、 我 的 　 神 叫 我 在 你 們 面 前 慚 愧 ． 又 因 許 多 人 從 前 犯 罪 、 行 污 穢 姦 淫 邪 蕩 的 事 、 不 肯 悔 改 、 我 就 憂 愁 。

					II Cô-rinh-tô 13				|
						哥林多後書 13					
Nầy là lần thứ ba mà tôi sẽ đi đến nơi anh em. Mọi việc sẽ định cứ lời khai của hai hoặc ba người làm chứng.|這 是 我 第 三 次 要 到 你 們 那 裡 去 。 憑 兩 三 個 人 的 口 作 見 證 、 句 句 都 要 定 準 。
Điều đó tôi đã nói rồi, bây giờ lại nói rồi nữa, ngày nay tôi dầu vắng mặt, nhưng không khác lúc tôi ở với anh em lần thứ hai: tôi rao cho kẻ trước có phạm tội và cho mọi kẻ khác rằng, nếu tôi lại đến, thì chẳng dung thứ chi hết,|我 從 前 說 過 、 如 今 不 在 你 們 那 裡 又 說 、 正 如 我 第 二 次 見 你 們 的 時 候 所 說 的 一 樣 、 就 是 對 那 犯 了 罪 的 、 和 其 餘 的 人 說 、 我 若 再 來 必 不 寬 容 。
vì anh em phải có một bằng cớ rằng Đấng Christ phán bởi tôi, tức là Đấng đối với anh em chẳng phải là yếu đuối đâu, bèn là mạnh mẽ ở giữa anh em vậy.|你 們 既 然 尋 求 基 督 在 我 裡 面 說 話 的 憑 據 、 我 必 不 寬 容 ． 因 為 基 督 在 你 們 身 上 、 不 是 軟 弱 的 ． 在 你 們 裡 面 、 是 有 大 能 的 。
Bởi vì, dầu Ngài nhơn sự yếu đuối đã bị đóng đinh vào thập tự giá, nhưng Ngài sống bởi quyền phép Đức Chúa Trời; chúng tôi cũng vậy, dầu là yếu đuối trong Ngài, nhưng nhờ quyền phép Đức Chúa Trời thì cũng sẽ sống với Ngài, đặng làm việc giữa anh em.|他 因 軟 弱 被 釘 在 十 字 架 上 、 卻 因 　 神 的 大 能 、 仍 然 活 著 ． 我 們 也 是 這 樣 同 他 軟 弱 、 但 因 　 神 向 你 們 所 顯 的 大 能 、 也 必 與 他 同 活 。
Chính anh em hãy tự xét để xem mình có đức tin chăng. Hãy tự thử mình: anh em há không nhận biết rằng có Đức Chúa Jêsus Christ ở trong anh em sao? miễn là anh em không đáng bị bỏ.|你 們 總 要 自 己 省 察 有 信 心 沒 有 ． 也 要 自 己 試 驗 ． 豈 不 知 你 們 若 不 是 可 棄 絕 的 、 就 有 耶 穌 基 督 在 你 們 心 裡 麼 。
Song tôi mong anh em nhận biết rằng chúng tôi chẳng đáng bị bỏ.|我 卻 盼 望 你 們 曉 得 我 們 不 是 可 棄 絕 的 人 。
Nhưng chúng ta cầu xin Đức Chúa Trời cho anh em đừng làm việc ác nào, chẳng phải để tỏ ra chính chúng tôi được ưng chịu, song hầu cho anh em làm điều thiện, mặt dầu chúng tôi như đáng bị bỏ.|我 們 求 　 神 、 叫 你 們 一 件 惡 事 都 不 作 ． 這 不 是 要 顯 明 我 們 是 蒙 悅 納 的 、 是 要 你 們 行 事 端 正 、 任 憑 人 看 我 們 是 被 棄 絕 的 罷 。
Vì chúng tôi chẳng có thể nghịch cùng lẽ thật, nhưng chỉ có thể thuận theo lẽ thật.|我 們 凡 事 不 能 敵 擋 真 理 、 只 能 扶 助 真 理 。
Dầu chúng tôi yếu đuối, miễn là anh em được mạnh mẽ thì chúng tôi cũng vui mừng; và điều chúng tôi cầu xin, ấy là cho anh em được nên trọn vẹn.|即 使 我 們 軟 弱 、 你 們 剛 強 、 我 們 也 歡 喜 ． 並 且 我 們 所 求 的 、 就 是 你 們 作 完 全 人 。
Vậy nên khi vắng mặt, tôi viết những điều nầy, để khi tôi có mặt, không dùng thẳng phép, theo quyền Chúa ban cho tôi, để gây dựng chớ không phải để hủy diệt.|所 以 我 不 在 你 們 那 裡 的 時 候 、 把 這 話 寫 給 你 們 、 好 叫 我 見 你 們 的 時 候 、 不 用 照 主 所 給 我 的 權 柄 、 嚴 厲 的 待 你 們 ． 這 權 柄 原 是 為 造 就 人 、 並 不 是 為 敗 壞 人 。
Rốt lại, hỡi anh em, hãy mừng rỡ; khá theo đến sự trọn lành; hãy yên ủi mình, hiệp một tâm tình, ở cho hòa thuận, thì Đức Chúa Trời sự yêu thương và sự bình an sẽ ở cùng anh em.|還 有 末 了 的 話 、 願 弟 兄 們 都 喜 樂 ． 要 作 完 全 人 ． 要 受 安 慰 ． 要 同 心 合 意 ． 要 彼 此 和 睦 ． 如 此 仁 愛 和 平 的 　 神 、 必 常 與 你 們 同 在 。
Hãy lấy cái hôn thành mà chào nhau.|你 們 親 嘴 問 安 ． 彼 此 務 要 聖 潔 。
Hết thảy thánh đồ chào anh em.|眾 聖 徒 都 問 你 們 安 。
Nguyền xin ơn của Đức Chúa Jêsus Christ, sự yêu thương của Đức Chúa Trời, và sự giao thông của Đức Thánh Linh ở với anh em hết thảy!|願 主 耶 穌 基 督 的 恩 惠 、 　 神 的 慈 愛 、 聖 靈 的 感 動 、 常 與 你 們 眾 人 同 在 。
