
					Nê-hê-mi-a 1				|
con cháu Rê -a-gia, con cháu Rê-xin, con cháu Nê-cô-đa,|利 亞 雅 的 子 孫 、 利 汛 的 子 孫 、 尼 哥 大 的 子 孫 、
con cháu Ga-xam, con cháu U-xa, con cháu Pha-sê -a,|迦 散 的 子 孫 、 烏 撒 的 子 孫 、 巴 西 亞 的 子 孫 、
con cháu Bê-sai, con cháu Mê -u-nim, con cháu Nê-phi-sê-nim,|比 賽 的 子 孫 、 米 烏 寧 的 子 孫 、 尼 普 心 的 子 孫 、
con cháu Bác-búc, con cháu Ha-cu-pha, con cháu Ha-rua,|巴 卜 的 子 孫 、 哈 古 巴 的 子 孫 、 哈 忽 的 子 孫 、
con cháu Bát-tít, con cháu Mê-hi-đa, con cháu Hạt-sa,|巴 洗 律 的 子 孫 、 米 希 大 的 子 孫 、 哈 沙 的 子 孫 、
con cháu Bạt-cô, con cháu Si-sê-ra, con cháu Tha-mác,|巴 柯 的 子 孫 、 西 西 拉 的 子 孫 、 答 瑪 的 子 孫 、
con cháu Nê-xia, con cháu Ha-ti-pha.|尼 細 亞 的 子 孫 、 哈 提 法 的 子 孫 。
Dòng dõi các đầy tớ của Sa-lô-môn: Con cháu Sô-tai, con cháu Sô-phê-rết, con cháu Phê-ri-đa,|所 羅 門 僕 人 的 後 裔 、 就 是 瑣 太 的 子 孫 、 瑣 斐 列 的 子 孫 、 比 路 大 的 子 孫 、
con cháu Gia -a-la, con cháu Đạt-côn, con cháu Ghi-đên,|雅 拉 的 子 孫 、 達 昆 的 子 孫 、 吉 德 的 子 孫 、
con cháu Sê-pha-tia, con cháu Hát-tinh, con cháu Phô-kế-rết Hát-xê-ba-im, con cháu A-mon.|示 法 提 雅 的 子 孫 、 哈 替 的 子 孫 、 玻 黑 列 哈 斯 巴 音 的 子 孫 、 亞 們 的 子 孫 。
Tổng cộng các người Nê-thi-nim và con cháu các đầy tớ của Sa-lô-môn, là ba trăm chín mươi hai người.|尼 提 寧 、 和 所 羅 門 僕 人 的 後 裔 、 共 三 百 九 十 二 名 。
Nầy là những người ở Tên-Mê-la, Tên-Hạt-sa, Kê-rúp, A-đôn, và từ Y-mê mà đi lên; nhưng chúng nó không thể chỉ ra nhà của tổ phụ mình và gốc gác của họ, hoặc thuộc về Y-sơ-ra-ên hay chăng:|從 特 米 拉 、 特 哈 薩 、 基 綠 、 亞 頓 、 音 麥 、 上 來 的 ． 不 能 指 明 他 們 的 宗 族 、 譜 系 、 是 以 色 列 人 不 是 。
con cháu Đê-la-gia, con cháu Tô-bi-gia, và con cháu Nê-cô-đa, đều sáu trăm bốn mươi hai người.|他 們 是 第 萊 雅 的 子 孫 、 多 比 雅 的 子 孫 、 尼 哥 大 的 子 孫 、 共 六 百 四 十 二 名 。
Về những thầy tế lễ: Con cháu Ha-ba-gia, con cháu Ha-cốt, con cháu Bạt-xi-lai, là người lấy vợ trong vòng con gái của Bạt-xi-lai, người Ga-la-át, và được gọi bằng tên của họ.|祭 司 中 ． 哈 巴 雅 的 子 孫 、 哈 哥 斯 的 子 孫 、 巴 西 萊 的 子 孫 ． 因 為 他 們 的 先 祖 娶 了 基 列 人 巴 西 萊 的 女 兒 為 妻 、 所 以 起 名 叫 巴 西 萊 。
Các người ấy tìm kiếm gia phổ mình, nhưng không thấy, bèn bị trừ ra chức tế lễ, kể cho là ô uế.|這 三 家 的 人 在 族 譜 之 中 、 尋 查 自 己 的 譜 系 、 卻 尋 不 著 ． 因 此 算 為 不 潔 、 不 准 供 祭 司 的 職 任 。
Quan tổng trấn cấm chúng ăn những vật chí thánh cho đến chừng có một thầy tế lễ dấy lên dùng U-rim và Thu-nim mà cầu hỏi Đức Chúa Trời.|省 長 對 他 們 說 、 不 可 喫 至 聖 的 物 、 直 到 有 用 烏 陵 和 土 明 決 疑 的 祭 司 興 起 來 。
Cả hội chúng hiệp lại được bốn vạn hai ngàn ba trăm sáu mươi người,|會 眾 共 有 四 萬 二 千 三 百 六 十 名 ．
không kể những tôi trai tớ gái của dân, số được bảy ngàn ba trăm ba mơi bảy người; cũng có hai trăm bốn mươi lăm kẻ hát, nam và nữ.|此 外 、 還 有 他 們 的 僕 婢 、 七 千 三 百 三 十 七 名 、 又 有 歌 唱 的 男 女 二 百 四 十 五 名 ．
Chúng có bảy trăm ba mươi sáu con ngựa, hai trăm bốn mươi lăm con la,|他 們 有 馬 七 百 三 十 六 匹 、 騾 子 二 百 四 十 五 匹 ．
bốn trăm ba mươi lăm con lạc đà, và sáu ngàn bảy trăm hai mươi con lừa.|駱 駝 四 百 三 十 五 隻 、 驢 六 千 七 百 二 十 匹 。
Có mấy trưởng tộc đem của cung tiến đặng giúp làm công việc. Quan tổng trấn dâng cho kho một ngàn đa-riếc vàng, năm mươi cái chậu, và năm trăm ba mươi cái áo thầy tế lễ.|有 些 族 長 為 工 程 捐 助 ． 省 長 捐 入 庫 中 的 金 子 一 千 達 利 克 、 碗 五 十 個 、 祭 司 的 禮 服 五 百 三 十 件 。
Có mấy trưởng tộc dâng vào kho tạo tác hai vạn đa-riếc vàng, và hai ngàn hai trăm min bạc.|又 有 族 長 捐 入 工 程 庫 的 金 子 二 萬 達 利 克 、 銀 子 二 千 二 百 彌 拿 。
Còn vật dân sự khác dâng, được hai vạn đa-riếc vàng, hai ngàn min bạc, và sáu mươi bảy cái áo thầy tế lễ.|其 餘 百 姓 所 捐 的 金 子 二 萬 達 利 克 、 銀 子 二 千 彌 拿 、 祭 司 的 禮 服 六 十 七 件 。
Ay vậy, những thầy tế lễ, người Lê-vi, kẻ giữ cửa, kẻ ca hát, mấy người trong dân, và người Nê-thi-nim, cùng cả Y-sơ-ra-ên, đều ở trong các thành của mình. Khi tháng bảy đến, thì dân Y-sơ-ra-ên đều ở trong các thành của mình.|於 是 祭 司 、 利 未 人 、 守 門 的 、 歌 唱 的 、 民 中 的 一 些 人 、 尼 提 寧 、 並 以 色 列 眾 人 、 各 住 在 自 己 的 城 裡 。

					Nê-hê-mi-a 8				|
						尼希米記 8					
Bấy giờ, dân sự đều nhóm hiệp như thể một người, tại phố ở trước cửa Nước. Chúng nói với E-xơ-ra là thầy thông giáo, xin người đem quyển sách luật pháp của Môi-se mà Đức Giê-hô-va đã truyền dạy cho Y-sơ-ra-ên.|到 了 七 月 、 以 色 列 人 住 在 自 己 的 城 裡 。 那 時 、 他 們 如 同 一 人 聚 集 在 水 門 前 的 寬 闊 處 、 請 文 士 以 斯 拉 、 將 耶 和 華 藉 摩 西 傳 給 以 色 列 人 的 律 法 書 帶 來 。
Ngày mồng một tháng bảy, thầy tế lễ E-xơ-ra đem luật pháp đến trước mặt hội chúng, người nam và nữ, cùng những người có thông sáng nghe hiểu được.|七 月 初 一 日 、 祭 司 以 斯 拉 將 律 法 書 帶 到 聽 了 能 明 白 的 男 女 會 眾 面 前 。
Người đứng tại phố ở trước cửa Nước, đọc trong quyển ấy từ rạng đông cho đến trưa, có mặt các người nam và nữ, cùng những kẻ có thể hiểu được. Cả dân sự lắng tai nghe đọc sách luật pháp.|在 水 門 前 的 寬 闊 處 、 從 清 早 到 晌 午 、 在 眾 男 女 一 切 聽 了 能 明 白 的 人 面 前 、 讀 這 律 法 書 ． 眾 民 側 耳 而 聽 。
Thầy thông giáo E-xơ-ra đứng trên một cái sạp bằng gỗ mà người ta làm nhơn dịp ấy; Ma-ti-thia, Sê-ma, A-na-gia, U-ri, Hinh-kia, và Ma -a-xê-gia, đứng gần người ở bên hữu; còn bên tả người thì có Phê-đa-gia, Mi-sa-ên, Manh-ki-gia, Ha-sum, Hách-ba-đa-na, Xa-cha-ri, và Mê-su-lam.|文 士 以 斯 拉 站 在 為 這 事 特 備 的 木 臺 上 ． 瑪 他 提 雅 、 示 瑪 、 亞 奈 雅 、 烏 利 亞 、 希 勒 家 、 和 瑪 西 雅 、 站 在 他 的 右 邊 ． 毘 大 雅 、 米 沙 利 、 瑪 基 雅 、 哈 順 、 哈 拔 大 拿 、 撒 迦 利 亞 、 和 米 書 蘭 、 站 在 他 的 左 邊 。
E-xơ-ra dở sách ra trước mặt cả dân sự, vì người đứng cao hơn chúng; khi người dở sách ra, thì dân sự đều đứng dậy.|以 斯 拉 站 在 眾 民 以 上 、 在 眾 民 眼 前 展 開 這 書 ． 他 一 展 開 、 眾 民 就 都 站 起 來 。
E-xơ-ra ngợi khen Giê-hô-va Đức Chúa Trời cao cả; cả dân sự bèn giơ tay lên, mà đáp lại rằng: A-men, A-men! rồi chúng cúi đầu, sấp mặt xuống đất mà thờ lạy Đức Giê-hô-va.|以 斯 拉 稱 頌 耶 和 華 至 大 的 　 神 ． 眾 民 都 舉 手 應 聲 說 、 阿 們 、 阿 們 、 就 低 頭 、 面 伏 於 地 、 敬 拜 耶 和 華 。
Giê-sua, Ba-ni, Sê-rê-bia, Giô-xa-bát, Ha-nan, Bê-la-gia, và người Lê-vi, đều giải cho dân sự hiểu luật pháp; và dân sự đứng tại chỗ mình.|耶 書 亞 、 巴 尼 、 示 利 比 、 雅 憫 、 亞 谷 、 沙 比 太 、 荷 第 雅 、 瑪 西 雅 、 基 利 他 、 亞 撒 利 雅 、 約 撒 拔 、 哈 難 、 毘 萊 雅 、 和 利 未 人 、 使 百 姓 明 白 律 法 ． 百 姓 都 站 在 自 己 的 地 方 。
Họ đọc rõ ràng trong sách luật pháp của Đức Chúa Trời, rồi giải nghĩa nó ra, làm cho người ta hiểu lời họ đọc.|他 們 清 清 楚 楚 的 念 　 神 的 律 法 書 、 講 明 意 思 、 使 百 姓 明 白 所 念 的 。
Nê-hê-mi, quan tổng trấn, E-xơ-ra, thầy tế lễ và thầy thông giáo, cùng người Lê-vi mà dạy dỗ dân sự, bèn nói với cả Y-sơ-ra-ên rằng: Ngày nay là thánh cho Giê-hô-va Đức Chúa Trời của các ngươi; chớ để tang, cũng đừng khóc lóc. Vì cả dân sự đều khóc khi nghe đọc các luật pháp.|省 長 尼 希 米 、 和 作 祭 司 的 文 士 以 斯 拉 、 並 教 訓 百 姓 的 利 未 人 、 對 眾 民 說 、 今 日 是 耶 和 華 你 們 　 神 的 聖 日 ． 不 要 悲 哀 哭 泣 ． 這 是 因 為 眾 民 聽 見 律 法 書 上 的 話 都 哭 了 。
Nê-hê-mi nói với chúng rằng: Hãy đi ăn vật gì béo, uống đồ gì ngọt, và hãy gởi phần cho những người không có sắm sửa gì hết; vì ngày nay là thánh, biệt riêng ra cho Chúa của chúng ta. Chớ buồn thảm, vì sự vui vẻ của Đức Giê-hô-va là sức lực của các ngươi.|又 對 他 們 說 、 你 們 去 喫 肥 美 的 、 喝 甘 甜 的 、 有 不 能 豫 備 的 、 就 分 給 他 ． 因 為 今 日 是 我 們 主 的 聖 日 ． 你 們 不 要 憂 愁 、 因 靠 耶 和 華 而 得 的 喜 樂 是 你 們 的 力 量 。
Vậy, người Lê-vi làm cho cả dân sự đều được yên ổn, mà rằng: Khá nín đi, vì ngày nay là thánh, đừng sầu thảm chi.|於 是 利 未 人 使 眾 民 靜 默 、 說 、 今 日 是 聖 日 ． 不 要 作 聲 、 也 不 要 憂 愁 。
Cả dân sự bèn đi đặng ăn và uống, gởi cho những phần, cùng vui vẻ lắm; vì chúng có hiểu các lời người ta đã truyền dạy cho mình.|眾 民 都 去 喫 喝 、 也 分 給 人 、 大 大 快 樂 、 因 為 他 們 明 白 所 教 訓 他 們 的 話 。
Qua ngày thứ hai, các trưởng tộc của cả dân sự, những thầy tế lễ, và người Lê-vi, đều nhóm lại bên E-xơ-ra, là người thông giáo, đặng chú ý nghe các lời của luật pháp.|次 日 眾 民 的 族 長 、 祭 司 、 和 利 未 人 都 聚 集 到 文 士 以 斯 拉 那 裡 、 要 留 心 聽 律 法 上 的 話 。
Chúng thấy có chép trong luật pháp rằng Đức Giê-hô-va cậy Môi-se phán rằng dân Y-sơ-ra-ên phải ở trong nhà lều đương lúc lễ tháng bảy;|他 們 見 律 法 上 寫 著 、 耶 和 華 藉 摩 西 吩 咐 以 色 列 人 、 要 在 七 月 節 住 棚 ．
và chúng phải hô truyền trong các thành và tại Giê-ru-sa-lem nghe, rằng: Hãy đi kiếm trong núi những nhánh ô-li-ve và ô-li-ve rừng, những nhánh cây sim, những tầu lá kè, và những nhánh cây rậm, đặng làm những nhà lều, y như đã chép.|並 要 在 各 城 和 耶 路 撒 冷 宣 傳 報 告 、 說 、 你 們 當 上 山 、 將 橄 欖 樹 、 野 橄 欖 樹 、 番 石 榴 樹 、 棕 樹 、 和 各 樣 茂 密 樹 的 枝 子 取 來 、 照 著 所 寫 的 搭 棚 。
Dân sự bèn đi ra đem các lá ấy về, mỗi người đều làm nhà lều trên nóc nhà mình, ngoài sân mình, trong hành lang của đền Đức Chúa Trời, nơi phố của cửa Nước, và nơi phố của cửa Ep-ra-im.|於 是 百 姓 出 去 、 取 了 樹 枝 來 、 各 人 在 自 己 的 房 頂 上 、 或 院 內 、 或 　 神 殿 的 院 內 、 或 水 門 的 寬 闊 處 、 或 以 法 蓮 門 的 寬 闊 處 搭 棚 。
Cả hội chúng của những kẻ bị bắt làm phu tù được trở về bèn cất những nhà lều, và ở trong đó. Từ đời Giô-suê, con trai của Nun, cho đến ngày ấy, dân Y-sơ-ra-ên chẳng có làm gì giống như vậy. Bèn có sự rất vui mừng.|從 擄 到 之 地 歸 回 的 全 會 眾 就 搭 棚 、 住 在 棚 裡 。 從 嫩 的 兒 子 約 書 亞 的 時 候 、 直 到 這 日 、 以 色 列 人 沒 有 這 樣 行 ． 於 是 眾 人 大 大 喜 樂 。
Mỗi ngày, từ ngày đầu cho đến ngày chót, người đọc trong sách luật pháp của Đức Chúa Trời. Chúng ăn lễ bảy ngày; còn qua ngày thứ tám, có một lễ trọng thể, tùy theo luật lệ.|從 頭 一 天 、 直 到 末 一 天 、 以 斯 拉 每 日 念 　 神 的 律 法 書 。 眾 人 守 節 七 日 、 第 八 日 照 例 有 嚴 肅 會 。

					Nê-hê-mi-a 9				|
						尼希米記 9					
Ngày hai mươi bốn tháng ấy, dân Y-sơ-ra-ên nhóm lại, cữ ăn, mặc bao và phủ bụi đất.|這 月 二 十 四 日 、 以 色 列 人 聚 集 禁 食 、 身 穿 麻 衣 、 頭 蒙 灰 塵 。
Dòng Y-sơ-ra-ên chia rẽ các người ngoại, đứng dậy xưng tội lỗi mình và sự gian ác của tổ phụ mình.|以 色 列 人 〔 人 原 文 作 種 類 〕 就 與 一 切 外 邦 人 離 絕 、 站 著 承 認 自 己 的 罪 惡 、 和 列 祖 的 罪 孽 。
Chúng đứng dậy tại chỗ mình, đọc trong sách luật pháp của Giê-hô-va Đức Chúa Trời mình, lâu đến phần tư ngày: trong một phần tư khác, chúng xưng tội và thờ lạy Giê-hô-va Đức Chúa Trời của họ.|那 日 的 四 分 之 一 、 站 在 自 己 的 地 方 、 念 耶 和 華 他 們 　 神 的 律 法 書 ． 又 四 分 之 一 認 罪 、 敬 拜 耶 和 華 他 們 的 　 神 。
Bấy giờ, Giê-sua, Ba-ni, Cát-mi-ên, Sê-ba-nia, Bun-ni, Sê-rê-bia, Ba-ni, và Kê-na-ni, đứng dậy tại trên sạp người Lê-vi, và kêu cầu lớn tiếng cùng Giê-hô-va Đức Chúa Trời mình.|耶 書 亞 、 巴 尼 、 甲 篾 、 示 巴 尼 、 布 尼 、 示 利 比 、 巴 尼 、 基 拿 尼 、 站 在 利 未 人 的 臺 上 、 大 聲 哀 求 耶 和 華 他 們 的 　 神 。
Khi ấy những người Lê-vi, là Giê-sua, Cát-mi-ên, Ba-ni, Ha-sáp-nia, Sê-rê-bia, Hô-đia, Sê-ba-nia, và Phê-ta-hia nói rằng: Hãy đứng dậy, ngợi khen Giê-hô-va Đức Chúa Trời của các ngươi, là Đấng hằng có đời đời kiếp kiếp! Đáng ngợi khen danh vinh hiển của Ngài, vẫn trổi cao hơn các sự chúc tụng và các lời khen ngợi.|利 未 人 耶 書 亞 、 甲 篾 、 巴 尼 、 哈 沙 尼 、 示 利 比 、 荷 第 雅 、 示 巴 尼 、 毘 他 希 雅 說 、 你 們 要 站 起 來 稱 頌 耶 和 華 你 們 的 　 神 永 世 無 盡 ． 耶 和 華 阿 、 你 榮 耀 之 名 、 是 應 當 稱 頌 的 、 超 乎 一 切 稱 頌 和 讚 美 。
Oi! chỉ một mình Chúa là Đức Giê-hô-va có một không hai; Chúa đã dựng nên các từng trời, và trời của các từng trời, cùng toàn cơ binh của nó, trái đất và các vật ở trên nó, biển và muôn vật ở dưới nó Chúa bảo tồn những vật ấy, và cơ binh của các từng trời đều thờ lạy Chúa.|你 、 惟 獨 你 、 是 耶 和 華 ． 你 造 了 天 、 和 天 上 的 天 、 並 天 上 的 萬 象 、 地 和 地 上 的 萬 物 、 海 和 海 中 所 有 的 、 這 一 切 都 是 你 所 保 存 的 ． 天 軍 也 都 敬 拜 你 。
Chúa ôi! Chúa là Giê-hô-va Đức Chúa Trời mà đã chọn Ap-ram, đem người ra khỏi U-sơ của dân Canh-đê, và ban cho người tên Ap-ra-ham.|你 是 耶 和 華 　 神 、 曾 揀 選 亞 伯 蘭 、 領 他 出 迦 勒 底 的 吾 珥 、 給 他 改 名 叫 亞 伯 拉 罕 ．
Chúa thấy lòng người trung thành tại trước mặt Chúa, và Chúa lập giao ước với người, đặng ban cho dòng dõi người xứ của dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Giê-bu-sít, và dân Ghi-rê-ga-sít; Chúa có làm ứng nghiệm lời của Chúa, vì Chúa là công bình.|你 見 他 在 你 面 前 心 裡 誠 實 、 就 與 他 立 約 、 應 許 把 迦 南 人 、 赫 人 、 亞 摩 利 人 、 比 利 洗 人 、 耶 布 斯 人 、 革 迦 撒 人 之 地 、 賜 給 他 的 後 裔 、 且 應 驗 了 你 的 話 ． 因 為 你 是 公 義 的 。
Chúa có thấy sự khốn khổ của tổ phụ chúng tôi tại Ê-díp-tô, có nghe tiếng kêu la của chúng tại bên Biển đỏ,|你 曾 看 見 我 們 列 祖 在 埃 及 所 受 的 困 苦 、 垂 聽 他 們 在 紅 海 邊 的 哀 求 、
làm những dấu kỳ phép lạ nơi Pha-ra-ôn, nơi đầy tớ người và nơi toàn dân sự của nước người; vì Chúa biết rằng họ có đối đãi tổ phụ chúng tôi cách kiêu căng, và Chúa có làm nổi danh Chúa như thể ngày nay.|就 施 行 神 蹟 奇 事 、 在 法 老 和 他 一 切 臣 僕 、 並 他 國 中 的 眾 民 身 上 ． 你 也 得 了 名 聲 、 正 如 今 日 一 樣 ． 因 為 你 知 道 他 們 向 我 們 列 祖 行 事 狂 傲 。
Chúa có phân rẽ biển trước mặt chúng nó, để chúng nó đi ngang qua giữa biển trên đất khô; còn những kẻ đuổi theo, Chúa bèn ném họ dưới vực sâu, như ném đá trong nước lớn.|你 又 在 我 們 列 祖 面 前 把 海 分 開 、 使 他 們 在 海 中 行 走 乾 地 、 將 追 趕 他 們 的 人 拋 在 深 海 、 如 石 頭 拋 在 大 水 中 。
Ban ngày, Chúa dẫn dắt chúng bằng một trụ mây, và ban đêm bằng một trụ lửa, để chiếu sáng cho chúng trong con đường phải đi theo.|並 且 白 晝 用 雲 柱 引 導 他 們 、 黑 夜 用 火 柱 照 亮 他 們 當 行 的 路 。
Chúa cũng giáng lâm tại trên núi Si-nai, phán với chúng từ trên trời, ban cho chúng những luật lệ ngay thẳng, pháp độ chơn thật, và những qui tắc cùng điều răn tốt lành.|你 也 降 臨 在 西 乃 山 、 從 天 上 與 他 們 說 話 、 賜 給 他 們 正 直 的 典 章 、 真 實 的 律 法 、 美 好 的 條 例 與 誡 命 ．
Chúa khiến cho chúng biết ngày sa-bát thánh của Chúa, cậy Môi-se, tôi tớ của Chúa, truyền cho chúng những điều răn, qui tắc, và luật pháp.|又 使 他 們 知 道 你 的 安 息 聖 日 、 並 藉 你 僕 人 摩 西 傳 給 他 們 誡 命 、 條 例 、 律 法 ．
Từ các từng trời, Chúa ban cho chúng bánh đặng ăn đói, khiến hòn đá chảy ra nước cho chúng uống khát, phán biểu chúng vào nhận lấy xứ mà Chúa đã thề ban cho chúng.|從 天 上 賜 下 糧 食 充 他 們 的 飢 、 從 磐 石 使 水 流 出 解 他 們 的 渴 、 又 吩 咐 他 們 進 去 得 你 起 誓 應 許 賜 給 他 們 的 地 。
Nhưng tổ phụ chúng tôi cư xử cách kiêu hãnh cứng cổ mình, không nghe các điều răn của Chúa,|但 我 們 的 列 祖 行 事 狂 傲 、 硬 著 頸 項 不 聽 從 你 的 誡 命 、
chẳng khứng vâng theo và không nhớ đến các phép lạ mà Chúa đã làm giữa chúng; nhưng chúng cứng cổ mình, và trong sự bội nghịch mình cắt một kẻ làm đầu đặng trở về nơi nô lệ của họ. Nhưng Chúa vốn một Đức Chúa Trời sẵn tha thứ, hay làm ơn, và thương xót, chậm nóng giận, và dư đầy nhân từ, Chúa không có lìa bỏ chúng.|不 肯 順 從 、 也 不 記 念 你 在 他 們 中 間 所 行 的 奇 事 、 竟 硬 著 頸 項 、 居 心 背 逆 自 立 首 領 、 要 回 他 們 為 奴 之 地 。 但 你 是 樂 意 饒 恕 人 、 有 恩 典 、 有 憐 憫 、 不 輕 易 發 怒 、 有 豐 盛 慈 愛 的 　 神 、 並 不 丟 棄 他 們 。
Dẫu khi chúng làm một con bò con đực, mà rằng: Nấy là thần đã dẫn các ngươi lên khỏi Ê-díp-tô, và chọc cho Chúa giận nhiều,|他 們 雖 然 鑄 了 一 隻 牛 犢 、 彼 此 說 、 這 是 領 你 出 埃 及 的 神 、 因 而 大 大 惹 動 你 的 怒 氣 ．
thì Chúa vì sự thương xót của Chúa, không lìa bỏ chúng trong đồng vắng; trụ mây dẫn đường ban ngày, không lìa khỏi trên chúng, hoặc trụ lửa lúc ban đêm chiếu sáng và chỉ cho chúng con đường chúng phải đi.|你 還 是 大 施 憐 憫 、 在 曠 野 不 丟 棄 他 們 、 白 晝 、 雲 柱 不 離 開 他 們 、 仍 引 導 他 們 行 路 ． 黑 夜 、 火 柱 也 不 離 開 他 們 、 仍 照 亮 他 們 當 行 的 路 。
Chúa cũng ban cho chúng Thần linh lương thiện của Chúa, để dạy dỗ cho chúng, không từ chối cho miệng chúng ăn ma-na, và ban cho chúng nước đặng uống khát.|你 也 賜 下 你 良 善 的 靈 教 訓 他 們 、 未 嘗 不 賜 嗎 哪 使 他 們 餬 口 、 並 賜 水 解 他 們 的 渴 。
Phải, Chúa nuôi dưỡng chúng bốn mươi năm trong đồng vắng: chúng chẳng thiếu thốn chi cả; quần áo chúng không cũ rách, và chơn chúng chẳng phù lên.|在 曠 野 四 十 年 、 你 養 育 他 們 、 他 們 就 一 無 所 缺 ． 衣 服 沒 有 穿 破 、 腳 也 沒 有 腫 。
Vả lại, Chúa ban cho chúng những nước và dân tộc, và phân phát nước ấy cho chúng; chúng nhận được nước của Si-hôn, tức nước của vua Hết-bôn, và nước của Oc, vua Ba-san.|並 且 你 將 列 國 之 地 照 分 賜 給 他 們 、 他 們 就 得 了 西 宏 之 地 、 希 實 本 王 之 地 、 和 巴 珊 王 噩 之 地 。
Chúa cũng thêm nhiều con cháu chúng đông như sao trên trời, đưa chúng vào xứ mà Chúa đã phán cùng tổ phụ chúng rằng chúng sẽ vào đó đặng nhận lấy xứ ấy.|你 也 使 他 們 的 子 孫 多 如 天 上 的 星 、 帶 他 們 到 你 所 應 許 他 們 列 祖 進 入 得 為 業 之 地 。
ậy, con cháu chúng bèn vào nhận lấy xứ, và Chúa bắt phục trước mặt họ các dân của xứ, là dân Ca-na-an, phó dân ấy và những vua chúng nó cùng các dân tộc của xứ vào tay họ, đặng họ đãi các dân ấy theo ý mình muốn.|這 樣 、 他 們 進 去 得 了 那 地 、 你 在 他 們 面 前 制 伏 那 地 的 居 民 、 就 是 迦 南 人 、 將 迦 南 人 、 和 其 君 王 、 並 那 地 的 居 民 、 都 交 在 他 們 手 裡 、 讓 他 們 任 意 而 待 。
Họ chiếm lấy những thành bền vững, và ruộng đất mầu mỡ, được những nhà đầy các vật tốt lành, nhưng giếng đào, vườn nho, vườn ô-li-ve, và cây trái rất nhiều; chúng ăn, bèn được no nê, và mập béo, vui lòng trong sự nhân từ lớn lao của Chúa.|他 們 得 了 堅 固 的 城 邑 、 肥 美 的 地 土 、 充 滿 各 樣 美 物 的 房 屋 、 鑿 成 的 水 井 、 葡 萄 園 、 橄 欖 園 、 並 許 多 果 木 樹 ． 他 們 就 喫 而 得 飽 、 身 體 肥 胖 、 因 你 的 大 恩 、 心 中 快 樂 。
Dầu vậy, chúng chẳng vâng theo, bèn phản nghịch với Chúa, ném bỏ luật pháp Chúa sau lưng, giết các đấng tiên tri của Chúa, là người làm chứng nghịch cùng họ đặng đem họ trở lại cùng Chúa; song chúng lại chọc giận Chúa nhiều thay.|然 而 他 們 不 順 從 、 竟 背 叛 你 、 將 你 的 律 法 、 丟 在 背 後 、 殺 害 那 勸 他 們 歸 向 你 的 眾 先 知 、 大 大 惹 動 你 的 怒 氣 。
Vì vậy, Chúa phó họ vào tay cừu địch của họ; chúng nó hà hiếp họ. Trong thời hoạn nạn chúng kêu cầu cùng Chúa, thì từ các từng trời Chúa có nghe đến; theo lòng nhân từ lớn lao của Chúa, Chúa bèn ban cho những đấng giải cứu để cứu chúng khỏi tay kẻ cừu địch mình.|所 以 你 將 他 們 交 在 敵 人 的 手 中 、 磨 難 他 們 ． 他 們 遭 難 的 時 候 、 哀 求 你 、 你 就 從 天 上 垂 聽 、 照 你 的 大 憐 憫 賜 給 他 們 拯 救 者 、 救 他 們 脫 離 敵 人 的 手 。
Nhưng khi chúng được an tịnh, bèn khởi làm lại điều ác trước mặt Chúa; vì vậy, Chúa bỏ chúng vào tay kẻ thù nghịch để quản hạt chúng; song khi chúng trở lại, kêu cầu cùng Chúa, thì Chúa từ trên trời nghe đến, và vì lòng thương xót Chúa, nên giải cứu chúng nhiều lần.|但 他 們 得 平 安 之 後 、 又 在 你 面 前 行 惡 ． 所 以 你 丟 棄 他 們 在 仇 敵 的 手 中 、 使 仇 敵 轄 制 他 們 。 然 而 他 們 轉 回 、 哀 求 你 、 你 仍 從 天 上 垂 聽 、 屢 次 照 你 的 憐 憫 拯 救 他 們 、
Chúa cũng làm chứng nghịch cùng chúng, để dẫn dắt chúng trở lại luật pháp của Ngài. Dầu vậy, chúng cư xử cách kiêu ngạo không nghe các điều răn Chúa, phạm đến luật lệ của Chúa, là luật lệ nếu người nào vâng làm theo, tất sẽ được sống; chúng ở chấp nhất, cứng cổ mình, và không khứng nghe theo.|又 警 戒 他 們 、 要 使 他 們 歸 服 你 的 律 法 ． 他 們 卻 行 事 狂 傲 、 不 聽 從 你 的 誡 命 、 干 犯 你 的 典 章 （ 人 若 遵 行 就 必 因 此 活 著 ） 扭 轉 肩 頭 、 硬 著 頸 項 、 不 肯 聽 從 。
Chúa dung thứ chúng nhiều năm và cậy Thần linh và các tiên tri của Chúa mà làm chứng nghịch cùng chúng; nhưng chúng không lắng tai nghe, nên Chúa phó chúng vào tay dân tộc của các xứ.|但 你 多 年 寬 容 他 們 、 又 用 你 的 靈 藉 眾 先 知 勸 戒 他 們 、 他 們 仍 不 聽 從 ． 所 以 你 將 他 們 交 在 列 國 之 民 的 手 中 。
Song, vì lòng thương xót lớn lao của Chúa, Chúa không có tận diệt chúng, cũng không lìa bỏ chúng; vì Chúa vốn là Đức Chúa Trời hay thương xót và nhơn từ.|然 而 你 大 發 憐 憫 、 不 全 然 滅 絕 他 們 、 也 不 丟 棄 他 們 ． 因 為 你 是 有 恩 典 、 有 憐 憫 的 　 神 。
