
					Giăng 1				|
Đức Chúa Jêsus vừa nghe lời đó, bèn phán rằng: Bịnh nầy không đến chết đâu, nhưng vì sự vinh hiển của Đức Chúa Trời, hầu cho Con Đức Chúa Trời bởi đó được sáng danh.|耶 穌 聽 見 就 說 、 這 病 不 至 於 死 、 乃 是 為 　 神 的 榮 耀 、 叫 　 神 的 兒 子 因 此 得 榮 耀 。
Vả, Đức Chúa Jêsus yêu Ma-thê, em người và La-xa-rơ.|耶 穌 素 來 愛 馬 大 、 和 他 妹 子 、 並 拉 撒 路 。
Khi Ngài nghe người nầy đau, bèn ở lại hai ngày nữa trong nơi Ngài đương ở.|聽 見 拉 撒 路 病 了 、 就 在 所 居 之 地 、 仍 住 了 兩 天 。
Rồi đó, Ngài phán cùng môn đồ rằng: Chúng ta hãy trở về xứ Giu-đê.|然 後 對 門 徒 說 、 我 們 再 往 猶 太 去 罷 。
Môn đồ thưa rằng: Thưa thầy, hôm trước dân Giu-đa tìm ném đá thầy, thầy còn trở lại nơi họ sao!|門 徒 說 、 拉 比 、 猶 太 人 近 來 要 拿 石 頭 打 你 、 你 還 往 那 裡 去 麼 。
Đức Chúa Jêsus đáp rằng: Trong ban ngày há chẳng phải có mười hai giờ sao? nếu ai đi ban ngày, thì không vấp vì thấy sự sáng của thế gian nầy.|耶 穌 回 答 說 、 白 日 不 是 有 十 二 小 時 麼 。 人 在 白 日 走 路 、 就 不 至 跌 倒 、 因 為 看 見 這 世 上 的 光 。
Nhưng nếu ai đi ban đêm, thì vấp, vì không có sự sáng.|若 在 黑 夜 走 路 、 就 必 跌 倒 、 因 為 他 沒 有 光 。
Ngài phán như vậy, rồi tiếp rằng: La-xa-rơ, bạn ta, đương ngủ; nhưng ta đi đánh thức người.|耶 穌 說 了 這 話 、 隨 後 對 他 們 說 、 我 們 的 朋 友 拉 撒 路 睡 了 、 我 去 叫 醒 他 。
Môn đồ thưa rằng: Thưa Chúa, nếu người ngủ, chắc sẽ được lành.|門 徒 說 、 主 阿 、 他 若 睡 了 、 就 必 好 了 。
Vả, Đức Chúa Jêsus phán lời đó chỉ về sự chết của La-xa-rơ; song môn đồ tưởng nói về giấc ngủ thường.|耶 穌 這 話 是 指 著 他 死 說 的 ． 他 們 卻 以 為 是 說 照 常 睡 了 。
Đức Chúa Jêsus bèn nói tỏ tường cùng môn đồ rằng: La-xa-rơ chết rồi.|耶 穌 就 明 明 的 告 訴 他 們 說 、 拉 撒 路 死 了 。
Ta vì các ngươi mừng không có ta tại đó, để cho các ngươi tin; nhưng chúng ta hãy đi đến cùng người.|我 沒 有 在 那 裡 就 歡 喜 、 這 是 為 你 們 的 緣 故 、 好 叫 你 們 相 信 ． 如 今 我 們 可 以 往 他 那 裡 去 罷 。
Nhơn đó, Thô-ma, gọi là Đi-đim, nói với môn đồ khác rằng: Chúng ta cũng hãy đi tới đó đặng chết với Ngài!|多 馬 、 又 稱 為 低 土 馬 、 就 對 那 同 作 門 徒 的 說 、 我 們 也 去 和 他 同 死 罷 。
Khi Đức Chúa Jêsus đến nơi, thấy đã chôn La-xa-rơ trong mộ bốn ngày rồi.|耶 穌 到 了 、 就 知 道 拉 撒 路 在 墳 墓 裡 、 已 經 四 天 了 。
Vả, thành Bê-tha-ni cách thành Giê-ru-sa-lem chỉ độ mười lăm ếch-ta-đơ.|伯 大 尼 離 耶 路 撒 泠 不 遠 、 約 有 六 里 路 。
Có nhiều người Giu-đa đã đến đó đặng yên ủi Ma-thê và Ma-ri về sự anh chết.|有 好 些 猶 太 人 來 看 馬 大 和 馬 利 亞 、 要 為 他 們 的 兄 弟 安 慰 他 們 。
Lúc Ma-thê nghe Đức Chúa Jêsus đến, thì đi đón Ngài; nhưng Ma-ri thì ngồi tại nhà.|馬 大 聽 見 耶 穌 來 了 、 就 出 去 迎 接 他 ． 馬 利 亞 卻 仍 然 坐 在 家 裡 。
Ma-thê thưa cùng Đức Chúa Jêsus rằng: Lạy Chúa, nếu Chúa có đây, thì anh tôi không chết;|馬 大 對 耶 穌 說 、 主 阿 、 你 若 早 在 這 裡 、 我 兄 弟 必 不 死 。
mà bây giờ tôi cùng biết mọi điều Ngài sẽ xin Đức Chúa Trời, Đức Chúa Trời ắt ban cho.|就 是 現 在 、 我 也 知 道 、 你 無 論 向 　 神 求 甚 麼 、 　 神 也 必 賜 給 你 。
Đức Chúa Jêsus phán rằng: Anh ngươi sẽ sống lại.|耶 穌 說 、 你 兄 弟 必 然 復 活 。
Ma-thê thưa rằng: Tôi vẫn biết rằng đến sự sống lại ngày cuối cùng, anh tôi sẽ sống lại.|馬 大 說 、 我 知 道 在 末 日 復 活 的 時 候 、 他 必 復 活 。
Đức Chúa Jêsus phán rằng: Ta là sự sống lại và sự sống; kẻ nào tin ta thì sẽ sống, mặc dầu đã chết rồi.|耶 穌 對 他 說 、 復 活 在 我 、 生 命 也 在 我 ． 信 我 的 人 、 雖 然 死 了 、 也 必 復 活 ．
Còn ai sống mà tin ta thì không hề chết. Ngươi tin điều đó chăng?|凡 活 著 信 我 的 人 、 必 永 遠 不 死 。 你 信 這 話 麼 。
Người thưa rằng: Lạy Chúa, phải, tôi tin Chúa là Đấng Christ, Con Đức Chúa Trời, là Đấng phải đến thế gian.|馬 大 說 、 主 阿 、 是 的 ． 我 信 你 是 基 督 、 是 　 神 的 兒 子 、 就 是 那 要 臨 到 世 界 的 。
Người nói xong, liền về, lén kêu em là Ma-ri, mà rằng: Thầy ở đằng kia, đương gọi em lại.|馬 大 說 了 這 話 、 就 回 去 暗 暗 的 叫 他 妺 子 馬 利 亞 說 、 夫 子 來 了 、 叫 你 。
Ma-ri vừa nghe mấy lời, vội vàng đứng dậy đến cùng Ngài.|馬 利 亞 聽 見 了 、 就 急 忙 起 來 、 到 耶 穌 那 裡 去 。
Vả, Đức Chúa Jêsus chưa vào trong làng, nhưng còn đứng nơi Ma-thê đón Ngài.|那 時 、 耶 穌 還 沒 有 進 村 子 、 仍 在 馬 大 迎 接 他 的 地 方 。
Khi những người Giu-đa đương ở trong nhà với Ma-ri và yên ủi người, thấy người đứng dậy đi ra vội vả như vậy, thì theo sau, vì nghĩ rằng người đến mộ đặng khóc.|那 些 同 馬 利 亞 在 家 裡 安 慰 他 的 猶 太 人 、 見 他 急 忙 起 來 出 去 、 就 跟 著 他 ． 以 為 他 要 往 墳 墓 那 裡 去 哭 。
Nhưng Ma-ri, lúc đã tới nơi Đức Chúa Jêsus đứng, vừa thấy Ngài, thì sấp mình xuống chơn Ngài mà nói rằng: Lạy Chúa, nếu có Chúa đây, thì anh tôi không chết!|馬 利 亞 到 了 耶 穌 那 裡 、 看 見 他 、 就 俯 伏 在 他 腳 前 、 說 、 主 阿 、 你 若 早 在 這 裡 、 我 兄 弟 必 不 死 。
Đức Chúa Jêsus thấy người khóc, và những người Giu-đa đi với người cũng khóc, bèn đau lòng cảm động mà phán rằng: Các ngươi đã chôn người ở đâu?|耶 穌 看 見 他 哭 、 並 看 見 與 他 同 來 的 猶 太 人 也 哭 、 就 心 裡 悲 歎 、 又 甚 憂 愁 ． 、
Chúng thưa rằng: Lạy Chúa, xin hãy lại coi.|便 說 、 你 們 把 他 安 放 在 那 裡 ． 他 們 回 答 說 、 請 主 來 看 。
Đức Chúa Jêsus khóc.|耶 穌 哭 了 。
Người Giu-đa bèn nói rằng: Kìa, người yêu La-xa-rơ là dường nào!|猶 太 人 就 說 、 你 看 他 愛 這 人 是 何 等 懇 切 。
Có một vài người trong chúng nói: Người đã mở mắt kẻ mù được, há chẳng có thể cũng làm cho người nầy không chết sao?|其 中 有 人 說 、 他 既 然 開 了 瞎 子 的 眼 睛 、 豈 不 能 叫 這 人 不 死 麼 。
Bấy giờ, Đức Chúa Jêsus lại đau lòng nữa, bèn đến phần mộ; mộ bằng một cái hang, trước cửa hang có một hòn đá chận lại.|耶 穌 又 心 裡 悲 歎 、 來 到 墳 墓 前 ． 那 墳 墓 是 個 洞 、 有 一 塊 石 頭 擋 著 。
Đức Chúa Jêsus phán rằng: Hãy lăn hòn đá đi. Ma-thê, là em gái kẻ chết, thưa rằng: Lạy Chúa, đã có mùi, vì người nằm đó bốn ngày rồi.|耶 穌 說 、 你 們 把 石 頭 挪 開 。 那 死 人 的 姐 姐 馬 大 對 他 說 、 主 阿 、 他 現 在 必 是 臭 了 、 因 為 他 死 了 已 經 四 天 了 。
Đức Chúa Jêsus lại phán: Ta há chẳng từng nói với ngươi rằng nếu ngươi tin thì sẽ thấy sự vinh hiển của Đức Chúa Trời sao?|耶 穌 說 、 我 不 是 對 你 說 過 、 你 若 信 、 就 必 看 見 　 神 的 榮 耀 麼 。
Vậy, họ lăn hòn đá đi. Đức Chúa Jêsus bèn nhướng mắt lên trời mà rằng: Thưa Cha, tôi tạ ơn Cha, vì đã nhậm lời tôi.|他 們 就 把 石 頭 挪 開 ． 耶 穌 舉 目 望 天 說 、 父 阿 、 我 感 謝 你 、 因 為 你 已 經 聽 我 。
Tôi biết rõ rằng Cha nhậm lời tôi luôn, nhưng tôi nói vậy là vì cớ đoàn dân nầy đứng chung quanh tôi, hầu cho họ tin rằng ấy chính Cha là Đấng đã sai tôi đến.|我 也 知 道 你 常 聽 我 、 但 我 說 這 話 、 是 為 周 圍 站 著 的 眾 人 、 叫 他 們 信 是 你 差 了 我 來 。
Khi Ngài nói xong, bèn kêu lên một tiếng lớn rằng: Hỡi La-xa-rơ, hãy ra!|說 了 這 話 、 就 大 聲 呼 叫 說 、 拉 撒 路 出 來 。
Người chết đi ra, chơn tay buộc bằng vải liệm và mặt thì phủ khăn. Đức Chúa Jêsus phán cùng chúng rằng: Hãy mở cho người, và để người đi.|那 死 人 就 出 來 了 、 手 腳 裹 著 布 、 臉 上 包 著 手 巾 。 耶 穌 對 他 們 說 、 解 開 、 叫 他 走 。
Có nhiều người Giu-đa đã đến cùng Ma-ri và thấy sự Đức Chúa Jêsus làm bèn tin Ngài.|那 些 來 看 馬 利 亞 的 猶 太 人 、 見 了 耶 穌 所 作 的 事 、 就 多 有 信 他 的 ．
Nhưng một vài người trong bọn đó đi tìm người Pha-ri-si, mách cho họ sự Đức Chúa Jêsus đã làm.|但 其 中 也 有 去 見 法 利 賽 人 的 、 將 耶 穌 所 作 的 事 告 訴 他 們 。
Các thầy tế lễ cả và người Pha-ri-si nhóm tòa công luận, bàn rằng: Người nầy làm phép lạ nhiều lắm, chúng ta tính thế nào?|祭 司 長 和 法 利 賽 人 聚 集 公 會 、 說 、 這 人 行 好 些 神 蹟 、 我 們 怎 麼 辦 呢 。
Nếu chúng ta để cho người làm, thì thiên hạ tin người, rồi dân Rô-ma sẽ đến diệt nơi nầy và cả nước chúng ta nữa.|若 這 樣 由 著 他 、 人 人 都 要 信 他 ． 羅 馬 人 也 要 來 奪 我 們 的 地 土 、 和 我 們 的 百 姓 。
Nhưng một người trong bọn họ, tên là Cai-phe, làm thầy cả thượng phẩm đương niên, nói rằng: Các ngươi chẳng biết gì hết!|內 中 有 一 個 人 、 名 叫 該 亞 法 、 本 年 作 大 祭 司 、 對 他 們 說 、 你 們 不 知 道 甚 麼 。
Các ngươi chẳng xét rằng thà một người vì dân chịu chết, còn hơn cả nước bị hư mất.|獨 不 想 一 個 人 替 百 姓 死 、 免 得 通 國 滅 亡 、 就 是 你 們 的 益 處 。
Vả, người nói điều đó chẳng phải tự mình, nhưng bởi làm thầy cả thượng phẩm đương niên, người nói tiên tri về Đức Chúa Jêsus sẽ vì dân mà chết;|他 這 話 不 是 出 於 自 己 、 是 因 他 本 年 作 大 祭 司 、 所 以 豫 言 耶 穌 將 要 替 這 一 國 死 。
và không những vì dân thôi, mà cũng để nhóm con cái Đức Chúa Trời đã tản lạc lại làm một đoàn.|也 不 但 替 這 一 國 死 、 並 要 將 　 神 四 散 的 子 民 、 都 聚 集 歸 一 。
Từ ngày đó, chúng lập mưu giết Ngài.|從 那 日 起 他 們 就 商 議 要 殺 耶 穌 。
Cho nên Đức Chúa Jêsus không tỏ mình rõ ràng trong vòng dân Giu-đa nữa, song Ngài đi trong miền gần đồng vắng, nơi một thành gọi là Ep-ra-im; và ở lại đó với môn đồ.|所 以 耶 穌 不 再 顯 然 行 在 猶 太 人 中 間 、 就 離 開 那 裡 往 靠 近 曠 野 的 地 方 去 ． 到 了 一 座 城 、 名 叫 以 法 蓮 、 就 在 那 裡 和 門 徒 同 住 。
Lễ Vượt Qua của dân Giu-đa gần đến, có lắm người trong xứ lên thành Giê-ru-sa-lem trước ngày lễ để tẩy uế.|猶 太 人 的 逾 越 節 近 了 ． 有 許 多 人 從 鄉 下 上 耶 路 撒 泠 去 、 要 在 節 前 潔 淨 自 己 。
Vậy, chúng kiếm Đức Chúa Jêsus, và đứng trong đền thờ, nói với nhau rằng: Các ngươi tưởng thế nào? Người không đến giữ lễ hay sao?|他 們 就 尋 找 耶 穌 、 站 在 殿 裡 彼 此 說 、 你 們 的 意 思 如 何 、 他 不 來 過 節 麼 。
Vả, các thầy tế lễ cả và người Pha-ri-si đã ra lịnh, nếu ai biết Đức Chúa Jêsus ở đâu, thì phải mách với họ, để họ bắt Ngài.|那 時 、 祭 司 長 和 法 利 賽 人 早 已 吩 咐 說 、 若 有 人 知 道 耶 穌 在 那 裡 、 就 要 報 明 、 好 去 拿 他 。

					Giăng 12				|
						約翰福音 12					
Sáu ngày trước lễ Vượt Qua, Đức Chúa Jêsus đến thành Bê-tha-ni, nơi La-xa-rơ ở, là người Ngài đã khiến sống lại từ kẻ chết.|逾 越 節 前 六 日 、 耶 穌 來 到 伯 大 尼 、 就 是 他 叫 拉 撒 路 從 死 裡 復 活 之 處 。
Người ta đãi tiệc Ngài tại đó, và Ma-thê hầu hạ; La-xa-rơ là một người trong đám ngồi đồng bàn với Ngài.|有 人 在 那 裡 給 耶 穌 豫 備 筵 席 ． 馬 大 伺 候 、 拉 撒 路 也 在 那 同 耶 穌 坐 席 的 人 中 。
Bấy giờ, Ma-ri lấy một cân dầu cam tùng hương thật, quí giá, xức chơn Đức Chúa Trời, và lấy tóc mình mà lau; cả nhà thơm nức mùi dầu đó.|馬 利 亞 就 拿 著 一 斤 極 貴 的 真 哪 噠 香 膏 、 抹 耶 穌 的 腳 、 又 用 自 己 頭 髮 去 擦 ． 屋 裡 就 滿 了 膏 的 香 氣 。
Nhưng Giu-đa Ích-ca-ri-ốt, là một môn đồ về sau phản Ngài, nói rằng:|有 一 個 門 徒 、 就 是 那 將 要 賣 耶 穌 的 加 略 人 猶 大 、
Sao không bán dầu thơm đó lấy ba trăm đơ-ni-ê đặng bố thí cho kẻ nghèo?|說 、 這 香 膏 為 甚 麼 不 賣 三 十 兩 銀 子 賙 濟 窮 人 呢 。
Người nói vậy, chẳng phải là cho kẻ nghèo đâu, song vì người vốn là tay trộm cướp, và giữ túi bạc, trộm lấy của người ta để ở trong.|他 說 這 話 、 並 不 是 掛 念 窮 人 、 乃 因 他 是 個 賊 、 又 帶 著 錢 囊 、 常 取 其 中 所 存 的 。
Đức Chúa Jêsus đáp rằng: Hãy để mặc người, người đã để dành dầu thơm nầy cho ngày chôn xác ta.|耶 穌 說 、 由 他 罷 、 他 是 為 我 安 葬 之 日 存 留 的 。
Vì các ngươi thường có kẻ nghèo ở với mình, còn ta, các ngươi không có ta luôn luôn.|因 為 常 有 窮 人 和 你 們 同 在 ． 只 是 你 們 不 常 有 我 。
Một bọn người Giu-đa nghe Đức Chúa Jêsus có tại đó, bèn đến, chẳng những vì Ngài thôi, lại cũng để xem La-xa-rơ, là người Ngài đã khiến từ kẻ chết sống lại.|有 許 多 猶 太 人 知 道 耶 穌 在 那 裡 、 就 來 了 、 不 但 是 為 耶 穌 的 緣 故 、 也 是 要 看 他 從 死 裡 所 復 活 的 拉 撒 路 。
Các thầy tế lễ cả bèn định giết luôn La-xa-rơ nữa,|但 祭 司 長 商 議 連 拉 撒 路 也 要 殺 了 ．
vì có nhiều người Giu-đa nhơn cớ người mà chia rẽ họ và tin theo Đức Chúa Jêsus.|因 有 好 些 猶 太 人 、 為 拉 撒 路 的 緣 故 、 回 去 信 了 耶 穌 。
Qua ngày sau, có một đám dân đông đến đặng dự lễ, biết Đức Chúa Jêsus lên thành Giê-ru-sa-lem,|第 二 天 有 許 多 上 來 過 節 的 人 、 聽 見 耶 穌 將 到 耶 路 撒 冷 、
bèn lấy những lá kè ra đón Ngài, và reo lên rằng: Hô-sa-na! Chúc phước cho Đấng nhơn danh Chúa mà đến, là Vua của Y-sơ-ra-ên!|就 拿 著 棕 樹 枝 、 出 去 迎 接 他 、 喊 著 說 、 和 散 那 、 奉 主 名 來 的 以 色 列 王 、 是 應 當 稱 頌 的 。
Đức Chúa Jêsus gặp một con lừa con, bèn lên cỡi, y như lời chép rằng:|耶 穌 得 了 一 個 驢 駒 、 就 騎 上 ． 如 經 上 所 記 的 說 、
Hỡi con gái thành Si-ôn, chớ sợ chi, nầy, Vua ngươi đến, cỡi trên lừa con của lừa cái.|『 錫 安 的 民 哪 、 〔 民 原 文 作 女 子 〕 不 要 懼 怕 、 你 的 王 騎 著 驢 駒 來 了 。 』
Môn đồ trước vốn không hiểu điều đó; nhưng đến khi Đức Chúa Jêsus đã được vinh hiển, mới nhớ lại những sự đó đã chép về Ngài, và người ta đã làm thành cho Ngài.|這 些 事 門 徒 起 先 不 明 白 ． 等 到 耶 穌 得 了 榮 耀 以 後 、 纔 想 起 這 話 是 指 著 他 寫 的 、 並 且 眾 人 果 然 向 他 這 樣 行 了 。
Đoàn dân ở cùng Ngài, khi Ngài kêu La-xa-rơ ra khỏi mộ và khiến từ kẻ chết sống lại, đều làm chứng về Ngài.|當 耶 穌 呼 喚 拉 撒 路 叫 他 從 死 復 活 出 墳 墓 的 時 候 、 同 耶 穌 在 那 裡 的 眾 人 、 就 作 見 證 。
Ay cũng tại điều đó mà đoàn dân đi đón Ngài, vì có nghe rằng Ngài đã làm phép lạ ấy.|眾 人 因 聽 見 耶 穌 行 了 這 神 蹟 、 就 去 迎 接 他 。
Nhơn đó, người Pha-ri-si nói với nhau rằng: Các ngươi thấy mình chẳng làm nổi chi hết; kìa, cả thiên hạ đều chạy theo người!|法 利 賽 人 彼 此 說 、 看 哪 、 你 們 是 徒 勞 無 益 、 世 人 都 隨 從 他 去 了 。
Vả, trong đám đã lên đặng thờ lạy trong kỳ lễ, có mấy người Gờ-réc,|那 時 、 上 來 過 節 禮 拜 的 人 中 、 有 幾 個 希 利 尼 人 。
đến tìm Phi-líp, là người ở thành Bết-sai-đa, thuộc xứ Ga-li-lê, mà xin rằng: Thưa chúa, chúng tôi muốn ra mắt Đức Chúa Jêsus.|他 們 來 見 加 利 利 伯 賽 大 的 腓 力 、 求 他 說 、 先 生 、 我 們 願 意 見 耶 穌 。
Phi-líp đi nói với Anh-rê; rồi Anh-rê với Phi-líp đến thưa cùng Đức Chúa Jêsus.|腓 力 去 告 訴 安 得 烈 、 安 得 烈 同 腓 力 去 告 訴 耶 穌 。
Đức Chúa Jêsus bèn đáp rằng: Giờ đã đến, khi Con người sẽ được vinh hiển.|耶 穌 說 、 人 子 得 榮 耀 的 時 候 到 了 。
Quả thật, quả thật, ta nói cùng các ngươi, nếu hột giống lúa mì kia, chẳng chết sau khi gieo xuống đất, thì cứ ở một mình; nhưng nếu chết đi, thì kết quả được nhiều.|我 實 實 在 在 的 告 訴 你 們 、 一 粒 麥 子 不 落 在 地 裡 死 了 、 仍 舊 是 一 粒 ． 若 是 死 了 、 就 結 出 許 多 子 粒 來 。
Ai yêu sự sống mình thì sẽ mất đi, ai ghét sự sống mình trong đời nầy thì sẽ giữ lại đến sự sống đời đời.|愛 惜 自 己 生 命 的 、 就 失 喪 生 命 ． 在 這 世 上 恨 惡 自 己 生 命 的 、 就 要 保 守 生 命 到 永 生 。
Nếu ai hầu việc ta, thì phải theo ta, và ta ở đâu, thì kẻ hầu việc ta cũng sẽ ở đó; nếu ai hầu việc ta, thì Cha ta ắt tôn quí người.|若 有 人 服 事 我 、 就 當 跟 從 我 ． 我 在 那 裡 、 服 事 我 的 人 、 也 要 在 那 裡 ． 若 有 人 服 事 我 、 我 父 必 尊 重 他 。
Hiện nay tâm thần ta bối rối; ta sẽ nói gì? Lạy Cha, xin cứu Con khỏi giờ nầy! nhưng ấy cũng vì sự đó mà Con đến giờ nầy!|我 現 在 心 裡 憂 愁 、 我 說 甚 麼 纔 好 呢 ． 父 阿 、 救 我 脫 離 這 時 候 ． 但 我 原 是 為 這 時 候 來 的 。
Cha ơi, xin làm sáng danh Cha! Bấy giờ có tiếng từ trên trời phán xuống rằng: Ta đã làm sáng danh rồi, ta còn làm cho sáng danh nữa!|父 阿 、 願 你 榮 耀 你 的 名 ． 當 時 就 有 聲 音 從 天 上 來 說 、 我 已 經 榮 耀 了 我 的 名 、 還 要 再 榮 耀 。
Đoàn dân ở tại đó nghe tiếng thì nói rằng ấy là tiếng sấm; có kẻ khác nói: Một vị thiên sứ nào nói với Ngài.|站 在 旁 邊 的 眾 人 聽 見 、 就 說 、 打 雷 了 ． 還 有 人 說 、 有 天 使 對 他 說 話 。
Đức Chúa Jêsus cất tiếng phán rằng: Ay chẳng phải vì ta mà tiếng nầy vang ra, nhưng vì các ngươi.|耶 穌 說 、 這 聲 音 不 是 為 我 、 是 為 你 們 來 的 。
Hiện bây giờ, có sự phán xét thế gian nầy, và hiện nay vua chúa của thế gian nầy phải bị xua đuổi.|現 在 這 世 界 受 審 判 ． 這 世 界 的 王 要 被 趕 出 去 。
Còn ta, khi ta đã được treo lên khỏi đất, ta sẽ kéo mọi người đến cùng ta.|我 若 從 地 上 被 舉 起 來 、 就 要 吸 引 萬 人 來 歸 我 。
Ngài phán vậy để chỉ mình phải chết cách nào.|耶 穌 這 話 原 是 指 著 自 己 將 要 怎 樣 死 說 的 。
Đoàn dân thưa rằng: Chúng tôi có họ trong luật pháp rằng Đấng Christ còn đời đời, vậy sao thầy nói Con người phải bị treo lên? Con người đó là ai?|眾 人 回 答 說 、 我 們 聽 見 律 法 上 有 話 說 基 督 是 永 存 的 ． 你 怎 麼 說 人 子 必 須 被 舉 起 來 呢 ． 這 人 子 是 誰 呢 。
Đức Chúa Jêsus bèn đáp rằng: Sự sáng còn ở giữa các ngươi ít lâu; hãy đi trong khi các ngươi còn có sự sáng, e rằng sự tối tăm đến thình lình cùng các ngươi chăng; kẻ đi trong nơi tối tăm thì chẳng biết mình đi đâu.|耶 穌 對 他 們 說 、 光 在 你 們 中 間 、 還 有 不 多 的 時 候 、 應 當 趁 著 有 光 行 走 、 免 得 黑 暗 臨 到 你 們 ． 那 在 黑 暗 裡 行 走 的 、 不 知 道 往 何 處 去 。
Các ngươi đương có sự sáng, hãy tin sự sáng, hầu cho trở nên con cái của sự sáng. Đức Chúa Jêsus phán như vậy, rồi đi, và ẩn mình cách xa họ.|你 們 應 當 趁 著 有 光 、 信 從 這 光 、 使 你 們 成 為 光 明 之 子 。
Vả, dẫu Ngài đã làm bấy nhiêu phép lạ trước mặt chúng, họ cũng không tin Ngài,|耶 穌 說 了 這 話 、 就 離 開 他 們 、 隱 藏 了 。 他 雖 然 在 他 們 面 前 行 了 許 多 神 蹟 、 他 們 還 是 不 信 他 。
để được ứng nghiệm lời nầy của đấng tiên tri Ê-sai: Lạy Chúa, ai đã tin lời giảng chúng tôi, Và cánh tay Chúa đã tỏ ra cho ai?|這 是 要 應 驗 先 知 以 賽 亞 的 話 、 說 、 『 主 阿 、 我 們 所 傳 的 、 有 誰 信 呢 ． 主 的 膀 臂 向 誰 顯 露 呢 。 』
Vả lại, chúng không thể tin, vì Ê-sai lại có nói rằng:|他 們 所 以 不 能 信 、 因 為 以 賽 亞 又 說 、
Ngài đã khiến mắt họ mù, lòng họ cứng, Hầu cho mắt chẳng thấy, lòng chẳng hiểu, Không tự hối cải, Và ta chẳng chữa lành cho.|『 主 叫 他 們 瞎 了 眼 、 硬 了 心 、 免 得 他 們 眼 睛 看 見 、 心 裡 明 白 、 回 轉 過 來 、 我 就 醫 治 他 們 。 』
Ê-sai nói điều đó, khi thấy sự vinh hiển của Ngài và nói về Ngài.|以 賽 亞 因 為 看 見 他 的 榮 耀 、 就 指 著 他 說 這 話 。
Nhưng, trong hàng quan trưởng cũng có nhiều người tin Đức Chúa Jêsus; song vì cớ người Pha-ri-si, nên không xưng Ngài ra, sợ bị đuổi khỏi nhà hội chăng.|雖 然 如 此 、 官 長 中 卻 有 好 些 信 他 的 ． 只 因 法 利 賽 人 的 緣 故 、 就 不 承 認 、 恐 怕 被 趕 出 會 堂 。
Vì họ chuộng danh vọng bởi người ta đến hơn là danh vọng bởi Đức Chúa Trời đến.|這 是 因 他 們 愛 人 的 榮 耀 、 過 於 愛 　 神 的 榮 耀 。
Tuy vậy, Đức Chúa Jêsus cất tiếng phán rằng: Ai tin ta, chẳng phải tin ta, nhưng tin Đấng đã sai ta đến.|耶 穌 大 聲 說 、 信 我 的 、 不 是 信 我 、 乃 是 信 那 差 我 來 的 。
Còn ai thấy ta, là thấy Đấng đã sai ta đến.|人 看 見 我 、 就 是 看 見 那 差 我 來 的 。
Ta là sự sáng đã đến thế gian, để ai tin ta, chẳng ở nơi tối tăm nữa.|我 到 世 上 來 、 乃 是 光 、 叫 凡 信 我 的 不 住 在 黑 暗 裡 。
Lại nếu kẻ nào nghe lời ta mà không vâng giữ ấy chẳng phải ta xét đoán kẻ đó; vì ta đến chẳng để xét đoán thế gian, nhưng để cứu chuộc.|若 有 人 聽 見 我 的 話 不 遵 守 、 我 不 審 判 他 ． 我 來 本 不 是 要 審 判 世 界 、 乃 是 要 拯 救 世 界 。
Người nào bỏ ta ra và không nhận lãnh lời ta, đã có kẻ xét đoán rồi; lời ta đã rao giảng, chính lời đó sẽ xét đoán họ nơi ngày sau cùng.|棄 絕 我 不 領 受 我 話 的 人 、 有 審 判 他 的 ． 就 是 我 所 講 的 道 、 在 末 日 要 審 判 他 。
Bởi ta chẳng nói theo ý riêng ta; nhưng Cha sai ta đến, đã truyền lịnh cho ta phải nói điều chi và phải nói thể nào.|因 為 我 沒 有 憑 著 自 己 講 ． 惟 有 差 我 來 的 父 、 已 經 給 我 命 令 、 叫 我 說 甚 麼 、 講 甚 麼 。
Ta biết mạng lịnh Cha, ấy là sự sống đời đời. Vậy, những điều ta nói, thì nói theo như Cha ta đã dặn.|我 也 知 道 他 的 命 令 就 是 永 生 ． 故 此 我 所 講 的 話 、 正 是 照 著 父 對 我 所 說 的 。

					Giăng 13				|
						約翰福音 13					
Trước ngày lễ Vượt Qua, Đức Chúa Jêsus biết giờ mình phải lìa thế gian đặng trở về cùng Đức Chúa Cha đến rồi; Ngài đã yêu kẻ thuộc về mình trong thế gian, thì cứ yêu cho đến cuối cùng.|逾 越 節 以 前 、 耶 穌 知 道 自 己 離 世 歸 父 的 時 候 到 了 ． 他 既 然 愛 世 間 屬 自 己 的 人 、 就 愛 他 們 到 底 。
Đương bữa ăn tối ,|喫 晚 飯 的 時 候 、 （ 魔 鬼 已 將 賣 耶 穌 的 意 思 、 放 在 西 門 的 兒 子 加 略 人 猶 大 心 裡 ）
Đức Chúa Jêsus biết rằng Cha đã giao phó mọi sự trong tay mình, và mình sẽ về với Đức Chúa Trời,|耶 穌 知 道 父 已 將 萬 有 交 在 他 手 裡 、 且 知 道 自 己 是 從 　 神 出 來 的 、 又 要 歸 到 　 神 那 裡 去 、
nên đứng dậy khỏi bàn, cởi áo ra, lấy khăn vấn ngang lưng mình.|就 離 席 站 起 來 脫 了 衣 服 、 拿 一 條 手 巾 束 腰 。
