
					II Sử Ký 1				|
Nầy thầy tế lễ cả A-ma-ria, sẽ quản lý những việc thuộc về Đức Giê-hô-va, và Xê-ba-đia, con trai Ích-ma-ên, trưởng tộc chi phái Giu-đa, sẽ quản lý những việc thuộc về vua; trước mặt các ngươi cũng có những người Lê-vi làm quan cai. Các ngươi khác làm việc cách can đởm, và Đức Giê-hô-va sẽ ở cùng người thiện.|凡 屬 耶 和 華 的 事 、 有 大 祭 司 亞 瑪 利 雅 管 理 你 們 ． 凡 屬 王 的 事 、 有 猶 大 支 派 的 族 長 以 實 瑪 利 的 兒 子 西 巴 第 雅 管 理 你 們 ． 在 你 們 面 前 有 利 未 人 作 官 長 ． 你 們 應 當 壯 膽 辦 事 、 願 耶 和 華 與 善 人 同 在 。

					II Sử Ký 20				|
						歷代志下 20					
Sau các việc này, xảy có dân Mô-áp, dân Am-môn, và những người Mao-nít ở cùng họ, kéo đến đặng đánh giặc với Giô-sa-phát|此 後 、 摩 押 人 和 亞 捫 人 、 又 有 米 烏 尼 人 、 一 同 來 攻 擊 約 沙 法 。
Bấy giờ, có người đến thuật cho Giô-sa-phát, mà rằng: Có một đám quân rất đông từ bên bờ kia của biển, từ nước Sy-ri, mà đến hạm đánh vua; kìa chúng đương ở tại Hát-sát-son-Tha-ma, cũng gọi là En-ghê-đi.|有 人 來 報 告 約 沙 法 說 、 從 海 外 亞 蘭 〔 亞 蘭 又 作 以 東 〕 那 邊 有 大 軍 來 攻 擊 你 、 如 今 他 們 在 哈 洗 遜 他 瑪 、 就 是 隱 基 底 。
Giô-sa-phát sợ hãi, và rao khắp xứ Giu-đa phải kiêng ăn một ngày.|約 沙 法 便 懼 怕 、 定 意 尋 求 耶 和 華 ． 在 猶 大 全 地 宣 告 禁 食 。
Giu-đa nhóm lại đặng cầu Đức Giê-hô-va cứu giúp; người ta ở các thành Giu-đa đều đến đặng tìm cầu Đức Giê-hô-va.|於 是 猶 大 人 聚 會 、 求 耶 和 華 幫 助 ． 猶 大 各 城 都 有 人 出 來 尋 求 耶 和 華 。
Giô-sa-phát đứng trong hội chúng Giu-đa và Giê-ru-sa-lem, tại trong đền của Đức Giê-hô-va, trước hành lang mới,|約 沙 法 在 猶 大 和 耶 路 撒 冷 的 會 中 、 站 在 耶 和 華 殿 的 新 院 前 、
mà cầu nguyện rằng: Lạy Giê-hô-va Đức Chúa Trời của tổ phụ chúng tôi! Ngài há chẳng phải là Chúa ở trên các từng trời sao? Há chẳng phải Đấng quản trị muôn dân muôn nước sao? Ở nơi tay Chúa có quyền thế năng lực, chẳng ai chống trả Chúa cho nổi.|說 、 耶 和 華 我 們 列 祖 的 　 神 阿 、 你 不 是 天 上 的 　 神 麼 ． 你 不 是 萬 邦 萬 國 的 主 宰 麼 。 在 你 手 中 有 大 能 大 力 、 無 人 能 抵 擋 你 。
Hỡi Đức Chúa Trời chúng tôi! Ngài há chẳng phải đã đuổi dân ở xứ này khỏi trước mặt dân Y-sơ-ra-ên của Ngài, mà ban xứ ấy cho dòng dõi Ap-ra-ham, là bạn hữu Chúa, làm sản nghiệp đời đời sao?|我 們 的 　 神 阿 、 你 不 是 曾 在 你 民 以 色 列 人 面 前 驅 逐 這 地 的 居 民 、 將 這 地 賜 給 你 朋 友 亞 伯 拉 罕 的 後 裔 永 遠 為 業 麼 。
Chúng đã ở đó, và đã cất cho danh Chúa một đền thánh mà rằng:|他 們 住 在 這 地 、 又 為 你 的 名 建 造 聖 所 、 說 、
Nếu tai họa giáng trên chúng tôi, hoặc gươm giáo, hoặc sự đoán phạt, hoặc dịch hạch, hay là cơn đói kém, thì chúng tôi sẽ đứng trước đền này và trước mặt Chúa , mà kêu cầu Chúa trong sự gian nan chúng tôi, thì Chúa sẽ dủ nghe và giải cứu cho.|倘 有 禍 患 臨 到 我 們 、 或 刀 兵 災 殃 、 或 瘟 疫 饑 荒 、 我 們 在 急 難 的 時 候 、 站 在 這 殿 前 向 你 呼 求 、 你 必 垂 聽 而 拯 救 ． 因 為 你 的 名 在 這 殿 裡 。
Trong lúc dân Y-sơ-ra-ên từ xứ Ê-díp-tô lên, Chúa có cấm họ loán đến xứ dân Am-môn, dân Mô-áp, và người ở núi Sê -i-rơ; dân Y-sơ-ra-ên xây khỏi chúng nó, không diệt chúng nó đi;|從 前 以 色 列 人 出 埃 及 地 的 時 候 、 你 不 容 以 色 列 人 侵 犯 亞 捫 人 、 摩 押 人 、 和 西 珥 山 人 ． 以 色 列 人 就 離 開 他 們 、 不 滅 絕 他 們 。
kìa, chúng nó báo lại chúng tôi dường nào, đến toan đuổi chúng tôi khỏi sản nghiệp Chúa đã ban cho chúng tôi nhận lấy.|看 哪 、 他 們 怎 樣 報 復 我 們 、 要 來 驅 逐 我 們 出 離 你 的 地 、 就 是 你 賜 給 我 們 為 業 之 地 。
Hỡi Đức Chúa Trời chúng tôi ôi, chớ thì Ngài sẽ không xét đoán chúng nó sao? Vì nơi chúng tôi chẳng còn sức lực gì đối địch cùng đám quân đông đảo này đương đến hãm đánh chúng tôi, và chúng tôi cũng không biết điều gì mình phải làm; nhưng con mắt chúng tôi ngửa trông Chúa!|我 們 的 　 神 阿 、 你 不 懲 罰 他 們 麼 ． 因 為 我 們 無 力 抵 擋 這 來 攻 擊 我 們 的 大 軍 ． 我 們 也 不 知 道 怎 樣 行 、 我 們 的 眼 目 、 單 仰 望 你 。
Cả Giu-đa đều đứng tại trước mặt Đức Giê-hô-va với các đứa nhỏ, vợ, và con cái mình.|猶 大 眾 人 、 和 他 們 的 嬰 孩 、 妻 子 、 兒 女 、 都 站 在 耶 和 華 面 前 。
Bấy giờ, tại giữa hội chúng, Thần Đức Giê-hô-va cảm động Gia-ha-xi-ên, con trai Xa-cha-ri, cháu Bê-na-gia, chắt Giê-hi-ên, chít Ma-tha-nia, là người Lê-vi thuộc về dòng A-sáp,|那 時 、 耶 和 華 的 靈 在 會 中 臨 到 利 未 人 亞 薩 的 後 裔 瑪 探 雅 的 元 孫 耶 利 的 曾 孫 比 拿 雅 的 孫 子 撒 迦 利 雅 的 兒 子 雅 哈 悉 ．
mà phán rằng: Hỡi các người Giu-đa và dân cư thành Giê-ru-sa-lem, cùng vua Giô-sa-phát, hãy nghe! Đức Giê-hô-va phán cho các ngươi như vầy: Chớ sợ, chớ kinh hãi bởi cớ đám quân đông đảo này: vì trận giặc này chẳng phải của các ngươi đâu, bèn là của Đức Chúa Trời.|他 說 、 猶 大 眾 人 、 耶 路 撒 冷 的 居 民 、 和 約 沙 法 王 、 你 們 請 聽 、 耶 和 華 對 你 們 如 此 說 、 不 要 因 這 大 軍 恐 懼 、 驚 惶 、 因 為 勝 敗 不 在 乎 你 們 、 乃 在 乎 　 神 。
Ngày mai, hãy đi xuống đón chúng nó: kìa, chúng nó đi lên dốc Xít, các ngươi sẽ gặp chúng nó nơi đầu trũng, trước mặt đồng vắng Giê-ru-ên.|明 日 你 們 要 下 去 迎 敵 ． 他 們 是 從 洗 斯 坡 上 來 ． 你 們 必 在 耶 魯 伊 勒 曠 野 前 的 谷 口 遇 見 他 們 。
Trong trận này các ngươi sẽ chẳng cần gì tranh chiến; hãy dàn ra, đứng yên lặng mà xem thấy sự giải cứu của Đức Giê-hô-va ở cùng các ngươi. Hỡi Giu-đa và Giê-ru-sa-lem! chớ sợ, chớ kinh hãi; ngày mai, hãy đi ra đón chúng nó, vì Đức Giê-hô-va ở cùng các ngươi.|猶 大 和 耶 路 撒 冷 人 哪 、 這 次 你 們 不 要 爭 戰 、 要 擺 陣 站 著 、 看 耶 和 華 為 你 們 施 行 拯 救 ． 不 要 恐 懼 、 也 不 要 驚 惶 ． 明 日 當 出 去 迎 敵 ． 因 為 耶 和 華 與 你 們 同 在 。
Giô-sa-phát bèn cúi sấp mặt xuống đất; và cả Giu-đa và dân cư thành Giê-ru-sa-lem đều sấp mặt xuống trước mặt Đức Giê-hô-va, mà thờ lạy Ngài.|約 沙 法 就 面 伏 於 地 ． 猶 大 眾 人 和 耶 路 撒 冷 的 居 民 、 也 俯 伏 在 耶 和 華 面 前 、 叩 拜 耶 和 華 。
Người Lê-vi về dòng Kê-hát và về dòng Cô-rê đều đứng dậy cất tiếng lớn mà khen ngợi Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên.|哥 轄 族 和 可 拉 族 的 利 未 人 都 起 來 、 用 極 大 的 聲 音 讚 美 耶 和 華 以 色 列 的 　 神 。
Buổi sớm mai, chúng đều chổi dậy thật sớm, kéo ra đồng vắng Thê-cô -a; đương lúc chúng đi, Giô-sa-phát đứng tại đó, mà nói rằng: Hỡi người Giu-đa và dân cư thành Giê-ru-sa-lem! hãy nghe ta: Khá tin cậy Giê-hô-va Đức Chúa Trời các ngươi, thì các ngươi sẽ vững chắc; hãy tin các đấng tiên tri Ngài, thì các ngươi sẽ được may mắn.|次 日 清 早 眾 人 起 來 、 往 提 哥 亞 的 曠 野 去 ． 出 去 的 時 候 、 約 沙 法 站 著 說 、 猶 大 人 和 耶 路 撒 冷 的 居 民 哪 、 要 聽 我 說 、 信 耶 和 華 你 們 的 　 神 、 就 必 立 穩 ． 信 他 的 先 知 就 必 亨 通 。
Khi người đã bàn nghị với dân sự, bèn lập những người ca xướng cho Đức Giê-hô-va mặc áo lễ thánh mà đi ra trước cơ binh ngợi khen Chúa rằng: Hãy ngợi khen Đức Giê-hô-va, vì sự thương xót Ngài hằng có đời đời.|約 沙 法 既 與 民 商 議 了 、 就 設 立 歌 唱 的 人 、 頌 讚 耶 和 華 、 使 他 們 穿 上 聖 潔 的 禮 服 、 走 在 軍 前 讚 美 耶 和 華 、 說 、 當 稱 謝 耶 和 華 ． 因 他 的 慈 愛 永 遠 長 存 。
Đương lúc chúng khởi ca hát và ngợi khen thì Đức Giê-hô-va đặt phục binh xông vào dân Am-môn, dân Mô-áp và những kẻ ở núi Sê -i-rơ đã đến hãm đánh Giu-đa; và các dân ấy đều bị bại.|眾 人 方 唱 歌 讚 美 的 時 候 、 耶 和 華 就 派 伏 兵 擊 殺 那 來 攻 擊 猶 大 人 的 亞 捫 人 、 摩 押 人 、 和 西 珥 山 人 ． 他 們 就 被 打 敗 了 。
Dân Am-môn và dân Mô-áp dấy lên đánh dân ở núi Sê -i-rơ, đặng diệt chúng nó đi; khi đã diệt dân ở Sê -i-rơ rồi, thì chúng lại trở giết lẫn nhau.|因 為 亞 捫 人 和 摩 押 人 起 來 、 擊 殺 住 西 珥 山 的 人 、 將 他 們 滅 盡 ． 滅 盡 住 西 珥 山 的 人 之 後 、 他 們 又 彼 此 自 相 擊 殺 。
Khi dân Giu-đa đến tháp canh nơi đồng vắng, nhìn đến đám quân đông đảo, thì thấy những thây nằm sãi trên đất, chẳng có một ai thoát khỏi được.|猶 大 人 來 到 曠 野 的 望 樓 、 向 那 大 軍 觀 看 、 見 屍 橫 遍 地 、 沒 有 一 個 逃 脫 的 。
Giô-sa-phát và dân sự người đến cướp lấy tài vật của chúng, thấy có nhiều của cải, xác chết, và đồ quí báu, bèn cướp lấy cho đến chừng đem đi không đặng; họ cướp lấy tài vật trong ba ngày, vì là rất nhiều.|約 沙 法 和 他 的 百 姓 就 來 收 取 敵 人 的 財 物 、 在 屍 首 中 見 了 許 多 財 物 、 珍 寶 、 他 們 剝 脫 下 來 的 多 得 不 可 攜 帶 、 因 為 甚 多 、 直 收 取 了 三 日 。
Qua ngày thứ tư, họ nhóm hiệp tại trũng Bê-ra-ca đặt tên chỗ đó là trũng Bê-ra-ca cho đến, ngày nay.|第 四 日 眾 人 聚 集 在 比 拉 迦 〔 就 是 稱 頌 的 意 思 〕 谷 、 在 那 裡 稱 頌 耶 和 華 ． 因 此 那 地 方 名 叫 比 拉 迦 谷 、 直 到 今 日 。
Hết thảy người Giu-đa và người Giê-ru-sa-lem cùng Giô-sa-phát đi đầu trước, trở về Giê-ru-sa-lem cách vui vẻ; vì Đức Giê-hô-va đã làm cho chúng vui mừng, vì cớ quân thù nghịch mình bị đánh bại.|猶 大 人 、 和 耶 路 撒 冷 人 、 都 歡 歡 喜 喜 地 回 耶 路 撒 冷 、 約 沙 法 率 領 他 們 ． 因 為 耶 和 華 使 他 們 戰 勝 仇 敵 、 就 歡 喜 快 樂 。
Chúng gảy đờn cầm, đờn sắt, và thổi sáo mà trở về Giê-ru-sa-lem, đến đền của Đức Giê-hô-va.|他 們 彈 琴 、 鼓 瑟 、 吹 號 來 到 耶 路 撒 冷 、 進 了 耶 和 華 的 殿 ．
Khi các nước thiên hạ nghe Đức Giê-hô-va đã đánh bại quân thù nghịch của Y-sơ-ra-ên, thì lấy làm kinh hãi Đức Chúa Trời.|列 邦 諸 國 聽 見 耶 和 華 戰 敗 以 色 列 的 仇 敵 、 就 甚 懼 怕 。
Vậy, nước của Giô-sa-phát được hòa bình, vì Đức Chúa Trời người ban cho người sự an nghỉ bốn bên.|這 樣 、 約 沙 法 的 國 、 得 享 太 平 ． 因 為 　 神 賜 他 四 境 平 安 。
Vậy, Giô-sa-phát làm vua nước Giu-đa; khi lên ngôi thì tuổi được ba mươi lăm, và người cai trị hai mươi lăm năm tại Giê-ru-sa-lem; tên mẹ người là A-xu-ba, con gái của Si-li.|約 沙 法 作 猶 大 王 ． 登 基 的 時 候 年 三 十 五 歲 ． 在 耶 路 撒 冷 作 王 二 十 五 年 ． 他 母 親 名 叫 阿 蘇 巴 、 乃 示 利 希 的 女 兒 。
Người đi theo con đường của A-sa, cha người, không lìa bỏ, làm điều ngay thẳng trước mặt Đức Giê-hô-va.|約 沙 法 效 法 他 父 亞 撒 所 行 的 、 不 偏 左 右 、 行 耶 和 華 眼 中 看 為 正 的 事 。
Song người không trừ bỏ các nơi cao, và dân sự chưa dốc lòng tìm cầu Đức Chúa Trời của tổ phụ mình.|只 是 邱 壇 還 沒 有 廢 去 ． 百 姓 也 沒 有 立 定 心 意 歸 向 他 們 列 祖 的 　 神 。
Các công việc khác của Giô-sa-phát từ đầu đến cuối, đều chép tong truyện Giê-hu, con trai Ha-na-ni, và truyện ấy đã đem vào sách các vua Y-sơ-ra-ên.|約 沙 法 其 餘 的 事 、 自 始 至 終 、 都 寫 在 哈 拿 尼 的 兒 子 耶 戶 的 書 上 、 也 載 入 以 色 列 諸 王 記 上 。
Sau việc đó, Giô-sa-phát, vua Giu-đa, kết giao với A-cha-xia, vua Y-sơ-ra-ên; người này ăn ở rất gian ác.|此 後 猶 大 王 約 沙 法 與 以 色 列 王 亞 哈 謝 交 好 ． 亞 哈 謝 行 惡 太 甚 。
Hai vua hội hiệp nhau đặng đóng tàu vượt đi Ta-rê-si; họ đóng tàu tại Ê-xi-ôn-Ghê-be.|二 王 合 夥 造 船 要 往 他 施 去 ． 遂 在 以 旬 迦 別 造 船 。
Khi ấy, Ê-li-ê-xe, con trai Đô-đa-va ở Ma-rê-sa, nói tiên tri về vua Giô-sa-phát, mà rằng: Bởi vì vua kết giao với A-cha-xia, nên Đức Giê-hô-va đã hủy phá công việc vua; những tàu bèn bị bể nát, không vượt đi Ta-rê-si được.|那 時 瑪 利 沙 人 、 多 大 瓦 的 兒 子 以 利 以 謝 、 向 約 沙 法 豫 言 、 說 、 因 你 與 亞 哈 謝 交 好 、 耶 和 華 必 破 壞 你 所 造 的 。 後 來 那 船 果 然 破 壞 、 不 能 往 他 施 去 了 。

					II Sử Ký 21				|
						歷代志下 21					
Giô-sa-phát an giấc cùng tổ phụ mình, được chôn trong thành Đa-vít với tổ phụ người; Giô-ram con trai người, cai trị thế cho người.|約 沙 法 與 他 列 祖 同 睡 、 葬 在 大 衛 城 、 他 列 祖 的 墳 地 裡 ． 他 兒 子 約 蘭 接 續 他 作 王 。
Người có các em ruột, tức là những con trai Giô-sa-phát: A-xa-ria, Giê-hi-ên, Xa-cha-ri, A-xa-ria -u, Mi-ca-ên, và Sê-pha-ti -a; các người này đều là con trai của Giô-sa-phát, vua Y-sơ-ra-ên.|約 蘭 有 幾 個 兄 弟 、 就 是 約 沙 法 的 兒 子 亞 撒 利 雅 、 耶 歇 、 撒 迦 利 雅 、 亞 撒 利 雅 、 米 迦 勒 、 示 法 提 雅 ． 這 都 是 以 色 列 王 約 沙 法 的 兒 子 。
Vua cha có ban cho chúng nhiều của cải bằng bạc và vàng, những bửu vật với các thành vững bền trong xứ Giu-đa; nhưng người ban ngôi nước cho Giô-ram, bởi vì người là con trưởng.|他 們 的 父 親 將 許 多 金 銀 、 財 寶 、 和 猶 大 地 的 堅 固 城 、 賜 給 他 們 ． 但 將 國 賜 給 約 蘭 、 因 為 他 是 長 子 。
Khi Giô-ram lên ngôi nước cha mình, làm cho mình mạnh mẽ, bèn lấy gươm giết các em mình và mấy người quan trưởng của Y-sơ-ra-ên.|約 蘭 興 起 坐 他 父 的 位 、 奮 勇 自 強 、 就 用 刀 殺 了 他 的 眾 兄 弟 、 和 以 色 列 的 幾 個 首 領 。
Giô-ram được ba mươi hai tuổi, khi lên ngôi làm vua, và người cai trị tám năm tại Giê-ru-sa-lem.|約 蘭 登 基 的 時 候 年 三 十 二 歲 ． 在 耶 路 撒 冷 作 王 八 年 。
Người đi trong con đường của các vua Y-sơ-ra-ên, theo điều nhà A-háp đã làm; vì người có cưới con gái A-háp làm vợ; người làm điều ác trước mặt Đức Giê-hô-va.|他 行 以 色 列 諸 王 的 道 、 與 亞 哈 家 一 樣 ． 因 他 娶 了 亞 哈 的 女 兒 為 妻 、 行 耶 和 華 眼 中 看 為 惡 的 事 。
Nhưng, vì Đức Giê-hô-va đã lập giao ước với Đa-vít, bởi Ngài đã hứa rằng sẽ ban một ngọn đèn cho người và cho con cháu người đến đời đời, nên Ngài không muốn diệt nhà Đa-vít.|耶 和 華 卻 因 自 己 與 大 衛 所 立 的 約 、 不 肯 滅 大 衛 的 家 、 照 他 所 應 許 的 、 永 遠 賜 燈 光 與 大 衛 和 他 的 子 孫 。
Trong đời Giô-ram, Ê-đôm phản nghịch cùng Giu-đa, và lập một vua cho mình.|約 蘭 年 間 以 東 人 背 叛 猶 大 、 脫 離 他 的 權 下 、 自 己 立 王 。
Giô-ram với các quan tướng và các xe của mình, ban đêm chổi dậy, kéo ra đánh Ê-đôm đã vây phủ mình và các quan cai xe.|約 蘭 就 率 領 軍 長 、 和 所 有 的 戰 車 、 夜 間 起 來 、 攻 擊 圍 困 他 的 以 東 人 、 和 車 兵 長 。
Song Ê-đôm dấy nghịch, không phục dưới tay Giu-đa cho đến ngày nay. Cũng trong một lúc ấy, Líp-na phản nghịch, không phục dưới tay Giô-ram nữa, bởi vì người đã lìa bỏ Giê-hô-va Đức Chúa Trời của tổ phụ người.|這 樣 、 以 東 人 背 叛 猶 大 、 脫 離 他 的 權 下 、 直 到 今 日 ． 那 時 立 拿 人 也 背 叛 了 、 因 為 約 蘭 離 棄 耶 和 華 他 列 祖 的 　 神 。
Người cũng lập những nơi cao trong các núi Giu-đa, xui cho dân cư thành Giê-ru-sa-lem thông dâm, và khiến cho dân Giu-đa lầm lạc.|他 又 在 猶 大 諸 山 建 築 邱 壇 、 使 耶 路 撒 冷 的 居 民 行 邪 淫 、 誘 惑 猶 大 人 。
Đấng tiên tri Ê-li gởi thơ cho Giô-ram, mà nói rằng: Giê-hô-va Đức Chúa Trời của Đa-vít, tổ phụ ông, đã phán như vầy: bởi ngươi không đi theo đường lối của Giô-sa-phát, cha ngươi, lại cũng chẳng đi theo con đường của A-sa, vua Giu-đa,|先 知 以 利 亞 達 信 與 約 蘭 、 說 、 耶 和 華 你 祖 大 衛 的 　 神 如 此 說 、 因 為 你 不 行 你 父 約 沙 法 、 和 猶 大 王 亞 撒 的 道 、
nhưng đã đi theo đường lối của các vua Y-sơ-ra-ên, xui cho người Giu-đa và dân cư thành Giê-ru-sa-lem thông dâm y như nhà A-háp đã làm vậy, và cũng đã giết các em ngươi về nhà cha của ngươi, là những người tốt hơn ngươi,|乃 行 以 色 列 諸 王 的 道 、 使 猶 大 人 和 耶 路 撒 冷 的 居 民 行 邪 淫 、 像 亞 哈 家 一 樣 、 又 殺 了 你 父 家 比 你 好 的 諸 兄 弟 ．
này Đức Giê-hô-va sẽ giáng họa lớn trên dân sự ngươi, trên con cái ngươi, trên các vợ ngươi, cùng trên các tài vật của ngươi;|故 此 耶 和 華 降 大 災 與 你 的 百 姓 、 和 你 的 妻 子 、 兒 女 、 並 你 一 切 所 有 的 。
còn chính mình ngươi sẽ bị bịnh trong gan ruột càng ngày càng nặng cho đến đỗi gan ruột tan rớt ra.|你 的 腸 子 必 患 病 、 日 加 沉 重 、 以 致 你 的 腸 子 墜 落 下 來 。
Vả lại, Đức Giê-hô-va khêu lòng dân Phi-li-tin và dân A rạp ở gần bên dân Ê-thi-ô-bi, nghịch với Giô-ram;|以 後 耶 和 華 激 動 非 利 士 人 、 和 靠 近 古 實 的 亞 拉 伯 人 、 來 攻 擊 約 蘭 。
chúng kéo lên hãm đánh Giu-đa, lấn vào trong cả xứ, đoạt lấy các tài vật thấy trong cung điện vua, và bắt các vương tử cùng hậu phi của người đi làm phu tù, đến nỗi trừ ra Giô -a-cha con trai út người, thì chẳng còn sót lại cho người một con trai nào hết.|他 們 上 來 攻 擊 猶 大 、 侵 入 境 內 、 擄 掠 了 王 宮 裡 所 有 的 財 貨 、 和 他 的 妻 子 、 兒 女 ． 除 了 他 小 兒 子 約 哈 斯 〔 又 名 亞 哈 謝 〕 之 外 、 沒 有 留 下 一 個 兒 子 。
Sau các việc ấy, Đức Giê-hô-va hành hại người, khiến cho bị bịnh bất trị trong ruột.|這 些 事 以 後 、 耶 和 華 使 約 蘭 的 腸 子 、 患 不 能 醫 治 的 病 。
Ngày qua tháng lụn, xảy cuối năm thứ nhì, thì ruột gan Giô-ram vì bịnh tan rớt ra, và người chết cách đau đớn dữ tợn; dân sự không xông thuốc thơm cho người như đã xông cho tổ phụ người.|他 患 此 病 纏 綿 日 久 、 過 了 二 年 、 腸 子 墜 落 下 來 、 病 重 而 死 。 他 的 民 沒 有 為 他 燒 甚 麼 物 件 、 像 從 前 為 他 列 祖 所 燒 的 一 樣 。
Khi người lên ngôi, thì tuổi được ba mươi hai, và người cai trị tám năm tại Giê-ru-sa-lem; người qua đời chẳng ai tiếc người; người ta chôn người trong thành Đa-vít, song chẳng phải tại mồ các vua.|約 蘭 登 基 的 時 候 年 三 十 二 歲 、 在 耶 路 撒 冷 作 王 八 年 ． 他 去 世 無 人 思 慕 ． 眾 人 葬 他 在 大 衛 城 、 只 是 不 在 列 王 的 墳 墓 裡 。

					II Sử Ký 22				|
						歷代志下 22					
Dân cư thành Giê-ru-sa-lem lập A-cha-xia, con trai út của Giô-ram, làm vua thay vì người; vì đạo quân đến với dân A rạp xông vào trại quân, đã giết các con trai lớn hơn người. Ay vậy, A-cha-xia, con trai Giô-ram, vua Giu-đa, lên ngôi làm vua.|耶 路 撒 冷 的 居 民 立 約 蘭 的 小 兒 子 亞 哈 謝 接 續 他 作 王 ． 因 為 跟 隨 亞 拉 伯 人 來 攻 營 的 軍 兵 曾 殺 了 亞 哈 謝 的 眾 兄 長 ． 這 樣 、 猶 大 王 約 蘭 的 兒 子 亞 哈 謝 作 了 王 。
A-cha-xia được hai mươi hai tuổi khi người tức vị; người cai trị một năm tại Giê-ru-sa-lem; tên mẹ người là A-tha-li, con gái của Om-ri.|亞 哈 謝 登 基 的 時 候 年 四 十 二 歲 ． 〔 列 王 下 八 章 二 十 六 節 作 二 十 二 歲 〕 在 耶 路 撒 冷 作 王 一 年 ． 他 母 親 名 叫 亞 他 利 雅 、 是 暗 利 的 孫 女 。
Người cũng đi theo các đường lối của nhà A-háp vì mẹ người là kẻ bày mưu giục người làm điều ác.|亞 哈 謝 也 行 亞 哈 家 的 道 ． 因 為 他 母 親 給 他 主 謀 ． 使 他 行 惡 。
Người làm những điều ác trước mặt Đức Giê-hô-va như nhà A-háp đã làm; vì sau khi vua cha qua đời, nhà A-háp làm kẻ bày mưu cho người, gây cho người bị bại hoại.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 像 亞 哈 家 一 樣 ． 因 他 父 親 死 後 有 亞 哈 家 的 人 給 他 主 謀 、 以 致 敗 壞 。
Người cũng theo mưu chước của chúng mà đi với Giô-ram, con trai A-háp, vua Y-sơ-ra-ên, đến Ra-mốt tại Ga-la-át, đặng tranh chiến cùng Ha-xa-ên, vua Sy-ri. Dân Sy-ri làm cho Giô-ram bị thương.|他 聽 從 亞 哈 家 的 計 謀 、 同 以 色 列 王 亞 哈 的 兒 子 約 蘭 往 基 列 的 拉 末 去 、 與 亞 蘭 王 哈 薛 爭 戰 ． 亞 蘭 人 打 傷 了 約 蘭 。
Người bèn trở về Gít-rê-ên, đặng chữa lành các dấu thương người đã bị tại Ra-ma, khi đánh giặc với Ha-xa-ên, vua Sy-ri, A-cha-xia, con trai Giô-ram, vua Giu-đa đi xuống Gít-rê-ên đặng thăm bịnh Giô-ram, con trai A-háp.|約 蘭 回 到 耶 斯 列 、 醫 治 在 拉 末 與 亞 蘭 王 哈 薛 打 仗 所 受 的 傷 、 猶 大 王 約 蘭 的 兒 子 亞 撒 利 雅 、 〔 即 亞 哈 謝 〕 因 為 亞 哈 的 兒 子 約 蘭 病 了 、 就 下 到 耶 斯 列 看 望 他 。
Việc A-cha-xia đi đến cùng Giô-ram bởi ý Đức Chúa Trời, và gây cho người bị bại hoại; vì khi người đến tận nơi, bèn cùng Giô-ram kéo ra đánh Giê-hu, con trai Nim-si, là người Đức Giê-hô-va đã xức dầu cho, đặng trừ diệt nhà A-háp.|亞 哈 謝 去 見 約 蘭 就 被 害 了 、 這 是 出 乎 　 神 ． 因 為 他 到 了 、 就 同 約 蘭 出 去 攻 擊 寧 示 的 孫 子 耶 戶 ． 這 耶 戶 是 耶 和 華 所 膏 、 使 他 剪 除 亞 哈 家 的 。
Xảy đương khi Giê-hu trừ diệt nhà A-háp, lại gặp được các quan trưởng Giu-đa và các con trai của anh em A-cha-xia vẫn phục sự người, thì liền giết chúng nó đi.|耶 戶 討 亞 哈 家 罪 的 時 候 、 遇 見 猶 大 的 眾 首 領 、 和 亞 哈 謝 的 眾 姪 子 服 事 亞 哈 謝 、 就 把 他 們 都 殺 了 。
Người cũng tìm A-cha-xia đương ẩn tại Sa-ma-ri, người ta bắt người, dẫn đến cùng Giê-hu, rồi giết người đi, đoạn họ chôn người, vì nói rằng: Hắn là con trai của Giô-sa-phát, tức người hết lòng tìm cầu Đức Giê-hô-va. Trong nhà A-cha-xia chẳng còn ai có thể giữ quyền cai trị nước được.|亞 哈 謝 藏 在 撒 瑪 利 亞 、 耶 戶 尋 找 他 ． 眾 人 將 他 拿 住 、 送 到 耶 戶 那 裡 、 就 殺 了 他 、 將 他 葬 埋 ． 因 他 們 說 、 他 是 那 盡 心 尋 求 耶 和 華 之 約 沙 法 的 兒 子 。 這 樣 、 亞 哈 謝 的 家 無 力 保 守 國 權 。
Vả, khi A-tha-li, mẹ của A-cha-xia, thấy con trai mình đã chết, bèn chổi dậy diệt cả dòng giống vua Giu-đa.|亞 哈 謝 的 母 親 亞 他 利 雅 見 他 兒 子 死 了 、 就 起 來 剿 滅 猶 大 王 室 。
