
					Dân Số 1				|
Vậy, Môi-se làm y như Đức Giê-hô-va đã phán dặn; ba người đi lên núi Hô-rơ, cả hội chúng đều thấy.|摩 西 就 照 耶 和 華 所 吩 咐 的 行 ． 三 人 當 著 會 眾 的 眼 前 上 了 何 珥 山 。
Môi-se lột áo xống A-rôn, mặc cho Ê-lê -a-sa, con trai người. A-rôn chết tại đó, trên chót núi; rồi Môi-se và Ê-lê -a-sa xuống.|摩 西 把 亞 倫 的 聖 衣 脫 下 來 、 給 他 的 兒 子 以 利 亞 撒 穿 上 ． 亞 倫 就 死 在 山 頂 那 裡 ． 於 是 摩 西 和 以 利 亞 撒 下 了 山 。
Cả hội chúng thấy A-rôn đã tắt hơi rồi, bèn khóc người trong ba mươi ngày.|全 會 眾 、 就 是 以 色 列 全 家 、 見 亞 倫 已 經 死 了 、 便 都 為 亞 倫 哀 哭 了 三 十 天 。

					Dân Số 21				|
						民數記 21					
Khi vua A-rát, người Ca-na-an, ở nơi Nam phương, hay rằng Y-sơ-ra-ên theo đường do thám đi đến, bèn hãm đánh Y-sơ-ra-ên, và bắt mấy người cầm tù.|住 南 地 的 迦 南 人 亞 拉 得 王 、 聽 說 以 色 列 人 從 亞 他 林 路 來 、 就 和 以 色 列 人 爭 戰 、 擄 了 他 們 幾 個 人 。
Y-sơ-ra-ên bèn hứa nguyện cùng Đức Giê-hô-va rằng: Nếu Chúa phó dân nầy vào tay tôi, tất tôi sẽ diệt các thành của nó.|以 色 列 人 向 耶 和 華 發 願 、 說 、 你 若 將 這 民 交 付 我 手 、 我 就 把 他 們 的 城 邑 盡 行 毀 滅 。
Đức Giê-hô-va nhậm lời dân Y-sơ-ra-ên và phó dân Ca-na-an cho. Người ta diệt hết dân đó và các thành của nó, đặt tên chỗ nầy là Họt-ma.|耶 和 華 應 允 了 以 色 列 人 、 把 迦 南 人 交 付 他 們 、 他 們 就 把 迦 南 人 、 和 迦 南 人 的 城 邑 、 盡 行 毀 滅 。 那 地 方 的 名 便 叫 何 珥 瑪 〔 何 珥 瑪 就 是 毀 滅 的 意 思 〕 。
Đoạn, dân Y-sơ-ra-ên đi từ núi Hô-rơ về hướng Biển đỏ, đặng đi vòng theo xứ Ê-đôm; giữa đường dân sự ngã lòng.|他 們 從 何 珥 山 起 行 、 往 紅 海 那 條 路 走 、 要 繞 過 以 東 地 ． 百 姓 因 這 路 難 行 、 心 中 甚 是 煩 躁 ．
Vậy, dân sự nói nghịch cùng Đức Chúa Trời và Môi-se mà rằng: Làm sao người khiến chúng tôi lên khỏi xứ Ê-díp-tô đặng chết trong đồng vắng? Vì đây không có bánh, cũng không có nước, và linh hồn chúng tôi đã ghê gớm thứ đồ ăn đạm bạc nầy.|就 怨 讟 　 神 和 摩 西 、 說 、 你 們 為 甚 麼 把 我 們 從 埃 及 領 出 來 、 使 我 們 死 在 曠 野 呢 ． 這 裡 沒 有 糧 、 沒 有 水 、 我 們 的 心 厭 惡 這 淡 薄 的 食 物 。
Đức Giê-hô-va sai con rắn lửa đến trong dân sự, cắn dân đó đến đỗi người Y-sơ-ra-ên chết rất nhiều.|於 是 耶 和 華 使 火 蛇 進 入 百 姓 中 間 、 蛇 就 咬 他 們 、 以 色 列 人 中 死 了 許 多 。
Dân sự bèn đến cùng Môi-se mà nói rằng: Chúng tôi có phạm tội, vì đã nói nghịch Đức Giê-hô-va và người. Hãy cầu xin Đức Giê-hô-va để Ngài khiến rắn lìa xa chúng tôi. Môi-se cầu khẩn cho dân sự.|百 姓 到 摩 西 那 裡 說 、 我 們 怨 讟 耶 和 華 和 你 、 有 罪 了 、 求 你 禱 告 耶 和 華 、 叫 這 些 蛇 離 開 我 們 ． 於 是 摩 西 為 百 姓 禱 告 。
Đức Giê-hô-va phán cùng Môi-se rằng: Hãy làm lấy một con rắn lửa, rồi treo nó trên một cây sào. Nếu ai bị cắn và nhìn nó, thì sẽ được sống.|耶 和 華 對 摩 西 說 、 你 製 造 一 條 火 蛇 、 挂 在 杆 子 上 、 凡 被 咬 的 、 一 望 這 蛇 、 就 必 得 活 。
Vậy, Môi-se làm một con rắn bằng đồng, rồi treo lên một cây sào; nếu người nào đã bị rắn cắn mà nhìn con rắn bằng đồng, thì được sống.|摩 西 便 製 造 一 條 銅 蛇 、 挂 在 杆 子 上 ． 凡 被 蛇 咬 的 、 一 望 這 銅 蛇 、 就 活 了 。
Kế đó, dân Y-sơ-ra-ên đi và đóng trại tại Ô-bốt.|以 色 列 人 起 行 、 安 營 在 阿 伯 、
Đoạn, đi từ Ô-bốt và đóng trại tại Y-giê -A-ba-rim, tại đồng vắng, đối ngang Mô-áp về hướng mặt trời mọc.|又 從 阿 伯 起 行 、 安 營 在 以 耶 、 亞 巴 琳 、 與 摩 押 相 對 的 曠 野 、 向 日 出 之 地 。
Họ đi từ đó đóng trại tại đèo Xê-rết.|從 那 裡 起 行 、 安 營 在 撒 烈 谷 。
Rồi tự đó đi và đóng trại phía bên kia At-nôn, ở trong đồng vắng, vừa ra bờ cõi dân A-mô-rít; vì At-nôn là giáp-ranh của dân Mô-áp và dân A-mô-rít.|從 那 裡 起 行 、 安 營 在 亞 嫩 河 那 邊 ． 這 亞 嫩 河 是 在 曠 野 、 從 亞 摩 利 的 境 界 流 出 來 的 、 原 來 亞 嫩 河 是 摩 押 的 邊 界 、 在 摩 押 和 亞 摩 利 人 搭 界 的 地 方 。
Bởi cớ đó, trong sách chiến trận của Đức Giê-hô-va có nói rằng: Va-hép ở tại Su-pha, và trũng At-nôn,|所 以 耶 和 華 的 戰 記 上 說 、 蘇 法 的 哇 哈 伯 、 與 亞 嫩 河 的 谷 、
cùng những triền trũng chạy xuống phía A-rơ, và đụng ranh Mô-áp.|並 向 亞 珥 城 眾 谷 的 下 坡 、 是 靠 近 摩 押 的 境 界 。
Từ đó dân Y-sơ-ra-ên đến Bê-re, ấy đó là cái giếng mà Đức Giê-hô-va đã phán cùng Môi-se rằng: Hãy nhóm hiệp dân sự, ta sẽ cho chúng nó nước.|以 色 列 人 從 那 裡 起 行 、 到 了 比 珥 〔 比 珥 就 是 井 的 意 思 〕 ． 從 前 耶 和 華 吩 咐 摩 西 說 、 招 聚 百 姓 、 我 好 給 他 們 水 喝 、 說 的 就 是 這 井 。
Y-sơ-ra-ên bèn hát bài nầy: Hỡi giếng, hãy tuôn lên! hãy ca hát cho nó!|當 時 、 以 色 列 人 唱 歌 說 、 井 阿 、 湧 上 水 來 ． 你 們 要 向 這 井 歌 唱 。
Giếng mà các vua chúa đã khai, Các tước vị của dân sự đã đào Với phủ việt cùng cây gậy mình!|這 井 是 首 領 和 民 中 的 尊 貴 人 、 用 圭 、 用 杖 、 所 挖 所 掘 的 。 以 色 列 人 從 曠 野 往 瑪 他 拿 去 。
Kế đó, từ đồng vắng dân Y-sơ-ra-ên đến Ma-tha-na; rồi từ Ma-tha-na đến Na-ha-li-ên; từ Na-ha-li-ên đến Ba-mốt;|從 瑪 他 拿 到 拿 哈 列 、 從 拿 哈 列 到 巴 末 、
và từ Ba-mốt đến trũng ở trong bờ cõi Mô-áp, tại chót núi Phích-ga, là nơi người ta nhìn thấy đồng bằng của sa mạc.|從 巴 末 到 摩 押 地 的 谷 、 又 到 那 下 望 曠 野 之 毘 斯 迦 的 山 頂 。
Vả, Y-sơ-ra-ên sai sứ giả đến Si-hôn, vua dân A-mô-rít, đặng nói rằng:|以 色 列 人 差 遣 使 者 去 見 亞 摩 利 人 的 王 西 宏 說 、
Xin cho phép chúng tôi đi ngang qua xứ vua, chúng tôi sẽ không xây vào đồng ruộng, hay là vào vườn nho, và chúng tôi cũng sẽ không uống nước các giếng, cứ đi đường cái của vua cho đến chừng nào qua khỏi bờ cõi vua.|求 你 容 我 們 從 你 的 地 經 過 、 我 們 不 偏 入 田 間 、 和 葡 萄 園 、 也 不 喝 井 裡 的 水 、 只 走 大 道 〔 原 文 作 王 道 〕 、 直 到 過 了 你 的 境 界 。
Nhưng Si-hôn không cho phép Y-sơ-ra-ên đi ngang qua bờ cõi mình, bèn hiệp hết dân sự mình đi ra đón Y-sơ-ra-ên về hướng đồng vắng; người đến Gia-hát, chiến trận cùng Y-sơ-ra-ên.|西 宏 不 容 以 色 列 人 從 他 的 境 界 經 過 、 就 招 聚 他 的 眾 民 出 到 曠 野 、 要 攻 擊 以 色 列 人 ． 到 了 雅 雜 、 與 以 色 列 人 爭 戰 。
Song Y-sơ-ra-ên dùng lưỡi gươm đánh bại người, và chiếm xứ người từ At-nôn đến Gia-bốc, đến dân Am-môn; vì bờ cõi dân Am-môn bền vững.|以 色 列 人 用 刀 殺 了 他 、 得 了 他 的 地 、 從 亞 嫩 河 到 雅 博 河 、 直 到 亞 捫 人 的 境 界 、 因 為 亞 捫 人 的 境 界 多 有 堅 壘 。
Y-sơ-ra-ên chiếm hết các thành nầy, và ở trong các thành dân A-mô-rít, là ở tại Hết-bôn và trong các thành địa-hạt.|以 色 列 人 奪 取 這 一 切 的 城 邑 、 也 住 亞 摩 利 人 的 城 邑 、 就 是 希 實 本 與 希 實 本 的 一 切 鄉 村 。
Vì Hết-bôn là thành của Si-hôn, vua dân A-mô-rít, là vua đã giao chiến cùng vua trước của Mô-áp, chiếm lấy khắp hết xứ người đến At-nôn.|這 希 實 本 是 亞 摩 利 王 西 宏 的 京 城 ． 西 宏 曾 與 摩 押 的 先 王 爭 戰 、 從 他 手 中 奪 取 了 全 地 直 到 亞 嫩 河 。
Bởi cớ đó, những nhà văn sĩ nói rằng: Hãy đến Hết-bôn! Thành Si-hôn phải xây cất và lập vững!|所 以 那 些 作 詩 歌 的 說 、 你 們 來 到 希 實 本 ． 願 西 宏 的 城 被 修 造 、 被 建 立 。
Vì có một đám lửa bởi thành Hết-bôn, Một ngọn lửa bởi thành Si-hôn mà ra; Nó thiêu đốt A-rơ của Mô-áp, Các chúa của nơi cao At-nôn|因 為 有 火 從 希 實 本 發 出 、 有 火 焰 出 於 西 宏 的 城 、 燒 盡 摩 押 的 亞 珥 和 亞 嫩 河 邱 壇 的 祭 司 〔 祭 司 原 文 作 主 〕 。
Hỡi Mô-áp, khốn thay cho ngươi! Hỡi dân Kê-móc, ngươi đã diệt mất! Người đã nộp con trai mình làm kẻ trốn tránh, Và con gái mình làm phu tù cho Si-hôn, vua A-mô-rít.|摩 押 阿 、 你 有 禍 了 。 基 抹 的 民 哪 、 你 們 滅 亡 了 ． 基 抹 的 男 子 逃 奔 、 女 子 被 擄 、 交 付 亞 摩 利 的 王 西 宏 。
Chúng ta đã bắn tên nhằm chúng nó. Hết-bôn đã bị hủy diệt cho đến Đi-bôn. Chúng ta đã làm tàn hại đến Nô-phách, Lửa đã lan đến Mê-đê-ba.|我 們 射 了 他 們 、 希 實 本 直 到 底 本 盡 皆 毀 滅 ． 我 們 使 地 變 成 荒 場 直 到 挪 法 、 這 挪 法 直 延 到 米 底 巴 。
Vậy, Y-sơ-ra-ên ở trong xứ dân A-mô-rít.|這 樣 、 以 色 列 人 就 住 在 亞 摩 利 人 之 地 。
Môi-se sai đi do thám Gia-ê-xe, chiếm các thành bổn hạt và đuổi dân A-mô-rít ở tại đó.|摩 西 打 發 人 去 窺 探 雅 謝 ． 以 色 列 人 就 佔 了 雅 謝 的 鎮 市 、 趕 出 那 裡 的 亞 摩 利 人 。
Đoạn, dân Y-sơ-ra-ên trở lại đi lên về hướng Ba-san, Oc, vua Ba-san, và cả dân sự người đi ra đón đặng chiến trận tại Et-rê -i.|以 色 列 人 轉 回 、 向 巴 珊 去 ． 巴 珊 王 噩 、 和 他 的 眾 民 都 出 來 在 以 得 來 與 他 們 交 戰 。
Nhưng Đức Giê-hô-va phán cùng Môi-se rằng: Đừng sợ người, vì ta đã phó người, luôn dân sự và xứ người vào tay ngươi; ngươi khá làm cho người như đã làm cho Si-hôn, vua dân A-mô-rít ở tại Hết-bôn.|耶 和 華 對 摩 西 說 、 不 要 怕 他 、 因 我 已 將 他 和 他 的 眾 民 、 並 他 的 地 、 都 交 在 你 手 中 、 你 要 待 他 像 從 前 待 住 希 實 本 的 亞 摩 利 王 西 宏 一 般 。
Vậy, dân Y-sơ-ra-ên đánh bại Oc, các con trai người và cả dân sự người, cho đến chừng không còn người nào ở lại; dân Y-sơ-ra-ên chiếm lấy xứ người vậy.|於 是 他 們 殺 了 他 和 他 的 眾 子 、 並 他 的 眾 民 、 沒 有 留 下 一 個 、 就 得 了 他 的 地 。

					Dân Số 22				|
						民數記 22					
Đoạn dân Y-sơ-ra-ên đi, đến đóng trại trong đồng bắng Mô-áp, bên kia sông Giô-đanh, đối-diện Giê-ri-cô.|以 色 列 人 起 行 、 在 摩 押 平 原 、 約 但 河 東 、 對 著 耶 利 哥 安 營 。
Ba-lác, con trai Xếp-bô, thấy hết mọi điều Y-sơ-ra-ên đã làm cho dân A-mô-rít.|以 色 列 人 向 亞 摩 利 人 所 行 的 一 切 事 、 西 撥 的 兒 子 巴 勒 都 看 見 了 。
Mô-áp lấy làm sợ sệt lắm và kinh khủng trước mặt dân Y-sơ-ra-ên, vì dân đó rất đông.|摩 押 人 因 以 色 列 民 甚 多 、 就 大 大 懼 怕 、 心 內 憂 急 。
Vậy, Mô-áp nói cùng các trưởng lão Ma-đi-an rằng: Bây giờ, đoàn dân đông nầy sẽ nuốt hết thảy chung quanh ta, khác nào con bò ăn cỏ trong đồng vậy. Đương lúc đó, Ba-lác, con trai Xếp-bô, làm vua Mô-áp.|對 米 甸 的 長 老 說 、 現 在 這 眾 人 要 把 我 們 四 圍 所 有 的 、 一 概 餂 盡 、 就 如 牛 餂 盡 田 間 的 草 一 般 ． 那 時 西 撥 的 兒 子 巴 勒 、 作 摩 押 王 。
Người sai sứ giả đến cùng Ba-la-am, con trai Bê-ô, ở Phê-thô-rơ, tại trên mé sông, trong xứ của con cái dân sự mình, đặng gọi người mà nói rằng: Nầy một dân đã ra khỏi xứ Ê-díp-tô, phủ khắp mặt đất, và đóng lại đối ngang ta.|他 差 遣 使 者 往 大 河 邊 的 毘 奪 去 、 到 比 珥 的 兒 子 巴 蘭 本 鄉 那 裡 、 召 巴 蘭 來 說 、 有 一 宗 民 從 埃 及 出 來 、 遮 滿 地 面 、 與 我 對 居 。
Vậy, ta xin ngươi hãy đến bây giờ, rủa sả dân nầy cho ta, vì nó mạnh hơn ta. Có lẽ ta sẽ đánh bại dân nầy và đuổi nó khỏi xứ được; vì ta biết rằng kẻ nào ngươi chúc phước cho, thì được phước; còn kẻ nào ngươi rủa sả, thì bị rủa sả.|這 民 比 我 強 盛 、 現 在 求 你 來 為 我 咒 詛 他 們 、 或 者 我 能 得 勝 、 攻 打 他 們 、 趕 出 此 地 、 因 為 我 知 道 你 為 誰 祝 福 、 誰 就 得 福 ． 你 咒 詛 誰 、 誰 就 受 咒 詛 。
Vậy, các trưởng lão Mô-áp đi cùng các trưởng lão Ma-đi-an, trong tay có lễ vật cho thầy bói, đến cùng Ba-la-am mà thuật lại những lời của Ba-lác.|摩 押 的 長 老 和 米 甸 的 長 老 、 手 裡 拿 著 卦 金 到 了 巴 蘭 那 裡 、 將 巴 勒 的 話 都 告 訴 了 他 。
Người đáp rằng: Hãy ở lại đây đêm nay thì ta sẽ trả lời theo như lời Đức Giê-hô-va sẽ phán cùng ta. Các trưởng lão Mô-áp ở lại nhà Ba-la-am.|巴 蘭 說 、 你 們 今 夜 在 這 裡 住 宿 、 我 必 照 耶 和 華 所 曉 諭 我 的 、 回 報 你 們 ． 摩 押 的 臣 就 在 巴 蘭 那 裡 住 下 了 。
Vả, Đức Chúa Trời đến cùng Ba-la-am và phán rằng: Những người ngươi có trong nhà là ai?|　 神 臨 到 巴 蘭 那 裡 說 、 在 你 這 裡 的 人 都 是 誰 。
Ba-la-am thưa cùng Đức Chúa Trời rằng: Ba-lác, con trai Xếp-bô, vua Mô-áp, đã sai đến tôi đặng nói rằng:|巴 蘭 回 答 說 、 是 摩 押 王 西 撥 的 兒 子 巴 勒 、 打 發 人 到 我 這 裡 來 、 說 、
Nầy, một dân đã ra khỏi xứ Ê-díp-tô, phủ khắp mặt đất; hãy đến bây giờ, rủa sả dân đó cho ta; có lẽ ta sẽ đánh bại dân nầy và đuổi nó được.|從 埃 及 出 來 的 民 遮 滿 地 面 、 你 來 為 我 咒 詛 他 們 、 或 者 我 能 與 他 們 爭 戰 、 把 他 們 趕 出 去 。
Đức Chúa Trời phán cùng Ba-la-am rằng: Ngươi chớ đi với chúng nó, chớ rủa sả dân nầy, vì dân nầy được ban phước.|　 神 對 巴 蘭 說 、 你 不 可 同 他 們 去 、 也 不 可 咒 詛 那 民 、 因 為 那 民 是 蒙 福 的 。
Sớm mai Ba-la-am dậy, nói cùng các sứ thần của Ba-lác rằng: Hãy trở về xứ các ngươi, vì Đức Giê-hô-va không cho ta đi cùng các ngươi.|巴 蘭 早 晨 起 來 、 對 巴 勒 的 使 臣 說 、 你 們 回 本 地 去 罷 、 因 為 耶 和 華 不 容 我 和 你 們 同 去 。
Vậy, các sứ thần Mô-áp dậy, trở về Ba-lác mà tâu rằng: Ba-la-am từ chối đến cùng chúng tôi.|摩 押 的 使 臣 就 起 來 、 回 巴 勒 那 裡 去 、 說 、 巴 蘭 不 肯 和 我 們 同 來 。
Ba-lác lại sai nhiều sứ thần hơn và tôn trọng hơn những người trước,|巴 勒 又 差 遣 使 臣 、 比 先 前 的 又 多 又 尊 貴 。
đến cùng Ba-la-am mà rằng: Ba-lác, con trai Xếp-bô, có nói như vầy: Ta xin ngươi, chớ có chi ngăn cản ngươi đến cùng ta,|他 們 到 了 巴 蘭 那 裡 、 對 他 說 、 西 撥 的 兒 子 巴 勒 這 樣 說 、 求 你 不 容 甚 麼 事 攔 阻 你 不 到 我 這 裡 來 、
vì ta sẽ tôn ngươi rất vinh hiển, và làm theo mọi điều ngươi sẽ nói cùng ta. Ta xin ngươi hãy đến rủa sả dân nầy.|因 為 我 必 使 你 得 極 大 的 尊 榮 、 你 向 我 要 甚 麼 。 我 就 給 你 甚 麼 ． 只 求 你 來 為 我 咒 詛 這 民 。
Ba-la-am đáp cùng các sứ thần của Ba-lác rằng: Dầu Ba-lác sẽ cho ta nhà người đầy vàng và bạc, ta cũng chẳng được vượt qua mạng của Giê-hô-va, Đức Chúa Trời của ta, đặng làm một việc hoặc nhỏ hay lớn.|巴 蘭 回 答 巴 勒 的 臣 僕 說 、 巴 勒 就 是 將 他 滿 屋 的 金 銀 給 我 、 我 行 大 事 小 事 也 不 得 越 過 耶 和 華 我 　 神 的 命 。
Song ta xin các ngươi cũng ở lại đêm nay, đặng ta biết Đức Giê-hô-va sẽ phán điều chi cùng ta nữa.|現 在 我 請 你 們 今 夜 在 這 裡 住 宿 、 等 我 得 知 耶 和 華 還 要 對 我 說 甚 麼 。
Trong lúc ban đêm, Đức Chúa Trời giáng đến Ba-la-am mà phán rằng: Nếu các người ấy đến đặng gọi ngươi, hãy đứng dậy đi với chúng nó; nhưng chỉ hãy làm theo lời ta sẽ phán.|當 夜 、 　 神 臨 到 巴 蘭 那 裡 說 、 這 些 人 若 來 召 你 、 你 就 起 來 同 他 們 去 、 你 只 要 遵 行 我 對 你 所 說 的 話 。
Vậy, sớm mai, Ba-la-am dậy, thắng lừa cái mình và đi với các sứ thần Mô-áp.|巴 蘭 早 晨 起 來 、 備 上 驢 、 和 摩 押 的 使 臣 一 同 去 了 。
Nhưng cơn thạnh nộ của Đức Chúa Trời nổi phừng lên, vì người ra đi; thiên sứ của Đức Giê-hô-va đứng trên đường đặng cản người. Vả, người đã cỡi lừa cái mình, và có hai đứa đầy tớ đi theo.|　 神 因 他 去 就 發 了 怒 ． 耶 和 華 的 使 者 站 在 路 上 敵 擋 他 。 他 騎 著 驢 有 兩 個 僕 人 跟 隨 他 。
Lừa cái thấy thiên sứ của Đức Giê-hô-va đứng trên đường có cây gươm trần nơi tay, bèn tẻ đường đi vào trong ruộng; Ba-la-am đánh nó đặng dẫn nó vào đường lại.|驢 看 見 耶 和 華 的 使 者 站 在 路 上 、 手 裡 有 拔 出 來 的 刀 、 就 從 路 上 跨 進 田 間 、 巴 蘭 便 打 驢 要 叫 他 回 轉 上 路 。
Nhưng thiên sứ của Đức Giê-hô-va đứng trong đường nhỏ của vườn nho có vách bên nầy và bên kia.|耶 和 華 的 使 者 就 站 在 葡 萄 園 的 窄 路 上 、 這 邊 有 牆 、 那 邊 也 有 牆 。
Lừa thấy thiên sứ của Đức Giê-hô-va thì nép vào vách và ép chân Ba-la-am; người đánh nó.|驢 看 見 耶 和 華 的 使 者 就 貼 靠 牆 、 將 巴 蘭 的 腳 擠 傷 了 巴 蘭 又 打 驢 。
Thiên sứ của Đức Giê-hô-va đi tới xa hơn, đứng trong một ngả rất hẹp không chỗ nào trở qua bên hữu hay là bên tả;|耶 和 華 的 使 者 又 往 前 去 、 站 在 狹 窄 之 處 、 左 右 都 沒 有 轉 折 的 地 方 。
lừa thấy thiên sứ của Đức Giê-hô-va bèn nằm quị dưới Ba-la-am. Nhưng Ba-la-am nổi giận, đánh lừa bằng một cây gậy.|驢 看 見 耶 和 華 的 使 者 就 臥 在 巴 蘭 底 下 、 巴 蘭 發 怒 用 杖 打 驢 。
Bấy giờ, Đức Giê-hô-va mở miệng lừa ra, nó nói cùng Ba-la-am rằng: Tôi có làm chi cho người, mà người đã đánh tôi ba lần?|耶 和 華 叫 驢 開 口 、 對 巴 蘭 說 、 我 向 你 行 了 甚 麼 。 你 竟 打 我 這 三 次 呢 。
Ba-la-am đáp cùng lừa cái rằng: Ay là tại mầy khinh nhạo ta. Chớ chi ta có cây gươm trong tay, ta đã giết mầy rồi!|巴 蘭 對 驢 說 、 因 為 你 戲 弄 我 、 我 恨 不 能 手 中 有 刀 、 把 你 殺 了 。
Lừa nói cùng Ba-la-am rằng: Tôi há chẳng phải là lừa của người mà người đã cỡi luôn đến ngày nay sao? Tôi há có thói làm như vậy cùng người chăng? Người đáp: Không.|驢 對 巴 蘭 說 、 我 不 是 你 從 小 時 直 到 今 日 所 騎 的 驢 麼 。 我 素 常 向 你 這 樣 行 過 麼 ． 巴 蘭 說 沒 有 。
Đức Giê-hô-va bèn mở mắt Ba-la-am ra, thấy thiên sứ của Đức Giê-hô-va đứng trong đường, tay cầm một cây gươm. Người cúi đầu và sấp mặt xuống đất.|當 時 、 耶 和 華 使 巴 蘭 的 眼 目 明 亮 、 他 就 看 見 耶 和 華 的 使 者 站 在 路 上 、 手 裡 有 拔 出 來 的 刀 ． 巴 蘭 便 低 頭 俯 伏 在 地 。
Thiên sứ của Đức Giê-hô-va nói: Sao ngươi đã đánh lừa cái ngươi ba lần? Nầy, ta đi ra đặng cản ngươi, vì ta thấy ngươi đi theo một con đường dẫn mình đến nơi hư nát.|耶 和 華 的 使 者 對 他 說 、 你 為 何 這 三 次 打 你 的 驢 呢 ． 我 出 來 敵 擋 你 、 因 你 所 行 的 、 在 我 面 前 偏 僻 。
Vả, con lừa cái có thấy ta, đi tẻ trước mặt ta ba lần, nếu nó không đi tẻ trước mặt ta, chắc ta đã giết ngươi rồi và để nó sống.|驢 看 見 我 就 三 次 從 我 面 前 偏 過 去 、 驢 若 沒 有 偏 過 去 、 我 早 把 你 殺 了 、 留 他 存 活 。
Ba-la-am bèn thưa cùng thiên sứ của Đức Giê-hô-va rằng: Tôi có phạm tội, vì chẳng biết người đã đứng trong đường đặng cản tôi, bây giờ, nếu người không bằng lòng tôi đi, tôi sẽ trở về.|巴 蘭 對 耶 和 華 的 使 者 說 、 我 有 罪 了 、 我 不 知 道 你 站 在 路 上 阻 擋 我 、 你 若 不 喜 歡 我 去 、 我 就 轉 回 。
Thiên sứ của Đức Giê-hô-va nói cùng Ba-la-am rằng: Hãy đi cùng các người đó, nhưng chỉ hãy nói điều chi ta sẽ phán dặn ngươi. Ba-la-am bèn đi cùng các sứ thần của Ba-lác.|耶 和 華 的 使 者 對 巴 蘭 說 、 你 同 這 些 人 去 罷 、 你 只 要 說 我 對 你 說 的 話 ． 於 是 巴 蘭 同 著 巴 勒 的 使 臣 去 了 。
Khi Ba-lác hay rằng Ba-la-am đến, bèn đi ra tới thành Mô-áp ở gần khe At-nôn, tức là ở tận bờ cõi của xứ, mà nghinh tiếp người.|巴 勒 聽 見 巴 蘭 來 了 、 就 往 摩 押 京 城 去 迎 接 他 ． 這 城 是 在 邊 界 上 、 在 亞 嫩 河 旁 。
Ba-lác nói cùng Ba-la-am rằng: Ta há chẳng sai sứ vời ngươi sao? Sao ngươi không đến ta? Ta há không tôn vinh hiển cho ngươi được sao?|巴 勒 對 巴 蘭 說 、 我 不 是 急 急 的 打 發 人 到 你 那 裡 去 召 你 麼 。 你 為 何 不 到 我 這 裡 來 呢 。 我 豈 不 能 使 你 得 尊 榮 麼 。
Ba-la-am đáp cùng Ba-lác rằng: Nầy tôi đã đến cùng vua, bây giờ tôi há có thể nói ra lời gì chăng? Tôi sẽ nói điều chi Đức Chúa Trời đặt trong miệng tôi vậy.|巴 蘭 說 、 我 已 經 到 你 這 裡 來 了 、 現 在 我 豈 能 擅 自 說 甚 麼 呢 ． 　 神 將 甚 麼 話 傳 給 我 、 我 就 說 甚 麼 。
Ba-la-am đi cùng Ba-lác, đến Ki-ri-át-Hút-sốt.|巴 蘭 和 巴 勒 同 行 、 來 到 基 列 胡 瑣 。
Ba-lác giết những bò và chiên, sai dâng cho Ba-la-am và các sứ thần đã đi với người.|巴 勒 宰 了 〔 原 文 作 獻 〕 牛 羊 、 送 給 巴 蘭 和 陪 伴 的 使 臣 。
Khi đến sáng mai, Ba-lác đem Ba-la-am lên Ba-mốt-Ba-anh, là nơi người thấy đầu cùng trại quân Y-sơ-ra-ên.|到 了 早 晨 、 巴 勒 領 巴 蘭 到 巴 力 的 高 處 、 巴 蘭 從 那 裡 觀 看 以 色 列 營 的 邊 界 。

					Dân Số 23				|
						民數記 23					
Ba-la-am nói cùng Ba-lác rằng: Hãy cất tại đây cho tôi bảy cái bàn thờ, cùng sắm sẵn cho tôi bảy con bò đực và bảy con chiên đực.|巴 蘭 對 巴 勒 說 、 你 在 這 裡 給 我 築 七 座 壇 、 為 我 豫 備 七 隻 公 牛 、 七 隻 公 羊 。
Ba-lác làm như Ba-la-am đã nói; hai người dâng một con bò đực và một con chiên đực trên mỗi bàn thờ.|巴 勒 照 巴 蘭 的 話 行 了 ． 巴 勒 和 巴 蘭 在 每 座 壇 上 獻 一 隻 公 牛 、 一 隻 公 羊 。
Đoạn, Ba-la-am nói cùng Ba-lác rằng: Vua hãy đứng gần của lễ thiêu của vua, tôi sẽ đi; có lẽ Đức Giê-hô-va sẽ hiện ra cùng tôi chăng, tôi sẽ thuật lại cùng vua điều chi Ngài cho tôi thấy. Người đi lên một nơi cao trống trải.|巴 蘭 對 巴 勒 說 、 你 站 在 你 的 燔 祭 旁 邊 、 我 且 往 前 去 、 或 者 耶 和 華 來 迎 見 我 、 他 指 示 我 甚 麼 。 我 必 告 訴 你 ． 於 是 巴 蘭 上 一 淨 光 的 高 處 。
Đức Chúa Trời hiện ra cùng Ba-la-am, và Ba-la-am thưa cùng Ngài rằng: Tôi có lập bảy cái bàn thờ, và trên mỗi bàn thờ tôi có dâng một con bò đực và một con chiên đực.|　 神 迎 見 巴 蘭 、 巴 蘭 說 、 我 豫 備 了 七 座 壇 、 在 每 座 壇 上 獻 了 一 隻 公 牛 、 一 隻 公 羊 。
Đức Giê-hô-va để lời trong miệng Ba-la-am và phán rằng: Hãy trở về cùng Ba-lác và nói như vậy.|耶 和 華 將 話 傳 給 巴 蘭 、 又 說 、 你 回 到 巴 勒 那 裡 、 要 如 此 如 此 說 。
