
					Deuteronomy 1				|
And you are to be guided by the decision they give in the place named by the Lord, and do whatever they say:|Ngươi phải làm y theo lời họ tỏ dạy cho mình tại nơi Đức Giê-hô-va sẽ chọn, và khá cẩn thận làm theo mọi lời dạy của họ.
Acting in agreement with their teaching and the decision they give: not turning to one side or the other from the word they have given you.|Phải làm theo luật pháp họ dạy cho, và sự phán xét họ giảng ra, chớ xây về bên hữu hay bên tả mà bỏ các điều giảng của họ.
And any man who, in his pride, will not give ear to the priest whose place is there before the Lord your God, or to the judge, is to be put to death: you are to put away the evil from Israel.|Song người nào ở cách kiêu ngạo, không khứng vâng theo thầy tế lễ đứng tại đó đặng hầu việc Giê-hô-va Đức Chúa Trời ngươi, hay là không vâng quan án, thì người đó phải chết, và ngươi sẽ cất sự ác khỏi giữa Y-sơ-ra-ên.
And all the people, hearing of it, will be full of fear and put away their pride.|Cả dân sự sẽ nghe điều ấy và bắt sợ, không còn buông theo sự kiêu ngạo nữa.
When you have come into the land which the Lord your God is giving you, and have taken it for a heritage and are living in it, if it is your desire to have a king over you, like the other nations round about you;|Khi ngươi đã vào xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho, được nhận lấy và ở tại xứ đó rồi, nếu ngươi nói: Tôi sẽ lập một vua lên cai trị tôi, như các dân tộc chung quanh,
Then see that you take as your king the man named by the Lord your God: let your king be one of your countrymen, not a man of another nation who is not one of yourselves.|thì khá lập một vua lên cai trị ngươi, mà Giê-hô-va Đức Chúa Trời ngươi sẽ chọn; phải lập lên một vua thuộc về anh em ngươi; chớ nên lập một người ngoại bang lên, không phải anh em ngươi.
And he is not to get together a great army of horses for himself, or make the people go back to Egypt to get horses for him: because the Lord has said, You will never again go back that way.|Song vua ấy chẳng nên lo cho có nhiều ngựa, chớ vì muốn thêm nhiều ngựa mà dẫn dân sự trở lại xứ Ê-díp-tô; bởi Đức Giê-hô-va đã phán cùng các ngươi rằng: Các ngươi sẽ chẳng trở về đường đó nữa.
And he is not to have a great number of wives, for fear that his heart may be turned away; or great wealth of silver and gold.|Vua cũng không nên kén nhiều phi tần, e lòng người trở xấu xa; lại chẳng nên thâu góp nhiều bạc vàng.
And when he has taken his place on the seat of his kingdom, he is to make in a book a copy of this law, from that which the priests, the Levites, have in their care:|Vua khi tức vị, vua phải chiếu theo luật pháp nầy mà những thầy tế lễ về dòng Lê-vi giữ, chép một bản cho mình.
And it is to be with him for his reading all the days of his life, so that he may be trained in the fear of the Lord his God to keep and do all the words of this teaching and these laws:|Bản ấy phải ở bên vua trọn đời, vua phải đọc ở trong, để tập biết kính sợ Giê-hô-va Đức Chúa Trời mình, cẩn thận làm theo các lời của luật pháp nầy, và hết thảy điều răn nầy,
So that his heart may not be lifted up over his countrymen, and he may not be turned away from the orders, to one side or the other: but that his life and the lives of his children may be long in his kingdom in Israel.|kẻo lòng vua lướt trên anh em mình, xây về bên hữu hay bên tả, lìa bỏ điều răn nầy, hầu cho vua và con cháu vua được trị vì lâu ngày giữa Y-sơ-ra-ên.

					Deuteronomy 18				|
						Phục Truyền Luật Lệ 18					
The priests, the Levites, that is, all the tribe of Levi, will have no part or heritage with Israel: their food and their heritage will be the offerings of the Lord made by fire.|Những thầy tế lễ về dòng Lê-vi, và cả chi phái Lê-vi không có phần, cũng không có sản nghiệp chung với Y-sơ-ra-ên. Chúng sẽ hưởng những của tế lễ dùng lửa dâng cho Đức Giê-hô-va, và cơ nghiệp Ngài, mà nuôi lấy mình.
And they will have no heritage among their countrymen: the Lord is their heritage, as he has said to them.|Vậy, chúng không có phần sản nghiệp giữa anh em mình: Đức Giê-hô-va là cơ nghiệp của họ, y như Ngài đã phán.
And this is to be the priests' right: those who make an offering of a sheep or an ox are to give to the priest the top part of the leg and the two sides of the head and the stomach.|Vả, nầy là phần định mà những thầy tế lễ sẽ có phép lấy trong các lễ vật của dân sự dâng lên, hoặc bằng bò đực hay là chiên: cái chẻo vai, cái hàm, và cái bụng.
And in addition you are to give him the first of your grain and wine and oil, and the first wool cut from your sheep.|Ngươi sẽ cấp cho người của đầu mùa về ngũ cốc, rượu, dầu và lông chiên hớt đầu tiên của ngươi;
For he, and his sons after him for ever, have been marked out by the Lord your God from all your tribes, to do the work of priests in the name of the Lord.|vì tại trong các chi phái ngươi, Giê-hô-va Đức Chúa Trời ngươi đã chọn thầy tế lễ, để người và các con trai người nhân danh Đức Giê-hô-va chầu chực và phục sự trước mặt Ngài đời đời không dứt.
And if a Levite, moved by a strong desire, comes from any town in all Israel where he is living to the place marked out by the Lord;|Khi một người Lê-vi ở bất luận thành nào chỗ nào tại trong Y-sơ-ra-ên, mà thành tâm đến nơi Đức Giê-hô-va sẽ chọn,
Then he will do the work of a priest in the name of the Lord his God, with all his brothers the Levites who are there before the Lord.|và nếu người nhân danh Giê-hô-va Đức Chúa Trời mình, hầu việc như hết thảy anh em mình, là người Lê-vi, vẫn chầu chực tại đó trước mặt Đức Giê-hô-va,
His food will be the same as theirs, in addition to what has come to him as the price of his property.|thì người sẽ có một phần lương thực bằng phần của các anh em mình, không kể của người có thể bán được về của tổ-nghiệp mình.
When you have come into the land which the Lord your God is giving you, do not take as your example the disgusting ways of those nations.|Khi ngươi đã vào xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho; chớ tập bắt chước những sự gớm ghiếc của các dân tộc ở tại đó.
Let there not be seen among you anyone who makes his son or his daughter go through the fire, or anyone using secret arts, or a maker of strange sounds, or a reader of signs, or any wonder-worker,|Ở giữa ngươi chớ nên có ai đem con trai hay con gái mình ngang qua lửa, chớ nên có thầy bói, hoặc kẻ hay xem sao mà bói, thầy phù thủy, thầy pháp,
Or anyone using secret force on people, or putting questions to a spirit, or having secret knowledge, or going to the dead for directions.|kẻ hay dùng ếm chú, người đi hỏi đồng cốt, kẻ thuật số, hay là kẻ đi cầu cong;
For all who do such things are disgusting to the Lord; and because of these disgusting things the Lord your God is driving them out before you.|vì Đức Giê-hô-va lấy làm gớm ghiếc kẻ làm các việc ấy, và vì các sự gớm ghiếc ấy, nên Giê-hô-va Đức Chúa Trời ngươi đuổi các dân tộc đó khỏi trước mặt ngươi.
You are to be upright in heart before the Lord your God.|Ngươi phải ở trọn vẹn với Giê-hô-va Đức Chúa Trời ngươi.
For these nations, whose land you are taking, give attention to readers of signs and to those using secret arts: but the Lord your God will not let you do so.|Vì những dân tộc mà ngươi sẽ đuổi đi, nghe theo tà thuật và bói khoa; song về phần ngươi, Giê-hô-va Đức Chúa Trời ngươi không cho phép ngươi làm như vậy.
The Lord your God will give you a prophet from among your people, like me; you will give ear to him;|Từ giữa anh em ngươi, Giê-hô-va Đức Chúa Trời ngươi sẽ lập lên một đấng tiên tri như ta; các ngươi khá nghe theo đấng ấy!
In answer to the request you made to the Lord your God in Horeb on the day of the great meeting, when you said, Let not the voice of the Lord my God come to my ears again, and let me not see this great fire any more, or death will overtake me.|Đó là điều chính ngươi đã cầu Giê-hô-va Đức Chúa Trời ngươi, tại Hô-rếp, trong ngày nhóm hiệp, mà rằng: Cầu xin tôi chớ nghe tiếng Giê-hô-va Đức Chúa Trời tôi nữa, và chớ thấy đám lửa hừng nầy nữa, e tôi chết chăng.
Then the Lord said to me, What they have said is well said.|Bấy giờ, Đức Giê-hô-va phán cùng ta rằng: Chúng nó nói có lý;
I will give them a prophet from among themselves, like you, and I will put my words in his mouth, and he will say to them whatever I give him orders to say.|ta sẽ lập lên cho chúng một đấng tiên tri như ngươi, thuộc trong anh em chúng, ta sẽ lấy các lời ta để trong miệng người, thì người sẽ nói cho chúng mọi điều ta phán dặn ngươi.
And whoever does not give ear to my words which he will say in my name, will be responsible to me.|Bằng có ai không nghe theo lời ta mà đấng tiên tri nhân danh ta nói, thì ta sẽ hạch ai đó.
But the prophet who takes it on himself to say words in my name which I have not given him orders to say, or who says anything in the name of other gods, will come to his death.|Còn kẻ tiên tri có lòng kiêu ngạo, nhân danh ta nói điều chi ta không biểu người nói hay là nhân danh các thần khác mà nói, thì kẻ tiên tri ấy phải chết.
And if you say in your hearts, How are we to be certain that the word does not come from the Lord?|Nếu ngươi nói trong lòng rằng: Làm sao chúng ta nhìn biết được lời nào Đức Giê-hô-va không có phán?
When a prophet makes a statement in the name of the Lord, if what he says does not take place and his words do not come true, then his word is not the word of the Lord: the words of the prophet were said in the pride of his heart, and you are to have no fear of him.|Khi kẻ tiên tri nhân danh Đức Giê-hô-va nói, ví bằng lời người nói không xảy đến và không ứng nghiệm, ấy là lời mà Đức Giê-hô-va chẳng có phán. Kẻ tiên tri đó bởi sự kiêu ngạo mà nói ra: chớ sợ người.

					Deuteronomy 19				|
						Phục Truyền Luật Lệ 19					
When the nations, whose land the Lord your God is giving you, have been cut off by him, and you have taken their place and are living in their towns and in their houses;|Khi Giê-hô-va Đức Chúa Trời ngươi đã diệt các dân tộc của xứ mà Ngài ban cho ngươi, khi ngươi đã đuổi chúng nó đi, được ở trong các thành và các nhà chúng nó rồi,
You are to have three towns marked out in the land which the Lord your God is giving you for your heritage.|thì phải để riêng ba cái thành giữa xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi nhận lấy.
You are to make ready a way, and see that the land which the Lord your God is giving you for your heritage, is marked out into three parts, to which any taker of life may go in flight.|Ngươi phải dọn đường, chia ra làm ba phần địa phận của xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi làm sản nghiệp: ấy hầu cho kẻ sát nhân ẩn núp tại đó.
This is to be the rule for anyone who goes in flight there, after causing the death of his neighbour in error and not through hate;|Vả, nầy là cách mà người ta phải đãi kẻ sát nhân ẩn núp tại đó đặng bảo tồn sự sống mình. Nếu ai vì vô ý đánh chết kẻ lân cận mình, không có ganh ghét trước;
For example, if a man goes into the woods with his neighbour for the purpose of cutting down trees, and when he takes his axe to give a blow to the tree, the head of the axe comes off, and falling on to his neighbour gives him a wound causing his death; then the man may go in flight to one of these towns and be safe:|thí dụ, nếu người đó đi cùng kẻ lân cận mình vào rừng đốn củi, tay người đang giơ rìu ra đốn, rủi lưỡi rìu sút cán trúng nhằm kẻ lân cận, làm cho kẻ ấy bị chết đi, thì người phải chạy ẩn núp mình trong một của ba cái thành nầy, đặng bảo tồn sự sống mình.
For if not, he who has the right of punishment may go running after the taker of life in the heat of his wrath, and overtake him because the way is long, and give him a death-blow; though it is not right for him to be put to death because he was not moved by hate.|Bằng chẳng, kẻ báo thù huyết, vì nóng giận chạy đuổi theo kẻ sát nhân đó, và nếu đường dài quá, theo kịp và đánh người chết đi, mặc dầu người không đáng chết, bởi từ trước người không có ganh ghét kẻ lân cận mình.
And so I am ordering you to see that three towns are marked out for this purpose.|Vì vậy, ta dặn và phán cùng ngươi rằng: Hãy để riêng ba cái thành.
And if the Lord your God makes wide the limits of your land, as he said in his oath to your fathers, and gives you all the land which he undertook to give to your fathers;|Nếu ngươi cẩn thận làm theo các điều răn nầy mà ta truyền cho ngươi ngày nay, tức là thương mến Giê-hô-va Đức Chúa Trời ngươi, hằng đi theo đường lối Ngài,
If you keep and do all these orders which I give you today, loving the Lord your God and walking ever in his ways; then let three more towns, in addition to these three, be marked out for you:|thì Giê-hô-va Đức Chúa Trời ngươi sẽ mở rộng bờ cõi ngươi, y như Ngài đã thề cùng tổ phụ ngươi, và ban cho ngươi cả xứ mà Ngài đã hứa ban cho tổ phụ ngươi, rồi bấy giờ, ngươi phải thêm ba thành nữa vào ba thành trước;
So that in all your land, which the Lord your God is giving you for your heritage, no man may be wrongly put to death, for which you will be responsible.|hầu cho huyết vô tội không đổ ra giữa xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi làm sản nghiệp, và không có huyết trên mình ngươi.
But if any man has hate for his neighbour, and waiting for him secretly makes an attack on him and gives him a blow causing his death, and then goes in flight to one of these towns;|Nhưng nếu ai ganh ghét kẻ lân cận mình, gài mưu hại người, nổi lên đánh người chết, rồi chạy ẩn núp mình trong một của các thành ấy,
The responsible men of his town are to send and take him, and give him up to the one who has the right of punishment to be put to death.|thì những trưởng lão của thành kẻ đó, phải sai đi kéo nó ra khỏi nơi, nộp vào tay kẻ báo thù huyết, để nó chết đi.
Have no pity on him, so that Israel may be clear from the crime of putting a man to death without cause, and it will be well for you.|Mắt ngươi sẽ không thương xót nó; nhưng phải trừ huyết người vô tội khỏi Y-sơ-ra-ên, thì ngươi sẽ được phước.
Your neighbour's landmark, which was put in its place by the men of old times, is not to be moved or taken away in the land of your heritage which the Lord your God is giving you.|Ngươi chớ dời mộc giới của kẻ lân cận mình mà các tiên nhân ngươi đã cắm nơi sản nghiệp ngươi sẽ nhận được, tại xứ Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi nhận lấy.
One witness may not make a statement against a man in relation to any sin or wrongdoing which he has done: on the word of two or three witnesses a question is to be judged.|Chứng độc chiếc không đủ cớ định tội cho người nào, bất luận gian ác, tội lỗi nào mà người đã phạm; cứ theo lời của hai hay ba người chứng, thì sự mới định tội được.
If a false witness makes a statement against a man, saying that he has done wrong,|Khi một người chứng dối dấy lên cùng kẻ nào đặng phao tội cho,
Then the two men, between whom the argument has taken place, are to come before the Lord, before the priests and judges who are then in power;|thì hai đàng có tranh tụng nhau phải ứng hầu trước mặt Đức Giê-hô-va, trước mặt những thầy tế lễ và quan án làm chức đang thì đó.
And the judges will have the question looked into with care: and if the witness is seen to be false and to have made a false statement against his brother,|Các quan án phải tra xét kỹ càng, nếu thấy người chứng nầy là chứng dối, đã thưa gian cho anh em mình,
Then do to him what it was his purpose to do to his brother: and so put away the evil from among you.|thì các ngươi phải làm cho hắn như hắn đã toan làm cho anh em mình; vậy, ngươi sẽ cất sự ác khỏi giữa mình.
And the rest of the people, hearing of it, will be full of fear, and never again do such evil among you.|Còn những người khác hay điều đó, sẽ sợ, không làm sự hung ác như thế ở giữa ngươi nữa.
Have no pity; let life be given for life, eye for eye, tooth for tooth, hand for hand, foot for foot.|Mắt ngươi chớ thương xót: mạng đền mạng, mắt đền mắt, răng đền răng, tay đền tay, chân đền chân.

					Deuteronomy 20				|
						Phục Truyền Luật Lệ 20					
When you go out to war against other nations, and come face to face with horses and war-carriages and armies greater in number than yourselves, have no fear of them: for the Lord your God is with you, who took you up out of the land of Egypt.|Khi nào ngươi ra giao chiến cùng thù nghịch mình, nếu thấy ngựa, xe và binh đông hơn mình, thì chớ sợ; vì Giê-hô-va Đức Chúa Trời ngươi, là Đấng đã khiến ngươi lên khỏi xứ Ê-díp-tô, ở cùng ngươi.
And when you are on the point of attacking, let the priest come forward and say to the people,|Lúc gần khai chiến, thầy tế lễ sẽ bước tới, nói cùng dân sự₫
Give ear, O Israel: today you are going forward to the fight; let your heart be strong; do not let uncontrolled fear overcome you because of those who are against you;|mà rằng: Hỡi Y-sơ-ra-ên, hãy nghe! Ngày nay các ngươi đi giao chiến cùng thù nghịch mình, lòng các ngươi chớ nhát, chớ sợ, chớ run rẩy, và chớ kinh khiếp vì chúng nó;
For the Lord your God goes with you, fighting for you to give you salvation from those who are against you.|bởi Giê-hô-va Đức Chúa Trời các ngươi là Đấng cùng đi với các ngươi, đặng vì các ngươi đánh kẻ thù nghịch và giải cứu cho.
And let the overseers say to the people, If there is any man who has made for himself a new house and has not gone into it, let him go back to his house, so that in the event of his death in the fight, another may not take his house for himself.|Bấy giờ, các quan trưởng sẽ nói cùng dân sự mà rằng: Ai đã cất một nhà mới, mà chưa khánh thành? Hãy đi trờ về nhà mình, e chết nơi chiến trận, rồi một người khác sẽ khánh thành chăng.
Or if any man has made a vine-garden without taking the first-fruits of it, let him go back to his house, so that in the event of his death in the fight, another may not be the first to make use of the fruit.|Ai đã trồng một vườn nho và chưa hái trái? Hãy đi trở về nhà mình, kẻo chết nơi chiến trận, rồi một người khác sẽ hái trái chăng.
Or if any man is newly married and has had no sex relations with his wife, let him go back to his house, so that in the event of his death in the fight, another man may not take her.|Ai đã làm lễ hỏi một người nữ, mà chưa cưới? Hãy đi trở về nhà mình, e chết nơi chiến trận, rồi người khác sẽ cưới nàng chăng.
And let the overseers go on to say to the people, If there is any man whose heart is feeble with fear, let him go back to his house before he makes the hearts of his countrymen feeble.|Các quan trưởng sẽ cứ nói tiếp cùng dân sự mà rằng: Ai là người sợ và nhất? Hãy đi trở về nhà mình, e lòng của anh em mình tán đởm như lòng mình chăng.
Then, after saying these words to the people, let the overseers put captains over the army.|Vừa khi các quan trưởng nói xong với dân sự, thì phải lập những tướng làm đầu dân sự.
When you come to a town, before attacking it, make an offer of peace.|Khi ngươi đến gần một cái thành đặng hãm, trước phải giảng hòa cùng nó.
And if it gives you back an answer of peace, opening its doors to you, then all the people in it may be put to forced work as your servants.|Nếu thành đó đáp hòa và mở cửa cho ngươi, thì toàn dân sự ở đó sẽ nạp thuế và phục dịch ngươi.
If however it will not make peace with you, but war, then let it be shut in on all sides:|Ví bằng thành không khứng hòa, nhưng khai chiến cùng ngươi, bấy giờ ngươi sẽ vây nó.
And when the Lord your God has given it into your hands, let every male in it be put to death without mercy.|Giê-hô-va Đức Chúa Trời ngươi sẽ phó nó vào tay ngươi, rồi ngươi giết hết thảy người nam bằng lưỡi gươm.
But the women and the children and the cattle and everything in the town and all its wealth, you may take for yourselves: the wealth of your haters, which the Lord your God has given you, will be your food.|Song ngươi phải thâu cho mình những đàn bà, con trẻ, súc vật, và mọi vật chi ở trong thành, tức là mọi của cướp được. Ngươi sẽ ăn lấy của cướp của quân nghịch mà Giê-hô-va Đức Chúa Trời ngươi, ban cho ngươi.
So you are to do to all the towns far away, which are not the towns of these nations.|Ngươi phải đối đãi như vậy cùng các thành ở cách xa ngươi, không thuộc về những dân tộc nầy.
But in the towns of these peoples whose land the Lord your God is giving you for your heritage, let no living thing be kept from death:|Nhưng trong các thành của những dân tộc nầy, mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi làm sản nghiệp, thì chớ để sống một vật nào biết thở;
Give them up to the curse; the Hittite, the Amorite, the Canaanite, the Perizzite, the Hivite, and the Jebusite, as the Lord your God has given you orders:|khá tận diệt dân Hê-tít, dân A-mô-rít, dân Ca-na-an, dân Phê-rê-sít, dân Hê-vít, dân Giê-bu-sít, y như Giê-hô-va Đức Chúa Trời ngươi đã phán dặn,
So that you may not take them as your example and do all the disgusting things which they do in the worship of their gods, so sinning against the Lord your God.|để chúng nó không dạy các ngươi bắt chước làm theo những sự gớm ghiếc chúng nó đã làm, đặng cúng thờ các thần chúng nó, e các ngươi phạm tội cùng Giê-hô-va Đức Chúa Trời các ngươi chăng.
If in war a town is shut in by your armies for a long time, do not let its trees be cut down and made waste; for their fruit will be your food; are the trees of the countryside men for you to take up arms against them?|Khi ngươi vây một thành nào lâu đặng hãm chiếm, chớ lấy rìu chặt những cây của thành đó, vì ngươi có thể ăn được trái nó. Vậy, chớ chặt nó; vì cây ngoại đồng há là một người để bị ngươi vây sao?
Only those trees which you are certain are not used for food may be cut down and put to destruction: and you are to make walls of attack against the town till it is taken.|Ngươi chỉ phải phá hại và chặt những cây mình biết chẳng phải là cây ăn trái; hãy dùng nó cất đồn lũy để đánh thành đang làm giặc với mình đó, cho đến chừng nào nó đầu hàng.

					Deuteronomy 21				|
						Phục Truyền Luật Lệ 21					
If, in the land which the Lord your God is giving you, you come across the dead body of a man in the open country, and you have no idea who has put him to death:|Khi nào trong đất mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi nhận lấy, người ta gặp một người nam bị giết, nằm sải trên đồng, chẳng biết ai đã giết,
Then your responsible men and your judges are to come out, and give orders for the distance from the dead body to the towns round about it to be measured;|thì các trưởng lão và quan án của ngươi phải đi ra, đo bề xa từ người bị giết đến các thành ở chung quanh người.
And whichever town is nearest to the body, the responsible men of that town are to take from the herd a young cow which has never been used for work or put under the yoke;|Đoạn, các trưởng lão của thành gần người bị giết hơn hết, phải bắt một con bò cái tơ, chưa làm việc hay mang ách,
And they are to take the cow into a valley where there is flowing water, and which is not ploughed or planted, and there the neck of the cow is to be broken:|dẫn nó đến một dòng nước hằng chảy, gần đó không ai cày và gieo; rồi, tại nơi ấy, trong khe, vặn cổ con bò cái tơ.
Then the priests, the sons of Levi, are to come near; for they have been marked out by the Lord your God to be his servants and to give blessings in the name of the Lord; and by their decision every argument and every blow is to be judged:|Những thầy tế lễ, là con trai Lê-vi, sẽ đến gần; vì Giê-hô-va Đức Chúa Trời ngươi đã chọn các người ấy đặng phục sự Ngài, và nhân danh Đức Giê-hô-va mà chúc phước cho; tùy lời miệng họ làm bằng, phải quyết phán các sự tranh tụng và thương tích.
And all the responsible men of that town which is nearest to the dead man, washing their hands over the cow whose neck was broken in the valley,|Bấy giờ, hết thảy những trưởng lão của thành ở gần người bị giết hơn hết, sẽ rửa tay mình trên con bò cái tơ mới bị vặn cổ trong khe;
Will say, This death is not the work of our hands and our eyes have not seen it.|đoạn, cất tiếng nói rằng: Tay chúng tôi chẳng đổ huyết nầy ra; mắt chúng tôi chẳng thấy gì.
Have mercy, O Lord, on your people Israel whom you have made free, and take away from your people the crime of a death without cause. Then they will no longer be responsible for the man's death.|Lạy Đức Giê-hô-va cầu xin Ngài tha tội cho dân sự Ngài mà Ngài đã chuộc! Xin chớ kể huyết vô tội cho dân Y-sơ-ra-ên của Ngài! Rồi tội sát nhân sẽ được tha cho họ.
So you will take away the crime of a death without cause from among you, when you do what is right in the eyes of the Lord.|Như vậy, ngươi làm điều ngay thẳng tại trước mặt Đức Giê-hô-va, và cất huyết vô tội khỏi giữa mình.
When you go out to war against other nations, and the Lord your God gives them up into your hands and you take them as prisoners;|Khi nào ngươi ra chiến đấu cùng quân thù nghịch mình, nhờ Giê-hô-va Đức Chúa Trời ngươi phó chúng nó vào tay ngươi, và ngươi dẫn tù chúng nó,
If among the prisoners you see a beautiful woman and it is your desire to make her your wife;|nếu thấy trong những tù giặc một người nữ lịch sự mà mình ái mộ muốn lấy làm vợ,
Then take her back to your house; and let her hair and her nails be cut;|thì phải dẫn nàng về nhà mình. Nàng sẽ cạo đầu mình, cắt móng tay;
And let her take off the dress in which she was made prisoner and go on living in your house and weeping for her father and mother for a full month: and after that you may go in to her and be her husband and she will be your wife.|lột áo tù, và ở trong nhà ngươi khóc cha mẹ mình trong một tháng; kế ấy, ngươi sẽ đến cùng nàng, làm chồng nàng, và nàng sẽ làm vợ ngươi.
But if you have no delight in her, you are to let her go wherever she will; you may not take a price for her as if she was your property, for you have made use of her for your pleasure.|Nếu ngày sau ngươi không ưa nàng nữa, nàng muốn đi đâu, thì phải cho nàng đi mặc ý, và vì ngươi đã lấy nàng làm vợ, nên chẳng khá bán nàng lấy tiền, hay đãi nàng như nô lệ.
If a man has two wives, one greatly loved and the other hated, and the two of them have had children by him; and if the first son is the child of the hated wife:|Khi một người nam nào có hai vợ, vợ nầy được thương, vợ kia bị ghét, song cả hai đều có sanh con cho ngươi, và con trưởng nam thuộc về vợ bị ghét,
Then when he gives his property to his sons for their heritage, he is not to put the son of his loved one in the place of the first son, the son of the hated wife:|khi ngươi chia sản nghiệp cho các con mình, thì chẳng được phép trao quyền trưởng nam cho con trai của vợ được thương thế cho con trai của vợ bị ghét, bởi nó vốn là trưởng nam.
But he is to give his first son his birthright, and twice as great a part of his property: for he is the first-fruits of his strength and the right of the first son is his.|Nhưng ngươi phải nhận con trai của vợ bị ghét làm con đầu lòng, chia một phần bằng hai về mọi vật thuộc về mình; vì nó vốn là sự đầu tiên của sức mạnh ngươi; quyền trưởng nam thuộc về nó vậy.
If a man has a son who is hard-hearted and uncontrolled, who gives no attention to the voice of his father and mother, and will not be ruled by them, though they give him punishment:|Khi ai có một đứa con khó dạy và bội nghịch, không nghe theo lời cha mẹ, và mặc dầu bị trừng trị, nó vẫn không khứng vâng lời,
Then let his father and mother take him to the responsible men of the town, to the public place;|thì cha mẹ phải bắt nó dẫn đến trước mặt các trưởng lão của thành mình, tại nơi cửa thành.
And say to them, This son of ours is hard-hearted and uncontrolled, he will not give attention to us; he gives himself up to pleasure and strong drink.|Đoạn, cha mẹ sẽ nói cùng các trưởng lão của thành mình rằng: Nầy con chúng tôi khó dạy và bội nghịch, không vâng lời chúng tôi, làm kẻ hoang đàng say sưa.
Then he is to be stoned to death by all the men of the town: so you are to put away the evil from among you; and all Israel, hearing of it, will be full of fear.|Bấy giờ, chúng dân thành ấy sẽ ném đá cho nó chết; như vậy ngươi sẽ cất sự ác khỏi giữa mình, và cả Y-sơ-ra-ên sẽ hay điều đó mà bắt sợ.
If a man does a crime for which the punishment is death, and he is put to death by hanging him on a tree;|Khi một người nào phạm tội đáng chết, thì hãy giết nó, và treo lên trụ hình,
Do not let his body be on the tree all night, but put it to rest in the earth the same day; for the man who undergoes hanging is cursed by God; so do not make unclean the land which the Lord your God is giving you for your heritage.|thây nó chớ để treo trên trụ hình cách đêm, song phải chôn trong nội ngày đó; vì kẻ nào bị treo ắt bị Đức Chúa Trời rủa sả. Như vậy, ngươi chẳng làm ô uế đất mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi làm sản nghiệp.

					Deuteronomy 22				|
						Phục Truyền Luật Lệ 22					
If you see your brother's ox or his sheep wandering, do not go by without helping, but take them back to your brother.|Nếu ngươi thấy bò hay là chiên của anh em mình bị lạc, thì chớ làm bộ chẳng thấy, phải dẫn nó về cho anh em mình.
If their owner is not near, or if you are not certain who he is, then take the beast to your house and keep it till its owner comes in search of it, and then you are to give it back to him.|Ví bằng anh em ngươi không ở gần ngươi, và ngươi không quen biết người, thì phải dắt bò, chiên đó vào nhà ngươi, cho đến chừng anh em ngươi đến kiếm, bấy giờ, phải trả nó lại cho.
Do the same with his ass or his robe or anything which has gone from your brother's keeping and which you have come across: do not keep it to yourself.|Ngươi làm như vậy cho con lừa, áo xống hay là mọi vật chi của anh em ngươi mất, là ngươi xí được; chớ làm bộ không thấy.
If you see your brother's ox or his ass falling down on the road, do not go by without giving him help in lifting it up again.|Nếu ngươi thấy lừa hay bò của anh em mình té trên đường, chớ làm bộ không thấy; khá đỡ nó đứng dậy.
It is not right for a woman to be dressed in man's clothing, or for a man to put on a woman's robe: whoever does such things is disgusting to the Lord your God.|Người nữ không phép mặc quần áo của người nam, và người nam cũng chẳng được mặc quần áo của người nữ; vì ai làm điều đó lấy làm gớm ghiếc cho Giê-hô-va Đức Chúa Trời ngươi.
If by chance you see a place which a bird has made for itself in a tree or on the earth, with young ones or eggs, and the mother bird seated on the young ones or on the eggs, do not take the mother bird with the young:|Khi ngươi gặp ngoài đường, hoặc ở trên cây, hoặc ở dưới đất, một ổ chim với con hay là trứng, thì chớ bắt chim mẹ luôn với chim con.
See that you let the mother bird go, but the young ones you may take; so it will be well for you and your life will be long.|Phải để cho chim mẹ đi, bắt con cho phần mình, để ngươi được phước và sống lâu.
If you are building a house, make a railing for the roof, so that the blood of any man falling from it will not come on your house.|Khi ngươi cất một cái nhà mới, thì phải làm câu lơn nơi mái nhà, kẻo nếu người nào ở trên đó té xuống, ngươi gây cho nhà mình can đến huyết chăng.
Do not have your vine-garden planted with two sorts of seed: or all of it may become a loss, the seed you have put in as well as the increase.|Chớ trồng vườn nho mình hai thứ con giâm, e hết thảy hoặc con giâm ngươi đã trồng, hay là hoa lợi của vườn nho, đều thuộc về nơi thánh.
Do not do your ploughing with an ox and an ass yoked together.|Chớ cày bằng một con bò thắng chung với một con lừa.
Do not have clothing made of two sorts of thread, wool and linen together.|Chớ mặc bằng vải gai pha lộn, lông chiên và gai với nhau.
On the four edges of your robe, with which your body is covered, put ornaments of twisted threads.|Ngươi phải kết tua nơi bốn chéo áo choàng của mình mặc.
If any man takes a wife, and having had connection with her, has no delight in her,|Khi một người nam đã cưới vợ, ăn ở cùng nàng, rồi sau lại ghét đi,
