
					II Kings 1				|
Then Jehoahaz made prayer to the Lord, and the Lord gave ear to him, for he saw how cruelly Israel was crushed by the king of Aram.|Giô -a-cha cầu xin Đức Giê-hô-va, và Đức Giê-hô-va nhậm lời người, bởi vì Ngài thấy vua Sy-ri hà hiếp dân Y-sơ-ra-ên là cách nào.
(And the Lord gave Israel a saviour, so that they became free from the hands of the Aramaeans; and the children of Israel were living in their tents as in the past.|Đức Giê-hô-va ban cho Y-sơ-ra-ên một người giải cứu, dân Y-sơ-ra-ên được thoát khỏi dưới tay dân Sy-ri, và được ở lại trong trại mình như trước.
But still they did not give up the sin of Jeroboam, which he made Israel do, but went on with it; and there was an image of Asherah in Samaria.)|Dầu vậy, chúng không từ bỏ tội của nhà Giê-rô-bô-am, là tội người đã gây cho Y-sơ-ra-ên phạm tội; chúng cứ phạm tội đó, đến đỗi hình tượng At-tạt-tê còn đứng tại Sa-ma-ri.
For out of all his army, Jehoahaz had only fifty horsemen and ten carriages and ten thousand footmen; the king of Aram had given them up to destruction, crushing them like dust.|Trong cả cơ binh của Giô -a-cha, Đức Chúa Trời chỉ chừa lại cho người năm mươi lính kỵ, mười cỗ xe, và mười ngàn lính bộ; vì vua Sy-ri có diệt quân Y-sơ-ra-ên, và nghiền nát chúng như bụi trong sân đạp lúa.
Now the rest of the acts of Jehoahaz, and all he did, and his great power, are they not recorded in the book of the history of the kings of Israel?|Các chuyện khác của Giô -a-cha, những công việc người làm, và sự mạnh dạn người, thảy đều chép trong sử ký về các vua Y-sơ-ra-ên.
And Jehoahaz went to rest with his fathers, and was put into the earth in Samaria; and Joash his son became king in his place.|Giô -a-cha an giấc cùng các tổ phụ mình, và người ta chôn người tại Sa-ma-ri. Giô-ách, con trai người, kế vị người.
In the thirty-seventh year of the rule of Joash, king of Judah, Joash, the son of Jehoahaz, became king over Israel in Samaria, ruling for sixteen years.|Năm thứ ba mươi bảy đời Giô-ách, vua Giu-đa, thì Giô-ách, con trai Giô -a-cha, lên ngôi làm vua Y-sơ-ra-ên tại Sa-ma-ri, và người cai trị mười sáu năm.
He did evil in the eyes of the Lord, not turning away from the sin of Jeroboam, the son of Nebat, which he did and made Israel do, but he went on with it.|Người làm điều ác trước mặt Đức Giê-hô-va, không từ bỏ tội li của Giê-rô-bô-am, con trai Nê-bát, đã gây cho Y-sơ-ra-ên phạm tội, mà cứ làm theo.
Now the rest of the acts of Joash, and all he did, and the force with which he went to war against Amaziah, king of Judah, are they not recorded in the book of the history of the kings of Israel?|Các chuyện khác của Giô-ách, mọi công việc người làm, thể nào ngừi đánh giặc cùng A-ma-xia, vua Giu-đa, và sự mạnh dạn người làm sao, thảy đều chép trong sử ký về các vua Y-sơ-ra-ên.
And Joash went to rest with his fathers and Jeroboam took his place as king; and Joash was put into the earth in Samaria with the kings of Israel.|Giô-ách an giấc cùng các tổ phụ người, rồi Giê-rô-bô-am kế vị người. Giô-ách được chôn tại Sa-ma-ri chung với các vua Y-sơ-ra-ên.
Now Elisha became ill with the disease which was the cause of his death: and Joash, king of Israel, came down to him, and weeping over him said, My father, my father, the war-carriages of Israel and its horsemen!|Ê-li-sê đau bịnh, tại bịnh ấy người phải chết. Giô-ách, vua Y-sơ-ra-ên, đến thăm người, khóc trước mặt người, mà nói rằng: Hỡi cha tôi! cha tôi! Xe và lính kỵ của Y-sơ-ra-ên!
Then Elisha said to him, Take bow and arrows: and he took bow and arrows.|Ê-li-sê bèn nói với người rằng: Hãy lấy cung và tên. Giô-ách lấy cung và tên.
And he said to the king of Israel, Put your hand on the bow: and he put his hand on it; and Elisha put his hands on the king's hands.|Ê-li-sê lại nói với vua Y-sơ-ra-ên rằng: Hãy lấy tay ngươi giương cung. Vua bèn giương cung. Rồi Ê-li-sê đặt tay mình trên tay vua,
Then he said; Let the window be open to the east: and he got it open. Then Elisha said, Let the arrow go; and he let it go. And he said, The Lord's arrow of salvation, of salvation over Aram; for you will overcome the Aramaeans in Aphek and put an end to them.|mà nói rằng: Hãy mở cửa sổ ra. Ê-li-sê lại nói: Hãy bắn. Người bèn bắn. Bấy giờ Ê-li-sê tiếp rằng: Ay là cây tên thắng hơn của Đức Giê-hô-va, tức là cây tên thắng hơn dân Sy-ri vì ngươi sẽ hãm đánh dân Sy-ri tại A-phéc, đến đỗi tuyệt diệt chúng nó.
And he said, Take the arrows: and he took them. And he said to the king of Israel, Send them down into the earth; and he did so three times and no more.|Ê-li-sê tiếp rằng: Hãy lấy tên. Giô-ách bèn lấy tên. Ê-li-sê lại nói rằng: hãy đập xuống đất. Giô-ách đập ba lần, rồi ngừng.
Then the man of God was angry with him and said, If you had done it five or six times, then you would have overcome Aram completely; but now you will only overcome them three times.|Người của Đức Chúa Trời nổi giận, nói với vua rằng: Nếu vua đã đập năm sáu lần, thì mới đánh dân Sy-ri cho đến tận tuyệt; nhưng rày vua sẽ đánh dân Sy-ri ba lần mà thôi.
And death came to Elisha and they put his body into the earth. Now in the spring of the year, armed bands of Moabites frequently came, overrunning the land.|Ê-li-sê qua đời, và người ta chôn người. Đầu năm sau có đoàn quân Mô-áp toan vào xứ.
And while they were putting a dead man into the earth, they saw a band coming; and they put the man quickly into the place where Elisha's body was; and the dead man, on touching Elisha's bones, came to life again, and got up on his feet.|Vả, xảy ra có kẻ chôn một người, thấy đoàn quân ấy đến, liền liệng thây vào mồ Ê-li-sê. Kẻ chết vừa đụng hài cốt Ê-li-sê, thì sống lại và đứng dậy.
And Israel was crushed under the power of Hazael, king of Aram, all the days of Jehoahaz.|Trọn đời Giô -a-cha, Ha-xa-ên, vua Sy-ri, có hà hiếp dân Y-sơ-ra-ên.
But the Lord was kind to them and had pity on them, caring for them, because of his agreement with Abraham, Isaac, and Jacob; he would not put them to destruction or send them away from before his face till now.|Nhưng Đức Giê-hô-va làm ơn cho chúng, lấy lòng thương xót và đoái xem họ vì cớ lời giao ước của Ngài đã lập với Ap-ra-ham, Y-sác, và Gia-cốp. Ngài không muốn tận diệt chúng, không từ bỏ chúng khỏi trước mặt Ngài cho đến ngày nay.
Then Hazael, king of Aram, came to his end; and Ben-hadad his son became king in his place.|Ha-xa-ên, vua Sy-ri, băng hà; Bên-Ha-đát, con trai người, kế vị người.
And Jehoash, the son of Jehoahaz, took again from Ben-hadad, the son of Hazael, the towns which he had taken from Jehoahaz his father in war. Three times Jehoash overcame him and got back the towns of Israel.|Giô-ách, con trai Giô -a-cha, lấy lại khỏi tay Bên-Ha-đát, con trai Ha-xa-ên, các thành mà Bên-Ha-đát đã đánh lấy được của Giô -a-cha, cha người. Giô-ách đánh Bên-Ha-đát ba lần, và khôi phục các thành của Y-sơ-ra-ên.

					II Kings 14				|
						II Các Vua 14					
In the second year of Joash, son of Joahaz, king of Israel, Amaziah, the son of Joash, became king of Judah.|Năm thứ hai đời Giô-ách, con trai Giô -a-cha, vua Y-sơ-ra-ên, thì A-ma-xia, con trai Giô-ách, vua Giu-đa, lên ngôi.
He was twenty-five years old when he became king; and he was ruling in Jerusalem for twenty-nine years; his mother's name was Jehoaddin of Jerusalem.|Người được hai mươi lăm tuổi, khi tức vị vua, và cai trị hai mươi chín năm tại Giê-ru-sa-lem. Mẹ người tên là Giê-hoa-đan, quê ở Giê-ru-sa-lem.
He did what was right in the eyes of the Lord, though not like David his father; he did as Joash his father had done.|Người làm điều thiện trước mặt Đức Giê-hô-va, song chẳng như Đa-vít, tổ tiên người người làm theo mọi điều của Giô-ách, cha mình đã làm.
But still the high places were not taken away; the people went on making offerings and burning them in the high places.|Dầu vậy, người không dỡ các nơi cao đi; dân sự cứ tế lễ và xông hương trên các nơi cao ấy.
Now when he became strong in the kingdom, straight away he put to death those servants who had taken the life of the king his father;|Vừa khi nước người được vững chắc, người bèn xử tử những tôi tớ đã giết vua cha mình.
But he did not put their children to death; for the orders of the Lord recorded in the book of the law of Moses say, The fathers are not to be put to death for the children, or the children for their fathers; but a man is to be put to death for the sin which he himself has done.|Nhưng người không xử tử con cái của kẻ sát nhơn ấy, y theo lời đã chép trong sách luật pháp của Môi-se; trong đó Đức Giê-hô-va có phán rằng: Người ta sẽ không giết cha thế cho con, cũng sẽ chẳng giết con thế cho cha; mỗi người sẽ chết vì tội lỗi riêng mình.
He put to the sword twelve thousand men of Edom in the Valley of Salt, and took Sela in war, naming it Joktheel, as it is to this day.|A-ma-xia giết một muôn quân Ê-đôm tại trong trũng Muối, hãm lấy thành Sê-la, và đặt tên là Giốc-then, hãy còn đến ngày nay.
Then Amaziah sent representatives to Jehoash, the son of Jehoahaz, son of Jehu, king of Israel, saying, Come, let us have a meeting face to face.|Đoạn, A-ma-xia sai sứ giả đến cùng Giô-ách, con trai Giô -a-cha, cháu Giê-hu, vua Y-sơ-ra-ên, mà nói rằng: Hãy đến, để chúng ta tranh chiến nhau.
And Jehoash, king of Israel, sent to Amaziah, king of Judah, saying, The thorn-tree in Lebanon sent to the cedar in Lebanon, saying, Give your daughter to my son for a wife: and a beast from the woodland in Lebanon went by, crushing the thorn under his feet.|Giô-ách, vua Y-sơ-ra-ên, sai sứ trả lời lại với A-ma-xia, vua Giu-đa, mà rằng: Cây gai tại Li-ban sai nói với cây hương nam cũng ở Li-ban, mà rằng: Hãy gả con gái ngươi làm vợ con trai ta. Nhưng có thú rừng của Li-ban đi ngang qua, giày đạp cây gai ấy dưới chơn.
It is true that you have overcome Edom and your heart is uplifted; let that glory be enough for you, and keep in your country; why do you make causes of trouble, putting yourself, and Judah with you, in danger of downfall?|Ngươi đã đánh dân Ê-đôm và lòng ngươi đầy kiêu ngạo. Khá hưởng vinh hiển, và ở lại trong nhà ngươi; cớ sao ngươi muốn gây cho mình mắc tai vạ, khiến cho ngươi và Giu-đa bị hư hại?
But Amaziah gave no attention. So Jehoash, king of Israel, went up, and he and Amaziah, king of Judah, came face to face at Beth-shemesh, which is in Judah.|A-ma-xia không muốn nghe Giô-ách. Vậy, Giô-ách, vua Y-sơ-ra-ên, bèn đi lên, rồi người và A-ma-xia, vua Gi-đa, giao chiến nhau tại Bết-Sê-mết, trong xứ Giu-đa.
And Judah was overcome before Israel, so that they went in flight, every man to his tent.|Quân Giu-đa bèn chạy trốn, mỗi người về trại mình.
And Jehoash, king of Israel, made Amaziah, king of Judah, the son of Jehoash, son of Ahaziah, prisoner at Beth-shemesh, and came to Jerusalem, and had the wall of Jerusalem pulled down from the doorway of Ephraim to the door in the angle, four hundred cubits.|Tại Bết-Sê-mết, Giô-ách, vua Y-sơ-ra-ên, bắt A-ma-xia vua Giu-đa, con trai Giô-ách cháu A-cha-xia; đoạn đi đến Giê-ru-sa-lem, phá vách thành từ cửa Ep-ra-im cho đến cửa Góc, một khúc dài bốn trăm thước.
And he took all the gold and silver and all the vessels which were in the house of the Lord and in the store-house of the king, together with those whose lives would be the price of broken faith, and went back to Samaria.|Người đoạt lấy những vàng, bạc, và mọi khí dụng ở trong đền thờ của Đức Gie-hô-va, và những bửu vật của đền vua; người cũng lấy kẻ cầm làm tin, rồi trở về Sa-ma-ri.
Now the rest of the acts of Jehoash, and his power, and how he went to war with Amaziah, king of Judah, are they not recorded in the book of the history of the kings of Israel?|Các chuyện khác của Giô-ách những công việc người làm, sự mạnh dạn người, cuộc chiến trận của người với A-ma-xia, vua Giu-đa, đều đã chép trong sử ký về các vua Y-sơ-ra-ên.
And Jehoash went to rest with his fathers, and was put into the earth in Samaria with the kings of Israel; and Jeroboam his son became king in his place.|Giô-ách an giấc cùng các tổ phụ người, và được chôn tại Sa-ma-ri; rồi Giê-rô-bô-am, con trai người, kế vị người.
Amaziah, the son of Joash, king of Judah, went on living for fifteen years after the death of Jehoash, son of Jehoahaz, king of Israel.|A-ma-xia, con trai Giô-ách, vua Giu-đa, còn sống mười lăm năm, sau khi Giô-ách, con trai Giô -a-cha, vua Y-sơ-ra-ên, đã băng hà.
And the rest of the acts of Amaziah, are they not recorded in the book of the history of the kings of Judah?|Các chuyện khác của A-ma-xia, đều chép trong sử ký về các vua Giu-đa.
Now they made a secret design against him in Jerusalem; and he went in flight to Lachish, but they sent after him to Lachish and put him to death there.|Tại Giê-ru-sa-lem có kẻ phản nghịch với người; người bèn trốn đến La-ki. Nhưng người ta sai rượt theo người tại đó.
And they took his body on horseback and put it into the earth with his fathers in Jerusalem, the town of David.|Đoạn, có người chở thây người trên ngựa đến Giê-ru-sa-lem, và chôn người chung cùng các tổ phụ người, tại thành Đa-vít.
Then all the people of Judah took Azariah, who was sixteen years old, and made him king in place of his father Amaziah.|Cả dân Giu-đa bèn lập A-xa-ria làm vua thế cho A-ma-xia, cha người; tuổi người đã mười sáu.
He was the builder of Elath, which he got back for Judah after the death of the king.|Sau khi vua cha an giấc cùng các tổ phụ mình, người lại xây Ê-lát, và khôi phục thành ấy về dưới quyền Giu-đa.
In the fifteenth year of the rule of Amaziah, son of Joash, king of Judah, Jeroboam, the son of Joash, king of Israel, became king in Samaria, ruling for forty-one years.|Năm thứ mười lăm đời A-ma-xia, con trai Giô-ách, vua Giu-đa, thì Giê-rô-bô-am, con trai Giô-ách, lên ngôi làm vua Y-sơ-ra-ên tại Sa-ma-ri. Người cai trị bốn mươi bốn năm.
He did evil in the eyes of the Lord, not turning away from the sin which Jeroboam, the son of Nebat, did and made Israel do.|Người làm điều ác trước mặt Đức Giê-hô-va, chẳng từ bỏ tội lỗi của Giê-rô-bô-am, con trai Nê-bát, đã gây cho Y-sơ-ra-ên phạm tội.
He got back the old limits of Israel from the way into Hamath to the sea of the Arabah, as the Lord had said by his servant Jonah, the son of Amittai, the prophet of Gath-hepher.|Người khôi phục bờ cõi Y-sơ-ra-ên từ nơi giáp Ha-mát cho đến biển đồng bằng, theo như lời Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên đã phán bởi miệng tiên tri Giô-na, tôi tớ Ngài, là con trai A-mi-tai, ở tại Gát-Hê-phe.
For the Lord saw how bitter was the trouble of Israel, and that everyone was cut off, he who was shut up and he who went free, and that Israel had no helper.|Vả, Đức Giê-hô-va đã thấy Y-sơ-ra-ên bị gian nan rất cay đắng; vì trong Y-sơ-ra-ên chẳng còn ai tự do, hoặc nô lệ nữa, cũng chẳng có ai tiếp cứu Y-sơ-ra-ên.
And the Lord had not said that the name of Israel was to be taken away from the earth; but he gave them a saviour in Jeroboam, the son of Joash.|Đức Giê-hô-va không có phán rằng Ngài sẽ xóa danh Y-sơ-ra-ên khỏi dưới trời, bèn cậy Giê-rô-bô-am, con trai Giô-ách, mà giải cứu họ.
Now the rest of the acts of Jeroboam, and all he did, and his power, and how he went to war with Damascus, causing the wrath of the Lord to be turned away from Israel, are they not recorded in the book of the history of the kings of Israel?|Các chuyện khác của Giê-rô-bô-am, những công việc người, sự mạnh dạn người, thể nào người chiến trận và khôi phục lại cho Y-sơ-ra-ên Đa-mách và Ha-mát trước đã phục Giu-đa, mọi việc ấy đều đã chép trong sử ký về các vua Y-sơ-ra-ên.
And Jeroboam went to rest with his fathers, and was put into the earth with the kings of Israel; and Zechariah his son became king in his place.|Giê-rô-bô-am an giấc cùng các tổ phụ người, là các vua Y-sơ-ra-ên; rồi Xa-cha-ri, con trai người, kế vị người.

					II Kings 15				|
						II Các Vua 15					
In the twenty-seventh year of the rule of Jeroboam, king of Israel, Azariah, son of Amaziah, became king of Judah.|Năm thứ hai mươi bảy đời Giê-rô-bô-am, vua Y-sơ-ra-ên, thì A-xa-ria, con trai A-ma-xia, vua Giu-đa, lên làm vua.
He was sixteen years old when he became king, and he was ruling in Jerusalem for fifty-two years; his mother's name was Jecoliah of Jerusalem.|Người được mười sáu tuổi khi lên ngôi, và cai trị năm mươi hai năm tại Giê-ru-sa-lem. Mẹ người tên là Giê-cô-lia, quê ở Giê-ru-sa-lem.
And he did what was right in the eyes of the Lord, as his father Amaziah had done.|Người làm điều thiện trước mặt Đức Giê-hô-va, cứ theo mọi điều của A-ma-xia, cha người đã làm.
But he did not take away the high places, and the people still went on making offerings and burning them in the high places.|Thế mà người không dỡ các nơi cao đi; dân sự cứ cúng tế và xông hương trên các nơi cao.
And the Lord sent disease on the king and he became a leper, and to the day of his death he was living separately in his private house. And Jotham his son was over his house, judging the people of the land.|Đức Giê-hô-va giáng họa cho vua, khiến bị bịnh phung cho đến ngày người chết; người phải rút ở trong nhà riêng. Giô-tham, con trai vua, cai quản đền vua và xét đoán dân sự của xứ.
Now the rest of the acts of Azariah, and all he did, are they not recorded in the book of the history of the kings of Judah?|Các chuyện khác của A-xa-ria, những công việc người, đều đã chép trong sử ký về các vua Giu-đa.
And Azariah went to rest with his fathers and was put into the earth with his fathers in the town of David; and Jotham his son became king in his place.|A-xa-ria an giấc cùng các tổ phụ người, và được chôn cùng họ tại trong thành Đa-vít. Giô-tham, con trai người, kế vị người.
In the thirty-eighth year of Azaliah, king of Judah, Zechariah, son of Jeroboam, was king over Israel for six months.|Năm thứ ba mươi tám đời A-xa-ria, vua Giu-đa, Xa-cha-ri, con trai Giê-rô-bô-am, lên làm vua Y-sơ-ra-ên tại Sa-ma-ri; người cai trị sáu tháng.
And he did evil in the eyes of the Lord, as his father had done, not turning away from the sin which Jeroboam, the son of Nebat, did and made Israel do.|Người làm điều ác trước mặt Đức Giê-hô-va, y như các tổ phụ mình đã làm; người không từ bỏ tội lỗi của Giê-rô-bô-am, con trai Nê-bát, là tội đã gây cho Y-sơ-ra-ên phạm tội.
And Shallum, the son of Jabesh, made a secret design against him, and, attacking him in Ibleam, put him to death and became king in his place.|Vả, Sa-lum, con trai Gia-be, dấy nghịch cùng người, đánh giết người tại trước mặt dân sự; đoạn làm vua thế cho người.
Now the rest of the acts of Zechariah are recorded in the book of the history of the kings of Israel.|Các chuyện khác của Xa-cha-ri đều chép trong sử ký về các vua Y-sơ-ra-ên.
This was what the Lord had said to Jehu, Your sons to the fourth generation will be kings of Israel. And so it came about.|Như vậy là ứng nghiệm lời của Đức Giê-hô-va phán cho Giê-hu rằng: Dòng dõi ngươi sẽ ngồi trên ngôi Y-sơ-ra-ên cho đến đời thứ tư. Thật vậy, ấy là điều đã xảy đến.
Shallum, the son of Jabesh, became king in the thirty-ninth year of Uzziah, king of Judah; and he was ruling in Samaria for the space of one month.|Năm thứ ba mươi chín đời Ô-xia, vua Giu-đa, Sa-lum, con trai Gia-be, lên làm vua, cai trị một tháng tại Sa-ma-ri.
Then Menahem, the son of Gadi, went up from Tirzah and came to Samaria, and attacking Shallum, son of Jabesh, in Samaria, put him to death and made himself king in his place.|Mê-na-hem, con trai Ga-đi, ở Tiệt sa đi lên Sa-ma-ri, và giết người đi. Đoạn, Mê-ha-hem lên làm vua thế cho.
Now the rest of the acts of Shallum, and the secret design which he made, are recorded in the book of the history of the kings of Israel.|Các chuyện khác của Sa-lum, và người phản ngụy làm sao, đều chép trong sử ký về các vua Y-sơ-ra-ên.
Then Menahem sent destruction on Tappuah and all the people in it, and its limits, from Tirzah, because they would not let him come in; and he had all the women who were with child cut open.|Bấy giờ, Mê-na-hem đi khỏi Tiệt-sa, hãm đánh Típ-sắc, cả dân sự ở trong, và khắp địa hạt chung quanh, bởi vì thành ấy không khứng mở cửa cho; nên người đánh nó, và mổ bụng hết thảy người đàn bà có nghén ở tại đó.
In the thirty-ninth year of Azariah, king of Judah, Menahem, the son of Gadi, became king over Israel, and was ruling in Samaria for ten years.|Năm thứ ba mươi chín đời A-xa-ria, vua Giu-đa, thì Mê-na-hem, con trai Ga-đi, lên làm vua Y-sơ-ra-ên, và cai trị mười năm tại Sa-ma-ri.
He did evil in the eyes of the Lord; he did not keep himself from the sin which Jeroboam, the son of Nebat, did and made Israel do.|Người làm điều ác trước mặt Đức Giê-hô-va; trọn đời chẳng hề lìa khỏi các tội lỗi của Giê-rô-bô-am, con trai Nê-bát, là tội đã gây cho Y-sơ-ra-ên phạm tội.
In his day, Pul, the king of Assyria, came up against the land; and Menahem gave Pul a thousand talents of silver so that he might let him keep the kingdom.|Phun, vua A-si-ri, loán đến trong xứ; Mê-na-hem bèn nộp cho người một ngàn ta lâng bạc, để người giúp đỡ làm cho nước mình đặng vững vàng trong tay người.
And Menahem got the money from Israel, from all the men of wealth, fifty silver shekels from every man, to give to the king of Assyria. So the king of Assyria went back without stopping in the land.|Mê-na-hem thâu lấy tiền bạc ấy nơi dân Y-sơ-ra-ên, tức nơi nhữn người có tài sản nhiều, cứ mỗi người năm mươi siếc lơ bạc, đặng nộp cho vua A-si-ri. Đoạn, vua A-si-ri trở về, chẳng ở lâu tại xứ.
Now the rest of the acts of Menahem, and all he did, are they not recorded in the book of the history of the kings of Israel?|Các chuyện khác của Mê-na-hem, và những công việc người, đều đã chép trong sử ký về các vua Y-sơ-ra-ên.
And Menahem went to rest with his fathers; and Pekahiah his son became king in his place.|Mê-na-hem an giấc với các tổ phụ người, và Phê-ca-hia, con trai người, kế vị người.
In the fiftieth year of Azariah king of Judah, Pekahiah, the son of Menahem, became king over Israel in Samaria, ruling for two years.|Năm thứ năm mươi đời A-xa-ria, vua Giu-đa, thì Phê-ca-hia, con trai Mê-na-hem, lên làm vua Y-sơ-ra-ên tại Sa-ma-ri, và cai trị hai năm.
He did evil in the eyes of the Lord, not turning from the sin which Jeroboam, the son of Nebat, did and made Israel do.|Người làm điều ác trước mặt Đức Giê-hô-va, không từ bỏ tội lỗi của Giê-rô-bô-am, con trai Nê-bát, là tội đã gây cho Y-sơ-ra-ên phạm tội.
And Pekah, the son of Remaliah, his captain, made a secret design against him, attacking him in the king's great house in Samaria; and with him were fifty men of Gilead; and he put him to death and became king in his place.|Phê-ca, con trai Rê-ma-lia, quan tổng binh người, phản nghịch người, và đánh người tại Sa-ma-ri, trong thành lũy của đền vua, luôn với At-gốp và A-ri-ê. Người có năm mươi người Ga-la-át theo mình. Vậy người giết Phê-ca-hia và cai trị thế cho.
Now the rest of the acts of Pekahiah, and all he did, are recorded in the book of the history of the kings of Israel.|Các chuyện khác của Phê-ca-hia, và những công việc của người, đều chép trong sử ký về các vua Y-sơ-ra-ên.
In the fifty-second year of Azariah, king of Judah, Pekah, the son of Remaliah, became king over Israel in Samaria, ruling for twenty years.|Năm thứ năm mươi hai đời A-xa-ria, vua Giu-đa, thì Phê-ca, con trai Rê-ma-lia, lên làm vua Y-sơ-ra-ên, tại Sa-ma-ri, và cai trị hai mươi năm.
He did evil in the eyes of the Lord, not turning from the sin which Jeroboam, the son of Nebat, did and made Israel do.|Người làm điều ác trước mặt Đức Giê-hô-va, không từ bỏ tội lỗi của Giê-rô-bô-am, con trai Nê-bát, là tội đã gây cho Y-sơ-ra-ên phạm tội.
In the days of Pekah, king of Israel, Tiglath-pileser, king of Assyria, came and took Ijon and Abel-beth-maacah and Janoah and Kedesh and Hazor and Gilead and Galilee and all the land of Naphtali; and he took the people away to Assyria.|Trong đời Phê-ca, vua Y-sơ-ra-ên, Tiếc-la-Phi-lê-se, vua A-si-ri, loán đến chiếm lấy Y-giôn, A-bên-Bết-Ma-ca, Gia-nô-ác, Kê-đe, Hát-so, miền Ga-la-át, miền Ga-li-lê, và cả địa phận Nép-ta-li; đoạn đem dân sự các sứ ấy sang A-si-ri.
And Hoshea, the son of Elah, made a secret design against Pekah, the son of Remaliah, and, attacking him, put him to death and became king in his place, in the twentieth year of Jotham, the son of Uzziah.|Ô-sê, con trai Ê-la, mưu phản Phê-ca, con trai Rê-ma-lia, và đánh giết người, rồi lên làm vua thế cho, nhằm năm thứ hai mươi đời Giô-tham, con trai Ô-xia.
Now the rest of the acts of Pekah, and all he did, are recorded in the book of the history of the kings of Israel.|Các chuyện khác của Phê-ca, và những công việc người, đều chép trong sử ký về các vua Y-sơ-ra-ên.
In the second year of Pekah, the son of Remaliah, king of Israel, Jotham, the son of Uzziah, became king of Judah.|Năm thứ hai đời Phê-ca, con trai Rê-ma-lia, vua Y-sơ-ra-ên, thì Giô-tham, con trai Ô-xia, vua Giu-đa, lên ngôi làm vua
He was twenty-five years old when he became king, and he was ruling for sixteen years in Jerusalem; and his mother's name was Jerusha, the daughter of Zadok.|Người được hai mươi lăm tuổi khi tức vị, cai trị mười sáu năm tại Giê-ru-sa-lem. mẹ người tên là Giê-ru-sa, con gái Xa-đốc.
And he did what was right in the eyes of the Lord, as his father Uzziah had done.|Người làm điều thiện trước mặt Đức Giê-hô-va, cứ theo trọn mọi điều Ô-xia, cha người đã làm.
But he did not take away the high places, and the people still went on making offerings and burning them in the high places. He was the builder of the higher doorway of the house of the Lord.|Dầu vậy, người không dỡ các nơi cao; dân sự cứ cúng tế và xông hương trên các nơi cao đó. Ay là Giô-tham xây cất cửa thượng của đền thờ Đức Giê-hô-va.
Now the rest of the acts of Jotham, and all he did, are they not recorded in the book of the history of the kings of Judah?|Các chuyện khác của Giô-tham, và những công việc người, đều chép trong sử ký về các vua Giu-đa.
In those days the Lord first sent against Judah, Rezin, the king of Aram, and Pekah, the son of Remaliah.|Trong lúc đó, Đức Giê-hô-va khởi khiến Rê-xin, vua Sy-ri, và Phê-ca, con trai Rê-ma-lia, đến hãm đánh Giu-đa.
And Jotham went to rest with his fathers, and was put into the earth in the town of David his father; and Ahaz his son became king in his place.|Giô-tham an giấc cùng các tổ phụ người, được chôn bên họ, tại thành Đa-vít, tổ tiên người. A-cha, con trai người, lên làm vua thế cho người.

					II Kings 16				|
						II Các Vua 16					
In the seventeenth year of Pekah, the son of Remaliah, Ahaz, the son of Jotham, became king of Judah.|Năm thứ mười bảy đời Phê-ca, con tra Rê-ma-lia, thì A-cha, con trai Giô-tham, vua Giu-đa, lên làm vua.
Ahaz was twenty years old when he became king; he was ruling for sixteen years in Jerusalem. He did not do what was right in the eyes of the Lord his God, as David his father did.|A-cha được hai mươi tuổi khi người lên làm vua; người cai trị mười sáu năm tại Giê-ru-sa-lem. Người chẳng làm điều thiện trước mặt Giê-hô-va Đức Chúa Trời người, như Đa-vít tổ phụ người, đã làm;
But he went in the ways of the kings of Israel, and even made his son go through the fire, copying the disgusting ways of the nations whom the Lord had sent out of the land before the children of Israel.|nhưng người đi theo con đường của các vua Y-sơ-ra-ên, thậm chí bắt chước theo gương gớm ghiếc của các dân tộc Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-sơ-ra-ên, mà đưa con trai mình qua lửa.
And he made offerings, burning them in the high places and on the hills and under every green tree.|Người cũng cúng tế và xông hương trên các nơi cao, trên gò và dưới cây rậm.
Then Rezin, king of Aram, and Pekah, son of Remaliah, king of Israel, came up to Jerusalem to make war; and they made an attack on Ahaz, shutting him in, but were not able to overcome him.|Bấy giờ, Rô-xin, vua Sy-ri và Phê-ca, con trai Rê-ma-lia, vua Y-sơ-ra-ên, đều đi lên đặng hãm đánh Giê-ru-sa-lem; họ vây A-cha; nhưng không thắng người được.
At that time the king of Edom got Elath back for Edom, and sent the Jews out of Elath; and the Edomites came back to Elath where they are living to this day.|Ay nhằm lúc đó Rê-xin, vua Sy-ri; người đuổi dân Giu-đa khỏi Ê-lát, và dân Sy-ri bèn đến Ê-lát, ở đó cho đến ngày nay.
So Ahaz sent representatives to Tiglath-pileser, king of Assyria, saying, I am your servant and your son; come to my help against the kings of Aram and Israel who have taken up arms against me.|A-cha sai sứ giả đến Tiếc-la-Phi-lê-se, vua A-si-ri, nói với người rằng: Tôi là kẻ tôi tớ vua, là con trai vua; hãy đi đến giải cứu tôi khỏi tay vua Sy-ri và vua Y-sơ-ra-ên đã dấy lên cùng tôi.
And Ahaz took the silver and gold which were in the house of the Lord and in the king's store-house, and sent them as an offering to the king of Assyria.|A-cha lấy bạc và vàng có ở trong đền thờ Đức Giê-hô-va và ở trong kho đền vua, gởi đem làm của lễ cho vua A-si-ri.
