
					Nehemiah 1				|
All the people who had been prisoners and had come back, made tents and were living in them: for from the time of Jeshua, the son of Nun, till that day, the children of Israel had not done so. And there was very great joy.|Cả hội chúng của những kẻ bị bắt làm phu tù được trở về bèn cất những nhà lều, và ở trong đó. Từ đời Giô-suê, con trai của Nun, cho đến ngày ấy, dân Y-sơ-ra-ên chẳng có làm gì giống như vậy. Bèn có sự rất vui mừng.
And day by day, from the first day till the last, he was reading from the book of the law of God. And they kept the feast for seven days: and on the eighth day there was a holy meeting, as it is ordered in the law.|Mỗi ngày, từ ngày đầu cho đến ngày chót, người đọc trong sách luật pháp của Đức Chúa Trời. Chúng ăn lễ bảy ngày; còn qua ngày thứ tám, có một lễ trọng thể, tùy theo luật lệ.

					Nehemiah 9				|
						Nê-hê-mi-a 9					
Now on the twenty-fourth day of this month the children of Israel came together, taking no food and putting haircloth and dust on their bodies.|Ngày hai mươi bốn tháng ấy, dân Y-sơ-ra-ên nhóm lại, cữ ăn, mặc bao và phủ bụi đất.
And the seed of Israel made themselves separate from all the men of other nations, publicly requesting forgiveness for their sins and the wrongdoing of their fathers.|Dòng Y-sơ-ra-ên chia rẽ các người ngoại, đứng dậy xưng tội lỗi mình và sự gian ác của tổ phụ mình.
And for a fourth part of the day, upright in their places, they were reading from the book of the law of their God; and for a fourth part of the day they were requesting forgiveness and worshipping the Lord their God.|Chúng đứng dậy tại chỗ mình, đọc trong sách luật pháp của Giê-hô-va Đức Chúa Trời mình, lâu đến phần tư ngày: trong một phần tư khác, chúng xưng tội và thờ lạy Giê-hô-va Đức Chúa Trời của họ.
Then Jeshua, and Bani, Kadmiel, Shebaniah, Bunni, Sherebiah, Bani, and Chenani took their places on the steps of the Levites, crying in a loud voice to the Lord their God.|Bấy giờ, Giê-sua, Ba-ni, Cát-mi-ên, Sê-ba-nia, Bun-ni, Sê-rê-bia, Ba-ni, và Kê-na-ni, đứng dậy tại trên sạp người Lê-vi, và kêu cầu lớn tiếng cùng Giê-hô-va Đức Chúa Trời mình.
Then the Levites, Jeshua, and Kadmiel, Bani, Hashabneiah, Sherebiah, Hodiah, Shebaniah, and Pethahiah said, Get up and give praise to the Lord your God for ever and ever. Praise be to your great name which is lifted up high over all blessing and praise.|Khi ấy những người Lê-vi, là Giê-sua, Cát-mi-ên, Ba-ni, Ha-sáp-nia, Sê-rê-bia, Hô-đia, Sê-ba-nia, và Phê-ta-hia nói rằng: Hãy đứng dậy, ngợi khen Giê-hô-va Đức Chúa Trời của các ngươi, là Đấng hằng có đời đời kiếp kiếp! Đáng ngợi khen danh vinh hiển của Ngài, vẫn trổi cao hơn các sự chúc tụng và các lời khen ngợi.
You are the Lord, even you only; you have made heaven, the heaven of heavens with all their armies, the earth and all things in it, the seas and everything in them; and you keep them from destruction: and the armies of heaven are your worshippers.|Oi! chỉ một mình Chúa là Đức Giê-hô-va có một không hai; Chúa đã dựng nên các từng trời, và trời của các từng trời, cùng toàn cơ binh của nó, trái đất và các vật ở trên nó, biển và muôn vật ở dưới nó Chúa bảo tồn những vật ấy, và cơ binh của các từng trời đều thờ lạy Chúa.
You are the Lord, the God, who took Abram and made him yours, guiding him from Ur of the Chaldees, and gave him the name of Abraham;|Chúa ôi! Chúa là Giê-hô-va Đức Chúa Trời mà đã chọn Ap-ram, đem người ra khỏi U-sơ của dân Canh-đê, và ban cho người tên Ap-ra-ham.
You saw that his heart was true to you, and made an agreement with him to give the land of the Canaanite, the Hittite, the Amorite and the Perizzite and the Jebusite and the Girgashite, even to give it to his seed, and you have done what you said; for righteousness is yours:|Chúa thấy lòng người trung thành tại trước mặt Chúa, và Chúa lập giao ước với người, đặng ban cho dòng dõi người xứ của dân Ca-na-an, dân Hê-tít, dân A-mô-rít, dân Phê-rê-sít, dân Giê-bu-sít, và dân Ghi-rê-ga-sít; Chúa có làm ứng nghiệm lời của Chúa, vì Chúa là công bình.
And you saw the trouble of our fathers in Egypt, and their cry came to your ears by the Red Sea;|Chúa có thấy sự khốn khổ của tổ phụ chúng tôi tại Ê-díp-tô, có nghe tiếng kêu la của chúng tại bên Biển đỏ,
And you did signs and wonders on Pharaoh and all his servants and all the people of his land; for you saw how cruel they were to them. So you got yourself a name as it is today.|làm những dấu kỳ phép lạ nơi Pha-ra-ôn, nơi đầy tớ người và nơi toàn dân sự của nước người; vì Chúa biết rằng họ có đối đãi tổ phụ chúng tôi cách kiêu căng, và Chúa có làm nổi danh Chúa như thể ngày nay.
By you the sea was parted before them, so that they went through the sea on dry land; and those who went after them went down into the deep, like a stone into great waters.|Chúa có phân rẽ biển trước mặt chúng nó, để chúng nó đi ngang qua giữa biển trên đất khô; còn những kẻ đuổi theo, Chúa bèn ném họ dưới vực sâu, như ném đá trong nước lớn.
And you went before them by day in a pillar of cloud, and in a pillar of fire by night, to give them light on the way they were to go.|Ban ngày, Chúa dẫn dắt chúng bằng một trụ mây, và ban đêm bằng một trụ lửa, để chiếu sáng cho chúng trong con đường phải đi theo.
And you came down on Mount Sinai, and your voice came to them from heaven, giving them right decisions and true laws, good rules and orders:|Chúa cũng giáng lâm tại trên núi Si-nai, phán với chúng từ trên trời, ban cho chúng những luật lệ ngay thẳng, pháp độ chơn thật, và những qui tắc cùng điều răn tốt lành.
And you gave them word of your holy Sabbath, and gave them orders and rules and a law, by the hand of Moses your servant:|Chúa khiến cho chúng biết ngày sa-bát thánh của Chúa, cậy Môi-se, tôi tớ của Chúa, truyền cho chúng những điều răn, qui tắc, và luật pháp.
And you gave them bread from heaven when they were in need, and made water come out of the rock for their drink, and gave them orders to go in and take for their heritage the land which your hand had been lifted up to give them.|Từ các từng trời, Chúa ban cho chúng bánh đặng ăn đói, khiến hòn đá chảy ra nước cho chúng uống khát, phán biểu chúng vào nhận lấy xứ mà Chúa đã thề ban cho chúng.
But they and our fathers, in their pride, made their necks stiff, and gave no attention to your orders,|Nhưng tổ phụ chúng tôi cư xử cách kiêu hãnh cứng cổ mình, không nghe các điều răn của Chúa,
And would not do them, and gave no thought to the wonders you had done among them; but made their necks stiff, and turning away from you, made a captain over themselves to take them back to their prison in Egypt: but you are a God of forgiveness, full of grace and pity, slow to wrath and great in mercy, and you did not give them up.|chẳng khứng vâng theo và không nhớ đến các phép lạ mà Chúa đã làm giữa chúng; nhưng chúng cứng cổ mình, và trong sự bội nghịch mình cắt một kẻ làm đầu đặng trở về nơi nô lệ của họ. Nhưng Chúa vốn một Đức Chúa Trời sẵn tha thứ, hay làm ơn, và thương xót, chậm nóng giận, và dư đầy nhân từ, Chúa không có lìa bỏ chúng.
Even when they had made for themselves an ox of metal, and said, This is your God who took you up out of Egypt, and had done so much to make you angry;|Dẫu khi chúng làm một con bò con đực, mà rằng: Nấy là thần đã dẫn các ngươi lên khỏi Ê-díp-tô, và chọc cho Chúa giận nhiều,
Even then, in your great mercy, you did not give them up in the waste land: the pillar of cloud still went before them by day, guiding them on their way, and the pillar of fire by night, to give them light, and make clear the way they were to go.|thì Chúa vì sự thương xót của Chúa, không lìa bỏ chúng trong đồng vắng; trụ mây dẫn đường ban ngày, không lìa khỏi trên chúng, hoặc trụ lửa lúc ban đêm chiếu sáng và chỉ cho chúng con đường chúng phải đi.
And you gave your good spirit to be their teacher, and did not keep back your manna from their mouths, and gave them water when they had need of it.|Chúa cũng ban cho chúng Thần linh lương thiện của Chúa, để dạy dỗ cho chúng, không từ chối cho miệng chúng ăn ma-na, và ban cho chúng nước đặng uống khát.
Truly, for forty years you were their support in the waste land, and they were in need of nothing; their clothing did not get old or their feet become tired.|Phải, Chúa nuôi dưỡng chúng bốn mươi năm trong đồng vắng: chúng chẳng thiếu thốn chi cả; quần áo chúng không cũ rách, và chơn chúng chẳng phù lên.
And you gave them kingdoms and peoples, making distribution to them in every part of the land: so they took for their heritage the land of Sihon, even the land of the king of Heshbon, and the land of Og, king of Bashan.|Vả lại, Chúa ban cho chúng những nước và dân tộc, và phân phát nước ấy cho chúng; chúng nhận được nước của Si-hôn, tức nước của vua Hết-bôn, và nước của Oc, vua Ba-san.
And you made their children as great in number as the stars of heaven, and took them into the land, of which you had said to their fathers that they were to go in and take it for themselves.|Chúa cũng thêm nhiều con cháu chúng đông như sao trên trời, đưa chúng vào xứ mà Chúa đã phán cùng tổ phụ chúng rằng chúng sẽ vào đó đặng nhận lấy xứ ấy.
So the children went in and took the land, and you overcame before them the people of the land, the Canaanites, and gave them up into their hands, with their kings and the people of the land, so that they might do with them whatever it was their pleasure to do.|ậy, con cháu chúng bèn vào nhận lấy xứ, và Chúa bắt phục trước mặt họ các dân của xứ, là dân Ca-na-an, phó dân ấy và những vua chúng nó cùng các dân tộc của xứ vào tay họ, đặng họ đãi các dân ấy theo ý mình muốn.
And they took walled towns and a fat land, and became the owners of houses full of all good things, water-holes cut in the rock, vine-gardens and olive-gardens and a wealth of fruit-trees: so they had food enough and became fat, and had joy in the good you gave them.|Họ chiếm lấy những thành bền vững, và ruộng đất mầu mỡ, được những nhà đầy các vật tốt lành, nhưng giếng đào, vườn nho, vườn ô-li-ve, và cây trái rất nhiều; chúng ăn, bèn được no nê, và mập béo, vui lòng trong sự nhân từ lớn lao của Chúa.
But they were hard-hearted, and went against your authority, turning their backs on your law, and putting to death your prophets, who gave witness against them with the purpose of turning them back again to you, and they did much to make you angry.|Dầu vậy, chúng chẳng vâng theo, bèn phản nghịch với Chúa, ném bỏ luật pháp Chúa sau lưng, giết các đấng tiên tri của Chúa, là người làm chứng nghịch cùng họ đặng đem họ trở lại cùng Chúa; song chúng lại chọc giận Chúa nhiều thay.
And so you gave them up into the hands of their haters who were cruel to them: and in the time of their trouble, when they made their prayer to you, you gave ear to them from heaven; and in your great mercy gave them saviours, who made them free from the hands of their haters.|Vì vậy, Chúa phó họ vào tay cừu địch của họ; chúng nó hà hiếp họ. Trong thời hoạn nạn chúng kêu cầu cùng Chúa, thì từ các từng trời Chúa có nghe đến; theo lòng nhân từ lớn lao của Chúa, Chúa bèn ban cho những đấng giải cứu để cứu chúng khỏi tay kẻ cừu địch mình.
But when they had rest, they did evil again before you: so you gave them into the hands of their haters, who had rule over them: but when they came back and made their prayer to you, you gave ear to them from heaven; again and again, in your mercy, you gave them salvation;|Nhưng khi chúng được an tịnh, bèn khởi làm lại điều ác trước mặt Chúa; vì vậy, Chúa bỏ chúng vào tay kẻ thù nghịch để quản hạt chúng; song khi chúng trở lại, kêu cầu cùng Chúa, thì Chúa từ trên trời nghe đến, và vì lòng thương xót Chúa, nên giải cứu chúng nhiều lần.
And gave witness against them so that you might make them come back again to your law: but their hearts were lifted up, and they gave no attention to your orders and went against your decisions (which, if a man keeps them, will be life to him), and turning their backs on you, made their necks stiff and did not give ear.|Chúa cũng làm chứng nghịch cùng chúng, để dẫn dắt chúng trở lại luật pháp của Ngài. Dầu vậy, chúng cư xử cách kiêu ngạo không nghe các điều răn Chúa, phạm đến luật lệ của Chúa, là luật lệ nếu người nào vâng làm theo, tất sẽ được sống; chúng ở chấp nhất, cứng cổ mình, và không khứng nghe theo.
Year after year you put up with them, and gave witness against them by your spirit through your prophets: still they did not give ear: and so you gave them up into the hands of the peoples of the lands.|Chúa dung thứ chúng nhiều năm và cậy Thần linh và các tiên tri của Chúa mà làm chứng nghịch cùng chúng; nhưng chúng không lắng tai nghe, nên Chúa phó chúng vào tay dân tộc của các xứ.
Even then, in your great mercy, you did not put an end to them completely, or give them up; for you are a God of grace and mercy.|Song, vì lòng thương xót lớn lao của Chúa, Chúa không có tận diệt chúng, cũng không lìa bỏ chúng; vì Chúa vốn là Đức Chúa Trời hay thương xót và nhơn từ.
And now, our God, the great, the strong, the God who is to be feared, who keeps faith and mercy, let not all this trouble seem small to you, which has come on us, and on our kings and our rulers and on our priests and our prophets and our fathers and on all your people from the time of the kings of Assyria till this day.|Vậy bây giờ, hỡi Đức Chúa Trời của chúng tôi ơi! là Đức Chúa Trời rất lớn rất quyền năng và đáng sợ, xin chớ coi nhỏ mọn trước mặt Chúa các việc đau đớn cực nhọc đã giáng trên chúng tôi, trên các vua và các quan trưởng, trên những thầy tế lễ và các tiên tri, trên tổ phụ chúng tôi, và trên hết thảy dân sự của Chúa, từ đời các vua A-si-ri cho đến ngày nay.
But still, you have been in the right in everything which has come on us; you have been true to us, but we have done evil:|Trong mọi việc đã xảy đến cho chúng tôi, Chúa vẫn là công bình; vì Chúa thi hành cách chơn thật, còn chúng tôi lại làm cách hung ác.
And our kings, our rulers, our priests, and our fathers have not kept your law or given attention to your orders and your witness, with which you gave witness against them.|Các vua chúng tôi, các quan trưởng, những thầy tế lễ, và tổ phụ chúng tôi, không có gìn giữ luật pháp của Chúa, cũng chẳng nghe theo các điều răn và chứng cớ mà Chúa phán dạy nghịch cùng chúng.
For they have not been your servants in their kingdom, and in all the good things you gave them, and in the great and fat land you gave them, and they have not been turned away from their evil-doing.|Tại trong xứ của chúng, giữa đều ơn lành dư dật mà Chúa đã ban cho chúng, tại trong đất rộng rãi và màu mỡ mà Chúa đã đặt trước mặt chúng, chúng không phục sự Chúa, chẳng trở bỏ các công việc ác của họ.
Now, today, we are servants, and as for the land which you gave to our fathers, so that the produce of it and the good might be theirs, see, we are servants in it:|Kìa, ngày nay chúng tôi làm tôi mọi; này chúng tôi làm tôi trong xứ để ăn bông trái và thổ sản tốt tươi của nó.
And it gives much increase to the kings whom you have put over us because of our sins: and they have power over our bodies and over our cattle at their pleasure, and we are in great trouble.|Xứ sanh ra nhiều thổ sản cho các vua mà Chúa đã lập trên chúng tôi tại cớ tội lỗi của chúng tôi: các vua ấy cũng tự ý mình lấn lướt trên thân thể chúng tôi và các súc vật của chúng tôi, và chúng tôi đương bị hoạn nạn lớn.
And because of all this we are making an agreement in good faith, and putting it in writing; and our rulers, our Levites, and our priests are putting their names to it.|Dầu các sự này, chúng tôi lập giao ước chắc chắn, và chúng tôi ghi chép nó các quan trưởng, người Lê-vi, và những thầy tế lễ của chúng tôi đóng ấn cho.

					Nehemiah 10				|
						Nê-hê-mi-a 10					
Now those who put down their names were Nehemiah the Tirshatha, the son of Hacaliah, and Zedekiah,|Nầy là tên của các người có đóng dấu mình trong giao ước ấy: Nê-hê-mi, làm quan tổng trấn, là con trai của Ha-ca-lia, và Sê-đê-kia,
Seraiah, Azariah, Jeremiah,|Sê-ra-gia, A-xa-ria, Giê-rê-mi,
Pashhur, Amariah, Malchijah,|Pha-su-rơ, A-ma-ria, Manh-ki-gia,
Hattush, Shebaniah, Malluch,|Hát-tút, Sê-ba-nia, Ma-lúc,
Harim, Meremoth, Obadiah,|Ha-rim, Mê-rê-mốt, Ap-đia,
Daniel, Ginnethon, Baruch,|Đa-ni-ên, Ghi-nê-thôn, Ba-rúc,
Meshullam, Abijah, Mijamin,|Mê-su-lam, A-bi-gia, Mi-gia-min,
Maaziah, Bilgai, Shemaiah; these were the priests.|Ma -a-xia, Binh-gai, Sê-ma-gia; ấy là những thầy tế lễ.
And the Levites: by name, Jeshua, the son of Azaniah, Binnui, of the sons of Henadad, Kadmiel,|Những người Lê-vi là: Giê-sua, con trai của A-xa-nia; Bin-nui, con trai của Hê-na-đát; Cát-mi-ên,
And their brothers, Shebaniah, Hodiah, Kelita, Pelaiah, Hanan,|và các anh em của họ, Sê-ba-nia, Hô-di-gia, Kê-li-ta, Bê-la-gia, Ha-nan,
Mica, Rehob, Hashabiah,|Mi-chê, Rê-hốp, Ha-sa-bia,
Zaccur, Sherebiah, Shebaniah,|Xác-cua, Sê-rê-bia, Sê-ba-nia,
Hodiah, Bani, Beninu.|Hô-đia, Ba-ni, và Bê-ni-nu.
The chiefs of the people: Parosh, Pahath-moab, Elam, Zattu, Bani,|Các quan trưởng của dân sự là: Pha-rốt, Pha-ba-Mô-áp, Ê-lam, Xát-tu, Ba-ni,
Bunni, Azgad, Bebai,|Bu-ni, A-gát, Bê-bai,
Adonijah, Bigvai, Adin,|A-đô-ni-gia, Biết-vai, A-đin,
Ater, Hezekiah, Azzur,|A-te, Ê-xê-chia, A-xu-rơ,
Hodiah, Hashum, Bezai,|Hô-đia, Ha-sum, Bết-sai,
Hariph, Anathoth, Nobai,|Ha-ríp, A-na-tốt, Ni-bai,
Magpiash, Meshullam, Hezir,|Mác-bi-ách, Mê-su-lam, Hê-xia,
Meshezabel, Zadok, Jaddua,|Mê-sê-xa-bê-ên, Xa-đốc, Gia-đua,
Pelatiah, Hanan, Anaiah,|Phê-la-tia, Ha-nan, A-na-gia,
Hoshea, Hananiah, Hasshub,|Ô-sê, Ha-na-nia, Ha-súp,
Hallohesh, Pilha, Shobek,|Ha-lô-hết, Bi-la, Sô-béc,
Rehum, Hashabnah, Maaseiah,|Rê-hum, Ha-sáp-na, Ma -a-xê-gia,
And Ahiah, Hanan, Anan,|A-hi-gia, Ha-nan, A-nan,
Malluch, Harim, Baanah.|Ma-lúc, Ha-rim, và Ba -a-na.
And the rest of the people, the priests, the Levites, the door-keepers, the music-makers, the Nethinim, and all those who had made themselves separate from the peoples of the lands, to keep the law of God, their wives, their sons, and their daughters, everyone who had knowledge and wisdom;|Dân sự còn sót lại, những thầy tế lễ, người Lê-vi, kẻ canh giữ cửa, kẻ ca hát, người Nê-thi-nim, các người đã chia rẽ cùng các dân tộc của xứ đặng theo luật pháp của Đức Chúa Trời, và vợ, con trai, con gái của họ, tức các người có sự tri thức và sự thông sáng,
They were united with their brothers, their rulers, and put themselves under a curse and an oath, to keep their steps in the way of God's law, which was given by Moses, the servant of God, and to keep and do all the orders of the Lord, our Lord, and his decisions and his rules;|đều hiệp theo các anh em và các tước vị của mình, mà thề hứa đi theo luật pháp của Đức Chúa Trời đã cậy Môi-se, tôi tớ Ngài ban cho, và gìn giữ làm theo các điều răn của Đức Giê-hô-va, là Chúa chúng tôi, cùng lệ luật và phép tắc của Ngài.
And that we would not give our daughters to the peoples of the lands, or take their daughters for our sons;|Chúng tôi hứa không gả các con gái chúng tôi cho dân tộc của xứ, và chẳng cưới con gái chúng nó cho con trai chúng tôi;
And if the peoples of the lands come to do trade in goods or food on the Sabbath day, that we would do no trade with them on the Sabbath or on a holy day: and that in the seventh year we would take no payment from any debtor.|lại hứa rằng nếu trong ngày sa bát hay ngày thánh nào, dân của xứ đem hoặc những hóa vật, hoặc các thứ lương thực đặng bán cho, thì chúng tôi sẽ chẳng mua; và qua năm thứ bảy, chúng tôi sẽ để cho đất hoang, và chẳng đòi nợ nào hết.
And we made rules for ourselves, taxing ourselves a third of a shekel every year for the upkeep of the house of our God;|Chúng tôi cũng định lấy lệ buộc chúng tôi mỗi năm dâng một phần ba siếc-lơ dùng về các công việc của đền Đức Chúa Trời chúng tôi,
For the holy bread, and for the regular meal offering and the regular burned offering on the Sabbaths and at the new moon and the fixed feasts, and for the sin-offerings to take away the sin of Israel, and for all the work of the house of our God.|về bánh trần thiết, về của lễ chay thường dâng, về của lễ thiêu hằng hiến, về của lễ dâng trong ngày sa-bát, trong ngày mồng một, và trong các ngày lễ trọng thể, lại dùng về các vật thánh, về của lễ chuộc tội cho dân Y-sơ-ra-ên, và về các công việc làm trong đền Đức Chúa Trời của chúng tôi.
And we, the priests and the Levites and the people, made selection, by the decision of the Lord, of those who were to take the wood offering into the house of God, by families at the regular times, year by year, to be burned on the altar of the Lord our God, as it is recorded in the law;|Chúng tôi, là những thầy tế lễ, người Lê-vi, và dân sự khác, bắt thăm về việc dâng củi lửa, đặng mỗi năm, theo kỳ nhất định, tùy nhà tổ phụ mình, mà đem những củi đến đền của Đức Chúa Trời chúng tôi, hầu cho đốt trên bàn thờ của Giê-hô-va Đức Chúa Trời của chúng tôi, y như đã chép trong luật pháp vậy.
And to take the first-fruits of our land, and the first-fruits of every sort of tree, year by year, into the house of the Lord;|Chúng tôi cũng định mỗi năm đem vật đầu mùa của đất chúng tôi, và các thứ trái đầu mùa của các cây chúng tôi đến đền của Đức Giê-hô-va;
As well as the first of our sons and of our cattle, as it is recorded in the law, and the first lambs of our herds and of our flocks, which are to be taken to the house of our God, to the priests who are servants in the house of our God:|lại chiếu theo luật pháp, đem luôn con đầu lòng trong vòng các con trai chúng tôi, và con đầu lòng của súc vật chúng tôi, hoặc chiên hay bò, đến đền thờ Đức Chúa Trời chúng tôi mà giao cho những thầy tế lễ hầu việc trong đền của Đức Chúa Trời chúng tôi.
And that we would take the first of our rough meal, and our lifted offerings, and the fruit of every sort of tree, and wine and oil, to the priests, to the rooms of the house of our God; and the tenth of the produce of our land to the Levites; for they, the Levites, take a tenth in all the towns of our ploughed land.|Chúng tôi cũng hứa đem của đầu mùa về bột nhồi của chúng tôi, về của lễ giơ lên, bông trái của các thứ cây, rượu mới, và dầu, mà giao cho những thầy tế lễ, trong các kho tàng của đền Đức Chúa Trời chúng tôi; còn một phần mười huê lợi đất của chúng tôi thì đem nộp cho người Lê-vi; vì người Lê-vi thâu lấy một phần mười trong thổ sản của ruộng đất về các thành chúng tôi.
And the priest, the son of Aaron, is to be with the Levites, when the Levites take the tenths: and the Levites are to take a tenth of the tenths into the house of our God, to the rooms, into the store-house;|Thầy tế lễ, con cháu của A-rôn, sẽ đi với người Lê-vi, khi họ thâu lấy thuế một phần mười; rồi họ sẽ đem một phần mười của trong thuế một phần mười ấy đến đền của Đức Chúa Trời chúng tôi, để tại nơi phòng của kho tàng.
For the children of Israel and the children of Levi are to take the lifted offering of the grain and wine and oil into the rooms where the vessels of the holy place are, together with the priests and the door-keepers and the makers of music: and we will not give up caring for the house of our God.|Vì dân Y-sơ-ra-ên và người Lê-vi sẽ đem các của lễ giơ lên bằng lúa mì, rượu, và dầu mới vào trong những phòng ấy, là nơi có các khí dụng của đền thánh, những thầy tế lễ hầu việc, kẻ canh cửa và những người ca hát. Vậy, chúng tôi sẽ chẳng lìa bỏ đền của Đức Chúa Trời chúng tôi đâu.

					Nehemiah 11				|
						Nê-hê-mi-a 11					
And the rulers of the people were living in Jerusalem: the rest of the people made selection, by the decision of chance, of one out of every ten to be living in Jerusalem, the holy town; the other nine to go to the other towns.|Các quan trưởng của dân sự đều ở tại Giê-ru-sa-lem còn dân sự khác thì bắt thăm để cho một trong mười người của chúng đến ở tại Giê-ru-sa-lem, là thành thánh, và chín người kia thì ở trong các thành khác.
And the people gave a blessing to all the men who were freely offering to take up their places in Jerusalem.|Dân sự chúc phước cho các người nam nào tình nguyện ở tại Giê-ru-sa-lem.
Now these are the chiefs of the divisions of the country who were living in Jerusalem: but in the towns of Judah everyone was living on his heritage in the towns, that is, Israel, the priests, the Levites, the Nethinim, and the children of Solomon's servants.|Vả, đây là những quan trưởng hàng tỉnh ở tại Giê-ru-sa-lem; nhưng trong các thành Giu-đa, ai nấy đều ở trong đất mình tại trong bổn thành của mình: ấy là dân Y-sơ-ra-ên, những thầy tế lễ, người Lê-vi, người Nê-thi-nim, và con cháu của các tôi tớ Sa-lô-môn.
And in Jerusalem there were living certain of the children of Judah and of Benjamin. Of the children of Judah: Athaiah, the son of Uzziah, the son of Zechariah, the son of Amariah, the son of Shephatiah, the son of Mahalalel, of the children of Perez;|Có mấy người Giu-đa và người Bên-gia-min ở tại Giê-ru-sa-lem. Về người Giu-đa có A-tha-gia, con trai của U-xia, cháu của Xa-cha-ri, chắt của A-ma-ria, chít của Sê-pha-tia; Sê-pha-tia là con trai của Ma-ha-la-lên, thuộc về dòng dõi Phê-rết;
And Maaseiah, the son of Baruch, the son of Col-hozeh, the son of Hazaiah, the son of Adaiah, the son of Joiarib, the son of Zechariah, the son of the Shilonite.|lại có Ma -a-sê-gia, con trai của Ba-rúc, cháu của Côn-Hô-xê, chắt của Ha-xa-gia, chít của A-đa-gia; A-đa-gia là con trai của Giô-gia-ríp, cháu của Xa-cha-ri về dòng dõi Si-lô-ni.
All the sons of Perez living in Jerusalem were four hundred and sixty-eight men of good position.|Các con cháu của Phê-rết ở tại Giê-ru-sa-lem là bốn trăm sáu mươi tám người mạnh dạn.
And these are the sons of Benjamin: Sallu, the son of Meshullam, the son of Joed, the son of Pedaiah, the son of Kolaiah, the son of Maaseiah, the son of Ithiel, the son of Jeshaiah.|Về người Bên-gia-min có Sa-lu, con trai của Mê-su-lam, cháu của Giô-ết, chắt của Phê-đa-gia, chít của Cô-la-gia; Cô-la-gia là con trai của Ma -a-sê-gia, cháu của Y-thi-ên, chắt của Ê-sai;
And after him Gabbai, Sallai, nine hundred and twenty-eight.|và sau người có Gáp-bai, và Sa-lai cùng chín trăm hai mươi tám người.
And Joel, the son of Zichri, was their overseer; and Judah, the son of Hassenuah, was second over the town.|Giô-ên, con trai của Xiếc-ri, làm quan trưởng của chúng; còn Giu-đa, con trai của Ha-sê-nua, làm phó quản thành.
Of the priests: Jedaiah, the son of Joiarib, Jachin,|Trong những thầy tế lễ có Giê-đa-gia, con trai của Giô-gia-ríp, Gia-kin,
Seraiah, the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the ruler of the house of God,|và Sê-ra-gia, con trai của Hinh-kia, cháu của Mê-su-lam, chít của Mê-ra-giốt; Mê-ra-giốt là con trai của A-hi-túp, là quản lý đền của Đức Chúa Trời,
And their brothers who did the work of the house, eight hundred and twenty-two; and Adaiah, the son of Jeroham, the son of Pelaliah, the son of Amzi, the son of Zechariah, the son of Pashhur, the son of Malchijah,|cùng các anh em họ làm công việc của đền, là tám trăm hai mươi hai người. Lại có A-đa-gia, con trai của Giê-rô-ham, cháu của Phê-la-lia, chắt của Am-si, chít của Xa-cha-ri; Xa-cha-ri là con trai của Pha-su-rơ, cháu của Manh-ki-gia,
And his brothers, heads of families, two hundred and forty-two; and Amashsai, the son of Azarel, the son of Ahzai, the son of Meshillemoth, the son of Immer,|cùng các anh em họ, đều là trưởng tộc, số là hai trăm bốn mươi hai người. Cũng có A-ma-sai, con trai của A-xa-rên, cháu của Ac-xai, chắt của Mê-si-lê-mốt, chít của Y-mê,
And their brothers, men of war, a hundred and twenty-eight; and their overseer was Zabdiel, the son of Haggedolim.|và các anh em họ, đều là người mạnh dạn và can đảm, số được một trăm hai mươi tám người. Xáp-đi-ên, con trai của Ghê-đô-lim, làm quan trưởng của chúng.
And of the Levites: Shemaiah, the son of Hasshub, the son of Azrikam, the son of Hashabiah, the son of Bunni,|Trong người Lê-vi có Sê-ma-gia, con trai của Ha-súp, cháu của A-ri-kham, chắt của Ha-sa-bia, chít của Bun-ni;
And Shabbethai and Jozabad, of the chiefs of the Levites, who were responsible for the outside business of the house of God;|trong các trưởng tộc người Lê-vi có Sa-bê-thai và Giô-xa-bát được cắt coi sóc công việc ngoài của đền Đức Chúa Trời;
And Mattaniah, the son of Mica, the son of Zabdi, the son of Asaph, who had to give the first note of the song of praise in prayer, and Bakbukiah, the second among his brothers, and Abda, the son of Shammua, the son of Galal, the son of Jeduthun.|còn Mát-ta-nia, con trai của Mi-chê, làm đầu về việc hát lời khen ngợi trong lúc cầu nguyện, cùng Bác-bi-ki, là người thứ nhì trong anh em mình, và Ap-đa con trai của Sa-mua, cháu của Xáp-đi, chắt của Giê-đu-thun.
All the Levites in the holy town were two hundred and eighty-four.|Hết thảy người Lê-vi ở trong thành thánh, được hai trăm tám mươi bốn người.
In addition the door-keepers, Akkub, Talmon, and their brothers who kept watch at the doors, were a hundred and seventy-two.|Những kẻ canh giữ cửa, là A-cúp, Tanh-môn, và các anh em họ, được một trăm bảy mươi hai người.
And the rest of Israel, of the priests, the Levites, were in all the towns of Judah, every one in his heritage.|Các người Y-sơ-ra-ên khác, những thầy tế lễ, và người Lê-vi, đều ở trong các thành của xứ Giu-đa, mỗi người trong cơ nghiệp mình.
But the Nethinim were living in the Ophel; and Ziha and Gishpa were over the Nethinim.|Người Nê-thi-nim đều ở tại Ô-phên; Xi-ha và Ghít-ba làm quan trưởng của người Nê-thi-nim.
