
					Numbers 1				|
Then Moses was very angry, and said to the Lord, Give no attention to their offering: not one of their asses have I taken, or done wrong to any of them.|Môi-se nổi giận lắm, thưa cùng Đức Giê-hô-va rằng: Xin đừng kể đến của lễ chay chúng nó nữa; tôi không có bắt nơi chúng nó một con lừa nào, và tôi cũng không có làm hại một ai trong bọn chúng nó.
And Moses said to Korah, You and all your band are to come before the Lord tomorrow, you and they and Aaron:|Đoạn, Môi-se nói cùng Cô-rê rằng: Ngày mai ngươi và toàn bè đảng ngươi với A-rôn hãy ra mắt Đức Giê-hô-va.
And let every man take a vessel for burning perfumes, and put sweet spices in them; let every man take his vessel before the Lord, two hundred and fifty vessels; you and Aaron and everyone with his vessel.|Mỗi người hãy lấy lư hương mình bỏ hương ở trong, rồi mỗi người dâng lư hương mình trước mặt Đức Giê-hô-va, tức là hai trăm năm mươi cái lư hương. Ngươi và A-rôn, mỗi người cũng phải có lư hương mình.
So every man took his vessel and they put fire in them, with spices, and came to the door of the Tent of meeting with Moses and Aaron.|Vậy, mỗi người lấy lư hương mình để lửa vào, bỏ hương trên, rồi đứng tại cửa hội mạc luôn với Môi-se và A-rôn.
And Korah made all the people come together against them to the door of the Tent of meeting: and the glory of the Lord was seen by all the people.|Cô-rê hiệp cả hội chúng nghịch lại Môi-se và A-rôn tại cửa hội mạc; sự vinh quang của Đức Giê-hô-va hiện ra cùng cả hội chúng.
And the Lord said to Moses and Aaron,|Đoạn, Đức Giê-hô-va phán cùng Môi-se và A-rôn rằng:
Come out from among this people, so that I may send sudden destruction on them.|Hãy tách khỏi giữa hội chúng nầy, thì ta sẽ tiêu diệt nó trong một lát.
Then falling down on their faces they said, O God, the God of the spirits of all flesh, because of one man's sin will your wrath be moved against all the people?|Hai người bèn sấp mặt xuống mà rằng: Oi Đức Chúa Trời, là Chúa của thần linh mọi xác thịt! chỉ có một người phạm tội mà Chúa lại nổi giận cùng cả hội chúng sao?
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Say to the people, Come away from the tent of Korah Dathan, and Abiram.|Hãy nói cùng hội chúng mà rằng: Hãy dan ra khỏi chung quanh chỗ ở của Cô-rê, Đa-than, và A-bi-ram.
So Moses got up and went to Dathan and Abiram, and the responsible men of Israel went with him.|Môi-se đứng dậy, đi lại phía Đa-than và A-bi-ram; các trưởng lão Y-sơ-ra-ên đi theo người.
And he said to the people, Come away now from the tents of these evil men, without touching anything of theirs, or you may be taken in the punishment of their sins.|Người nói cùng hội chúng rằng: Bây giờ, hãy dan ra khỏi trại của các người hung ác nầy, và chớ đụng đến vật chi thuộc về họ, e các ngươi sẽ chết vì những tội của họ chăng.
So on every side they went away from the tent of Korah Dathan, and Abiram: and Dathan and Abiram came out to the door of their tents, with their wives and their sons and their little ones.|Vậy, dân sự dan ra khỏi tứ phía chỗ ở của Cô-rê, Đa-than, và A-bi-ram. Đa-than và A-bi-ram ra đứng tại cửa trại với vợ, con trai và con nít mình.
And Moses said, Now you will see that the Lord has sent me to do all these works, and I have not done them of myself.|Môi-se bèn nói rằng: Nhờ điều nầy các ngươi sẽ biết rằng Đức Giê-hô-va có sai ta đặng làm các điều nầy, và ta chẳng làm sự chi tự ta.
If these men have the common death of men, or if the natural fate of all men overtakes them, then the Lord has not sent me.|Nếu các kẻ đó chết như mọi người khác chết, nếu họ đồng chịu số phận chung như mọi người, thì Đức Giê-hô-va không có sai ta.
But if the Lord does something new, opening the earth to take them in, with everything which is theirs, and they go down living into the underworld, then it will be clear to you that the Lord has not been honoured by these men.|Nhưng nếu Đức Giê-hô-va làm một sự thật mới, nếu đất hả miệng ra nuốt họ và mọi món chi thuộc về họ, nếu họ còn đương sống mà xuống âm phủ, thì các ngươi sẽ biết rằng những người nầy có khinh bỉ Đức Giê-hô-va.
And while these words were on his lips, the earth under them was parted in two;|Vừa khi Môi-se nói dứt các lời nầy, đất ngay dưới chân họ bèn nứt ra;
And the earth, opening her mouth, took them in, with their families, and all the men who were joined to Korah, and their goods.|hả miệng nuốt họ, gia quyến và hết thảy phe Cô-rê cùng tài sản của chúng nó.
So they and all theirs went down living into the underworld, and the earth was shut over them, and they were cut off from among the meeting of the people.|Các người đó còn đương sống và mọi vật chi thuộc về họ đều xuống âm phủ; đất lấp lại và chúng nó bị diệt khỏi hội chúng.
And all Israel round about them went in flight at their cry, For fear, said they, that we go down into the heart of the earth.|Cả Y-sơ-ra-ên ở xung quanh nghe tiếng họ la, đều chạy trốn, vì nói rằng: Chúng ta hãy coi chừng, kẻo đất nuốt chúng ta chăng!
Then fire came out from the Lord, burning up the two hundred and fifty men who were offering the perfume.|Rồi một ngọn lửa từ Đức Giê-hô-va lòe ra thiêu hóa hai trăm năm mươi người đã dâng hương.
And the Lord said to Moses,|Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng:
Say to Eleazar, the son of Aaron the priest, that he is to take out of the flames the vessels with the perfumes in them, turning the fire out of them, for they are holy;|Hãy nói với Ê-lê -a-sa, con trai thầy tế lễ A-rôn, biểu lượm các lư hương ra khỏi chỗ lửa cháy, và đổ lửa của các lư hương nơi xa, vì lư hương đã nên thánh.
And let the vessels of those men, who with their lives have made payment for their sin, be hammered out into plates as a cover for the altar; for they have been offered before the Lord and are holy; so that they may be a sign to the children of Israel.|Còn những lư hương của các người đã phạm tội cùng sanh mạng mình, người ta phải lấy làm thành những tấm dát mỏng để bọc bàn thờ. Bởi các lư hương đã dâng trước mặt Đức Giê-hô-va đã thành thánh; những tấm dát đó sẽ dùng làm một dấu cho dân Y-sơ-ra-ên.
So Eleazar the priest took the brass vessels which had been offered by those who were burned up, and they were hammered out to make a cover for the altar:|Vậy, Ê-lê -a-sa, thầy tế lễ, lấy những lư hương bằng đồng của các người bị thiêu đã dâng lên, và người ta làm thành những tấm dát mòng để bọc bàn thờ.
To be a sign, kept in memory for ever by the children of Israel, that no man who is not of the seed of Aaron has the right of burning spices before the Lord, so that he may not be like Korah and his band: as the Lord said to him by the mouth of Moses.|Ay là một kỷ niệm cho dân Y-sơ-ra-ên, để người nào ngoại dòng A-rôn chớ đến gần đặng xông hương trước mặt Đức Giê-hô-va, kẻo e đồng số phận cùng Cô-rê và bè đảng người, theo lời Đức Giê-hô-va đã cậy Môi-se truyền dạy.
But on the day after, all the children of Israel made an outcry against Moses and against Aaron, saying, You have put to death the Lord's people.|Ngày mai, cả hội dân Y-sơ-ra-ên lằm bằm cùng Môi-se và A-rôn mà rằng: Hai người đã làm chết dân của Đức Giê-hô-va.
Now when the people had come together against Moses and Aaron, looking in the direction of the Tent of meeting, they saw the cloud covering it, and the glory of the Lord came before their eyes.|Khi hội chúng đương hiệp nhau nghịch cùng Môi-se và A-rôn, thì ngó về hướng hội mạc, xảy thấy trụ mây bao phủ hội mạc, và sự vinh quang của Đức Giê-hô-va hiện ra.
Then Moses and Aaron came to the front of the Tent of meeting.|Môi-se và A-rôn đến đứng trước hội mạc,
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Come out from among this people, so that I may send sudden destruction on them. And they went down on their faces.|Hãy dan ra khỏi giữa hội chúng nầy, thì ta sẽ tiêu diệt nó trong một lát. Nhưng hai người sấp mặt xuống đất,
And Moses said to Aaron, Take your vessel and put in it fire from the altar, and sweet spices, and take it quickly into the meeting of the people, and make them free from sin: for wrath has gone out from the Lord, and the disease is starting.|rồi Môi-se nói cùng A-rôn rằng: Hãy cầm lấy lư hương để lửa từ trên bàn thờ vào, bỏ hương lên trên, mau mau đi đến hội chúng và làm lễ chuộc tội cho họ; vì sự thạnh nộ của Đức Giê-hô-va đã nổi lên, và tai vạ đã phát khởi.
And at the words of Moses, Aaron took his vessel, and went running among the people; and even then the disease had made a start among them; and he put spices in his vessel to take away the sin of the people.|A-rôn bèn cầm lấy lư hương y như Môi-se đã biểu, chạy đến giữa hội chúng; kìa, tai vạ đã phát khởi giữa dân sự. A-rôn bèn bỏ hương vào, và làm lễ chuộc tội cho dân sự.
And he took his place between the dead and the living: and the disease was stopped.|Người đứng giữa kẻ chết và kẻ sống, thì tai vạ bèn ngừng lại.
Now fourteen thousand, seven hundred deaths were caused by that disease, in addition to those who came to their end because of what Korah had done.|Có mười bốn ngàn bảy trăm người chết vì tai vạ nầy, trừ ra những kẻ đã bị chết vì cớ Cô-rê.
Then Aaron went back to Moses to the door of the Tent of meeting: and the disease came to a stop.|Đoạn, A-rôn trở về cùng Môi-se tại cửa hội mạc, rồi tai vạ ngừng lại.

					Numbers 17				|
						Dân Số 17					
And the Lord said to Moses,|Kế đó, Đức Giê-hô-va phán cùng Môi-se rằng:
Say to the children of Israel that they are to give you rods, one for every family, for every chief, the head of his father's house, making twelve rods; let every man's name be placed on his rod.|Hãy nói cùng dân Y-sơ-ra-ên và biểu rằng: Mỗi chi phái của họ phải đem nộp cho ngươi một cây gậy; nghĩa là mười hai cây gậy bởi các quan trưởng của mỗi chi phái.
And let Aaron's name be placed on the rod of Levi: for there is to be one rod for the head of every family.|Ngươi phải đề tên mỗi người trên cây gậy của mình, và đề tên A-rôn trên cây gậy của Lê-vi; vì phải có một cây gậy cho mỗi trưởng tộc.
And let them be stored up in the Tent of meeting, in front of the ark of witness where I come to you.|Ngươi phải để các gậy đó trong hội mạc, trước hòm bảng chứng, là nơi ta gặp ngươi.
And the rod of that man who is marked out by me for myself will have buds on it; so I will put a stop to the outcries which the children of Israel make to me against you.|Hễ người nào ta chọn lấy, thì cây gậy người đó sẽ trổ hoa; vậy ta sẽ làm cho nín đi trước mặt ta những lời lằm bằm của dân Y-sơ-ra-ên đã phát ra đối nghịch cùng các ngươi.
So Moses gave these orders to the children of Israel, and all their chiefs gave him rods, one for the head of every family, making twelve rods: and Aaron's rod was among them.|Môi-se nói cùng dân Y-sơ-ra-ên, thì hết thảy trưởng tộc, tùy theo chi phái mình, đem nộp cho người một cây gậy, tức là mười hai cây. Gậy của A-rôn ở giữa các cây gậy khác.
And Moses put the rods before the Lord in the Tent of witness.|Môi-se để những gậy đó trong Trại bảng chứng trước mặt Đức Giê-hô-va.
Now on the day after, Moses went into the Tent of witness; and he saw that Aaron's rod, the rod of the house of Levi, had put out buds, and was covered with buds and flowers and fruit.|Ngày mai, khi Môi-se vào Trại bảng chứng, xảy thấy cây gậy A-rôn về nhà Lê-vi đã trổ hoa: nó có nứt mụt, sanh hoa và trái hạnh nhơn chín.
Then Moses took out all the rods from before the Lord, and gave them back to the children of Israel: and they saw them, and every man took his rod.|Môi-se bèn rút các cây gậy khỏi trước mặt Đức Giê-hô-va, đem đưa cho cả dân Y-sơ-ra-ên; các người đều thấy và mỗi người lấy gậy mình lại.
And the Lord said to Moses, Put Aaron's rod back in front of the ark of witness, to be kept for a sign against this false-hearted people, so that you may put a stop to their outcries against me, and death may not overtake them.|Đức Giê-hô-va phán cùng Môi-se rằng: Hãy đem cây gậy của A-rôn để lại trước hòm bảng chứng, đặng giữ làm một dấu cho con cái phản nghịch; ngươi phải làm cho nín đi những lời lằm bằm đối nghịch cùng ta, hầu cho dân chúng chẳng chết.
This Moses did: as the Lord gave orders, so he did.|Môi-se làm như vậy, tức làm y như Đức Giê-hô-va đã phán dặn mình.
And the children of Israel said to Moses, Truly, destruction has come on us; an evil fate has overtaken us all.|Dân Y-sơ-ra-ên nói cùng Môi-se rằng: Nầy, chúng tôi bị diệt, chúng tôi bị chết, chúng tôi chết mất hết thảy!
Death will overtake everyone who comes near, who comes near the House of the Lord: are we all to come to destruction?|Phàm ai đến gần đền tạm của Đức Giê-hô-va đều chết. Có lẽ chúng tôi phải chết hết sao?

					Numbers 18				|
						Dân Số 18					
And the Lord said to Aaron, You and your sons and your father's family are to be responsible for all wrongdoing in relation to the holy place: and you and your sons are to be responsible for the errors which come about in your work as priests.|Đức Giê-hô-va bèn phán cùng A-rôn rằng: Ngươi, các con trai ngươi, và tông tộc ngươi phải mang lấy những tội lỗi phạm trong nơi thánh; còn ngươi và các con trai ngươi phải mang lấy những tội lỗi phạm trong chức tế lễ.
Let your brothers, the family of Levi, come near with you, so that they may be joined with you and be your servants: but you and your sons with you are to go in before the ark of witness.|Cũng hãy biểu đến gần ngươi các anh em mình, là chi phái Lê-vi, tức tông tộc ngươi, đặng các người đó hiệp với ngươi và hầu việc ngươi; nhưng ngươi và các con trai ngươi phải ở trước Trại bảng chứng.
They are to do your orders and be responsible for the work of the Tent; but they may not come near the vessels of the holy place or the altar, so that death may not overtake them or you.|Các người đó sẽ gìn giữ điều chi ngươi truyền dạy, và điều nào thuộc về cả Trại; chỉ không nên lại gần những vật thánh, cũng đừng lại gần bàn thờ, e khi chúng nó phải chết, và các ngươi cũng chết luôn chăng.
They are to be joined with you in the care of the Tent of meeting, doing whatever is needed for the Tent: and no one of any other family may come near you.|Vậy, các người đó sẽ hiệp với ngươi coi sóc điều chi thuộc về hội mạc, và giữ công việc của Trại; một người ngoại nào chẳng nên đến gần các ngươi.
You are to be responsible for the holy place and the altar, so that wrath may never again come on the children of Israel.|Các ngươi phải coi sóc điều chi thuộc về nơi thánh và bàn thờ để đừng có sự thạnh nộ cùng dân Y-sơ-ra-ên nữa.
Now, see, I have taken your brothers the Levites from among the children of Israel: they are given to you and to the Lord, to do the work of the Tent of meeting.|Còn ta đây, trong dân Y-sơ-ra-ên ta đã chọn lấy anh em các ngươi, là những người Lê-vi, mà ban cho các ngươi, vì đã dâng cho Đức Giê-hô-va rồi, đặng làm công việc của hội mạc.
And you and your sons with you are to be responsible as priests for the altar and everything on it, and everything inside the veil; you are to do the work of priests; I have given you your position as priests; and any other man who comes near will be put to death.|Nhưng ngươi và các con trai ngươi phải kỹ lưỡng lo cho xong chức tế lễ, quản trị các điều chi thuộc về bàn thờ, và vật chi ở phía trong màn; các ngươi phải làm việc mình tại đó. Chức tế lễ của các ngươi là một việc ta phong cho như một của ban: người ngoại nào đến gần sẽ bị xử tử.
And the Lord said to Aaron, See, I have given into your care my lifted offerings; even all the holy things of the children of Israel I have given to you and to your sons as your right for ever, because you have been marked with the holy oil.|Đức Giê-hô-va lại phán cùng A-rôn rằng: Nầy ta cử ngươi coi sóc các lễ vật của ta thâu lấy về mọi-vật mà dân Y-sơ-ra-ên đã biệt riêng ra thánh; cứ một lệ định đời đời ta ban những lễ vật nầy cho ngươi và cho các con trai ngươi như một phần riêng mà phép xức dầu truyền cho.
This is to be yours of the most holy things, out of the fire offerings; every offering of theirs, every meal offering and sin-offering, and every offering which they make on account of error, is to be most holy for you and your sons.|Trong các vật rất thánh không có thiêu hóa mà dân Y-sơ-ra-ên dâng cho ta, nầy là phần sẽ thuộc về ngươi: Hết thảy lễ vật của họ, nào của lễ chay, nào của lễ chuộc tội, nào của lễ chuộc sự mắc lỗi; những vật rất thánh nầy đều sẽ thuộc về ngươi và các con trai ngươi.
As most holy things they are to be your food: let every male have them for food; it is to be holy to you.|Ngươi phải ăn nó trong nơi rất thánh; mọi người nam phải ăn lấy, ấy sẽ làm một vật thánh cho ngươi.
And this is yours: the lifted offering which they give and all the wave offerings of the children of Israel I have given to you and to your sons and to your daughters as your right for ever: everyone in your house who is clean may have them for food.|Vật nầy cũng sẽ thuộc về ngươi: Phàm lễ vật nào mà dân Y-sơ-ra-ên dâng giơ lên và đưa qua đưa lại, thì ta cứ một lệ định đời đời mà ban cho ngươi và các con trai con gái ngươi. Ai trong nhà ngươi tinh sạch sẽ được ăn các món đó.
All the best of the oil and the wine and the grain, the first-fruits of them which they give to the Lord, to you have I given them.|Ta cũng đã ban cho ngươi những vật đầu mùa mà dân Y-sơ-ra-ên sẽ dâng cho Đức Giê-hô-va, hết thảy phần dầu, rượu ngọt và lúa miến nhất hạng.
The earliest produce from their land which they take to the Lord is to be yours; everyone in your house who is clean may have it for his food.|Mọi hoa quả đầu mùa của đất sanh sản mà dân Y-sơ-ra-ên dâng cho Đức Giê-hô-va, đều sẽ thuộc về ngươi; ai trong nhà ngươi tinh sạch sẽ được ăn lấy.
Everything given by oath to the Lord in Israel is to be yours.|Phàm vật chi mà dân Y-sơ-ra-ên phú dâng sẽ thuộc về ngươi.
The first birth of every living thing which is offered to the Lord, of man or beast, is to be yours; but for the first sons of man payment is to be made, and for the first young of unclean beasts.|Mọi con đầu lòng của các xác thịt, hoặc ngươi, hoặc vật mà dân Y-sơ-ra-ên dâng cho Đức Giê-hô-va, đều sẽ thuộc về ngươi; nhưng ngươi phải chuộc lại con đầu lòng của loài người, và cũng phải chuộc lại con đầu lòng của thú vật ô uế.
Payment is to be made for these when they are a month old, at the value fixed by you, a price of five shekels by the scale of the holy place, that is, twenty gerahs to the shekel.|Về sự chuộc lại, ngươi phải chuộc lại những con từ một tháng trở đi, theo giá định của ngươi, là năm siếc-lơ bạc, theo siếc-lơ của nơi thánh là hai mươi ghê-ra.
But no such payment may be made for the first birth of an ox or a sheep or a goat; these are holy: their blood is to be dropped on the altar, and their fat burned for an offering made by fire, a sweet smell to the Lord.|Nhưng ngươi chớ chuộc lại con đầu lòng của bò cái, hoặc con đầu lòng của chiên cái hay là con đầu lòng của dê cái; ấy là những vật thánh. Ngươi phải rưới huyết nó trên bàn thờ, và xông mỡ nó làm của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va.
Their flesh is to be yours; like the breast of the wave offering and the right leg, it is to be yours.|Thịt nó sẽ thuộc về ngươi như cái o dâng đưa qua đưa lại và cái giò hữu.
All the lifted offerings of the holy things which the children of Israel give to the Lord, I have given to you and to your sons and to your daughters as a right for ever. This is an agreement made with salt before the Lord, to you and to your seed for ever.|Ta cứ lệ định đời đời ban cho ngươi, các con trai và các con gái ngươi, hết thảy lễ vật thánh mà dân Y-sơ-ra-ên dâng giơ lên cho Đức Giê-hô-va: ấy là một giao ước bằng muối đời đời, không bỏ được, trước mặt Đức Giê-hô-va cho ngươi và cho dòng dõi ngươi.
And the Lord said to Aaron, You will have no heritage in their land, or any part among them; I am your part and your heritage among the children of Israel.|Đoạn, Đức Giê-hô-va phán cùng A-rôn rằng: Ngươi sẽ không có cơ nghiệp trong xứ dân Y-sơ-ra-ên; và chẳng sẽ có phần cho ngươi giữa dân đó; ta là phần của ngươi, và là cơ nghiệp của ngươi ở giữa dân Y-sơ-ra-ên.
And to the children of Levi I have given as their heritage all the tenths offered in Israel, as payment for the work they do, the work of the Tent of meeting.|Còn về con cháu Lê-vi, nầy ta đã ban cho làm cơ nghiệp, mọi thuế một phần mười của Y-sơ-ra-ên làm lương về công việc mình làm trong hội mạc.
In future the children of Israel are not to come near the Tent of meeting, so that death may not come to them because of sin.|Dân Y-sơ-ra-ên chớ lại gần hội mạc nữa, e phải mắc tội và chết chăng.
But the Levites are to do the work of the Tent of meeting, and be responsible for errors in connection with it: this is a law for ever through all your generations; and among the children of Israel they will have no heritage.|Nhưng ấy là người Lê-vi sẽ làm công việc của hội mạc; bằng có phạm tội, thì tự mang lấy; chúng nó sẽ không có phần cơ nghiệp giữa dân Y-sơ-ra-ên; ấy sẽ là một lệ định đời đời trải qua các thế đại.
For the tenths which the children of Israel give as a lifted offering to the Lord I have given to the Levites as their heritage. and so I have said to them, Among the children of Israel they will have no heritage.|Vì ta đã ban cho người Lê-vi làm cơ nghiệp, những thuế một phần mười của dân Y-sơ-ra-ên dâng giơ lên cho Đức Giê-hô-va. Bởi cớ đó, ta đã phán về họ rằng: Họ sẽ không có cơ nghiệp giữa dân Y-sơ-ra-ên.
And the Lord said to Moses,|Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng:
Say to the Levites, When you take from the children of Israel the tenth which I have given to you from them as your heritage, a tenth part of that tenth is to be offered as an offering lifted up before the Lord.|Ngươi cũng phải truyền cho người Lê-vi rằng: Khi nào các ngươi đã lãnh của dân Y-sơ-ra-ên thuế một phần mười mà ta đã ban về phần dân đó đặng làm cơ nghiệp của các ngươi, thì hãy lấy một phần mười của vật thuế một phần mười, làm của lễ dâng giơ lên cho Đức Giê-hô-va.
And this lifted offering is to be put to your credit as if it was grain from the grain-floor and wine from the vines.|Lễ-vật dâng giơ lên của các ngươi sẽ kể như lúa mì lấy nơi sân đạp lúa, và như sự đầy dẫy của hầm rượu.
So you are to make an offering lifted up to the Lord from all the tenths which you get from the children of Israel, giving out of it the Lord's lifted offering to Aaron the priest.|Thế thì, trong những thuế một phần mười mà các ngươi lãnh nơi dân Y-sơ-ra-ên, thì cũng phải lấy ra một phần mười làm lễ vật dâng giơ lên cho Đức Giê-hô-va, và giao lễ vật của Đức Giê-hô-va đó cho A-rôn, thầy tế lễ.
From everything given to you, let the best of it, the holy part of it, be offered as a lifted offering to the Lord.|Trong những lễ vật lãnh được, các ngươi phải lấy ra phần tốt nhất, biệt riêng ra thánh mà dâng giơ lên cho Đức Giê-hô-va.
Say to them, then, When the best of it is lifted up on high, it is to be put to the account of the Levites as the increase of the grain-floor and of the place where the grapes are crushed.|Ngươi phải nói cùng người Lê-vi rằng: Khi nào các ngươi đã dâng giơ lên phần tốt nhất của thuế một phần mười, thì sẽ kể cho người Lê-vi như huê lợi của sân đạp lúa, và như huê lợi của hầm rượu vậy.
It is to be your food, for you and your families in every place: it is your reward for your work in the Tent of meeting.|Các ngươi và gia quyến các ngươi phải ăn nó trong nơi nào cũng được, vì là công giá mình về việc các ngươi làm trong hội mạc.
And no sin will be yours on account of it, when the best of it has been lifted up on high; you are not to make a wrong use of the holy things of the children of Israel, so that death may not overtake you.|Bởi cớ ấy, khi các ngươi đã dâng giơ lên phần tốt nhất, các ngươi sẽ không mắc tội, sẽ không làm ô uế những vật thánh của dân Y-sơ-ra-ên, và các ngươi không chết đâu.

					Numbers 19				|
						Dân Số 19					
And the Lord said to Moses and Aaron,|Đức Giê-hô-va lại phán cùng Môi-se và A-rôn rằng:
This is the rule of the law which the Lord has made, saying, Give orders to the children of Israel to give you a red cow without any mark on her, and on which the yoke has never been put:|Nầy là lệ định của luật pháp mà Đức Giê-hô-va có truyền rằng: Hãy nói cùng dân Y-sơ-ra-ên và biểu dẫn đến người một con bò cái tơ sắc hoe, không tật không vít, và chưa mang ách.
Give her to Eleazar the priest and let him take her outside the tent-circle and have her put to death before him.|Đoạn phải giao nó cho Ê-lê -a-sa, thầy tế lễ, dẫn ra ngoài trại quân, rồi người ta giết nó trước mặt người.
Then let Eleazar the priest take some of her blood on his finger, shaking the blood seven times in the direction of the front of the Tent of meeting:|Ê-lê -a-sa, thầy tế lễ, sẽ dùng ngón tay nhúng huyết nó rảy bảy lần phía trước của hội mạc.
And the cow is to be burned before him, her skin and her flesh and her blood and her waste are to be burned:|Người ta sẽ thiêu con bò cái tơ đó trước mắt người, là thiêu da, thịt, và huyết với phẩn nó.
Then let the priest take cedar-wood and hyssop and red thread, and put them into the fire where the cow is burning.|Kế đó, thầy tế lễ sẽ lấy cây hương nam, chùm kinh giới, và màu đỏ sặm, liệng vào giữa đám lửa thiêu con bò cái tơ.
And the priest, after washing his clothing and bathing his body in water, may come back to the tent-circle, and will be unclean till evening.|Đoạn, thầy tế lễ phải giặt áo xống và tắm mình trong nước, sau rồi vào trại quân, bị ô uế đến chiều tối.
And he who does the burning is to have his clothing washed and his body bathed in water and be unclean till evening.|Kẻ nào thiêu con bò cái tơ phải giặt áo xống và tắm mình trong nước, bị ô uế đến chiều tối.
Then let a man who is clean take the dust of the burned cow and put it outside the tent-circle in a clean place, where it is to be kept for the children of Israel and used in making the water which takes away what is unclean: it is a sin-offering.|Một người tinh sạch sẽ hốt tro con bò cái tơ đổ ngoài trại quân, trong một nơi tinh sạch; người ta phải giữ tro đó cho hội dân Y-sơ-ra-ên để dùng làm nước tẩy uế: ấy là một của lễ chuộc tội.
And he who takes up the dust of the burned cow is to have his clothing washed with water and be unclean till evening: this is to be a law for ever, for the children of Israel as well as for the man from another country who is living among them.|Kẻ nào hốt tro con bò cái tơ phải giặt áo xống mình và bị ô uế đến chiều tối. Điều nầy sẽ làm một lệ định đời đời cho dân Y-sơ-ra-ên và cho khách ngoại bang kiều ngụ giữa dân đó.
Anyone touching a dead body will be unclean for seven days:|Ai đụng đến một xác chết của người nào sẽ bị ô uế trong bảy ngày.
On the third day and on the seventh day he is to make himself clean with the water, and so he will be clean: but if he does not do this on the third day and on the seventh day, he will not be clean.|Ngày thứ ba và ngày thứ bảy, người ấy phải dùng nước nầy làm cho mình được sạch, thì sẽ được sạch; còn nếu ngày thứ ba và ngày thứ bảy không làm cho mình được sạch, thì người vẫn không tinh sạch.
Anyone touching the body of a dead man without making himself clean in this way, makes the House of the Lord unclean; and that man will be cut off from Israel: because the water was not put on him, he will be unclean; his unclean condition is unchanged.|Phàm người nào đụng đến xác chết của người nào và không làm cho mình được sạch, thì sẽ gây cho đền tạm của Đức Giê-hô-va bị ô uế. Người đó sẽ bị truất khỏi Y-sơ-ra-ên; vì nước tẩy uế không có rảy trên mình người, nên người vẫn ô uế; sự ô uế của người vẫn ở trên mình người vậy.
This is the law when death comes to a man in his tent: everyone who comes into the tent, and everyone who is in the tent, will be unclean for seven days.|Nầy là luật pháp khi có một người nào chết trong trại: bất kỳ ai vào trại và mọi vật chi ở trong đều sẽ bị ô uế trong bảy ngày.
And every open vessel without a cover fixed on it will be unclean.|Phàm bình đựng nào để trống, không có nắp đậy buộc theo, sẽ bị ô uế.
And anyone touching one who has been put to death with the sword in the open country, or the body of one who has come to his end by a natural death, or a man's bone, or the resting-place of a dead body, will be unclean for seven days.|Ngoài đồng, ai đụng đến hoặc một người bị gươm giết, hoặc một xác chết, hoặc hài cốt loài người hay là một cái mả, thì sẽ bị ô uế trong bảy ngày.
And for the unclean, they are to take the dust of the burning of the sin-offering, and put flowing water on it in a vessel:|Về kẻ bị ô uế, người ta phải lấy tro của con sinh đã bị thiêu đặng chuộc tội, để trong một cái bình và đổ nước chảy lên trên.
And a clean person is to take hyssop and put it in the water, shaking it over the tent, and all the vessels, and the people who were there, and over him by whom the bone, or the body of one who has been put to death with the sword, or the body of one who has come to his end by a natural death, or the resting-place was touched.|Đoạn, một người tinh sạch sẽ lấy chùm kinh giới nhúng vào nước, rồi rảy trên trại, trên các bình, trên những người có tại đó, và trên người đã đụng, hoặc những hài cốt, hoặc một người bị giết, hoặc một xác chết hay là một cái mả.
Let the clean person do this to the unclean on the third day and on the seventh day: and on the seventh day he is to make him clean; and after washing his clothing and bathing himself in water, he will be clean in the evening.|Ngày thứ ba và ngày thứ bảy, người tinh sạch phải rảy nước đó trên người bị ô uế, và ngày thứ bảy người tinh sạch sẽ làm cho người được sạch, Người đương được sạch phải giặt áo xống mình, tắm mình trong nước, và đến chiếu tối mới được tinh sạch.
But the man who, being unclean, does not make himself clean in this way, will be cut off from the meeting of the people, because he has made the holy place of the Lord unclean: the water has not been put on him, he is unclean.|Còn người nào sẽ bị ô uế mà không làm cho mình được sạch, một người như vậy sẽ bị truất khỏi hội chúng; vì người đã làm cho nơi thánh của Đức Giê-hô-va bị ô uế. Nước tẩy uế không có rưới trên mình người: người vẫn ô uế.
This is to be a law for them for ever: he who puts the water on the unclean person is to have his clothing washed; and anyone touching the water will be unclean till evening.|Ay sẽ là một lệ định đời đời cho dân sự. Người nào rảy nước tẩy uế sẽ giặt áo xống mình: kẻ nào đụng đến nước tẩy uế sẽ bị ô uế đến chiều tối.
Anything touched by the unclean person will be unclean; and any person touching it will be unclean till evening.|Phàm vật chi mà người ô uế đụng đến, đều sẽ bị lây ô uế; còn ai đụng đến người đó sẽ bị lây ô uế đến chiều tối.

					Numbers 20				|
						Dân Số 20					
In the first month all the children of Israel came into the waste land of Zin, and put up their tents in Kadesh; there death came to Miriam, and they put her body to rest in the earth.|Tháng giêng, cả hội dân Y-sơ-ra-ên tới đồng vắng Xin; và dừng lại tại Ca-đe. Mi-ri-am qua đời và được chôn tại đó.
