
					I Kings 1				|
And he said to them, Go away for three days and then come back to me again. So the people went away.|Người đáp với chúng rằng: Hãy lui về, trong ba ngày sẽ trở lại cùng ta. Dân sự bèn lui về.
Then King Rehoboam took the opinion of the old men who had been with Solomon his father when he was living, and said, In your opinion, what answer am I to give to this people?|Vua Rô-bô-am bàn với các trưởng lão đã hầu hạ Sa-lô-môn, cha mình, trong lúc người còn sống, mà rằng: Các ngươi bàn luận cho ta phải đáp với dân sự này làm sao?
And they said to him, If you will be a servant to this people today, caring for them and giving them a gentle answer, then they will be your servants for ever.|Chúng thưa lại rằng: Nếu ngày nay vua làm như người đầy tớ của dân sự này, phục sự họ, đáp lời, trò chuyện tử tế cùng họ, thì họ sẽ làm tôi tớ vua mãi mãi.
But he gave no attention to the opinion of the old men, and went to the young men of his generation who were waiting before him:|Nhưng Rô-bô-am không theo mưu của các trưởng lão đã bàn cho mình; bàn nghị cùng các kẻ trai trẻ đồng lớn lên với mình, và hầu hạ mình,
And said to them, What is your opinion? What answer are we to give to this people who have said to me, Make less the weight of the yoke which your father put on us?|mà rằng: Dân sự này đã tâu với ta rằng: Hãy giảm nhẹ cái ách mà thân phụ vua đã gán cho chúng tôi; vậy, các ngươi bàn luận cho ta phải đáp với chúng nó làm sao?
And the young men of his generation said to him, This is the answer to give to the people who came to you saying, Your father put a hard yoke on us; will you make it less? say to them, My little finger is thicker than my father's body;|Các gã trai trẻ đồng lớn lên với người đáp rằng: dân sự này đã tâu với vua rằng: Thân phụ vua khiến ách chúng tôi nặng vua hãy làm cho nó ra nhẹ; vua phải đáp lại cùng chúng như vầy: Ngón tay út ta cón lớn hơn lưng của cha ta.
If my father put a hard yoke on you, I will make it harder: my father gave you punishment with whips, but I will give you blows with snakes.|Vậy, cha ta đã gác một cái ách nặng cho các ngươi, ta sẽ làm cái ách các ngươi thêm nặng hơn nữa; cha ta sửa phạt các ngươi bằng roi da, ta sẽ sửa phạt các ngươi bằng roi bọ cạp.
So all the people came to Rehoboam on the third day, as the king had given orders, saying, Come back to me the third day.|Ngày thứ ba, Giê-rô-bô-am và cả dân sự đều đi đến Rô-bô-am, y như vua đã biểu rằng: Hãy trở lại cùng ta trong ba ngày.
And the king gave them a rough answer, giving no attention to the suggestion of the old men;|Vua đáp lời với dân sự cách xẳng xớm, không kể các lời bàn luận của các trưởng lão,
But giving them the answer put forward by the young men, saying, My father made your yoke hard, but I will make it harder; my father gave you punishment with whips, but I will give it with snakes.|và theo mưu các kẻ trai trẻ mà đáp lại cùng chúng rằng: Cha ta đã khiến cho ách các ngươi nặng nề; ta sẽ làm ách các ngươi càng nặng nề hơn nữa. Cha ta có sửa phạt các ngươi bằng roi da, ta sẽ sửa phạt các ngươi bằng roi bọ cạp.
So the king did not give ear to the people; and this came about by the purpose of the Lord, so that what he had said by Ahijah the Shilonite to Jeroboam, son of Nebat, might be effected.|Như vậy, vua không khứng nghe lời dân sự, vì điều đó bởi Đức Giê-hô-va dẫn đến, đặng làm cho ứng nghiệm lời Ngài cậy A-hi-gia ở Si-lô mà phán cho Giê-rô-bô-am, con trai của Nê-bát.
And when all Israel saw that the king would give no attention to them, the people in answer said to the king, What part have we in David? what is our heritage in the son of Jesse? to your tents, O Israel; now see to your people, David. So Israel went away to their tents.|Khi cả Y-sơ-ra-ên thấy vua không khứng nghe lời họ, bèn đáp cùng người rằng: Chúng ta có phần gì cùng Đa-vít? Chúng ta chẳng có cơ nghiệp chi với con trai Y-sai. Hỡi Y-sơ-ra-ên! hãy trở về trại mình đi. Ớ Đa-vít! từ rày ngươi khá coi chừng nhà của ngươi. Như vậy Y-sơ-ra-ên đều rút về các trại của họ.
(But Rehoboam was still king over those of the children of Israel who were living in the towns of Judah.)|Nhưng về dân Y-sơ-ra-ên ở tại các thành Giu-đa, thì Rô-bô-am cai trị họ.
Then King Rehoboam sent Adoniram, the overseer of the forced work; and he was stoned to death by all Israel. And King Rehoboam went quickly and got into his carriage to go in flight to Jerusalem.|Bấy giờ, Rô-bô-am sai A-đô-ram là người coi sóc việc cống thuế đến cùng chúng; nhưng cả Y-sơ -r-ên ném đá người chết. Vua Rô-bô-am lật đật lên xe, trốn về Giê-ru-sa-lem.
So Israel was turned away from the family of David to this day.|Ay vậy, Y-sơ-ra-ên phản nghịch nhà Đa-vít cho đến ngày nay.
Now when all Israel had news that Jeroboam had come back, they sent for him to come before the meeting of the people, and made him king over Israel: not one of them was joined to the family of David but only the tribe of Judah.|Khi dân Y-sơ-ra-ên hay rằng Giê-rô-bô-am đã trở về, bèn sai sứ mời người đến hội mình, và lập người làm vua trên Y-sơ-ra-ên. Chỉ có chi phái Giu-đa cứ theo nhà Đa-vít mà thôi.
When Rehoboam came to Jerusalem, he got together all the men of Judah and the tribe of Benjamin, a hundred and eighty thousand of his best fighting-men, to make war against Israel and get the kingdom back for Rehoboam, the son of Solomon.|Rô-bô-am đến Giê-ru-sa-lem nhóm hết thảy nhà Giu-đa và chi phái Bên-gia-minh, số là một tăm tám mươi ngàn người lính chiến kén chọn, toan tranh chiến cùng nhà Y-sơ-ra-ên đặng bắt nước phục lại Rô-bô-am, con trai Sa-lô-môn.
But the word of God came to Shemaiah, the man of God, saying,|Nhưng Đức Chúa Trời phán cùng Sê-ma-gia, người của Đức Chúa Trời, rằng:
Say to Rehoboam, the son of Solomon, king of Judah, and to all the men of Judah and Benjamin and the rest of the people:|Hãy nói cùng Rô-bô-am, con trai Sa-lô-môn, vua Giu-đa, cùng hết thảy nhà Giu-đa, Bên-gia-min, và phần dân sự còn lại, mà rằng:
The Lord has said, You are not to go to war against your brothers, the children of Israel; go back, every man to his house, because this thing is my purpose. So they gave ear to the word of the Lord, and went back, as the Lord had said.|Đức Giê-hô-va phán như vầy: Các ngươi chớ đi lên đánh anh em mình, là dân Y-sơ-ra-ên. Mỗi người hãy trở về nhà mình, vì sự này bởi ta mà xảy đến. Chúng vâng theo lời Đức Giê-hô-va mà trở về theo mạng lịnh của Ngài.
Then Jeroboam made the town of Shechem in the hill-country of Ephraim a strong place, and was living there; and from there he went out and did the same to Penuel.|Giê-rô-bô-am bèn xây cất Si-chem trên núi Ep-ra-im, và ở tại đó. Đoạn từ đó người đi ra xây cất Phê-nu-ên.
And Jeroboam said in his heart, Now the kingdom will go back to the family of David:|Bấy giờ, Giê-rô-bô-am nói thầm rằng: Hoặc nước sẽ trở về nhà Đa-vít chăng.
If the people go up to make offerings in the house of the Lord at Jerusalem, their heart will be turned again to their lord, to Rehoboam, king of Judah; and they will put me to death and go back to Rehoboam, king of Judah.|Nếu dân sự này đi lên Giê-ru-sa-lem đặng tế lễ tại trong đền của Đức giê-hô-va, thì lòng họ chắc sẽ trở về chúa của họ, là Rô-bô-am, vua Giu-đa; người ta sẽ giết ta đi và trở về với Rô-bô-am, vua Giu-đa.
So after taking thought the king made two oxen of gold; and he said to the people, You have been going up to Jerusalem long enough; see! these are your gods, O Israel, who took you out of the land of Egypt.|Vậy, vua bàn định, rồi truyền làm hai con bò con bằng vàng, và nói với dân sự rằng: Các ngươi đi lên Giê-ru-sa-lem thật khó thay! Hỡi Y-sơ-ra-ên! nầy là các thần ngươi, đã đem ngươi ra khỏi xứ Ê-díp-tô.
And he put one in Beth-el and the other in Dan.|Người đặt con này tại Bê-tên, và con kia tại Đan.
And this became a sin in Israel; for the people went to give worship to the one at Beth-el, and to the other at Dan.|Việc đó thành nên tội lỗi, vì dân chúng đi đến Đan đặng thờ lạy bò con ấy.
And he made places for worship at the high places, and made priests, who were not Levites, from among all the people.|Giê-rô-bô-am cũng cất chùa miễu trên các nơi cao, chọn lấy người trong vòng dân chúng lập làm thầy tế lễ, không thuộc về chi phái Lê-vi.
And Jeroboam gave orders for a feast in the eighth month, on the fifteenth day of the month, like the feast which is kept in Judah, and he went up to the altar. And in the same way, in Beth-el, he gave offerings to the oxen which he had made, placing in Beth-el the priests of the high places he had made.|Người lại định lập trong tuần tháng tám ngày rằm, một lễ giống như lễ người ta thường dự trong xứ Giu-đa, và người dâng các của lễ trên bàn thờ. Người cũng làm như vậy tại Bê-tên, tế lễ cho hai bò con mà người đã làm nên; lại để tại Bê-tên những thầy tế lễ của các nơi cao mà người đã cất.
He went up to the altar he had made in Beth-el on the fifteenth day of the eighth month, the month fixed by him at his pleasure; and he gave orders for a feast for the people of Israel, and went up to the altar, and there he made the smoke of his offerings go up.|Ngày rằm tháng tám, tức là tháng người tự chọn lấy, Giê-rô-bô-am đi lên bàn thờ mình đã cất tại Bê-tên. Người lập một lễ cho dân Y-sơ-ra-ên, rồi đi lên bàn thờ đặng xông hương.

					I Kings 13				|
						I Các Vua 13					
Then a man of God came from Judah by the order of the Lord to Beth-el, where Jeroboam was by the altar, burning offerings.|Đương khi Giê-rô-bô-am đứng gần bàn thờ, đặng xông hương, kìa, có một người của Đức Chúa Trời ở Giu-đa, vâng mạng Đức Giê-hô-va mà đến Bê-tên.
And by the order of the Lord he made an outcry against the altar, saying, O altar, altar, the Lord has said, From the seed of David will come a child, named Josiah, and on you he will put to death the priests of the high places, who are burning offerings on you, and men's bones will be burned on you.|Người vâng theo lời phán của Đức Giê-hô-va, quở trách bàn thờ mà nói rằng: Hỡi bàn thờ, bàn thờ! Đức Giê-hô-va phán như vầy: Một đứa con trai sẽ sanh ra cho nhà Đa-vít, tên nó là Giô-si -a. Nó sẽ dâng trên mầy những thầy tế lễ của các nơi cao, là người xông hương trên mầy, và người ta sẽ thiêu trên mầy hài cốt của người chết.
The same day he gave them a sign, saying, This is the sign which the Lord has given: See, the altar will be broken and the burned waste on it overturned.|Trong ngày đó, thầy tiên tri tỏ một dấu lạ, rằng: Nầy là dấu lạ mà Đức Giê-hô-va đã phán: Bàn thờ sẽ nứt, tro trên bàn thờ sẽ đổ xuống đất.
Then the king, hearing the man of God crying out against the altar at Beth-el, put out his hand from the altar, saying, Take him prisoner. And his hand, stretched out against him, became dead, and he had no power of pulling it back.|Khi vua Giê-rô-bô-am nghe lời hăm dọa mà người của Đức chúa Trời nói nghịch cùng bàn thờ tại Bê-tên, thì người giơ tay ra trên bàn thờ mà bảo rằng: Hãy bắt nó đi. Nhưng cánh tay vua giơ ra đối cùng tiên tri bèn trở nên khô, không thế co lại vào mình được.
And the altar was broken and the burned waste on it overturned; this was the sign which the man of God had given by the word of the Lord.|Bàn thờ cũng nứt ra, và tro ở trên đổ xuống, y như dấu lạ mà người của Đức Chúa Trời đã vâng mạng Đức Giê-hô-va tỏ ra.
Then the king made answer and said to the man of God, Make a prayer now for the grace of the Lord your God, and for me, that my hand may be made well. And in answer to the prayer of the man of God, the king's hand was made well again, as it was before.|Bấy giờ, vua cất tiếng nói với người của Đức Chúa Trời rằng: Xin hãy nài xin Giê-hô-va Đức Chúa Trời ngươi và cầu nguyện cho ta, hầu cho tay ta được lại như cũ. Người của Đức Chúa Trời cầu khẩn Đức Giê-hô-va, thì tay vua bèn co vào được, trở lại y như trước.
And the king said to the man of God, Come with me to my house for food and rest, and I will give you a reward.|Vua bèn nói cùng người của Đức Chúa Trời rằng: Ngươi hãy về cung với ta đặng bổ sức lại, và ta sẽ dâng cho ngươi một lễ vật.
But the man of God said to the king, Even if you gave me half of all you have, I would not go in with you, and I would not take food or a drink of water in this place;|Người của Đức Chúa Trời đáp lại cùng vua rằng: Dẫu vua ban cho tôi phân nửa gia sản vua, tôi cũng chẳng vào cung với vua, hoặc ăn bánh hay là uống nước tại nơi này;
For so I was ordered by the word of the Lord, who said, You are not to take food or a drink of water, and you are not to go back the way you came.|vì Đức Giê-hô-va đã phán dặn ta như vầy, rằng: Ngươi chớ ăn bánh, chớ uống nước, chớ noi con đường ngươi đã đi mà trở về.
So he went another way, and not by the way he came to Beth-el.|Ay vậy, người đi đường khác, chẳng trở lại đường người đã bắt đi đến Bê-tên.
Now there was an old prophet living in Beth-el; and one of his sons came and gave him word of all the man of God had done that day in Beth-el, and they gave their father an account of the words he had said to the king.|Vả, có một tiên tri già ở tại Bê-tên. Một con trai người đến học lại cho người mọi điều người của Đức Chúa Trời đã làm tại Bê-tên trong ngày đó, và các lời người đã nói với vua. Người cha nghe lời thuật này, thì hỏi con mình rằng:
Then their father said to them, Which way did he go? Now his sons had seen which way the man of God who came from Judah had gone.|Người ấy đi đường nào? Các con trai người chỉ con đường mà người của Đức Chúa Trời ở Giu-đa đã noi đi về.
So the prophet said to his sons, Make ready an ass for me. So they made an ass ready, and he got on it,|Người bèn nói cùng các con trai mình rằng: Hãy thắng lừa ta; chúng bèn thắng lừa, rồi người lên cỡi,
And went after the man of God, and came up with him while he was seated under an oak-tree. And he said to him, Are you the man of God who came from Judah? And he said, I am.|đi theo người của Đức Chúa Trời, gặp người ngồi dưới gốc cây thông, thì nói rằng: Có phải ngươi là người của Đức Chúa Trời ở Giu-đa đến chăng? Người đáp: Ay là tôi.
Then he said to him, Come back to the house with me and have a meal.|Tiên tri già tiếp rằng: Hãy đến nhà với ta đặng dùng bữa.
But he said, I may not go back with you or go into your house; and I will not take food or a drink of water with you in this place;|Nhưng người đáp lại rằng: Tôi chẳng thể trở về với ông, cũng chẳng thể vào nhà ông, hoặc ăn bánh hay là uống nước với ông tại nơi này cũng không đặng;
For the Lord said to me, You are not to take food or water there, or go back again by the way you came.|vì Đức Giê-hô-va đã phán dặn tôi rằng: Ngươi chớ ăn bánh, chớ uống nước tại nơi đó, và cũng đừng trở lại theo con đường ngươi đã bắt đặng đi đến.
Then he said to him, I am a prophet like you; and an angel said to me by the word of the Lord, Take him back with you and give him food and water. But he said false words to him.|Người kia lại tiếp rằng: Ta cũng là tiên tri như ngươi. Vả, một thiên sứ vâng lịnh Đức Giê-hô-va có phán với ta rằng: hãy dẫn nó vào nhà với ngươi, hầu cho ăn bánh và uống nước. Nhưng người tiên tri này nói dối người.
So he went back with him, and had a meal in his house and a drink of water.|Người của Đức Chúa Trời bèn trở lại với người, ăn và uống tại nhà người.
But while they were seated at the table, the word of the Lord came to the prophet who had taken him back;|Khi hai người đương ngồi bàn, có lời của Đức Giê-hô-va phán với tiên tri đã đem người về;
And crying out to the man of God who came from Judah, he said, The Lord says, Because you have gone against the voice of the Lord, and have not done as you were ordered by the Lord,|người liền kêu la cùng người của Đức Chúa Trời ở Giu-đa đến mà rằng: Đức Giê-hô-va phán như vầy: Bởi vì ngươi phản nghịch lời của của Đức Giê-hô-va Đức Chúa Trời ngươi đã truyền cho ngươi,
But have come back, and have taken food and water in this place where he said you were to take no food or water; your dead body will not be put to rest with your fathers.|nhưng đã trở lại ăn bánh uống nước tại đó, thì xác chết ngươi sẽ chẳng được chôn trong mồ mả của tổ phụ ngươi.
Now after the meal he made ready the ass for him, for the prophet whom he had taken back.|Khi đã ăn uống xong, tiên tri già bèn thắng lừa cho tiên tri mình đã dẫn về.
And he went on his way; but on the road a lion came rushing at him and put him to death; and his dead body was stretched in the road with the ass by its side, and the lion was there by the body.|Người liền đi: dọc đường người gặp một con sư tử và bị nó giết đi. Thây người nằm sải trên đường, có con lừa đứng một bên, còn sư tử cũng đứng gần bên thây.
And some men, going by, saw the body stretched out in the road with the lion by its side; and they came and gave news of it in the town where the old prophet was living.|Có người đi ngang qua thấy thây nằm sải trên đường, và con sư tử đứng kế bên, thì đi đến trong thành của tiên tri già ở, thuật lại đều mình đã thấy.
Then the prophet who had made him come back, hearing it, said, It is the man of God, who went against the word of the Lord; that is why the Lord has given him to the lion to be wounded to death, as the Lord said.|Khi tiên tri già, là người đã khiến người của Đức Chúa Trời trở bước lại, nghe điều ấy, bèn nói rằng: Ay là người của Đức Chúa Trời đã phản nghịch lời của Đức Giê-hô-va. Bởi vậy cho nên Đức Giê-hô-va đã phó người cho sư tử phân xé và giết đi, y như lời Đức Giê-hô-va đã phán.
And he said to his sons, Make ready the ass for me. And they did so.|Đoạn, người biểu các con trai mình rằng: Hãy thắng lừa ta. Chúng bèn thắng lừa.
And he went and saw the dead body stretched out in the road with the ass and the lion by its side: the lion had not taken the body for its food or done any damage to the ass.|Người đi, gặp xác chết nằm trên đường, con lừa và con sư tử ở hai bên. Con sư tử không ăn xác chết và không phân xé con lừa.
Then the prophet took up the body of the man of God and put it on the ass and took it back; and he came to the town to put the body to rest with weeping.|Tiên tri già cất xác của người Đức Chúa Trời lên, chở trên con lừa, đem về vào trong thành mình, đặng than khóc và chôn người.
And he put the body in the resting-place made ready for himself, weeping and sorrowing over it, saying, O my brother!|Người chôn xác ấy trong mộ mình, rồi khóc người mà rằng: Thương ôi! anh ôi!
And when he had put it to rest, he said to his sons, When I am dead, then you are to put my body into the earth with the body of this man of God, and put me by his bones so that my bones may be kept safe with his bones.|Sau khi chôn xác rồi, người nói với các con trai mình rằng: Khi nào ta chết, các con hãy chôn ta vào mả đã chôn người của Đức Chúa Trời, để hài cốt ta ở bên hài cốt người.
For the outcry he made by the word of the Lord against the altar in Beth-el and against all the houses of the high places in the towns of Samaria, will certainly come about.|Vì các lời hăm dọa người vâng mạng Đức Giê-hô-va mà nói nghịch cùng bàn thờ tại Bê-tên và nghịch cùng các chùa miễu tại trên những nơi cao ở trong các thành Sa-ma-ri, hẳn sẽ được ứng nghiệm.
After this Jeroboam, not turning back from his evil ways, still made priests for his altars from among all the people; he made a priest of anyone desiring it, so that there might be priests of the high places.|Sau việc ấy, Giê-rô-bô-am không trở lại con đường ác mình, nhưng người lại lập cho các nơi cao những thầy tế lễ chọn trong đám dân sự; phàm ai tình nguyện, thì được người biệt riêng ra làm thầy tế lễ tại các nơi cao.
And this became a sin in the family of Jeroboam, causing it to be cut off and sent to destruction from the face of the earth.|Nhân vì cớ ấy nhà Giê-rô-bô-am phạm tội, đến đỗi bị diệt khỏi mặt đất.

					I Kings 14				|
						I Các Vua 14					
At that time Abijah, the son of Jeroboam, became ill.|Trong lúc đó, A-bi-gia, con trai của Giê-rô-bô-am, đau.
And Jeroboam said to his wife, Now come, put on different clothing so that you may not seem to be the wife of Jeroboam, and go to Shiloh; see, Ahijah is there, the prophet who said I would be king over this people.|Giê-rô-bô-am nói với vợ mình rằng: Ta xin ngươi hãy chổi dậy, giả dạng khác đi, cho người ta không biết người là vợ ta. Ngươi hãy đi đến Si-lô, tại đó có tiên tri A-hi-gia, là đấng đã nói trước về ta rằng ta sẽ làm vua của dân sự này.
And take with you ten cakes of bread and dry cakes and a pot of honey, and go to him: he will give you word of what is to become of the child.|Ngươi phải lấy đem theo mười ổ bánh, những bánh ngọt, và một bình mật ong, rồi hãy đi đến người; người sẽ nói cho ngươi đều phải xảy đến cho con trẻ.
So Jeroboam's wife did so, and got up and went to Shiloh and came to the house of Ahijah. Now Ahijah was unable to see, because he was very old.|Vợ Giê-rô-bô-am làm theo vậy, đứng dậy đi đến Si-lô, và tới nhà A-hi-gia. Vả, A-hi-gia không thấy được, bởi vì tuổi già làm cho mắt người mù lòa.
And the Lord had said to Ahijah, The wife of Jeroboam is coming to get news from you about her son, who is ill; give her such and such an answer; for she will make herself seem to be another woman.|Nhưng Đức Giê-hô-va phán với người rằng: Kìa, vợ của Giê-rô-bô-am đến cầu hỏi ngươi về con trai nó đương đau. Ngươi sẽ đáp lời cùng nó thể này, thể này. Khi đến, nàng sẽ giả dạng làm một người khác.
Then Ahijah, hearing the sound of her footsteps coming in at the door, said, Come in, O wife of Jeroboam; why do you make yourself seem like another? for I am sent to you with bitter news.|Khi nàng bước qua ngạch cửa cái, A-hi-gia nghe tiếng bước người, thì nói rằng: Hỡi vợ vua Giê-rô-bô-am, hãy vào; cớ sao ngươi giả làm người khác? Ta chịu sai báo cho ngươi một tin dữ: Hãy đi tâu với Giê-rô-bô-am:
Go, say to Jeroboam, These are the words of the Lord, the God of Israel: Though I took you from among the people, lifting you up to be a ruler over my people Israel,|Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy: Ta đã cất ngươi lên từ giữa dân sự, lập ngươi làm vua trên dân Y-sơ-ra-ên ta.
And took the kingdom away by force from the seed of David and gave it to you, you have not been like my servant David, who kept my orders, and was true to me with all his heart, doing only what was right in my eyes.|Ta đã đoạt lấy nước khỏi nhà Đa-vít, kẻ tôi tớ ta, là người gìn giữ các điều răn ta, hết lòng theo ta, chỉ làm điều thiện tại trước mặt ta.
But you have done evil more than any before you, and have made for yourself other gods, and images of metal, moving me to wrath, and turning your back on me.|Ngươi đã làm điều ác hơn các kẻ tiên bối ngươi, đi lập cho mình những thần khác và hình tượng đúc đặng chọc giận ta, và đã chối bỏ ta.
So I will send evil on the line of Jeroboam, cutting off from his family every male child, those who are shut up and those who go free in Israel; the family of Jeroboam will be brushed away like a man brushing away waste till it is all gone.|Bởi cớ đó, ta sẽ giáng tai họa trên nhà Giê-rô-bô-am, các nam đinh của nó, bất luận kẻ nô lệ hay là người tự do, ta sẽ diệt hết khỏi trong Y-sơ-ra-ên, và quét sạch nhà nó, như người ta quét phân, cho đến chẳng còn sót chi hết.
Those of the family of Jeroboam who come to death in the town, will become food for the dogs; and those on whom death comes in the open country, will be food for the birds of the air; for the Lord has said it.|Phàm người của nhà Giê-rô-bô-am chết tại trong thành, đều sẽ bị chó ăn nuốt, còn người nào chết ngoài đồng, thì sẽ bị chim trời cắn rỉa ăn đi; vì Đức Giê-hô-va đã phán vậy.
Up, then! go back to your house; and in the hour when your feet go into the town, the death of the child will take place.|Thế thì, hãy đứng dậy trở về nhà ngươi; vừa khi ngươi đặt chơn vào thành, thì con ngươi sẽ chết.
And all Israel will put his body to rest, weeping over him, because he only of the family of Jeroboam will be put into his resting-place in the earth; for of all the family of Jeroboam, in him only has the Lord, the God of Israel, seen some good.|Cả Y-sơ-ra-ên sẽ than khóc và chôn nó; trong nhà Giê-rô-bô-am chỉ một mình nó sẽ được chôn nơi mồ mả, vì trong gia quyến Giê-rô-bô-am chỉ thấy nơi nó có chút lòng tốt đối cùng Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên.
And the Lord will put up a king over Israel who will send destruction on the family of Jeroboam in that day;|Trong ngày đó, Đức Giê-hô-va sẽ dấy lên một vua trên Y-sơ-ra-ên, người diệt hết nhà Giê-rô-bô-am. Mà sao? Việc đã xảy đến rồi.
And even now the hand of the Lord has come down on Israel, shaking it like a river-grass in the water; and, uprooting Israel from this good land, which he gave to their fathers, he will send them this way and that on the other side of the River; because they have made for themselves images, moving the Lord to wrath.|Đức Giê-hô-va sẽ hành hại Y-sơ-ra-ên, như một cây sậy bị nước đưa đi, truất Y-sơ-ra-ên khỏi xứ tốt đẹp này mà Ngài đã ban cho tổ phụ họ, và làm tản lạc họ phía bên kia sông cái, bởi vì họ đã lấy hình tượng chọc giận Đức Giê-hô-va.
And he will give Israel up because of the sins which Jeroboam has done and made Israel do.|Vì cớ tội Giê-rô-bô-am đã phạm, tức tội khiến cho dân Y-sơ-ra-ên can phạm nên Đức Giê-hô-va sẽ phó Y-sơ-ra-ên vào tay thù nghịch.
Then Jeroboam's wife got up and went away and came to Tirzah; and when she came to the doorway of the house, death came to the child.|Vợ của Giê-rô-bô-am đứng dậy đi và đến Tiệt-sa. Nàng vừa đặt chơn trên ngạch cửa nhà, thì đứa trẻ đã chết.
And all Israel put his body to rest, weeping over him, as the Lord had said by his servant Ahijah the prophet.|Người ta chôn nó, và cả Y-sơ-ra-ên đều than khóc nó, theo như lời của Đức Giê-hô-va đã cậy miệng tôi tớ Ngài, là A-hi-gia, đấng tiên tri, mà phán.
Now the rest of the acts of Jeroboam, how he made war and how he became king, are recorded in the book of the history of the kings of Israel.|Mọi công việc khác của Giê-rô-bô-am làm, tức là sự tranh chiến và cuộc trị vì của người, đều đã chép trong sách sử ký của các vua Y-sơ-ra-ên.
And Jeroboam was king for twenty-two years, and was put to rest with his fathers, and Nadab his son became king in his place.|Giê-rô-bô-am trị vì hai mươi hai năm; đoạn, người an giấc cùng các tổ phụ mình, và Na-đáp, con trai người, kế vị người. Đời Rô-bô-am trị vì
And Rehoboam, the son of Solomon, was king in Judah. Rehoboam was forty-one years old when he became king, and he was king for seventeen years in Jerusalem, the town which the Lord had made his out of all the tribes of Israel, to put his name there; his mother's name was Naamah, an Ammonite woman.|Rô-bô-am, con trai của Sa-lô-môn, cai trị Giu-đa. Khi lên ngôi, người đã được bốn mươi mốt tuổi; người trị vì mười bảy năm tại Giê-ru-sa-lem, là thành Đức Giê-hô-va đã chọn trong các chi phái Y-sơ-ra-ên, đặng đặt danh Ngài ngự tại đó. Mẹ người tên là Na -a-ma, người Am-môn.
And Judah did evil in the eyes of the Lord, and made him more angry than their fathers had done by their sins.|Dân Giu-đa làm điều ác tại trước mặt Đức Giê-hô-va; vì cớ tội phạm, chúng nó chọc cho Đức Giê-hô-va phân bì hơn là các tổ phụ mình đã làm.
For they made high places and upright stones and wood pillars on every high hill and under every green tree;|Vì những người Giu-đa cũng xây cất cho mình những nơi cao, trụ thờ và tượng At-tạt-tê tại trên các gò nổng cao và dưới những cây rậm.
And more than this, there were those in the land who were used for sex purposes in the worship of the gods, doing the same disgusting crimes as the nations which the Lord had sent out before the children of Israel.|Cũng có những bợm vĩ gian ở trong xứ. Chúng bắt chước làm theo những sự gớm ghiếc của các dân tộc mà Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-sơ-ra-ên.
Now in the fifth year of King Rehoboam, Shishak, king of Egypt, came up against Jerusalem;|Năm thứ năm đời Rô-bô-am trị vì, Si-sắc, vua Ê-díp-tô, đi lên đánh Giê-ru-sa-lem,
And took away all the stored wealth from the house of the Lord, and from the king's house, and all the gold body-covers which Solomon had made.|lấy các châu báu của đền Đức Giê-hô-va và của cung vua; người cũng đoạt lấy hết thảy những khiên bằng vàng mà Sa-lô-môn đã làm.
So in their place King Rehoboam had other body-covers made of brass, and gave them into the care of the captains of the armed men who were stationed at the door of the king's house.|Vua Rô-bô-am bèn truyền làm những khiên bằng đồng đặng thế cho các khiên ấy, giao cho các quan làm đầu thị vệ canh cửa cung vua.
And whenever the king went into the house of the Lord, the armed men went with him taking the body-covers, and then took them back to their room.|Hễ vua đi vào đền Đức Giê-hô-va, có những thị vệ cầm các khiên ấy; đoạn, họ đem cất nó lại trong phòng thị vệ.
Now the rest of the acts of Rehoboam, and all he did, are they not recorded in the book of the history of the kings of Judah?|Các công việc khác của Rô-bô-am, và mọi việc người đã làm, đều chép trong sách sử ký của các vua Giu-đa.
And there was war between Rehoboam and Jeroboam all their days.|Vả, Rô-bô-am và Giê-rô-bô-am đánh giặc nhau luôn luôn.
And Rehoboam went to rest with his fathers, and was put into the earth with his fathers in the town of David; his mother's name was Naamah, an Ammonite woman. And Abijam his son became king in his place.|Rô-bô-am an giấc với tổ phụ người, và được chôn với họ tại trong thành Đa-vít. Mẹ người tên là Na -a-ma, người Am-môn, A-bi-giam, con trai người, kế vị người.

					I Kings 15				|
						I Các Vua 15					
Now in the eighteenth year of king Jeroboam, the son of Nebat, Abijam became king over Judah.|Năm thứ mười tám đời vua Giê-rô-bô-am, con trai Nê-bát, thì A-bi-giam lên ngôi làm vua Giu-đa.
For three years he was king in Jerusalem: and his mother's name was Maacah, the daughter of Abishalom.|Người trị vì ba năm ở Giê-ru-sa-lem. Mẹ người tên là Ma -a-ca, con gái của A-bi-sa-lôm.
And he did the same sins which his father had done before him: his heart was not completely true to the Lord his God, like the heart of David his father.|Người đi trong các tội lỗi của cha người đã phạm trước người; và lòng người không trọn lành với Giê-ho-va Đức Chúa Trời người như thể lòng Đa-vít, tổ phụ người.
But because of David, the Lord gave him a light in Jerusalem, making his sons king after him, so that Jerusalem might be safe;|Nhưng vì cớ Đa-vít, Giê-hô-va Đức Chúa Trời của người dành cho người một ngọn đèn trong Giê-ru-sa-lem, lập con trai người làm kẻ kế vị người, và khiến cho Giê-ru-sa-lem còn hoài;
