
					Joshua 1				|
However, the people of Israel did not send out the Geshurites, or the Maacathites: but Geshur and Maacath are living among Israel to this day.|Nhưng dân Y-sơ-ra-ên không đuổi đi dân Ghê-su-rít và dân Ma-ca-thít. Ay vậy, dân Ghê-su-rít và dân Ma-ca-thít còn ở giữa dân Y-sơ-ra-ên cho đến ngày nay.
Only to the tribe of Levi he gave no heritage; the offerings of the Lord, the God of Israel, made by fire are his heritage, as he said to him.|Song Môi-se không phát phần sản nghiệp cho chi phái Lê-vi: những của lễ dâng cho Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, ấy là phần sản nghiệp của chi phái đó, y như Ngài đã phán cùng Môi-se.
And Moses gave their heritage to the tribe of Reuben by their families.|Vậy, Môi-se có phát một phần cho chi phái Ru-bên tùy theo họ hàng của chúng.
Their limit was from Aroer, on the edge of the valley of the Arnon, and the town in the middle of the valley, and all the table-land by Medeba;|Địa phận chi phái Ru-bên chạy từ A-rô -e trên mé khe At-nôn, và từ thành ở giữa trũng, cùng toàn đồng bằng gần Mê-đê-ba;
Heshbon and all her towns in the table-land; Dibon, and Bamoth-baal, and Beth-baal-meon;|Hết-bôn và các thành nó ở nơi đồng bằng là Đi-bôn, Ba-mốt-Ba-anh, Bết-Ba-anh-Mê-ôn,
And Jahaz, and Kedemoth, and Mephaath;|Gia-hát, Kê-đê-mốt, Mê-phát,
And Kiriathaim, and Sibmah, and Zereth-shahar in the mountain of the valley;|Ki-ri -a-ta-im, Síp-ma, Xê-rết-Ha-sa-cha ở trên núi của trũng,
And Beth-peor, and the slopes of Pisgah, and Beth-jeshimoth;|Bết-Phê -o, các triền núi Phích-ga, Bết-Giê-si-mốt,
And all the towns of the table-land, and all the kingdom of Sihon, king of the Amorites, who was ruling in Heshbon, whom Moses overcame, together with the chiefs of Midian, Evi, and Rekem, and Zur, and Hur, and Reba, the chiefs of Sihon, who were living in the land.|các thành của xứ đồng bằng, toàn nước Si-hôn, vua dân A-mô-rít, vốn cai trị tại Hết-bôn, mà Môi-se đã đánh bại, với quan trưởng Ma-đi-an, là Ê-vi, Rê-kem, Xu-rơ, và Rê-ba, tức các quan trưởng làm chư hầu Si-hôn, và ở trong xứ.
And Balaam, the son of Beor, the prophet, the children of Israel put to death with the sword.|Trong những người mà dân Y-sơ-ra-ên dùng gươm giết, thì có thuật sĩ Ba-la-am, con trai của Bê-ô.
And the limit of the children of Reuben was the edge of Jordan. This was the heritage of the children of Reuben by their families, with its towns and its unwalled places.|Địa phận người Ru-bên có sông Giô-đanh làm giới hạn. Đó là sản nghiệp của người Ru-bên, tùy theo những họ hàng, thành ấp, và làng xóm của họ.
And Moses gave their heritage to the tribe of Gad by their families.|Môi-se cũng có phát một phần cho chi phái Gát, tùy theo họ hàng của chúng.
And their limit was Jazer, and all the towns of Gilead, and half the land of the children of Ammon, to Aroer before Rabbah;|Địa phận của chi phái Gát là Gia-ê-xe, các thành Ga-la-át, phân nửa xứ dân Am-môn, cho đến A-rô -e đối ngang Ráp-ba;
And from Heshbon to Ramath-mizpeh, and Betonim; and from Mahanaim to the edge of Debir;|và từ Hết-bôn cho đến Ra-mát-Mít-bê, cùng Bê-tô-nim; đoạn từ Ma-ha-na-im cho đến bờ cõi Đê-bia.
And in the valley, Beth-haram, and Beth-nimrah, and Succoth, and Zaphon, the rest of the kingdom of Sihon, king of Heshbon, having Jordan for its limit, to the end of the sea of Chinnereth on the east side of Jordan.|Còn trong trũng thì Bết-Ha-ram, Bết-Nim-ra, Su-cốt, và Xa-phôn, tức là phần còn lại của nước Si-hôn, vua miền Giô-đanh cho đến cuối biển Ki-nê-rết tại bên kia sông Giô-đanh về phía đông.
This is the heritage of the children of Gad by their families, with its towns and its unwalled places|Đó là sản nghiệp của người Gát, tùy theo những họ hàng, thành ấp, và làng xóm của họ.
And Moses gave their heritage to the half-tribe of Manasseh by their families.|Môi-se cũng có phát một phần cho phân nửa chi phái Ma-na-se, tùy theo họ hàng của chúng, là phần vẫn còn thuộc về phân nửa chi phái Ma-na-se.
And their limit was from Mahanaim, all Bashan, all the kingdom of Og, king of Bashan, and all Havvoth-Jair, in Bashan, sixty towns;|Địa phận của họ là từ Ma-ha-na-im, toàn Ba-san, cả nước Oc, vua Ba-san, và các thôn Giai-rơ trong Ba-san, có sáu mươi thành.
And half Gilead, and Ashtaroth, and Edrei, towns of the kingdom of Og in Bashan, were for the children of Machir, the son of Manasseh, for half of the children of Machir by their families.|Phân nửa xứ Ga-la-át, Ach-ta-rốt, và Et-ri -i, là hai thành về nước Oc tại Ba-san, đã phát cho phân nửa con cháu Ma-ki, chít của Ma-na-se, tùy theo họ hàng của chúng.
These are the heritages of which Moses made distribution in the lowlands of Moab, on the other side of Jordan in Jericho, to the east.|Đó là các sản nghiệp mà Môi-se phân phát tại trong đồng bằng Mô-áp, ở bên kia sông Giô-đanh về phía đông, đối ngang Giê-ri-cô.
But to the tribe of Levi Moses gave no heritage: the Lord, the God of Israel, is their heritage, as he said to them.|Song Môi-se không phát sản nghiệp cho chi phái Lê-vi, vì Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên là sản nghiệp của chi phái ấy, y như Ngài đã phán cùng họ vậy.

					Joshua 14				|
						Giô-sua 14					
And these are the heritages which the children of Israel took in the land of Canaan, which Eleazar, the priest, and Joshua, the son of Nun, and the heads of the tribes of the children of Israel, gave out to them;|Nầy là các phần dân Y-sơ-ra-ên nhận lãnh làm sản nghiệp trong xứ Ca-na-an, mà thầy tế lễ Ê-lê -a-sa, Giô-suê, con trai Nun, và các trưởng lão của những chi phái dân Y-sơ-ra-ên phân phát cho.
Their heritage by the Lord's decision, as he gave orders by Moses, for the nine tribes and the half-tribe.|Người ta bắt thăm chia xứ cho chín chi phái, và cho phân nửa chi phái, y như Đức Giê-hô-va đã cậy Môi-se phán dặn.
For Moses had given their heritage to the two tribes and the half-tribe on the other side of Jordan, but to the Levites he gave no heritage among them.|Môi-se đã phát cho hai chi phái và cho phân nửa chi phái kia phần sản nghiệp ở bên kia sông Giô-đanh; nhưng tại giữa họ người không phát phần sản nghiệp cho chi phái Lê-vi.
Because the children of Joseph were two tribes, Manasseh and Ephraim; and they gave the Levites no part in the land, only towns for their living-places, with the grass-lands for their cattle and for their property.|Con cháu Giô-sép phân làm hai chi phái, là Ma-na-se và Ep-ra-im; người ta không lấy phần sản nghiệp trong xứ mà phát cho người Lê-vi, nhưng chỉ phát mấy thành đặng ở, với đất chung quanh thành, để dùng cho các bầy súc vật và tài sản của họ.
As the Lord had given orders to Moses, so the people of Israel did, and they made division of the land.|Dân Y-sơ-ra-ên làm y theo điều Đức Giê-hô-va đã phán dặn Môi-se mà chia xứ.
Then the children of Judah went to Joshua in Gilgal; and Caleb, the son of Jephunneh the Kenizzite, said to him, You have knowledge of what the Lord said to Moses, the man of God, about me and about you in Kadesh-barnea.|Vả, con cháu Giu-đa đến gần Giô-suê tại Ghinh ganh, và Ca-lép, con trai Giê-phu-nê, người Kê-nít, nói cùng người rằng: Ong biết điều thuộc về tôi và ông mà Đức Giê-hô-va đã phán cùng Môi-se, người của Đức Chúa Trời, tại Ca-đe-Ba-nê -a.
I was forty years old when Moses, the servant of the Lord, sent me from Kadesh-barnea to make a search through the land; and the account which I gave him was in keeping with his desire.|Khi Môi-se, tôi tớ của Đức Giê-hô-va, ở Ca-đe-Ba-nê -a sai tôi đi dọ thám xứ, thì tôi đã được bốn mươi tuổi; và tôi thuật lại cho người thật tình.
My brothers, however, who went up with me, made the heart of the people like water: but I was true to the Lord with all my heart.|Các anh em đồng đi lên với tôi làm cho bá tánh sờn lòng; còn tôi trung thành vâng theo Giê-hô-va Đức Chúa Trời của tôi.
And on that day Moses took an oath, saying, Truly the land where your feet have been placed will become a heritage for you and your children for ever, because you have been true to the Lord your God with all your heart.|Trong ngày đó, Môi-se có thề mà rằng: Quả thật đất mà chơn ngươi đã đạp đến sẽ thuộc về ngươi và con cháu ngươi làm sản nghiệp đời đời; vì ngươi trung thành đã vâng theo Giê-hô-va Đức Chúa Trời ta.
And now, as you see, the Lord has kept me safe these forty-five years, from the time when the Lord said this to Moses, while Israel was wandering in the waste land: and now I am eighty-five years old.|Kìa, trong bốn mươi lăm năm nay, từ khi Ngài phán lời này cùng Môi-se, đương khi Y-sơ-ra-ên còn đi trong đồng vắng, Đức Giê-hô-va đã bảo tồn sanh mạng tôi đến bây giờ, và ngày nay tôi được tám mươi lăm tuổi.
And still, I am as strong today as I was when Moses sent me out: as my strength was then, so is it now, for war and for all the business of life.|Rày tôi cũng còn mạnh khỏe như ngày Môi-se sai tôi đi; tôi vẫn còn sức mà tôi có hồi đó, đặng đi đánh giặc, hoặc vào ra.
So now, give me this hill-country named by the Lord at that time; for you had an account of it then, how the Anakim were there, and great walled towns: it may be that the Lord will be with me, and I will be able to take their land, as the Lord said.|Vậy, hãy ban cho tôi núi này, mà Đức Giê-hô-va đã phán đến trong ngày đó; vì bây giờ, ông đã hay rằng có dân A-na-kim và các thành lớn bền vững ở đó. Có lẽ Đức Giê-hô-va sẽ ở cùng tôi, và tôi sẽ đuổi chúng nó đi, y như Ngài đã phán chăng.
And Joshua gave him his blessing; and he gave Hebron to Caleb, the son of Jephunneh, for his heritage.|Giô-suê bèn chúc phước cho người, và ban Hếp-rôn cho Ca-lép, con trai Giê-phu-nê, làm sản nghiệp.
So Hebron became the heritage of Caleb, the son of Jephunneh the Kenizzite, to this day, because with all his heart he was true to the Lord, the God of Israel.|Bởi cớ đó, Hếp-rôn bị ban cho Ca-lép, làm sản nghiệp cho đến ngày nay; vì người có trung thành vâng theo Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên.
In earlier times the name of Hebron had been Kiriath-arba, named after Arba, the greatest of the Anakim. And the land had rest from war.|Vả, khi xưa Hếp-rôn gọi là Ki-ri-át -A-ra-ba: A-ra-ba là người giềng giàng hơn hết trong dân A-na-kim. Từ đây về sau xứ được bình tịnh, không còn giặc giã.

					Joshua 15				|
						Giô-sua 15					
Now the part of the land marked out for the children of Judah by families, went up to the edge of Edom, as far as the waste land of Zin to the south, to the farthest point of it on the south.|Phần đất bắt thăm trúng về chi phái Giu-đa, tùy theo những họ hàng của chúng, chạy từ phía giới hạn Ê-đôm tại đồng vắng Xin về phía nam, đến cuối miền nam.
Their south limit was from the farthest part of the Salt Sea, from the inlet looking to the south:|Giới hạn phía nam chạy từ đầu Biển mặn, tức là từ phía ở ngay về hướng nam;
From there it goes south of the slope up to Akrabbim, and on to Zin, then south past Kadesh-barnea, and on by Hezron and up to Addar, turning in the direction of Karka:|rồi từ dốc Ac-ráp-bim chạy dài xuống miềng nam, đi ngang qua Xin, lên phía nam Ca-đe-Ba-nê -a, đi ngang qua Hết-rôn, lên hướng At-đa, vòng qua Cạt-ca,
Then on to Azmon, ending at the stream of Egypt: and the end of the limit is at the sea; this will be your limit on the south.|đi ngang về hướng At-nôn, đổ vào khe Ê-díp-tô, rồi giáp biển. Ay đó sẽ là giới hạn phía nam của các ngươi.
And the east limit is the Salt Sea as far as the end of Jordan. And the limit of the north part of the land is from the inlet of the sea at the end of Jordan:|Giới hạn về hướng đông là từ Biển mặn cho đến vàm sông Giô-đanh. Giới hạn phía bắc chạy từ phía biển nơi vàm sông Giô-đanh,
Then the line goes up to Beth-hoglah, past the north of Beth-arabah, and up to the stone of Bohan, the son of Reuben;|đi lên Bết-Hốt-la, trải qua phía bắc Bết -A-ra-ba, và chạy đến hòn đá Bô-han con trai của Ru-bên.
Then the line goes up to Debir from the valley of Achor, and so to the north, in the direction of Gilgal, which is opposite the slope up to Adummim, on the south side of the river: and the line goes on to the waters of En-shemesh, ending at En-rogel:|Đoạn, giới hạn này đi lên về hướng Đê-bia, từ trũng A-cô chạy tới hướng bắc về phía Ghinh-ganh, đối ngang dốc A-đu-mim tại phía nam khe; rồi trải qua gần mé nước En-Sê-mết, và giáp En-Rô-ghên.
Then the line goes up by the valley of the son of Hinnom to the south side of the Jebusite (which is Jerusalem): then up to the top of the mountain in front of the valley of Hinnom to the west, which is at the farthest point of the valley of Rephaim on the north:|Từ đó giới hạn đi lên ngang qua trũng con trai Hi-nôm, về cạnh nam của Giê-hu, tức là Giê-ru-sa-lem. Kế đó, nó chạy lên cho đến chót núi nằm ngang trũng Hi-nôm về hướng tây, ở đầu phía bắc trũng Rê-pha-im.
And the limit is marked out from the top of the mountain to the fountain of the waters of Nephtoah, and out to the towns of Mount Ephron, as far as Baalah (which is Kiriath-jearim):|Giới hạn này chạy từ chót núi đến suối nước Nép-thô-ách, và ăn về hướng các thành của núi Ep-rôn; rồi đi luôn đến Ba-la, là Ki-ri-át-Giê -a-rim.
Then turning west, the line goes from Baalah to Mount Seir, and on to the side of Mount Jearim (which is Chesalon) on the north, then down to Beth-shemesh, and on past Timnah:|Nó vòng từ Ba-la qua hướng tây về lối núi Sê -i-rơ, rồi theo hướng bắc đi ngang qua phía núi Giê-ra-im, tức là Kê-sa-lôn; kế chạy xuống đến Bết-Sê-mết và qua Thim-na.
And out to the side of Ekron to the north: then it is marked out to Shikkeron and on to Mount Baalah, ending at Jabneel; the end of the line is at the sea.|Từ đó giới hạn này cứ đi theo phía bắc Ec-rôn; đoạn băng qua hướng Siếc-rôn, trải qua núi Ba-la, ăn thẳng đến Giáp-nê-ên, rồi giáp biển.
And the limit on the west is the edge of the Great Sea. This is the line going round the land marked out for the children of Judah, by their families.|Còn giới hạn phía tây, ấy là biển lớn. Đó là giới hạn về bốn phía của người Giu-đa, tùy theo những họ hàng của chúng.
And to Caleb, the son of Jephunneh, he gave a part among the children of Judah, as the Lord had given orders to Joshua, that is, Kiriath-arba, named after Arba, the father of Anak which is Hebron.|Người ta ban cho ca-lép, con trai Giê-phu-nê, một phần ở giữa người Giu-đa, tùy theo mạng lịnh của Đức Giê-hô-va phán cho Giô-suê, là thành của A-ra-ba, cha A-nác. Ay là thành Hếp-rôn.
And the three sons of Anak, Sheshai and Ahiman and Talmai, the children of Anak, were forced out from there by Caleb.|Ca-lép bèn đuổi đi ba con trai của A-nác, là Sê-sai, A-hi-nam, và Tha-mai.
From there he went up against the people of Debir: (now the name of Debir before that was Kiriath-sepher.)|Từ đó người đi lên đánh dân thành Đê-bia; thuở xưa tên Đê-bia là Ki-ri-át-Sê-phe.
And Caleb said, I will give Achsah, my daughter, as wife to the man who overcomes Kiriath-sepher and takes it.|Ca-lép nói rằng: Ta sẽ gả con gái ta là Ac-sa, làm vợ cho người nào đánh và chiếm lấy Ki-ri-át-Sê-phe.
And Othniel, the son of Kenaz, Caleb's brother, took it: so he gave him his daughter Achsah for his wife.|Ot-ni-ên, con trai của Kê-na, cháu Ca-lép, bèn chiếm được thành; Ca-lép gả Ac-sa, con gái mình, cho người làm vợ.
Now when she came to him, he put into her mind the idea of requesting a field from her father: and she got down from her ass; and Caleb said to her, What is it?|Vả, xảy khi nàng vào nhà Ot-ni-ên, có thúc giục người xin cha mình một sở ruộng. Nàng leo xuống lừa; Ca-lép hỏi rằng: Con muốn chi?
And she said, Give me a blessing; because you have put me in dry south-land, now give me springs of water. So he gave her the higher spring and the lower spring.|Nàng thưa rằng: Xin cha ban một của phước cho con; vì cha lập con nơi đất miền nam, nên hãy cho con mấy suối nước. Người bèn ban cho nàng các suối ở trên và ở dưới.
This is the heritage of the tribe of Judah, by their families.|Đó là sản nghiệp của chi phái Giu-đa, tùy theo những họ hàng của chúng.
The farthest towns of the tribe of Judah in the direction of the limits of Edom to the south, were Kabzeel, and Eder, and Jagur;|Các thành ở đầu cùng chi phái Giu-đa, về phía ranh Ê-đôm tại miền nam là: Cáp-sê-ên, Ê-đe, Gia-gua,
And Kinah, and Dimonah, and Adadah;|Ki-na, Đi-mô-na, A-đe -a-đa,
And Kedesh, and Hazor, and Ithnan;|Kê-đe, Hát-so, Gít-nan,
Ziph, and Telem, and Bealoth;|Xíp, Tê-lem, Bê -a-lốt,
And Hazor-hadattah, and Kerioth-hezron (which is Hazor);|Hát-so-Ha-đa-tha, Kê-ri-giốt-Hết-rôn, tức là Hát-so;
Amam, and Shema, and Moladah;|A-mam, Sê-ma, Mô-la-đa,
And Hazar-gaddah, and Heshmon, and Beth-pelet;|Hát-sa-ga-đa, Hết-môn, Bết-Pha-lê,
And Hazar-shual, and Beer-sheba, and Biziothiah;|Hát-sa-Su-anh, Bê -e-Sê-ba, Bi-sốt-gia,
Baalah, and Iim, and Ezem;|Ba-la, Y-dim, Ê-xem,
And Eltolad, and Chesil, and Hormah;|Ê-thô-lát, Kê-sinh, Họt-ma,
And Ziklag, and Madmannah, and Sansannah;|Xiếc-lát, Mát-ma-na, San-sa-na,
And Lebaoth, and Shilhim, and Ain, and Rimmon; all the towns are twenty-nine, with their unwalled places.|Lê-ba-ốt, Si-lim, S-in, và Rim-môn: hết thảy là hai mươi chín thành với các làng của nó.
In the lowland, Eshtaol, and Zorah, and Ashnah;|Trong đồng bằng là: Et-tha-ôn, Xô-rê -a. At-na
And Zanoah, and En-gannim, Tappuah, and Enam;|Xa-nô-ách, En-ga-nim, Tháp-bu-ách, Ê-nam,
Jarmuth, and Adullam, Socoh, and Azekah;|Giạt-mút, A-đu-lam, Sô-cô, A-xê-ca
And Shaaraim, and Adithaim, and Gederah, and Gederothaim; fourteen towns with their unwalled places.|Sa -a-ra-im, A-đi-tha-im, Ghê-đê-ra, và Ghê-đê-rô-tha-im: hết thảy là mười bốn thành với các làng của nó.
Zenan, and Hadashah, and Migdal-gad;|Lại có Xê-nan, Ha-đa-sa, Mích-đanh-Gát,
And Dilan, and Mizpeh, and Joktheel;|Đi-lan, Mít-bê, Giốc-thê-ên,
Lachish, and Bozkath, and Eglon;|La-ki, Bốt-cát, Ec-lôn,
And Cabbon, and Lahmas, and Chithlish;|Cáp-bôn, Lách-ma, Kít-lít,
And Gederoth, Beth-dagon, and Naamah, and Makkedah; sixteen towns with their unwalled places.|Ghê-đê-rốt, Bết-Đa-gôn, Na -a-ma, và Ma-kê-đa: hết thảy là mười sáu thành với các làng của nó;
Libnah, and Ether, and Ashan;|Líp-na, Ê-the, A-san,
And Iphtah, and Ashnah, and Nezib;|Díp-tách, At-na, Nết-síp,
And Keilah, and Achzib, and Mareshah; nine towns with their unwalled places.|Kê -i-la, Ac-xíp, và Ma-rê-sa: hết thảy là chín thành với các làng của nó;
Ekron, with her daughter-towns and her unwalled places;|Ec-rôn, với các thành địa hạt và làng của nó;
From Ekron to the sea, all the towns by the side of Ashdod, with their unwalled places.|các thành ở gần Ach-đốt cùng các làng của nó, từ Ec-rôn về hướng tây;
Ashdod, with her daughter-towns and her unwalled places; Gaza, with her daughter-towns and her unwalled places, to the stream of Egypt, with the Great Sea as a limit.|Ach-đốt, các thành địa hạt, cùng các làng của nó; Ga-xa, các thành địa hạt, cùng các làng của nó, cho đến khe Ê-díp-tô, và biển lớn dùng làm giới hạn.
And in the hill-country, Shamir, and Jattir, and Socoh;|Trong miền núi là: Sa-mia, Giạt-thia, Sô-cô,
And Dannah, and Kiriath-sannah (which is Debir);|Đa-na, Ki-ri-át-Sa-na, tức là Đê-bia,
And Anab, and Eshtemoh, and Anim;|A-náp, Et-thê-mô, A-nim,
And Goshen, and Holon, and Giloh; eleven towns with their unwalled places.|Gô-sen, Hô-lôn, Ghi-lô: hết thảy mười một thành cùng các làng của nó;
Arab, and Dumah, and Eshan;|A-ráp, Ru-ma, Ê-sê-an,
And Janim, and Beth-tappuah, and Aphekah;|Gia-num, Bết-Tháp-bu-ách, A-phê-ca,
And Humtah, and Kiriath-arba (which is Hebron), and Zior; nine towns with their unwalled places.|Hum-ta, Ki-ri-át -A-ra-ba, tức là Hếp-rôn và Si-ô: hết thảy chín thành với các làng của nó;
Maon, Carmel, and Ziph, and Jutah;|Ma-ôn, Cạt-mên, Xíp, Giu-ta,
And Jezreel, and Jokdeam, and Zanoah;|Gít-rê-ên, Giốc-đê-am, Xa-nô-ách;
Kain, Gibeah, and Timnah; ten towns with their unwalled places.|Ca-in, Ghi-bê -a, và Thim-na: hết thảy mười thành với các làng của nó;
Halhul, Beth-zur, and Gedor;|Hanh-hun, Bết-Xu-rơ, Ghê-đô,
And Maarath, and Beth-anoth, and Eltekon; six towns with their unwalled places.|Ma -a-rát, Bết -A-nốt và En-thê-côn: hết thảy sáu thành với cáng làng của nó;
Kiriath-baal (which is Kiriath-jearim), and Rabbah; two towns with their unwalled places.|Ki-ri-át-Ba-anh, tức là Ki-ri-át-Giê -a-rim, và Ráp-ba: hết thảy hai thành với các làng của nó;
In the waste land, Beth-arabah, Middin, and Secacah;|trong đồng vắng có Bết -A-ra-ba, Mi-đin, Sê-ca-ca;
And Nibshan, and the Town of Salt, and En-gedi; six towns with their unwalled places.|Níp-san, Yết-Ha-mê-lách, và En-ghê-đi: hết thảy sáu thành với các làng của nó.
And as for the Jebusites living in Jerusalem, the children of Judah were unable to make them go out; but the Jebusites are living with the children of Judah at Jerusalem, to this day.|Vả, người Giu-đa không đuổi được dân Giê-bu-sít ở tại Giê-ru-sa-lem; nên dân Giê-bu-sít còn ở chung cùng người Giu-đa tại Giê-ru-sa-lem cho đến ngày nay.

					Joshua 16				|
						Giô-sua 16					
And the limit of the land marked out for the children of Joseph went out from Jordan at Jericho, at the waters of Jericho on the east, in the waste land, going up from Jericho through the hill-country to Beth-el;|Phần đất bắt thăm trúng về con cháu Giô-sép trải từ sông Giô-đanh về Giê-ri-cô, từ các suối của Giê-ri-cô về hướng đông, chạy dọc theo đồng vắng từ thành Giê-ri-cô lên đến núi Bê-tên.
And it goes out from Beth-el to Luz, and on as far as the limit of the Archites to Ataroth;|Giới hạn băng từ Bê-tên đến Lu-xơ, đi qua bờ cõi dân A-ê-kít tại A-ta-sốt;
And it goes down to the west to the limit of the Japhletites, to the limit of Beth-horon the lower, as far as Gezer; ending at the sea.|kế chạy xuống hướng tây về phía bờ cõi dân Giáp-lê-tít, cho đến bờ cõi Bết-Hô-rôn dưới và Ghê-xe, rồi giáp biển.
And the children of Joseph, Manasseh and Ephraim, took their heritage.|Ay là tại đó mà con cháu của Giô-sép, Ma-na-se và Ep-ra-im, lãnh phần sản nghiệp mình.
And the limit of the land of the children of Ephraim by their families was marked out in this way: the limit of their heritage to the east was Ataroth-addar, to Beth-horon the higher;|Này là giới hạn của Ep-ra-im, tùy theo những họ hàng của chúng. Giới hạn của sản nghiệp họ ở về phía đông, từ A-tê-rốt -A-đa cho đến Bết-Hô-rôn trên,
The line goes out to the west at Michmethath on the north; then turning to the east to Taanath-shiloh, going past it on the east of Janoah;|thẳng qua tây tại hướng bắc của Mít-mê-thát; rồi vòng qua đông về lối Tha -a-nát-Si-lô, và qua khỏi đó đến Gia-nô-ách theo phía đông;
And from Janoah down to Ataroth, and to Naarah, and touching Jericho, it goes on to Jordan.|kế chạy từ Gia-nô-ách xuống A-ta-rốt và Na-ra-tha, đụng Giê-ri-cô, rồi giáp sông Giô-đanh.
From Tappuah the line goes on to the west to the river of Kanah; ending at the sea. This is the heritage of the children of Ephraim by their families;|Từ Tháp-bu-ách giới hạn đi vế hướng tây đến khe Ca-na, rồi giáp biển. Đó là sản nghiệp của chi phái Ep-ra-im, tùy theo những họ hàng của chúng.
Together with the towns marked out for the children of Ephraim in the heritage of Manasseh, all the towns with their unwalled places.|Người Ep-ra-im cũng có những thành và làng riêng ra giữa sản nghiệp của người Ma-na-se.
And the Canaanites who were living in Gezer were not forced out; but the Canaanites have been living among Ephraim, to this day, as servants, doing forced work.|Song họ không đuổi được dân Ca-na-an ở tại Ghê-xe; nên dân Ca-na-an ở giữa Ep-ra-im cho đến ngày nay, nhưng phải nộp thuế. Phần của Ma-na-se, Giô-suê chia cho con cháu Giô-sép địa phận sẽ đánh lấy.

					Joshua 17				|
						Giô-sua 17					
And this was the part marked out for the tribe of Manasseh, because he was the oldest son of Joseph. As for Machir, the oldest son of Manasseh, the father of Gilead, because he was a man of war he had Gilead and Bashan.|Người ta cũng bắt thăm cho chi phái Ma-na-se, vì người là con đầu lòng của Giô-sép. Con Ma-ki, con đầu lòng của Ma-na-se, và cha của Ga-la-át, bởi người là chiến sĩ, nên có được xứ Ga-la-át và Ba-san.
And as for the rest of the children of Manasseh, their heritage was given to them by families; for the children of Abiezer, and for the children of Helek, and for the children of Asriel, and for the children of Shechem, and for the children of Hepher, and for the children of Shemida: these were the male children of Manasseh, the son of Joseph, by their families.|Người ta bắt thăm cho các con khác của Ma-na-se, tùy theo những họ hàng của chúng: về con cháu A-bi-ê-se, về con cháu Hê-léc, về con cháu At-ri-ên, về con cháu Si-chem, về con cháu Hê-phe, về con cháu Sê-mi-đa. Đó là các con trai của Ma-na-se, cháu Giô-sép, tùy theo những họ hàng của chúng.
But Zelophehad, the son of Hepher, the son of Gilead, the son of Machir, the son of Manasseh, had no sons, but only daughters; and these are the names of his daughters: Mahlah, and Noah, Hoglah, Milcah, and Tirzah.|Vả, Xê-lô-phát, con trai của Hê-phe, cháu của Ga-la-át, chắt của Ma-ki, chít của Ma-na-se, không có con trai, chỉ có con gái, tên là Mách-la, Nô -a, Hốt-la, Minh-ca, và Thiệt-sa.
And they came before Eleazar the priest, and Joshua, the son of Nun, and before the chiefs, saying, The Lord gave orders to Moses to give us a heritage among our brothers: so in agreement with the orders of the Lord he gave them a heritage among their father's brothers.|Các con gái này đến trước mặt thầy tế lễ Ê-lê -a-sa, trước mặt Giô-suê, con trai Nun, và trước mặt các quan trưởng, mà nói rằng: Đức Giê-hô-va đã phán cùng Môi-se ban cho chúng tôi một phần sản nghiệp trong anh em chúng tôi. Giô-suê vâng mạng của Đức Giê-hô-va, bèn ban cho một phần sản nghiệp trong anh em của cha các con gái đó.
And ten parts were given to Manasseh, in addition to the land of Gilead and Bashan, which is on the other side of Jordan;|Vậy, mười phần bắt thăm trúng cho Ma-na-se, trừ ra xứ Ga-la-át và Ba-san ở bên kia sông Giô-đanh;
Because the daughters of Manasseh had a heritage among his sons, and the land of Gilead was the property of the other sons of Manasseh.|vì các con gái Ma-na-se có một phần sản nghiệp tại giữa các con trai người, còn xứ Ga-la-át thuộc về các con trai khác của Ma-na-se.
And the limit of Manasseh's land was from Asher to Michmethath, which is before Shechem; the line goes on to the right hand, to the people of En-tappuah.|Giới hạn của Ma-na-se từ A-se đến Mít-mê-thát đối ngang Si-chem, rồi chạy đến Gia-min về lối dân En-Tháp-bu-ách.
The land of Tappuah was the property of Manasseh; but Tappuah on the edge of Manasseh was the property of the children of Ephraim.|Xứ Tháp-bu-ách thuộc về Ma-na-se; nhưng thành Tháo-bu-ách gần bờ cõi Ma-na-se, thì thuộc về người Ep-ra-im.
And the limit goes down to the stream Kanah, to the south of the stream: these towns were Ephraim's among the towns of Manasseh; Manasseh's limit was on the north side of the stream, ending at the sea:|Từ đó giới hạn chạy xuống phía nam khe Ca-na; các thành đó ở giữa các thành Ma-na-se, đều thuộc về Ep-ra-im. Giới hạn Ma-na-se ở về phía bắc của khe, và giáp biển.
To the south it is Ephraim's, and to the north it is Manasseh's, and the sea is his limit; and they are touching Asher on the north, and Issachar on the east.|Phần ở hướng nam thuộc về Ep-ra-im, phần ở hướng bắc thuộc về Ma-na-se, còn biển dùng làm giới hạn; hai phần này giáp A-se về phía bắc, và Y-sa-ca về phía đông.
