
					Proverbs 1				|
The grey head is a crown of glory, if it is seen in the way of righteousness.|Tóc bạc là mão triều thiên vinh hiển, Miễn là thấy ở trong đường công bình.
He who is slow to be angry is better than a man of war, and he who has control over his spirit than he who takes a town.|Người chậm nóng giận thắng hơn người dõng sĩ; Và ai cai trị lòng mình thắng hơn kẻ chiếm lấy thành.
A thing may be put to the decision of chance, but it comes about through the Lord.|Người ta bẻ thăm trong vạt áo; Song sự nhứt định do nơi Đức Giê-hô-va mà đến.

					Proverbs 17				|
						Châm Ngôn 17					
Better a bit of dry bread in peace, than a house full of feasting and violent behaviour.|Thà một miếng bánh khô mà hòa thuận, Còn hơn là nhà đầy thịt tế lễ lại cãi lộn nhau.
A servant who does wisely will have rule over a son causing shame, and will have his part in the heritage among brothers.|Tôi tớ khôn sáng sẽ quản trị con trai làm xấu hổ, Và được hưởng phần cơ nghiệp giữa các anh em.
The heating-pot is for silver and the oven-fire for gold, but the Lord is the tester of hearts.|Nồi dót để luyện bạc, lò để luyện vàng; Nhưng Đức Giê-hô-va thử lòng của loài người.
A wrongdoer gives attention to evil lips, and a man of deceit gives ear to a damaging tongue.|Kẻ làm ác chăm chỉ về môi gian ác; Kẻ hay nói dối lắng tai nghe lưỡi độc hiểm.
Whoever makes sport of the poor puts shame on his Maker; and he who is glad because of trouble will not go free from punishment.|Ai nhạo báng người bần cùng sỉ nhục Đấng tạo hóa mình; Ai vui mừng về tai họa sẽ chẳng được thoát khỏi bị phạt.
Children's children are the crown of old men, and the glory of children is their fathers.|Mão triều thiên của ông già, ấy là con cháu; Còn vinh hiển của con cái, ấy là ông cha.
Fair words are not to be looked for from a foolish man, much less are false lips in a ruler.|Lời tốt lành không xứng với kẻ ngu; Môi miệng giả dối lại càng ít xứng cho vua chúa thay.
An offering of money is like a stone of great price in the eyes of him who has it: wherever he goes, he does well.|Của hối lộ giống như viên ngọc quí trước mặt ai được nó; Dầu nó xây trở phía nào, cũng được may mắn.
He who keeps a sin covered is looking for love; but he who keeps on talking of a thing makes division between friends.|Kẻ nào lấp giấu tội lỗi tìm cầu điều tình ái; Còn ai nhắc lập lại điều gì chia rẽ bạn bậu thiết cốt.
A word of protest goes deeper into one who has sense than a hundred blows into a foolish man.|Lời quở trách thấm sâu vào người khôn ngoan, Hơn là trăm roi đánh vào kẻ ngu muội.
An uncontrolled man is only looking for trouble, so a cruel servant will be sent against him.|Kẻ gian ác chỉ tìm điều phản nghịch; Vì vậy sẽ sai một sứ giả dữ tợn đi hãm đánh nó.
It is better to come face to face with a bear whose young ones have been taken away than with a foolish man acting foolishly.|Thà người ta gặp gấu cái bị cướp con, Hơn là gặp kẻ ngây dại theo điên cuồng nó.
If anyone gives back evil for good, evil will never go away from his house.|Tai họa không hề lìa khỏi nhà Của kẻ lấy ác trả thiện.
The start of fighting is like the letting out of water: so give up before it comes to blows.|Khởi đầu tranh cạnh, ấy như người ta mở đường nước chảy; Vậy, khá thôi cãi lẫy trước khi đánh lộn.
He who gives a decision for the evil-doer and he who gives a decision against the upright, are equally disgusting to the Lord.|Ai xưng kẻ ác là công bình, và kẻ nào lên án cho người công bình, Cả hai điều lấy làm gớm ghiếc cho Đức Giê-hô-va.
How will money in the hand of the foolish get him wisdom, seeing that he has no sense?|Kẻ ngu muội thiếu trí hiểu, Thế thì bạc trong tay hắn mua khôn ngoan mà chi?
A friend is loving at all times, and becomes a brother in times of trouble.|Bằng hữu thương mến nhau luôn luôn; Và anh em sanh ra để giúp đỡ trong lúc hoạn nạn.
A man without sense gives his hand in an agreement, and makes himself responsible before his neighbour.|Kẻ ngu muội giao tay, Chịu làm bảo lãnh trước mặt kẻ lân cận mình.
The lover of fighting is a lover of sin: he who makes high his doorway is looking for destruction.|Ai ưa tranh cạnh ưa tội lỗi; Ai xây cất cửa mình cao kiếm điều hư sập.
Nothing good comes to him whose heart is fixed on evil purposes: and he who has an evil tongue will come to trouble.|Kẻ nào có lòng vày vò không tìm được phước hạnh; Và ai có lưỡi gian tà sẽ sa vào tai hại.
He who has an unwise son gets sorrow for himself, and the father of a foolish son has no joy.|Ai sanh con ngu muội ắt sẽ có buồn rầu; Còn cha của kẻ ngây dại chẳng được vui vẻ.
A glad heart makes a healthy body, but a crushed spirit makes the bones dry.|Lòng vui mừng vốn một phương thuốc hay; Còn trí nao sờn làm xương cốt khô héo.
A sinner takes an offering out of his robe, to get a decision for himself in a cause.|Người gian ác lãnh nhẹm của hối lộ, Đặng làm sai lệch các lối xét đoán.
Wisdom is before the face of him who has sense; but the eyes of the foolish are on the ends of the earth.|Có sự khôn ngoan trước mặt người thông sáng; Song con mắt kẻ ngu muội ở nơi địa cực.
A foolish son is a grief to his father, and bitter pain to her who gave him birth.|Con ngu muội là một điều buồn rầu cho cha, Và một sự cay đắng cho mẹ đã sanh đẻ nó.
To give punishment to the upright is not good, or to give blows to the noble for their righteousness.|Lấy làm chẳng tốt mà phạt vạ người công bình, Hay là đánh người tước vị vì cớ lòng ngay thẳng của họ.
He who has knowledge says little: and he who has a calm spirit is a man of good sense.|Người nào kiêng lời nói mình có tri thức; Còn người có tánh ôn hàn là một người thông sáng.
Even the foolish man, when he keeps quiet, is taken to be wise: when his lips are shut he is credited with good sense.|Khi nín lặng, dầu người ngu dại, cũng được cầm bằng khôn ngoan; Còn kẻ nào ngậm môi miệng mình lại được kẻ là thông sáng.

					Proverbs 18				|
						Châm Ngôn 18					
He who keeps himself separate for his private purpose goes against all good sense.|Kẻ nào ở riêng cách tìm điều chính mình ưa thích; Nó cãi cọ với những sự khôn ngoan thật.
A foolish man has no pleasure in good sense, but only to let what is in his heart come to light.|Kẻ ngu muội không ưa thích sự thông sáng; Nhưng chỉ muốn lòng nó được bày tỏ ra.
When the evil-doer comes, a low opinion comes with him, and with the loss of honour comes shame.|Khi kẻ gian ác đến sự khinh bỉ cũng đến nữa; Và sự sỉ nhục đến với điều nhuốc nha.
The words of a man's mouth are like deep waters: the fountain of wisdom is like a flowing stream.|Lời nói của miệng loài người là giống như nước sâu; Nguồn sự khôn ngoan khác nào cái khe nước chảy.
To have respect for the person of the evil-doer is not good, or to give a wrong decision against the upright.|Lấy làm chẳng tốt mà nể vì kẻ ác, Đặng lường gạt người công bình trong việc xét đoán.
A foolish man's lips are a cause of fighting, and his mouth makes him open to blows.|Môi kẻ ngu muội vào cuộc tranh cạnh, Và miệng nó chiều sự đánh đập.
The mouth of a foolish man is his destruction, and his lips are a net for his soul.|Miệng kẻ ngu muội là sự bại hoại của nó; Môi nó vốn một cai bẫy gài linh hồn của nó.
The words of one who says evil of his neighbour secretly are like sweet food, and go down into the inner parts of the stomach.|Lời kẻ thèo lẻo như vật thực ngon, Và nó thấu đến ruột gan.
He who does not give his mind to his work is brother to him who makes destruction.|Kẻ thả trôi trong công việc mình, Cũng là anh em của kẻ phá hại.
The name of the Lord is a strong tower: the upright man running into it is safe.|Danh Đức Giê-hô-va vốn một ngọn tháp kiên cố; Kẻ công bình chạy đến đó, gặp được nơi ẩn trú cao.
The property of a man of wealth is his strong town, and it is as a high wall in the thoughts of his heart.|Tài vật người giàu, ấy là cái thành kiên cố của người, Trong ý tưởng người cho nó như một bức tường cao.
Before destruction the heart of man is full of pride, and before honour goes a gentle spirit.|Trước khi sự bại hoại, lòng người vẫn tự cao; Song sự khiêm nhượng đi trước sự tôn trọng.
To give an answer before hearing is a foolish thing and a cause of shame.|Trả lời trước khi nghe, Ay là sự điên dại và hổ thẹn cho ai làm vậy.
The spirit of a man will be his support when he is ill; but how may a broken spirit be lifted up?|Tâm thần người nâng đỡ sự bịnh hoạn mình; Nhưng trí bị nao sờn ai chịu sao nổi?
The heart of the man of good sense gets knowledge; the ear of the wise is searching for knowledge.|Lòng người khôn khéo được sự tri thức; Và tai người khôn ngoan tìm kiếm sự hiểu biết.
A man's offering makes room for him, letting him come before great men.|Của lễ của người nào dẹp đường cho người, Và dẫn người đến trước mặt kẻ sang trọng.
The man who first puts his cause before the judge seems to be in the right; but then his neighbour comes and puts his cause in its true light.|Người tiên cáo nghe như phải lẽ; Song bên đàng kia đến, bèn tra xét người.
The decision of chance puts an end to argument, parting the strong.|Sự bắt thăm dẹp điều tranh tụng, Và phân rẽ những kẻ có quyền thế.
A brother wounded is like a strong town, and violent acts are like a locked tower.|Một anh em bị mếch lòng lấy làm khó được lòng lại hơn là chiếm thủ cái thành kiên cố; Sự tranh giành dường ấy khác nào những chốt cửa đền.
With the fruit of a man's mouth his stomach will be full; the produce of his lips will be his in full measure.|Bụng người sẽ được no nê bông trái của miệng mình; Huê lợi môi miệng mình sẽ làm cho người no đủ.
Death and life are in the power of the tongue; and those to whom it is dear will have its fruit for their food.|Sống chết ở nơi quyền của lưỡi; Kẻ ái mộ nó sẽ ăn bông trái của nó.
Whoever gets a wife gets a good thing, and has the approval of the Lord.|Ai tìm được một người vợ, tức tìm được một điều phước. Và hưởng được ân điển của Đức Giê-hô-va.
The poor man makes requests for grace, but the man of wealth gives a rough answer.|Người nghèo dùng lời cầu xin; Còn kẻ giàu đáp lại cách xẳng xớm.
There are friends who may be a man's destruction, but there is a lover who keeps nearer than a brother.|Người nào được nhiều bằng hữu sẽ làm hại cho mình; Nhưng có một bạn tríu mến hơn anh em ruột.

					Proverbs 19				|
						Châm Ngôn 19					
Better is the poor man whose ways are upright, than the man of wealth whose ways are twisted.|Thà người nghèo khổ ăn ở thanh liêm, Còn hơn là kẻ môi miệng gian tà và là một kẻ ngây dại.
Further, without knowledge desire is not good; and he who is over-quick in acting goes out of the right way.|Lòng thiếu tri thức ấy chẳng phải một điều hay; Vả kẻ nào vội bước bị vấp phạm.
By his foolish behaviour a man's ways are turned upside down, and his heart is bitter against the Lord.|Sự ngu dại của người nào làm cho hư hỏng đường lối mình, Và lòng người oán Đức Giê-hô-va.
Wealth makes a great number of friends; but the poor man is parted from his friend.|Sự giàu có kết nhiều bậu bạn; Còn kẻ khó khăn dầu bạn cũng lìa bỏ.
A false witness will not go without punishment, and the breather out of deceit will not go free.|Chứng gian nào chẳng bị phạt; Và kẻ buông điều giả dối không sao thoát khỏi.
Great numbers will make attempts to get the approval of a ruler: and every man is the special friend of him who has something to give.|Có nhiều kẻ tìm ơn người rộng rãi; Và mỗi người đều là bằng hữu của kẻ hay ban lễ vật.
All the brothers of the poor man are against him: how much more do his friends go far from him! ...|Hết thảy anh em ruột của kẻ nghèo đều ghét người; Phương chi bậu bạn sẽ lìa xa khỏi người! Người lấy lời đuổi theo chúng, chúng chẳng còn đó nữa!
He who gets wisdom has love for his soul: he who keeps good sense will get what is truly good.|Ai có được sự khôn ngoan thương mến linh hồn mình; Còn ai giữ lấy sự thông sáng tìm được phước hạnh.
A false witness will not go without punishment, and the breather out of deceit will be cut off.|Chứng gian sẽ chẳng thoát khỏi bị phạt; Và kẻ buông lời giả dối sẽ bị hư mất.
Material comfort is not good for the foolish; much less for a servant to be put over rulers.|An ở sung sướng chẳng xứng hiệp cho kẻ ngu muội; Phương chi kẻ tôi mọi cai trị các hoàng tử!
A man's good sense makes him slow to wrath, and the overlooking of wrongdoing is his glory.|Sự khôn ngoan của người khiến cho người chậm nóng giận; Và người lấy làm danh dự mà bỏ qua tội phạm.
The king's wrath is like the loud cry of a lion, but his approval is like dew on the grass.|Vua thạnh nộ khác nào sư tử gầm thét; Còn ân dịch người như sương móc xuống trên đồng cỏ.
A foolish son is the destruction of his father; and the bitter arguments of a wife are like drops of rain falling without end.|Con trai ngu muội là tai họa cho cha nó; Và sự tranh cãi của người vợ vốn một máng xối hằng chảy luôn.
House and wealth are a heritage from fathers, but a wife with good sense is from the Lord.|Nhà cửa và tài sản là cơ nghiệp của tổ phụ để lại; Còn một người vợ khôn ngoan do nơi Đức Giê-hô-va mà đến.
Hate of work sends deep sleep on a man: and he who has no industry will go without food.|Sự biếng nhác làm cho ngủ mê; Và linh hồn trễ nải sẽ bị đói khát.
He who keeps the law keeps his soul; but death will be the fate of him who takes no note of the word.|Ai gìn giữ điều răn, gìn giữ lấy linh hồn mình; Nhưng kẻ nào không coi chừng đường lối mình sẽ thác.
He who has pity on the poor gives to the Lord, and the Lord will give him his reward.|Ai thương xót kẻ nghèo, tức cho Đức Giê-hô-va vay mượn; Ngài sẽ báo lại việc ơn lành ấy cho người.
Give your son training while there is hope; let not your heart be purposing his death.|Hãy sửa phạt con ngươi trong lúc còn sự trông cậy; Nhưng chớ toan lòng giết nó.
A man of great wrath will have to take his punishment: for if you get him out of trouble you will have to do it again.|Người hay nóng giận dữ tợn, sẽ phải mang hình; Vì nếu con giải cứu hắn, ắt phải giải cứu lại nữa.
Let your ear be open to suggestion and take teaching, so that at the end you may be wise.|Hay nghe lời khuyên dạy, và tiếp nhận sự giáo hối, Để con được khôn ngoan trong lúc cuối cùng.
A man's heart may be full of designs, but the purpose of the Lord is unchanging.|Trong lòng loài người có nhiều mưu kế; Song ý chỉ của Đức Giê-hô-va sẽ thành được.
The ornament of a man is his mercy, and a poor man is better than one who is false.|Lòng nhơn từ của người làm cho người ta yêu chuộng mình; Và người nghèo khổ là hơn kẻ nói dối.
The fear of the Lord gives life: and he who has it will have need of nothing; no evil will come his way.|Sự kính sợ Đức Giê-hô-va dẫn đến sự sống, Làm cho người ta được ở thỏa nguyện, không bị tai họa lâm đến.
The hater of work puts his hand deep into the basin, and will not even take it to his mouth again.|Kẻ biếng nhác thò tay mình trong dĩa, Rồi không thèm đem nó lên miệng mình nữa.
When blows overtake the man of pride, the simple will get sense; say sharp words to the wise, and knowledge will be made clear to him.|Hãy đánh kẻ nhạo báng, thì người ngu dại sẽ trở nên khôn khéo; Khá sửa dạy người thông sáng, ắt người sẽ hiểu điều tri thức.
He who is violent to his father, driving away his mother, is a son causing shame and a bad name.|Kẻ hãm hại cha mình, và xô đuổi mẹ mình, Là một con trai gây hổ ngươi và chiêu sỉ nhục.
A son who no longer gives attention to teaching is turned away from the words of knowledge.|Hỡi con, hãy thôi nghe sự khuyên dạy Khiến cho con lầm lạc cách xa các lời tri thức.
A good-for-nothing witness makes sport of the judge's decision: and the mouth of evil-doers sends out evil like a stream.|Chứng gian tà nhạo báng sự công bình; Và miệng kẻ dữ nuốt tội ác.
Rods are being made ready for the man of pride, and blows for the back of the foolish.|Sự xét đoán dự bị cho kẻ nhạo báng; Và roi vọt sắm sửa cho lưng kẻ ngu muội.

					Proverbs 20				|
						Châm Ngôn 20					
Wine makes men foolish, and strong drink makes men come to blows; and whoever comes into error through these is not wise.|Rượu khiến người ta nhạo báng, đồ uống say làm cho hỗn láo; Phàm ai dùng nó quá độ, chẳng phải là khôn ngoan.
The wrath of a king is like the loud cry of a lion: he who makes him angry does wrong against himself.|Sự oai khiếp của vua giống như sư tử gầm hét; Ai chọc giận người ắt phạm đến mạng sống mình.
It is an honour for a man to keep from fighting, but the foolish are ever at war.|Người nào giữ mình khỏi tranh cạnh, ấy là sự tôn vinh của người; Chỉ kẻ điên cuồng sa vào đó mà thôi.
The hater of work will not do his ploughing because of the winter; so at the time of grain-cutting he will be requesting food and will get nothing.|Vì có mùa đông kẻ biếng nhác chẳng cày ruộng; Qua mùa gặt nó sẽ xin ăn, nhưng chẳng được gì hết.
The purpose in the heart of a man is like deep water, but a man of good sense will get it out.|Mưu kế trong lòng người ta như nước sâu; Người thông sáng sẽ múc lấy tại đó.
Most men make no secret of their kind acts: but where is a man of good faith to be seen?|Phần nhiều người khoe khoang sự nhơn từ mình; Nhưng ai sẽ tìm được một người trung thành?
An upright man goes on in his righteousness: happy are his children after him!|Người công bình ăn ở cách thanh liêm; Những con cháu người lấy làm có phước thay!
A king on the seat of judging puts to flight all evil with his eyes.|Vua ngồi trên ngôi xét đoán, Lấy mặt mình đánh tan các điều ác.
Who is able to say, I have made my heart clean, I am free from my sin?|Ai có thể nói: Ta đã luyện sạch lòng mình, Ta đã trong sạch tội ta rồi?
Unequal weights and unequal measures, they are all disgusting to the Lord.|Hai thứ trái cân, và hai thứ lường, Cả hai đều gớm ghiếc cho Đức Giê-hô-va.
Even a child may be judged by his doings, if his work is free from sin and if it is right.|Công việc con trẻ làm, hoặc trong sạch hoặc chánh đáng, Cũng đều tỏ bổn tánh nó ra.
The hearing ear and the seeing eye are equally the Lord's work.|Tai để nghe, mắt để thấy, Đức Giê-hô-va đã làm ra cả hai.
Do not be a lover of sleep, or you will become poor: keep your eyes open, and you will have bread enough.|Chớ ưa ngủ, e cho người trở nên nghèo khổ chăng; Hãy mở mắt ra, thì sẽ được no nê bánh.
A poor thing, a poor thing, says he who is giving money for goods: but when he has gone on his way, then he makes clear his pride in what he has got.|Kẻ mua nói rằng: Không tốt, không tốt! Đoạn đi, và tự khoe khoang mình.
There is gold and a store of corals: but the lips of knowledge are a jewel of great price.|Có vàng và nhiều châu ngọc; Song miệng có tri thức là bửu vật quí giá.
Take a man's clothing if he makes himself responsible for a strange man, and get an undertaking from him who gives his word for strange men.|Hãy cầm lấy áo hắn, vì hắn có bảo lãnh cho người khác; Hãy buộc họ một của cầm, bởi họ đáp thế cho người đờn bà lạ.
Bread of deceit is sweet to a man; but after, his mouth will be full of sand.|Bánh nhờ dối gạt mà được lấy làm ngon ngọt cho người; Nhưng kế sau miệng người đầy sạn.
Every purpose is put into effect by wise help: and by wise guiding make war.|Nhờ bàn luận, các mưu kế được định vững vàng; Hãy đánh giặc cách khôn khéo.
He who goes about talking of the business of others gives away secrets: so have nothing to do with him whose lips are open wide.|Kẻ nào đi thèo lẻo bầy tỏ điều kín đáo; Vậy, chớ giao thông với kẻ hay hở môi quá.
If anyone puts a curse on his father or his mother, his light will be put out in the blackest night.|Ngọn đèn của kẻ rủa cha mẹ mình Sẽ tắt giữa vùng tăm tối mờ mịt.
A heritage may be got quickly at first, but the end of it will not be a blessing.|Sản nghiệp mình được vội vã lúc ban đầu, Và cuối cùng sẽ chẳng đặng phước.
Do not say, I will give punishment for evil: go on waiting for the Lord, and he will be your saviour.|Chớ nói: Ta sẽ trả ác. Hãy chờ đợi Đức Giê-hô-va, Ngài sẽ cứu rỗi con.
Unequal weights are disgusting to the Lord, and false scales are not good.|Trái cân hai thứ lấy làm gớm ghiếc cho Đức Giê-hô-va; Và cây cân giả nào phải vật tốt lành.
A man's steps are of the Lord; how then may a man have knowledge of his way?|Các bước của loài người do nơi Đức Giê-hô-va nhứt định; Vậy, loài người hiểu đường lối mình sao được?
It is a danger to a man to say without thought, It is holy, and, after taking his oaths, to be questioning if it is necessary to keep them.|Nói cách hớp tớp rằng: Vậy nầy là vật thánh! Và sau khi đã khấn nguyện rồi mới suy xét đến, ấy quả một cái bẫy cho người ta.
A wise king puts evil-doers to flight, and makes their evil-doing come back on them.|Vua khôn ngoan làm tan kẻ ác, Và khiến bánh xe lăn cán chúng nó.
The Lord keeps watch over the spirit of man, searching all the deepest parts of the body.|Linh tánh loài người vốn một ngọn đèn của Đức Giê-hô-va, Dò thấu các nơi ẩn bí của lòng.
Mercy and good faith keep the king safe, and the seat of his power is based on upright acts.|Sự nhân từ và chơn thật bảo hộ vua; Người lấy lòng nhân từ mà nâng đỡ ngôi nước mình.
The glory of young men is their strength, and the honour of old men is their grey hairs.|Sức lực của gã trai trẻ là vinh hiển của người; Còn tóc bạc là sự tôn trọng của ông già.
By the wounds of the rod evil is taken away, and blows make clean the deepest parts of the body.|Những thương tích và dấu vít làm cho sạch điều ác, Và roi vọt thấm vào nơi kín đáo của lòng.

					Proverbs 21				|
						Châm Ngôn 21					
The king's heart in the hands of the Lord is like the water streams, and by him it is turned in any direction at his pleasure.|Lòng của vua ở trong tay Đức Giê-hô-va khác nào dòng nước chảy; Ngài làm nghiêng lệch nó bề nào tùy ý Ngài muốn.
Every way of a man seems right to himself, but the Lord is the tester of hearts.|Các đường lối của loài người đều chánh đáng theo mắt họ; Song Đức Giê-hô-va cân nhắc cái lòng.
To do what is right and true is more pleasing to the Lord than an offering.|Làm theo sự công bình và ngay thẳng Được đẹp lòng Đức Giê-hô-va hơn của tế lễ.
A high look and a heart of pride, *** of the evil-doer is sin.|Mặt tự cao, lòng kiêu ngạo, Và ngọn đèn của kẻ ác, đều là tội lỗi.
The purposes of the man of industry have their outcome only in wealth; but one who is over-quick in acting will only come to be in need.|Các ý tưởng của người cần mẫn dẫn đến sự dư dật; Còn những kẻ khờ dại chỉ chạy đến điều thiếu thốn.
He who gets stores of wealth by a false tongue, is going after what is only breath, and searching for death.|Tài vật nhờ dùng lưỡi dối gạt mà được, Ay là một điều hư không mau hết của kẻ tìm sự chết.
By their violent acts the evil-doers will be pulled away, because they have no desire to do what is right.|Sự cường bạo của kẻ ác sẽ đùa chúng nó đi; Vì chúng nó không khứng làm điều ngay thẳng.
Twisted is the way of him who is full of crime; but as for him whose heart is clean, his work is upright.|Con đường của kẻ gánh tội là quanh quẹo; Còn công việc kẻ trong sạch vốn ngay thẳng.
It is better to be living in an angle of the house-top, than with a bitter-tongued woman in a wide house.|Thà ở nơi xó nóc nhà, Hơn là ở chung nhà với một người đờn bà hay tranh cạnh.
The desire of the evil-doer is fixed on evil: he has no kind feeling for his neighbour.|Lòng kẻ dữ ao ước điều ác; Kẻ lân cận nó không được ơn trước mặt nó.
When the man of pride undergoes punishment, the simple man gets wisdom; and by watching the wise he gets knowledge.|Khi kẻ nhạo báng bị phạt, người ngu dại bèn trở nên khôn ngoan; Khi khuyên dạy người khôn ngoan, người nhận lãnh sự tri thức.
The Upright One, looking on the house of the evil-doer, lets sinners be overturned to their destruction.|Có một Đấng công bình xem xét kỹ càng nhà kẻ ác; Đấng ấy xô những kẻ ác vào tai họa.
He whose ears are stopped at the cry of the poor, will himself get no answer to his cry for help.|Ai bưng tai không khứng nghe tiếng kêu la của người nghèo khổ, Người đó cũng sẽ kêu la mà sẽ chẳng có ai đáp lại.
By a secret offering wrath is turned away, and the heat of angry feelings by money in the folds of the robe.|Của lễ dâng kín nhiệm nguôi cơn thạnh nộ; Của hối lộ đút vào lòng làm ngất cơn giận dữ tợn.
It is a joy to the good man to do right, but it is destruction to the workers of evil.|Làm điều ngay thẳng, ấy là một việc vui vẻ cho người công bình; Nhưng gây bại hoại cho kẻ làm gian ác.
The wanderer from the way of knowledge will have his resting-place among the shades.|Người lầm lạc xa đường khôn sáng Sẽ ở với hội kẻ chết.
The lover of pleasure will be a poor man: the lover of wine and oil will not get wealth.|Ai ham sự vui chơi ắt sẽ nghèo khó; Còn ai ưa rượu với dầu sẽ chẳng hề làm giàu.
The evil-doer will be given as a price for the life of the good man, and the worker of deceit in the place of the upright.|Kẻ ác là một giá chuộc người công bình; Và kẻ dối gạt thế chỗ cho người ngay thẳng.
It is better to be living in a waste land, than with a bitter-tongued and angry woman.|Thà ở nơi vắng vẻ, Hơn là ở với một người đờn bà hay tranh cạnh và nóng giận.
There is a store of great value in the house of the wise, but it is wasted by the foolish man.|Có bửu vật và dầu trong nhà người khôn ngoan; Nhưng kẻ ngu muội nuốt nó đi.
He who goes after righteousness and mercy will get life, righteousness, and honour.|Người nào tìm cầu sự công bình và sự nhơn từ sẽ tìm được sự sống, sự công bình, và tôn trọng.
A wise man goes up into the town of the strong ones, and overcomes its strength in which they put their faith.|Người khôn ngoan leo lên thành dõng sĩ, Đánh hạ sức lực mà nó nương cậy.
He who keeps watch over his mouth and his tongue keeps his soul from troubles.|Ai giữ lấy miệng và lưỡi mình Giữ linh hồn mình khỏi hoạn nạn.
The man of pride, lifted up in soul, is named high-hearted; he is acting in an outburst of pride.|Nhạo báng, ấy là tên của người kiêu căng cao cách; Nó cư xử cách xấc xược theo tánh kiêu ngạo của nó.
The desire of the hater of work is death to him, for his hands will do no work.|Sự ước ao của kẻ biếng nhác giết chết nó; Bởi vì hai tay nó không khứng làm việc.
All the day the sinner goes after his desire: but the upright man gives freely, keeping nothing back.|Có người trót ngày ham hố quá; Nhưng người công bình ban cho không chắt lót.
The offering of evil-doers is disgusting: how much more when they give it with an evil purpose!|Của tế lễ của kẻ ác là một vật gớm ghiếc; Phương chi họ đem đến mà có ác tưởng.
A false witness will be cut off, ...|Chứng dối giả sẽ hư mất đi; Nhưng người hay nghe theo sẽ nói được mãi mãi.
The evil-doer makes his face hard, but as for the upright, he gives thought to his way.|Kẻ ác tự làm mặt chai mày đá; Còn người ngay thẳng làm vững đường lối mình.
Wisdom and knowledge and wise suggestions are of no use against the Lord.|Chẳng có sự khôn ngoan nào, sự thông minh nào, hay là mưu kế nào, Mà chống địch Đức Giê-hô-va được.
The horse is made ready for the day of war, but power to overcome is from the Lord.|Ngựa sắm sửa về ngày tranh chiến; Nhưng sự thắng trận thuộc về Đức Giê-hô-va.

					Proverbs 22				|
						Châm Ngôn 22					
A good name is more to be desired than great wealth, and to be respected is better than silver and gold.|Danh tiếng tốt còn hơn tiền của nhiều; Và ơn nghĩa quí hơn bạc và vàng.
The man of wealth and the poor man come face to face: the Lord is the maker of them all.|Kẻ giàu và người nghèo đều gặp nhau; Đức Giê-hô-va đã dựng nên cả hai.
The sharp man sees the evil and takes cover: the simple go straight on and get into trouble.|Người khôn ngoan thấy đều tai vạ, và ẩn mình; Nhưng kẻ ngu muội cứ đi luôn, và mắc phải vạ.
The reward of a gentle spirit and the fear of the Lord is wealth and honour and life.|Phần thưởng của sự khiêm nhượng và sự kính sợ Đức Giê-hô-va, Ay là giàu có, sự tôn trọng, và mạng sống.
Thorns and nets are in the way of the twisted: he who keeps watch over his soul will be far from them.|Trong đường kẻ gian tà có gai chông và cái bẫy; Ai gìn giữ linh hồn mình sẽ cách xa nó.
If a child is trained up in the right way, even when he is old he will not be turned away from it.|Hãy dạy cho trẻ thơ con đường nó phải theo; Dầu khi nó trở về già, cũng không hề lìa khỏi đó.
The man of wealth has rule over the poor, and he who gets into debt is a servant to his creditor.|Người giàu quản hạt kẻ nghèo; Kẻ nào mượn là tôi tớ của kẻ cho mượn.
By planting the seed of evil a man will get in the grain of sorrow, and the rod of his wrath will be broken.|Kẻ nào giao sự bất công sẽ gặt điều tai họa; Và cây roi thạnh nộ nó sẽ bị gãy đi.
He who is kind will have a blessing, for he gives of his bread to the poor.|Người nào có mắt từ thiện sẽ được phước; Vì người ban bánh mình cho kẻ nghèo khó.
Send away the man of pride, and argument will go out; truly fighting and shame will come to an end.|Hãy đuổi kẻ nhạo báng ra, thì sự cãi lẫy cũng sẽ đi; Điều tranh cạnh và sự sỉ nhục sẽ hết.
He whose heart is clean is dear to the Lord; for the grace of his lips the king will be his friend.|Ai ái mộ lòng thánh sạch, Và có duyên nơi môi miệng mình, sẽ được vua làm bạn nghĩa.
The eyes of the Lord keep knowledge, but by him the acts of the false man will be overturned.|Mắt của Đức Giê-hô-va coi giữ người có tri thức; Nhưng Ngài đánh đổ lời kẻ gian tà.
The hater of work says, There is a lion outside: I will be put to death in the streets.|Kẻ biếng nhác nói: Có con sư tử ở ngoài đó; Tôi sẽ bị giết tại giữa đường.
The mouth of strange women is a deep hole: he with whom the Lord is angry will go down into it.|Miệng của dâm phụ vốn là một cái hố sâu; Ai bị Đức Giê-hô-va giận sẽ sa ngã vào đó.
Foolish ways are deep-seated in the heart of a child, but the rod of punishment will send them far from him.|Sự ngu dại vốn buộc vào lòng con trẻ; Song roi răn phạt sẽ làm cho sự ấy lìa xa nó.
He who is cruel to the poor for the purpose of increasing his profit, and he who gives to the man of wealth, will only come to be in need.|Người nào hà hiếp kẻ nghèo ắt sẽ làm cho nó giàu có; Và ai co kẻ giàu có chỉ làm cho người sa vào sự thiếu thốn.
Let your ear be bent down for hearing my words, and let your heart give thought to knowledge.|Hãy lắng tai nghe lời kẻ khôn ngoan, Khá chuyên lòng con về sự tri thức ta.
