
					Ezra 1				|
And I said to them, You are holy to the Lord and the vessels are holy: and the silver and the gold are an offering freely given to the Lord, the God of your fathers.|Rồi ta nói với chúng rằng: Chánh các ngươi đã được biệt riêng ra thánh cho Đức Giê-hô-va, và các khí dụng nầy cũng là thánh. Bạc và vàng nầy là lễ vật lạc ý dâng cho Giê-hô-va Đức Chúa Trời của tổ phụ các ngươi.
Take care of them and keep them, till you put them on the scales before the chiefs of the priests and the Levites and the chiefs of the families of Israel, in Jerusalem, in the rooms of the house of the Lord.|Khá gìn giữ nó kỹ lưỡng cho đến chừng các ngươi cân lại trước mặt những thầy tế lễ cả, và người Lê-vi, cùng trước mặt các trưởng tộc của Y-sơ-ra-ên tại Giê-ru-sa-lem, trong kho đền thờ của Đức Giê-hô-va.
So the priests and the Levites took the weight of silver and gold and the vessels, to take them to Jerusalem into the house of our God.|Vậy, những thầy tế lễ và người Lê-vi, sau khi đã kiểm soát lại sự cân nặng của bạc, vàng, và những khí dụng rồi, bèn thâu nhận đặn đem đến Giê-ru-sa-lem, trong đền thờ của Đức Chúa Trời chúng ta.
Then we went away from the river of Ahava on the twelfth day of the first month, to go to Jerusalem; and the hand of our God was on us, and he gave us salvation from our haters and those who were waiting to make an attack on us by the way.|Ngày mười hai tháng giêng, chúng ta ở sông A-ha-va khởi-hành, đặng đi lên đến Giê-ru-sa-lem. Tay của Đức Chúa Trời chúng ta phù trợ chúng ta, giải cứu chúng ta khỏi tay kẻ thù nghịch, và khỏi kẻ rình phục dọc đường.
And we came to Jerusalem and were there for three days.|Đoạn, chúng ta đến Giê-ru-sa-lem, ở tại đó ba ngày.
And on the fourth day, the silver and the gold and the vessels were measured out by weight in the house of our God into the hands of Meremoth, the son of Uriah, the priest; and with him was Eleazar, the son of Phinehas; and with them were Jozabad, the son of Jeshua, and Noadiah, the son of Binnui, the Levites;|Ngày thứ tư, chúng ta cân lại bạc, vàng, và những khí dụng trong đền thờ Đức Chúa Trời, rồi giao cho Mê-rê-mốt, con trai U-ri, thầy tế lễ ,
All was handed over by number and by weight: and the weight was put on record at that time.|cứ theo số và cân; số cân nặng đều biên chép trong một kỳ ấy.
And those who had been prisoners, who had come back from a strange land, made burned offerings to the God of Israel, twelve oxen for all Israel, ninety-six male sheep, seventy-seven lambs, twelve he-goats for a sin-offering: all this was a burned offering to the Lord.|Những người đã bị bắt làm phu tù được trở về, dâng của lễ thiêu cho Đức Chúa Trời của Y-sơ-ra-ên bằng mười hai con bò đực vì cả Y-sơ-ra-ên, chín mươi sáu con chiên đực, bảy mươi bảy con chiên con, và mười hai con dê đực để làm của lễ chuộc tội: cả thảy đều dâng lên làm của lễ thiêu cho Đức Giê-hô-va.
And they gave the king's orders to the king's captains and the rulers across the river, and they gave the people and the house of God the help which was needed.|Chúng giao chiếu chỉ của vua cho các quan trấn, và cho các quan cai của vua ở phía bên nầy sông họ bèn giúp đỡ dân sự và việc đền thờ của Đức Chúa Trời.

					Ezra 9				|
						Ê-xơ-ra 9					
Now after these things were done, the captains came to me and said, The people of Israel and the priests and Levites have not kept themselves separate from the people of the lands, but have taken part in the disgusting ways of the Canaanites, the Hittites, the Perizzites, the Jebusites, the Ammonites, the Moabites, the Egyptians, and the Amorites.|Sau các việc đó, các quan trưởng đến gần nói với ta rằng: Dân Y-sơ-ra-ên, những thầy tế lễ, và người Lê-vi chẳng có phân rẽ với các dân tộc của xứ nầy; họ bắt chước theo sự gớm ghiếc của dân Ca-na-an, dân Hê-vít, dân Phê-rê-sít, dân Giê-bu-sít, dân Am-môn, dân Mô-áp, dân Ê-díp-tô, và dân A-mô-rít.
For they have taken their daughters for themselves and for their sons, so that the holy seed has been mixed with the peoples of the lands; and in fact the captains and rulers have been the first to do this evil.|Vì chúng có lấy những con gái họ làm vợ của mình, và làm vợ con trai mình. Dòng dõi thánh đã pha lộn như vậy với dân tộc của các xứ nầy; thật các trưởng và quan cai vốn là kẻ đầu phạm tội dường ấy.
And hearing this, with signs of grief and pulling out the hair of my head and my chin, I took my seat on the earth deeply troubled.|Khi ta nghe các lời ấy, ta bèn xé áo trong và áo tơi mình, nhổ tóc đầu và lông râu, rồi ngồi buồn bã.
Then everyone who went in fear of the words of the God of Israel, because of the sin of those who had come back, came together to me; and I kept where I was, overcome with grief, till the evening offering.|Những người vâng kỉnh các lời phán Đức Chúa Trời của Y-sơ-ra-ên đều hiệp lại chung quanh ta, sợ hãi về tội trọng của các người đã bị bắt làm phu tù được về có phạm; còn ta ngồi kinh-hoảng cho đến khi dâng của lễ buổi chiều.
And at the evening offering, having made myself low before God, I got up, and with signs of grief, falling down on my knees, with my hands stretched out to the Lord my God,|Đến giờ dâng của lễ buổi chiều, ta đứng dậy khỏi nơi khổ nhục mình, áo trong và áo tơi ta xé rách; ta quì gối xuống, giơ tay ra hướng về Giê-hô-va Đức Chúa Trời ta,
I said, O my God, shame keeps me from lifting up my face to you, my God: for our sins are increased higher than our heads and our evil-doing has come up to heaven.|mà thưa với Ngài rằng: Ồ, Đức Chúa Trời tôi! tôi hổ thẹn mặt, chẳng dám ngước mặt lên Ngài, là Đức Chúa Trời tôi; vì gian ác chúng tôi đã thêm nhiều quá đầu chúng tôi, và tội chúng tôi cao lớn tận trời.
From the days of our fathers till this day we have been great sinners; and for our sins, we and our kings and our priests have been given up into the hands of the kings of the lands, to the sword and to prison and to loss of goods and to shame of face, as it is this day.|Từ ngày tổ phụ chúng tôi cho đến ngày nay, chúng tôi đã cực-cùng phạm tội; vì cớ tội ác mình, nên chúng tôi, các vua chúng tôi, và những thầy tế lễ chúng tôi, đều bị phó vào tay các vua những xứ, bị gươm, bị bắt làm phu tù, bị cướp giựt, và bị sỉ nhục, y như điều đó đã có ngày nay.
And now for a little time grace has come to us from the Lord our God, to let a small band of us get free and to give us a nail in his holy place, so that our God may give light to our eyes and a measure of new life in our prison chains.|Song bây giờ, Giê-hô-va Đức Chúa Trời của chúng tôi tạm làm ơn cho chúng tôi, để một phần dư lại của chúng tôi thoát khỏi, và ban cho chúng tôi một cái đinh ở trong chỗ thánh nầy; hầu cho Đức Chúa Trời chúng tôi soi sáng con mắt chúng tôi và khiến cho chúng tôi ở giữa sự nô lệ mình được dấy lên một chút.
For we are servants; but our God has not been turned away from us in our prison, but has had mercy on us before the eyes of the kings of Persia, to give us new strength to put up again the house of our God and to make fair its waste places, and to give us a wall in Judah and Jerusalem.|Vì chúng tôi vốn là kẻ nô lệ; nhưng Đức Chúa Trời của chúng tôi không từ bỏ chúng tôi trong sự nô lệ chúng tôi. Ngài đã khiến cho chúng tôi được ơn trước mặt các vua Phe-rơ-sơ, hầu ban cho chúng tôi sự dấy lên đặng cất đền của Đức Chúa trời chúng tôi và xây lên lại những nơi hư nát của nó, cùng ban cho chúng tôi một nơi ở tại trong xứ Giu-đa và thành Giê-ru-sa-lem.
And now, O our God, what are we to say after this? for we have not kept your laws,|Bây giờ, hỡi Đức Chúa Trời chúng tôi ôi! sau những điều đó, chúng tôi sẽ nói làm sao? Vì chúng tôi đã lìa bỏ điều răn.
Which you gave to your servants the prophets, saying, The land into which you are going, to take it for a heritage, is an unclean land, because of the evil lives of the peoples of the land and their disgusting ways, which have made the land unclean from end to end.|Ngài đã cậy các tiên tri, là tôi tớ Ngài, mà phán dạy chúng tôi, rằng: Xứ mà các ngươi sẽ vào đặng nhận lấy đó, là một xứ bị ô uế tại sự ô uế của các dân tộc nó, và tại sự gớm ghiếc của chúng nó đã làm cho xứ ấy đầy dẫy từ đầu nầy chí đầu kia.
So now do not give your daughters to their sons or take their daughters for your sons or do anything for their peace or well-being for ever; so that you may be strong, living on the good of the land, and handing it on to your children for a heritage for ever.|Vì vậy, cho nên chớ gả con gái các ngươi cho con trai chúng nó, và đừng cưới con gái họ cho con trai của các ngươi; chớ hề tìm kiếm sự thạnh lợi hoặc sự bình an của chúng nó, để các ngươi trở nên mạnh dạn, ăn hoa lợi của xứ, và để nó lại cho các con trai mình làm cơ nghiệp đời đời.
And after everything which has come on us because of our evil-doing and our great sin, and seeing that the punishment which you, O God, have given us, is less than the measure of our sins, and that you have kept from death those of us who are here;|Vả, sau những tai họa đã giáng trên chúng tôi, tại các sự hành-ác và tội trọng của chúng tôi, mà lại, hỡi Đức Chúa Trời chúng tôi ôi! thật Chúa chẳng có phạt chúng tôi cho đáng như tội chúng tôi, và đã ban cho chúng tôi được phần sót lại dường nầy;
Are we again to go against your orders, taking wives from among the people who do these disgusting things? would you not be angry with us till our destruction was complete, till there was not one who got away safe?|vậy có lẽ nào chúng tôi lại phạm các điều răn của Chúa nữa, kết bạn với các dân tộc vẫn làm những sự gớm ghiếc nầy sao? Vậy thì cơn thạnh nộ Chúa há sẽ chẳng nổi lên cùng chúng tôi, tiêu diệt chúng tôi, đến đỗi chẳng còn phần sót lại, cũng không ai thoát khỏi hay sao?
O Lord God of Israel, righteousness is yours; we are only a small band which has been kept from death, as at this day: see, we are before you in our sin; for no one may keep his place before you because of this.|Hỡi Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên ôi! Chúa vốn là công bình; còn chúng tôi, chỉ một số ít người được thoát khỏi, như đã thấy ngày nay: nầy chúng tôi ở trước mặt Chúa, mắc tội lỗi nhiều; nhân đó, chẳng ai có thế đứng nổi trước mặt Ngài.

					Ezra 10				|
						Ê-xơ-ra 10					
Now while Ezra was making his prayer and his statement of wrongdoing, weeping and falling down before the house of God, a very great number of men and women and children out of Israel came together round him: for the people were weeping bitterly.|Trong lúc E-xơ-ra cầu nguyện như vậy, vừa khóc vừa xưng tội và sấp mình xuống trước đền của Đức Chúa Trời, thì có một đám dân Y-sơ-ra-ên, người nam và nữ rất đông, nhóm hiệp xung quanh người; chúng cũng khóc nứt nở.
And Shecaniah, the son of Jehiel, one of the sons of Elam, answering, said to Ezra, We have done evil against our God, and have taken as our wives strange women of the peoples of the land: but still there is hope for Israel in this question.|Sê-ca-nia, con trai Giê-hi-ên, cháu của Ê-lam, bèn nói cùng E-xơ-ra rằng: Chúng ta phạm tội với Đức Chúa Trời chúng ta mà cưới những người nữ ngoại thuộc các dân tộc của xứ; nhưng dầu đã làm vậy, hãy còn hi vọng cho dân Y-sơ-ra-ên.
Let us now make an agreement with our God to put away all the wives and all their children, if it seems right to my lord and to those who go in fear of the words of our God; and let it be done in keeping with the law.|Vậy bây giờ, ta hãy lập giao ước với Đức Chúa Trời chúng ta, đuổi hết thảy những người nữ kia và các con cái của họ đã sanh ra, y như lời chỉ giáo của chúa tôi và của các người có lòng kính sợ điều răn của Đức Chúa Trời chúng ta; khá làm điều ấy theo luật pháp.
Up, now! for this is your business, and we are with you; take heart and do it.|Ong hãy đứng dậy, vì việc ầy can hệ đến ông, và chúng tôi sẽ giúp đỡ; khá can đảm mà làm.
Then Ezra got up, and made the chiefs of the priests and the Levites and all Israel take an oath that they would do this. So they took an oath.|E-xơ-ra bèn đứng dậy, khiến những thầy tế lễ cả, người Lê-vi, và cả Y-sơ-ra-ên thề rằng mình sẽ làm theo lời ấy. Chúng liền thề.
Then Ezra got up from before the house of God and went into the room of Jehohanan, the son of Eliashib; but when he came there, he took no food or drink, for he was sorrowing for the sin of those who had come back.|Khi E-xơ-ra đã chổi dậy khỏi trước đền Đức Chúa Trời, bèn đi vào phòng của Giô-ha-nan, con trai Ê-li -a-síp; người vào đó không ăn bánh và cũng không uống nước, bởi người lấy làm buồn thảm vì cớ tội lỗi của dân đã bị bắt làm phu tù được trở về.
And they made a public statement through all Judah and Jerusalem, to all those who had come back, that they were to come together to Jerusalem;|Người ta bèn rao truyền khắp xứ Giu-đa và Giê-ru-sa-lem, biểu các dân đã bị bắt làm phu tù được trở về nhóm hiệp tại Giê-ru-sa-lem.
And that if anyone did not come before three days were past, as ordered by the rulers and the responsible men, all his goods would be put under the curse, and he himself would be cut off from the meeting of the people who had come back.|Trong ba ngày, ai không vâng theo lịnh của các quan trưởng và trưởng lão mà đến, thì các tài sản người ấy sẽ bị tịch-phong, và chính người bị truất khỏi hội chúng của dân đã bị bắt làm phu tù được trở về.
Then all the men of Judah and Benjamin came together to Jerusalem before three days were past; it was the ninth month, on the twentieth day of the month; and all the people were seated in the wide square in front of the house of God, shaking with fear because of this business and because of the great rain.|Trong ba ngày, các người của Giu-đa và Bên-gia-min đều nhóm lại tại Giê-ru-sa-lem, nhằm ngày hai mươi tháng chín; cả dân sự đều ngồi tại phố ở đằng trước đền của Đức Chúa Trời, rúng sợ về việc ấy và về cơn mưa lớn.
And Ezra the priest got to his feet and said to them, You have done wrong and taken strange women for your wives, so increasing the sin of Israel.|Đoạn, E-xơ-ra, thầy tế lễ, đứng dậy, và nói rằng: Các ngươi đã phạm tội, cưới vợ ngoại bang, và thêm nhiều lên tội lỗi của Y-sơ-ra-ên.
So now, give praise to the Lord, the God of your fathers, and do his pleasure; and make yourselves separate from the peoples of the land and from the strange women.|Nhưng bây giờ, khá xưng tội lỗi mình cho Giê-hô-va Đức Chúa Trời của tổ phụ các ngươi, và làm đều đẹp ý Ngài: hãy phân cách khỏi các dân tộc của xứ và khỏi những người vợ ngoại bang.
Then all the people, answering, said with a loud voice, As you have said, so it is right for us to do.|Cả hội chúng bèn đáp lớn tiếng rằng: Phải, điều ông đã nói, chúng tôi phải làm theo;
But the number of people is great, and it is a time of much rain; it is not possible for us to go on waiting outside, and this is not a thing which may be done in one day or even two: for our sin in this business is great.|song dân sự đông; và là nhầm mùa mưa, chúng tôi không có thể nào đứng ngoài; lại điều nầy chẳng phải là việc của một hoặc hai ngày, vì trong việc nầy chúng tôi đã phạm tội nhiều lắm.
So now let our rulers be representatives for all the people, and let all those in our towns who are married to strange women come at fixed times, and with them the responsible men and the judges of every town, till the burning wrath of our God is turned away from us, and this has been done.|Vậy, xin các quan trưởng chúng tôi hãy đứng ở đó đặng biện lý cho cả hội chúng; phàm ai trong các thành chúng tôi đã cưới lấy vợ ngoại bang, phải đến theo kỳ nhứt định, với các trưởng lão và quan xét của bổn thành, đặng sắp đặt việc này cho đến chừng đã nguôi cơn giận dữ của Đức Chúa Trời chúng tôi.
Only Jonathan, the son of Asahel, and Jahzeiah, the son of Tikvah, were against this, Meshullam and Shabbethai the Levite supporting them.|Chỉ Giô-na-than, con trai của A-sa-ên, và Gia-xi-gia, con trai Tiếc-va, phản cải lời định nầy; và Mê-su-lam cùng Sáp-bê-tai, người Lê-vi, đều giúp cho họ.
So those who had come back did so. And Ezra the priest, with certain heads of families, by their fathers' families, all of them by their names, were marked out; and on the first day of the tenth month they took their places to go into the question with care.|Vậy, những người đã bị bắt làm phu tù được trở về làm theo điều đã nhứ-định. Người ta chọn E-xơ-ra, thầy tế lễ, và mấy trưởng tộc, tùy theo tông tộc mình, hết thảy đều gọi đích danh. Ngày mồng một tháng mười, chúng ngồi đặng tra xét việc nầy.
And they got to the end of all the men who were married to strange women by the first day of the first month.|Đến ngày mồng một tháng giêng, chúng đã tra xét xong những người có vợ ngoại bang.
And among the sons of the priests who were married to strange women were these: of the sons of Jeshua, the son of Jozadak and his brothers, Maaseiah and Eliezer and Jarib and Gedaliah.|Trong dòng thầy tế lễ cũng có thấy những người đã cưới vợ ngoại bang. Trong con cháu Giê-sua, chít của Giô-xa-đác, và trong vòng các anh em người có Ma -a-xê-gia, Ê-li-ê-xe, Gia-ríp, và Ghê-đa-lia.
And they gave their word that they would put away their wives; and for their sin, they gave an offering of a male sheep of the flock.|Chúng hứa đuổi vợ mình, và dâng một con chiên đực làm của lễ chuộc lỗi mình.
And of the sons of Immer, Hanani and Zebadiah.|Trong con cháu Y-mê có Ha-na-ni và Xê-ba-bia.
And of the sons of Harim, Maaseiah and Elijah and Shemaiah and Jehiel and Uzziah.|Trong con cháu Ha-rim có Ma -a-xê-gia, Ê-li, Sê-ma-gia, Giê-hi-ên, và U-xia.
And of the sons of Pashhur, Elioenai, Maaseiah, Ishmael, Nethanel, Jozabad, and Elasah.|Trong con cháu Pha-su-rơ có Ê-li-ô-ê-nai, Ma -a-xê-gia, Ích-ma-ên, Na-tha-na-ên, Giô-xa-bát, và Ê-lê -a-sa.
And of the Levites, Jozabad, and Shimei, and Kelaiah (that is Kelita), Pethahiah, Judah, and Eliezer.|Trong người Lê-vi có Giô-xa-bát, Si-mê -i, Kê-la-gia , Phê-ta-hia, Giu-đa, và Ê-li-ê-xe.
And of the music-makers, Eliashib; and of the door-keepers, Shallum and Telem and Uri.|Trong các người ca hát có Ê-li -a-síp; trong những người giữ cửa có Sa-lum, Tê-lem, và U-ri.
And of Israel, the sons of Parosh, Ramiah and Izziah and Malchijah and Mijamin and Eleazar and Malchijah and Benaiah.|Trong dân Y-sơ-ra-ên: trong con cháu Pha-rốt có Ra-mia, Y-xia, Manh-ki-gia, Mi-gia-min, Ê-lê -a-sa, Manh-ki-gia, Mi-gia-min, Ê-lê -a-sa, Manh-ki-gia, và Bê-na-gia.
And of the sons of Elam, Mattaniah, Zechariah, and Jehiel and Abdi and Jeremoth and Elijah.|Trong con cháu Ê-lam có Mát-ta-nia, Xa-cha-ri, Giê-hi-ên, Ap-đi, Giê-rê-mốt, và Ê-li.
And of the sons of Zattu, Elioenai, Eliashib, Mattaniah, and Jeremoth and Zabad and Aziza.|Trong con cháu Xát-tu có Ê-li -a-síp, Mát-ta-nia, Giê-rê-mốt, Xa-bát, và A-xi-xa.
And of the sons of Bebai, Jehohanan, Hananiah, Zabbai, Athlai.|Trong con cháu Bê-bai có Giô-ha-nan, Ha-na-nia, Xáp-bai, và At-lai.
And of the sons of Bani, Meshullam, Malluch, and Adaiah, Jashub and Sheal, Jeremoth.|Trong con cháu Ba-ni có Mê-su-lam, Ma-lúc, A-đa-gia, Gia-sút, Sê-anh, và Ra-mốt.
And of the sons of Pahath-moab, Adna and Chelal, Benaiah, Maaseiah, Mattaniah, Bezalel and Binnui and Manasseh.|Trong con cháu Pha-hát-Mô-áp có At-na, Kê-lanh, Bê-na-gia, Ma -a-xê-gia, Mát-ta-nia, Bết-sa-lê-ên, Bin-nui, và Ma-na-se.
And of the sons of Harim, Eliezer, Isshijah, Malchijah, Shemaiah, Shimeon,|Trong con cháu Ha-rim có Ê-li-ê-se, Di-si-gia, Manh-ki-gia, Sê-ma-gia, Si-mê-ôn,
Benjamin, Malluch, Shemariah.|Bên-gia-min, Ma-lúc, và Sê-ma-ri -a.
Of the sons of Hashum, Mattenai, Mattattah, Zabad, Eliphelet, Jeremai, Manasseh, Shimei.|Trong con cháu Ha-sum có Mát-nai, Mát-ta-ta, Xa-bát, Ê-li-phê-lết, Giê-rê-mai, Ma-na-se, và Si-mê -i.
Of the sons of Bani, Maadai, Amram, and Uel,|Trong con cháu Ba-ni có Ma-ê-đai, Am-ram, U-ên,
Benaiah, Bedeiah, Cheluhi,|Bên-na-gia, Bê-đia, Kê-lu-hu,
Vaniah, Meremoth, Eliashib,|Va-nia, Mê-rê-mốt, Ê-li -a-síp,
Mattaniah, Mattenai, and Jaasu,|Mát-ta-nia, Mát-tê-nai, Gia -a-sai,
And Bani and Binnui, Shimei;|Ba-ni, Bin-nui, Si-mê -i,
And Shelemiah and Nathan and Adaiah,|Sê-lê-mia, Na-than, A-đa-gia,
Machnadebai, Shashai, Sharai,|Mác-nát-bai, Sa-rai, Sa-rai,
Azarel and Shelemiah, Shemariah,|A-xa-rên, Sê-lê-mia, Sê-ma-ria,
Shallum, Amariah, Joseph.|Sa-lum, A-ma-ria, và Giô-sép.
Of the sons of Nebo, Jeiel, Mattithiah, Zabad, Zebina, Iddo, and Joel, Benaiah.|Trong con cháu Nê-bô có Giê -i-ên, Ma-ti-thia, Xa-bát, Xê-bi-na, Giát-đai, Giô-ên và Bê-na-gia.
All these had taken strange wives; and some of them had wives by whom they had offspring.|Hết thảy người ấy đã cưới vợ ngoại bang; và cũng có nhiều người trong bọn ấy có vợ đã sanh đẻ con.
