
					II Samuel 1				|
But Absalom went in flight. And the young man who kept the watch, lifting up his eyes, saw that a great band of people was coming down the slope by the way of the Horons; and the watchman came and gave word to the king, saying, I saw men coming down by the way of the Horons, from the hillside.|Ap-sa-lôm đã chạy trốn. Kẻ tôi tớ đương ở vọng canh, ngước mắt lên, nhìn thấy một đoàn người đông lắm đi tới, do theo đường tây, về phía núi.
And Jonadab said to the king, See, the king's sons are coming; as your servant said, so it is.|Giô-na-đáp tâu cùng vua rằng: Tôi thấy các vương tử đến; việc đã xảy ra y như tôi tớ vua đã nói.
And while he was talking, the king's sons came, with weeping and loud cries: and the king and all his servants were weeping bitterly.|Người nói vừa dứt, thì thấy các vương tử đến; họ đều cất tiếng lên khóc. Vua và hết thảy tôi tớ cũng đều tuôn tràn giọt lụy.
So Absalom went in flight and came to Talmai, the son of Ammihud, the king of Geshur, where he was for three years.|Còn Ap-sa-lôm đã chạy trốn, và ẩn tại nhà Thanh-mai, con trai A-mi-hút, vua xứ Ghe-su-rơ. Đa-vít để tang cho con trai mình luôn luôn.
And the king was sorrowing for his son all the time.|Ap-sa-lôm trốn tại xứ Ghê-su-rơ ba năm.
And the heart of David was wasted with desire for Absalom: for he was comforted for the death of Amnon.|Đoạn, vua Đa-vít bỏ không đuổi theo Ap-sa-lôm nữa, vì vua đã được giải buồn về sự chết của Am-nôn.

					II Samuel 14				|
						II Sa-mu-ên 14					
Now it was clear to Joab, the son of Zeruiah, that the king's heart was turning to Absalom.|Bấy giờ, Giô-áp, con trai của Xê-ru-gia, thấy lòng vua hướng về Ap-sa-lôm,
And Joab sent to Tekoa and got from there a wise woman, and said to her, Now make yourself seem like one given up to grief, and put on the clothing of sorrow, not using any sweet oil for your body, but looking like one who for a long time has been weeping for the dead:|thì sai đi tìm tại Thê-cô -a một người đờn bà khôn khéo, mà dặn nàng rằng: Hãy làm bộ có tang, mặc áo chế, chớ xức dầu trên đầu nàng, song hãy có dáng một người đờn bà đã từ lâu ngày khóc một kẻ chết.
And come to the king and say these words to him. So Joab gave her words to say.|Đoạn, hãy vào đền vua, tâu cùng vua theo cách nầy. Giô-áp bèn để trong miệng nàng các lời nàng phải nói.
And the woman of Tekoa came to the king, and falling on her face, gave him honour and said, Give me help, O king.|Vậy, người đờn bà ở Thê-cô -a đi đến cùng vua, sấp mình xuống đất mà lạy, rồi tâu rằng: Lạy vua, xin hãy cứu tôi!
And the king said to her, What is your trouble? And her answer was, Truly I am a widow, and my husband is dead.|Vua nói: Ngươi muốn chi? Nàng thưa rằng: Hỡi ôi! tôi góa bụa, chồng tôi đã chết.
And I had two sons, and the two of them had a fight in the field, and there was no one to come between them, and one with a blow put the other to death.|Kẻ đòi vua vốn có hai con trai; chúng nó đã đánh lộn với nhau ở ngoài đồng, và vì không ai can, nên đứa nầy đánh đứa kia chết.
And now all the family is turned against me, your servant, saying, Give up him who was the cause of his brother's death, so that we may put him to death in payment for the life of his brother, whose life he took; and we will put an end to the one who will get the heritage: so they will put out my last burning coal, and my husband will have no name or offspring on the face of the earth.|Vì đó, cả dòng họ đều dấy lên nghịch cùng con đòi của vua, và nói rằng: Hãy nộp cho chúng ta kẻ đã giết em mình, chúng ta muốn giết nó, để báo thù em nó mà nó đã giết; và mặc dầu nó là kẻ kế nghiệp, chúng ta cũng sẽ diệt nó. Vậy, chúng toan tắt đóm lửa còn tại cho tôi, không để cho chồng tôi hoặc danh, hoặc dòng dõi gì trên mặt đất.
And the king said to the woman, Go to your house and I will give orders about this.|Vua nói cùng người đờn bà rằng: Hãy trở về nhà ngươi; ta sẽ truyền lịnh về việc ngươi.
And the woman of Tekoa said to the king, My lord, O king, may the sin be on me and on my family, and may the king and the seat of his kingdom be clear of sin!|Người đờn bà Thê-cô -a thưa cùng vua rằng: Lạy vua chúa tôi, nguyện lỗi đổ lại trên tôi và trên nhà cha tôi, nguyện vua và ngôi vua không can dự đến!
And the king said, If anyone says anything to you, make him come to me, and he will do you no more damage.|Vua tiếp: Nếu có ai hăm dọa ngươi nữa, hãy dẫn nó đến ta. Nó được chẳng còn dám đụng đến ngươi đâu nữa.
Then she said, Let the king keep in mind the Lord your God, so that he who gives punishment for blood may be kept back from further destruction and that no one may send death on my son. And he said, By the living Lord, not a hair of your son's head will come to the earth.|Nàng tiếp rằng: Tôi cầu xin vua hãy chỉ Giê-hô-va Đức Chúa Trời của vua làm chứng rằng kẻ báo thù huyết chớ làm hại tôi càng nặng hơn, và giết con trai tôi. Vua đáp: Ta chỉ Đức Giê-hô-va hằng sống mà thề rằng, một sợi tóc sẽ chẳng rụng xuống khỏi đầu của con trai ngươi!
Then the woman said, Will the king let his servant say one word more? And he said, Say on.|Người đờn bà lại tiếp: Xin cho phép con đòi vua còn tâu một lời cùng vua chúa tôi nữa. Vua đáp: Hãy nói.
And the woman said, Why have you had such a thought about the people of God? (for in saying these very words the king has put himself in the wrong because he has not taken back the one whom he sent far away.)|Người đờn bà nói: Vậy thì sao đối cùng dân sự của Đức Chúa Trời, vua chẳng đoán xét đồng một thể? Vua phán lời đó giống như kẻ có tội, vì vua không đòi về đứa con trai mà vua đã đày đi.
For death comes to us all, and we are like water drained out on the earth, which it is not possible to take up again; and God will not take away the life of the man whose purpose is that he who has been sent away may not be completely cut off from him.|Vì rốt lại, chúng ta là kẻ hay chết, giống như nước chảy trên đất, không hốt lại được. Nhưng Đức Chúa Trời không cất mạng sống đi, Ngài biết tìm cách thế đặng không đẩy kẻ bị đầy cách xa Ngài.
And now it is my fear of the people which has made me come to say these words to my lord the king: and your servant said, I will put my cause before the king, and it may be that he will give effect to my request.|Bấy giờ, nếu tôi đến tâu cùng vua chúa tôi, ấy vì dân sự làm cho tôi run sợ. Con đòi vua có nghĩ rằng: Mình phải tâu cùng vua, có lẽ vua sẽ làm điều con đòi vua cầu xin.
For the king will give ear, and take his servant out of the power of the man whose purpose is the destruction of me and my son together from the heritage of God.|Phải, vua sẽ nghe con đòi vua mà giải cứu nó khỏi tay kẻ muốn diệt chúng tôi, và tôi và con trai tôi, khỏi sản nghiệp của Đức Chúa Trời.
Then your servant said, May the word of my lord the king give me peace! for my lord the king is as the angel of God in his hearing of good and bad: and may the Lord your God be with you!|Vậy, con đòi vua đã nghĩ rằng: Chớ chi lời của vua chúa tôi ban cho chúng tôi sự an nghỉ; vì vua chúa tôi khác nào một thiên sứ của Đức Chúa Trời, hiểu sự lành và sự dữ. Nguyện Giê-hô-va Đức Chúa Trời của vua ở cùng vua!
Then the king said to the woman, Now give me an answer to the question I am going to put to you; keep nothing back. And the woman said, Let my lord the king say on.|Vua nói tiếp cùng người đờn bà rằng: Chớ dấu ta chi hết về điều ta sẽ hỏi ngươi. Người đờn bà thưa rằng: Xin vua chúa tôi hãy hỏi.
And the king said, Is not the hand of Joab with you in all this? And the woman in answer said, By the life of your soul, my lord the king, it is not possible for anyone to go to the right hand or to the left from anything said by the king: your servant Joab gave me orders, and put all these words in my mouth:|Vua hỏi: Có phải Giô-áp đã đặt tay vào mọi điều đó chăng? Người đờn bà thưa rằng: Vua chúa tôi ôi, tôi chỉ mạng sống của vua mà thề, người ta không thế xít qua bên hữu hoặc bên tả, đặng khỏi điều vua chúa tôi mới nói đó. Phải, ấy là Giô-áp, tôi tớ của vua, đã truyền lịnh cho tôi, và để các lời nầy trong miệng con đòi vua.
This he did, hoping that the face of this business might be changed: and my lord is wise, with the wisdom of the angel of God, having knowledge of everything on earth.|Giô-áp, tôi tớ của vua, đã làm như vậy, để làm cho việc nầy thành ra cách mới. Nhưng chúa tôi là khôn ngoan như thiên sứ của Đức Chúa Trời, hiểu rõ mọi việc đã xảy ra trên đất.
And the king said to Joab, See now, I will do this thing: go then and Come back with the young man Absalom.|Vua bèn nói cùng Giô-áp rằng: Vậy vì ngươi đã làm việc nầy, hãy đi đòi gã trai trẻ Ap-sa-lôm trở về.
Then Joab, falling down on his face on the earth, gave the king honour and blessing; and Joab said, Today it is clear to your servant that I have grace in your eyes, my lord king, because the king has given effect to the request of his servant.|Giô-áp sấp mình xuống đất lạy, và chúc phước cho vua, mà rằng: Vua chúa tôi ôi, ngày nay tôi tớ vua biết rằng nó đã được ơn trước mặt vua; vì vua đã làm điều tôi tớ vua đã cầu xin Ngài.
So Joab got up and went to Geshur and came back again to Jerusalem with Absalom.|Giô-áp bèn chổi dậy, đi đến Ghê-su-rơ, đem Ap-sa-lôm về Giê-ru-sa-lem.
And the king said, Let him go to his house, but let him not see my face. So Absalom went back to his house and did not see the face of the king.|Vua bèn nói rằng: Nó phải ở trong nhà nó, chớ ra mặt trước mặt ta. Ay vậy, Ap-sa-lôm rút ở trong nhà mình, không ra mắt vua.
Now in all Israel there was no one so greatly to be praised for his beautiful form as Absalom: from his feet to the crown of his head he was completely beautiful.|Vả, trong cả Y-sơ-ra-ên chẳng có một người nào được khen chuộng về nhan sắc mình như Ap-sa-lôm; nơi mình người, từ bàn chơn cho đến chót đầu, chẳng có tì vít gì hết.
And when he had his hair cut, (which he did at the end of every year, because of the weight of his hair;) the weight of the hair was two hundred shekels by the king's weight.|Mỗi năm người hớt tóc mình, vì nặng làm cho người bất tiện, thì tóc người cân được hai trăm siếc-lơ, theo cân của vua.
And Absalom was the father of three sons and of one daughter named Tamar, who was very beautiful.|Ap-sa-lôm sanh ba con trai và một con gái, tên là Ta-ma; nàng là người nữ rất lịch sự.
For two full years Absalom was living in Jerusalem without ever seeing the face of the king.|Ap-sa-lôm ở tại Giê-ru-sa-lem trọn hai năm, không ra mắt vua.
Then Absalom sent for Joab to send him to the king, but he would not come to him: and he sent again a second time, but he would not come.|Kế đó, Ap-sa-lôm đòi Giô-áp đặng sai người đi đến cùng vua; nhưng Giô-áp không chịu đến gần người. Ap-sa-lôn đòi người lại một lần thứ nhì, song Giô-áp lại từ chối, không muốn đến.
So he said to his servants, See, Joab's field is near mine, and he has barley in it; go and put it on fire. And Absalom's servants put the field on fire.|Ap-sa-lôn bèn nói cùng các tôi tớ mình rằng: Hãy xem ruộng của Giô-áp, là ruộng lúa mạch kia, ở gần bên ruộng ta; hãy đi châm lửa vào ruộng ấy. Các tôi tớ của Ap-sa-lôm bèn châm lửa vào ruộng đó.
Then Joab came to Absalom in his house and said to him, Why have your servants put my field on fire?|Bấy giờ, Giô-áp đứng dậy, đến cùng Ap-sa-lôn trong nhà người mà nói rằng: Cớ sao các tôi tớ ngươi có châm lửa vào ruộng ta?
And Absalom's answer was, See, I sent to you saying, Come here, so that I may send you to the king to say, Why have I come back from Geshur? it would be better for me to be there still: let me now see the king's face, and if there is any sin in me, let him put me to death.|Ap-sa-lôn nói với người rằng: Hãy đến đây, ta sẽ sai ngươi đến cùng vua, đặng nói rằng: Tôi đã ở Ghê-su-rơ trở về làm chi? Thà tôi còn ở đó thì hơn. Vậy bây giờ, tôi muốn ra mắt vua; ví bằng tôi có tội ác gì, xin vua hãy giết tôi đi.
So Joab went to the king and said these words to him: and when the king had sent for him, Absalom came, and went down on his face on the earth before the king: and the king gave him a kiss.|Vậy, Giô-áp đi đến vua, thuật lại các lời ấy. Vua bèn đòi Ap-sa-lôm đến; người vào đền vua, sấp mình xuống trước mặt vau, và vua hôn Ap-sa-lôm.

					II Samuel 15				|
						II Sa-mu-ên 15					
Now after this, Absalom got for himself a carriage and horses, and fifty runners to go before him.|Cách ít lâu, Ap-sa-lôm sắm xe và ngựa với năm mươi quân chạy trước mặt mình.
And Absalom got up early, morning after morning, and took his place at the side of the public meeting-place: and when any man had a cause which had to come to the king to be judged, then Absalom, crying out to him, said, What is your town? and he would say, Your servant is of one of the tribes of Israel.|Ap-sa-lôm dậy sớm, đứng nơi mé đường vào cửa thành. Nếu gặp ai có sự kiện thưa chi đi đến vua đặng cầu xét đoán, thì Ap-sa-lôm gọi người ấy hỏi rằng: Người ở thành nào? Nếu họ đáp: Tôi tớ ông thuộc về chi phái kia của Y-sơ-ra-ên,
And Absalom would say to him, See, your cause is true and right; but no man has been named by the king to give you a hearing.|thì Ap-sa-lôm tiếp rằng: Sự tình của ngươi thật phải và công bình; nhưng nơi đền vua nào có ai để nghe ngươi đâu.
And more than this, Absalom said, If only I was made judge in the land, so that every man who has any cause or question might come to me, and I would give a right decision for him!|Đoạn, Ap-sa-lôm tiếp rằng: Ồ! chớ chi người ta lập ta làm quan xét trong xứ! Phàm người nào có việc tranh tụng hay kiện cáo gì cần đoán xét, sẽ đến ta, thì ta sẽ xử đoán công bình cho họ.
And if any man came near to give him honour, he took him by the hand and gave him a kiss.|Nếu có ai đến gần đặng lạy người, Ap-sa-lôm giơ tay ra đỡ lấy người và hôn.
And this Absalom did to everyone in Israel who came to the king to have his cause judged: so Absalom, like a thief, took away the hearts of the men of Israel.|Ap-sa-lôm làm như vậy đối cùng hết thảy những người Y-sơ-ra-ên đi đến tìm vua, đặng cầu đoán xét; và Ap-sa-lôm dụ lấy lòng người Y-sơ-ra-ên vậy.
Now at the end of four years, Absalom said to the king, Let me go to Hebron and give effect to the oath which I made to the Lord:|Cuối bốn năm, Ap-sa-lôm nói cùng vua rằng: Xin cho phép con đi đến Hếp-rôn đặng trả xong sự hứa nguyện mà tôi đã khấn với Đức Giê-hô-va.
For while I was living in Geshur in Aram, your servant made an oath, saying, If ever the Lord lets me come back to Jerusalem, I will give him worship in Hebron.|Vì lúc tôi tớ vua ở tại Ghê-su-rơ trong Sy-ri, có khấn lời nguyện nầy: Nếu Đức Giê-hô-va dẫn tôi về Giê-ru-sa-lem, thì tôi sẽ thờ phượng Đức Giê-hô-va.
And the king said to him, Go in peace. So he got up and went to Hebron.|Vua đáp cùng người rằng: Hãy đi bình an. Vậy người chổi dậy, và đi đến Hếp-rôn.
But Absalom at the same time sent watchers through all the tribes of Israel to say, At the sound of the horn you are to say, Absalom is king in Hebron.|Ap-sa-lôm sai những kẻ do thám rao lịnh nầy khắp trong các chi phái Y-sơ-ra-ên rằng: Thoạt khi anh em nghe tiếng kèn, thì hãy nói: Ap-sa-lôm làm vua tại Hếp-rôn!
And with Absalom, at his request, went two hundred men from Jerusalem, who were completely unconscious of his designs.|Có hai trăm người ở Giê-ru-sa-lem mà Ap-sa-lôm đã mời, đều đi với người cách thật thà chẳng nghi ngại chi hết.
And Absalom sent for Ahithophel the Gilonite, one of David's helpers, from Giloh his town, while he was making the offerings. And the design against David became strong, for more and more people were joined to Absalom.|Đương lúc Ap-sa-lôm dâng của lễ, bèn sai mời A-hi-tô-phe, là mưu sĩ của Đa-vít ở Ghi-lô, bổn thành người. Sự phản nghịch trở nên mạnh, và đoàn dân đi theo Ap-sa-lôm cùng ngày càng đông.
And one came to David and said, The hearts of the men of Israel have gone after Absalom.|Có người đến báo tin cho Đa-vít rằng: Lòng của dân Y-sơ-ra-ên nghiêng về Ap-sa-lôm.
And David said to all his servants who were with him at Jerusalem, Come, let us go in flight, or not one of us will be safe from Absalom: let us go without loss of time, or he will overtake us quickly and send evil on us, and put the town to the sword.|Đa-vít bèn nói cùng các tôi tớ ở với mình tại Giê-ru-sa-lem rằng: Hãy chổi dậy và chạy trốn đi, bằng chẳng, chúng ta không thế thoát khỏi Ap-sa-lôm được. Hãy đi mau mau, e nó sẽ đến kịp chúng ta, làm hại cho chúng ta, và dùng gươm diệt thành.
And the king's servants said to the king, See, your servants are ready to do whatever the king says is to be done.|Các tôi tớ của vua thưa rằng: Phàm việc gì vua chúa chúng tôi nhứt định, thì các tôi tớ vua sẽ sẵn làm theo.
So the king went out, taking with him all the people of his house, but for ten of his women, who were to take care of the house.|Vậy, vua ra đi, có cả nhà người cùng theo; nhưng vua để lại mười người cung phi đặng giữ đền.
And the king went out, and all his servants went after him, and made a stop at the Far House.|Thế thì, vua đi ra, có cả dân sự theo sau; chúng dừng lại tại nhà ở cuối chót thành.
And all the people went on by his side; and all the Cherethites and all the Pelethites and all the men of Ittai of Gath, six hundred men who came after him from Gath, went on before the king.|Hết thảy tôi tớ của vua và cả người Kê-rê-thít, người Phê-lê-thít đều đi ở bên vua, còn người Ghi-tít, số sáu trăm người ở Gát đến theo vua, đều đi đàng trước.
Then the king said to Ittai the Gittite, Why are you coming with us? go back and keep with the king: for you are a man of another country, you are far from the land of your birth.|Vua bèn nói cùng Y-tai, người Ghi-tít rằng: Cớ sao ngươi cũng muốn đến cùng chúng ta? Hãy trở lại, ở với vua, bởi vì ngươi là một người ngoại bang đã lìa xứ ngươi.
It was only yesterday you came to us; why then am I to make you go up and down with us? for I have to go where I may; go back then, and take your countrymen with you, and may the Lord's mercy and good faith be with you.|Ngươi mới đến hôm qua, và hôm nay ta há sẽ cho ngươi lạc lài đây đó với chúng ta sao? Còn ta, ta đi đâu không rõ. Vậy, hãy trở về và dẫn các anh em ngươi theo ngươi. Nguyện sự thương xót và sự thành tín ở cùng ngươi!
And Ittai the Gittite in answer said, By the living Lord, and by the life of my lord the king, in whatever place my lord the king may be, for life or death, there will your servant be.|Nhưng Y-tai thưa cùng vua rằng: Tôi chỉ Đức Giê-hô-va hằng sống, và chỉ mạng sống của vua chúa tôi mà thề, hễ vua chúa tôi ở đâu, hoặc trong sự chết, hoặc trong sự sống, thì kẻ tôi tớ vua cũng sẽ ở đó.
And David said to Ittai, Go forward, then. And Ittai the Gittite went on, with all his men and all the little ones he had with him.|Vua Đa-vít bèn nói với Y-tai rằng: Vậy, hãy đến đi trước. Thế thì, Y-tai người Ghi-tít cùng hết thảy con trẻ theo mình, và cả bọn người đều đi tới trước.
And there was great weeping in all the country when all the people went through; and the king himself was waiting in the Kidron valley and all the people went by him in the direction of the olive-tree on the edge of the waste land.|Hết thảy dân trong xứ đều khóc và la lớn tiếng lên trong khi cả đám đông nầy đi qua. Vua qua khe Xết-rôn, và cả dân sự đều sơm tới trên con đường về đồng vắng.
Then Zadok came, and Abiathar, and with them the ark of God's agreement: and they put down the ark of God, till all the people from the town had gone by.|Ở đó cũng có Xa-đốc và hết thảy người Lê-vi khiêng hòm giao ước của Đức Chúa Trời. Họ để hòm của Đức Chúa Trời xuống đất, rồi A-bia-tha đi lên trước cho đến khi hết thảy dân sự đã ra khỏi thành xuống rồi.
And the king said to Zadok, Take the ark of God back into the town: if I have grace in the eyes of the Lord, he will let me come back and see it and his House again:|Vua bèn nói cùng Xa-đốc rằng: Hãy thỉnh hòm của Đức Chúa Trời vào trong thành. Nếu ta được ơn trước mặt Đức Giê-hô-va, ắt Ngài sẽ đem ta về, cho ta thấy lại hòm giao ước và nơi ngự của Ngài.
But if he says, I have no delight in you: then, here I am; let him do to me what seems good to him.|Nhưng nếu Ngài phán như vầy: Ta không ưa thích ngươi; thế thì, nguyện Ngài xử ta theo ý Ngài lấy làm tốt!
The king said further to Zadok the priest, See, you and Abiathar are to go back to the town in peace, with your two sons, Ahimaaz, your son, and Jonathan, the son of Abiathar.|Vua lại nói cùng thầy tế lễ Xa-đốc rằng: Nầy nghe, hãy trở về thành bình an, với A-bia-tha, A-hi-mát, và Giô-na-than, là hai con trai ngươi.
See, I will be waiting at the way across the river, in the waste land, till I get news from you.|Còn ta, ta sẽ đợi tại trong đồng bằng của sa mạc cho đến khi có kẻ bởi các ngươi đem tin báo cho ta.
So Zadok and Abiathar took the ark of God back to Jerusalem, and did not go away from there.|Ay vậy, Xa-đốc và A-bia-tha thỉnh hòm của Đức Chúa Trời về Giê-ru-sa-lem, và họ ở lại tại đó.
And David went up the slopes of the Mount of Olives weeping all the way, with his head covered and no shoes on his feet: and all the people who were with him, covering their heads, went up weeping.|Đa-vít trèo lên núi Ô-li-ve; người vừa leo lên vừa khóc, đầu trùm lại và chơn không. Hết thảy người đi theo cũng trùm đầu, vừa trèo lên vừa khóc.
And word came to David, saying, Ahithophel is among those who are joined to Absalom. And David said, O Lord, let the wisdom of Ahithophel be made foolish.|Người ta bèn đến nói cùng Đa-vít rằng: A-hi-tô-phe cũng hiệp đảng phản nghịch với Ap-sa-lôm. Đa-vít cầu rằng: Oi, Đức Giê-hô-va! xin làm cho những mưu chước của A-hi-tô-phe ra ngu dại.
Now when David had come to the top of the slope, where they gave worship to God, Hushai the Archite came to him in great grief with dust on his head:|Khi Đa-vít đã đi đến chót núi, tại nơi người ta thờ lạy Đức Chúa Trời, thì Hu-sai, người At-kít, đến đón người, áo xé rách và đầu đầy bụi đất.
David said to him, If you go on with me, you will be a trouble to me:|Đa-vít nói cùng người rằng: Nếu ngươi đến cùng ta, tất ngươi sẽ làm khó nhọc cho ta.
But if you go back to the town and say to Absalom, I will be your servant, O king; as in the past I have been your father's servant, so now I will be yours: then you will be able to keep Ahithophel's designs against me from being put into effect.|Nhưng nếu ngươi trở về thành, và nói cùng Ap-sa-lôm rằng: Oi vua! tôi là kẻ tôi tớ vua. Thuở trước tôi đã phục sự vua cha thể nào, bây giờ tôi sẽ phục sự vua thể ấy, vậy ngươi sẽ vì ta làm bại mưu chước của A-hi-tô-phe.
And have you not there Zadok and Abiathar the priests? so whatever comes to your ears from the king's house, give word of it to Zadok and Abiathar the priests.|Hai thầy tế lễ Xa-đốc và A-bia-tha sẽ đồng cùng ngươi. Phàm việc chi ngươi hay được về nhà vua, ngươi phải thuật cho hai thầy tế lễ Xa-đốc và A-bia-tha biết.
See, they have with them their two sons, Ahimaaz, Zadok's son, and Jonathan, the son of Abiathar; by them you may send word to me of everything which comes to your ears.|Hai người có hai đứa con trai theo mình, là A-hi-mát, con trai của Xa-đốc, và Giô-na-than, con trai của A-bia-tha; các ngươi phải dùng chúng nó để báo tin cho ta mọi điều mình sẽ nghe thấy.
So Hushai, David's friend, went into the town, and Absalom came to Jerusalem.|Vậy, Hu-sai, bạn hữu của Đa-vít, trở về thành đương khi Ap-sa-lôm vào trong Giê-ru-sa-lem.

					II Samuel 16				|
						II Sa-mu-ên 16					
And when David had gone a little way past the top of the slope, Ziba, the servant of Mephibosheth, came to him, with two asses on which were two hundred cakes of bread and a hundred stems of dry grapes and a hundred summer fruits and a skin of wine.|Đa-vít vừa trèo qua khỏi chót núi, thì Xíp-ba, tôi tớ của Mê-phi-bô-sết, đến đón vua với hai con lừa mang bành chở hai trăm ổ bánh, một trăm cái bánh nhỏ bằng trái nho, một trăm cái bánh nhỏ bằng trái vả, và một bầu rượu nho.
And David said to Ziba, What is your reason for this? And Ziba said, The asses are for the use of the king's people, and the bread and the fruit are food for the young men; and the wine is for drink for those who are overcome by weariness in the waste land.|Vua hỏi Xíp-ba rằng: Ngươi có ý dùng điều đó làm chi? Xíp-ba thưa rằng: Hai con lừa dùng làm vật cỡi cho nhà vua; bánh và trái nho dùng làm đồ ăn cho các người trai trẻ, còn rượu để dùng cho người kẻ mệt nhọc trong đồng vắng uống.
And the king said, And where is your master's son? And Ziba said, He is still at Jerusalem: for he said, Today Israel will give back to me the kingdom of my father.|Vua hỏi: Vậy, con trai của chủ ngươi đâu? Xíp-ba thưa: Người ở lại Giê-ru-sa-lem, vì nói rằng: Ngày nay nhà Y-sơ-ra-ên sẽ trả nước của cha ta lại cho ta.
Then the king said to Ziba, Truly everything which was Mephibosheth's is yours. And Ziba said, I give honour to my lord, may I have grace in your eyes, my lord, O king!|Vua bèn nói cùng Xíp-ba rằng: Thế thì, mọi vật thuộc về Mê-phi-bô-sết đều nên của ngươi. Xíp-ba tiếp: Nầy tôi phục dưới chơn vua. Vua ôi, ước gì tôi được ơn trước mặt vua chúa tôi!
And when King David came to Bahurim, a man of Saul's family named Shimei, the son of Gera, came out from there, calling curses after him.|Vua Đa-vít vừa đến Ba-hu-rim, thấy ở đó đi ra một người về dòng dõi nhà Sau-lơ, tên là Si-mê -i, con trai của Ghe-ra. Người vừa đi tới vừa rủa sả,
And he sent stones at David and at all the king's servants and at all the people and at all the men of war by his side, on the right hand and on the left.|ném đá vào Đa-vít và các tôi tớ của vua; cả dân sự và các dõng sĩ đều vây phủ vua bên hữu và bên tả.
And Shimei said, with curses, Be gone, be gone, you man of blood, you good-for-nothing:|Si-mê -i rủa sả Đa-vít như lời nầy: Ớ người huyết, người gian tà kia! hãy đi nà, hãy đi nà!
The Lord has sent punishment on you for all the blood of the family of Saul, whose kingdom you have taken; and the Lord has given the kingdom to Absalom, your son: now you yourself are taken in your evil, because you are a man of blood.|Người đã tự làm vua thay vì Sau-lơ, nên bây giờ Đức Giê-hô-va khiến những huyết của nhà người đổ lại trên ngươi; Ngài sẽ phó nước vào tay Ap-sa-lôm, con trai ngươi; và kìa, chính ngươi bị hoạn nạn, bởi vì ngươi là một người huyết.
Then Abishai, the son of Zeruiah, said to the king, Is this dead dog to go on cursing my lord the king? let me go over and take off his head.|Bấy giờ, A-bi-sai, con trai của Xê-ru-gia, tâu với vua rằng: Cớ sao con chó chết kia dám mắng vua chúa tôi? Hãy để tôi đi chém đầu nó.
And the king said, What have I to do with you, you sons of Zeruiah? Let him go on cursing, for the Lord has said, Put a curse on David, and who then may say, Why have you done so?|Nhưng vua đáp rằng: Hỡi các con trai Xê-ru-gia, ta có can hệ gì với các ngươi? Hãy để Si-mê -i rủa sả. Ay là Đức Giê-hô-va đã phán cùng người rằng: Hãy rủa sả Đa-vít. Vậy ai dám nói cùng người rằng: Cớ sao ngươi làm như vậy?
And David said to Abishai and to all his servants, You see how my son, the offspring of my body, has made designs against my life: how much more then may this Benjamite do so? Let him be, and let him go on cursing; for the Lord has given him orders.|Đoạn, Đa-vít nói với A-bi-sai và các tôi tớ mình rằng: Kìa, con ruột ta, là kẻ do lòng ta sanh ra, còn muốn hại mạng sống ta thay; phương chi người Bên-gia-min nầy! Hãy để cho nó làm, để nó rủa sả, vì Đức Giê-hô-va đã phán dặn nó làm vậy.
It may be that the Lord will take note of my wrongs, and give me back good in answer to his cursing of me today.|Có lẽ Đức Giê-hô-va sẽ đoái xem sự hoạn nạn ta, lấy phước trả lại thế cho sự rủa sả mà ta bị ngày nay.
So David and his men went on their way: and Shimei went by the hillside parallel with them, cursing and sending stones and dust at him.|Đa-vít và các tôi tớ người cứ đi; còn Si-mê -i đi theo hông núi, đối ngang Đa-vít. Người vừa đi vừa rủa sả Đa-vít, ném đá người, và hất bụi lên.
And the king and his people came tired to Jordan, and took their rest there.|Như vậy, vua và cả dân chúng theo vua đều mệt nhọc, đi đến một nơi, và nghỉ khỏe tại đó.
And Absalom and the men of Israel came to Jerusalem, and Ahithophel was with him.|Ap-sa-lôm và hết thảy người Y-sơ-ra-ên đều đã vào Giê-ru-sa-lem rồi, và A-hi-tô-phe theo người.
Then Hushai the Archite, David's friend, came to Absalom and said, Long life to the king, long life to the king!|Khi Hu-sai, người At-kít, bạn hữu của Đa-vít, đến bên Ap-sa-lôm, thì nói rằng: Vua vạn tuế! vua vạn tuế!
And Absalom said, Is this your love for your friend? why did you not go with your friend?|Ap-sa-lôm nói với Hu-sai rằng: Ay có phải là sự nhơn từ mà người dùng đãi bạn ngươi ư? Sao ngươi không đi theo bạn ngươi?
And Hushai said to Absalom, Not so; I am for that man whom the Lord and this people and all the men of Israel have taken as king, and I will take my place with him.|Hu-sai đáp cùng Ap-sa-lôm rằng: Không; tôi sẽ thuộc về ai là người được Đức Giê-hô-va lựa chọn, được dân sự nầy và cả nhà Y-sơ-ra-ên lựa chọn; tôi sẽ ở cùng người đó.
And more than this! where is my place as a servant? is it not before his son? as I have been your father's servant, so will I be yours.|Vả lại, ai là người tôi sẽ phục sự? Há chẳng phải con trai của vua ư? Tôi sẽ làm tôi tớ ông như đã làm tôi tớ của thân phụ ông vậy.
Then Absalom said to Ahithophel, Give your opinion now, what are we to do?|Ap-sa-lôm bèn nói cùng A-hi-tô-phe rằng: Hai ngươi hãy mưu cùng nhau đặng định đều chúng ta phải làm.
