
					Jeremiah 1				|
For the number of your gods is as the number of your towns, O Judah; and for every street in Jerusalem you have put up altars to the Baal for burning perfumes to the Baal.|Hỡi Giu-đa, ngươi có bao nhiêu thành, có bấy nhiêu thần; Giê-ru-sa-lem có bao nhiêu đường phố, các ngươi cũng lập bấy nhiêu bàn thờ cho vật xấu hổ, tức những bàn thờ đốt hương cho Ba-anh.
And as for you, make no prayers for this people, send up no cry or prayer for them: for I will not give ear to their cry in the time of their trouble.|Vậy ngươi chớ cầu thay cho dân nầy; chớ vì chúng nó lên tiếng kêu cầu; vì khi chúng nó nhơn cớ hoạn nạn mà kêu đến ta, ta chẳng thèm nghe.
About Judah. What have you to do in my house? is it your thought that oaths and holy flesh will get you out of your trouble? will you make yourself safe in this way?|Kẻ yêu dấu của ta đã làm nhiều sự dâm loạn, và thịt thánh đã cất khỏi ngươi, còn đến trong nhà ta làm chi? mà ngươi còn lấy làm vui trong khi phạm tội.
You had been named by the Lord, A branching olive-tree, fair with beautiful fruit: with the noise of a great rushing he has put it on fire and its branches are broken.|Xưa Đức Giê-hô-va vốn xưng nó là cây ô-li-ve xanh, trái tươi tốt đáng ưa! Nay có tiếng lớn inh ỏi, Ngài đốt lửa nơi cây ấy, những nhánh nó bị gãy.
For the Lord of armies, by whom you were planted, has given his decision for evil against you, because of the evil which the people of Israel and the people of Judah have done, In moving me to wrath by offering perfumes to the Baal.|Đức Giê-hô-va vạn quân, là Đấng đã vun trồng ngươi, nay đã phán định tai vạ nghịch cùng ngươi, vì cớ sự gian ác mà nhà Y-sơ-ra-ên và nhà Giu-đa đã làm cho mình khi chọc giận ta bởi họ dâng hương cho Ba-anh.
And the Lord gave me knowledge of it and I saw it: then you made clear to me their doings.|Đức Giê-hô-va đã cho tôi biết sự ấy, và tôi biết rồi: thì Ngài đã tỏ ra cho tôi việc làm của chúng nó.
But I was like a gentle lamb taken to be put to death; I had no thought that they were designing evil against me, saying, Come and let us make trouble his food, cutting him off from the land of the living, so that there may be no more memory of his name.|Còn tôi, như chiên con dễ biểu bị dắt đến chỗ giết, tôi chẳng biết họ mưu toan nghịch cùng tôi, mà rằng: Hãy diệt cả cây và trái, dứt khỏi đất người sống, hầu cho danh nó chẳng được nhớ đến nữa.
But, O Lord of armies, judging in righteousness, testing the thoughts and the heart, let me see your punishment come on them: for I have put my cause before you.|Hỡi Đức Giê-hô-va vạn quân! Ngài đoán xét cách công bình, dò xét lòng và trí, tôi sẽ thấy sự Ngài báo thù họ, vì tôi đã tỏ việc tôi cùng Ngài.
So this is what the Lord of armies has said about the men of Anathoth who have made designs against your life, saying, You are not to be a prophet in the name of the Lord, or death will overtake you by our hands:|Vậy nên Đức Giê-hô-va phán như vầy về người A-na-tốt, là kẻ đòi mạng sống ngươi, mà rằng: Nếu ngươi không muốn chết về tay ta, thì chớ nhơn danh Đức Giê-hô-va mà nói tiên tri!
So the Lord of armies has said, See, I will send punishment on them: the young men will be put to the sword; their sons and their daughters will come to death through need of food:|Vậy, Đức Giê-hô-va vạn quân phán như vầy: Nầy, ta sẽ phạt chúng nó; những người trai tráng sẽ chết bởi gươm dao, những con trai con gái nó sẽ chết bởi đói kém;
Not one of them will keep his life, for I will send evil on the men of Anathoth in the year of their punishment.|sẽ không có dân sót cho chúng nó; vì đến năm thăm phạt, ta sẽ giáng tai vạ trên người nam của A-na-tốt.

					Jeremiah 12				|
						Giê-rê-mi-a 12					
You are in the right, O Lord, when I put my cause before you: still let me take up with you the question of your decisions: why does the evil-doer do well? why are the workers of deceit living in comfort?|Hỡi Đức Giê-hô-va, tôi biện luận cùng Ngài, Ngài thật công bình; dầu vậy, tôi còn muốn biện luận cùng Ngài. Sao đường lối những kẻ ác được thạnh vượng? Sao những người gian trá được yên ổn?
They have been planted by you, they have taken root; they go on and give fruit: you are near in their mouths but far from their thoughts.|Ngài đã vun trồng họ; họ đã đâm rễ, lớn lên và ra trái. Miệng họ ở gần Ngài, song lòng họ cách xa Ngài.
But you, O Lord, have knowledge of me; you see me, searching and testing how my heart is with you: let them be pulled out like sheep to be put to death, make them ready for the day of death.|Hỡi Giê-hô-va, Ngài biết tôi, thấy tôi, thử xem lòng tôi đối với Ngài thể nào. Xin kéo những người ấy như con chiên bị dắt đến chỗ giết, biệt riêng họ ra cho ngày đánh giết!
How long will the land have grief, and the plants of all the land be dry? because of the sins of the people living in it, destruction has overtaken the beasts and the birds; because they said, God does not see our ways.|Trong xứ bị sầu thảm, cỏ ngoài đồng khô héo cho đến chừng nào? Vì cớ dân cư hung ác nên loài sinh súc và chim chóc đều bị diệt. Vì chúng nó nói rằng: Người sẽ chẳng thấy sự cuối cùng của chúng ta!
If running with the fighting-men has made you tired, how will you be able to keep up with horses? and if in a land of peace you go in flight, what will become of you in the thick growth of Jordan?|Nếu ngươi chạy thì với kẻ chạy bộ, mà còn mỏi mệt, thì làm sao thi được với ngựa? Khi trong xứ yên lặng, ngươi được an ổn, nhưng khi sông Giô-đanh tràn, thì ngươi sẽ làm thế nào?
For even your brothers, your father's family, even they have been untrue to you, crying loudly after you: have no faith in them, though they say fair words to you.|Chính anh em ngươi và nhà cha ngươi đương phản ngươi, chúng nó cũng kêu tiếng to sau ngươi nữa. Dầu chúng nó nói những lời lành, ngươi chớ nên tin!
I have given up my house, I have let my heritage go; I have given the loved one of my soul into the hands of her haters.|Ta đã lìa nhà ta; đã bỏ sản nghiệp ta; đã phó dân lòng ta rất yêu mến cho kẻ thù nghịch nó.
My heritage has become like a lion in the woodland to me; her voice has been loud against me; so I have hate for her.|Cơ nghiệp ta đối với ta như sư tử trong rừng, gầm thét nghịch cùng ta; cho nên ta lấy làm ghét.
My heritage is like a brightly coloured bird to me; the cruel birds are attacking her on every side: go, get together all the beasts of the field, make them come for destruction.|Cơ nghiệp ta há như chim kên kên vằn vện kia, các chim ăn thịt há vây lấy nó sao? Hãy đi nhóm các loài thú đồng lại, cho chúng nó cắn nuốt đi!
The keepers of sheep have been the destruction of my vine-garden, crushing my heritage under their feet; they have made my fair heritage an unplanted waste;|Nhiều kẻ chăn chiên đã phá vườn nho ta, giày đạp sản nghiệp ta dưới chơn, làm cho chỗ đất vui thích của ta thành ra rừng hoang.
They have made it waste; it is weeping to me, being wasted; all the land is made waste, because no man takes it to heart.|Người ta đã làm cho đất ấy ra hoang vu; nó bị phá hại, than thở trước mặt ta. Cả xứ đều hoang vu, vì chẳng ai để vào lòng.
Those who make waste have come on all the open hilltops in the waste land; for the sword of the Lord sends destruction from one end of the land to the other end of the land: no flesh has peace.|Những kẻ phá diệt đến trên các gò trọi nơi đồng vắng; vì gươm của Đức Giê-hô-va nuốt đất nầy từ đầu nầy đến đầu kia, chẳng có loài xác thịt nào được bình an.
Though good grain was planted, they have got in thorns: they have given themselves pain without profit: they will be shamed on account of their produce, because of the burning wrath of the Lord.|Chúng nó đã gieo lúa mình và gặt những gai gốc, khó nhọc mà chẳng được ích gì. Các ngươi sẽ hổ thẹn về hoa trái mình, vì cơn giận phừng phừng của Đức Giê-hô-va!
This is what the Lord has said against all my evil neighbours, who put their hands on the heritage which I gave my people Israel: See, I will have them uprooted from their land, uprooting the people of Judah from among them.|Đức Giê-hô-va phán như vầy: Mọi kẻ lân cận xấu của ta, là kẻ choán lấy sản nghiệp mà ta đã ban cho dân ta, là Y-sơ-ra-ên, làm kỉ vật; nầy, ta sẽ nhổ chúng nó khỏi đất mình, và nhổ nhà Giu-đa ra khỏi giữa chúng nó.
And it will come about that, after they have been uprooted, I will again have pity on them; and I will take them back, every man to his heritage and every man to his land.|Nhưng, khi ta đã nhổ đi, ta cũng sẽ trở lại thương xót chúng nó; khiến chúng nó ai nấy đều được lại sản nghiệp mình, và ai nấy đều về đất mình.
And it will be that, if they give their minds to learning the ways of my people, using my name in their oaths, By the living Lord; as they have been teaching my people to take oaths by the Baal; then their place will be made certain among my people.|Nếu chúng nó siêng năng học tập đường lối dân ta, nhơn danh ta mà thề rằng: Thật như Đức Giê-hô-va hằng sống! cũng như chúng nó đã dạy dân ta chỉ Ba-anh mà thề, bấy giờ chúng nó sẽ được gây dựng giữa dân ta.
But if they will not give ear, then I will have that nation uprooted, and given to destruction, says the Lord.|Nhưng nếu chúng nó không nghe, ta sẽ nhổ dân tộc đó đi, nhổ đi và làm cho diệt mất, Đức Giê-hô-va phán vậy.

					Jeremiah 13				|
						Giê-rê-mi-a 13					
This is what the Lord said to me: Go and get yourself a linen band and put it round you and do not put it in water.|Đức Giê-hô-va phán cùng tôi như vầy: Hãy đi, mua cho ngươi một cái đai gai, thắt vào lưng ngươi; nhưng chớ dầm trong nước.
So, as the Lord said, I got a band for a price and put it round my body.|Vậy tôi theo lịnh Đức Giê-hô-va, mua đai, thắt vào lưng tôi.
And the word of the Lord came to me a second time, saying,|Lời Đức Giê-hô-va truyền cho tôi lần thứ hai như vầy:
Take the band which you got for a price, which is round your body, and go to Parah and put it in a secret place there in a hole of the rock.|Hãy lấy cái đai ngươi đã mua đương thắt trên lưng ngươi; chờ dậy, đi đến bờ sông Ơ-phơ-rát, và giấu nó trong kẽ vầng đó tại đó.
So I went and put it in a secret place by Parah, as the Lord had said to me.|Tôi bèn đi giấu nó nơi bờ sông Ơ-phơ-rát, như Đức Giê-hô-va đã phán dặn.
Then after a long time, the Lord said to me, Up! go to Parah and get the band which I gave you orders to put there.|Sau đó nhiều ngày, Đức Giê-hô-va phán cùng tôi rằng: Hãy chờ dậy, đi đến bờ sông Ơ-phơ-rát, lấy cái đai ta đã khiến ngươi giấu tại đó.
So I went to Parah and, uncovering the hole, took the band from the place where I had put it away: and the band was damaged and of no use for anything.|Tôi đi đến sông Ơ-phơ-rát; đào và rứt cái đai ra từ chỗ tôi đã giấu trước kia. Nhưng cái đai hư hết, không dùng chi được nữa.
Then the word of the Lord came to me, saying,|Đoạn, lời của Đức Giê-hô-va phán cùng tôi rằng:
The Lord has said, In this way I will do damage to the pride of Judah and to the great pride of Jerusalem.|Đức Giê-hô-va phán nước: Ta sẽ làm hư sự kiêu ngạo của Giu-đa, và sự kiêu ngạo lớn của Giê-ru-sa-lem đồng một thể nầy.
These evil people who say they will not give ear to my words, who go on in the pride of their hearts and have become servants and worshippers of other gods, will become like this band which is of no use for anything.|Dân ác nầy chẳng khứng nghe lời ta, bước theo sự cứng cỏi của lòng mình, theo các thần khác mà hầu việc và thờ lạy, thì sẽ trở nên như cái đai nầy không còn dùng được việc gì.
For as a band goes tightly round a man's body, so I made all the people of Israel and all the people of Judah tightly united to me; so that they might be a people for me and a name and a praise and a glory: but they would not give ear.|Đức Giê-hô-va phán: Như cái đai dính vào lưng người, thì ta khiến cả nhà Y-sơ-ra-ên và cả nhà Giu-đa dính vào ta cũng vậy, đặng chúng nó làm dân ta, làm danh vọng, ca tụng, vinh quang ta; nhưng chúng nó chẳng khứng nghe.
So you are to say this word to them: This is the word of the Lord, the God of Israel: Every skin bottle will be full of wine; and they will say to you, Is it not quite clear to us that every skin bottle will be full of wine?|Ngươi khá bảo chúng nó lời nầy: Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên có phán rằng: Hễ là bình thì sẽ được đầy rượu. Chúng sẽ nói cùng ngươi rằng: Chúng tôi há chẳng biết các binh đều sẽ đầy rượu sao?
Then you are to say to them, The Lord has said, I will make all the people of this land, even the kings seated on David's seat, and the priests and the prophets and all the people of Jerusalem, overcome with strong drink.|Ngươi khá lại bảo rằng: Đức Giê-hô-va phán như vầy: Nầy, ta sẽ khiến hết thảy dân cư đất nầy, các vua ngồi trên ngai Đa-vít, các thầy tế lễ, các kẻ tiên tri, và hết thảy dân cư Giê-ru-sa-lem đều say sưa.
I will have them smashed against one another, fathers and sons together, says the Lord: I will have no pity or mercy, I will have no feeling for them to keep me from giving them to destruction.|Đức Giê-hô-va phán: Ta sẽ làm cho người nầy với kẻ khác, cha với con, chạm nhau; ta sẽ chẳng áy náy, chẳng dè nể, chẳng thương xót, chẳng chi ngăn ta hủy diệt chúng nó.
Give ear and let your ears be open; be not lifted up: for these are the words of the Lord.|Hãy nghe và lắng tai, đừng kiêu ngạo, vì Đức Giê-hô-va đã phán.
Give glory to the Lord your God, before he makes it dark, and before your feet are slipping on the dark mountains, and, while you are looking for a light, he makes it into deep dark, into black night.|Hãy dâng vinh quang cho Giê-hô-va Đức Chúa Trời các ngươi, trước khi Ngài chưa khiến sự tối tăm đến, trước khi chơn các ngươi chưa vấp trên những hòn núi mù mịt. Bấy giờ các ngươi đợi ánh sáng, nhưng Ngài sẽ đổi nó ra bóng sự chết, hóa nên bóng tối mờ.
But if you do not give ear to it, my soul will be weeping in secret for your pride; my eye will be weeping bitterly, streaming with water, because the Lord's flock has been taken away as prisoners.|Nếu các ngươi chẳng nghe, linh hồn ta sẽ khóc thầm về sự kiêu ngạo các ngươi. Thật, mắt ta sẽ khóc nhiều, giọt lụy tuôn rơi, vì bầy của Đức Giê-hô-va bị bắt đi.
Say to the king and to the queen-mother, Make yourselves low, be seated on the earth: for the crown of your glory has come down from your heads.|Hãy tâu cùng vua và thái hậu rằng: Xin hãy hạ mình, mà ngồi dưới đất; vì mão triều thiên vinh hiển trên đầu đã rớt xuống rồi.
The towns of the south are shut up, and there is no one to make them open: Judah is taken away as prisoners; all Judah is taken away as prisoners.|Các thành phương nam đều đóng lại, chẳng ai mở ra. Giu-đa bị bắt đem đi, cả họ đều bị bắt đem đi.
Let your eyes be lifted up (O Jerusalem), and see those who are coming from the north. Where is the flock which was given to you, your beautiful flock?|hãy ngước mắt lên; xem những kẻ đến từ phương bắc. Chớ nào bầy chiên đẹp đẽ đã được ban cho ngươi ở đâu?
What will you say when he puts over you those whom you yourself have made your friends? will not pains take you like a woman in childbirth?|Khi Đức Giê-hô-va lập những người mà ngươi đã dạy làm bạn hữu lên làm đầu ngươi, thì ngươi sẽ nói làm sao? Sự buồn rầu há chẳng bắt lấy ngươi như bắt lấy đờn bà sanh đẻ?
And if you say in your heart, Why have these things come on me? because of the number of your sins, your skirts have been uncovered and violent punishment overtakes you.|Và nếu ngươi tự nói trong lòng rằng: Cớ sao điều nầy xảy đến cho ta? Ay là vì tội ác ngươi lớn lắm, nên vạt áo ngươi bị tốc lên, và gót chơn ngươi bị giập.
Is it possible for the skin of the Ethiopian to be changed, or the markings on the leopard? Then it might be possible for you to do good, who have been trained to do evil.|Người Ê-thi-ô-bi có thể đổi được da mình, hay là con beo đổi được vằn nó chăng? Nếu được thì các ngươi là kẻ đã làm dữ quen rồi, sẽ làm lành được.
So I will send them in all directions, as dry grass is taken away by the wind of the waste land.|Vậy ta sẽ làm cho các ngươi tan lạc như rơm rác bị gió nơi đồng vắng đùa đi.
This is your fate, the part measured out to you by me, says the Lord, because you have put me out of your memory and put your faith in what is false.|Đức Giê-hô-va phán: Đó là phần ngươi, phần ta lường cho ngươi, vì ngươi đã quên ta và trông cậy sự giả dối.
So I will have your skirts uncovered before your face, in order that your shame may be seen.|Ta cũng sẽ tốc vạt áo ngươi lên trên mặt ngươi, thì sự xấu hổ ngươi sẽ bày tỏ.
I have seen your disgusting acts, even your false behaviour and your cries of desire and your loose ways on the hills in the field. Unhappy are you, O Jerusalem, you have no desire to be made clean; how long will you be in turning back to me?|Những sự gớm ghiếc, tức là sự dâm dục, và tiếng hí ngươi, tội ác tà dâm ngươi trên các gò đồng ruộng, thì ta đã thấy hết. Hỡi Giê-ru-sa-lem, khiến thay cho ngươi! Ngươi chẳng khứng làm sạch mình cho đến chừng nào?

					Jeremiah 14				|
						Giê-rê-mi-a 14					
The word of the Lord came to Jeremiah when there was no water.|Có lời Đức Giê-hô-va phán cùng Giê-rê-mi về sự hạn hán.
Judah is weeping and its doors are dark with sorrow, and people are seated on the earth clothed in black; and the cry of Jerusalem has gone up.|Giu-đa đương sầu thảm, cửa thành suy bại, chúng nó đều mặc áo đen ngồi trên đất; và tiếng kêu của Giê-ru-sa-lem vang lên.
Their great men have sent their servants for water: they come to the holes and there is no water to be seen; they come back with nothing in their vessels; they are overcome with shame and fear, covering their heads.|Những người sang sai kẻ hèn đi tìm nước; đi đến hồ và tìm không được, xách bình không mà trở về; thẹn thuồng xấu hổ, và che đầu lại.
Those who do work on the land are in fear, for there has been no rain on the land, and the farmers are shamed, covering their heads.|Vì cớ đất đều nẻ hết, bởi không có mưa xuống trong xứ, người cầm cày xấu hổ và trùm đầu lại.
And the roe, giving birth in the field, lets her young one be uncared for, because there is no grass.|Nai cái đẻ con ra trong đồng và bỏ đi, vì không có cỏ.
And the asses of the field on the open hilltops are opening their mouths wide like jackals to get air; their eyes are hollow because there is no grass.|Những lừa rừng đứng trên các gò trọi, hít hơi như chó đồng, vì không cỏ nên mắt lòa.
Though our sins give witness against us, do something, O Lord, for the honour of your name: for again and again we have been turned away from you, we have done evil against you.|Hỡi Đức Giê-hô-va, dầu tội ác chúng tôi làm chứng nghịch cùng chúng tôi, xin Ngài vì danh mình mà làm! Sự bội nghịch của chúng tôi nhiều lắm; chúng tôi đã phạm tội nghịch cùng Ngài.
O you hope of Israel, its saviour in time of trouble, why are you like one who is strange in the land, and like a traveller putting up his tent for a night?|Ngài là sự trông cậy của Y-sơ-ra-ên, là Đấng cứu trong khi hoạn nạn, sao Ngài như một người trú ngụ ở trong đất, như người bộ hành căng trại ngủ đậu một đêm?
Why are you like a man surprised, like a man of war who is not able to give help? but you, O Lord, are with us, and we are named by your name; do not go away from us.|Sao Ngài như người thất kinh, như người mạnh dạn chẳng có thể giải cứu? Hỡi Đức Giê-hô-va! dầu vậy, Ngài vẫn ở giữa chúng tôi! Chúng tôi được xưng bằng danh Ngài, xin đừng lìa bỏ chúng tôi!
This is what the Lord has said about this people: Even so they have been glad to go from the right way; they have not kept their feet from wandering, so the Lord has no pleasure in them; now he will keep their wrongdoing in mind and send punishment for their sins.|Đức Giê-hô-va phán với dân nầy như vầy: Chúng nó ưa đi dông dài, chẳng ngăn cấm chơn mình, nên Đức Giê-hô-va chẳng nhận lấy chúng nó. Bây giờ Ngài nhớ đến sự hung ác chúng nó và thăm phạt tội lỗi.
And the Lord said to me, Make no prayer for this people for their good.|Đức Giê-hô-va lại phán cùng tôi rằng: Chớ cầu sự lành cho dân nầy.
When they go without food, I will not give ear to their cry; when they give burned offerings and meal offerings, I will not take pleasure in them: but I will put an end to them by the sword and by need of food and by disease.|Khi chúng nó kiêng ăn, ta sẽ chẳng nghe lời khấn nguyện của chúng nó; khi chúng nó dâng của lễ thiêu và của lễ chay, ta chẳng nhậm đâu; nhưng ta sẽ diệt chúng nó bởi gươm dao, đói kém, và ôn dịch.
Then I said, Ah, Lord God! see, the prophets say to them, You will not see the sword or be short of food; but I will give you certain peace in this place.|Tôi bèn thưa rằng: Oi! hỡi Chúa Giê-hô-va, nầy các tiên tri bảo họ rằng: Các ngươi sẽ không thấy gươm dao, sẽ chẳng có đói kém; nhưng ta sẽ ban sự bình an bần lâu cho các ngươi ở trong miền nầy.
Then the Lord said to me, The prophets say false words in my name, and I gave them no orders, and I said nothing to them: what they say to you is a false vision and wonder-working words without substance, the deceit of their hearts.|Đức Giê-hô-va lại phán cùng tôi rằng: Ay là những lời nói dối, mà các tiên tri đó nhơn danh ta truyền ra. Ta chẳng từng sai họ đi, chẳng từng truyền lịnh và chẳng từng phán cùng họ. Họ nói tiên tri đó là theo những sự hiện thấy giả dối, sự bói khoa, sự hư không, và sự lừa gạt bởi lòng riêng mình!
So this is what the Lord has said about the prophets who make use of my name, though I sent them not, and say, The sword and need of food will not be in this land: the sword and need of food will put an end to those prophets.|Vậy nên, Đức Giê-hô-va phán về những kẻ tiên tri chẳng bởi ta sai đến, mà nói tiên tri nhơn danh ta, rằng: Trong đất nầy sẽ chẳng có gươm dao và đói kém! Chính các tiên tri đó sẽ bị diệt bởi gươm dao và đói kém.
And the people to whom they are prophets will be pushed out dead into the streets of Jerusalem, because there is no food, and because of the sword; and they will have no one to put their bodies into the earth, them or their wives or their sons or their daughters: for I will let loose their evil-doing on them.|Những kẻ mà họ truyền lời tiên tri ấy cho, sẽ cùng vợ, con trai, con gái mình vì gươm dao đói kém bị ném ngoài đường phố Giê-ru-sa-lem, chẳng có ai chôn cất, vì ta sẽ khiến điều ác chúng nó đã làm lại đổ về mình!
And you are to say this word to them, Let my eyes be streaming with water night and day, and let it not be stopped; for the virgin daughter of my people is wounded with a great wound, with a very bitter blow.|Ngươi khá bảo cho chúng nó lời nầy: Mắt ta rơi lụy đêm ngày chẳng thôi; vì gái đồng trinh của dân ta bị tồi tàn, bị thương rất là đau đớn.
If I go out into the open country, there are those put to death by the sword! and if I go into the town, there are those who are diseased from need of food! for the prophet and the priest go about in the land and have no knowledge.|Nếu ta ra nơi đồng ruộng, thì thấy những người bị gươm đâm; nếu ta vào trong thành, thì thấy những kẻ đau ốm vì sự đói kém. Chính các đấng tiên tri và các thầy tế lễ đi dạo trong đất mình, cũng không có sự hiểu biết.
Have you completely given up Judah? is your soul turned in disgust from Zion? why have you given us blows from which there is no one to make us well? we were looking for peace, but no good came; and for a time of well-being, but there was only a great fear.|Vậy thì Ngài đã bỏ hết Giu-đa sao? Lòng Ngài đã gớm ghét Si-ôn sao? Làm sao Ngài đã đánh chúng tôi, không phương chữa lành? Đương đợi sự bình an mà chẳng có sự lành; đương trông kỳ lành bịnh, mà gặp sự kinh hãi.
We are conscious, O Lord, of our sin and of the wrongdoing of our fathers: we have done evil against you.|Hỡi Đức Giê-hô-va, chúng tôi nhìn biết điều ác chúng tôi và tội lỗi của tổ phụ chúng tôi, vì chúng tôi đều phạm tội nghịch cùng Ngài.
Do not be turned from us in disgust, because of your name; do not put shame on the seat of your glory: keep us in mind, let not your agreement with us be broken.|Xin hãy vì danh Ngài, chớ chán chúng tôi, và chớ để nhục ngôi vinh hiển của Ngài! Xin Ngài nhớ lời giao ước với chúng tôi mà chớ hủy.
Are any of the false gods of the nations able to make rain come? are the heavens able to give showers? are you not he, O Lord our God? so we will go on waiting for you, for you have done all these things.|Trong những sự hư vô của dân ngoại, há có quyền làm mưa được sao? có phải từ trời xuống mưa được chăng? Hỡi Giê-hô-va Đức Chúa Trời chúng tôi, Ngài há chẳng phải là Đấng đó? Vậy nên chúng tôi sẽ trông đợi Ngài, vì Ngài đã làm ra mọi sự ấy.

					Jeremiah 15				|
						Giê-rê-mi-a 15					
Then the Lord said to me, Even if Moses and Samuel came before me, I would have no desire for this people: send them away from before me, and let them go.|Đức Giê-hô-va bèn phán cùng tôi rằng: Dầu Môi-se và Sa-mu-ên đứng trước mặt ta, nhưng lòng ta cũng chẳng hướng về dân nầy. Hãy đuổi chúng nó khỏi trước mặt ta, cho chúng nó đi ra.
And it will be, when they say to you, Where are we to go? then you are to say to them, The Lord has said, Such as are for death, to death; and such as are for the sword, to the sword; and such as are to be in need of food, to need of food; and such as are to be taken away prisoners, to be taken away.|Sẽ xảy ra khi chúng nó khỏi ngươi rằng: Chúng tôi sẽ đi đâu? thì hãy bảo chúng nó rằng: Đức Giê-hô-va phán như vầy: Ai đã được định cho chết, hãy chịu chết; ai đã được định cho phải gươm dao, hãy chịu gươm dao; ai đã được định cho phải đói kém, hãy chịu đói kém; ai đã được định cho sự phu tù, hãy chịu phu tù.
And I will put over them four divisions, says the Lord: the sword causing death, dogs pulling the dead bodies about, and the birds of heaven, and the beasts of the earth to take their bodies for food and put an end to them.|Đức Giê-hô-va phán: Ta sẽ giáng cho chúng nó bốn thứ tai vạ; gươm để giết, chó để xé, chim trời và loài thú trên đất để nuốt và diệt đi.
And I will make them a cause of fear to all the kingdoms of the earth, because of Manasseh, the son of Hezekiah, king of Judah, and what he did in Jerusalem.|Vì cớ Ma-na-se, con trai Ê-xê-chia, vua Giu-đa, và vì những sự nó đã làm trong thành Giê-ru-sa-lem, ta sẽ khiến chúng nó bị ném đi ném lại trong các nước thiên hạ.
For who will have pity on you, O Jerusalem? and who will have sorrow for you? or who will go out of his way to see how you are?|Hỡi Giê-ru-sa-lem, ai sẽ thương xót ngươi được sao? ai sẽ than tiếc? ai sẽ xây lại mà hỏi thăm ngươi?
You have given me up, says the Lord, you have gone back: so my hand is stretched out against you for your destruction; I am tired of changing my purpose.|Đức Giê-hô-va phán: Ngươi đã bỏ ta, đã xây lại đằng sau, nên ta đã giang tay trên ngươi, để diệt ngươi. Ta đã chán sự đổi ý.
And I have sent a cleaning wind on them in the public places of the land; I have taken their children from them; I have given my people to destruction; they have not been turned from their ways.|Ta đã lấy nia sảy chúng nó nơi cửa các thành đất nầy. Ta đã cất mất con cái chúng nó và diệt dân ta, mà chúng nó cũng chẳng trở lại khỏi đường lối mình.
I have let their widows be increased in number more than the sand of the seas: I have sent against them, against the mother and the young men, one who makes waste in the heat of the day, causing pain and fears to come on her suddenly.|Những đờn bà góa nó thêm lên nhiều hơn cát biển. Ta đã khiến kẻ thù hủy diệt giữa ban ngày, nghịch cùng mẹ kẻ trai trẻ. Ta đã khiến sự sầu não kinh hãi lắm trên nó thình lình.
The mother of seven is without strength; her spirit is gone from her, her sun has gone down while it is still day: she has been shamed and overcome: and the rest of them I will give up to the sword before their haters, says the Lord.|Đờn bà đã sanh bảy con, thấy mình mòn mỏi, hầu trút linh hồn; khi còn ban ngày, mặt trời nó đã lặn; nó phải sỉ nhục và hổ thẹn; còn những con cái sót lại, thì ta sẽ phó cho gươm của kẻ nghịch thù chúng nó, Đức Giê-hô-va phán vậy.
Sorrow is mine, my mother, because you have given birth to me, a cause of fighting and argument in all the earth! I have not made men my creditors and I am not in debt to any, but every one of them is cursing me.|Hỡi mẹ tôi ơi, khốn nạn cho tôi! Mẹ đã sanh ra tôi làm người mắc phải sự tranh đua cãi lẫy trong cả đất? Tôi vốn không cho ai vay mượn, cũng chẳng vay mượn ai; dầu vậy, mọi người nguyền rủa tôi.
...|Nhưng Đức Giê-hô-va phán: Thật ta sẽ bổ sức cho ngươi được phước. Trong khi gặp tai vạ hoạn nạn, thật ta sẽ khiến kẻ thù nghịch đến cầu xin ngươi.
Is it possible for iron to be broken; even iron from the north, and brass?|Sắt và đồng của phương bắc, người ta có thể bẻ gãy được sao?
I will give your wealth and your stores to your attackers, without a price, because of all your sins, even in every part of your land.|Vì cớ mọi tội lỗi các ngươi, trong cả địa phận mình, ta sẽ phó của cải châu báu các ngươi cho sự cướp bóc, chẳng trả giá lại.
They will go away with your haters into a land which is strange to you: for my wrath is on fire with a flame which will be burning on you.|Ta sẽ làm cho những đồ ấy đi với kẻ thù ngươi qua một đất mà ngươi không biết, vì lửa giận của ta đã cháy lên, đặng thiêu hủy các ngươi.
O Lord, you have knowledge: keep me in mind and come to my help, and give their right reward to those who are attacking me; take me not away, for you are slow to be angry: see how I have undergone shame because of you from all those who make little of your word;|Hỡi Đức Giê-hô-va! Ngài hiểu biết. Xin hãy nhớ đến tôi, thăm viếng tôi, và trả thù những kẻ bắt bớ cho tôi. Xin chớ cất tôi đi trong sự nhịn nhục Ngài; xin biết cho rằng tôi vì Ngài chịu nhuốc nha!
But to me your word is a joy, making my heart glad; for I am named by your name, O Lord God of armies.|Tôi vừa nghe những lời Ngài, thì đã ăn lấy rồi; lời Ngài là sự vui mừng hớn hở của lòng tôi vậy. Hỡi Giê-hô-va Đức Chúa Trời vạn quân, vì tôi được xưng bằng danh Ngài!
I did not take my seat among the band of those who are glad, and I had no joy; I kept by myself because of your hand; for you have made me full of wrath.|Tôi chẳng ngồi trong đám hội kẻ vui chơi mừng rỡ; nhưng tôi ngồi một mình vì tay Ngài; vì Ngài đã làm cho tôi đầy sự giận.
