
					I Samuel 1				|
And the men of Israel said, Have you seen this man? Clearly he has come out to put shame on Israel: and it is certain that if any man overcomes him, the king will give that man great wealth, and will give him his daughter, and make his father's family free in Israel.|Các ngươi có thấy người đó xơm tới chăng? Hắn đến đặng sỉ nhục Y-sơ-ra-ên. Nếu ai giết được hắn, thì vua sẽ ban thưởng nhiều của cải, gả con gái mình cho người đó, và miễn xâu thuế cho nhà cha người ấy trong Y-sơ-ra-ên.
And David said to the men near him, What will be done to the man who overcomes this Philistine and takes away the shame from Israel? for who is this Philistine, a man without circumcision, that he has put shame on the armies of the living God?|Đa-vít hỏi những người ở gần mình rằng: Người ta sẽ đãi thể nào cho kẻ giết được người Phi-li-tin nầy, và cất sự sỉ nhục khỏi Y-sơ-ra-ên? Vì người Phi-li-tin nầy, kẻ chẳng chịu phép cắt bì nầy, là ai, mà lại dám sỉ nhục đạo binh của Đức Chúa Trời hằng sống?
And the people gave him this answer, So it will be done to the man who overcomes him.|Người ta lấy lời thường nói ấy mà đáp cùng người rằng: Ai giết được hắn thì phần thưởng sẽ là như vậy.
And Eliab, his oldest brother, hearing what David said to the men, was moved to wrath against David, and said, Why have you come here? Into whose care have you given that little flock of sheep in the waste land? I have knowledge of your pride and the evil of your heart, you have come down to see the fight.|Nhưng Ê-li-háp, anh cả người, nghe Đa-vít nói như vậy, nổi giận người mà nói rằng: Cớ sao mày đến đây? Mày bỏ ít con chiên của chúng ta trong đồng vắng cho ai? Tao biết tánh kiêu ngạo và sự độc ác của lòng mày. Ay đặng xem tranh chiến nên mày mới đến.
And David said, What have I done now? was it not only a word?|Đa-vít đáp rằng: Vậy, tôi có làm chi đâu? Ay chỉ là một câu hỏi thôi?
And turning away from him to one of the other men, he said the same words: and the people gave him the same answer.|Người dan xa anh mình, lặp hỏi những người khác cũng một câu ấy, thì người ta đáp như lần thứ nhứt.
And, hearing what David said, they gave Saul word of it: and he sent for him.|Có người nghe các lời Đa-vít nói, bèn thuật lại cho Sau-lơ hay; Sau-lơ đòi người đến.
And David said to Saul, Let no man's heart become feeble because of him; I, your servant, will go out and have a fight with this Philistine.|Đa-vít thưa với Sau-lơ rằng: Xin chớ ai ngã lòng vì cớ người Phi-li-tin kia! Kẻ tôi tớ vua sẽ đi đấu địch cùng hắn.
And Saul said to David, You are not able to go out against this Philistine and have a fight with him: for you are only a boy, and he has been a man of war from his earliest days.|Sau-lơ đáp cùng Đa-vít rằng: Ngươi chẳng thế đi đấu địch cùng người Phi-li-tin kia, vì ngươi chỉ là một đứa con trẻ, còn hắn là một tay chiến sĩ từ thuở còn thơ.
And David said to Saul, Your servant has been keeper of his father's sheep; and if a lion or a bear came and took a lamb from the flock,|Đa-vít tâu cùng Sau-lơ rằng: Khi tôi tớ vua chăn chiên của cha mình, hễ có sư tử hay là con gấu đến tha một con chiên của bầy.
I went out after him, and overcame him, and took it out of his mouth: and if, turning on me, he came at me, I took him by the hair and overcame him and put him to death.|thì tôi đuổi theo, đánh nó, rứt con chiên khỏi miệng nó; hễ nó cất lên cự tôi, tôi nắm râu nó, đánh và giết nó đi.
Your servant has overcome lion and bear: and the fate of this Philistine, who is without circumcision, will be like theirs, seeing that he has put shame on the armies of the living God.|Tôi tớ vua đã đánh chết con sư tử và con gấu, vậy thì người Phi-li-tin không chịu phép cắt bì kia cũng sẽ đồng số phận với chúng nó; vì hắn sỉ nhục các đạo binh của Đức Chúa Trời hằng sống.
And David said, The Lord, who kept me safe from the grip of the lion and the bear, will be my saviour from the hands of this Philistine. And Saul said to David, Go! and may the Lord be with you.|Đa-vít lại nói: Đức Giê-hô-va đã giải cứu tôi khỏi vấu sư tử và khỏi cẳng gấu, ắt sẽ giải cứu tôi khỏi tay người Phi-li-tin kia. Sau-lơ đáp rằng: Hãy đi, nguyện Đức Giê-hô-va ở cùng ngươi!
Then Saul gave David his clothing of war, and put a head-dress of brass on his head and had him clothed with a coat of metal.|Sau-lơ lấy áo chiến mình mặc cho Đa-vít, đội cái mão đồng lên đầu người, và mặc áo giáo cho người.
And David took Saul's sword and put the band round him over the metal coat, and was unable to go forward; for he was not used to them. Then David said to Saul, It is not possible for me to go out with these, for I am not used to them. So David took them off.|Đa-vít đeo gươm của Sau-lơ ở trên áo chiến và tập đi thử, vì không có thói quen. Nhưng người nói cùng Sau-lơ rằng: Tôi không thế mang khí giới nầy mà đi được; vì tôi không có thói quen. Đa-vít bèn cổi áo ấy ra,
Then he took his stick in his hand, and got five smooth stones from the bed of the stream and put them in a bag such as is used by sheep-keepers; and in his hand was a leather band used for sending stones: and so he went in the direction of the Philistine.|cầm một cây gậy, lựa dưới khe năm cục đá bóng láng, để trong cái túi chăn chiên mình vẫn có, và cái trành ném đá ở nơi tay, rồi xơm tới người Phi-li-tin.
And the Philistine came nearer to David; and the man who had his body-cover went before him.|Người Phi-li-tin cũng xơm tới, đến gần Đa-vít, có kẻ vác binh khí đi trước.
And when the Philistine, taking note, saw David, he had a poor opinion of him: for he was only a boy, red-haired and good-looking.|Người Phi-li-tin xem Đa-vít, thấy người còn trẻ, nước da hồng hồng, mặt đẹp đẽ, thì khinh người.
And the Philistine said to David, Am I a dog, that you come out to me with sticks? And the Philistine put curses on David by all his gods.|Người Phi-li-tin nói cùng Đa-vít rằng: Ta há là một con chó nên người cầm gậy đến cùng ta? Người Phi-li-tin bắt danh các thần mình mà rủa sả Đa-vít,
And the Philistine said to David, Come here to me, and I will give your flesh to the birds of the air and the beasts of the field.|và tiếp rằng: Hãy lại đây, ta sẽ ban thịt ngươi cho chim trời và thú đồng.
Then David said to the Philistine, You come to me with a sword and a spear and a javelin: but I come to you in the name of the Lord of armies, the God of the armies of Israel on which you have put shame.|Đa-vít đáp cùng người Phi-li-tin rằng: Ngươi cầm gươm, giáo, lao mà đến cùng ta; còn ta, ta nhơn danh Đức Giê-hô-va vạn binh mà đến, tức là Đức Chúa Trời của đạo binh Y-sơ-ra-ên, mà ngươi đã sỉ nhục.
This day the Lord will give you up into my hands, and I will overcome you, and take your head off you; and I will give the bodies of the Philistine army to the birds of the air and the beasts of the earth today, so that all the earth may see that Israel has a God;|Ngày nay Đức Giê-hô-va sẽ phó ngươi vào tay ta, ta sẽ giết ngươi, cắt đầu ngươi, và ngày nay ban thây của đạo binh Phi-li-tin cho chim trời và thú vật của đất.
And all these people who are here today may see that the Lord does not give salvation by sword and spear: for the fight is the Lord's, and he will give you up into our hands.|Khắp thế gian sẽ biết rằng Y-sơ-ra-ên có một Đức Chúa Trời; và quân lính nầy sẽ thấy rằng Đức Giê-hô-va không giải cứu bằng gươm, hoặc bằng giáo; vì Đức Giê-hô-va là Chúa của chiến trận, và Ngài sẽ phó các ngươi vào tay chúng ta.
Now when the Philistine made a move and came near to David, David quickly went at a run in the direction of the army, meeting the Philistine face to face.|Xảy khi người Phi-li-tin đứng dậy, xơm tới đón Đa-vít, Đa-vít vội vàng chạy về hướng hàng trận quân nghịch đặng đón người Phi-li-tin.
And David put his hand in his bag and took out a stone and sent it from his leather band straight at the Philistine, and the stone went deep into his brow, and he went down to the earth, falling on his face.|Đa-vít thò tay vào túi mình, lấy một cục đá, ném nó bằng trành, trúng nơi trán người Phi-li-tin. Cục đá lọt thấu trong trán, Gô-li-át té úp mặt xuống đất.
So David overcame the Philistine with his leather band and a stone, wounding the Philistine and causing his death: but David had no sword in his hand.|Như vậy Đa-vít thắng được người Phi-li-tin bằng cái trành nắm đá và cục đá, đánh chết hắn mà không có gươm nơi tay.
So running up to the Philistine and putting his foot on him, David took his sword out of its cover, and put him to death, cutting off his head with it. And when the Philistines saw that their fighter was dead, they went in flight.|Đoạn, Đa-vít chạy lại, xông vào mình người Phi-li-tin, lấy gươm của hắn và rút ra khỏi vỏ, giết hắn, và cắt đầu đi. Dân Phi-li-tin thấy kẻ lực sĩ mình đã chết, thì chạy trốn.
And the men of Israel and of Judah got up, and gave a cry, and went after the Philistines as far as Gath and the town doors of Ekron. And the wounded of the Philistines were falling down by the road from Shaaraim all the way to Gath and Ekron.|Bấy giờ, người Y-sơ-ra-ên và Giu-đa dấy lên, hò hét, đuổi theo dân Phi-li-tin cho đến cửa thành Gát và Ec-rôn; người Phi-li-tin bị thương ngã chết đầy đường Sa-ra-gim cho đến Gát và Ec-rôn.
Then the children of Israel came back from going after the Philistines, and took their goods from the tents.|Dân Y-sơ-ra-ên, sau khi đã rượt đuổi dân Phi-li-tin rồi, thì trở về cướp phá trại quân chúng nó.
And David took the head of the Philistine to Jerusalem, but the metal war-dress and the arms he put in his tent.|Đa-vít lấy thủ cấp của người Phi-li-tin đem đến Giê-ru-sa-lem; nhưng để binh khí Gô-li-át lại trong trại mình.
And when Saul saw David going out against the Philistine, he said to Abner, the captain of the army, Abner, whose son is this young man? And Abner said, On your life, O king, I have no idea.|Sau-lơ thấy Đa-vít đón đánh người Phi-li-tin, thì có hỏi quan tổng binh Ap-ne, rằng: Hỡi Ap-ne, người trai trẻ đó là con trai của ai? Ap-ne thưa rằng: Oi vua! tôi xin chỉ linh hồn vua mà thề, tôi chẳng biết.
And the king said, Make search and see whose son this young man is.|Vua nói cùng người rằng: Hãy hỏi thăm gã trai trẻ ấy là con của ai.
And when David was coming back after the destruction of the Philistine, Abner took him to Saul, with the head of the Philistine in his hand.|Khi Đa-vít đã giết người Phi-li-tin trở về, thì Ap-ne rước người, dẫn đến trước mặt Sau-lơ. Đa-vít đương xách thủ cấp của người Phi-li-tin nơi tay.
And Saul said to him, Young man, whose son are you? And David in answer said, I am the son of your servant Jesse of Beth-lehem.|Sau-lơ nói cùng người rằng: Hỡi gã trai trẻ, ngươi là con ai? Đa-vít thưa rằng: Tôi là con Y-sai, tôi tớ của vua, ở tại Bết-lê-hem.

					I Samuel 18				|
						I Sa-mu-ên 18					
Now after David's talk with Saul was ended, the soul of Jonathan was joined with the soul of David, and David became as dear to him as his very life.|Đa-vít vừa tâu xong cùng Sau-lơ, thì lòng của Giô-na-than khế hiệp cùng lòng Đa-vít, đến đỗi Giô-na-than yêu mến Đa-vít như mạng sống mình.
And that day Saul took David and would not let him go back to his father's house.|Từ ngày đó, Sau-lơ rước Đa-vít về đền mình, không cho trở về nhà cha người nữa.
Then Jonathan and David made an agreement together, because of Jonathan's love for David.|Giô-na-than kế hiệp cùng Đa-vít, bởi vì yêu mến người như mạng sống mình.
And Jonathan took off the robe he had on and gave it to David, with all his military dress, even to his sword and his bow and the band round his body.|Người cổi áo mình mặc mà trao cho Đa-vít, luôn với áo xống khác, cho đến gươm, cung, và đai của mình nữa.
And David went wherever Saul sent him, and did wisely: and Saul put him at the head of his men of war, and this was pleasing to all the people as well as to Saul's servants.|Đa-vít đi đánh giặc nhiều: bất luận nơi nào Sau-lơ sai người đi, thì đều được việc, nên Sau-lơ đặt người làm đầu chiến sĩ; người đẹp ý bá tánh và những tôi tớ của Sau-lơ.
Now on their way, when David came back after the destruction of the Philistine, the women came out of all the towns of Israel, with songs and dances, meeting David with melody and joy and instruments of music.|Khi Đa-vít đã giết được người Phi-li-tin, trở về cùng đạo binh, thì những người nữ của các thành Y-sơ-ra-ên đi ra đón Sau-lơ, hát múa, đánh trống cơm, gõ nhịp, và reo tiếng vui mừng.
And the women, answering one another in their song, said, Saul has put to death his thousands and David his tens of thousands.|Những người múa đối đáp nhau rằng: Sau-lơ giết hàng ngàn, Còn Đa-vít giết hàng vạn!
And Saul was very angry and this saying was unpleasing to him; and he said, They have given David credit for tens of thousands, and to me for only thousands: what more is there for him but the kingdom?|Sau-lơ lấy làm giận lắm, và các lời nầy không đẹp lòng người. Người nói: Người ta cho Đa-vít hàng vạn, còn ta hàng ngàn; chỉ còn thiếu cho nó ngôi nước mà thôi!
And from that day Saul was looking with envy on David.|Kể từ ngày ấy, Sau-lơ thường ngó Đa-vít cách giận.
Now on the day after, an evil spirit from God came on Saul with great force and he was acting like a prophet among the men of his house, while David was making music for him, as he did day by day: and Saul had his spear in his hand.|Ngày mai, ác thần bởi Đức Chúa Trời khiến nhập vào Sau-lơ; người có cơn sốt hoảng trong đền mình, thì Đa-vít gảy đờn như những ngày khác. Sau-lơ cầm một cây giáo nơi tay,
And Saul, balancing the spear in his hand, said, I will give David a blow, pinning him to the wall. And David got away from him twice.|bèn phóng Đa-vít, mà rằng: Ta sẽ đóng đinh nó nơi vách. Nhưng Đa-vít tránh hai lần khỏi mũi giáo.
And Saul went in fear of David, because the Lord was with David and had gone away from Saul.|Sau-lơ sợ Đa-vít, vì Đức Giê-hô-va ở cùng Đa-vít, và đã lìa khỏi mình.
So Saul sent him away, and made him a captain over a thousand; and he went about his business before the people.|Sau-lơ khiến Đa-vít cách xa mình, lập người làm trưởng ngàn người: Đa-vít ra trận trở về thì đứng đầu đạo binh.
And in all his undertakings David did wisely; and the Lord was with him.|Trong các công việc, người đều được may mắn, và Đức Giê-hô-va ở cùng người.
And when Saul saw how wisely he did, he was in fear of him.|Sau-lơ thấy người được may mắn dường ấy, thì lấy làm sợ người.
But David was loved by all Israel and Judah, for he went out and came in before them.|Nhưng cả Y-sơ-ra-ên và Giu-đa đều yêu mến Đa-vít, bởi vì người ra trận trở về đứng đầu chúng.
And Saul said to David, Here is my oldest daughter Merab, whom I will give you for your wife: only be strong for me, fighting in the Lord's wars. For Saul said, Let it not be through me that his fate comes to him, but through the Philistines.|Sau-lơ nói cùng Đa-vít rằng: Nầy Mê-ráp, con gái cả ta; ta sẽ gả nó cho ngươi làm vợ. Chỉ phải giúp ta cách mạnh bạo và đánh giặc cho Đức Giê-hô-va. Vả, Sau-lơ nói thầm rằng: Tay ta chớ nên hành hại hắn, nhưng thà tay của dân Phi-li-tin còn hơn.
And David said to Saul, Who am I, and what is my father's family in Israel, that I am to be son-in-law to the king?|Đa-vít thưa rằng: Tôi là ai? Thân phận tôi là gì? Họ hàng cha tôi nơi Y-sơ-ra-ên ra chi mà tôi trở nên phò mã của vua?
But when the time came to give Merab, Saul's daughter, to David, she was given to Adriel of Meholath.|Vả, khi đến kỳ Mê-ráp, con gái của Sau-lơ, phải gả cho Đa-vít, thì lại gả cho At-ri-ên, người Mê-hô-la.
And Saul's daughter Michal was in love with David: and Saul had word of it and was pleased.|Nhưng Mi-canh, con gái của Sau-lơ, yêu mến Đa-vít. Khi Sau-lơ hay điều đó, thì lấy làm đẹp lòng.
And Saul said, I will give her to him, so that she may be a cause of danger to him, and so that the hands of the Philistines may be against him. So Saul said to David, Today you are to become my son-in-law for the second time.|Người nói thầm rằng: Ta sẽ biểu hắn cưới nàng, hầu cho nàng làm cái bẫy cho hắn, và hắn sa vào tay của dân Phi-li-tin. Vậy, Sau-lơ nói lần thứ nhì cùng Đa-vít rằng: Ngươi sẽ làm phò mã ta.
And Saul gave his servants orders saying, Have talk with David secretly and say to him, See how the king has delight in you, and how you are loved by all his servants: then be the king's son-in-law.|Đoạn, Sau-lơ truyền lịnh cho các tôi tớ mình rằng: Hãy nói kín cùng Đa-vít rằng: Ngươi thấy vua lấy làm đẹp lòng ngươi, và hết thảy tôi tớ vua đều yêu mến ngươi: vậy, hãy làm phò mã của vua.
And Saul's servants said these things to David. And David said, Does it seem to you a small thing to be the king's son-in-law, seeing that I am a poor man, of no great name?|Các tôi tớ của Sau-lơ nói lại các lời ấy cùng Đa-vít. Đa-vít đáp rằng: Làm phò mã của vua, há là việc nhỏ mọn trước mặt các ngươi sao? Tôi vốn một người nghèo nàn và hèn tiện.
And the servants of Saul gave him an account of what David had said.|Các tôi tớ của Sau-lơ thuật lại cho vua câu trả lời của Đa-vít.
And Saul said, Then say to David, The king has no desire for any bride-price, but only for the private parts of a hundred Philistines so that the king may get the better of his haters. But it was in Saul's mind that David might come to his end by the hands of the Philistines.|Sau-lơ nói cùng chúng rằng: Các ngươi hãy nói cùng Đa-vít như vầy: Vua chẳng đòi sính lễ gì khác, chỉ đòi một trăm dương bì của người Phi-li-tin, đặng trả thù kẻ cừu địch mình. Vả, cái mưu của Sau-lơ là khiến cho Đa-vít sa vào tay dân Phi-li-tin.
And when his servants said these words to David, he was well pleased to be the son-in-law of the king. And the days were still not past.|Các tôi tớ kể lại những lời nầy cho Đa-vít nghe, thì Đa-vít chìu theo sự buộc ấy mà làm phò mã của vua. Trước kỳ định,
So David and his men got up and went, and put to death two hundred of the Philistines; and David took their private parts and gave the full number of them to the king, so that he might be the king's son-in-law. And Saul gave him his daughter Michal for his wife.|Đa-vít chổi dậy, cùng quân thủ hạ mình đi đánh giết hai trăm ngươi Phi-li-tin. Người đem dương bì của chúng nó về, và nộp cho vua đủ số, đặng trở làm phò mã người. Vậy, Sau-lơ gả Mi-canh, con gái mình, cho người làm vợ.
And it was clear to Saul that the Lord was with David; and he was loved by all Israel.|Sau-lơ nhìn biết Đức Giê-hô-va ở cùng Đa-vít. Mi-canh, con gái của Sau-lơ, yêu mến Đa-vít.
And Saul's fear of David became all the greater, and he went on hating him, day by day.|Nhưng Sau-lơ càng sợ Đa-vít hơn nữa, và trọn đời mình làm kẻ thù nghịch người.
Then the rulers of the Philistines went out to war: and whenever they went out, David did more wisely than all the other servants of Saul, so that his name became greatly honoured.|Mỗi lần các quan trưởng dân Phi-li-tin ra trận, thì Đa-vít may mắn hơn các tôi tớ của Sau-lơ; vì vậy danh người trở nên tôn trọng lắm.

					I Samuel 19				|
						I Sa-mu-ên 19					
And Saul gave orders to his son Jonathan and to all his servants to put David to death. But Saul's son Jonathan had great delight in David.|Sau-lơ bàn tính cùng Giô-na-than, con trai mình, và các tôi tớ, để giết Đa-vít; nhưng Giô-na-than, con trai của Sau-lơ, rất thương yêu Đa-vít,
And Jonathan said to David, Saul, my father, is purposing your death: so now, take care in the morning, and keep yourself safe in a secret place:|cho người hay, và nói rằng: Sau-lơ, cha tôi, tìm giết anh. Vậy, sáng ngày mai, hãy cẩn thận, ở nơi khuất kín, và ẩn mình đi.
And I will go out and take my place by my father's side in the field near where you are; and I will get into talk with my father about you, and when I see how things are, I will give you word.|Tôi sẽ đi ra đứng gần bên cha tôi nơi ruộng mà anh sẽ ẩn, và nói về anh cùng cha tôi, thử xem người nói thế nào, rồi sẽ cho anh biết.
And Jonathan gave his father Saul a good account of David, and said to him, Let not the king do wrong against his servant, against David; because he has done you no wrong, and all his acts have had a good outcome for you:|Vậy, Giô-na-than nói binh Đa-vít cùng Sau-lơ, cha mình, mà rằng: Xin vua chớ phạm tội cùng Đa-vít, tôi tớ vua, vì người không có phạm tội cùng vua, mà lại có giúp công việc lớn lao cho vua nữa.
For he put his life in danger and overcame the Philistine, and the Lord gave all Israel salvation: you saw it and were glad: why then are you sinning against him who has done no wrong, desiring the death of David without cause?|Người đã liều mạng mình mà giết người Phi-li-tin kia, nên Đức Giê-hô-va vì cớ người có làm sự giải cứu lớn cho cả Y-sơ-ra-ên. Vua có thấy và mừng rỡ điều đó; nhân sao lại toan phạm tội cùng huyết vô tội, mà giết Đa-vít vô lý?
And Saul gave ear to the voice of Jonathan, and said with an oath, By the living Lord, he is not to be put to death.|Sau-lơ lắng tai nghe lời Giô-na-than nói, bèn thề rằng: Ta chỉ Đức Giê-hô-va hằng sống mà thề, Đa-vít sẽ chẳng chết!
Then Jonathan sent for David and gave him word of all these things. And Jonathan took David to Saul, who kept him by his side as in the past.|Bấy giờ, Giô-na-than gọi Đa-vít, thuật lại các lời ấy cho người, đoạn dẫn Đa-vít đến gần Sau-lơ, và Đa-vít hầu việc Sau-lơ như trước.
And there was war again: and David went out fighting the Philistines, causing great destruction among them; and they went in flight before him.|Sự tranh chiến cứ liên tiếp luôn luôn, Đa-vít đi ra đánh dân Phi-li-tin, làm cho chúng nó bị thua chạy trốn.
And an evil spirit from the Lord came on Saul, when he was seated in his house with his spear in his hand; and David made music for him.|Nhưng ác thần bởi Đức Giê-hô-va khiến nhập vào Sau-lơ lúc người ngồi trong điện, cầm cây giáo nơi tay; còn Đa-vít gảy đờn.
And Saul would have sent his spear through him, pinning him to the wall, but he got away and the spear went into the wall: and that night David went in flight and got away.|Sau-lơ muốn lấy giáo đâm Đa-vít dính vào vách, nhưng Đa-vít tránh khỏi, giáo của Sau-lơ găm trong vách. Đa-vít trốn và được thoát khỏi buổi tối đó.
Then in that night Saul sent men to David's house to keep watch on him so as to put him to death in the morning: and David's wife Michal said to him, If you do not go away to a safe place tonight you will be put to death in the morning.|Sau-lơ sai người đi đến nhà Đa-vít đặng canh giữ người, để sáng ngày giết người đi. Song Mi-canh, vợ Đa-vít, cho người hay và nói rằng: Nếu đêm nay chàng không trốn khỏi, thì sáng mai chàng sẽ bị giết.
So Michal let David down through the window, and he went in flight and got away.|Mi-canh thòng Đa-vít xuống nơi cửa sổ; người trốn và thoát khỏi.
Then Michal took the image and put it in the bed, with a cushion of goat's hair at its head, and she put clothing over it.|Kế ấy, Mi-canh lấy tượng thê-ra-phim mà để lên giường, dùng tấm nệm bằng lông dê bọc đầu nó, rồi bao phủ cái mình nó bằng một cái áo tơi.
And when Saul sent men to take David, she said, He is ill.|Khi Sau-lơ sai người đến bắt Đa-vít, thì nàng nói rằng: Chàng đau.
And Saul sent his men to see David, saying, Do not come back without him, take him in his bed, so that I may put him to death.|Sau-lơ lại sai người đến thăm Đa-vít, mà truyền chúng rằng: Hãy đem hắn ở trên giường đến cùng ta, hầu cho ta giết hắn đi.
And when the men came in, there was the image in the bed, with the cushion of goat's hair at its head|Vậy, những kẻ sai đi đến đó, thấy tượng thê-ra-phim ở trên giường, có một tấm nệm bằng lông dê ở nơi đầu nó.
And Saul said to Michal, why have you been false to me, letting my hater go and get safely away? And in answer Michal said to Saul, He said to me, Let me go, or I will put you to death.|Sau-lơ nói với Mi-canh rằng: Sao ngươi gạt ta như vậy, làm cho kẻ thù nghịch ta trốn khỏi đi? Mi-canh thưa cùng Sau-lơ rằng: Người có bảo tôi: Hãy để cho ta đi, bằng không, ta sẽ giết mầy.
So David went in flight and got away and came to Ramah, to Samuel, and gave him an account of all Saul had done to him. And he and Samuel went and were living in Naioth.|Vậy, Đa-vít trốn và thoát khỏi, đi đến nhà Sa-mu-ên tại Ra-ma, rồi thuật cho người mọi điều Sau-lơ đã làm cho mình. Đoạn, người và Sa-mu-ên đi, ở tại Na-giốt.
And word was given to Saul that David was at Naioth in Ramah.|Có người thuật lại điều đó cho Sau-lơ, mà rằng: Kìa, Đa-vít ở tại Na-giốt trong Ra-ma.
And Saul sent men to take David; and when they saw the band of prophets at work, with Samuel in his place at their head, the spirit of God came on Saul's men, and they became like prophets.|Sau-lơ sai người đi bắt Đa-vít; nhưng khi chúng thấy một đám tiên tri đương nói tiên tri, và Sa-mu-ên đứng đầu những người ấy, thì Thần của Đức Chúa Trời cảm động họ, họ cũng khởi nói tiên tri.
And Saul, having news of this, sent other men, who in the same way became like prophets. And a third time Saul sent men, and they like the others became like prophets.|Người ta cho Sau-lơ hay, người bèn sai những người khác; họ cũng nói tiên tri như các kẻ khác. Sau-lơ lại sai người đi lần thứ ba, đến phiên họ cũng nói tiên tri.
Then he himself went to Ramah, and came to the great water-spring in Secu; and questioning the people he said, Where are Samuel and David? And one said, They are at Naioth in Ramah.|Bấy giờ, Sau-lơ thân hành đến Ra-ma; tới nơi giếng nước lớn của Sê-cu, người hỏi rằng: Sa-mu-ên và Đa-vít ở đâu? Người ta thưa rằng: Hai người ở Na-giốt trong Ra-ma.
And he went on from there to Naioth in Ramah: and the spirit of God came on him, and he went on, acting like a prophet, till he came to Naioth in Ramah.|Vậy, người đi đến Na-giốt trong Ra-ma; Thần của Đức Chúa Trời cảm động đến phiên người, người cứ đi dọc đàng nói tiên tri cho đến khi tới Na-giốt trong Ra-ma.
And he took off his clothing, acting like a prophet before Samuel, and falling down he was stretched out, without his clothing, all that day and all that night. This is the reason for the saying, Is even Saul among the prophets?|Người cũng lột áo mình, nói tiên tri trước mặt Sa-mu-ên, rồi ở trần như vậy nằm dưới đất trọn ngày và đêm đó. Bởi cớ ấy, có câu tục ngữ rằng: Sau-lơ há cũng vào hàng các tiên tri sao?

					I Samuel 20				|
						I Sa-mu-ên 20					
And David went in flight from Naioth in Ramah and came to Jonathan and said, What have I done? What is my crime and my sin against your father that he is attempting to take my life?|Đa-vít trốn khỏi Na-giốt trong Ra-ma, đến cùng Giô-na-than, mà nói rằng: Tôi đã làm chi, tội ác tôi là gì? Tôi đã phạm tội chi cùng cha anh, mà người toan hại mạng sống tôi?
And he said to him, Far be the thought: you will not be put to death: see, my father does nothing, great or small, without giving me word of it: would he keep this secret from me? It is not so.|Giô-na-than đáp cùng người rằng: Chẳng phải thế! anh không chết đâu. Cha tôi chẳng làm một sự gì, bất luận lớn hay nhỏ, mà chẳng nói trước với tôi. Vậy, nhân sao cha tôi giấu tôi sự nầy với tôi? Điều đó chẳng thể được.
But David took his oath again and said, Your father sees that I am dear to you; so he says to himself, Let Jonathan have no idea of this, for it will be a grief to him; but as the Lord is living, and as your soul is living, there is only a step between me and death.|Nhưng Đa-vít lại thề nguyền mà rằng: Cha anh biết rõ rằng tôi được ơn trước mặt anh, nên có nói rằng: Chớ nên cho Giô-na-than biết gì, kẻo nó phải lo buồn chăng. Song ta chỉ Đức Giê-hô-va hằng sống và mạng sống của anh mà thề rằng, chỉ còn một bước cách tôi và sự chết mà thôi.
Then Jonathan said to David, Whatever your desire is, I will do it for you.|Giô-na-than đáp cùng Đa-vít rằng: Hễ anh muốn tôi làm điều gì, thì ta sẽ làm cho anh.
And David said to Jonathan, Tomorrow is the new moon, and I will not be seated with the king at his table: but let me go to a safe place in the country till the evening.|Đa-vít tiếp rằng: Mai là ngày mồng một, tôi phải đi ngồi ăn chung bàn với vua. Hãy để cho tôi đi trốn trong đồng bằng cho đến chiều ngày thứ ba.
And if your father takes note of the fact that I am away, say, David made a request to me for himself that he might go to Beth-lehem, to his town: for it is the time when his family make their offering year by year.|Nếu cha anh thấy tôi vắng mặt, thì hãy nói cùng người rằng: Đa-vít có cố nài xin tôi cho nó đi về Bết-lê-hem, quê hương nó, vì đó cả nhà nó dâng của lễ hằng năm.
If he says, It is well, your servant will be at peace: but if he is angry, then it will be clear to you that he has an evil purpose in mind against me.|Nếu người đáp: Tốt, thì kẻ tôi tớ anh sẽ được bình yên. Còn nếu người nổi giận, thì hãy biết rằng người định ý hại tôi.
So, then, be kind to your servant; for you have been united with your servant in an agreement made before the Lord: but if there is any wrongdoing in me, put me to death yourself; why take me to your father?|Vậy, hãy tỏ lòng nhân từ cho kẻ tôi tớ anh, bởi vì anh đã nhơn danh Đức Giê-hô-va mà kết ước cùng kẻ tôi tớ anh. Song phần tôi ví có tội gì, xin chính anh hãy giết tôi đi; cớ sao anh lại dẫn tôi đến cha anh?
And Jonathan said, Do not have such a thought: for if I saw that my father was designing evil against you, would I not give you word of it?|Giô-na-than đáp lại rằng: Chớ có nghĩ như vậy! Trái lại, nếu tôi biết thật cha tôi định ý hại anh, dễ nào tôi chẳng cho anh hay?
Then David said to Jonathan, Who will give me word if your father gives you a rough answer?|Đa-vít đáp cùng Giô-na-than rằng: Nhưng nếu cha anh dùng lời nghiêm khắc đáp cùng anh, thì ai sẽ cho tôi hay?
And Jonathan said to David, Come, let us go out into the country. And the two of them went out together into the open country.|Giô-na-than đáp cùng Đa-vít rằng: Hè, chúng ta hãy ra ngoài đồng. Cả hai đều đi ra ngoài đồng.
And Jonathan said to David, May the Lord, the God of Israel, be witness; when I have had a chance of talking to my father, about this time tomorrow, if his feelings to David are good, will I not send and give you the news?|Giô-na-than nói cùng Đa-vít rằng: Giê-hô-va, Đức Chúa Trời của Y-sơ-ra-ên, làm chứng! Ngày mai hay là ngày mốt, tại giờ nầy, tôi sẽ dọ ý cha tôi. Nếu thấy chẳng có điều chi nên sợ cho anh, thì tôi không sai người nào đến cho anh hay biết;
