
					Judges 1				|
And Jephthah sent again to the king of the children of Ammon,|Giép-thê lại sai sứ giả đến cùng vua dân Am-môn nói rằng:
And said to him, This is the word of Jephthah: Israel did not take away the land of Moab or the land of the children of Ammon;|Giép-thê nói như vầy: Y-sơ-ra-ên không có xâm đoạt địa phận Mô-áp, cũng chẳng có chiếm lấy xứ của dân Am-môn.
But when they came up from Egypt, Israel went through the waste land to the Red Sea and came to Kadesh;|Song khi Y-sơ-ra-ên ra xứ Ê-díp-tô, thì đi ngang qua đồng vắng cho đến Biển đỏ, rồi tới Ca-đe.
Then Israel sent men to the king of Edom saying, Let me now go through your land; but the king of Edom did not give ear to them. And in the same way he sent to the king of Moab, but he would not; so Israel went on living in Kadesh.|Bấy giờ, người sai sứ giả đến vua Ê-đôm đặng tâu rằng: Xin cho tôi đi ngang qua xứ vua. Nhưng vua Ê-đôm không bằng lòng. Người cũng sai sứ giả đến vua Mô-áp, vua Mô-áp cũng không khứng cho, nên Y-sơ-ra-ên cứ ở tại Ca-đe.
Then he went on through the waste land and round the land of Edom and the land of Moab, and came by the east side of the land of Moab, and put up their tents on the other side of the Arnon; they did not come inside the limit of Moab, for the Arnon was the limit of Moab.|Đoạn, người lại đi vào đồng vắng, vòng quanh xứ Ê-đôm và xứ Mô-áp; rồi đến cõi phía đông xứ Mô-áp. Người hạ trại ở bên kia At-nôn, không vào bờ cõi Mô-áp; vì At-nôn là giới hạn của xứ Mô-áp.
And Israel sent men to Sihon, king of the Amorites, the king of Heshbon; and Israel said to him, Let me now go through your land to my place.|Rốt lại, Y-sơ-ra-ên sai sứ giả đến cùng Si-hôn, vua người A-mô-rít, ở tại Bết-hôn, và dặn nói rằng: Xin để cho chúng tôi đi ngang qua xứ vua đặng đến xứ chúng tôi.
But Sihon would not give way and let Israel go through his land; and Sihon got together all his people, and put his army in position in Jahaz, and made war on Israel.|Nhưng Si-hôn không đủ tin dân Y-sơ-ra-ên, nên không cho đi ngang qua xứ mình, bèn hiệp lại cả cơ binh mình, kéo đến đóng trại tại Gia-hát và chống đấu cùng Y-sơ-ra-ên.
And the Lord, the God of Israel, gave Sihon and all his people into the hands of Israel, and they overcame them; so all the land of the Amorites, the people of that land, became Israel's.|Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phó Si-hôn và cả cơ binh người vào tay Y-sơ-ra-ên. Y-sơ-ra-ên đánh bại chúng nó, và lấy toàn xứ dân A-mô-rít, là dân miền đó.
All the limit of the Amorites was theirs, from the Arnon as far as the Jabbok and from the waste land even to Jordan.|Vậy, Y-sơ-ra-ên nhận được toàn xứ dân A-mô-rít, từ At-nôn cho đến Gia-bốc, và từ đồng vắng cho đến Giô-đanh.
So now the Lord, the God of Israel, has taken away their land from the Amorites and given it to his people Israel; are you then to have it?|Vậy bây giờ, Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên đã đuổi dân A-mô-rít khỏi trước mặt dân Y-sơ-ra-ên của Ngài rồi, thì ngươi lại muốn chiếm lấy xứ của họ sao!
Do you not keep the lands of those whom Chemosh your god sends out from before you? So we will keep all the lands of those whom the Lord our God sends out from before us.|Ngươi há chẳng nhận được đất mà Kê-mốt, là thần của ngươi, đã ban cho ngươi sao? Thế thì, chúng ta cũng nhận được đất của những kẻ nào mà Giê-hô-va Đức Chúa Trời chúng ta đã đuổi khỏi trước mặt chúng ta.
What! are you any better than Balak, the son of Zippor, king of Moab? Did he ever take up a cause against Israel or make war against them?|Vả lại, ngươi cho trổi hơn Ba-lác, con trai Xếp-bô, vua Mô-áp chăng? Hắn há có khi nào cãi cọ hay là chiến đấu cùng Y-sơ-ra-ên chăng?
While Israel was living in Heshbon and its daughter-towns and in Aroer and its daughter-towns and in all the towns which are by the side of the Arnon, for three hundred years, why did you not get them back at that time?|Đương lúc ba trăm năm mà Y-sơ-ra-ên ở tại Hết-bôn và các thành địa hạt nó, A-rô -e và các thành địa hạt nó, cùng hết thảy các thành ở dọc theo At-nôn, sao ngươi không lấy nó lại trong khi đó?
So I have done no wrong against you, but you are doing wrong to me in fighting against me: may the Lord, who is Judge this day, be judge between the children of Israel and the children of Ammon.|Vậy, ta không có phạm tội cùng ngươi, nhưng ngươi đã làm quấy cùng ta mà hãm đánh ta. Nguyện Đức Giê-hô-va, là Đấng đoán xét, ngày nay xét đoán giữa dân Y-sơ-ra-ên và dân Am-môn!
The king of the children of Ammon, however, did not give ear to the words which Jephthah sent to him.|Nhưng vua dân Am-môn không khứng nghe lời của Giép-thê sai nói cùng người.
Then the spirit of the Lord came on Jephthah, and he went through Gilead and Manasseh, and came to Mizpeh of Gilead; and from Mizpeh of Gilead he went over to the children of Ammon.|Thần của Đức Giê-hô-va bèn cảm động Giép-thê; người trải qua Ga-la-át và Ma-na-se, sang đến Mích-ba ở Ga-la-át, rồi từ Mích-ba ở Ga-la-át, người đi đánh dân Am-môn.
And Jephthah took an oath to the Lord, and said, If you will give the children of Ammon into my hands,|Giép-thê khẩn nguyện cùng Đức Giê-hô-va rằng: Nếu Ngài phó dân Am-môn vào tay tôi, khi tôi thắng chúng nó trở về,
Then whoever comes out from the door of my house, meeting me when I come back in peace from the children of Ammon, will be the Lord's and I will give him as a burned offering.|hễ chi ở cửa nhà tôi đi ra đầu hết đặng đón rước tôi, thì nấy sẽ thuộc về Đức Chúa Trời, và tôi sẽ dâng nó làm của lễ thiêu.
So Jephthah went over to the children of Ammon to make war on them; and the Lord gave them into his hands.|Đoạn, Giép-thê đi đến dân Am-môn đặng giao chiến cùng chúng nó, và Đức Giê-hô-va phó chúng nó vào tay người.
And he made an attack on them from Aroer all the way to Minnith, overrunning twenty towns, as far as Abel-cheramim, and put great numbers to the sword. So the children of Ammon were crushed before the children of Israel.|Người đánh bại chúng nó từ A-rô -e cho đến Mi-nít, và cho đến A-bên-Kê-ra-mim, cùng chiếm lấy của chúng nó hai mươi cái thành. Ay là một trận-bại rất lớn; dân Am-môn bị phục trước mặt dân Y-sơ-ra-ên.
Then Jephthah came back to his house in Mizpah, and his daughter came out, meeting him on his way with music and with dances; she was his only child; he had no other sons or daughters.|Giép-thê trở về nhà mình tại Mích-ba; kìa, con gái người ra đón-rước người, có cầm trống nhỏ và nhảy múa. Nàng là con một của người, ngoài nàng chẳng có con trai hoặc con gái nào khác hơn.
And when he saw her he was overcome with grief, and said, Ah! my daughter! I am crushed with sorrow, and it is you who are the chief cause of my trouble; for I have made an oath to the Lord and I may not take it back.|Giép-thê vừa thấy nàng, liền xé áo mình mà rằng: Ớ con, than ôi! con gây cho cha tức tối quá thay! Con thuộc vào số kẻ làm rối cha! Vì cha có mở miệng khấn nguyện cùng Đức Giê-hô-va, không thế nuốt lời.
And she said to him, My father, you have made an oath to the Lord; do then to me whatever you have said; for the Lord has sent a full reward on your haters, on the children of Ammon.|Nàng thưa rằng: Cha ôi, nếu cha có mở miệng khấn nguyện cùng Đức Giê-hô-va, xin hãy làm cho con y như lời ra khỏi miệng cha, vì bây giờ Đức Giê-hô-va đã báo thù kẻ cừu địch cha rồi, tức là dân Am-môn.
Then she said to her father, Only do this for me: let me have two months to go away into the mountains with my friends, weeping for my sad fate.|Đoạn, nàng lại nói cùng cha mình rằng: Xin cha hãy nhậm cho con lời nầy: Để cho con thong thả trong hai tháng, con sẽ đi ở trên núi đặng cùng chị em bạn con khóc về sự đồng trinh của con.
And he said, Go then. So he sent her away for two months; and she went with her friends to the mountains, weeping for her sad fate.|Giép-thê đáp rằng: Con cứ đi. Rồi người để nàng đi hai tháng. Vậy, nàng đi cùng chị em bạn mình, khóc sự đồng trinh mình tại trên núi.
And at the end of two months she went back to her father, who did with her as he had said in his oath: and she had never been touched by a man. So it became a rule in Israel,|Cuối hai tháng, nàng trở về cha mình, và người làm cho nàng tùy theo lời khấn nguyện mình đã hứa. Nàng chẳng có biết người nam. Tại cớ đó trong Y-sơ-ra-ên có thường lệ nầy:
For the women to go year by year sorrowing for the daughter of Jephthah the Gileadite, four days in every year.|Mỗi năm, các con gái Y-sơ-ra-ên đi than khóc con gái của Giép-thê, người Ga-la-át, trong bốn ngày.

					Judges 12				|
						Các Thủ Lãnh 12					
Now the men of Ephraim came together and took up arms and went over to Zaphon; and they said to Jephthah, Why did you go over to make war against the children of Ammon without sending for us to go with you? Now we will put your house on fire over you.|Người Ep-ra-im nhóm hiệp đến tại Xa-phôn, và nói cùng Giép-thê rằng: Vì sao ngươi đi đánh dân Am-môn không gọi chúng ta đi với? Chúng ta sẽ đốt nhà ngươi luôn với ngươi.
And Jephthah said to them, I and my people were in danger, and the children of Ammon were very cruel to us, and when I sent for you, you gave me no help against them.|Giép-thê đáp rằng: Ta và dân sự ta có cuộc tranh cạnh rất lớn với dân Am-môn; và khi ta kêu các ngươi, thì các ngươi không có giải cứu ta khỏi tay chúng nó.
So when I saw that there was no help to be had from you, I put my life in my hand and went over against the children of Ammon, and the Lord gave them into my hands: why then have you come up to me this day to make war on me?|Thấy rằng các ngươi không đến tiếp cứu ta, thì ta đã liều mình đi đánh dân Am-môn, và Đức Giê-hô-va đã phó chúng nó vào tay ta. Vậy, sao ngày nay các ngươi lên đến ta đặng tranh chiến cùng ta?
Then Jephthah got together all the men of Gilead and made war on Ephraim; and the men of Gilead overcame Ephraim.|Kế ấy, Giép-thê hiệp lại hết thảy dân Ga-la-át, giao chiến cùng Ep-ra-im. Người Ga-la-át đánh bại người Ep-ra-im, vì họ nói rằng: Ớ dân Ga-la-át, giữa Ep-ra-im và Ma-na-se, các ngươi chỉ là là kẻ trốn tránh của Ep-ra-im đó thôi!
And the Gileadites took the crossing-places of Jordan against the Ephraimites; and when any of the men of Ephraim who had gone in flight said, let me go over; the men of Gilead said to him, Are you an Ephraimite? And if he said, No;|Đoạn, người Ga-la-át xâm chiếm những chỗ cạn sông Giô-đanh, trước khi người Ep-ra-im đến đó. Và khi một người trốn nào của Ep-ra-im nói rằng: Xin để cho tôi đi qua, thì người Ga-la-át nói rằng: Ngươi có phải người Ep-ra-im chăng? Người đáp: Không.
Then they said to him, Now say Shibboleth; and he said Sibboleth, and was not able to say it in the right way; then they took him and put him to death at the crossing-places of Jordan; and at that time forty-two thousand Ephraimites were put to death.|Chúng bèn nói cùng người rằng: Thế thì, hãy nói: Si-bô-lết; người nói Si-bô-lết, không thế nói cho rõ được; chúng bèn bắt họ và giết đi tại chỗ cạn của sông Giô-đanh. Trong lúc đó có bốn mươi hai ngàn người Ep-ra-im bị chết.
Now Jephthah was judge of Israel for six years. And Jephthah the Gileadite came to his death, and his body was put to rest in his town, Mizpeh of Gilead.|Giép-thê, người Ga-la-át làm quan xét trong Y-sơ-ra-ên được sáu năm. Đoạn, người qua đời, và được chôn trong một thành ở xứ Ga-la-át.
And after him, Ibzan of Beth-lehem was judge of Israel.|Sau người, có Iếp-san ở Bết-lê-hem làm quan xét trong Y-sơ-ra-ên.
He had thirty sons, and thirty daughters whom he sent to other places, and he got thirty wives from other places for his sons. And he was judge of Israel for seven years.|Người có ba mươi con trai và ba mươi con gái. Người gả các con gái ra ngoài nhà mình, và cưới ba mươi con gái ở ngoài làm vợ cho con trai mình. Người làm quan xét trong Y-sơ-ra-ên được bảy năm.
And Ibzan came to his death and his body was put to rest at Beth-lehem.|Đoạn, Iếp-san qua đời, được chôn ở Bết-lê-hem.
And after him, Elon the Zebulonite was judge of Israel; and he was judge of Israel for ten years.|Sau Iếp-san, có Ê-lôn người Sa-bu-lôn, làm quan xét trong Y-sơ-ra-ên, phán xét Y-sơ-ra-ên trong mười năm.
And Elon the Zebulonite came to his death, and his body was put to rest in Aijalon in the land of Zebulun.|Đoạn, Ê-lôn, người Sa-bu-lôn, qua đời, được chôn tại A-gia-lôn, trong đất chi phái Sa-bu-lôn.
And after him, Abdon, the son of Hillel, the Pirathonite, was judge of Israel.|Sau Ê-lôn, có Ap-đôn, con trai Hi-lên, người Phi-ra-thôn, làm quan xét trong Y-sơ-ra-ên.
He had forty sons and thirty sons' sons who went on seventy young asses; and he was judge of Israel for eight years.|Người có bốn mươi con trai và ba mươi cháu trai; chúng nó đều cỡi bảy mươi lừa con; người phán xét Y-sơ-ra-ên tám năm.
And Abdon, the son of Hillel, came to his death, and his body was put to rest in Pirathon in the land of Ephraim, in the hill-country of the Amalekites.|Đoạn, Ap-đôn, con trai Hi-lên, người Phi-ra-thôn, qua đời và được chôn tại Phi-ra-thôn, ở xứ Ep-ra-im, trên núi dân A-ma-léc.

					Judges 13				|
						Các Thủ Lãnh 13					
And the children of Israel again did evil in the eyes of the Lord; and the Lord gave them into the hands of the Philistines for forty years.|Dân Y-sơ-ra-ên cứ làm điều ác trước mặt Đức Giê-hô-va, nên Đức Giê-hô-va phó chúng nó vào tay dân Phi-li-tin trọn bốn mươi năm.
Now there was a certain man of Zorah of the family of the Danites, and his name was Manoah; and his wife had never given birth to a child.|Vả, có một người Xô-rê -a, thuộc về một họ hàng của chi phái Đan, tên là Ma-nô -a; vợ người son-sẽ, không có con.
And the angel of the Lord came to the woman, and said to her, See now! though you have never given birth to children, you will be with child and give birth to a son.|Thiên sứ của Đức Giê-hô-va hiện đến cùng người đờn bà ấy mà rằng: Kìa, ngươi son sẻ không có con; nhưng ngươi sẽ thọ thai và sanh một đứa con trai.
Now then take care to have no wine or strong drink and to take no unclean thing for food;|Vậy, từ bây giờ hãy cẩn thận, chớ uống rượu hay là vật chi say, và cũng đừng ăn vật gì chẳng sạch;
For you are with child and will give birth to a son; his hair is never to be cut, for the child is to be separate to God from his birth; and he will take up the work of freeing Israel from the hands of the Philistines.|vì người sẽ có nghén và sanh một đứa con trai. Dao cạo sẽ không đưa qua đầu nó, bởi vì đứa trẻ từ trong lòng mẹ sẽ làm người Na-xi-rê cho Đức Chúa Trời; về sau nó sẽ giải cứu Y-sơ-ra-ên khỏi tay dân Phi-li-tin.
Then the woman came in, and said to her husband, A man came to me, and his form was like the form of a god, causing great fear; I put no question to him about where he came from, and he did not give me his name;|Người đờn bà đi thuật lại cùng chồng mình rằng: Một người của Đức Chúa Trời đến cùng tôi, diện mạo người giống như diện mạo thiên sứ của Đức Chúa Trời, rất đáng kính đáng sợ. Tôi không dám hỏi người ở đâu, người cũng không tỏ cho biết tên người;
But he said to me, You are with child and will give birth to a son; and now do not take any wine or strong drink or let anything unclean be your food; for the child will be separate to God from his birth to the day of his death.|nhưng người có nói cùng tôi rằng: Kìa, ngươi sẽ thọ thai và sanh một đứa trai; vậy bây giờ, chớ uống rượu hay là vật chi say, và cũng đừng ăn vật gì chẳng sạch; vì đứa trẻ đó, từ trong lòng mẹ cho đến ngày qua đời, sẽ là người Na-xi-rê cho Đức Chúa Trời.
Then Manoah made prayer to the Lord, and said, O Lord, let the man of God whom you sent come to us again and make clear to us what we are to do for the child who is to come.|Ma-nô -a cầu nguyện Đức Giê-hô-va mà rằng: Oi, Chúa! xin Chúa cho người của Đức Chúa Trời mà Chúa đã sai xuống, lại đến cùng chúng tôi, đặng dạy chúng tôi điều phải làm cho đứa trẻ sẽ sanh ra!
And God gave ear to the voice of Manoah; and the angel of God came to the woman again when she was seated in the field; but her husband Manoah was not with her.|Đức Chúa Trời nhậm lời cầu nguyện của Ma-nô -a. Thiên sứ của Đức Chúa Trời lại đến cùng người đờn bà đương khi ngồi trong đồng ruộng; còn Ma-nô -a, chồng nàng, không có tại đó với nàng.
So the woman, running quickly, gave her husband the news, saying, I have seen the man who came to me the other day.|Người đờn bà liền chạy đi thuật cho chồng rằng: Kìa, người đã đến cùng tôi ngày nọ, nay lại hiện đến.
And Manoah got up and went after his wife, and came up to the man and said to him, Are you the man who was talking to this woman? And he said, I am.|Ma-nô -a đứng dậy, đi theo vợ mình, và khi đến gần người đó, thì nói rằng: Ong có phải là người đã nói cùng đờn bà nầy chăng? Người đáp: Ay là ta.
And Manoah said, Now when your words come true, what is to be the rule for the child and what will be his work?|Ma-nô -a tiếp: Khi lời ông ứng nghiệm, thì đứa trẻ phải giữ theo lệ nào, và phải làm làm sao?
And the angel of the Lord said to Manoah, Let the woman take note of what I have said to her.|Thiên sứ của Đức Giê-hô-va đáp cùng Ma-nô -a rằng: Người đờn bà phải kiêng cữ mọi điều ta đã dặn
She is to have nothing which comes from the vine for her food, and let her take no wine or strong drink or anything which is unclean; let her take care to do all I have given her orders to do.|nàng chớ nên ăn sản vật gì của vườn nho, chớ nên uống rượu hay là vật chi uống say, và cũng đừng ăn vật gì chẳng sạch, người khá giữ theo mọi điều ta đã chỉ dạy cho.
And Manoah said to the angel of the Lord, Now let us keep you while we make ready a young goat for you.|Bấy giờ, Ma-nô -a thưa cùng thiên sứ của Đức Giê-hô-va rằng: Xin cho phép chúng tôi cầm ông đặng dọn dâng cho ông một con dê con.
And the angel of the Lord said to Manoah, Though you keep me I will not take of your food; but if you will make a burned offering, let it be offered to the Lord. For it had not come into Manoah's mind that he was the angel of the Lord.|Thiên sứ của Đức Giê-hô-va đáp cùng Ma-nô -a rằng: Dầu ngươi cầm ta lại, ta cũng chẳng ăn vật thực của ngươi; nhưng nếu muốn làm một của lễ thiêu, thì hãy dâng lên cho Đức Giê-hô-va. Vả, Ma-nô -a không rõ ấy là thiên sứ của Đức Giê-hô-va,
Then Manoah said to the angel of the Lord, What is your name, so that when your words come true we may give you honour?|Ma-nô -a lại thưa cùng thiên sứ của Đức Giê-hô-va rằng: Danh ông là chi, để chúng tôi tôn trọng ông khi lời ông phán được ứng nghiệm?
But the angel of the Lord said to him, Why are you questioning me about my name, seeing that it is a wonder?|Thiên sứ của Đức Giê-hô-va đáp rằng: Sao ngươi hỏi danh ta như vậy? Danh ấy lấy làm diệu kỳ.
So Manoah took the young goat with its meal offering, offering it on the rock to the Lord, who did strange things.|Ma-nô -a bắt con dê con luôn với của lễ chay, dâng lên cho Đức Giê-hô-va tại trên hòn đá. Thiên sứ bèn làm ra một việc lạ lùng, có Ma-nô -a và vợ người làm chứng kiến.
And when the flame went up to heaven from the altar, the angel of the Lord went up in the flame of the altar, while Manoah and his wife were looking on; and they went down on their faces to the earth.|trong lúc ngọn lửa từ bàn thờ cất bay lên trên trời, thì thiên sứ của Đức Giê-hô-va cũng dâng lên theo trong ngọn lửa của bàn thờ. Thấy vậy, Ma-nô -a té sấp mặt xuống đất.
But the angel of the Lord was seen no more by Manoah and his wife. Then it was clear to Manoah that he was the angel of the Lord.|Thiên sứ của Đức Giê-hô-va chẳng còn hiện đến cùng Ma-nô -a và vợ người nữa. Ma-nô -a nhận biết ấy là thiên sứ của Đức Giê-hô-va,
And Manoah said to his wife, Death will certainly be our fate, for it is a god whom we have seen.|bèn nói cùng vợ rằng: Quả thật chúng ta sẽ chết, vì đã thấy Đức Chúa Trời!
But his wife said to him, If the Lord was purposing our death, he would not have taken our burned offering and our meal offering, or have given us such orders about the child.|Nhưng vợ đáp rằng: Nếu Đức Giê-hô-va muốn giết chúng ta, lẽ nào Ngài có nhậm của lễ thiêu và của lễ chay nơi tay ta, lại lẽ nào Ngài đã cho chúng ta thấy các điều nầy, và cho ta nghe những lời mà chúng ta đã nghe ngày nay.
So the woman gave birth to a son, and gave him the name Samson; and he became a man and the blessing of the Lord was on him.|Người đàn bà này sanh một con trai, đặt tên là Sam-sôn. Đứa trẻ lớn lên, và Đức Giê-hô-va ban phước cho.
And the spirit of the Lord first came on him in Mahaneh-dan, between Zorah and Eshtaol.|Thần Đức Giê-hô-va khởi cảm động người tại trong dinh Đan, giữa khoảng Xô-rê -a và Ê-ra-ôn.

					Judges 14				|
						Các Thủ Lãnh 14					
Now Samson went down to Timnah, and saw a woman in Timnah, of the daughters of the Philistines;|Sam-sôn đi xuống Thim-na, thấy một người nữ trong vòng con gái Phi-li-tin.
And when he came back he said to his father and mother, I have seen a woman in Timnah, of the daughters of the Philistines: get her now for me for my wife.|Người đã trở lên, thuật điều đó cho cha mẹ mình, mà rằng: Con có thấy tại Thim-ma một người nữ trong vòng con gái Phi-li-tin; bây giờ xin hãy hỏi nàng cưới cho con.
Then his father and mother said to him, Is there no woman among the daughters of your relations or among all my people, that you have to go for your wife to the Philistines, who are without circumcision? But Samson said to his father, Get her for me, for she is pleasing to me.|Cha mẹ người nói rằng: Trong vòng các con gái của anh em con và trong cả dân sự chúng ta, há chẳng có người nữ nào, mà con phải đi cưới vợ nơi dân Phi-li-tin chẳng chịu cắt bì đó sao? Sam-sôn đáp cùng cha rằng: Xin cha hãy cưới nàng đó cho con, vì nó đẹp mắt con.
Now his father and mother had no knowledge that this was the purpose of the Lord, who had the destruction of the Philistines in mind. Now the Philistines at that time were ruling over Israel.|Vả, cha mẹ người chẳng rõ điều đó bởi nơi Đức Giê-hô-va mà đến; vì người tìm dịp tranh đấu cùng dân Phi-li-tin. Lúc bấy giờ dân Phi-li-tin quản hạt Y-sơ-ra-ên.
Then Samson went down to Timnah (and his father and his mother,) and came to the vine-gardens of Timnah; and a young lion came rushing out at him.|Sam-sôn đi xuống Thim-na với cha mẹ mình; khi đến vườn nho Thim-na, thấy một con sư tử tơ đến đón gầm hét.
And the spirit of the Lord came on him with power, and, unarmed as he was, pulling the lion in two as one might do to a young goat, he put him to death; (but he said nothing to his father and mother of what he had done.)|Thần của Đức Giê-hô-va cảm động Sam-sôn rất mạnh, tuy chẳng cầm vật chi, song người xé con sư tử đó như xé con dê con vậy. Nhưng người chẳng thuật lại cho cha mẹ hay điều mình đã làm.
So he went down and had talk with the woman; and she was pleasing to Samson.|Vậy, người đi xuống, nói cùng người nữ, người nữ đẹp lòng Sam-sôn.
Then after a time he went back to take her; and turning from the road to see the dead body of the lion, he saw a mass of bees in the body of the lion, and honey there.|Sau một ít lâu, người trở lại đặng cưới nàng; đi vòng lại xem cái thây sư tử, thấy trong xác nó có một đoàn ong và mật.
And he took the honey in his hand, and went on, tasting it on the way; and when he came to his father and mother he gave some to them; but did not say that he had taken the honey from the body of the lion.|Người bụm mật trong tay, vừa ăn vừa đi. Đến gần cha mẹ, người đưa cho cha mẹ ăn, nhưng chẳng thuật lại rằng mình đã thấy mật đó trong thây sư tử.
Then Samson went down to the woman, and made a feast there, as was the way among young men.|Cha người đi xuống nhà người nữ ấy, và tại đó Sam-sôn bày ra một tiệc. Ay là thường tục của các gã thanh niên hay làm.
And he took thirty friends, and they were with him.|Vừa thấy chàng, người ta bèn mời ba mươi gã thanh niên để kết bạn cùng chàng.
And Samson said, Now I have a hard question for you: if you are able to give me the answer before the seven days of the feast are over, I will give you thirty linen robes and thirty changes of clothing;|Sam-sôn nói: Tôi sẽ ra cho anh em một câu đố; nếu trong bảy ngày tiệc, anh em giải nó ra, thì tôi sẽ thưởng anh em ba mươi cái áo trong và ba mươi bộ áo lễ;
But if you are not able to give me the answer, then you will have to give me thirty linen robes and thirty changes of clothing. And they said to him, Put your hard question and let us see what it is.|còn nếu anh em không giải nó ra được, thì anh em phải nộp cho tôi ba mươi cái áo trong, và ba mươi bộ áo lễ. Chúng đáp rằng: Hãy ra câu đố anh cho chúng tôi nghe.
And he said, Out of the taker of food came food, and out of the strong came the sweet. And at the end of three days they were still not able to give the answer.|Vậy, chàng ra cho chúng rằng: Của ăn từ giống ăn mà ra; vật ngọt từ giống mạnh mà ra. Trong ba ngày chúng không giải được câu đố.
So on the fourth day they said to Samson's wife, Get from your husband the answer to his question by some trick or other, or we will have you and your father's house burned with fire; did you get us here to take all we have?|Đến ngày thứ bảy, chúng nói cùng vợ Sam-sôn rằng: Hãy dụ chồng nàng giải đáp câu đố cho chúng ta; bằng chẳng, chúng ta sẽ đốt nàng và nhà cha nàng. Có phải để bóc lột chúng ta mà các ngươi thỉnh chúng ta chăng?
Then Samson's wife, weeping over him, said, Truly you have no love for me but only hate; you have put a hard question to the children of my people and have not given me the answer. And he said to her, See, I have not given the answer even to my father or my mother; am I to give it to you?|Vợ Sam-sôn khóc trước mặt người mà rằng: Quả thật, chàng ghét tôi, chẳng thương tôi chút nào: chàng đã ra một câu đố cho người dân sự tôi, mà không có giải nghĩa cho tôi. Người đáp: Kìa, ta không có giải nghĩa cho cha mẹ ta thay, mà ta lại phải, mà ta lại giải nghĩa cho nàng sao?
And all the seven days of the feast she went on weeping over him; and on the seventh day he gave her the answer, because she gave him no peace; and she sent word of it to the children of her people.|Trong bảy ngày ăn tiệc nàng cứ khóc như vậy trước mặt người. Qua ngày thứ bảy, người giải nghĩa cho nàng, bởi vì nàng làm cực lòng người. Đoạn, nàng giải lại cho người dân sự mình.
Then on the seventh day, before he went into the bride's room, the men of the town said to him, What is sweeter than honey? and what is stronger than a lion? And he said to them, If you had not been ploughing with my cow you would not have got the answer to my question.|Vậy, ngày thứ bảy, trước khi mặt trời lặn, người trong thành đến nói cùng chàng rằng: Có gì ngọt hơn mật, có chi mạnh hơn sư tử? Sam-sôn bèn đáp: Nếu các ngươi không cày ruộng bằng bò cái tơ ta, thì các ngươi không giải được câu đố ta.
And the spirit of the Lord came rushing on him, and he went down to Ashkelon and, attacking thirty men there, took their clothing from them, and gave it to the men who had given the answer to his hard question. Then, full of wrath, he went back to his father's house.|Bấy giờ Thần của Đức Giê-hô-va cảm động người; người đi xuống Ach-ca-lôn, giết ba mươi người, cướp lấy áo xống của chúng nó, thưởng cho những người giải được câu đố; đoạn, người nổi giận phừng phừng trở về nhà cha mình.
But Samson's wife was given to the friend who had been his best man.|Vợ Sam-sôn bị gả cho một người trai trẻ mà chàng đã chọn làm bạn.

					Judges 15				|
						Các Thủ Lãnh 15					
Now a short time after, at the time of the grain-cutting, Samson, taking with him a young goat, went to see his wife; and he said, I will go in to my wife into the bride's room. But her father would not let him go in.|Sau ít lâu, nhằm mùa gặt lúa mì, Sam-sôn đi thăm vợ mình, đem cho nàng một con dê con, và nói rằng: Tôi muốn đi đến cùng vợ tôi trong phòng nàng. Nhưng cha nàng không cho phép người vào,
And her father said, It seemed to me that you had only hate for her; so I gave her to your friend: but is not her younger sister fairer than she? so please take her in place of the other.|bèn nói rằng: Ta ngờ ngươi ghét nó, nên ta đã gả nó cho bạn của ngươi. Em gái nó há chẳng lịch sự hơn nó sao? Vậy, hay lấy em nó thế cho.
Then Samson said to them, This time I will give payment in full to the Philistines, for I am going to do them great evil.|Sam-sôn đáp rằng: Nếu lần nầy ta làm hại cho dân Phi-li-tin, thì ta cũng vô tội.
So Samson went and got three hundred foxes and some sticks of fire-wood; and he put the foxes tail to tail with a stick between every two tails;|Vậy, Sam-sôn đi bắt ba trăm con chó rừng, cũng lấy những đuốc, rồi cột đuôi mỗi hai con lại, và cột đuốc giữa hai đuôi.
Then firing the sticks, he let the foxes loose among the uncut grain of the Philistines, and all the corded stems as well as the living grain and the vine-gardens and the olives went up in flames.|Người đốt đuốc, thả chó rừng vào trong lúa mì của dân Phi-li-tin. Như vậy, người đốt lúa mì đã bó cùng lúa mì chưa gặt, và các vườn ô-li-ve.
Then the Philistines said, Who has done this? And they said, Samson, the son-in-law of the Timnite, because he took his wife and gave her to his friend. So the Philistines came up and had her and her father's house burned.|Dân Phi-li-tin hỏi: Ai làm điều đó? Người ta đáp: Sam-sôn, rể của người Thim-na, bởi vì người Thim-na bắt vợ hắn mà gả cho một người bạn của hắn. Dân Phi-li-tin bèn đi lên, thiêu nàng luôn với cha nàng trong lửa.
And Samson said to them, If you go on like this, truly I will take my full payment from you; and that will be the end of it.|Sam-sôn nói: Nếu các ngươi làm như vậy, thì ta quyết hẳn báo thù các ngươi rồi mới chịu an nghỉ.
And he made an attack on them, driving them in uncontrolled flight, and causing great destruction; then he went away to his safe place in the crack of the rock at Etam.|Người đánh chúng nó bị thua bệ cả thể. Đoạn, người đi xuống và ở tại hang đá Ê-tam.
Then the Philistines went and put up their tents in Judah, all round Lehi.|Bấy giờ, dân Phi-li-tin đi lên, đóng trại tại Giu-đa, và tràn ra đến Lê-chi.
