
					II Chronicles 1				|
						II Sử Ký 24					
Joash was seven years old when he became king, and he was ruling for forty years in Jerusalem: his mother's name was Zibiah of Beer-sheba.|Giô-ách được bảy tuổi khi người lên làm vua; người cai trị bốn mươi năm tại Giê-ru-sa-lem; mẹ người tên là Xi-bia, quê ở Bê -e-Sê-ba.
And Joash did what was right in the eyes of the Lord as long as Jehoiada the priest was living.|Giô-ách làm điều thiện trước mặt Đức Giê-hô-va trọn đời thầy tế lễ Giê-hô-gia-đa.
And Jehoiada took two wives for him, and he became the father of sons and daughters.|Giê-hô-gia-đa cưới hai vợ cho Giô-ách; người sanh được những con trai và con gái.
Now after this Joash had a desire to put the house of the Lord into good order again;|Sau việc này, Giô-ách có ý tu bổ đền của Đức Giê-hô-va,
And getting together the priests and Levites, he said to them, Go out into the towns of Judah year by year, and get from all Israel money to keep the house of your God in good condition; and see that this is done without loss of time. The Levites, however, were slow in doing so.|bèn nhóm những thầy tế lễ và người Lê-vi, mà bảo rằng: Hãy đi khắp các thành Giu-đa, thâu lấy tiền bạc của cả Y-sơ-ra-ên, để hằng năm tu bổ lại cái đền của Đức Chúa Trời các ngươi; khá làm việc này cho mau. Song người Lê-vi trì hưỡn.
Then the king sent for Jehoiada, the chief priest, and said to him, Why have you not given the Levites orders that the tax fixed by Moses, the servant of the Lord, and by the meeting of Israel, for the Tent of witness, is to be got in from Judah and Jerusalem and handed over?|Vua vời thầy tế lễ thượng phẩm Giê-hô-gia-đa, mà bảo rằng: Cớ sao người Lê-vi từ Giu-đa và Giê-ru-sa-lem đem nộp thuế, mà Môi-se, tôi tớ của Đức Giê-hô-va, đã định cho hội chúng Y-sơ-ra-ên phải dâng cho trại chứng cớ?
For the house of the Lord had been broken up by Athaliah, that evil woman, and her sons; and all its holy things they had given to the Baals.|Vì A-tha-li, người nữ độc ác kia, và các con trai nàng đã phá hủy đền của Đức Chúa Trời; và chúng nó đã dâng các vật thánh của đền Đức Giê-hô-va cho thần Ba-anh.
So at the king's order they made a chest and put it outside the doorway of the house of the Lord.|Vua bèn truyền dạy người ta đóng một cái hòm, để phía ngoài cửa đền Đức Giê-hô-va.
And an order was sent out through all Judah and Jerusalem that payment was to be made to the Lord of the tax which Moses, the servant of God, had put on Israel in the waste land.|Rồi người ta rao cho khắp xứ Giu-đa và thành Giê-ru-sa-lem ai nấy phải đem dâng cho Đức Giê-hô-va tiền thuế mà Môi-se, tôi tớ của Đức Chúa Trời, đã định về Y-sơ-ra-ên tại trong đồng vắng.
And all the chiefs and all the people came gladly and put their money into the chest, till they had all given.|Hết thảy các quan trưởng và cả dân sự đều vui mừng, đem bạc đến bỏ vào trong hòm cho đến đầy.
So when the chest was taken to the king's servants by the Levites, and they saw that there was much money in it, the king's scribe and the chief priest's servant took the money out, and put the chest back in its place. They did this day by day, and got together a great amount of money.|Khi người Lê-vi thấy trong hòm đựng nhiều bạc, bèn đem nó lên giao cho vua kiểm soát; thơ ký vua và người của thầy tế lễ thượng phẩm đều đến trút hòm ra, rồi đem để lại chỗ cũ. Mỗi ngày họ làm như vậy, và thâu được rất hiều bạc.
Then the king and Jehoiada gave it to those who were responsible for getting the work done on the Lord's house, and with it they got wall-builders and woodworkers and metal-workers to put the house of the Lord in good order again.|Vua và Giê-hô-gia-đa giao bạc ấy cho những kẻ coi sóc công việc trong đền Đức Giê-hô-va; họ mướn thợ đẽo đá, và thợ mộc, đặng tu bổ đền Đức Giê-hô-va; cũng mướn những thợ sắt và thợ đồng đặng sửa lại đền Đức Giê-hô-va.
So the workmen did their work, making good what was damaged and building up the house of God till it was strong and beautiful again.|Vậy, các thợ làm công việc, và nhờ tay họ việc tu bổ được thành; chúng làm lại đền của Đức Chúa Trời như cũ, và làm cho vững chắc.
And when the work was done, they took the rest of the money to the king and Jehoiada, and it was used for making the vessels for the house of the Lord, all the vessels needed for the offerings, the spoons and the vessels of gold and silver. And as long as Jehoiada was living, the regular burned offerings were offered in the house of the Lord.|Khi đã làm xong, chúng bèn đem bạc còn dư lại đến trước mặt vua và Giê-hô-gia-đa; người ta dùng bạc ấy làm những đồ lễ về đền Đức Giê-hô-va, tức những đồ dùng về việc phụng sự, và về cuộc tế lễ, những chén, và những khí dụng bằng vàng bằng bạc. Trọn đời Giê-hô-gia-đa, người ta hằng dâng của lễ thiêu tại đền của Đức Giê-hô-va luôn luôn.
But Jehoiada became old and full of days, and he came to his end; he was a hundred and thirty years old at the time of his death.|Vả, Giê-hô-gia-đa đã trở về già tuổi rất cao, rồi qua đời; lúc người thác, được một trăm ba mươi tuổi.
And they put him into his last resting-place in the town of David, among the kings, because he had done good in Israel for God and for his house.|Người ta chôn người tại trong thành Đa-vít chung với các vua, vì người có công lao trong Y-sơ-ra-ên, có hầu việc Đức Chúa Trời, và tu bổ đền của Ngài.
Now after the death of Jehoiada, the chiefs of Judah came and went down on their faces before the king. Then the king gave ear to them.|Sau khi Giê-hô-gia-đa đã qua đời, các quan trưởng Giu-đa đến chầu lạy vua. Vua bèn nghe theo lời của chúng,
And they gave up the house of the Lord God of their fathers, and became worshippers of pillars of wood and of the images; and because of this sin of theirs, wrath came on Judah and Jerusalem.|lìa bỏ đền Đức Giê-hô-va là Đức Chúa Trời của tổ phụ mình, mà phục sự những thần A-sê-ra và các hình tượng; tại cớ tội lỗi ấy, bèn có cơn giận của Chúa nghịch cùng Giu-đa và Giê-ru-sa-lem.
And the Lord sent them prophets to make them come back to him; and they gave witness against them, but they would not give ear.|Đức Giê-hô-va sai các đấng tiên tri đến cùng chúng, để dắt chúng trở lại cùng Đức Giê-hô-va; nhưng chúng không chịu nghe.
Then the spirit of God came on Zechariah, the son of Jehoiada the priest, and, getting up before the people, he said to them, God has said, Why do you go against the orders of the Lord, so that everything goes badly for you? because you have given up the Lord, he has given you up.|Thần của Đức Chúa Trời cảm động Xa-cha-ri, con trai của thầy tế lễ Giê-hô-gia-đa; người đứng dậy trước mặt dân sự, mà nói rằng: Đức Chúa Trời phán như vầy: Cớ sao các ngươi phạm các điều răn của Đức Giê-hô-va? Các ngươi sẽ chẳng may mắn được, vì đã lìa bỏ Đức Giê-hô-va, và Đức Giê-hô-va cũng đã lìa bỏ các ngươi.
But when they had made a secret design against him, he was stoned with stones, by the king's order, in the outer square of the Lord's house.|Chúng bèn phản nghịch với người, và theo lịnh vua ném đá người tại trong hành lang của đền Đức Giê-hô-va.
So King Joash did not keep in mind how good Jehoiada his father had been to him, but put his son to death. And in the hour of his death he said, May the Lord see it and take payment!|Ay vậy, vua Giô-ách không nhớ đến sự nhân từ của Giê-hô-gia-đa, cha của A-cha-xia, đã làm cho mình, nhưng giết con trai người đi; khi người chết thì có nói rằng: Nguyện Đức Giê-hô-va xem xét và báo lại cho!
Now in the spring, the army of the Aramaeans came up against him; they came against Judah and Jerusalem, putting to death all the great men of the people and sending all the goods they took from them to the king of Damascus.|Xảy khi đến cuối năm, thì đạo binh Sy-ri kéo lên hãm đánh Giô-ách; chúng nó loán đến Giu-đa và Giê-ru-sa-lem, giết các quan trưởng của dân, rồi gởi hết những của cướp về cho vua tại Đa-mách.
For though the army of Aram was only a small one, the Lord gave a very great army into their hands, because they had given up the Lord, the God of their fathers. So they put into effect the punishment of Joash.|Đạo binh Sy-ri kéo đến có ít người, Đức Giê-hô-va lại phó một đạo binh rất đông vào tay chúng nó, bởi vì họ đã lìa bỏ Giê-hô-va Đức Chúa Trời của tổ phụ mình. Như vậy, dân Sy-ri xử hình phạt cho Giô-ách.
And when they had gone away from him, (for he was broken with disease,) his servants made a secret design against him because of the blood of the son of Jehoiada the priest, and they put him to death on his bed; and they put his body into the earth in the town of David, but not in the resting-place of the kings.|Khi chúng đã bỏ đi rồi , các đầy tớ người bèn phản nghịch cùng người, vì cớ huyết của con trai thầy tế lễ Giê-hô-gia-đa, giết người tại trên giường, và người chết; người ta chôn người tại trong thành Đa-vít, song không phải trong mồ các vua.
Those who made designs against him were Zabad, the son of Shimeath, an Ammonite woman, and Jehozabad, the son of Shimrith, a Moabite woman.|Nầy là những kẻ dấy nghịch cùng người: Xa-bát, con trai của Si-mê-át, là đờn bà Am-môn, và Giô-xa-bát, con trai Sim-rít, là đờn bà Mô-áp.
Now the story of his sons, and all the words said by the prophet against him, and the building up again of the Lord's house, are recorded in the account in the book of the kings. And Amaziah his son became king in his place.|Còn về việc các con trai người, số cống thuế người phải nộp, và cuộc tu bổ đền của Đức Giê-hô-va, thảy đều chép trong sách truyện các vua. A-ma-xia, con trai người, cai trị thế cho người.

					II Chronicles 25				|
						II Sử Ký 25					
Amaziah was twenty-five years old when he became king, and he was ruling in Jerusalem for twenty-nine years; his mother's name was Jehoaddan of Jerusalem.|A-ma-xia được hai mươi lăm tuổi khi người lên ngôi làm vua; người cai trị hai mươi chín năm tại Giê-ru-sa-lem; mẹ người tên là Giô -a-đan, quê ở Giê-ru-sa-lem.
He did what was right in the eyes of the Lord, but his heart was not completely true to the Lord.|Người làm điều thiện tại trước mặt Đức Giê-hô-va, song lòng không được trọn lành.
Now when he became strong in the kingdom, he put to death those men who had taken the life of the king his father.|Xảy khi nước người được vững chắc, thì người xử tử những đầy tớ đã giết cha mình.
But he did not put their children to death, for he kept the orders of the Lord recorded in the book of the law of Moses, saying, The fathers are not to be put to death for their children or the children for their fathers, but a man is to be put to death for the sin which he himself has done.|Nhưng người không xử tử các con trai chúng, theo điều đã chép trong sách luật pháp của Môi-se, như Đức Giê-hô-va đã phán dặn rằng: Cha sẽ chẳng phải chết vì con, con cũng sẽ chẳng phải chết vì cha; song mỗi người sẽ chết vì tội mình.
Then Amaziah got all Judah together and put them in order by their families, even all Judah and Benjamin, under captains of thousands and captains of hundreds: and he had those of twenty years old and over numbered, and they came to three hundred thousand of the best fighting-men, trained for war and in the use of the spear and the body-cover.|A-ma-xia nhóm những người Giu-đa, cứ theo họ hàng của tổ phụ Giu-đa và Bên-gia-min, mà lập những quan tướng cai ngàn người và cai trăm người; lại tu bộ những người từ hai mươi tuổi sấp lên, số cọng được ba mươi vạn người kén chọn ra trận được cùng có tài cầm giáo và khiên.
And for a hundred talents of silver, he got a hundred thousand fighting-men from Israel.|Người cũng mộ mười vạn người mạnh dạn trong Y-sơ-ra-ên, giá một trăm ta lâng bạc.
But a man of God came to him, saying, O king, let not the army of Israel go with you; for the Lord is not with Israel, that is, the children of Ephraim.|Nhưng có người của Đức Chúa Trời đến nói với người rằng: Hỡi vua! đạo binh Y-sơ-ra-ên chớ kéo đi với vua; vì Đức Giê-hô-va chẳng ở cùng Y-sơ-ra-ên, chẳng ở cùng các con cháu Ep-ra-im.
But go yourself, and be strong in war; God will not let you go down before those who are fighting against you; for God has power to give help or to send you down before your attackers.|Còn nếu vua muốn đi, thì hãy đi đi khá làm cho mình mạnh mẽ mà chinh chiến đi; Đức Chúa Trời sẽ khiến vua ngã trước mặt quân thù; vì Đức Chúa Trời có quyền giúp cho thắng và cũng có quyền làm cho sa bại.
Then Amaziah said to the man of God, But what is to be done about the hundred talents which I have given for the armed band of Israel? And the man of God in answer said, God is able to give you much more than this.|A-ma-xia nói với người Đức Chúa Trời rằng: Còn về một trăm ta lâng bạc kia, mà ta đã phát cho đạo binh Y-sơ-ra-ên, thì phải làm sao? Người của Đức Chúa Trời đáp: Đức Giê-hô-va có thể ban cho vua nhiều hơn số ấy.
So Amaziah, separating the armed band which had come to him from Ephraim, sent them back again; which made them very angry with Judah, and they went back burning with wrath.|Vậy, A-ma-xia phân rẽ đạo binh đã từ Ep-ra-im đến cùng người, cho chúng trở về nhà; tại cớ ấy, chúng giận Giu-đa lắm, và trở về nhà lấy làm nóng giận phừng.
Then Amaziah took heart, and went out at the head of his people and came to the Valley of Salt, where he put to death ten thousand of the children of Seir;|A-ma-xia làm dạn dĩ, kéo dân sự mình đến trũng Muối, đánh một vạn người của dân Sê -i-rơ.
And ten thousand more the children of Israel took living, and made them go up to the top of the rock, pushing them down from the top of the rock so that their bodies were broken by the fall.|Dân Giu-đa bắt sống một vạn người đem chúng nó lên trên chót hòn đá, rồi từ trên chót hòn đá xô chúng nó xuống, thảy đều bị giập chết hết.
But the men of the band which Amaziah sent back and did not take with him to the fight, made attacks on the towns of Judah from Samaria to Beth-horon, putting to death three thousand of their people and taking away a great store of their goods.|Còn đạo binh mà A-ma-xia khiến trở về, không cho đi ra trận với mình, thì xông vào các thành Giu-đa, từ Sa-ma-ri cho đến Bết-Hô-rôn, đánh giết ba ngàn người tại đó, và cướp lấy nhiều của cải.
Now when Amaziah came back from the destruction of the Edomites, he took the gods of the children of Seir and made them his gods, worshipping them and burning offerings before them.|Khi đánh được dân Ê-đôm trở về, thì đem các thần của dân Sê -i-rơ về, lập lên làm thần của mình, quì lạy trước mặt chúng nó, và đốt hương cho.
And so the wrath of the Lord was moved against Amaziah, and he sent a prophet to him, who said, Why have you gone after the gods of the people who have not given their people salvation from your hands?|Vì vậy, cơn thạnh nộ của Đức Giê-hô-va nổi lên cùng A-ma-xia, Ngài sai một đấng tiên tri đến nói với người rằng: Cớ sao ngươi đi cầu các thần không giải cứu được dân tộc thờ lạy chúng nó khỏi tay ngươi?
But while he was talking to him the king said to him, Have we made you one of the king's government? say no more, or it will be the cause of your death. Then the prophet gave up protesting, and said, It is clear to me that God's purpose is your destruction, because you have done this and have not given ear to my words.|Xảy khi đấng tiên tri tâu với vua, thì vua bảo người rằng: Ta há lập ngươi làm mưu sĩ cho vua sao? Hãy thôi đi, kẻo ta đánh ngươi chăng Đấng tiên tri bèn thôi, và nói rằng: Tôi biết rằng Đức Giê-hô-va đã quyết định hủy diệt vua, bởi vì vua đã làm điều ấy, và không nghe lời tôi.
Then Amaziah, king of Judah, acting on the suggestion of his servants, sent to Joash, the son of Jehoahaz, the son of Jehu, king of Israel, saying, Come, let us have a meeting face to face.|A-ma-xia, vua Giu-đa, mưu nghị rồi, thì sai đến Giô-ách, con trai Giô -a-cha, cháu Giê-hu, vua Y-sơ-ra-ên, mà nói rằng: Hãy đến, để chúng ta thấy nhau.
And Joash, king of Israel, sent to Amaziah, king of Judah, saying, The thorn-tree in Lebanon sent to the cedar in Lebanon, saying, Give your daughter to my son for a wife: and a beast from the woodland in Lebanon went by, crushing the thorn under his feet.|Giô-ách, vua Y-sơ-ra-ên, sai sứ đến A-ma-xia, vua Giu-đa, mà nói rằng: Cây gai ở Li-ban có sai đến nói với cây bá hương ở Li-ban rằng: Hãy gả con gái ngươi cho con trai ta làm vợ. Song có một con thú đồng ở Li-ban đi ngang qua, giày đạp cây gai đi.
You say, See, I have overcome Edom; and your heart is lifted up with pride: now keep in your country; why do you make causes of trouble, putting yourself, and Judah with you, in danger of downfall?|Ngươi nói: Nầy ta đã đánh Ê-đôm! Lòng ngươi lại tự cao tự khoe. Bây giờ, khá ở trong nhà ngươi, cớ sao làm cho mình mắc họa, và khiến cho ngươi và Giu-đa phải sa ngã?
But Amaziah gave no attention; and this was the purpose of God, so that he might give them up into the hands of Joash, because they had gone after the gods of Edom.|A-ma-xia không nghe lời, vì điều đó do ý Đức Chúa Trời, để phó chúng vào tay kẻ thù nghịch, bởi vì chúng có tìm kiếm các thần của Ê-đôm.
And so Joash, king of Israel, went up; and he and Amaziah, king of Judah, came face to face at Beth-shemesh in Judah.|Giô-ách, vua Y-sơ-ra-ên, kéo lên; người và A-ma-xia, vua Giu-đa, bèn thấy nhau tại Bết-sê-mết trong xứ Giu-đa.
And Judah was overcome before Israel, and they went in flight, every man to his tent.|Quân Giu-đa bị quân Y-sơ-ra-ên đánh đuổi, bèn chạy trốn, ai về trại nấy.
And Joash, king of Israel, made Amaziah, king of Judah, the son of Joash, the son of Jehoahaz, prisoner at Beth-shemesh, and took him to Jerusalem; and he had the wall of Jerusalem pulled down from the doorway of Ephraim to the doorway in the angle, four hundred cubits.|Tại Bết-sê-mết, Giô-ách vua Y-sơ-ra-ên, bắt A-ma-xia, vua Giu-đa, con trai Giô-ách, cháu Giô -a-cha, điệu người về Giê-ru-sa-lem đoạn người phá cửa Góc, một khúc dài bốn trăm thước.
And he took all the gold and silver and all the vessels which were in the house of the Lord, under the care of Obed-edom, and all the wealth from the king's house, as well as those whose lives would be the price of broken faith, and went back to Samaria.|Người lấy hết vàng, bạc, và những khí dụng ở trong đền của Đức Chúa Trời, có Ô-bết-Ê-đôm coi giữ, cùng các bửu vật của cung vua; người cũng bắt kẻ cầm làm tin, rồi trở về Sa-ma-ri.
Amaziah, son of Joash, king of Judah, went on living for fifteen years after the death of Joash, the son of Jehoahaz, king of Israel.|A-ma-xia, con trai Giô-ách, vua Giu-đam còn sống mười lăm năm nữa, sau khi Giô -a-cha, vua Y-sơ-ra-ên, đã băng hà.
Now the rest of the acts of Amaziah, first and last, are they not recorded in the book of the kings of Judah and Israel?|Các công việc khác của A-ma-xia từ đầu đến cuối, đều đã chép trong sách các vua Giu-đa và Y-sơ-ra-ên.
Now from the time when Amaziah gave up worshipping the Lord, they made secret designs against him in Jerusalem; and he went in flight to Lachish: but they sent to Lachish after him and put him to death there.|Vả từ khi A-ma-xia xây bỏ Đức Giê-hô-va về sau, thì có người phản nghịch cùng người tại Giê-ru-sa-lem, người bèn chạy trốn đến La-ki; song người ta sai đuổi theo người đến La-ki, và giết người tại đó.
And they took his body on horseback and put it into the earth with his fathers in the town of David.|Đoạn người ta có chở thây người về trên ngựa, chôn người tại trong thành Giu-đa chung cùng các tổ phụ người.

					II Chronicles 26				|
						II Sử Ký 26					
Then all the people of Judah took Uzziah, who was sixteen years old, and made him king in place of his father Amaziah.|Cả dân Giu-đa đều lập Ô-xia làm vua thế cho A-ma-xia, cha người; tuổi người được mười sáu.
He was the builder of Eloth, which he got back for Judah after the death of the king.|Sau khi vua cha đã an giấc với các tổ phụ, người xây cất Ê-lốt, và khôi phục nó cho Giu-đa.
Uzziah was sixteen years old when he became king, and he was ruling in Jerusalem for fifty-two years; his mother's name was Jechiliah of Jerusalem.|Ô-xia được mười sáu tuổi, khi người lên làm vua; người cai trị năm mươi hai năm tại Giê-ru-sa-lam; mẹ người tên là Giê-cô-lia, quê ở Giê-ru-sa-lem.
He did what was right in the eyes of the Lord, as his father Amaziah had done.|Người làm điều thiện trước mặt Đức Giê-hô-va, y theo mọi điều A-ma-xia, cha người đã làm.
He gave himself to searching after God in the days of Zechariah, who made men wise in the fear of God; and as long as he was true to the Lord, God made things go well for him.|Trong đời Xa-cha-ri, là người thông hiểu các dị tượng của Đức Chúa Trời, thì Ô-xia rắp lòng tìm kiếm Đức Chúa Trời; và người tìm kiếm bao lâu; thì Đức Chúa Trời khiến cho người đặng may mắn bấy lâu.
He went out and made war against the Philistines, pulling down the walls of Gath and Jabneh and Ashdod, and building towns in the country round Ashdod and among the Philistines.|Người kéo ra chiến tranh với dân Phi-li-tin đánh đổ tường thành Gát, tường thành Giáp-nê, và tường thành Ach-đốt; người xây cất những thành trong địa hạt Ach-đốt và tại đất người Phi-li-tin.
And God gave him help against the Philistines, and against the Arabians living in Gur-baal, and against the Meunim.|Đức Chúa Trời giúp đỡ người được thắng dân Phi-li-tin, dân A rạp ở tại Gu-rơ-Ba-anh, và dân Ma-ôn.
The Ammonites gave offerings to Uzziah: and news of him went out as far as the limit of Egypt; for he became very great in power.|Dân Am-môn cũng tiến cống cho Ô-xia; danh tiếng người đồn đến cõi Ê-díp-tô, vì người đã trở nên rất cường thạnh.
Uzziah made towers in Jerusalem, at the doorway in the angle and at the doorway in the valley and at the turn of the wall, arming them.|Ô-xia cũng xây những tháp tại Giê-ru-sa-lem, trên cửa Góc, trên cửa Trũng, và trên Góc tường, làm cho nó vững chắc.
And he put up towers in the waste land and made places for storing water, for he had much cattle, in the low hills and in the table land; and he had farmers and vine-keepers in the mountains and in the fertile land, for he was a lover of farming.|Người cũng cất những tháo trong đồng vắng, đào nhiều giếng, vì có nhiều súc vật trong đồng bằng và trên đồng cao; cũng có những người làm ruộng, kẻ trồng nho trên núi và tại Cạt-mên, vì người thích việc canh nông.
In addition, Uzziah had an army of fighting-men who went out to war in bands, as they had been listed by Jeiel the scribe and Maaseiah the ruler, under the authority of Hananiah, one of the king's captains.|Ô-xia có một đạo binh đặn đi chinh chiến, kéo ra trận từ tốp, tùy số tu bộ mà thơ ký Giê-hi-ên, và quan giám thị Ma -a-xê-gia đã làm, có Ha-na-nia, đại thần của vua, cai quản.
The heads of families, the strong men of war, were two thousand, six hundred.|Trọn số các trưởng tộc, tức là những người mạnh dạn, là hai ngàn sáu trăm người.
And under their orders was a trained army of three hundred and seven thousand, five hundred, of great strength in war, helping the king against any who came against him.|Chúng quản lãnh một đạo binh ba mươi vạn bảy ngàn sáu trăm người, đều hay đánh giặc cách mạnh dạn, hầu giúp vua đối địch với cừu địch.
And Uzziah had all these forces armed with body-covers and spears and head-covers and coats of metal and bows and stones for sending from leather bands.|Ô-xia sắm sửa cho cả đạo binh những khiên, giáo, mũ, giáp, cung, và những đá trành.
And in Jerusalem he made machines, the invention of expert men, to be placed on the towers and angles of the walls for sending arrows and great stones. And his name was honoured far and wide; for he was greatly helped till he was strong.|Ở Giê-ru-sa-lem, người khiến tay kỹ sư chế tạo những máy dùng đặt trên các tháp, và trên chót đồn lũy, đặng bắn tên và đá lớn. Danh tiếng người đồn ra phương xa; bởi vì người được Chúa giúp đỡ cách lạ thường, cho đến trở nên cường thạnh.
But when he had become strong, his heart was lifted up in pride, causing his destruction; and he did evil against the Lord his God; for he went into the Temple of the Lord for the purpose of burning perfumes on the altar of perfumes.|Song khi người được trở nên cường thạnh, lòng bèn kiêu ngạo, đến đỗi làm ác, phạm tội cùng Giê-hô-va Đức Chúa Trời của người; vì người vào trong đền thờ Đức Giê-hô-va, xông hương trên bàn thờ xông hương.
And Azariah the priest went in after him, with eighty of the Lord's priests, who were strong men;|Thầy tế lễ A-xa-ria vào sau người, có tám mươi thầy tế lễ, đều là người mạnh dạn, đồng đi theo.
And they made protests to Uzziah the king, and said to him, The burning of perfumes, Uzziah, is not your business but that of the priests, the sons of Aaron, who have been made holy for this work: go out of the holy place, for you have done wrong, and it will not be to your honour before God.|Chúng cản cự vua Ô-xia mà rằng: Hỡi vua, chẳng phải phần vua xông hương cho Đức Giê-hô-va đâu, bèn là phần của những thầy tế lễ, con cháu A-rôn, đã được biệt riêng ra thánh đặng xông hương vậy. Hãy đi ra khỏi đền thánh, vì vua đã phạm tội; lại vì việc này Đức Giê-hô-va sẽ chẳng làm cho vua được vinh hiển đâu
Then Uzziah was angry; and he had in his hand a vessel for burning perfume; and while his wrath was bitter against the priests, the mark of the leper's disease came out on his brow, before the eyes of the priests in the house of the Lord by the altar of perfumes.|Ô-xia bèn nổi giận; người cầm nơi tay một cái bình hương toan xông hương; và đang khi người nổi giận cùng những thầy tế lễ, phung bèn nổi lên nơi trán người trước mặt những thầy tế lễ, tại trong đền của Đức Giê-hô-va ở gần bên bàn thờ xông hương.
And Azariah, the chief priest, and all the priests, looking at him, saw the mark of the leper on his brow, and they sent him out quickly and he himself went out straight away, for the Lord's punishment had come on him.|A-xa-ria, thầy tế lễ thượng phẩm, và hết thảy thầy tế lễ khác ngó xem người, thấy người bị bịnh phung ở nơi trán, bèn đuổi người ra khỏi đó; và chính người cũng lật đật ra, vì Đức Giê-hô-va hành hại người.
So King Uzziah was a leper till the day of his death, living separately in his private house; for he was cut off from the house of God; and Jotham his son was ruling over his house, judging the people of the land.|Ô-xia bị bịnh phung cho đến ngày băng hà; và vì bị phung phải ở riêng ra trong một nhà khác, chẳng còn được vào đền của Đức Giê-hô-va nữa; Giô-tham, con trai người, quản lý cung vua, và xét đoán dân sự của nước.
Now the rest of the acts of Uzziah, first and last, were recorded by Isaiah the prophet, the son of Amoz.|Đấng tiên tri Ê-sai, con trai của A-mốt, đã biên chép các công sự khác của Ô-xia từ đầu đến cuối.
So Uzziah went to rest with his fathers; and they put his body into the earth in the field used for the resting-place of the kings, for they said, He is a leper: and Jotham his son became king in his place.|Ô-xia an giấc cùng tổ phụ người, và người ta chôn người chung với tổ phụ người tại ruộng lăng tẩm của các vua; vì người ta nói rằng: Người bị phung. Giô-tham, con trai người, cai trị thế cho người.

					II Chronicles 27				|
						II Sử Ký 27					
Jotham was twenty-five years old when he became king; and he was ruling in Jerusalem for sixteen years; and his mother's name was Jerushah, the daughter of Zadok.|Giô-tham được hai mươi lăm tuổi khi người lên ngôi làm vua, và người cai trị mười sáu năm tại Giê-ru-sa-lem; mẹ người tên là Giê-ru-sa, con gái của Xa-đốc.
He did what was right in the eyes of the Lord, as his father Uzziah had done; but he did not go into the Temple of the Lord. And the people still went on in their evil ways.|Người làm điều thiện trước mặt Đức Giê-hô-va, y theo mọi điều Ô-xia, cha người, đã làm; song người không vào đền thờ của Đức Giê-hô-va; còn dân sự lại càng làm luông tuồng nữa.
He put up the higher doorway of the house of the Lord, and did much building on the wall of the Ophel.|Người xây cửa trên của đền Đức Giê-hô-va, và xây nhiều trên tường thành Ô-phên.
In addition, he made towns in the hill-country of Judah, and strong buildings and towers in the woodlands.|Người cũng xây những thành trong miền núi Giu-đa, và đền đài cùng những tháp ở trên rừng.
He went to war with the king of the children of Ammon and overcame them. That year, the children of Ammon gave him a hundred talents of silver, and ten thousand measures of grain and ten thousand measures of barley. And the children of Ammon gave him the same amount the second year and the third.|Người đánh giặc với vua dân Am-môn, và thắng được chúng. Trong năm đó, dân Am-môn nộp cho người một trăm ta lâng bạc một vạn cô-rơ lúa miến, và một vạn cô-rơ lúc mạch. Trong năm thứ nhì và thứ ba, dân Am-môn cũng tiến cống người số ấy.
So Jotham became strong, because in all his ways he made the Lord his guide.|Vậy, Giô-tham trở nên cường thạnh, bởi vì người đi đường chánh đáng trước mặt Đức Giê-hô-va, là Đức Chúa Trời mình.
Now the rest of the acts of Jotham, and all his wars and his ways, are recorded in the book of the kings of Israel and Judah.|Các công việc khác của Giô-tham, hết thảy những chiến trận và đường lối của người, đều chép trong sách các vua Y-sơ-ra-ên và Giu-đa.
He was twenty-five years old when he became king, and he was ruling in Jerusalem for sixteen years.|Người được hai mươi lăm tuổi khi lên làm vua, và người cai trị mười sáu năm tại Giê-ru-sa-lem.
And Jotham went to rest with his fathers, and they put his body into the earth in the town of David; and Ahaz his son became king in his place.|Người an giấc cùng tổ tiên mình, người ta chôn người tại trong thành Đa-vít; đoạn A-cha, con trai người, cai trị thế cho người.

					II Chronicles 28				|
						II Sử Ký 28					
Ahaz was twenty years old when he became king, and he was ruling in Jerusalem for sixteen years; he did not do what was right in the eyes of the Lord, like David his father:|A-cha được hai mươi tuổi khi người lên ngôi làm vua; người cai trị mười sáu năm tại Giê-ru-sa-lem, chẳng làm điều thiện trước mặt Đức Giê-hô-va y như Đa-vít, tổ phụ người, đã làm;
But he went in the ways of the kings of Israel and made images of metal for the Baals.|nhưng người đi theo đường lối của các vua Y-sơ-ra-ên, lại cũng làm những hình tượng đúc cho thần Ba-anh,
More than this, he had offerings burned in the valley of the son of Hinnom, and made his children go through fire, copying the disgusting ways of the nations whom the Lord had sent out of the land before the children of Israel.|đốt hương trong trũng con Hi-nôm, và thiêu con cái mình nơi lửa, theo sự gớm ghiếc của các dân tộc mà Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-đơ-ra-ên.
And he made offerings and had perfumes burned in the high places and on the hills and under every green tree.|Người dâng của lễ và xông hương trên các nơi cao, trên các gò nổng và dưới các cây rậm.
So the Lord his God gave him up into the hands of the king of Aram; and they overcame him, and took away a great number of his people as prisoners to Damascus. Then he was given into the hands of the king of Israel, who sent great destruction on him.|Vì vậy, Giê-hô-va Đức Chúa Trời người phó người vào tay vua Sy-ri; quân Sy-ri đánh được người, bắt trong dân người rất nhiều phu tù, và dẫn về Đa-mách, Người cũng bị phó vào tay của Y-sơ-ra-ên, làm cho người phải thất trận cả thể.
