
					Genesis 1				|
For he had great wealth of flocks and herds and great numbers of servants; so that the Philistines were full of envy.|Người có nhiều bầy chiên, bầy bò và tôi tớ rất đông; bởi cớ ấy, dân Phi-li-tin đem lòng ganh ghẻ.
Now all the water-holes, which his father's servants had made in the days of Abraham, had been stopped up with earth by the Philistines.|Mấy cái giếng lúc trước đầy tớ của Ap-ra-ham, cha người, đã đào, bây giờ đều bị dân Phi-li-tin lấp đất lại hết.
And Abimelech said to Isaac, Go away from us, for you are stronger than we are.|A-bi-mê-léc nói cùng Y-sác rằng: Hãy ra khỏi nơi ta, vì ngươi thạnh vượng hơn chúng ta bội phần.
So Isaac went away from there, and put up his tents in the valley of Gerar, making his living-place there.|Vậy, Y-sác bỏ chốn nầy đi đến đóng trại tại trũng Ghê-ra và ở đó.
And he made again the water-holes which had been made in the days of Abraham his father, and which had been stopped up by the Philistines; and he gave them the names which his father had given them.|Y-sác bèn đào lại mấy cái giếng người ta đã đào trong đời Ap-ra-ham, cha mình, mà bị dân Phi-li-tin lấp đất lại khi Ap-ra-ham qua đời, và đặt tên mấy giếng đó như tên của cha mình đã đặt.
Now Isaac's servants made holes in the valley, and came to a spring of flowing water.|Các đầy tớ của Y-sác còn đào thêm giếng nơi trũng, gặp được một giếng nước mạch.
But the herdmen of Gerar had a fight with Isaac's herdmen, for they said, The spring is ours: so he gave the spring the name of Esek, because there was a fight about it.|Nhưng bọn chăn chiên Ghê-ra tranh giành cùng bọn chăn chiên của Y-sác, mà rằng: Người đó của chúng ta; nên người đặt tên giếng nầy là Ê-sét. Vì bọn chăn chiên đó có tranh giành cùng mình.
Then they made another water-hole, and there was a fight about that, so he gave it the name of Sitnah.|Kế ấy, các đầy tớ đào một giếng khác, thì bị tranh giành nhau nữa; người đặt tên giếng nầy là Sít-na.
Then he went away from there, and made another water-hole, about which there was no fighting: so he gave it the name of Rehoboth, for he said, Now the Lord has made room for us, and we will have fruit in this land.|Đoạn, người bỏ chỗ đó đi đào một giếng khác; về giếng nầy, họ không tranh giành nhau, nên người đặt tên là Rê-hô-bốt, mà rằng: Bây giờ Đức Giê-hô-va đã để cho chúng ta được rộng rãi, và ta sẽ đặng thịnh vượng trong xứ.
And from there he went on to Beer-sheba.|Y-sác ở đó đi, dời lên Bê -e-Sê-ba.
That night the Lord came to him in a vision, and said, I am the God of your father Abraham: have no fear for I am with you, blessing you, and your seed will be increased because of my servant Abraham.|Đêm đó Đức Giê-hô-va hiện đến cùng người và phán rằng: Ta là Đức Chúa Trời của Ap-ra-ham, cha ngươi; chớ sợ chi, ta ở cùng ngươi, sẽ ban phước cho và thêm dòng dõi ngươi, vì cớ Ap-ra-ham là tôi tớ ta.
Then he made an altar there, and gave worship to the name of the Lord, and he put up his tents there, and there his servants made a water-hole.|Y-sác lập một bàn thờ, cầu khẩn danh Đức Giê-hô-va và đóng trại tại đó. Đoạn, các đầy tớ người đào một cái giếng tại nơi ấy.
And Abimelech had come to him from Gerar, with Ahuzzath his friend and Phicol, the captain of his army.|Vua A-bi-mê-léc ở Ghê-ra đi đến viếng Y-sác, có A-hu-sát, bạn mình, và Phi-côn, quan tổng binh mình, đi theo.
And Isaac said to them, Why have you come to me, seeing that in your hate for me you sent me away from you?|Y-sác bèn hỏi rằng: Các người ghét tôi, đã đuổi tôi ra khỏi nơi mình, sao còn đi đến tôi mà chi?
And they said, We saw clearly that the Lord was with you: so we said, Let there be an oath between us and you, and let us make an agreement with you;|Chúng đáp rằng: Chúng tôi đã thấy rõ ràng Đức Giê-hô-va phù hộ người, nên nói với nhau rằng: Phải có một lời thề giữa chúng tôi và người, để chúng ta kết giao ước với người.
That you will do us no damage, even as we put no hand on you, and did you nothing but good, and sent you away in peace: and now the blessing of the Lord is on you.|Hãy thề rằng: Người chẳng bao giờ làm hại chúng tôi, như chúng tôi đã không động đến người, chỉ hậu đãi người và cho đi bình yên. Bây giờ người được Đức Giê-hô-va ban phước cho.
Then he made a feast for them, and they all had food and drink.|Y-sác bày một bữa tiệc, các người đồng ăn uống.
And early in the morning they took an oath one to the other: then Isaac sent them away and they went on their way in peace.|Qua ngày sau, chúng đậy sớm, lập lời thề với nhau. Rồi, Y-sác đưa các người đó đi về bình yên.
And that day Isaac's servants came to him and gave him word of the water-hole which they had made, and said to him, We have come to water.|Cùng trong ngày đó, các đầy tớ của Y-sác đến đem tin cho người hay về giếng họ đã đào, rằng: Chúng tôi đã thấy có nước.
And he gave it the name of Shibah: so the name of that town is Beer-sheba to this day.|Người bèn đặt tên cái giếng đó là Si-ba. Vì cớ đó nên tên thành ấy là Bê -e-Sê-ba cho đến ngày nay.
And when Esau was forty years old, he took as his wives Judith, the daughter of Beeri the Hittite, and Basemath, the daughter of Elon the Hittite:|Khi Ê-sau được bốn mươi tuổi, cưới Giu-đít, con gái của Bê -e-ri, người Hê-tít; và Bách-mát, con gái của Ê-lôn, cũng người Hê-tít.
And Isaac and Rebekah had grief of mind because of them.|Hai dâu đó là một sự cay đắng lòng cho Y-sác và Rê-be-ca.

					Genesis 27				|
						Sáng Thế 27					
Now when Isaac was old and his eyes had become clouded so that he was not able to see, he sent for Esau, his first son, and said to him, My son: and he said, Here am I.|Bởi Y-sác đã già, mắt làng chẳng thấy được nữa, bèn gọi Ê-sau, con trưởng nam, mà rằng: Hỡi con! Ê-sau thưa rằng: Có con đây.
And he said, See now, I am old, and my death may take place at any time:|Người bèn nói rằng: Nầy, cha đã già rồi, chẳng biết ngày nào phải chết;
So take your arrows and your bow and go out to the field and get meat for me;|vậy bây giờ, cha xin con hãy lấy khí giới, ống tên và cung con, ra đồng săn thịt rừng cho cha,
And make me food, good to the taste, such as is pleasing to me, and put it before me, so that I may have a meal and give you my blessing before death comes to me.|dọn một món ngon tùy theo cha sở thích; rồi dâng lên cho cha ăn, đặng linh hồn cha chúc phước cho con trước khi chết.
Now Isaac's words to his son were said in Rebekah's hearing. Then Esau went out to get the meat.|Vả, đương khi Y-sác nói cùng Ê-sau con trai mình, thì Rê-be-ca có nghe. Ê-sau bèn ra đồng săn thịt rừng đặng đem về cho cha.
And Rebekah said to Jacob, her son, Your father said to your brother Esau in my hearing,|Rê-be-ca nói cùng Gia-cốp, con trai mình, rằng: Nầy, mẹ có nghe cha nói cùng Ê-sau, anh con, và dặn rằng:
Go and get some roe's meat and make me a good meal, so that I may be full, and give you my blessing before the Lord before my death.|Hãy đem thịt rừng về cho cha, dọn một món ngon cha ăn; đặng trước khi qua đời, cha sẽ chúc phước cho con trước mặt Đức Giê-hô-va.
Now, my son, do what I say.|Vậy, con ơi! bây giờ, hãy nghe mẹ và làm theo lời mẹ biểu:
Go to the flock and get me two fat young goats; and I will make of them a meal to your father's taste:|Hãy ra ngoài bầy, bắt hai dê con tốt, rồi mẹ sẽ dọn cho cha con một món ngon, tùy theo người sở thích;
And you will take it to him, so that he may have a good meal and give you his blessing before his death.|con sẽ đem cho cha ăn, đặng người chúc phước con trước khi qua đời.
And Jacob said to Rebekah, his mother, But Esau my brother is covered with hair, while I am smooth:|Gia-cốp thưa lại cùng mẹ rằng: Thưa mẹ, Ê-sau, anh con, có lông, còn con lại không.
If by chance my father puts his hand on me, it will seem to him that I am tricking him, and he will put a curse on me in place of a blessing.|Có lẽ cha sẽ rờ mình chăng, coi con như kẻ phỉnh gạt, thì con chắc lấy cho mình sự rủa sả, chớ chẳng phải sự chúc phước đâu.
And his mother said, Let the curse be on me, my son: only do as I say, and go and get them for me.|Mẹ đáp rằng: Con ơi! xin sự rủa sả đó để cho mẹ chịu; hãy cứ nghe lời mẹ, ra bắt hai dê con.
So he went and got them and took them to his mother: and she made a meal to his father's taste.|Vậy, Gia-cốp đi bắt hai dê con, đem lại cho mẹ, làm món ngon, tùy theo cha sở thích.
And Rebekah took the fair robes of her oldest son, which were with her in the house, and put them on Jacob, her younger son:|Đoạn Rê-be-ca lấy quần áo tốt nhứt của Ê-sau, con trưởng nam, sẵn để trong nhà, mà mặc vào cho Gia-cốp, con út mình;
And she put the skins of the young goats on his hands and on the smooth part of his neck:|rồi người lấy da dê con bao hai tay và cổ, vì tay và cổ Gia-cốp không có lông.
And she gave into the hand of Jacob, her son, the meat and the bread which she had made ready.|Rê-be-ca bèn để món ngon và bánh của mình đã dọn vào tay con út mình.
And he came to his father, and said, My father: and he said, Here am I: who are you, my son?|Gia-cốp bưng đến cha mình và nói rằng: Thưa cha! Y-sác đáp: Có cha đây; con là đứa nào đó?
And Jacob said, I am Esau, your oldest son; I have done as you said: come now, be seated and take of my meat, so that you may give me a blessing.|Gia-cốp thưa: Tôi là Ê-sau, con trưởng nam của cha; con đã làm theo lời cha dặn biểu; xin cha dậy, ngồi ăn lấy thịt săn của con, đặng linh hồn cha sẽ chúc phước cho con.
And Isaac said, How is it that you have got it so quickly, my son? And he said, Because the Lord your God made it come my way.|Y-sác hỏi rằng: Sao con đi săn được mau thế? Thưa rằng: Ay nhờ Giê-hô-va Đức Chúa Trời của cha xui tôi gặp mau vậy.
And Isaac said, Come near so that I may put my hand on you, my son, and see if you are truly my son Esau or not.|Y-sác nói cùng Gia-cốp rằng: Hỡi con! hãy lại gần đặng cha rờ thử xem có phải là Ê-sau, con của cha chăng?
And Jacob went near his father Isaac: and he put his hands on him; and he said, The voice is Jacob's voice, but the hands are the hands of Esau.|Gia-cốp bèn lại gần Y-sác; người rờ và nói rằng: Tiếng nói thì của Gia-cốp, còn hai tay lại của Ê-sau.
And he did not make out who he was, because his hands were covered with hair like his brother Esau's hands: so he gave him a blessing.|Người chẳng nhận biết đặng vì hai tay cũng có lông như của anh, là Ê-sau. Vậy Y-sác chúc phước cho.
And he said, Are you truly my son Esau? And he said, I am.|Người lại hỏi rằng: Ay con thật là Ê-sau, con trai ta, phải chăng? Gia-cốp thưa: Phải, con đây.
And he said, Put it before me and I will take of my son's meat, so that I may give you a blessing. And he put it before him and he took it; and he gave him wine, and he had a drink.|Y-sác bèn nói: Hãy dọn cho cha ăn lấy thịt săn của con, đặng linh hồn cha chúc phước cho con. Gia-cốp dọn cho người ăn, cũng có đem rượu cho người uống nữa.
And his father Isaac said to him, Come near now, my son, and give me a kiss.|Rồi Y-sác cha người nói rằng: Hỡi con! hãy lại gần và hôn cha.
And he came near and gave him a kiss; and smelling the smell of his clothing, he gave him a blessing, and said, See, the smell of my son is like the smell of a field on which the blessing of the Lord has come:|Gia-cốp bèn lại gần và hôn người. Y-sác đánh mùi thơm của áo con, liền chúc phước cho, và nói rằng: Nầy, mùi hương của con ta Khác nào mùi hương của cánh đồng mà Đức Giê-hô-va đã ban phước cho.
May God give you the dew of heaven, and the good things of the earth, and grain and wine in full measure:|Cầu xin Đức Chúa Trời cho con sương móc trên trời xuống, Được màu mỡ của đất, và dư dật lúa mì cùng rượu.
Let peoples be your servants, and nations go down before you: be lord over your brothers, and let your mother's sons go down before you: a curse be on everyone by whom you are cursed, and a blessing on those who give you a blessing.|Muôn dân phải phục con, Các nước phải quì lạy trước mặt con! Hãy được quyền chủ các anh em, Các con trai của mẹ con phải quì lạy trước mặt con! Ai rủa sả con sẽ bị rủa sả lại, Ai cầu phước cho con, sẽ được ban phước lại!
And when Isaac had come to the end of blessing Jacob, and Jacob had not long gone away from Isaac his father, Esau came in from the field.|Vừa khi Y-sác chúc phước cho Gia-cốp xuống, và vừa khi Gia-cốp lùi ra khỏi nơi cha mình, thì Ê-sau, anh người, đi săn trở về.
And he made ready a meal, good to the taste, and took it to his father, and said to him, Let my father get up and take of his son's meat, so that you may give me a blessing.|Người cũng dọn một món ngon, dâng lên cho cha và thưa rằng: Xin dậy, ngồi ăn thịt săn của con trai cha, đặng linh hồn cha chúc phước cho con.
And Isaac his father said to him, Who are you? And he said, I am your oldest son, Esau.|Y-sác, cha người, hỏi: Con là đứa nào? Thưa rằng: Tôi là Ê-sau, con trưởng nam của cha.
And in great fear Isaac said, Who then is he who got meat and put it before me, and I took it all before you came, and gave him a blessing, and his it will be?|Y-sác lấy làm cảm động qua đỗi mà nói rằng: Vậy, còn đứa nào đã săn thịt rừng, và đã dâng lên cho cha đó? Trước khi con về, cha đã ăn hết rồi, và chúc phước cho nó; nó lại sẽ được ban phước vậy.
And hearing the words of his father, Esau gave a great and bitter cry, and said to his father, Give a blessing to me, even to me, O my father!|Vừa nghe dứt lời cha, thì Ê-sau la lên một tiếng rất lớn, và rất thảm thiết mà thưa cùng cha rằng: Cha ơi! xin hãy chúc phước cho con luôn nữa!
And he said, Your brother came with deceit, and took away your blessing.|Nhưng Y-sác lại đáp: Em con đã dùng mưu kế đến cướp sự chúc phước của con rồi.
And he said, Is it because he is named Jacob that he has twice taken my place? for he took away my birthright, and now he has taken away my blessing. And he said, Have you not kept a blessing for me?|Ê-sau liền nói rằng: Có phải vì người ta gọi nó là Gia-cốp mà đó hai lần chiếm lấy vị tôi rồi chăng? Nó đã chiếm quyền trưởng nam tôi, và lại bây giờ còn chiếm sự phước lành của tôi nữa. Tiếp rằng: Cha chẳng có dành sự chúc phước chi cho tôi sao?
And Isaac answering said, But I have made him your master, and have given him all his brothers for servants; I have made him strong with grain and wine: what then am I to do for you, my son?|Y-sác đáp rằng: Nầy, cho đã lập nó lên làm chủ con, và đã cho các anh em làm tôi nó; và đã dự bị lúa mì và rượu cho nó. Vậy, cha sẽ làm chi cho con đây?
And Esau said to his father, Is that the only blessing you have, my father? give a blessing to me, even me! And Esau was overcome with weeping.|Ê-sau thưa rằng: Cha ơi! cha chỉ có sự chúc phước đó thôi sao? Hãy chúc phước cho con với, cha! Rồi Ê-sau cất tiếng lên khóc.
Then Isaac his father made answer and said to him, Far from the fertile places of the earth, and far from the dew of heaven on high will your living-place be:|Y-sác cha người, đáp rằng: Nầy, nơi con ở sẽ thiếu màu mỡ của đất, Cùng sương-móc trên trời sa xuống.
By your sword will you get your living and you will be your brother's servant; but when your power is increased his yoke will be broken from off your neck.|Con sẽ nhờ gươm mới được sống. Và làm tôi tớ cho em con. Song khi con lưu lạc rày đó mai đây, Sẽ bẻ cái ách của em trên cổ con vậy.
So Esau was full of hate for Jacob because of his father's blessing; and he said in his heart, The days of weeping for my father are near; then I will put my brother Jacob to death.|Ê-sau trở lòng ghét Gia-cốp vì cớ cha mình chúc phước cho người, bèn nói thầm trong lòng rằng: Ngày tang của cha đã hầu gần; vậy, ta sẽ giết Gia-cốp, em ta, đi.
Then Rebekah, hearing what Esau had said, sent for Jacob, her younger son, and said to him, It seems that your brother Esau is purposing to put you to death.|Họ đem lời Ê-sau, con lớn, thuật lại cùng Rê-be-ca, thì người sai gọi Gia-cốp, con út mình, mà nói rằng: Nầy, Ê-sau, anh con, toan giết con để báo thù.
So now, my son, do what I say: go quickly to Haran, to my brother Laban;|Vậy, bây giờ, hỡi con, hãy nghe lời mẹ, đứng dậy, chạy trốn qua nhà La-ban, cậu con, tại Cha-ran,
And be there with him for a little time, till your brother's wrath is turned away;|và hãy ở cùng người ít lâu, cho đến lúc nào cơn giận của anh con qua hết.
Till the memory of what you have done to him is past and he is no longer angry: then I will send word for you to come back; are the two of you to be taken from me in one day?|Khi cơn giận anh con bỏ qua rồi, và nó quên việc con đã gây nên với nó, thì mẹ sẽ biểu con về. Có lẽ đâu mẹ phải chịu mất cả hai đứa trong một ngày ư?
Then Rebekah said to Isaac, My life is a weariness to me because of the daughters of Heth: if Jacob takes a wife from among the daughters of Heth, such as these, the women of this land, of what use will my life be to me?|Rê-be-ca nói cùng Y-sác rằng: Tôi đã chán, không muốn sống nữa, vì cớ mấy con gái họ Hếch. Nếu Gia-cốp cưới một trong mấy con gái họ Hếch mà làm vợ, tức một người con gái trong xứ như các dân đó; thôi, tôi còn sống mà chi?

					Genesis 28				|
						Sáng Thế 28					
Then Isaac sent for Jacob, and blessing him, said, Do not take a wife from among the women of Canaan;|Y-sác bèn gọi Gia-cốp, chúc phước cho và dặn rằng: Con chớ chọn một người vợ nào hết trong bọn con gái Ca-na-an.
But go to Paddan-aram, to the house of Bethuel, your mother's father, and there get yourself a wife from the daughters of Laban, your mother's brother.|Hãy đứng dậy, đi qua xứ Pha-đan -A-ram, tại nhà Bê-tu-ên, ông ngoại con, và cưới ở đó một người vợ trong các con gái của La-ban, là cậu con.
And may God, the Ruler of all, give you his blessing, giving you fruit and increase, so that you may become an army of peoples.|Cầu xin Đức Chúa Trời toàn năng ban phước cho con, làm con sanh sản, thêm nhiều và trở nên một đám dân đông.
And may God give you the blessing of Abraham, to you and to your seed, so that the land of your wanderings, which God gave to Abraham, may be your heritage.|Cầu xin Ngài ban cho con và dòng dõi con phước lành của Ap-ra-ham, hầu cho xứ con đã kiều ngụ sẽ làm sản nghiệp cho con, tức xứ Ngài đã ban cho Ap-ra-ham!
So Isaac sent Jacob away: and he went to Paddan-aram, to Laban, son of Bethuel the Aramaean, the brother of Rebekah, the mother of Jacob and Esau.|Rồi Y-sác sai Gia-cốp đi qua xứ Pha-đan -A-ram, đến nhà La-ban, con trai Bê-tu-ên, vốn người A-ram, lại là anh của Rê-bê-ca, mẹ của Gia-cốp và Ê-sau.
So when Esau saw that Isaac had given Jacob his blessing, and sent him away to Paddan-aram to get a wife for himself there, blessing him and saying to him, Do not take a wife from among the women of Canaan;|Ê-sau thấy Y-sác đã chúc phước cho Gia-cốp, và sai đi qua xứ Pha-đan -A-ram đặng cưới vợ; và trong lúc đương chúc phước có dặn rằng: Chớ cưới vợ trong bọn con gái Ca-na-an;
And that Jacob had done as his father and mother said and had gone to Paddan-aram;|lại đã thấy Gia-cốp vâng lời cha me đi qua xứ Pha-đan -A-ram đó,
It was clear to Esau that his father had no love for the women of Canaan,|thì biết rằng bọn con gái Ca-na-an không vừa ý Y-sác, cha mình;
So Esau went to Ishmael and took Mahalath, the daughter of Abraham's son Ishmael, the sister of Nebaioth, to be his wife in addition to the wives he had.|nên người bèn đi đến nhà Ích-ma-ên  cưới thêm nàng Ma-ba-lát, con gái của Ích-ma-ên, cháu nội của Ap-ra-ham và em của Nê-ba-giốt.
So Jacob went out from Beer-sheba to go to Haran.|Gia-cốp từ Bê -e-Sê-ba đi đến Cha-ran,
And coming to a certain place, he made it his resting-place for the night, for the sun had gone down; and he took one of the stones which were there, and putting it under his head he went to sleep in that place.|tới một chỗ kia, mặt trời đã khuất, thì qua đêm tại đó. Người lấy một hòn đá làm gối đầu, và nằm ngủ tại đó;
And he had a dream, and in his dream he saw steps stretching from earth to heaven, and the angels of God were going up and down on them.|bèn chiêm bao thấy một cái thang bắc từ dưới đất, đầu đến tận trời, các thiên sứ của Đức Chúa Trời đi lên xuống trên thang đó.
And he saw the Lord by his side, saying, I am the Lord, the God of Abraham your father, and the God of Isaac: I will give to you and to your seed this land on which you are sleeping.|Nầy, Đức Giê-hô-va ngự trên đầu thang mà phán rằng: Ta là Đức Chúa Trời của Ap-ra-ham, tổ phụ ngươi, cùng là Đức Chúa Trời của Y-sác. Ta sẽ cho ngươi và dòng dõi ngươi đất mà ngươi đương nằm ngủ đây.
Your seed will be like the dust of the earth, covering all the land to the west and to the east, to the north and to the south: you and your seed will be a name of blessing to all the families of the earth.|Dòng dõi ngươi sẽ đông như cát bụi trên mặt đất, tràn ra đến đông tây nam bắc, và các chi họ thế gian sẽ nhờ ngươi và dòng dõi ngươi mà được phước.
And truly, I will be with you, and will keep you wherever you go, guiding you back again to this land; and I will not give you up till I have done what I have said to you.|Nầy, ta ở cùng ngươi, ngươi đi đâu, sẽ theo gìn giữ đó, và đem ngươi về xứ nầy; vì ta không bao giờ bỏ ngươi cho đến khi ta làm xong những điều ta đã hứa cùng ngươi.
And Jacob, awaking from his sleep, said, Truly, the Lord is in this place and I was not conscious of it.|Gia-cốp thức giấc, nói rằng: Thật Đức Giê-hô-va hiện có trong nơi đây mà tôi không biết!
And fear came on him, and he said, This is a holy place; this is nothing less than the house of God and the doorway of heaven.|Người bắt sợ và nói rằng: Chốn nầy đáng kinh khủng thay thật là đền Đức Chúa Trời, thật là cửa của trời!
And early in the morning Jacob took the stone which had been under his head, and put it up as a pillar and put oil on it.|Người dậy sớm, lấy hòn đá của mình dùng gối đầu, dựng đứng lên làm cây trụ, đổ dầu lên trên chót trụ đó;
And he gave that place the name of Beth-el, but before that time the town was named Luz.|rồi đặt tên chốn nầy là Bê-tên; còn nguyên khi trước tên thành là Lu-xơ.
Then Jacob took an oath, and said, If God will be with me, and keep me safe on my journey, and give me food and clothing to put on,|Gia-cốp bèn khấn vái rằng: Nếu Đức Chúa Trời ở cùng tôi, gìn giữ tôi trong lúc đi đường, cho bánh ăn, áo mặc,
So that I come again to my father's house in peace, then I will take the Lord to be my God,|và nếu tôi trở về bình an đến nhà cha tôi, thì Đức Giê-hô-va sẽ là Đức Chúa Trời tôi.
And this stone which I have put up for a pillar will be God's house: and of all you give me, I will give a tenth part to you.|Hòn đá đã dùng làm trụ đây sẽ là đền Đức Chúa Trời, Và tôi sẽ nộp lại cho Ngài một phần mười mọi của cải mà Ngài sẽ cho tôi.

					Genesis 29				|
						Sáng Thế 29					
Then Jacob went on his journey till he came to the land of the children of the East.|Đoạn, Gia-cốp lên đường, đi đến xứ của dân Đông phương.
And there he saw a water-hole in a field, and by the side of it three flocks of sheep, for there they got water for the sheep: and on the mouth of the water-hole there was a great stone.|Người nhìn xem, thấy một cái giếng trong đồng ruộng, gần đó có ba bầy chiên nằm nghỉ, vì nơi nầy là chốn người ta cho các bầy chiên uống nước. Hòn đá đậy trên miệng giếng rất lớn.
And all the flocks would come together there, and when the stone had been rolled away, they would give the sheep water, and put the stone back again in its place on the mouth of the water-hole.|Các bầy chiên đều hiệp lại đó, rồi họ lăn hòn đá trên miệng giếng ra, cho các bầy uống nước; đoạn, lăn đá lại chỗ cũ, đậy trên miệng giếng.
Then Jacob said to the herdmen, My brothers, where do you come from? And they said, From Haran.|Gia-cốp hỏi mấy tay chăn chiên rằng: Hỡi các anh! các anh ở đâu đây? Bọn đó đáp rằng: Chúng tôi ở Cha-ran đến.
And he said to them, Have you any knowledge of Laban, the son of Nahor? And they said, We have.|Người hỏi: Các anh có biết La-ban, con trai Na-cô, chăng? Đáp rằng: Chúng tôi biết.
And he said to them, Is he well? And they said, He is well, and here is Rachel his daughter coming with the sheep.|Lại hỏi: Người đó được mạnh giỏi chăng? Đáp rằng: Người vẫn được mạnh giỏi, và nầy, Ra-chên, con gái người, dương đi đến cùng bầy chiên kia.
Then Jacob said, The sun is still high and it is not time to get the cattle together: get water for the sheep and go and give them their food.|Ngươi nói: Nầy, trời hãy còn sớm, chưa phải là giờ nhóm hiệp các súc vật; vậy, các anh hãy cho bầy chiên uống nước, rồi thả đi ăn lại đi.
And they said, We are not able to do so till all the flocks have come together and the stone has been rolled away from the mouth of the water-hole; then we will get water for the sheep.|Đáp rằng: Chúng tôi làm như vậy chẳng được; phải đợi các bầy hiệp lại đủ hết rồi, bấy giờ mới lăn hòn đá trên miệng giếng ra, cho bầy uống nước được.
While he was still talking with them, Rachel came with her father's sheep, for she took care of them.|Vả, đương lúc người còn nói chuyện cùng bọn đó, thì Ra-chên dắt bầy chiên của cha nàng đến, vi nàng vốn là người chăn chiên.
Then when Jacob saw Rachel, the daughter of Laban, his mother's brother, coming with Laban's sheep, he came near, and rolling the stone away from the mouth of the hole, he got water for Laban's flock.|Khi vừa thấy Ra-chên, con gài La-ban, cậu mình, thì người liền lại gần lăn hòn đá ra khỏi miệng giếng, cho bầy chiên của La-ban, cậu mình, uống nước.
And weeping for joy, Jacob gave Rachel a kiss.|Gia-cốp hôn Ra-chên, cất tiếng lên khóc;
And Rachel, hearing from Jacob that he was her father's relation and that he was the son of Rebekah, went running to give her father news of it.|rồi nói cho nàng biết rằng mình là bà con với cha nàng, tức con trai của Rê-bê-ca. Nàng bèn chạy về thuật lại cho cha hay.
And Laban, hearing news of Jacob, his sister's son, came running, and took Jacob in his arms, and kissing him, made him come into his house. And Jacob gave him news of everything.|Vừa khi nghe nói Gia-cốp, con trai của em gái mình, thì La-ban chạy đến trước mặt người, ôm choàng lấy mà hôn, rồi mới vào nhà. Gia-cốp thuật lại cho La-ban nghe các việc đã xảy qua.
And Laban said to him, Truly, you are my bone and my flesh. And he kept Jacob with him for the space of a month.|La-ban bèn đáp rằng: Thật vậy, cháu là cốt nhục của cậu; rồi Gia-cốp ở một tháng cùng cậu.
Then Laban said to Jacob, Because you are my brother are you to be my servant for nothing? say now, what is your payment to be?|Đoạn, La-ban nói cùng Gia-cốp rằng: vì cớ cháu là bà con của cậu, cháu giúp công không cho cậu thôi sao? Tiền công bao nhiêu hãy nói cho cậu biết.
Now Laban had two daughters: the name of the older was Leah, and the name of the younger was Rachel.|Vả, La-ban có hai con gái, con lớn tên là Lê -a; con nhỏ tên là Ra-chên.
And Leah's eyes were clouded, but Rachel was fair in face and form.|Mắt Lê -a yếu, còn Ra-chên hình dung đẹp đẽ, vẻ mặt tốt tươi.
And Jacob was in love with Rachel; and he said, I will be your servant seven years for Rachel, your younger daughter.|Gia-cốp yêu Ra-chên nên nói rằng: Vì nàng Ra-chên, con út cậu, tôi sẽ giúp việc trong bảy năm.
And Laban said, It is better for you to have her than another man: go on living here with me.|La-ban trả lời rằng: Thà cậu gả nó cho cháu hơn là gả cho một người khác; hãy ở với cậu.
And Jacob did seven years' work for Rachel; and because of his love for her it seemed to him only a very little time.|Vậy, Gia-cốp vì Ra-chên, phải giúp việc trong bảy năm: nhưng bởi yêu nàng, nên coi bảy năm bằng chừng đôi ba bữa.
Then Jacob said to Laban, Give me my wife so that I may have her, for the days are ended.|Kế đó, Gia-cốp nói cùng La-ban rằng: Hạn tôi đã mãn rồi; đâu! xin cậu hãy giao vợ tôi lại đặng tôi đến gần cùng nàng.
And Laban got together all the men of the place and gave a feast.|La-ban bèn mời các người trong xóm, bày một bữa tiệc;
And in the evening he took Leah, his daughter, and gave her to him, and he went in to her.|đến chiều tối, bắt Lê -a, con gái mình, đưa cho Gia-cốp, rồi chàng đến cùng nàng.
And Laban gave Zilpah, his servant-girl, to Leah, to be her waiting-woman.|La-ban lại cắt con đòi Xinh-ba theo hầu Lê -a, con gái mình.
And in the morning Jacob saw that it was Leah: and he said to Laban, What have you done to me? was I not working for you so that I might have Rachel? why have you been false to me?|Sáng bữa sau, mới biết là nàng Lê -a, thì Gia-cốp hỏi La-ban rằng: Cậu đã đãi tôi cách chi vậy? Có phải vì Ra-chên mà tôi mới giúp việc cho nhà cậu chăng? Sao cậu lừa-gạt tôi?
And Laban said, In our country we do not let the younger daughter be married before the older.|La-ban đáp rằng: Phong tục ở đây chẳng phải được gả em út trước, rồi chị cả sau.
Let the week of the bride-feast come to its end and then we will give you the other in addition, if you will be my servant for another seven years.|Hãy ở với đứa nầy trọn một tuần đi, rồi ta sẽ gả luôn đứa kia cho; về đứa kia cháu phải giúp công cho cậu thêm bảy năm nữa.
And Jacob did so; and when the week was ended, Laban gave him his daughter Rachel for his wife.|Gia-cốp theo lời, ở cùng Lê -a trọn một tuần, rồi La-ban gả Ra-chên con gái mình, cho chàng,
And Laban gave Rachel his servant-girl Bilhah to be her waiting-woman.|và cắt con đòi Bi-la theo hầu Ra-chên con gái mình.
Then Jacob took Rachel as his wife, and his love for her was greater than his love for Leah; and he went on working for Laban for another seven years.|Gia-cốp đi lại cùng Ra-chên, thương yêu nàng hơn Lê -a. Vậy, người ở giúp việc nhà La-ban thêm bảy năm nữa.
Now the Lord, seeing that Leah was not loved, gave her a child; while Rachel had no children.|Đức Giê-hô-va thấy Lê -a bị ghét, bèn cho nàng sanh sản; còn Ra-chên lại son sẻ.
