
					Exodus 1				|
The owner of the hole is responsible; he will have to make payment to their owner, but the dead beast will be his.|chủ hầm sẽ bồi thường giá tiền cho chủ của súc vật, nhưng súc vật bị giết đó sẽ về phần mình.
And if one man's ox does damage to another man's ox, causing its death, then the living ox is to be exchanged for money, and division made of the price of it, and of the price of the dead one.|Bằng bò của ai báng nhằm bò của kẻ lân cận mình phải chết đi, hai người hãy bán bò sống đó, chia tiền và chia luôn con bò chết nữa.
But if it is common knowledge that the ox has frequently done such damage in the past, and its owner has not kept it under control, he will have to give ox for ox; and the dead beast will be his.|Nếu người chủ đã tỏ tường trước rằng bò mình có tật hay báng, mà không lo cầm giữ, chủ phải lấy bò thường bò, nhưng bò chết sẽ về phần người.

					Exodus 22				|
						Xuất Hành 22					
If a man takes without right another man's ox or his sheep, and puts it to death or gets a price for it, he is to give five oxen for an ox, or four sheep for a sheep, in payment: the thief will have to make payment for what he has taken; if he has no money, he himself will have to be exchanged for money, so that payment may be made.|Ví ai bắt trộm bò hay chiên, rồi giết hoặc bán đi, thì phải thường năm con bò cho một con, và bốn con chiên cho một con.
If a thief is taken in the act of forcing his way into a house, and his death is caused by a blow, the owner of the house is not responsible for his blood.|Nếu kẻ trộm đang cạy cửa mà bị bắt và đánh chết đi, thì kẻ đánh chết chẳng phải tội sát nhân.
But if it is after dawn, he will be responsible.|Song nếu đánh chết trong khi mặt trời đã mọc rồi, thì bị tội sát nhân. Kẻ trộm phải bồi thường; bằng chẳng có chi, thì sẽ bị bán vì tội trộm cắp mình.
If he still has what he had taken, whatever it is, ox or ass or sheep, he is to give twice its value.|Nếu vật mà kẻ trộm đã lấy, hoặc bò, lừa hay chiên, hãy còn thấy sống trong tay, thì kẻ trộm phải bồi thường gấp hai.
If a man makes a fire in a field or a vine-garden, and lets the fire do damage to another man's field, he is to give of the best produce of his field or his vine-garden to make up for it.|Ngộ ai làm hư hại trong ruộng hay là vườn nho, thả súc vật mình vào ăn trong ruộng người khác, thì ai đó phải lấy hoa lợi tốt nhất của ruộng hay là vườn nho mình mà thường bồi.
If there is a fire and the flames get to the thorns at the edge of the field, causing destruction of the cut grain or of the living grain, or of the field, he who made the fire will have to make up for the damage.|Nếu lửa nổi đốt bụi gai và cháy lan qua lúa đã bó, mùa màng, hay là đồng ruộng, thì kẻ nổi lửa đó phải bồi thường trọn mọi vật đã bị cháy.
If a man puts money or goods in the care of his neighbour to keep for him, and it is taken from the man's house, if they get the thief, he will have to make payment of twice the value.|Khi ai giao tiền bạc bay đồ vật cho kẻ lân cận mình giữ, rủi bị trộm cắp tại nhà kẻ lân cận đó, nếu tên trộm đã bị bắt được, thì nó phải thường gấp hai.
If they do not get the thief, let the master of the house come before the judges and take an oath that he has not put his hand on his neighbour's goods.|Nếu kẻ trộm không bị bắt được, thì chủ nhà cho gởi phải dẫn đến trước mặt Đức Chúa Trời, đặng thề rằng mình chẳng hề đặt tay vào tài vật của kẻ lân cận mình.
In any question about an ox or an ass or a sheep or clothing, or about the loss of any property which anyone says is his, let the two sides put their cause before God; and he who is judged to be in the wrong is to make payment to his neighbour of twice the value.|Trong mọi việc gian lận nào, hoặc về một con bò, một con lừa, một con chiên, áo xống hay là một vật chi bị mất, mà có người nói rằng: "quả thật là đồ đó", thì phải đem duyên cớ hai đàng đến trước mặt Đức Chúa Trời; kẻ nào bị Ngài xử phạt phải thường bồi cho kẻ lân cận mình gấp hai.
If a man puts an ass or an ox or a sheep or any beast into the keeping of his neighbour, and it comes to death or is damaged or is taken away, without any person seeing it:|Nhược bằng người nào giao lừa, bò, chiên, hoặc súc vật nào khác cho kẻ lân cận mình giữ và bị chết, gãy một giò hay là bị đuổi đi, không ai thấy,
If he takes his oath before the Lord that he has not put his hand to his neighbour's goods, the owner is to take his word for it and he will not have to make payment for it.|thì hai đàng phải lấy danh Đức Giê-hô-va mà thề, hầu cho biết rằng người giữ súc vật có đặt tay trên tài vật của kẻ lân cận mình chăng. Người chủ con vật phải nhận lời thề, và người kia chẳng bồi thường.
But if it is taken from him by a thief, he is to make up for the loss of it to its owner.|Còn nếu con vật bị bắt trộm, thì người lãnh giữ phải thường bồi cho chủ nó.
But if it has been damaged by a beast, and he is able to make this clear, he will not have to make payment for what was damaged.|Nếu con bật bị thú rừng xé chết, người lãnh giữ phải đem nó ra làm chứng, sẽ không phải bồi thường vật bị xé đó.
If a man gets from his neighbour the use of one of his beasts, and it is damaged or put to death when the owner is not with it, he will certainly have to make payment for the loss.|Vì ai mượn người lân cận mình một con vật mà nó gãy một giò, hoặc bị chết, không có mặt chủ, thì ai đó phải bồi thường.
If the owner is with it, he will not have to make payment: if he gave money for the use of it, the loss is covered by the payment.|Nếu chủ có mặt tại đó, thì không phải bồi thường. Nếu con vật đã cho mướn, thì giá muớn thế cho tiền bồi thường.
If a man takes a virgin, who has not given her word to another man, and has connection with her, he will have to give a bride-price for her to be his wife.|Nếu kẻ nào hòa dụ và nằm với một người gái đồng trinh chưa hứa giá, thì kẻ đó phải nộp tiền sính và cưới nàng làm vợ.
If her father will not give her to him on any account, he will have to give the regular payment for virgins.|Nhược bằng cha nàng quyết từ chối không gả, thì kẻ đó phải nộp tiền bằng số tiền sính của người gái đồng trinh.
Any woman using unnatural powers or secret arts is to be put to death.|Ngươi chớ để các đồng cốt sống.
Any man who has sex connection with a beast is to be put to death.|Kẻ nào nằm cùng một con vật sẽ bị xử tử.
Complete destruction will come on any man who makes offerings to any other god but the Lord.|Kẻ nào tế các thần khác hơn một mình Đức Giê-hô-va sẽ bị diệt.
Do no wrong to a man from a strange country, and do not be hard on him; for you yourselves were living in a strange country, in the land of Egypt.|Ngươi chớ nên bạc đãi khách ngoại bang, và cũng chẳng nên hà hiếp họ, vì các ngươi đã làm khách kiều ngụ tại xứ Ê-díp-tô.
Do no wrong to a widow, or to a child whose father is dead.|Các ngươi chớ ức hiếp một người góa bụa hay là một kẻ mồ côi nào.
If you are cruel to them in any way, and their cry comes up to me, I will certainly give ear;|Nếu ức hiếp họ, và họ kêu van ta, chắc ta sẽ nghe tiếng kêu của họ;
And in the heat of my wrath I will put you to death with the sword, so that your wives will be widows and your children without fathers.|cơn nóng giận ta phừng lên, sẽ lấy gươm giết các ngươi, thì vợ các ngươi sẽ trở nên góa bụa, và con các ngươi sẽ mồ côi.
If you let any of the poor among my people have the use of your money, do not be a hard creditor to him, and do not take interest.|Trong dân ta có kẻ nghèo nàn ở cùng ngươi, nếu ngươi cho người mượn tiền, chớ xử với họ như người cho vay, và cũng chẳng nên bắt họ chịu lời.
If ever you take your neighbour's clothing in exchange for the use of your money, let him have it back before the sun goes down:|Nếu ngươi cầm áo xống của kẻ lân cận mình làm của tin, thì phải trả cho họ trước khi mặt trời lặn;
For it is the only thing he has for covering his skin; what is he to go to sleep in? and when his cry comes up to me, I will give ear, for my mercy is great.|vì là đồ chỉ có che thân, là áo xống che đậy da mình; người lấy chi mà ngủ? Nếu người đến kêu van ta, tất ta sẽ nghe lời người, vì ta là Đấng hay thương xót.
You may not say evil of the judges, or put a curse on the ruler of your people.|Ngươi chớ nên nói lộng ngôn cùng Đức Chúa Trời, và cũng đừng rủa sả vua chúa của dân sự ngươi.
Do not keep back your offerings from the wealth of your grain and your vines. The first of your sons you are to give to me.|Ngươi chớ trễ nải mà dâng cho ta những hoa quả đầu mùa của ngươi chứa trong vựa và rượu ép chảy nơi bàn ép. Ngươi cũng phải dâng cho ta con trai đầu lòng ngươi.
In the same way with your oxen and your sheep: for seven days let the young one be with its mother; on the eighth day give it to me.|Về phần chiên và bò ngươi cũng hãy làm như vậy; trong bảy ngày đầu, con đầu lòng ở cùng mẹ nó, qua ngày thứ tám ngươi hãy dâng nó cho ta.
You are to be holy men to me: the flesh of no animal whose death has been caused by the beasts of the field may be used for your food; it is to be given to the dogs.|Các ngươi sẽ làm người thánh của ta, chớ nên ăn thịt chi bị thú rừng xé ở ngoài đồng; hãy liệng cho chó ăn.

					Exodus 23				|
						Xuất Hành 23					
Do not let a false statement go further; do not make an agreement with evil-doers to be a false witness.|Ngươi chớ đồn huyễn; chớ hùa cùng kẻ hung ác đặng làm chứng dối.
Do not be moved to do wrong by the general opinion, or give the support of your words to a wrong decision:|Ngươi chớ hùa đảng đông đặng làm quấy; khi ngươi làm chứng trong việc kiện cáo, chớ nên trở theo bên phe đông mà phạm sự công bình.
But, on the other hand, do not be turned from what is right in order to give support to a poor man's cause.|Ngươi chớ tư vị kẻ nghèo trong việc kiện cáo.
If you come across the ox or the ass of one who is no friend to you wandering from its way, you are to take it back to him.|Nhược bằng ngươi gặp bò hay lừa của kẻ thù nghịch mình đi lạc thì buộc phải đem về cho họ.
If you see the ass of one who has no love for you bent down to the earth under the weight which is put on it, you are to come to its help, even against your desire.|Ngộ ngươi thấy lừa của kẻ ghét mình bị chở nặng phải quị, chớ khá bỏ ngơ, phải cứu nó cho được nhẹ.
Let no wrong decisions be given in the poor man's cause.|Trong cơn kiện cáo, ngươi chớ phạm quyền lợi của người nghèo ở giữa vòng ngươi.
Keep yourselves far from any false business; never let the upright or him who has done no wrong be put to death: for I will make the evil-doer responsible for his sin.|Ngươi phải tránh xa các lời giả dối; chớ giết kẻ vô tội và kẻ công bình, vì ta chẳng hề tha kẻ gian ác đâu.
Take no rewards in a cause: for rewards make blind those who have eyes to see, and make the decisions of the upright false.|Ngươi chớ nhậm của hối lộ, vì của hối lộ làm mờ mắt người thượng trí, và làm mất duyên do của kẻ công bình.
Do not be hard on the man from a strange country who is living among you; for you have had experience of the feelings of one who is far from the land of his birth, because you yourselves were living in Egypt, in a strange land.|Ngươi chớ hiếp đáp người ngoại bang, vì các ngươi đã kiều ngụ tại xứ Ê-díp-tô, chính các ngươi hiểu biết lòng khách ngoại bang là thế nào.
For six years put seed into your fields and get in the increase;|Trải sáu năm ngươi hãy gieo trong đất, thâu lấy hoa lợi,
But in the seventh year let the land have a rest and be unplanted; so that the poor may have food from it: and let the beasts of the field take the rest. Do the same with your vine-gardens and your olive-trees.|nhưng qua năm thứ bảy hãy để đất hoang cho nghỉ; hầu cho kẻ nghèo khổ trong dân sự ngươi được nhờ lấy hoa quả đất đó, còn dư lại bao nhiêu, thú vật ngoài đồng ăn lấy. Cũng hãy làm như vậy về vườn nho và cây ô-li-ve.
For six days do your work, and on the seventh day keep the Sabbath; so that your ox and your ass may have rest, together with the son of your servant and the man from a strange land living among you.|Luôn trong sáu ngày ngươi hãy làm công việc mình, nhưng qua ngày thứ bảy hãy nghỉ, hầu cho bò và lừa ngươi được nghỉ; cùng con trai của đầy tớ gái và người ngoại bang được dưỡng sức lại.
Take note of all these things which I have said to you, and let not the names of other gods come into your minds or from your lips.|Ngươi khá giữ hết mọi lời ta phán cùng ngươi. Chớ xưng đến danh các thần khác; chớ cho nghe danh đó ở nơi miệng ngươi ra.
Three times in the year you are to keep a feast to me.|Mỗi năm ba kỳ ngươi sẽ giữ lễ kính ta.
You are to keep the feast of unleavened bread; for seven days let your bread be without leaven, as I gave you orders, at the regular time in the month Abib (for in it you came out of Egypt); and let no one come before me without an offering:|Ngươi hãy giữ lễ bánh không men; phải ăn bánh không men trong bảy ngày về mùa tháng lúa trỗ, như lời ta đã phán dặn; vì trong tháng đó ngươi ra khỏi xứ Ê-díp-tô. Lại chẳng ai nên tay không đến trước mặt ta.
And the feast of the grain-cutting, the first-fruits of your planted fields: and the feast at the start of the year, when you have got in all the fruit from your fields.|Ngươi hãy giữ lễ mùa màng, tức là mùa hoa quả đầu tiên của công lao ngươi về các giống ngươi đã gieo ngoài đồng; và giữ lễ mùa gặt về lúc cuối năm, khi các ngươi đã hái hoa quả của công lao mình ngoài đồng rồi.
Three times in the year let all your males come before the Lord God.|Mỗi năm ba kỳ các người nam phải đến trước mặt Chúa, tức là Đức Giê-hô-va.
Do not give the blood of my offering with leavened bread; and do not let the fat of my feast be kept all night till the morning.|Ngươi chớ dâng huyết của con sinh tế ta chung với bánh có pha men; còn mỡ của nó dâng nhằm ngày lễ kính ta, chớ để trọn đêm đến sáng mai.
The best of the first-fruits of your land are to be taken into the house of the Lord your God. The young goat is not to be cooked in its mother's milk.|Những hoa quả đầu mùa của đất, ngươi phải đem đến đền thờ Giê-hô-va Đức Chúa Trời ngươi. Ngươi chớ nên nấu dê con trong sữa mẹ nó.
See, I am sending an angel before you, to keep you on your way and to be your guide into the place which I have made ready for you.|Đây nầy, ta sai một thiên sứ đi trước mặt ngươi, đặng phù hộ trong lúc đi đường, và đưa ngươi vào nơi ta đã dự bị.
Give attention to him and give ear to his voice; do not go against him; for your wrongdoing will not be overlooked by him, because my name is in him.|Trước mặt người, ngươi khá giữ mình, phải nghe theo lời, chớ nên phản nghịch; người sẽ chẳng tha tội ngươi đâu, vì danh ta ngự trong mình người.
But if you truly give ear to his voice, and do whatever I say, then I will be against those who are against you, fighting those who are fighting you.|Nhưng nếu ngươi chăm chỉ nghe lời người, cùng làm theo mọi lời ta sẽ phán, ta sẽ thù nghịch cùng kẻ thù nghịch ngươi, và đối địch với kẻ đối địch ngươi.
And my angel will go before you, guiding you into the land of the Amorite and the Hittite and the Perizzite and the Canaanite and the Hivite and the Jebusite, and they will be cut off by my hand.|Vì thiên sứ ta sẽ đi trước mắt, đưa ngươi vào xứ của dân A-mô-rít, dân Hê-tít, dân Phê-rê-sít, dân Ca-na-an, dân Hê-vít, và dân Giê-bu-sít, rồi ta sẽ diệt chúng nó.
Do not go down on your faces and give worship to their gods, or do as they do; but overcome them completely, and let their pillars be broken down.|Ngươi chớ quì lạy và hầu việc các thần chúng nó; chớ bắt chước công việc họ, nhưng phải diệt hết các thần đó và đạp nát các pho tượng họ đi.
And give worship to the Lord your God, who will send his blessing on your bread and on your water; and I will take all disease away from among you.|Ngươi hãy hầu việc Giê-hô-va Đức Chúa Trời ngươi; Ngài sẽ ban ơn cho vật ăn uống của ngươi và tiêu trừ các bịnh hoạn giữa vòng ngươi.
All your animals will give birth without loss, not one will be without young in all your land; I will give you a full measure of life.|Trong xứ ngươi sẽ chẳng có đàn bà sảo thai hay là đàn bà son sẻ. Ta sẽ cho ngươi được trường thọ.
I will send my fear before you, putting to flight all the people to whom you come; all those who are against you will go in flight, turning their backs before you.|Ta sẽ sai sự kinh khiếp ta đi trước, hễ ngươi đến dân nào, ta sẽ làm cho dân ấy vỡ chạy lạc đường, và cho kẻ thù nghịch ngươi xây lưng trước mặt ngươi.
I will send hornets before you, driving out the Hivite and the Canaanite and the Hittite before your face.|Ta sẽ sai ong lỗ đi trước đánh đuổi dân Hê-vít, dân Ca-na-an, dân Hê-tít khỏi trước mặt ngươi.
I will not send them all out in one year, for fear that their land may become waste, and the beasts of the field be increased overmuch against you.|Ta sẽ chẳng đuổi chúng nó đi hết trong một năm đâu, e khi xứ sẽ trở nên đồng vắng, và loài thú rừng sanh sản ra đông, hại ngươi chăng;
Little by little I will send them away before you, till your numbers are increased and you take up your heritage in the land.|nhưng ta sẽ đuổi chúng nó lần lần khỏi trước mặt ngươi, cho đến chừng nào số ngươi thêm nhiều và có thể cầm đất đó làm sản nghiệp.
I will let the limits of your land be from the Red Sea to the sea of the Philistines, and from the waste land to the river Euphrates: for I will give the people of those lands into your power; and you will send them out before you.|Ta sẽ phân định bờ cõi ngươi từ Biển đỏ chí biển Phi-li-tin, từ đồng vắng đến sông cái; vì ta sẽ giao phú dân đó vào tay ngươi, và ngươi sẽ đuổi chúng nó khỏi mặt mình.
Make no agreement with them or with their gods.|Ngươi đừng kết giao ước cùng chúng nó, hoặc cùng các thần của chúng nó.
Let them not go on living in your land, or they will make you do evil against me: for if you give worship to their gods, it will certainly be a cause of sin to you.|Họ sẽ chẳng ở trong xứ ngươi đâu, e khi chúng nó xui cho ngươi phạm tội cùng ta mà hầu việc các thần họ chăng; điều đó chắc sẽ thành một cái bẫy cho ngươi vậy.

					Exodus 24				|
						Xuất Hành 24					
And he said to Moses, Come up to the Lord, you and Aaron, and Nadab and Abihu and seventy of the chiefs of Israel; and give me worship from a distance.|Đức Chúa Trời phán cùng Môi-se rằng: Ngươi và A-rôn, Na-đáp, và A-bi-hu cùng bảy mươi trưởng lão Y-sơ-ra-ên hãy lên cùng Đức Giê-hô-va ở đằng xa mà lạy.
And Moses only may come near to the Lord; but the others are not to come near, and the people may not come up with them.|Chỉ một mình Môi-se sẽ đến gần Đức Giê-hô-va mà thôi, còn họ không đến gần, và dân sự cùng không lên cùng người.
Then Moses came and put before the people all the words of the Lord and his laws: and all the people, answering with one voice, said, Whatever the Lord has said we will do.|Môi-se bèn đến thuật lại cho dân sự mọi lời phán của Đức Giê-hô-va và các luật lệ, thì chúng đồng thinh đáp rằng: Chúng tôi sẽ làm mọi lời Đức Giê-hô-va phán dạy.
Then Moses put down in writing all the words of the Lord, and he got up early in the morning and made an altar at the foot of the mountain, with twelve pillars for the twelve tribes of Israel.|Môi-se chép hết mọi lời của Đức Giê-hô-va; rồi dậy sớm, xây một bàn thờ nơi chân núi, dựng mười hai cây trụ chỉ về mười hai chi phái Y-sơ-ra-ên.
And he sent some of the young men of the children of Israel to make burned offerings and peace-offerings of oxen to the Lord.|Người sai kẻ trai trẻ của dân Y-sơ-ra-ên đi dâng của lễ thiêu và của lễ thù ân cho Đức Giê-hô-va bằng con bò tơ.
And Moses took half the blood and put it in basins; draining out half of the blood over the altar.|Môi-se lấy phân nửa huyết đựng trong các chậu, còn phân nửa thì rưới trên bàn thờ.
And he took the book of the agreement, reading it in the hearing of the people: and they said, Everything which the Lord has said we will do, and we will keep his laws.|Đoạn, người cầm quyển sách giao ước đọc cho dân sự nghe, thì dân sự nói rằng: Chúng tôi sẽ làm và vâng theo mọi lời Đức Giê-hô-va phán chỉ.
Then Moses took the blood and let it come on the people, and said, This blood is the sign of the agreement which the Lord has made with you in these words.|Môi-se bèn lấy huyết rưới trên mình dân sự mà nói rằng: Đây là huyết giao ước của Đức Giê-hô-va đã lập cùng các ngươi y theo mọi lời nầy.
Then Moses and Aaron, Nadab, and Abihu, and seventy of the chiefs of Israel went up:|Đoạn, Môi-se và A-rôn, Na-đáp và A-bi-hu cùng bảy mươi trưởng lão dân Y-sơ-ra-ên đều lên núi,
And they saw the God of Israel; and under his feet there was, as it seemed, a jewelled floor, clear as the heavens.|ngó thấy Đức Chúa Trời của Y-sơ-ra-ên, dưới chân Ngài có một vật giống bích ngọc trong ngần, khác nào như sắc trời thanh-quang.
And he put not his hand on the chiefs of the children of Israel: they saw God, and took food and drink.|Ngài chẳng tra tay vào những người tôn trọng trong vòng dân Y-sơ-ra-ên; nhưng họ ngó thấy Đức Chúa Trời, thì ăn và uống.
And the Lord said to Moses, Come up to me on the mountain, and take your place there: and I will give you the stones on which I have put in writing the law and the orders, so that you may give the people knowledge of them.|Đức Giê-hô-va phán cùng Môi-se rằng: Hãy lên núi, đến cùng ta và ở lại đó; ta sẽ ban cho ngươi bảng đá, luật pháp và các điều răn của ta đã chép đặng dạy dân sự.
Then Moses and Joshua his servant got up; and Moses went up into the mountain of God.|Môi-se bèn chờ dậy cùng Giô-suê, kẻ hầu mình, rồi Môi-se đi lên núi Đức Chúa Trời.
And he said to the chiefs, Keep your places here till we come back to you: Aaron and Hur are with you; if anyone has any cause let him go to them.|Người bèn nói cùng các trưởng lão rằng: Hãy đợi chúng tôi tại đây cho đến chừng nào trở về cùng các ngươi. Nầy, A-rôn và Hu-rơ ở lại cùng các ngươi, ai có việc chi hãy hỏi hai người đó.
And Moses went up into the mountain, and it was covered by the cloud.|Vậy, Môi-se lên núi, mây che phủ núi.
And the glory of the Lord was resting on Mount Sinai, and the cloud was over it for six days; and on the seventh day he said Moses' name out of the cloud.|Sự vinh quang của Đức Giê-hô-va ở tại núi Si-na -i; trong sáu ngày mây phủ núi, qua ngày thứ bảy Đức Giê-hô-va ngự trong đám mây gọi Môi-se.
And the glory of the Lord was like a flame on the top of the mountain before the eyes of the children of Israel.|Cảnh trạng của sự vinh quang Đức Giê-hô-va nơi đỉnh núi, trước mặt dân Y-sơ-ra-ên, khác nào như đám lửa hừng.
And Moses went up the mountain, into the cloud, and was there for forty days and forty nights.|Môi-se vào giữa đám mây, lên núi, ở tại đó trong bốn mươi ngày và bốn mươi đêm.

					Exodus 25				|
						Xuất Hành 25					
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Say to the children of Israel that they are to make me an offering; from every man who has the impulse in his heart take an offering for me.|Hãy nói cùng dân Y-sơ-ra-ên đặng họ dâng lễ vật cho ta; các ngươi hãy nhận lấy lễ vật của mọi người có lòng thành dâng cho.
And this is the offering you are to take from them: gold and silver and brass;|Nầy là lễ vật các ngươi sẽ nhận lấy của họ: vàng, bạc, và đồng;
And blue and purple and red, and the best linen, and goats' hair;|chỉ tím, đỏ điều, đỏ sặm, vải gai mịn, lông dê, da chiên đực nhuộm đỏ,
And sheepskins coloured red, and leather, and hard wood;|da cá nược, cây si-tim,
Oil for the light, spices for the sweet-smelling oil, sweet perfumes for burning;|dầu thắp, hương liệu đặng làm dầu xức và hương,
Beryls and stones of value to be put on the ephod and on the priest's bag.|bích ngọc cùng các thứ ngọc khác để gắn vào ê-phót và bảng đeo ngực.
And let them make me a holy place, so that I may be ever present among them.|Họ sẽ làm cho ta một đền thánh và ta sẽ ở giữa họ.
Make the House and everything in it from the designs which I will give you.|Hãy làm điều đó y như kiểu đền tạm cùng kiểu các đồ dùng mà ta sẽ chỉ cho ngươi.
And they are to make an ark of hard wood; two and a half cubits long, and a cubit and a half wide and high.|Vậy, chúng hãy đóng một cái hòm bằng cây si-tim; bề dài hai thước rưỡi, bề ngang một thước rưỡi, và bề cao cũng một thước rưỡi,
It is to be plated inside and out with the best gold, with an edge of gold all round it|lấy vàng ròng bọc trong, bọc ngoài, và chạy đường viền chung quanh hòm bằng vàng.
And make four rings of gold for it, to be fixed on its four feet, two rings on one side of it and two on the other.|Ngươi cũng hãy đúc bốn khoen bằng vàng để tại bốn góc hòm: hai cái bên hông nầy, hai cái bên hông kia,
And make rods of the same wood, plating them with gold.|cùng làm hai cây đòn bằng cây si-tim, bọc vàng;
And put the rods through the rings at the sides of the ark, for lifting it.|rồi lòn đòn vào khoen hai bên hông hòm, để dùng đòn khiêng hòm.
The rods are to be kept in the rings, and never taken out.|Đòn sẽ ở trong khoen luôn, không nên rút ra.
Inside the ark you are to put the record which I will give you.|Ngươi hãy cất vào trong hòm bảng chứng mà ta sẽ ban cho.
And you are to make a cover of the best gold, two and a half cubits long and a cubit and a half wide.|Ngươi cũng hãy làm một cái nắp thi ân bằng vàng ròng, bề dài hai thước rưỡi, bề ngang một thước rưỡi.
And at the two ends of the cover you are to make two winged ones of hammered gold,|Lại làm hai tượng chê-ru-bin bằng vàng giát mỏng, để hai đầu nắp thi ân,
One at one end and one at the other; the winged ones are to be part of the cover.|ló ra ngoài, một tượng ở đầu nầy và một tượng ở đầu kia.
And their wings are to be outstretched over the cover, and the winged ones are to be opposite one another, facing the cover.|Hai chê-ru-bin sẽ sè cánh ra, che trên nắp thi ân, đối diện nhau và xây mặt vào nắp thi ân.
And put the cover over the ark, and in the ark the record which I will give you.|Ngươi hãy để nắp thi ân trên hòm, rồi để vào trong hòm bảng chứng mà ta sẽ ban cho.
And there, between the two winged ones on the cover of the ark, I will come to you, face to face, and make clear to you all the orders I have to give you for the children of Israel.|Ta sẽ gặp ngươi tại đó, và ở trên nắp thi ân, giữa hai tượng chê-ru-bin, trên hòm bảng chứng, ta sẽ truyền cho ngươi các mạng lịnh về dân Y-sơ-ra-ên.
And you are to make a table of the same wood, two cubits long, a cubit wide and a cubit and a half high,|Ngươi cũng hãy đóng một cái bàn bằng cây si-tim; bề dài hai thước, bề ngang một thước, và bề cao một thước rưỡi,
Plated with the best gold, with a gold edge all round it;|bọc bằng vàng ròng, và chạy một đường viền chung quanh;
And make a frame all round it, as wide as a man's hand, with a gold edge to the frame.|rồi lên be cho tứ vi bàn, cao chừng bốn ngón tay và chạy cho be một đường viền vàng.
And make four gold rings and put them at the four angles, on the four feet of the table;|Lại đúc bốn cái khoen vàng, tra vào bốn góc nơi chân bàn.
The rings are to be fixed under the frame to take the rods with which the table is to be lifted.|Khoen sẽ ở gần be, để xỏ đòn khiêng bàn.
Make rods of the same wood, plated with gold, for lifting the table.|Ngươi hãy chuốt đòn bằng cây si-tim, bọc vàng, rồi người ta sẽ dùng khiêng bàn đó.
And make the table-vessels, the spoons and the cups and the basins for liquids, all of the best gold.|Lại hãy lấy vàng ròng mà làm dĩa, chén, chậu, và ly đặng dùng làm lễ quán.
And on the table at all times you are to keep my holy bread.|Trên bàn ngươi sẽ để bánh trần thiết cho có luôn luôn trước mặt ta.
And you are to make a support for lights, of the best gold; its base and its pillar are to be of hammered gold; its cups, its buds, and its flowers are to be made of the same metal.|Ngươi cũng hãy làm chân đèn bằng vàng ròng. Cái chân, cái thân, cái đài, cái bầu cùng cái hoa của đèn đều làm bằng vàng đánh giát.
It is to have six branches coming out from its sides; three branches from one side and three from the other.|Hai bên thân đèn sẽ có sáu nhánh nứt ra, hạ nhánh ở bên nầy và ba nhánh ở bên kia.
Every branch having three cups made like almond flowers, every cup with a bud and a flower, on all the branches.|Trong sáu nhánh nứt ra trên chân đèn, mỗi nhánh đều sẽ có ba cái đài hình như hột hạnh nhân cùng bầu và hoa.
And on the pillar, four cups like almond flowers, every one with its bud and its flower:|Trên thân chân đèn, lại cũng sẽ có bốn cái đài hình hột hạnh nhân, bầu và hoa.
And under every two branches a bud, made with the branch, for all the six branches of it.|Trong sáu nhánh từ thân chân đèn nứt ra, hễ cứ mỗi hai nhánh thì dưới có một cái bầu.
The buds and the branches are to be made of the same metal; all together one complete work of hammered gold.|Bầu cùng nhánh của chân đèn đều bằng vàng ròng nguyên miếng đánh giát.
Then you are to make its seven vessels for the lights, putting them in their place so that they give light in front of it.|Ngươi cũng hãy làm bảy cái thếp đèn, đặng hễ khi thắp thì chiếu trước chân đèn.
And the instruments and trays for use with it are all to be of the best gold.|Kéo bắt tim cùng đồ đựng tàn đèn cũng sẽ bằng vàng ròng.
A talent of gold will be needed for it, with all these vessels.|Người ta sẽ dùng một ta lâng vàng ròng làm chân đèn nầy và các đồ phụ tùng của chân đèn.
And see that you make them from the design which you saw on the mountain.|Vậy, ngươi hãy xem, cứ làm y như kiểu đã chỉ cho trên núi.

					Exodus 26				|
						Xuất Hành 26					
And you are to make a House for me, with ten curtains of the best linen, blue and purple and red, worked with designs of winged ones by a good workman.|Ngươi hãy dùng mười bức màn mà làm đền tạm, màn dệt bằng vải gai mịn, chỉ tím, đỏ điều và đỏ sặm, có thêu các hình chê-ru-bin cực xảo.
Every curtain is to be twenty-eight cubits long and four cubits wide, all of the same measure.|Mỗi bức màn bề dài hai mươi tám thước, bề rộng bốn thước. Các bức đều đồng cỡ với nhau.
Five curtains are to be joined together, and the other five are to be joined together.|Mỗi năm bức màn sẽ kết dính lại nhau.
And you are to put twists of blue cord on the edge of the outside curtain of the first group of five, and on the edge of the outside curtain of the second group of five;|Ngươi hãy thắt vòng chỉ tím nơi triêng của bức màn thứ nhất ở đầu bức nguyên; và cũng làm như vậy cho đầu chót của bức màn cuối trong bức nguyên thứ nhì.
Fifty twists on one curtain and fifty on the other, the twists to be opposite one another.|Lại làm năm chục cái vòng cho bức màn thứ nhất, và năm chục cái vòng nơi đầu triêng bức nguyên thứ nhì; các vòng hai bên sẽ đối nhau.
Then make fifty gold hooks, joining the curtains together by the hooks, and in this way the House will be made.|Cũng hãy làm năm mươi cái móc bằng vàng, rồi móc bức nguyên nầy qua bức nguyên kia, hầu cho đền tạm kết lại thành một.
And you are to make curtains of goats' hair for a tent over the House, eleven curtains.|Ngươi cũng hãy kết mười một bức màn bằng lông dê, để dùng làm bong che trên đền tạm.
