
					I Sa-mu-ên 1				|
Sau-lơ và cả Y-sơ-ra-ên nghe những lời của người Phi-li-tin, thì lấy làm hoảng hồn, sợ hãi lắm.|掃 羅 和 以 色 列 眾 人 聽 見 非 利 士 人 的 這 些 話 、 就 驚 惶 、 極 其 害 怕 。
Vả, Đa-vít, là con trai của Y-sai, người Ê-phơ-rát kia, quê ở Bết-lê-hem trong xứ Giu-đa, người có tám con trai; trong đời Sau-lơ, Y-sai đã cao tuổi rồi.|大 衛 是 猶 大 伯 利 恆 的 以 法 他 人 耶 西 的 兒 子 ． 耶 西 有 八 個 兒 子 ． 當 掃 羅 的 時 候 、 耶 西 已 經 老 邁 。
Ba con trai của Y-sai đã theo Sau-lơ nơi chiến trận: tên ba con trai ấy là: con cả Ê-li-áp, con thứ nhì A-bi-đáp, và con thứ ba Sa-ma.|耶 西 的 三 個 大 兒 子 跟 隨 掃 羅 出 征 ． 這 出 征 的 三 個 兒 子 、 長 子 名 叫 以 利 押 、 次 子 名 叫 亞 比 拿 達 、 三 子 名 叫 沙 瑪 。
Đa-vít là con út. Khi ba anh người đã theo Sau-lơ,|大 衛 是 最 小 的 ． 那 三 個 大 兒 子 跟 隨 掃 羅 。
thì Đa-vít lìa nơi Sau-lơ, trở về Bết-lê-hem đặng chăn chiên của cha mình.|大 衛 有 時 離 開 掃 羅 回 伯 利 恆 、 放 他 父 親 的 羊 。
Người Phi-li-tin đi ra buổi mai và buổi chiều, tỏ mình ra như vậy trong bốn mươi ngày.|那 非 利 士 人 早 晚 都 出 來 站 著 、 如 此 四 十 日 。
Vả, Y-sai nói cùng Đa-vít, con trai mình, mà rằng: Con hãy lấy một ê-pha hột rang và mười ổ bánh nầy, chạy mau đến trại quân đặng đem đưa cho các anh con.|一 日 耶 西 對 他 兒 子 大 衛 說 、 你 拿 一 伊 法 烘 了 的 穗 子 、 和 十 個 餅 、 速 速 的 送 到 營 裡 去 、 交 給 你 哥 哥 們 ．
Con cũng hãy đem mười bánh sữa nầy cho quan tướng cai ngàn quân, thử xem các anh con có mạnh chăng, và con phải đem về cho cha một dấu chi lam chứng về phần chúng nó.|再 拿 這 十 塊 奶 餅 、 送 給 他 們 的 千 夫 長 、 且 問 你 哥 哥 們 好 、 向 他 們 要 一 封 信 來 。
Các anh con ở cùng Sau-lơ và hết thảy người Y-sơ-ra-ên tại trong trũng Ê-la, để đánh giặc cùng dân Phi-li-tin.|掃 羅 與 大 衛 的 三 個 哥 哥 、 和 以 色 列 眾 人 、 在 以 拉 谷 與 非 利 士 人 打 仗 。
Ngày mai sáng sớm, Đa-vít để chiên cho một người chăn, lấy đồ vật mà đi, như Y-sai đã dặn người. Khi người đã đến đồn, thì đạo binh đi ra đặng dàn trận và reo tiếng chiến tranh.|大 衛 早 晨 起 來 、 將 羊 交 託 一 個 看 守 的 人 、 照 著 他 父 親 所 吩 咐 的 話 、 帶 著 食 物 去 了 ． 到 了 輜 重 營 、 軍 兵 剛 出 到 戰 場 、 吶 喊 要 戰 。
Y-sơ-ra-ên và dân Phi-li-tin dàn trận, hai đạo quân đối nhau.|以 色 列 人 和 非 利 士 人 都 擺 列 隊 伍 、 彼 此 相 對 。
Đa-vít cất gánh nặng mình giao cho người giữ đồ vật, đoạn chạy đến chỗ dàn trận, tới hỏi thăm ba anh mình mạnh giỏi chăng.|大 衛 把 他 帶 來 的 食 物 、 留 在 看 守 物 件 人 的 手 下 、 跑 到 戰 場 、 問 他 哥 哥 們 安 。
Người đương nói chuyện cùng chúng, kìa người lực sĩ Gô-li-át, tức là người Phi-li-tin ở Gát, từ hàng ngũ Phi-li-tin xơm tới, và Đa-vít nghe hắn nói như những lời ngày trước.|與 他 們 說 話 的 時 候 、 那 討 戰 的 、 就 是 屬 迦 特 的 非 利 士 人 歌 利 亞 、 從 非 利 士 隊 中 出 來 、 說 從 前 所 說 的 話 ． 大 衛 都 聽 見 了 。
Hết thảy người Y-sơ-ra-ên thấy người nầy, đều chạy trốn và run sợ lắm. Mọi người Y-sơ-ra-ên nói:|以 色 列 眾 人 看 見 那 人 、 就 逃 跑 、 極 其 害 怕 。
Các ngươi có thấy người đó xơm tới chăng? Hắn đến đặng sỉ nhục Y-sơ-ra-ên. Nếu ai giết được hắn, thì vua sẽ ban thưởng nhiều của cải, gả con gái mình cho người đó, và miễn xâu thuế cho nhà cha người ấy trong Y-sơ-ra-ên.|以 色 列 人 彼 此 說 、 這 上 來 的 人 、 你 看 見 了 麼 ． 他 上 來 、 是 要 向 以 色 列 人 罵 陣 ． 若 有 能 殺 他 的 、 王 必 賞 賜 他 大 財 、 將 自 己 的 女 兒 給 他 為 妻 、 並 在 以 色 列 人 中 、 免 他 父 家 納 糧 當 差 。
Đa-vít hỏi những người ở gần mình rằng: Người ta sẽ đãi thể nào cho kẻ giết được người Phi-li-tin nầy, và cất sự sỉ nhục khỏi Y-sơ-ra-ên? Vì người Phi-li-tin nầy, kẻ chẳng chịu phép cắt bì nầy, là ai, mà lại dám sỉ nhục đạo binh của Đức Chúa Trời hằng sống?|大 衛 問 站 在 旁 邊 的 人 、 說 、 有 人 殺 這 非 利 士 人 、 除 掉 以 色 列 人 的 恥 辱 、 怎 樣 待 他 呢 ． 這 未 受 割 禮 的 非 利 士 人 是 誰 呢 、 竟 敢 向 永 生 　 神 的 軍 隊 罵 陣 麼 。
Người ta lấy lời thường nói ấy mà đáp cùng người rằng: Ai giết được hắn thì phần thưởng sẽ là như vậy.|百 姓 照 先 前 的 話 回 答 他 說 、 有 人 能 殺 這 非 利 士 人 、 必 如 此 如 此 待 他 。
Nhưng Ê-li-háp, anh cả người, nghe Đa-vít nói như vậy, nổi giận người mà nói rằng: Cớ sao mày đến đây? Mày bỏ ít con chiên của chúng ta trong đồng vắng cho ai? Tao biết tánh kiêu ngạo và sự độc ác của lòng mày. Ay đặng xem tranh chiến nên mày mới đến.|大 衛 的 長 兄 以 利 押 、 聽 見 大 衛 與 他 們 所 說 的 話 、 就 向 他 發 怒 、 說 、 你 下 來 作 甚 麼 呢 ． 在 曠 野 的 那 幾 隻 羊 、 你 交 託 了 誰 呢 。 我 知 道 你 的 驕 傲 、 和 你 心 裡 的 惡 意 ． 你 下 來 、 特 為 要 看 爭 戰 。
Đa-vít đáp rằng: Vậy, tôi có làm chi đâu? Ay chỉ là một câu hỏi thôi?|大 衛 說 、 我 作 了 甚 麼 呢 ． 我 來 豈 沒 有 緣 故 麼 。
Người dan xa anh mình, lặp hỏi những người khác cũng một câu ấy, thì người ta đáp như lần thứ nhứt.|大 衛 就 離 開 他 轉 向 別 人 、 照 先 前 的 話 而 問 ． 百 姓 仍 照 先 前 的 話 回 答 他 。
Có người nghe các lời Đa-vít nói, bèn thuật lại cho Sau-lơ hay; Sau-lơ đòi người đến.|有 人 聽 見 大 衛 所 說 的 話 、 就 告 訴 了 掃 羅 ． 掃 羅 便 打 發 人 叫 他 來 。
Đa-vít thưa với Sau-lơ rằng: Xin chớ ai ngã lòng vì cớ người Phi-li-tin kia! Kẻ tôi tớ vua sẽ đi đấu địch cùng hắn.|大 衛 對 掃 羅 說 、 人 都 不 必 因 那 非 利 士 人 膽 怯 ． 你 的 僕 人 要 去 與 那 非 利 士 人 戰 鬥 。
Sau-lơ đáp cùng Đa-vít rằng: Ngươi chẳng thế đi đấu địch cùng người Phi-li-tin kia, vì ngươi chỉ là một đứa con trẻ, còn hắn là một tay chiến sĩ từ thuở còn thơ.|掃 羅 對 大 衛 說 、 你 不 能 去 與 那 非 利 士 人 戰 鬥 ． 因 為 你 年 紀 太 輕 、 他 自 幼 就 作 戰 士 。
Đa-vít tâu cùng Sau-lơ rằng: Khi tôi tớ vua chăn chiên của cha mình, hễ có sư tử hay là con gấu đến tha một con chiên của bầy.|大 衛 對 掃 羅 說 、 你 僕 人 為 父 親 放 羊 ． 有 時 來 了 獅 子 、 有 時 來 了 熊 、 從 群 中 啣 一 隻 羊 羔 去 。
thì tôi đuổi theo, đánh nó, rứt con chiên khỏi miệng nó; hễ nó cất lên cự tôi, tôi nắm râu nó, đánh và giết nó đi.|我 就 追 趕 他 、 擊 打 他 、 將 羊 羔 從 他 口 中 救 出 來 ． 他 起 來 要 害 我 、 我 就 揪 著 他 的 鬍 子 、 將 他 打 死 。
Tôi tớ vua đã đánh chết con sư tử và con gấu, vậy thì người Phi-li-tin không chịu phép cắt bì kia cũng sẽ đồng số phận với chúng nó; vì hắn sỉ nhục các đạo binh của Đức Chúa Trời hằng sống.|你 僕 人 曾 打 死 獅 子 和 熊 ． 這 未 受 割 禮 的 非 利 士 人 向 永 生 　 神 的 軍 隊 罵 陣 、 也 必 像 獅 子 和 熊 一 般 。
Đa-vít lại nói: Đức Giê-hô-va đã giải cứu tôi khỏi vấu sư tử và khỏi cẳng gấu, ắt sẽ giải cứu tôi khỏi tay người Phi-li-tin kia. Sau-lơ đáp rằng: Hãy đi, nguyện Đức Giê-hô-va ở cùng ngươi!|大 衛 又 說 、 耶 和 華 救 我 脫 離 獅 子 和 熊 的 爪 、 也 必 救 我 脫 離 這 非 利 士 人 的 手 。 掃 羅 對 大 衛 說 、 你 可 以 去 罷 ． 耶 和 華 必 與 你 同 在 。
Sau-lơ lấy áo chiến mình mặc cho Đa-vít, đội cái mão đồng lên đầu người, và mặc áo giáo cho người.|掃 羅 就 把 自 己 的 戰 衣 給 大 衛 穿 上 、 將 銅 盔 給 他 戴 上 、 又 給 他 穿 上 鎧 甲 。
Đa-vít đeo gươm của Sau-lơ ở trên áo chiến và tập đi thử, vì không có thói quen. Nhưng người nói cùng Sau-lơ rằng: Tôi không thế mang khí giới nầy mà đi được; vì tôi không có thói quen. Đa-vít bèn cổi áo ấy ra,|大 衛 把 刀 跨 在 戰 衣 外 、 試 試 能 走 不 能 走 ． 因 為 素 來 沒 有 穿 慣 、 就 對 掃 羅 說 、 我 穿 戴 這 些 不 能 走 ． 因 為 素 來 沒 有 穿 慣 。 於 是 摘 脫 了 。
cầm một cây gậy, lựa dưới khe năm cục đá bóng láng, để trong cái túi chăn chiên mình vẫn có, và cái trành ném đá ở nơi tay, rồi xơm tới người Phi-li-tin.|他 手 中 拿 杖 、 又 在 溪 中 挑 選 了 五 塊 光 滑 石 子 、 放 在 袋 裡 、 就 是 牧 人 帶 的 囊 裡 ． 手 中 拿 著 甩 石 的 機 弦 、 就 去 迎 那 非 利 士 人 。
Người Phi-li-tin cũng xơm tới, đến gần Đa-vít, có kẻ vác binh khí đi trước.|非 利 士 人 也 漸 漸 的 迎 著 大 衛 來 ． 拿 盾 牌 的 走 在 前 頭 。
Người Phi-li-tin xem Đa-vít, thấy người còn trẻ, nước da hồng hồng, mặt đẹp đẽ, thì khinh người.|非 利 士 人 觀 看 、 見 了 大 衛 、 就 藐 視 他 ． 因 為 他 年 輕 、 面 色 光 紅 、 容 貌 俊 美 。
Người Phi-li-tin nói cùng Đa-vít rằng: Ta há là một con chó nên người cầm gậy đến cùng ta? Người Phi-li-tin bắt danh các thần mình mà rủa sả Đa-vít,|非 利 士 人 對 大 衛 說 、 你 拿 杖 到 我 這 裡 來 、 我 豈 是 狗 呢 。 非 利 士 人 就 指 著 自 己 的 神 、 咒 詛 大 衛 。
và tiếp rằng: Hãy lại đây, ta sẽ ban thịt ngươi cho chim trời và thú đồng.|非 利 士 人 又 對 大 衛 說 、 來 罷 、 我 將 你 的 肉 給 空 中 的 飛 鳥 、 田 野 的 走 獸 喫 。
Đa-vít đáp cùng người Phi-li-tin rằng: Ngươi cầm gươm, giáo, lao mà đến cùng ta; còn ta, ta nhơn danh Đức Giê-hô-va vạn binh mà đến, tức là Đức Chúa Trời của đạo binh Y-sơ-ra-ên, mà ngươi đã sỉ nhục.|大 衛 對 非 利 士 人 說 、 你 來 攻 擊 我 、 是 靠 著 刀 槍 和 銅 戟 ． 我 來 攻 擊 你 、 是 靠 著 萬 軍 之 耶 和 華 的 名 、 就 是 你 所 怒 罵 帶 領 以 色 列 軍 隊 的 　 神 。
Ngày nay Đức Giê-hô-va sẽ phó ngươi vào tay ta, ta sẽ giết ngươi, cắt đầu ngươi, và ngày nay ban thây của đạo binh Phi-li-tin cho chim trời và thú vật của đất.|今 日 耶 和 華 必 將 你 交 在 我 手 裡 ． 我 必 殺 你 、 斬 你 的 頭 ． 又 將 非 利 士 軍 兵 的 屍 首 、 給 空 中 的 飛 鳥 地 上 的 野 獸 喫 ． 使 普 天 下 的 人 都 知 道 以 色 列 中 有 　 神 ．
Khắp thế gian sẽ biết rằng Y-sơ-ra-ên có một Đức Chúa Trời; và quân lính nầy sẽ thấy rằng Đức Giê-hô-va không giải cứu bằng gươm, hoặc bằng giáo; vì Đức Giê-hô-va là Chúa của chiến trận, và Ngài sẽ phó các ngươi vào tay chúng ta.|又 使 這 眾 人 知 道 耶 和 華 使 人 得 勝 、 不 是 用 刀 用 槍 ． 因 為 爭 戰 的 勝 敗 全 在 乎 耶 和 華 ． 他 必 將 你 們 交 在 我 們 手 裡 。
Xảy khi người Phi-li-tin đứng dậy, xơm tới đón Đa-vít, Đa-vít vội vàng chạy về hướng hàng trận quân nghịch đặng đón người Phi-li-tin.|非 利 士 人 起 身 、 迎 著 大 衛 前 來 ． 大 衛 急 忙 迎 著 非 利 士 人 、 往 戰 場 跑 去 。
Đa-vít thò tay vào túi mình, lấy một cục đá, ném nó bằng trành, trúng nơi trán người Phi-li-tin. Cục đá lọt thấu trong trán, Gô-li-át té úp mặt xuống đất.|大 衛 用 手 從 囊 中 掏 出 一 塊 石 子 來 、 用 機 弦 甩 去 、 打 中 非 利 士 人 的 額 ． 石 子 進 人 額 內 、 他 就 仆 倒 、 面 伏 於 的 。
Như vậy Đa-vít thắng được người Phi-li-tin bằng cái trành nắm đá và cục đá, đánh chết hắn mà không có gươm nơi tay.|這 樣 、 大 衛 用 機 弦 甩 石 、 勝 了 那 非 利 士 人 、 打 死 他 ． 大 衛 手 中 卻 沒 有 刀 。
Đoạn, Đa-vít chạy lại, xông vào mình người Phi-li-tin, lấy gươm của hắn và rút ra khỏi vỏ, giết hắn, và cắt đầu đi. Dân Phi-li-tin thấy kẻ lực sĩ mình đã chết, thì chạy trốn.|大 衛 跑 去 、 站 在 非 利 士 人 身 旁 、 將 他 的 刀 從 鞘 中 拔 出 來 、 殺 死 他 、 割 了 他 的 頭 。 非 利 士 眾 人 看 見 他 們 討 戰 的 勇 士 死 了 、 就 都 逃 跑 。
Bấy giờ, người Y-sơ-ra-ên và Giu-đa dấy lên, hò hét, đuổi theo dân Phi-li-tin cho đến cửa thành Gát và Ec-rôn; người Phi-li-tin bị thương ngã chết đầy đường Sa-ra-gim cho đến Gát và Ec-rôn.|以 色 列 人 和 猶 大 人 便 起 身 、 吶 喊 、 追 趕 非 利 士 人 、 直 到 迦 特 〔 或 作 該 〕 和 以 革 倫 的 城 門 。 被 殺 的 非 利 士 人 、 倒 在 沙 拉 音 的 路 上 、 直 到 迦 特 、 和 以 革 倫 。
Dân Y-sơ-ra-ên, sau khi đã rượt đuổi dân Phi-li-tin rồi, thì trở về cướp phá trại quân chúng nó.|以 色 列 人 追 趕 非 利 士 人 回 來 、 就 奪 了 他 們 的 營 盤 。
Đa-vít lấy thủ cấp của người Phi-li-tin đem đến Giê-ru-sa-lem; nhưng để binh khí Gô-li-át lại trong trại mình.|大 衛 將 那 非 利 士 人 的 頭 、 拿 到 耶 路 撒 冷 ． 卻 將 他 軍 裝 放 在 自 己 的 帳 棚 裡 。
Sau-lơ thấy Đa-vít đón đánh người Phi-li-tin, thì có hỏi quan tổng binh Ap-ne, rằng: Hỡi Ap-ne, người trai trẻ đó là con trai của ai? Ap-ne thưa rằng: Oi vua! tôi xin chỉ linh hồn vua mà thề, tôi chẳng biết.|掃 羅 看 見 大 衛 去 攻 擊 非 利 士 人 、 就 問 元 帥 押 尼 珥 說 、 押 尼 珥 阿 、 那 少 年 人 是 誰 的 兒 子 。 押 尼 珥 說 、 我 敢 在 王 面 前 起 誓 、 我 不 知 道 。
Vua nói cùng người rằng: Hãy hỏi thăm gã trai trẻ ấy là con của ai.|王 說 、 你 可 以 問 問 那 幼 年 人 是 誰 的 兒 子 。
Khi Đa-vít đã giết người Phi-li-tin trở về, thì Ap-ne rước người, dẫn đến trước mặt Sau-lơ. Đa-vít đương xách thủ cấp của người Phi-li-tin nơi tay.|大 衛 打 死 非 利 士 人 回 來 、 押 尼 珥 領 他 到 掃 羅 面 前 、 他 手 中 拿 著 非 利 士 人 的 頭 。
Sau-lơ nói cùng người rằng: Hỡi gã trai trẻ, ngươi là con ai? Đa-vít thưa rằng: Tôi là con Y-sai, tôi tớ của vua, ở tại Bết-lê-hem.|掃 羅 問 他 說 少 年 人 哪 、 你 是 誰 的 兒 子 。 大 衛 說 、 我 是 你 僕 人 伯 利 恆 人 耶 西 的 兒 子 。

					I Sa-mu-ên 18				|
						撒母耳記上 18					
Đa-vít vừa tâu xong cùng Sau-lơ, thì lòng của Giô-na-than khế hiệp cùng lòng Đa-vít, đến đỗi Giô-na-than yêu mến Đa-vít như mạng sống mình.|大 衛 對 掃 羅 說 完 了 話 、 約 拿 單 的 心 、 與 大 衛 的 心 、 深 相 契 合 ． 約 拿 單 愛 大 衛 、 如 同 愛 自 己 的 性 命 。
Từ ngày đó, Sau-lơ rước Đa-vít về đền mình, không cho trở về nhà cha người nữa.|那 日 掃 羅 留 住 大 衛 、 不 容 他 再 回 父 家 。
Giô-na-than kế hiệp cùng Đa-vít, bởi vì yêu mến người như mạng sống mình.|約 拿 單 愛 大 衛 如 同 愛 自 己 的 性 命 、 就 與 他 結 盟 。
Người cổi áo mình mặc mà trao cho Đa-vít, luôn với áo xống khác, cho đến gươm, cung, và đai của mình nữa.|約 拿 單 從 身 上 脫 下 外 袍 、 給 了 大 衛 、 又 將 戰 衣 、 刀 、 弓 、 腰 帶 、 都 給 了 他 。
Đa-vít đi đánh giặc nhiều: bất luận nơi nào Sau-lơ sai người đi, thì đều được việc, nên Sau-lơ đặt người làm đầu chiến sĩ; người đẹp ý bá tánh và những tôi tớ của Sau-lơ.|掃 羅 無 論 差 遣 大 衛 往 何 處 去 、 他 都 作 事 精 明 ． 掃 羅 就 立 他 作 戰 士 長 、 眾 百 姓 和 掃 羅 的 臣 僕 、 無 不 喜 悅 。
Khi Đa-vít đã giết được người Phi-li-tin, trở về cùng đạo binh, thì những người nữ của các thành Y-sơ-ra-ên đi ra đón Sau-lơ, hát múa, đánh trống cơm, gõ nhịp, và reo tiếng vui mừng.|大 衛 打 死 了 那 非 利 士 人 、 同 眾 人 回 來 的 時 候 、 婦 女 們 從 以 色 列 各 城 裡 出 來 、 歡 歡 喜 喜 、 打 鼓 擊 磬 、 歌 唱 跳 舞 、 迎 接 掃 羅 王 。
Những người múa đối đáp nhau rằng: Sau-lơ giết hàng ngàn, Còn Đa-vít giết hàng vạn!|眾 婦 女 舞 蹈 唱 和 、 說 、 掃 羅 殺 死 千 千 、 大 衛 殺 死 萬 萬 。
Sau-lơ lấy làm giận lắm, và các lời nầy không đẹp lòng người. Người nói: Người ta cho Đa-vít hàng vạn, còn ta hàng ngàn; chỉ còn thiếu cho nó ngôi nước mà thôi!|掃 羅 甚 發 怒 、 不 喜 悅 這 話 、 就 說 、 將 萬 萬 歸 大 衛 、 千 千 歸 我 、 只 剩 下 王 位 沒 有 給 他 了 。
Kể từ ngày ấy, Sau-lơ thường ngó Đa-vít cách giận.|從 這 日 起 、 掃 羅 就 怒 視 大 衛 。
Ngày mai, ác thần bởi Đức Chúa Trời khiến nhập vào Sau-lơ; người có cơn sốt hoảng trong đền mình, thì Đa-vít gảy đờn như những ngày khác. Sau-lơ cầm một cây giáo nơi tay,|次 日 、 從 　 神 那 裡 來 的 惡 魔 、 大 大 降 在 掃 羅 身 上 、 他 就 在 家 中 胡 言 亂 語 ． 大 衛 照 常 彈 琴 ． 掃 羅 手 裡 拿 著 槍 。
bèn phóng Đa-vít, mà rằng: Ta sẽ đóng đinh nó nơi vách. Nhưng Đa-vít tránh hai lần khỏi mũi giáo.|掃 羅 把 槍 一 掄 、 心 裡 說 、 我 要 將 大 衛 刺 透 、 釘 在 牆 上 。 大 衛 躲 避 他 兩 次 。
Sau-lơ sợ Đa-vít, vì Đức Giê-hô-va ở cùng Đa-vít, và đã lìa khỏi mình.|掃 羅 懼 怕 大 衛 、 因 為 耶 和 華 離 開 自 己 、 與 大 衛 同 在 。
Sau-lơ khiến Đa-vít cách xa mình, lập người làm trưởng ngàn người: Đa-vít ra trận trở về thì đứng đầu đạo binh.|所 以 掃 羅 使 大 衛 離 開 自 己 、 立 他 為 千 夫 長 ． 他 就 領 兵 出 入 。
Trong các công việc, người đều được may mắn, và Đức Giê-hô-va ở cùng người.|大 衛 作 事 無 不 精 明 ． 耶 和 華 也 與 他 同 在 。
Sau-lơ thấy người được may mắn dường ấy, thì lấy làm sợ người.|掃 羅 見 大 衛 作 事 精 明 、 就 甚 怕 他 。
Nhưng cả Y-sơ-ra-ên và Giu-đa đều yêu mến Đa-vít, bởi vì người ra trận trở về đứng đầu chúng.|但 以 色 列 和 猶 大 眾 人 、 都 愛 大 衛 ． 因 為 他 領 他 們 出 入 。
Sau-lơ nói cùng Đa-vít rằng: Nầy Mê-ráp, con gái cả ta; ta sẽ gả nó cho ngươi làm vợ. Chỉ phải giúp ta cách mạnh bạo và đánh giặc cho Đức Giê-hô-va. Vả, Sau-lơ nói thầm rằng: Tay ta chớ nên hành hại hắn, nhưng thà tay của dân Phi-li-tin còn hơn.|掃 羅 對 大 衛 說 、 我 將 大 女 兒 米 拉 給 你 為 妻 ． 只 要 你 為 我 奮 勇 、 為 耶 和 華 爭 戰 。 掃 羅 心 裡 說 、 我 不 好 親 手 害 他 、 要 藉 非 利 士 人 的 手 害 他 。
Đa-vít thưa rằng: Tôi là ai? Thân phận tôi là gì? Họ hàng cha tôi nơi Y-sơ-ra-ên ra chi mà tôi trở nên phò mã của vua?|大 衛 對 掃 羅 說 、 我 是 誰 、 我 是 甚 麼 出 身 、 我 父 家 在 以 色 列 中 是 何 等 的 家 、 豈 敢 作 王 的 女 婿 呢 。
Vả, khi đến kỳ Mê-ráp, con gái của Sau-lơ, phải gả cho Đa-vít, thì lại gả cho At-ri-ên, người Mê-hô-la.|掃 羅 的 女 兒 米 拉 到 了 當 給 大 衛 的 時 候 、 掃 羅 卻 給 了 米 何 拉 人 亞 得 列 為 妻 。
Nhưng Mi-canh, con gái của Sau-lơ, yêu mến Đa-vít. Khi Sau-lơ hay điều đó, thì lấy làm đẹp lòng.|掃 羅 的 次 女 米 甲 愛 大 衛 ． 有 人 告 訴 掃 羅 、 掃 羅 就 喜 悅 。
Người nói thầm rằng: Ta sẽ biểu hắn cưới nàng, hầu cho nàng làm cái bẫy cho hắn, và hắn sa vào tay của dân Phi-li-tin. Vậy, Sau-lơ nói lần thứ nhì cùng Đa-vít rằng: Ngươi sẽ làm phò mã ta.|掃 羅 心 裡 說 、 我 將 這 女 兒 給 大 衛 、 作 他 的 網 羅 、 好 藉 非 利 士 人 的 手 害 他 。 所 以 掃 羅 對 大 衛 說 、 你 今 日 可 以 第 二 次 作 我 的 女 婿 。
Đoạn, Sau-lơ truyền lịnh cho các tôi tớ mình rằng: Hãy nói kín cùng Đa-vít rằng: Ngươi thấy vua lấy làm đẹp lòng ngươi, và hết thảy tôi tớ vua đều yêu mến ngươi: vậy, hãy làm phò mã của vua.|掃 羅 吩 咐 臣 僕 說 、 你 們 暗 中 對 大 衛 說 、 王 喜 悅 你 、 王 的 臣 僕 也 都 喜 愛 你 、 所 以 你 當 作 王 的 女 婿 。
Các tôi tớ của Sau-lơ nói lại các lời ấy cùng Đa-vít. Đa-vít đáp rằng: Làm phò mã của vua, há là việc nhỏ mọn trước mặt các ngươi sao? Tôi vốn một người nghèo nàn và hèn tiện.|掃 羅 的 臣 僕 、 就 照 這 話 說 給 大 衛 聽 。 大 衛 說 、 你 們 以 為 作 王 的 女 婿 、 是 一 件 小 事 麼 ． 我 是 貧 窮 卑 微 的 人 。
Các tôi tớ của Sau-lơ thuật lại cho vua câu trả lời của Đa-vít.|掃 羅 的 臣 僕 回 奏 、 說 、 大 衛 所 說 的 、 如 此 如 此 。
Sau-lơ nói cùng chúng rằng: Các ngươi hãy nói cùng Đa-vít như vầy: Vua chẳng đòi sính lễ gì khác, chỉ đòi một trăm dương bì của người Phi-li-tin, đặng trả thù kẻ cừu địch mình. Vả, cái mưu của Sau-lơ là khiến cho Đa-vít sa vào tay dân Phi-li-tin.|掃 羅 說 、 你 們 要 對 大 衛 這 樣 說 、 王 不 要 甚 麼 聘 禮 、 只 要 一 百 非 利 士 人 的 陽 皮 、 好 在 王 的 仇 敵 身 上 報 仇 。 掃 羅 的 意 思 要 使 大 衛 喪 在 非 利 士 人 的 手 裡 。
Các tôi tớ kể lại những lời nầy cho Đa-vít nghe, thì Đa-vít chìu theo sự buộc ấy mà làm phò mã của vua. Trước kỳ định,|掃 羅 的 臣 僕 將 這 話 告 訴 大 衛 、 大 衛 就 歡 喜 作 王 的 女 婿 。 日 期 還 沒 有 到 、
Đa-vít chổi dậy, cùng quân thủ hạ mình đi đánh giết hai trăm ngươi Phi-li-tin. Người đem dương bì của chúng nó về, và nộp cho vua đủ số, đặng trở làm phò mã người. Vậy, Sau-lơ gả Mi-canh, con gái mình, cho người làm vợ.|大 衛 和 跟 隨 他 的 人 起 身 前 往 、 殺 了 二 百 非 利 士 人 、 將 陽 皮 滿 數 交 給 王 、 為 要 作 王 的 女 婿 。 於 是 掃 羅 將 女 兒 米 甲 給 大 衛 為 妻 。
Sau-lơ nhìn biết Đức Giê-hô-va ở cùng Đa-vít. Mi-canh, con gái của Sau-lơ, yêu mến Đa-vít.|掃 羅 見 耶 和 華 與 大 衛 同 在 、 又 知 道 女 兒 米 甲 愛 大 衛 ．
Nhưng Sau-lơ càng sợ Đa-vít hơn nữa, và trọn đời mình làm kẻ thù nghịch người.|就 更 怕 大 衛 、 常 作 大 衛 的 仇 敵 。
Mỗi lần các quan trưởng dân Phi-li-tin ra trận, thì Đa-vít may mắn hơn các tôi tớ của Sau-lơ; vì vậy danh người trở nên tôn trọng lắm.|每 逢 非 利 士 軍 長 出 來 打 仗 、 大 衛 比 掃 羅 的 臣 僕 作 事 精 明 ． 因 此 他 的 名 被 人 尊 重 。

					I Sa-mu-ên 19				|
						撒母耳記上 19					
Sau-lơ bàn tính cùng Giô-na-than, con trai mình, và các tôi tớ, để giết Đa-vít; nhưng Giô-na-than, con trai của Sau-lơ, rất thương yêu Đa-vít,|掃 羅 對 他 兒 子 約 拿 單 和 眾 臣 僕 說 、 要 殺 大 衛 。 掃 羅 的 兒 子 約 拿 單 、 卻 甚 喜 愛 大 衛 。
cho người hay, và nói rằng: Sau-lơ, cha tôi, tìm giết anh. Vậy, sáng ngày mai, hãy cẩn thận, ở nơi khuất kín, và ẩn mình đi.|約 拿 單 告 訴 大 衛 說 、 我 父 掃 羅 想 要 殺 你 ． 所 以 明 日 早 晨 你 要 小 心 、 到 一 個 僻 靜 地 方 藏 身 ．
Tôi sẽ đi ra đứng gần bên cha tôi nơi ruộng mà anh sẽ ẩn, và nói về anh cùng cha tôi, thử xem người nói thế nào, rồi sẽ cho anh biết.|我 就 出 到 你 所 藏 的 田 裡 、 站 在 我 父 親 旁 邊 、 與 他 談 論 ． 我 看 他 情 形 怎 樣 、 我 必 告 訴 你 。
