
					Sáng Thế 1				|
rồi để Gia-cốp cùng mình ở cách xa nhau chừng ba ngày đường; Gia-cốp bèn chăn bầy súc vật của La-ban chỉ còn lại.|又 使 自 己 和 雅 各 相 離 三 天 的 路 程 ． 雅 各 就 牧 養 拉 班 其 餘 的 羊 。
Đoạn, Gia-cốp lấy nhành bạch dương, nhành bồ đào và nhành bá-tiên tươi, lột vỏ để bày lằn da trắng ở trong ra.|雅 各 拿 楊 樹 、 杏 樹 、 楓 樹 的 嫩 枝 、 將 皮 剝 成 白 紋 、 使 枝 子 露 出 白 的 來 ．
Người để những nhành đã lột vỏ trong máng trước mặt con chiên, là nơi các thú đó đến uống; khi đến uống nước thì con chiên có giao hiệp nhau.|將 剝 了 皮 的 枝 子 、 對 著 羊 群 插 在 飲 羊 的 水 溝 裡 、 和 水 槽 裡 、 羊 來 喝 的 時 候 牝 牡 配 合 。
Các con chiên ngó thấy những nhành đó mà giao hiệp nhau thì sanh chiên con có sọc, có rằn và có đốm.|羊 對 著 枝 子 配 合 、 就 生 下 有 紋 的 、 有 點 的 、 有 斑 的 來 。
Gia-cốp để riêng chiên con ra, rồi để chiên cái trong bầy của La-ban trước mặt các con có sọc và có sắc đen; nhưng bầy mình thì riêng ra, không để gần bầy của La-ban.|雅 各 把 羊 羔 分 出 來 、 使 拉 班 的 羊 、 與 這 有 紋 和 黑 色 的 羊 相 對 、 把 自 己 的 羊 另 放 一 處 、 不 叫 他 和 拉 班 的 羊 混 雜 。
Vả, mọi lần các con chiên mạnh mập giao hiệp, thì Gia-cốp để các nhành đó dưới mắt trong máng uống nước, đặng chúng nó đối nhành mà giao hiệp cùng nhau.|到 羊 群 肥 壯 配 合 的 時 候 、 雅 各 就 把 枝 子 插 在 水 溝 裡 、 使 羊 對 著 枝 子 配 合 。
Nhưng khi nào con chiên gầy ốm, thì người không để nhành như vậy; thế thì, các chiên con gầy ốm để về phần La-ban, còn chiên con mạnh mập lại về phần Gia-cốp.|只 是 到 羊 瘦 弱 配 合 的 時 候 、 就 不 插 枝 子 ． 這 樣 、 瘦 弱 的 就 歸 拉 班 、 肥 壯 的 就 歸 雅 各 。
Vậy, người trở nên rất giàu, có nhiều bầy súc vật, tôi trai, tớ gái, lạc đà và lừa.|於 是 雅 各 極 其 發 大 、 得 了 許 多 的 羊 群 、 僕 婢 、 駱 駝 、 和 驢 。

					Sáng Thế 31				|
						創世記 31					
Gia-cốp được nghe lời các con La-ban nói rằng: Gia-cốp đã lấy hết gia tài cha ta, và vì nhờ của cha ta, nên mới được giàu có dường ấy.|雅 各 聽 見 拉 班 的 兒 子 們 有 話 說 、 雅 各 把 我 們 父 親 所 有 的 都 奪 了 去 、 並 藉 著 我 們 父 親 的 、 得 了 這 一 切 的 榮 耀 。 〔 榮 耀 或 作 財 〕
Gia-cốp cũng để ý coi nét mặt cậu, nhận biết rằng người chẳng đối ở với mình như trước nữa.|雅 各 見 拉 班 的 氣 色 向 他 不 如 從 前 了 。
Đức Giê-hô-va phán cùng Gia-cốp rằng: Hãy trở về xứ của tổ phụ ngươi, chốn bà con ngươi, ta sẽ phù hộ ngươi.|耶 和 華 對 雅 各 說 、 你 要 回 你 祖 你 父 之 地 、 到 你 親 族 那 裡 去 、 我 必 與 你 同 在 。
Gia-cốp bèn sai người gọi Ra-chên và Lê -a đến nơi cầm bầy súc vật của mình ngoài đồng,|雅 各 就 打 發 人 、 叫 拉 結 和 利 亞 到 田 野 羊 群 那 裡 來 ．
và nói cùng họ rằng: Ta thấy sắc mặt cha hai ngươi đối cùng ta chẳng còn như trước nữa, nhưng nhờ Đức Chúa Trời của cha ta phù hộ ta.|對 他 們 說 、 我 看 你 們 父 親 的 氣 色 向 我 不 如 從 前 了 ． 但 我 父 親 的 　 神 向 來 與 我 同 在 。
Chánh hai ngươi cũng biết rằng ta đã giúp cha hai ngươi hết sức,|你 們 也 知 道 、 我 盡 了 我 的 力 量 服 事 你 們 的 父 親 。
còn cha hai ngươi lại khinh bạc và mười lần thay đổi công giá ta; nhưng Đức Chúa Trời không cho phép người làm hại ta chút nào.|你 們 的 父 親 欺 哄 我 、 十 次 改 了 我 的 工 價 ． 然 而 　 神 不 容 他 害 我 。
Khi người dạy rằng: Các con chiên có đốm dùng làm công giá ngươi, quả các con chiên đều sanh con ra có sọc.|他 若 說 、 有 點 的 歸 你 作 工 價 、 羊 群 所 生 的 都 有 點 ． 他 若 說 、 有 紋 的 歸 你 作 工 價 、 羊 群 所 生 的 都 有 紋 。
Thế thì, Đức Chúa Trời đã bắt súc vật của cha hai ngươi cho ta đó!|這 樣 、 　 神 把 你 們 父 親 的 牲 畜 奪 來 賜 給 我 了 。
Đương trong lúc chiên giao hiệp nhau, ta nhướng mắt lên, chiêm bao thấy các chiên đực đương giao hiệp cùng chiên cái đều có sọc, có rằn và có đốm.|羊 配 合 的 時 候 、 我 夢 中 舉 目 一 看 、 見 跳 母 羊 的 公 羊 、 都 是 有 紋 的 、 有 點 的 、 有 花 斑 的 。
Thiên sứ Đức Chúa Trời phán cùng ta trong mộng rằng: Hỡi Gia-cốp! Ta bèn thưa: Có tôi đây.|　 神 的 使 者 在 那 夢 中 呼 叫 我 說 、 雅 各 。 我 說 、 我 在 這 裡 。
Thiên sứ rằng: Hỡi nhướng mắt lên mà nhìn: hết thảy chiên đực đương giao hiệp cùng chiên cái đều có sọc, có rằn và có đốm; vì ta đã thấy cách La-ban ăn ở cùng ngươi rồi.|他 說 、 你 舉 目 觀 看 、 跳 母 羊 的 公 羊 都 是 有 紋 的 、 有 點 的 、 有 花 斑 的 ． 凡 拉 班 向 你 所 作 的 、 我 都 看 見 了 。
Ta đây là Đức Chúa Trời của Bê-tên, tức nơi ngươi đã thoa dầu đầu cây trụ và đã khấn vái ta. Bây giờ, hãy đứng dậy, ra khỏi xứ bầy và trở về xứ của bà con ngươi.|我 是 伯 特 利 的 　 神 ． 你 在 那 裡 用 油 澆 過 柱 子 、 向 我 許 過 願 ． 現 今 你 起 來 離 開 這 地 、 回 你 本 地 去 罷 。
Ra-chên và Lê -a đáp cùng người mà rằng: Chúng tôi còn một phần chi hay là cơ nghiệp chi nơi nhà cha chúng tôi chăng?|拉 結 和 利 亞 回 答 雅 各 說 、 在 我 們 父 親 的 家 裡 還 有 我 們 可 得 的 分 麼 、 還 有 我 們 的 產 業 麼 。
Vì người đã gả bán chúng tôi và ăn xài hết tiền bạc bán nữa, há người chẳng đãi chúng tôi như người dưng ư?|我 們 不 是 被 他 當 作 外 人 麼 ． 因 為 他 賣 了 我 們 、 吞 了 我 們 的 價 值 。
Các tài vật mà Đức Chúa Trời đoạt nơi tay cha chúng tôi tức là của chúng tôi và của con cái chúng tôi. Vậy bây giờ, chàng hãy làm theo mọi lời Đức Chúa Trời đã phải dạy.|　 神 從 我 們 父 親 所 奪 出 來 的 一 切 財 物 、 那 就 是 我 們 、 和 我 們 孩 子 們 的 ． 現 今 凡 　 神 所 吩 咐 你 的 、 你 只 管 去 行 罷 。
Gia-cốp bèn đứng dậy, đỡ vợ và con lên lưng lạc đà,|雅 各 起 來 、 使 他 的 兒 子 和 妻 子 都 騎 上 駱 駝 ．
dẫn hết thảy súc vật và của cải mình, tức súc vật mình đã gây dựng ở Pha-đan -A-ram, đặng trở về cùng Y-sác, cha mình, ở Ca-na-an.|又 帶 著 他 在 巴 旦 亞 蘭 所 得 的 一 切 牲 畜 和 財 物 、 往 迦 南 地 、 他 父 親 以 撒 那 裡 去 了 。
Trong lúc La-ban mắc đi hớt lông chiên người, thì Ra-chên ăn cắp các pho tượng thờ trong nhà của cha mình.|當 時 拉 班 剪 羊 毛 去 了 ． 拉 結 偷 了 他 父 親 家 中 的 神 像 。
Gia-cốp gạt La-ban, vì không nói rằng, mình muốn đi trốn.|雅 各 背 著 亞 蘭 人 拉 班 偷 走 了 、 並 不 告 訴 他 。
Vậy, người đứng dậy, đem theo hết thảy tài vật mình, trốn đi ngang qua sông, thẳng tuốt về núi Ga-la-át.|就 帶 著 所 有 的 逃 跑 ． 他 起 身 過 大 河 、 面 向 基 列 山 行 去 。
Đến ngày thứ ba, người ta học lại cùng La-ban rằng Gia-cốp đã trốn đi rồi.|到 第 三 日 、 有 人 告 訴 拉 班 、 雅 各 逃 跑 了 。
Người bèn đem các anh em mình đuổi theo Gia-cốp trong bảy ngày đường, và theo kịp tại núi Ga-la-át.|拉 班 帶 領 他 的 眾 弟 兄 去 追 趕 、 追 了 七 日 、 在 基 列 山 就 追 上 了 。
Nhưng trong cơn chiêm bao lúc ban đêm, Đức Chúa Trời đến cùng La-ban, người A-ram, mà phán rằng: Dầu lành dầu dữ, thế nào ngươi khá giữ mình đừng nói chi cùng Gia-cốp hết.|夜 間 　 神 到 亞 蘭 人 拉 班 那 裡 、 在 夢 中 對 他 說 、 你 要 小 心 、 不 可 與 雅 各 說 好 說 歹 。
Vậy, La-ban theo kịp Gia-cốp. Vả, Gia-cốp đương đóng trại trên núi; La-ban và các anh em người cũng đóng trại trên núi Ga-la-át.|拉 班 追 上 雅 各 、 雅 各 在 山 上 支 搭 帳 棚 ． 拉 班 和 他 的 眾 弟 兄 、 也 在 基 列 山 上 支 搭 帳 棚 。
La-ban nói cùng Gia-cốp rằng: Cháu đã làm chi vậy? Cháu đã gạt cậu và dẫn mấy đứa gái cậu như phu tù giặc.|拉 班 對 雅 各 說 、 你 作 的 是 甚 麼 事 呢 、 你 背 著 我 偷 走 了 、 又 把 我 的 女 兒 們 帶 了 去 、 如 同 用 刀 劍 擄 去 的 一 般 。
Sao trốn nhẹm, gạt và không cho cậu hay trước? Có lẽ cậu đưa đi rất vui vẻ, tiếng hát, tiếng đờn và tiếng trống phụ đưa.|你 為 甚 麼 暗 暗 的 逃 跑 、 偷 著 走 、 並 不 告 訴 我 、 叫 我 可 以 歡 樂 、 唱 歌 、 擊 鼓 、 彈 琴 的 送 你 回 去 。
Cháu làm cách dại dột vậy, không để cho cậu hôn con trai và con gái cậu.|又 不 容 我 與 外 孫 和 女 兒 親 嘴 ． 你 所 行 的 真 是 愚 昧 。
Tay cậu có đủ quyền làm hại cháu; nhưng Đức Chúa Trời của cha cháu đã mách bảo cùng cậu tối hôm qua rằng: Dầu lành dầu dữ, ngươi khá giữ mình đừng nói chi cùng Gia-cốp hết.|我 手 中 原 有 能 力 害 你 、 只 是 你 父 親 的 　 神 昨 夜 對 我 說 、 你 要 小 心 、 不 可 與 雅 各 說 好 說 歹 。
Bây giờ, vì lòng cháu mong mỏi về nhà cha cháu, nên đã ra đi; nhưng cớ sao cháu lại ăn cắp các pho tượng cậu?|現 在 你 雖 然 想 你 父 家 、 不 得 不 去 、 為 甚 麼 又 偷 了 我 的 神 像 呢 。
Gia-cốp đáp rằng: Vì cớ tôi e cậu bắt hai người con gái lại chăng.|雅 各 回 答 拉 班 說 、 恐 怕 你 把 你 的 女 兒 從 我 奪 去 、 所 以 我 逃 跑 。
Nhưng tìm nơi ai được các pho tượng của cậu, thì ai đó sẽ bị chết đi! Tại trước mặt các anh em chúng ta, cậu hãy kiểm soát các món nơi tôi đi, và hãy lấy vật chi thuộc về cậu. Vả, Gia-cốp vốn không hay rằng Ra-chên đã trộm mấy pho tượng đó.|至 於 你 的 神 像 、 你 在 誰 那 裡 搜 出 來 、 就 不 容 誰 存 活 ． 當 著 我 們 的 眾 弟 兄 你 認 一 認 、 在 我 這 裡 有 甚 麼 東 西 是 你 的 、 就 拿 去 。 原 來 雅 各 不 知 道 拉 結 偷 了 那 些 神 像 。
Vậy, La-ban vào trại Gia-cốp, trại Lê -a, trại hai người đòi, chẳng tìm được chi cả. Đoạn, ở trại Lê -a bước ra đi vào trại Ra-chên.|拉 班 進 了 雅 各 、 利 亞 、 並 兩 個 使 女 的 帳 棚 、 都 沒 有 搜 出 來 ． 就 從 利 亞 的 帳 棚 出 來 、 進 了 拉 結 的 帳 棚 。
Vả, Ra-chên có lấy mấy pho tượng đó, giấu dưới bành lạc đà, rồi ngồi lên trên. La-ban soát lục khắp trại chẳng gặp pho tượng.|拉 結 已 經 把 神 像 藏 在 駱 駝 的 馱 簍 裡 、 便 坐 在 上 頭 、 拉 班 摸 遍 了 那 帳 棚 、 並 沒 有 摸 著 。
Nàng bèn thưa cùng cha rằng: Vì trong mình con có việc riêng của đờn bà, nên đứng dậy rước chẳng được; xin chúa chớ giận con chi hết. Người kiếm, nhưng chẳng thấy pho tượng đâu hết.|拉 結 對 他 父 親 說 、 現 在 我 身 上 不 便 、 不 能 在 你 面 前 起 來 、 求 我 主 不 要 生 氣 ． 這 樣 、 拉 班 搜 尋 神 像 、 竟 沒 有 搜 出 來 。
Gia-cốp bèn nổi giận rầy lộn cùng La-ban, mà rằng: Tôi có án gì, tội gì, mà cậu hằm hằm đuổi theo như vậy!|雅 各 就 發 怒 斥 責 拉 班 說 、 我 有 甚 麼 過 犯 、 有 甚 麼 罪 惡 、 你 竟 這 樣 火 速 的 追 我 。
Cậu đã soát lục các đồ hành lý tôi, có kiếm được món chi thuộc về nhà cậu chăng? Hãy đem món đó ra trước mặt anh em tôi cùng anh em cậu, đặng họ xét đoán đôi ta.|你 摸 遍 了 我 一 切 的 家 具 、 你 搜 出 甚 麼 來 呢 、 可 以 放 在 你 我 弟 兄 面 前 、 叫 他 們 在 你 我 中 間 辨 別 辨 別 。
Kìa, đã hai mươi năm tôi ăn ở nơi nhà cậu, chiên cùng dê cậu nào có sảo thai, và tôi chẳng hề ăn thịt chiên đực của bầy cậu bao giờ;|我 在 你 家 這 二 十 年 、 你 的 母 綿 羊 、 母 山 羊 、 沒 有 掉 過 胎 ． 你 群 中 的 公 羊 、 我 沒 有 喫 過 ．
cũng chẳng hề đem về cho cậu một con nào bị xé; bằng có, chính tôi chịu đền đó thôi. Cậu cớ đòi luôn những con bị ăn cắp ban ngày và ăn trộm ban đêm.|被 野 獸 撕 裂 的 、 我 沒 有 帶 來 給 你 、 是 我 自 己 賠 上 、 無 論 是 白 日 、 是 黑 夜 、 被 偷 去 的 、 你 都 向 我 索 要 。
Ban ngày tôi chịu nắng nồng, ban đêm chịu lạnh lùng, ngủ nào có an giấc được đâu.|我 白 日 受 盡 乾 熱 、 黑 夜 受 盡 寒 霜 、 不 得 合 眼 睡 著 、 我 常 是 這 樣 。
Đó trong hai mươi năm tôi ở tại nhà cậu là thế; trong mười bốn năm giúp việc, để được hai con gái cậu, và sáu năm đặng lãnh lấy bầy súc vật của cậu, mà cậu lại còn thay đổi mười lần công giá tôi.|我 這 二 十 年 在 你 家 裡 、 為 你 的 兩 個 女 兒 服 事 你 十 四 年 、 為 你 的 羊 群 服 事 你 六 年 、 你 又 十 次 改 了 我 的 工 價 。
Nếu Đức Chúa Trời của cha tôi, Đức Chúa Trời của Ap-ra-ham, là Đấng mà Y-sác kính sợ, không phù hộ tôi, chắc bây giờ cậu đuổi tôi ra tay không, Đức Chúa Trời đã xem thấy nỗi đau-khổ tôi cùng công việc hai tay tôi làm, nên đêm qua Ngài đã xét công bình rồi đó.|若 不 是 我 父 親 以 撒 所 敬 畏 的 　 神 、 就 是 亞 伯 拉 罕 的 　 神 與 我 同 在 、 你 如 今 必 定 打 發 我 空 手 而 去 ． 　 神 看 見 我 的 苦 情 、 和 我 的 勞 碌 、 就 在 昨 夜 責 備 你 。
La-ban đáp cùng Gia-cốp mà rằng: Các đứa gái nầy là con của cậu; các đứa trẻ nầy là trẻ của cậu; các bầy súc vật tức là bầy súc vật của cậu, và các vật chi cháu thấy được tức là của cậu hết; ngày nay cậu sẽ làm chi được cùng các con gái hai là các cháu cậu đó?|拉 班 回 答 雅 各 說 、 這 女 兒 是 我 的 女 兒 、 這 些 孩 子 是 我 的 孩 子 、 這 些 羊 群 也 是 我 的 羊 群 、 凡 在 你 眼 前 的 都 是 我 的 ． 我 的 女 兒 、 並 他 們 所 生 的 孩 子 、 我 今 日 能 向 他 們 作 甚 麼 呢 。
Vậy bây giờ, hè! chúng ta kết-ước cùng nhau, để dùng làm chứng cho cậu và cháu.|來 罷 、 你 我 二 人 可 以 立 約 、 作 你 我 中 間 的 證 據 。
Gia-cốp lấy một hòn đá, dựng đứng lên làm trụ;|雅 各 就 拿 一 塊 石 頭 立 作 柱 子 。
và nói cùng các anh em mình rằng: Hãy lượm góp đá lại. Chúng bèn góp đá lại, chất thành một đống, rồi ngồi lên trên ăn bữa.|又 對 眾 弟 兄 說 、 你 們 堆 聚 石 頭 ． 他 們 就 拿 石 頭 來 堆 成 一 堆 、 大 家 便 在 旁 邊 喫 喝 。
La-ban đặt trên đống đá đó là Y-ê-ga Sa-ha-du-ta; còn Gia-cốp kêu là Ga-lét.|拉 班 稱 那 石 堆 為 伊 迦 爾 撒 哈 杜 他 、 雅 各 卻 稱 那 石 堆 為 迦 累 得 。 〔 都 是 以 石 堆 為 證 的 意 思 〕
La-ban nói rằng: Đống đá nầy ngày nay làm chứng cho cậu và cháu đó. Cho nên chúng gọi là Ga-lét.|拉 班 說 、 今 日 這 石 堆 作 你 我 中 間 的 證 據 ． 因 此 這 地 方 名 叫 迦 累 得 、
Mà cũng gọi là Mích-ba, vì La-ban có nói thêm rằng: Khi chúng ta phân cách nhau, cầu xin Đức Giê-hô-va coi sóc cậu và cháu.|又 叫 米 斯 巴 、 意 思 說 、 我 們 彼 此 離 別 以 後 、 願 耶 和 華 在 你 我 中 間 鑒 察 。
Nếu cháu hành hạ các con gái cậu, nếu cưới vợ khác nữa, thì hãy giữ mình! Chẳng phải người thường soi xét ta đâu, bèn là Đức Chúa Trời làm chứng cho chúng ta vậy.|你 若 苦 待 我 的 女 兒 、 又 在 我 的 女 兒 以 外 另 娶 妻 、 雖 沒 有 人 知 道 、 卻 有 　 神 在 你 我 中 間 作 見 證 。
La-ban lại nói cùng Gia-cốp rằng: Nầy đống đá, nầy cây trụ mình cậu đã dựng lên giữa cậu và cháu đây.|拉 班 又 說 、 你 看 我 在 你 我 中 間 所 立 的 這 石 堆 、 和 柱 子 ．
Đống đá nầy và cây trụ nầy làm chứng rằng cậu chẳng qua khỏi đây, đi đến nơi cháu, và cháu cũng chẳng vượt khỏi đây, đi đến nơi cậu, trong khi có ý muốn làm hại nhau.|這 石 堆 作 證 據 、 這 柱 子 也 作 證 據 、 我 必 不 過 這 石 堆 去 害 你 、 你 也 不 可 過 這 石 堆 和 柱 子 、 來 害 我 ．
Cầu xin Đức Chúa Trời của Ap-ra-ham, Đức Chúa Trời của Na-cô, Đức Chúa Trời của cha các người đó đoán xét cho chúng ta! Gia-cốp chỉ Đấng của Y-sác, cha mình, kính sợ mà thề.|但 願 亞 伯 拉 罕 的 　 神 、 和 拿 鶴 的 　 神 、 就 是 他 們 父 親 的 　 神 、 在 你 我 中 間 判 斷 ． 雅 各 就 指 著 他 父 親 以 撒 所 敬 畏 的 　 神 起 誓 。
Đoạn, người dâng một của lễ tại trên núi, và mời các anh em mình dùng bánh. Vậy, chúng dùng bánh, rồi ở ban đêm trên núi.|又 在 山 上 獻 祭 、 請 眾 弟 兄 來 喫 飯 ． 他 們 喫 了 飯 、 便 在 山 上 住 宿 。
La-ban dậy sớm, hôn các con trai và các con gái mình, và chúc phước cho, rồi đi trở về nhà mình.|拉 班 清 早 起 來 、 與 他 外 孫 和 女 兒 親 嘴 、 給 他 們 祝 福 、 回 往 自 己 的 地 方 去 了 。

					Sáng Thế 32				|
						創世記 32					
Gia-cốp cứ đi đường, có thiên sứ Đức Chúa Trời gặp người.|雅 各 仍 舊 行 路 、 　 神 的 使 者 遇 見 他 。
Khi Gia-cốp thấy các vị nầy, nói rằng: Ay là trại quân của Đức Chúa Trời! Nên người đặt tên chỗ đó là Ma-ha-na-im.|雅 各 看 見 他 們 就 說 、 這 是 　 神 的 軍 兵 ． 於 是 給 那 地 方 起 名 叫 瑪 哈 念 。 〔 就 是 二 軍 兵 的 意 思 〕
Gia-cốp sai sứ giả đến trước cùng Ê-sau, anh mình, trong xứ Sê -i-rơ thuộc về địa-phận Ê-đôm;|雅 各 打 發 人 先 往 西 珥 地 去 、 就 是 以 東 地 、 見 他 哥 哥 以 掃 。
người bèn dặn rằng: Các ngươi hãy thưa cùng Ê-sau, chúa ta như vầy: Gia-cốp, kẻ tôi tớ chúa, có nói như vầy rằng: Tôi đã ngụ tại nhà La-ban đến ngày nay;|吩 咐 他 們 說 、 你 們 對 我 主 以 掃 說 、 你 的 僕 人 雅 各 這 樣 說 、 我 在 拉 班 那 裡 寄 居 、 直 到 如 今 。
có bò, lừa, chiên, tôi trai, tớ gái; vậy, xin sai đi nói cho chúa hay trước, hầu cho nhờ được ơn trước mặt chúa tôi.|我 有 牛 、 驢 、 羊 群 、 僕 婢 、 現 在 打 發 人 來 報 告 我 主 、 為 要 在 你 眼 前 蒙 恩 。
Các sứ giả trở về nói cùng Gia-cốp rằng: Chúng tôi đã đi đến Ê-sau, anh của chủ; nầy người đương đem bốn trăm người đến để rước chủ.|所 打 發 的 人 回 到 雅 各 那 裡 說 、 我 們 到 了 你 哥 哥 以 掃 那 裡 、 他 帶 著 四 百 人 、 正 迎 著 你 來 。
Gia-cốp rất sợ hãi và sầu não, bèn chia các dân đi theo, cùng các bầy chiên, bò, lạc đà ra làm hai đội, mà rằng:|雅 各 就 甚 懼 怕 、 而 且 愁 煩 、 便 把 那 與 他 同 在 的 人 口 、 和 羊 群 、 牛 群 、 駱 駝 、 分 作 兩 隊 ．
Nếu Ê-sau đến hãm đánh một trong hai đội, thì đội còn lại sẽ thoát được.|說 、 以 掃 若 來 擊 殺 這 一 隊 、 剩 下 的 那 一 隊 還 可 以 逃 避 。
Đoạn, Gia-cốp cầu rằng: Hỡi Đức Chúa Trời của tổ phụ Ap-ra-ham tôi! Đức Chúa Trời của cha Y-sác tôi, tức là Đức Giê-hô-va! Ngài có phán dạy tôi rằng: Hãy trở về xứ ngươi và nơi bà con ngươi, rồi ta sẽ làm ơn cho ngươi!|雅 各 說 、 耶 和 華 我 祖 亞 伯 拉 罕 的 　 神 、 我 父 親 以 撒 的 　 神 阿 、 你 曾 對 我 說 、 回 你 本 地 本 族 去 、 我 要 厚 待 你 。
Tôi lấy làm hèn mọn không đáng chịu các ân huệ và các điều thành thực mà Ngài đã làm cho kẻ tôi tớ Ngài; vì lúc trước khi qua sông Giô-đanh chỉ có cây gậy tôi, mà ngày nay tôi lại trở nên hai đội quân nầy.|你 向 僕 人 所 施 的 一 切 慈 愛 和 誠 實 、 我 一 點 也 不 配 得 ． 我 先 前 只 拿 著 我 的 杖 過 這 約 但 河 、 如 今 我 卻 成 了 兩 隊 了 。
Vậy, cầu xin Đức Chúa Trời giải cứu tôi khỏi tay Ê-sau, anh tôi, vì e người đến đánh tôi và đánh luôn mẹ với con nữa.|求 你 救 我 脫 離 我 哥 哥 以 掃 的 手 、 因 為 我 怕 他 來 殺 我 、 連 妻 子 帶 兒 女 一 同 殺 了 。
Vả, Ngài có nói rằng: Quả thật vậy, ta sẽ làm ơn cho ngươi, và làm cho dòng dõi ngươi đông như cát bãi biển, người ta sẽ không biết sao đếm được, vì đông đúc quá.|你 曾 說 、 我 必 定 厚 待 你 、 使 你 的 後 裔 如 同 海 邊 的 沙 、 多 得 不 可 勝 數 。
Người ở ban đêm tại đó, lấy các vật có hiện trong tay để làm một của lễ dâng cho Ê-sau, anh mình,|當 夜 雅 各 在 那 裡 住 宿 、 就 從 他 所 有 的 物 中 拿 禮 物 、 要 送 給 他 哥 哥 以 掃 ．
là hai trăm dê cái và hai chục dê đực; hai trăm chiên cái và hai chục chiên đực;|母 山 羊 二 百 隻 、 公 山 羊 二 十 隻 、 母 綿 羊 二 百 隻 、 公 綿 羊 二 十 隻 、
ba chục lạc đà cái có con đương bú, bốn chục bò cái và mười bò đực; hai chục con lừa cái và mười lừa con.|奶 崽 子 的 駱 駝 三 十 隻 、 各 帶 著 崽 子 、 母 牛 四 十 隻 、 公 牛 十 隻 、 母 驢 二 十 匹 、 驢 駒 十 匹 ．
Rồi, giao mỗi bầy riêng ra nơi tay đầy tớ mình và dặn rằng: Các ngươi hãy đi trước ta và dẫn bầy nầy cách một khoảng đến bầy kia.|每 樣 各 分 一 群 、 交 在 僕 人 手 下 、 就 對 僕 人 說 、 你 們 要 在 我 前 頭 過 去 、 使 群 群 相 離 有 空 閒 的 地 方 。
Người dặn tên dẫn bầy đi trước hết như vầy: Khi Ê-sau, sanh ta, gặp và hỏi ngươi rằng: Ngươi ở với ai, đi đâu, và bầy súc vật trước mặt ngươi đó thuộc về ai?|又 吩 咐 儘 先 走 的 說 、 我 哥 哥 以 掃 遇 見 你 的 時 候 、 問 你 說 、 你 是 那 家 的 人 、 要 往 那 裡 去 、 你 前 頭 這 些 是 誰 的 ．
thì hãy thưa rằng: Của Gia-cốp, kẻ tôi tớ chúa; ấy là một lễ gởi dâng cho Ê-sau, chúa tôi; và nầy, chánh mình người đương theo sau.|你 就 說 、 是 你 僕 人 雅 各 的 、 是 送 給 我 主 以 掃 的 禮 物 、 他 自 己 也 在 我 們 後 邊 。
Gia-cốp cũng dặn y lời cho tên dẫn bầy thứ nhì, thứ ba và hết thảy người theo coi chừng các bầy, và lại nói: Khi gặp Ê-sau, các ngươi hãy nhớ lời đó,|又 吩 咐 第 二 、 第 三 、 和 一 切 趕 群 畜 的 人 說 、 你 們 遇 見 以 掃 的 時 候 、 也 要 這 樣 對 他 說 ．
và nói như vầy: Nầy, Gia-cốp, kẻ tôi tớ chúa, đương theo sau chúng tôi. Vì người thầm nghĩ rằng: Mình đem lễ nầy dâng trước cho Ê-sau nguôi giận đã, rồi mình sẽ giáp mặt sau; có lẽ người tiếp rước mình một cách thuận hiệp đó.|並 且 你 們 要 說 、 你 僕 人 雅 各 在 我 們 後 邊 ． 因 雅 各 心 裡 說 、 我 藉 著 在 我 前 頭 去 的 禮 物 解 他 的 恨 、 然 後 再 見 他 的 面 、 或 者 他 容 納 我 。
Vậy, lễ nầy đem đi trước, còn người, đêm đó ở lại trại.|於 是 禮 物 先 過 去 了 ． 那 夜 雅 各 在 隊 中 住 宿 。
Ban đêm, người thức dậy, dẫn hai vợ, hai tên đòi và mười một đứa con mình đi qua rạch Gia-bốc.|他 夜 間 起 來 、 帶 著 兩 個 妻 子 、 兩 個 使 女 、 並 十 一 個 兒 子 都 過 了 雅 博 渡 口 。
Người đem họ qua rạch, và hết thảy của cải mình qua nữa.|先 打 發 他 們 過 河 、 又 打 發 所 有 的 都 過 去 ．
Vả, một mình Gia-cốp ở lại; thì có một người vật lộn với mình được rạng đông.|只 剩 下 雅 各 一 人 ． 有 一 個 人 來 和 他 摔 跤 、 直 到 黎 明 。
Khi người đó thấy mình không thắng nổi, bèn đánh vào xương hông Gia-cốp; xương hông liền trặt trong khi vật lộn.|那 人 見 自 己 勝 不 過 他 、 就 將 他 的 大 腿 窩 摸 了 一 把 、 雅 各 的 大 腿 窩 、 正 在 摔 跤 的 時 候 就 扭 了 。
Người đó bèn nói: Trời đã rạng đông rồi; thôi để cho ta đi; nhưng Gia-cốp đáp rằng: Tôi chẳng cho người đi đâu, nếu người không ban phước cho tôi.|那 人 說 、 天 黎 明 了 、 容 我 去 罷 ． 雅 各 說 、 你 不 給 我 祝 福 、 我 就 不 容 你
Người đó hỏi: Tên ngươi là chi? Đáp rằng: Tên tôi là Gia-cốp.|那 人 說 、 你 名 叫 甚 麼 、 他 說 、 我 名 叫 雅 各 。
Người lại nói: Tên ngươi sẽ chẳng làm Gia-cốp nữa, nhưng tên là Y-sơ-ra-ên, vì ngươi đã có vật lộn cùng Đức Chúa Trời và người ta; ngươi đều được thắng.|那 人 說 、 你 的 名 不 要 再 叫 雅 各 、 要 叫 以 色 列 、 因 為 你 與 　 神 與 人 較 力 、 都 得 了 勝 。
