
					Lê-vi 1				|
Phàm quần áo và da bị dính, phải giặt rửa trong nước, và bị ô uế đến chiều tối.|無 論 是 衣 服 、 是 皮 子 、 被 精 所 染 、 必 不 潔 淨 到 晚 上 、 並 要 用 水 洗 。
Khi nào người nam và người nữ giao cấu nhau, thì phải tắm trong nước, và bị ô uế cho đến chiều tối.|若 男 女 交 合 、 兩 個 人 必 不 潔 淨 到 晚 上 ． 並 要 用 水 洗 澡 。
Khi nào một người nữ có kinh nguyệt, phải chịu ô uế trong bảy ngày; hễ ai đụng đến người, sẽ bị ô uế đến chiều tối.|女 人 行 經 、 必 污 穢 七 天 ． 凡 摸 他 的 、 必 不 潔 淨 到 晚 上 。
Phàm vật gì người nằm hay ngồi trên trong lúc mình không sạch, sẽ bị ô uế.|女 人 在 污 穢 之 中 、 凡 他 所 躺 的 物 件 、 都 為 不 潔 淨 ． 所 坐 的 物 件 、 也 都 不 潔 淨 。
Ai đụng đến giường người, phải giặt quần áo mình, tắm trong nước, và bị ô uế đến chiều tối.|凡 摸 他 床 的 、 必 不 潔 淨 到 晚 上 、 並 要 洗 衣 服 、 用 水 洗 澡 。
Ai đụng đến vật gì người đã ngồi trên, phải giặt quần áo mình, tắm trong nước, và bị ô uế đến chiều tối.|凡 摸 他 所 坐 甚 麼 物 件 的 、 必 不 潔 淨 到 晚 上 ． 並 要 洗 衣 服 、 用 水 洗 澡 。
Nếu có vật chi nơi giường, hoặc trên đồ người ngồi, hễ ai đụng đến, sẽ bị ô uế đến chiều tối.|在 女 人 的 床 上 、 或 在 他 坐 的 物 上 、 若 有 別 的 物 件 、 人 一 摸 了 、 必 不 潔 淨 到 晚 上 。
Ví bằng một người nam giao cấu cùng người nữ đó, và sự ô uế kinh nguyệt dính người nam, thì người nam sẽ bị ô uế trong bảy ngày; phàm giường nào người nằm đều cũng sẽ bị ô uế.|男 人 若 與 那 女 人 同 房 、 染 了 他 的 污 穢 、 就 要 七 天 不 潔 淨 ． 所 躺 的 床 、 也 為 不 潔 淨 。
Khi một người nữ ngoài kỳ kinh nguyệt mình lại có lưu huyết nhiều ngày, hoặc là bị mất quá kỳ, sẽ bị ô uế trọn trong lúc lưu huyết như trong lúc kinh nguyệt mình vậy.|女 人 若 在 經 期 以 外 、 患 多 日 的 血 漏 、 或 是 經 期 過 長 、 有 了 漏 症 、 他 就 因 這 漏 症 不 潔 淨 、 與 他 在 經 期 不 潔 淨 一 樣 。
Trong trọn lúc lưu huyết, bất kỳ giường nào người nằm trên sẽ như cái giường của kỳ kinh nguyệt, và mọi vật nào người ngồi trên, đều sẽ bị ô uế như trong kỳ kinh nguyệt vậy.|他 在 患 漏 症 的 日 子 所 躺 的 床 、 所 坐 的 物 、 都 要 看 為 不 潔 淨 、 與 他 月 經 的 時 候 一 樣 。
Ai đụng đến các vật đó sẽ bị ô uế; phải giặt quần áo mình, tắm trong nước, và bị ô uế đến chiều tối.|凡 摸 這 些 物 件 的 、 就 為 不 潔 淨 ． 必 不 潔 淨 到 晚 上 、 並 要 洗 衣 服 、 用 水 洗 澡 。
Khi nào huyết người nữ cầm lại rồi, phải tính từ ngày lành đến bảy ngày, đoạn sẽ được tinh sạch.|女 人 的 漏 症 若 好 了 、 就 要 計 算 七 天 、 然 後 纔 為 潔 淨 。
Qua ngày thứ tám, người bắt hai con chim cu, hoặc hai con bò câu con, đem đến thầy tế lễ tại cửa hội mạc.|第 八 天 要 取 兩 隻 斑 鳩 、 或 是 兩 隻 雛 鴿 、 帶 到 會 幕 門 口 給 祭 司 。
Thầy tế lễ phải dâng con nầy làm của lễ chuộc tội, và con kia làm của lễ thiêu; vậy, thầy tế lễ vì cớ sự lưu huyết ô uế người sẽ làm lễ chuộc tội cho người trước mặt Đức Giê-hô-va.|祭 司 要 獻 一 隻 為 贖 罪 祭 、 一 隻 為 燔 祭 、 因 那 人 血 漏 不 潔 、 祭 司 要 在 耶 和 華 面 前 為 他 贖 罪 。
Thế thì, các ngươi sẽ phân cách dân Y-sơ-ra-ên ra xa sự ô uế của họ, kẻo họ làm ô uế hội mạc ta vẫn ở giữa họ, mà phải chết trong sự ô uế mình chăng.|你 們 要 這 樣 使 以 色 列 人 與 他 們 的 污 穢 隔 絕 、 免 得 他 們 玷 污 我 的 帳 幕 、 就 因 自 己 的 污 穢 死 亡 。
Đó là luật lệ về người nào bị bịnh bạch trược hay là vì cớ di tinh bị ô uế,|這 是 患 漏 症 、 和 夢 遺 而 不 潔 淨 的 、
về người nữ có kỳ kinh nguyệt, về mọi người, hoặc nam hay nữ, bị bạch trược, và về người nam giao cấu cùng người nữ trong khi kinh nguyệt.|並 有 月 經 病 的 、 和 患 漏 症 的 、 無 論 男 女 、 並 人 與 不 潔 淨 女 人 同 房 的 條 例 。

					Lê-vi 16				|
						利未記 16					
Sau khi hai con trai của A-rôn chết trong lúc đến gần trước mặt Đức Giê-hô-va, thì Ngài phán cùng Môi-se,|亞 倫 的 兩 個 兒 子 近 到 耶 和 華 面 前 死 了 ． 死 了 之 後 、 耶 和 華 曉 諭 摩 西 說 、
mà rằng: Hãy nói cùng A-rôn, anh ngươi, chớ vào luôn luôn trong nơi thánh ở phía trong bức màn, trước nắp thi ân trên hòm bảng chứng, e người phải chết chăng; vì ta ở trong mây hiện ra trên nắp thi ân.|要 告 訴 你 哥 哥 亞 倫 、 不 可 隨 時 進 聖 所 的 幔 子 內 、 到 櫃 上 的 施 恩 座 前 、 免 得 他 死 亡 、 因 為 我 要 從 雲 中 顯 現 在 施 恩 座 上 ．
Nầy, A-rôn sẽ vào nơi thánh như vầy: Người phải bắt một con bò đực tơ, dùng làm của lễ chuộc tội, và một con chiên đực dùng làm của lễ thiêu.|亞 倫 進 聖 所 要 帶 一 隻 公 牛 犢 為 贖 罪 祭 、 一 隻 公 綿 羊 為 燔 祭 。
Người sẽ mặc áo lá trong thánh bằng vải gai mịn, thân dưới mặc một cái quần bằng vải gai, thắt một đai bằng vải gai và đội trên đầu một cái mão bằng vải gai. Ay là bộ áo thánh mà ngươi sẽ mặc lấy khi đã tắm mình trong nước.|要 穿 上 細 麻 布 聖 內 袍 、 把 細 麻 布 褲 子 穿 在 身 上 、 腰 束 細 麻 布 帶 子 、 頭 戴 細 麻 布 冠 冕 ． 這 都 是 聖 服 ． 他 要 用 水 洗 身 、 然 後 穿 戴 。
Do nơi hội chúng Y-sơ-ra-ên, người sẽ bắt hai con dê đực dùng làm của lễ chuộc tội và một con chiên đực dùng làm của lễ thiêu.|要 從 以 色 列 會 眾 取 兩 隻 公 山 羊 為 贖 罪 祭 、 一 隻 公 綿 羊 為 燔 祭 。
A-rôn sẽ dâng con bò tơ mình làm của lễ chuộc tội, và người sẽ làm lễ chuộc tội cho mình và cho nhà mình.|亞 倫 要 把 贖 罪 祭 的 公 牛 奉 上 、 為 自 己 和 本 家 贖 罪 ．
Kế đó người phải bắt hai con dê đực, đem để trước mặt Đức Giê-hô-va, tại nơi cửa hội mạc.|也 要 把 兩 隻 公 山 羊 、 安 置 在 會 幕 門 口 、 耶 和 華 面 前 。
Đoạn, A-rôn bắt thăm cho hai con dê đực, một thăm về phần Đức Giê-hô-va, một thăm về phần A-xa-sên.|為 那 兩 隻 羊 拈 鬮 、 一 鬮 歸 與 耶 和 華 、 一 鬮 歸 與 阿 撒 瀉 勒 。
A-rôn sẽ biểu dẫn con dê đực bắt thăm về phần Đức Giê-hô-va lại gần và dâng nó làm của lễ chuộc tội.|亞 倫 要 把 那 拈 鬮 歸 與 耶 和 華 的 羊 、 獻 為 贖 罪 祭 ．
Còn con bắt thăm về phần A-xa-sên, sẽ để sống trước mặt Đức Giê-hô-va, để làm lễ chuộc tội trên nó, rồi thả nó ra nơi đồng vắng đặng nó về A-xa-sên.|但 那 拈 鬮 歸 與 阿 撒 瀉 勒 的 羊 、 要 活 著 安 置 在 耶 和 華 面 前 、 用 以 贖 罪 、 打 發 人 送 到 曠 野 去 、 歸 與 阿 撒 瀉 勒 。
Vậy, A-rôn sẽ dâng con bò tơ mình, là con sinh tế chuộc tội, giết nó làm lễ chuộc tội cho mình và cho nhà mình;|亞 倫 要 把 贖 罪 祭 的 公 牛 牽 來 宰 了 、 為 自 己 和 本 家 贖 罪 ．
đoạn lấy lư hương đầy than hực đỏ trên bàn thờ trước mặt Đức Giê-hô-va, và một vốc hương bột, mà đem vào phía trong bức màn.|拿 香 爐 、 從 耶 和 華 面 前 的 壇 上 、 盛 滿 火 炭 、 又 拿 一 捧 搗 細 的 香 料 、 都 帶 入 幔 子 內 、
Người phải bỏ hương trên lửa, trước mặt Đức Giê-hô-va, hầu cho ngọn khói hương bao phủ nắp thi ân ở trên hòm bảng chứng, thì người không chết.|在 耶 和 華 面 前 、 把 香 放 在 火 上 、 使 香 的 煙 雲 遮 掩 法 櫃 上 的 施 恩 座 、 免 得 他 死 亡 ．
Người cũng phải lấy huyết con bò tơ đó, dùng ngón tay rảy trên nắp thi ân, về phía đông, và rảy bảy lần về phía trước nắp thi ân.|也 要 取 些 公 牛 的 血 、 用 指 頭 彈 在 施 恩 座 的 東 面 、 又 在 施 恩 座 的 前 面 、 彈 血 七 次 。
Đoạn, người giết con dê đực dùng về dân chúng làm của lễ chuộc tội; đem huyết nó vào phía trong bức màn; dùng huyết con dê đực đó cũng như đã dùng huyết con bò tơ, tức là rảy trên nắp thi ân và trước nắp thi ân vậy.|隨 後 他 要 宰 那 為 百 姓 作 贖 罪 祭 的 公 山 羊 、 把 羊 的 血 帶 入 幔 子 內 、 彈 在 施 恩 座 的 上 面 、 和 前 面 、 好 像 彈 公 牛 的 血 一 樣 。
Người vì cớ sự ô uế, sự vi phạm và tội lỗi của dân Y-sơ-ra-ên phải làm lễ chuộc tội cho nơi thánh và cho hội mạc ở giữa sự ô uế của họ.|他 因 以 色 列 人 諸 般 的 污 穢 、 過 犯 、 就 是 他 們 一 切 的 罪 愆 、 當 這 樣 在 聖 所 行 贖 罪 之 禮 、 並 因 會 幕 在 他 們 污 穢 之 中 、 也 要 照 樣 而 行 。
Khi thầy tế lễ vào đặng làm lễ chuộc tội nơi thánh cho đến khi người ra, thì chẳng nên có ai ở tại hội mạc; vậy, người sẽ làm lễ chuộc tội cho mình, cho nhà mình, và cho cả hội chúng Y-sơ-ra-ên.|他 進 聖 所 贖 罪 的 時 候 、 會 幕 裡 不 可 有 人 、 直 等 到 他 為 自 己 和 本 家 、 並 以 色 列 全 會 眾 、 贖 了 罪 出 來 。
Đoạn, người ra, đi đến bàn thờ ở trước mặt Đức Giê-hô-va, đặng làm lễ chuộc tội cho bàn thờ; người lấy huyết con bò tơ đực và con dê đực, bôi chung quanh những sừng của bàn thờ.|他 出 來 、 要 到 耶 和 華 面 前 的 壇 那 裡 、 在 壇 上 行 贖 罪 之 禮 、 又 要 取 些 公 牛 的 血 、 和 公 山 羊 的 血 、 抹 在 壇 上 四 角 的 周 圍 ．
Rồi dùng ngón tay rảy huyết bảy lần trên bàn thờ, làm cho bàn thờ nên sạch và thánh, vì cớ những sự ô uế của dân Y-sơ-ra-ên.|也 要 用 指 頭 把 血 彈 在 壇 上 七 次 、 潔 淨 了 壇 、 從 壇 上 除 掉 以 色 列 人 諸 般 的 污 穢 、 使 壇 成 聖 。
Khi thầy tế lễ đã làm lễ chuộc tội cho nơi thánh, cho hội mạc, và cho bàn thờ rồi, thì người phải dâng con dê đực còn sống kia.|亞 倫 為 聖 所 、 和 會 幕 、 並 壇 、 獻 完 了 贖 罪 祭 、 就 要 把 那 隻 活 著 的 公 山 羊 奉 上 ．
A-rôn sẽ nhận hai tay mình trên đầu con dê đực còn sống, xưng trên nó các gian ác và sự vi phạm, tức những tội lỗi của dân Y-sơ-ra-ên, và chất trên đầu nó, rồi nhờ một người chực sẵn việc nầy mà sai đuổi nó ra, thả vào đồng vắng.|兩 手 按 在 羊 頭 上 、 承 認 以 色 列 人 諸 般 的 罪 孽 、 過 犯 、 就 是 他 們 一 切 的 罪 愆 、 把 這 罪 都 歸 在 羊 的 頭 上 、 藉 著 所 派 之 人 的 手 、 送 到 曠 野 去 。
Vậy, con dê đực đó sẽ gánh trên mình các tội ác của dân Y-sơ-ra-ên ra nơi hoang địa.|要 把 這 羊 放 在 曠 野 ． 這 羊 要 擔 當 他 們 一 切 的 罪 孽 、 帶 到 無 人 之 地 。
A-rôn sẽ trở vào hội mạc, cổi bộ áo bằng vải gai mịn mình đã mặc đặng vào nơi thánh, và để tại đó.|亞 倫 要 進 會 幕 、 把 他 進 聖 所 時 所 穿 的 細 麻 布 衣 服 脫 下 、 放 在 那 裡 ．
Rồi lấy nước tắm mình trong một nơi thánh, mặc áo lại, đi ra, dâng của lễ thiêu về phần mình, và của lễ thiêu về phần dân chúng, đặng làm lễ chuộc tội cho mình và cho dân chúng.|又 要 在 聖 處 用 水 洗 身 、 穿 上 衣 服 、 出 來 、 把 自 己 的 燔 祭 、 和 百 姓 的 燔 祭 獻 上 、 為 自 己 和 百 姓 贖 罪 。
Người cũng phải lấy mỡ của con sinh tế chuộc tội mà xông trên bàn thờ.|贖 罪 祭 牲 的 脂 油 、 要 在 壇 上 焚 燒 。
Người nào dẫn con dê đực về phần A-xa-sên, phải giặt quần áo mình, tắm mình trong nước, đoạn mới sẽ được vào trại quân.|那 放 羊 歸 與 阿 撒 瀉 勒 的 人 、 要 洗 衣 服 、 用 水 洗 身 、 然 後 進 營 。
Nhưng người ta phải đem ra ngoài trại quân con bò tơ đực và con dê đực đã dâng lên làm của lễ chuộc tội, mà huyết nó đã đem vào nơi thánh đặng làm lễ chuộc tội; rồi phải lấy da, thịt và phẩn của hai thú đó mà đốt trong lửa.|作 贖 罪 祭 的 公 牛 、 和 公 山 羊 的 血 、 既 帶 入 聖 所 贖 罪 、 這 牛 羊 就 要 搬 到 營 外 、 將 皮 、 肉 、 糞 、 用 火 焚 燒 。
Kẻ nào đứng đốt phải giặt quần áo mình, tắm mình trong nước, đoạn mới được vào trại quân.|焚 燒 的 人 要 洗 衣 服 、 用 水 洗 身 、 然 後 進 營 。
Điều nầy sẽ là một lệ định đời đời cho các ngươi: đến mồng mười tháng bảy, các ngươi phải ép linh hồn mình, không nên làm một việc nào, bất kỳ người bổn xứ hay là kẻ khách kiều ngụ giữa các ngươi;|每 逢 七 月 初 十 日 、 你 們 要 刻 苦 己 心 、 無 論 是 本 地 人 、 是 寄 居 在 你 們 中 間 的 外 人 、 甚 麼 工 都 不 可 作 ． 這 要 作 你 們 永 遠 的 定 例 。
vì trong ngày đó người ta sẽ làm lễ chuộc tội cho các ngươi, để các ngươi được tinh sạch: chắc các ngươi sẽ được sạch những tội lỗi mình trước mặt Đức Giê-hô-va vậy.|因 在 這 日 要 為 你 們 贖 罪 、 使 你 們 潔 淨 ． 你 們 要 在 耶 和 華 面 前 得 以 潔 淨 、 脫 盡 一 切 的 罪 愆 。
Ay sẽ là một lễ Sa-bát, một ngày nghỉ cho các ngươi, phải ép linh hồn mình; đó là một lệ định đời đời vậy.|這 日 你 們 要 守 為 聖 安 息 日 ． 要 刻 苦 己 心 ． 這 為 永 遠 的 定 例 。
Thầy tế lễ đã được phép xức dầu và lập làm chức tế lễ cho cha mình, sẽ mặc lấy bộ áo vải gai, tức là bộ áo thánh, mà làm lễ chuộc tội.|那 受 膏 接 續 他 父 親 承 接 聖 職 的 祭 司 、 要 穿 上 細 麻 布 的 聖 衣 、 行 贖 罪 之 禮 。
Người sẽ chuộc tội cho nơi thánh, cho hội mạc, cho bàn thờ, cho những thầy tế lễ, và cho cả dân của hội chúng.|他 要 在 至 聖 所 、 和 會 幕 、 與 壇 、 行 贖 罪 之 禮 ． 並 要 為 眾 祭 司 、 和 會 眾 的 百 姓 贖 罪 。
Mỗi năm một lần phải làm lễ chuộc tội cho dân Y-sơ-ra-ên, đặng làm cho sạch các tội lỗi của chúng; ấy sẽ một lệ định đời đời cho các ngươi vậy. A-rôn làm y như Đức Giê-hô-va đã phán dặn Môi-se.|這 要 作 你 們 永 遠 的 定 例 、 就 是 因 以 色 列 人 一 切 的 罪 、 要 一 年 一 次 為 他 們 贖 罪 。 於 是 、 亞 倫 照 耶 和 華 所 吩 咐 摩 西 的 行 了 。

					Lê-vi 17				|
						利未記 17					
Đức Giê-hô-va phán cùng Môi-se rằng:|耶 和 華 對 摩 西 說 、
Hãy nói cùng cả dân Y-sơ-ra-ên rằng: Nầy là lời Đức Giê-hô-va phán dặn:|你 曉 諭 亞 倫 和 他 兒 子 並 以 色 列 眾 人 、 說 、 耶 和 華 所 吩 咐 的 、 乃 是 這 樣 ．
Nếu một người nam trong nhà Y-sơ-ra-ên giết một con bò, một con chiên con, hoặc một con dê trong trại quân hay là ngoài trại quân,|凡 以 色 列 家 中 的 人 、 宰 公 牛 、 或 是 綿 羊 羔 、 或 是 山 羊 、 不 拘 宰 於 營 內 營 外 、
chẳng đem đến cửa hội mạc đặng dâng cho Đức Giê-hô-va, trước đền tạm của Ngài, thì huyết sẽ đổ tội về người; người đã làm đổ huyết ra, nên sẽ bị truất khỏi dân sự mình.|若 未 曾 牽 到 會 幕 門 口 、 耶 和 華 的 帳 幕 前 、 獻 給 耶 和 華 為 供 物 、 流 血 的 罪 必 歸 到 那 人 身 上 ． 他 流 了 血 、 要 從 民 中 剪 除 。
Ay hầu cho dân Y-sơ-ra-ên lấy của lễ mình giết ngoài đồng, dẫn đến thầy tế lễ, trước mặt Đức Giê-hô-va, tại cửa hội mạc, đặng dâng lên làm của lễ thù ân cho Đức Giê-hô-va.|這 是 為 要 使 以 色 列 人 、 把 他 們 在 田 野 裡 所 獻 的 祭 、 帶 到 會 幕 門 口 、 耶 和 華 面 前 、 交 給 祭 司 、 獻 與 耶 和 華 為 平 安 祭 。
Thầy tế lễ sẽ rưới huyết con sinh trên bàn thờ của Đức Giê-hô-va để tại cửa hội mạc, và xông mỡ có mùi thơm cho Đức Giê-hô-va.|祭 司 要 把 血 灑 在 會 幕 門 口 耶 和 華 的 壇 上 、 把 脂 油 焚 燒 、 獻 給 耶 和 華 為 馨 香 的 祭 。
Dân Y-sơ-ra-ên cũng chẳng nên dâng của lễ mình cho ma quỉ nữa, mà thông dâm cùng nó. Điều nầy sẽ làm một lệ định đời đời cho họ trải qua các thế đại.|他 們 不 可 再 獻 祭 給 他 們 行 邪 淫 所 隨 從 的 鬼 魔 ． 〔 原 文 作 公 山 羊 〕 這 要 作 他 們 世 世 代 代 永 遠 的 定 例 。
Vậy, ngươi hãy nói cùng dân Y-sơ-ra-ên rằng: Phàm người nào trong vòng dân Y-sơ-ra-ên hay là kẻ khách kiều ngụ giữa họ, dâng một của lễ thiêu hay là một của lễ chi,|你 要 曉 諭 他 們 說 、 凡 以 色 列 家 中 的 人 、 或 是 寄 居 在 他 們 中 間 的 外 人 、 獻 燔 祭 、 或 是 平 安 祭 、
mà chẳng đem đến tại cửa hội mạc đặng dâng cho Đức Giê-hô-va, thì người đó sẽ bị truất khỏi dân sự mình.|若 不 帶 到 會 幕 門 口 獻 給 耶 和 華 、 那 人 必 從 民 中 剪 除 。
Phàm người nào của nhà Y-sơ-ra-ên hay là kẻ khách kiều ngụ giữa họ, ăn huyết chi cũng mặc, thì ta sẽ nổi giận cùng kẻ ăn đó, truất nó khỏi dân sự mình;|凡 以 色 列 家 中 的 人 、 或 是 寄 居 在 他 們 中 間 的 外 人 、 若 喫 甚 麼 血 、 我 必 向 那 喫 血 的 人 變 臉 、 把 他 從 民 中 剪 除 。
vì sanh mạng của xác thịt ở trong huyết; ta đã cho các ngươi huyết rưới trên bàn thờ đặng làm lễ chuộc tội cho linh hồn mình; vì nhờ sanh mạng mà huyết mới chuộc tội được.|因 為 活 物 的 生 命 是 在 血 中 ． 我 把 這 血 賜 給 你 們 、 可 以 在 壇 上 為 你 們 的 生 命 贖 罪 ． 因 血 裡 有 生 命 、 所 以 能 贖 罪 ．
Bởi cớ đó ta đã phán cùng dân Y-sơ-ra-ên rằng: Trong vòng các ngươi không ai nên ăn huyết; kẻ khách kiều ngụ giữa các ngươi cũng không nên ăn huyết.|因 此 我 對 以 色 列 人 說 、 你 們 都 不 可 喫 血 、 寄 居 在 你 們 中 間 的 外 人 、 也 不 可 喫 血 。
Còn nếu ai, hoặc dân Y-sơ-ra-ên. hoặc kẻ khách kiều ngụ giữa họ, đi săn được một con thú hay là con chim ăn thịt được, thì phải đổ huyết nó ra, rồi lấy bụi đất lấp lại;|凡 以 色 列 人 、 或 是 寄 居 在 他 們 中 間 的 外 人 、 若 打 獵 得 了 可 喫 的 禽 獸 、 必 放 出 他 的 血 來 、 用 土 掩 蓋 。
vì sanh mạng của mọi xác thịt, ấy là huyết nó, trong huyết có sanh mạng. Bởi cớ ấy, ta đã phán cùng dân Y-sơ-ra-ên rằng: Các ngươi không nên ăn huyết của xác thịt nào; vì sanh mạng của mọi xác thịt, ấy là huyết nó; ai ăn sẽ bị truất diệt.|論 到 一 切 活 物 的 生 命 、 就 在 血 中 、 所 以 我 對 以 色 列 人 說 、 無 論 甚 麼 活 物 的 血 、 你 們 都 不 可 喫 、 因 為 一 切 活 物 的 血 、 就 是 他 的 生 命 ． 凡 喫 了 血 的 、 必 被 剪 除 。
Hễ người nào, hoặc sanh đẻ tại xứ, hoặc kẻ khách, ăn thịt của một con thú chết hay là bị xé, phải giặt quần áo mình, tắm trong nước, bị ô uế đến chiều tối, đoạn được tinh sạch lại.|凡 喫 自 死 的 、 或 是 被 野 獸 撕 裂 的 、 無 論 是 本 地 人 、 是 寄 居 的 、 必 不 潔 淨 到 晚 上 、 都 要 洗 衣 服 、 用 水 洗 身 ． 到 了 晚 上 、 纔 為 潔 淨 。
Còn nếu người không giặt quần áo và không tắm, thì sẽ mang tội mình.|但 他 若 不 洗 衣 服 、 也 不 洗 身 、 就 必 擔 當 他 的 罪 孽 。

					Lê-vi 18				|
						利未記 18					
Đức Giê-hô-va lại phán cùng Môi-se rằng:|耶 和 華 對 摩 西 說 、
Hãy nói cùng dân Y-sơ-ra-ên rằng: Ta là Giê-hô-va Đức Chúa Trời các ngươi.|你 曉 諭 以 色 列 人 說 、 我 是 耶 和 華 你 們 的 　 神 。
Các ngươi chớ làm theo những điều người ta làm hoặc tại xứ Ê-díp-tô, là nơi các ngươi đã kiều ngụ, hoặc tại xứ Ca-na-an, là xứ ta dẫn các ngươi đi đến: chớ đi theo thói tục họ.|你 們 從 前 住 的 埃 及 地 、 那 裡 人 的 行 為 、 你 們 不 可 效 法 、 我 要 領 你 們 到 的 迦 南 地 、 那 裡 人 的 行 為 、 也 不 可 效 法 ． 也 不 可 照 他 們 的 惡 俗 行 。
Các ngươi hãy tuân mạng lịnh ta, gìn giữ luật pháp ta đặng noi theo: Ta là Giê-hô-va Đức Chúa Trời các ngươi.|你 們 要 遵 我 的 典 章 、 守 我 的 律 例 、 按 此 而 行 ． 我 是 耶 和 華 你 們 的 　 神 。
Vậy, hãy giữ luật pháp và mạng lịnh ta, người nào làm theo, thì sẽ nhờ nó mà được sống: Ta là Đức Giê-hô-va.|所 以 你 們 要 守 我 的 律 例 、 典 章 ． 人 若 遵 行 、 就 必 因 此 活 著 ． 我 是 耶 和 華 。
Chớ một ai trong vòng các ngươi đến gần cùng người nữ bà con mình đặng cấu hiệp: Ta là Đức Giê-hô-va.|你 們 都 不 可 露 骨 肉 之 親 的 下 體 、 親 近 他 們 ． 我 是 耶 和 華 。
Chớ cấu hiệp cùng mẹ mình; bằng cấu hiệp, tất làm nhục cho cha mẹ.|不 可 露 你 母 親 的 下 體 、 羞 辱 了 你 父 親 ． 他 是 你 的 母 親 、 不 可 露 他 的 下 體 。
Chớ cấu hiệp cùng kế mẫu, bằng cấu hiệp, ấy làm nhục cho cha mình.|不 可 露 你 繼 母 的 下 體 、 這 本 是 你 父 親 的 下 體 。
Chớ cấu hiệp cùng chị em mình, hoặc một cha khác mẹ, hoặc một mẹ khác cha, hoặc sanh tại trong nhà, hoặc sanh ở ngoài.|你 的 姐 妹 、 不 拘 是 異 母 同 父 的 、 是 異 父 同 母 的 、 無 論 是 生 在 家 、 生 在 外 的 、 都 不 可 露 他 們 的 下 體 。
Chớ cấu hiệp cùng cháu gái, hoặc cháu gái nội, hoặc cháu gái ngoại; bằng cấu hiệp, ấy là gây nhục cho mình.|不 可 露 你 孫 女 、 或 是 外 孫 女 的 下 體 、 露 了 他 們 的 下 體 、 就 是 露 了 自 己 的 下 體 。
Chớ cấu hiệp cùng con gái của kế mẫu bởi cha mình sanh ra, vì là em gái ngươi.|你 繼 母 從 你 父 親 生 的 女 兒 、 本 是 你 的 妹 妹 、 不 可 露 他 的 下 體 。
Chớ cấu hiệp cùng chị em của cha ngươi; vì là cốt nhục của cha ngươi.|不 可 露 你 姑 母 的 下 體 、 他 是 你 父 親 的 骨 肉 之 親 。
Chớ cấu hiệp cùng chị em của mẹ ngươi; vì là cốt nhục của mẹ ngươi.|不 可 露 你 姨 母 的 下 體 、 他 是 你 母 親 的 骨 肉 之 親 。
Chớ cấu hiệp cùng bác gái hay thím ngươi; bằng cấu hiệp, ấy là gây nhục cho anh em của cha ngươi.|不 可 親 近 你 伯 叔 之 妻 、 羞 辱 了 你 伯 叔 、 他 是 你 的 伯 叔 母 。
Chớ cấu hiệp cùng dâu ngươi; vì là vợ của con trai mình.|不 可 露 你 兒 婦 的 下 體 、 他 是 你 兒 子 的 妻 、 不 可 露 他 的 下 體 。
Chớ cấu hiệp cùng chị dâu hay em dâu ngươi; nếu cấu hiệp, ấy làm nhục cho anh em ngươi vậy.|不 可 露 你 弟 兄 妻 子 的 下 體 、 這 本 是 你 弟 兄 的 下 體 。
Chớ cấu hiệp cùng một người đàn bà luôn với con gái của người đàn bà nữa. Chớ lấy cháu gái nội ngươi, hoặc cháu gái ngoại ngươi đặng cấu hiệp cùng họ; chúng nó đều là cốt nhục gần; làm vậy, ấy là một việc ác dục.|不 可 露 了 婦 人 的 下 體 、 又 露 他 女 兒 的 下 體 、 也 不 可 娶 他 孫 女 、 或 是 外 孫 女 、 露 他 們 的 下 體 、 他 們 是 骨 肉 之 親 、 這 本 是 大 惡 。
Chớ lấy vợ luôn với chị em người mà cấu hiệp cùng nó gần bên vợ chánh mình đương khi người còn sống, e khi sanh ghen tương.|你 妻 還 在 的 時 候 、 不 可 另 娶 他 的 姐 妹 作 對 頭 、 露 他 的 下 體 。
Trong lúc người nữ có kinh nguyệt, chớ đến gần mà cấu hiệp.|女 人 行 經 不 潔 淨 的 時 候 、 不 可 露 他 的 下 體 、 與 他 親 近 。
Chớ nằm cùng vợ người lân cận mình, mà gây cho mình bị ô uế với người.|不 可 與 鄰 舍 的 妻 行 淫 、 玷 污 自 己 。
Chớ bắt con cái mình đặng dâng cho thần Mo-lóc, chớ làm ô danh Đức Chúa Trời ngươi: Ta là Đức Giê-hô-va.|不 可 使 你 的 兒 女 經 火 、 歸 與 摩 洛 ． 也 不 可 褻 瀆 你 　 神 的 名 ． 我 是 耶 和 華 。
Chớ nằm cùng một người nam như người ta nằm cùng một người nữ; ấy là một sự quái gớm.|不 可 與 男 人 苟 合 、 像 與 女 人 一 樣 、 這 本 是 可 憎 惡 的 。
Chớ nằm cùng một con thú nào, mà gây cho mình bị ô uế với nó; một người đàn bà chớ nằm cùng thú vật nào; ấy là một sự quái gớm.|不 可 與 獸 淫 合 、 玷 污 自 己 ． 女 人 也 不 可 站 在 獸 前 、 與 他 淫 合 、 這 本 是 逆 性 的 事 。
