
					Thánh Thi 1				|
Nhưng người công bình sẽ vui vẻ, hớn hở trước mặt Đức Chúa Trời; Phải, họ sẽ nức lòng mừng rỡ.|惟 有 義 人 必 然 歡 喜 、 在 　 神 面 前 高 興 快 樂 。
Hãy hát xướng cho Đức Chúa Trời, hãy ngợi khen danh Ngài; Khá đắp đường cái cho Đấng cỡi ngựa đi ngang qua đồng bằng: Đức Giê-hô-va là danh Ngài; hãy vui mừng trước mặt Ngài.|你 們 當 向 　 神 唱 詩 、 歌 頌 他 的 名 ． 為 那 坐 車 行 過 曠 野 的 、 修 平 大 路 ． 他 的 名 是 耶 和 華 ． 要 在 他 面 前 歡 樂 。
Đức Chúa Trời ở nơi thánh Ngài, Là Cha kẻ mồ côi, và quan xét của người góa bụa.|　 神 在 他 的 聖 所 作 孤 兒 的 父 、 作 寡 婦 的 伸 冤 者 。
Đức Chúa Trời làm cho kẻ cô độc có nhà ở, Đem kẻ bị tù ra hưởng được may mắn; Song những kẻ phản nghịch phải ở đất khô khan.|　 神 叫 孤 獨 的 有 家 、 使 被 囚 的 出 來 享 福 ． 惟 有 悖 逆 的 住 在 乾 燥 之 地 。
Hỡi Đức Chúa Trời, khi Chúa đi ra trước dân Chúa, Và đi tới trong đồng vắng,|　 神 阿 、 你 曾 在 你 百 姓 前 頭 出 來 、 在 曠 野 行 走 。 〔 細 拉 〕
Thì đất rúng động, các từng trời đặt ra nước trước mặt Đức Chúa Trời; Núi Si-nai kìa cũng rúng động trước mặt Đức Chúa Trời, là Đức Chúa Trời của Y-sơ-ra-ên.|那 時 地 見 　 神 的 面 而 震 動 、 天 也 落 雨 ． 西 奈 山 見 以 色 列 　 神 的 面 也 震 動 。
Đức Chúa Trời ơn, Chúa giáng mưa lớn trên sản nghiệp Chúa, Khi nó mệt mỏi Chúa bổ nó lại.|　 神 阿 、 你 降 下 大 雨 ． 你 產 業 以 色 列 疲 乏 的 時 候 、 你 使 他 堅 固 。
Hỡi Đức Chúa Trời, hội Chúa ở tại đó; Vì lòng nhơn từ, Chúa sắm sửa vật tốt cho kẻ khốn cùng.|你 的 會 眾 住 在 其 中 ． 　 神 阿 、 你 的 恩 惠 是 為 困 苦 人 豫 備 的 。
Chúa truyền mạng lịnh ra: Các ngươi đờn bà báo tin thấy một đoàn đông lắm.|主 發 命 令 、 傳 好 信 息 的 婦 女 成 了 大 群 。
Các vua có đạo binh chạy trốn, họ chạy trốn; Còn người đờn bà ở lại trong nhà chia của cướp.|統 兵 的 君 王 逃 跑 了 、 逃 跑 了 ． 在 家 等 候 的 婦 女 、 分 受 所 奪 的 。
Khi các ngươi nằm nghỉ ở giữa chuồng chiên, Thì giống như cánh bò câu bọc bạc, Và lông nó bọc vàng xanh.|你 們 安 臥 在 羊 圈 的 時 候 、 好 像 鴿 子 的 翅 膀 鍍 白 銀 、 翎 毛 鍍 黃 金 一 般 。
Khi Đấng toàn năng tản lạc các vua tại đó, Thì xứ trở nên trắng như lúc mưa thuyết tại Sanh-môn.|全 能 者 在 境 內 趕 散 列 王 的 時 候 、 勢 如 飄 雪 在 撒 們 。
Núi Ba-san là núi của Đức Chúa Trời; Núi Ba-san có nhiều chót.|巴 珊 山 是 　 神 的 山 ． 巴 珊 山 是 多 峰 多 嶺 的 山 。
Hỡi các núi có nhiều chót, sao các ngươi ngó cách ganh ghét Núi mà Đức Chúa Trời đã chọn làm nơi ở của Ngài? Phải Đức Giê-hô-va sẽ ở tại đó đến đời đời.|你 們 多 峰 多 嶺 的 山 哪 、 為 何 斜 看 　 神 所 願 居 住 的 山 ． 耶 和 華 必 住 這 山 、 直 到 永 遠 。
Xe của Đức Chúa Trời số là hai vạn, Từng ngàn trên từng ngàn; Chúa ở giữa các xe ấy y như tại Si-nai trong nơi thánh.|　 神 的 車 輦 累 萬 盈 千 ． 主 在 其 中 、 好 像 在 西 乃 聖 山 一 樣 。
Chúa đã ngự lên trên cao, dẫu theo những phu tù; Chúa đã nhận lễ vật giữa loài người, và giữa kẻ phản nghịch cũng vậy, Hầu cho Giê-hô-va Đức Chúa Trời được ở với chúng nó.|你 已 經 升 上 高 天 、 擄 掠 仇 敵 、 你 在 人 間 、 就 是 在 悖 逆 的 人 間 、 受 了 供 獻 、 叫 耶 和 華 　 神 可 以 與 他 們 同 住 。
Đáng ngợi khen Chúa thay, Là Đấng hằng ngày gánh gánh nặng của chúng tôi, Tức là Đức Chúa Trời, sự cứu rỗi của chúng tôi.|天 天 背 負 我 們 重 擔 的 主 、 就 是 拯 救 我 們 的 　 神 、 是 應 當 稱 頌 的 。 〔 細 拉 〕
Đức Chúa Trời là Đức Chúa Trời giải cứu chúng tôi; Ay là nhờ Chúa Giê-hô-va mà loài người được tránh khỏi sự chết.|　 神 是 為 我 們 施 行 諸 般 救 恩 的 　 神 ． 人 能 脫 離 死 亡 、 是 在 乎 主 耶 和 華 。
Nhưng Đức Chúa Trời sẽ đạp nát đầu kẻ thù nghịch Ngài, Đỉnh tóc của kẻ cớ phạm sự gian ác.|但 　 神 要 打 破 他 仇 敵 的 頭 、 就 是 那 常 犯 罪 之 人 的 髮 頂 。
Chúa đã phán rằng: Từ Ba-san ta sẽ dẫn dân ta về, Đem chúng nó lên khỏi biển sâu;|主 說 、 我 要 使 眾 民 從 巴 珊 而 歸 、 使 他 們 從 深 海 而 回 ．
Để ngươi dầm chơn mình trong huyết, Và lưỡi chó ngươi cũng được phần trong kẻ thù nghịch ngươi.|使 你 打 碎 仇 敵 、 你 的 腳 踹 在 血 中 、 使 你 狗 的 舌 頭 、 從 其 中 得 分 。
Hỡi Đức Chúa Trời, chúng nó đã thấy cách Chúa đi, Tức cách Đức Chúa Trời, là Vua tôi, đi vào nơi thánh.|　 神 阿 、 你 是 我 的 　 神 、 我 的 王 ． 人 已 經 看 見 你 行 走 、 進 入 聖 所 。
Các người hát xướng đi trước, kẻ đờn nhạc theo sau, Ở giữa có những con gái trẻ đánh trống cơm.|歌 唱 的 行 在 前 、 作 樂 的 隨 在 後 、 都 在 擊 鼓 的 童 女 中 間 。
Hỡi những kẻ nguyên do nơi Y-sơ-ra-ên mà ra, trong các hội Hãy chúc tụng Đức Chúa Trời, là Chúa.|從 以 色 列 源 頭 而 來 的 、 當 在 各 會 中 稱 頌 主 　 神 。
Kìa, Bê-gia-min nhỏ, là kẻ cai trị chúng nó; Các quan trưởng Giu-đa, và bọn của họ; Các quan trưởng Sa-bu-lôn, và các quan trưởng Nép-ta-li.|在 那 裡 有 統 管 他 們 的 小 便 雅 憫 、 有 猶 大 的 首 領 、 和 他 們 的 群 眾 ． 有 西 布 倫 的 首 領 ． 有 拿 弗 他 利 的 首 領 。
Đức Chúa Trời ngươi đã ban sức lực cho ngươi: Hỡi Đức Chúa Trời, xin hãy khiến vững bền việc Chúa đã làm cho chúng tôi.|以 色 列 的 能 力 、 是 　 神 所 賜 的 ． 　 神 阿 、 求 你 堅 固 你 為 我 們 所 成 全 的 事 。
Bởi cớ đền thờ của Chúa tại Giê-ru-sa-lem, Các vua sẽ đem dâng lễ vật cho Chúa.|因 你 耶 路 撒 冷 的 殿 、 列 王 必 帶 貢 物 獻 給 你 ．
Xin hãy mắng thú trong lau sậy, Quở đoàn bò đực với những bò con của các dân, Là những người đem nén bạc quì xuống dâng cho, Xin Chúa hãy tản lạc những dân tộc ưa thích sự giặc giã.|求 你 叱 喝 蘆 葦 中 的 野 獸 、 和 群 公 牛 、 並 列 邦 中 的 牛 犢 、 把 銀 塊 踹 在 腳 下 ． 　 神 已 經 趕 散 好 爭 戰 的 列 邦 。
Những công-hầu sẽ từ Ê-díp-tô mà ra; Ê-thi-ô-bi sẽ lật đật giơ tay lên cùng Đức Chúa Trời.|埃 及 的 公 侯 要 出 來 朝 見 　 神 ． 古 實 人 要 急 忙 舉 手 禱 告 。
Hỡi các nước của đất, hãy hát xướng cho Đức Chúa Trời; Khá hát ngợi khen Chúa,|世 上 的 列 國 阿 、 你 們 要 向 　 神 歌 唱 ． 願 你 們 歌 頌 主 、
Tức là Đấng cỡi trên các từng trời thái cổ; Kìa, Ngài phát tiếng ra, là tiếng có sức lớn.|歌 頌 那 自 古 駕 行 在 諸 天 以 上 的 主 ． 他 發 出 聲 音 、 是 極 大 的 聲 音 。
Hãy tôn quyền năng cho Đức Chúa Trời: Sự oai nghiêm Ngài ở trên Y-sơ-ra-ên, và quyền năng Ngài ở trong các mây.|你 們 要 將 能 力 歸 給 　 神 ． 他 的 威 榮 在 以 色 列 之 上 、 他 的 能 力 是 在 穹 蒼 。
Hỡi Đức Chúa Trời, Chúa thật đáng sợ trong nơi thánh Chúa: Chính Đức Chúa Trời của Y-sơ-ra-ên ban sức lực và quyền năng cho dân sự Ngài. Đáng ngợi khen Đức Chúa Trời thay!|　 神 阿 、 你 從 聖 所 顯 為 可 畏 ． 以 色 列 的 　 神 、 是 那 將 力 量 權 能 賜 給 他 百 姓 的 。 　 神 是 應 當 稱 頌 的 。

					Thánh Thi 69				|
						詩篇 69					
Đức Chúa Trời ôi! xin cứu tôi, Vì những nước đã thấu đến linh hồn tôi.|〔 大 衛 的 詩 、 交 與 伶 長 、 調 用 百 合 花 。 〕 　 神 阿 、 求 你 救 我 ． 因 為 眾 水 要 淹 沒 我 。
Tôi lún trong bùn sâu, nơi không đụng cẳng; Tôi bị chìm trong nước sâu, dòng nước ngập tôi.|我 陷 在 深 淤 泥 中 、 沒 有 立 腳 之 地 ． 我 到 了 深 水 中 ． 大 水 漫 過 我 身 。
Tôi la mệt, cuống họng tôi khô; Mắt tôi hao mòn đương khi trông đợi Đức Chúa Trời tôi.|我 因 呼 求 困 乏 、 喉 嚨 發 乾 ． 我 因 等 候 　 神 、 眼 睛 失 明 。
Những kẻ ghen ghét tôi vô cớ Nhiều hơn số tóc đầu tôi; Những kẻ làm thù nghịch tôi vô cớ và muốn hại tôi thật mạnh; Tôi phải bồi dưỡng điều tôi không cướp giựt.|無 故 恨 我 的 、 比 我 頭 髮 還 多 ． 無 理 與 我 為 仇 、 要 把 我 剪 除 的 、 甚 為 強 盛 ． 我 沒 有 搶 奪 的 、 要 叫 我 償 還 。
Đức Chúa Trời ôi! Chúa biết sự ngu dại tôi, Các tội lỗi tôi không giấu Chúa được.|　 神 阿 、 我 的 愚 昧 你 原 知 道 ． 我 的 罪 愆 不 能 隱 瞞 。
Hỡi Chúa Giê-hô-va vạn quân, Nguyện những kẻ trông đợi Chúa chớ bị hổ thẹn vì cớ tôi; Đức Chúa Trời của Y-sơ-ra-ên ôi! Nguyện kẻ nào tìm cầu Chúa chớ bị sỉ nhục tại vì việc tôi.|萬 軍 的 主 耶 和 華 阿 、 求 你 叫 那 等 候 你 的 、 不 要 因 我 蒙 羞 ． 以 色 列 的 　 神 阿 、 求 你 叫 那 尋 求 你 的 、 不 要 因 我 受 辱 。
Ay vì Chúa mà tôi đã mang sự nhuốc nhơ, Và bị sự hổ thẹn bao phủ mặt tôi.|因 我 為 你 的 緣 故 受 了 辱 罵 、 滿 面 羞 愧 。
Tôi đã trở nên một kẻ lạ cho anh em tôi, Một người ngoại bang cho các con trai mẹ tôi.|我 的 弟 兄 看 我 為 外 路 人 ． 我 的 同 胞 看 我 為 外 邦 人 。
Vì sự sốt sắng về đền Chúa tiêu nuốt tôi, Sự sỉ nhục của kẻ sỉ nhục Chúa đã đổ trên tôi.|因 我 為 你 的 殿 心 裡 焦 急 、 如 同 火 燒 ． 並 且 辱 罵 你 人 的 辱 罵 、 都 落 在 我 身 上 。
Tôi khóc và nhịn ăn để ép linh hồn tôi, Thì điều đó cũng trở làm sỉ nhục tôi.|我 哭 泣 、 以 禁 食 刻 苦 我 心 、 這 倒 算 為 我 的 羞 辱 。
Tôi lấy bao gai mặc làm áo xống, Bèn trở nên câu tục ngữ cho chúng nó.|我 拿 麻 布 當 衣 裳 、 就 成 了 他 們 的 笑 談 。
Những kẻ ngồi nơi cửa thành trò chuyện về tôi; Tôi là đề câu hát của những người uống rượu.|坐 在 城 門 口 的 談 論 我 ． 酒 徒 也 以 我 為 歌 曲 。
Nhưng Đức Giê-hô-va ơi, tôi nhờ dịp tiện Mà cầu nguyện cùng Ngài. Đức Chúa Trời ơn, theo sự thương xót lớn của Chúa, Và theo lẽ thật về sự cứu rỗi của Chúa, xin hãy đáp lại tôi.|但 我 在 悅 納 的 時 候 、 向 你 耶 和 華 祈 禱 ． 　 神 阿 、 求 你 按 你 豐 盛 的 慈 愛 、 憑 你 拯 救 的 誠 實 、 應 允 我 。
Xin hãy cứu tôi khỏi vũng bùn, kẻo tôi lún chăng; Nguyện tôi được giải thoát khỏi những kẻ ghét tôi, và khỏi nước sâu.|求 你 搭 救 我 出 離 淤 泥 、 不 叫 我 陷 在 其 中 ． 求 你 使 我 脫 離 那 些 恨 我 的 人 、 使 我 出 離 深 水 。
Nguyện dòng nước không ngập tôi, Vực sâu chớ nhận tôi, Hầm không lấp miệng nó lại trên tôi.|求 你 不 容 大 水 漫 過 我 、 不 容 深 淵 吞 滅 我 、 不 容 坑 坎 在 我 以 上 合 口 。
Đức Giê-hô-va khiến, xin hãy đáp lại tôi; vì sự nhơn từ Ngài là tốt; Tùy sự thương xót lớn của Ngài, xin hãy xây lại cùng tôi.|耶 和 華 阿 、 求 你 應 允 我 、 因 為 你 的 慈 愛 本 為 美 好 ． 求 你 按 你 豐 盛 的 慈 悲 、 回 轉 眷 顧 我 。
Xin Chúa chớ giấu mặt cùng tôi tớ Chúa, vì tôi đương bị gian truân; Hãy mau mau đáp lại tôi.|不 要 掩 面 不 顧 你 的 僕 人 ． 我 是 在 急 難 之 中 ． 求 你 速 速 的 應 允 我 。
Cầu xin Chúa đến gần linh hồn tôi và chuộc nó; Vì cớ kẻ thù nghịch tôi, xin hãy cứu chuộc tôi.|求 你 親 近 我 、 救 贖 我 ． 求 你 因 我 的 仇 敵 把 我 贖 回 。
Chúa biết sự sỉ nhục, sự hổ thẹn, và sự nhuốt nhơ của tôi: Các cừu địch tôi đều ở trước mặt Chúa.|你 知 道 我 受 的 辱 罵 、 欺 凌 、 羞 辱 ． 我 的 敵 人 都 在 你 面 前 。
Sự sỉ nhục làm đau thương lòng tôi, tôi đầy sự khổ nhọc; Tôi trông đợi có người thương xót tôi, nhưng chẳng có ai; Tôi mong-nhờ người an ủi, song nào có gặp.|辱 罵 傷 破 了 我 的 心 ． 我 又 滿 了 憂 愁 ． 我 指 望 有 人 體 恤 、 卻 沒 有 一 個 ． 我 指 望 有 人 安 慰 、 卻 找 不 著 一 個 。
Chúng nó ban mật đắng làm vật thực tôi, Và cho tôi uống giấm trong khi khát.|他 們 拿 苦 膽 給 我 當 食 物 ． 我 渴 了 、 他 們 拿 醋 給 我 喝 。
Nguyện bàn tiệc trước mặt chúng nó trở nên cái bẫy; Khi chúng nó được bình an, nguyện nó lại trở nên cái lưới.|願 他 們 的 筵 席 、 在 他 們 面 前 變 為 網 羅 、 在 他 們 平 安 的 時 候 、 變 為 機 檻 ．
Nguyện mắt chúng nó bị tối, không còn thấy, Và hãy làm cho lưng chúng nó hằng run.|願 他 們 的 眼 睛 昏 矇 、 不 得 看 見 ． 願 你 使 他 們 的 腰 常 常 戰 抖 。
Hãy đổ cơn thạnh nộ Chúa trên chúng nó. Khiến sự giận dữ Chúa theo kịp họ.|求 你 將 你 的 惱 恨 、 倒 在 他 們 身 上 、 叫 你 的 烈 怒 、 追 上 他 們 。
Nguyện chỗ ở chúng nó bị bỏ hoang, Chẳng có ai ở trong trại chúng nó nữa.|願 他 們 的 住 處 、 變 為 荒 場 ． 願 他 們 的 帳 棚 、 無 人 居 住 。
Vì chúng nó bắt bớ kẻ Chúa đã đánh, Và thuật lại sự đau đớn của người mà Chúa đã làm cho bị thương.|因 為 你 所 擊 打 的 、 他 們 就 逼 迫 ． 你 所 擊 傷 的 、 他 們 戲 說 他 的 愁 苦 。
Cầu xin Chúa hãy gia tội ác vào tội ác chúng nó; Chớ cho chúng nó vào trong sự công bình của Chúa.|願 你 在 他 們 的 罪 上 加 罪 、 不 容 他 們 在 你 面 前 稱 義 。
Nguyện chúng nó bị xóa khỏi sách sự sống, Không được ghi chung với người công bình.|願 他 們 從 生 命 冊 上 被 塗 抹 、 不 得 記 錄 在 義 人 之 中 。
Còn tôi bị khốn cùng và đau đớn: Đức Chúa Trời ơn, nguyện sự cứu rỗi của Chúa nâng đỡ tôi lên nơi cao.|但 我 是 困 苦 憂 傷 的 ． 　 神 阿 、 願 你 的 救 恩 將 我 安 置 在 高 處 。
Tôi sẽ dùng bài hát mà ngợi khen danh Đức Chúa Trời, Và lấy sự cảm tạ mà tôn cao Ngài.|我 要 以 詩 歌 讚 美 　 神 的 名 、 以 感 謝 稱 他 為 大 。
Điều ấy sẽ đẹp lòng Đức Giê-hô-va hơn con bò đực, Hoặc con bò đực có sừng và móng rẽ ra.|這 便 叫 耶 和 華 喜 悅 、 勝 似 獻 牛 、 或 是 獻 有 角 有 蹄 的 公 牛 。
Những người hiền từ sẽ thấy điều đó và vui mừng; Hỡi các người tìm cầu Đức Chúa Trời, nguyện lòng các ngươi được sống.|謙 卑 的 人 看 見 了 、 就 喜 樂 ． 尋 求 　 神 的 人 、 願 你 們 的 心 甦 醒 。
Vì Đức Giê-hô-va nghe kẻ thiếu thốn, Không khinh dể những phu tù của Ngài.|因 為 耶 和 華 聽 了 窮 乏 人 、 不 藐 視 被 囚 的 人 。
Nguyện trời, đất, biển, Và các vật hay động trong đó, đều ngợi khen Ngài.|願 天 和 地 、 洋 海 、 和 其 中 一 切 的 動 物 、 都 讚 美 他 。
Vì Đức Chúa Trời sẽ cứu Si-ôn, và xây lại các thành Giu-đa; Dân sự sẽ ở đó, được nó làm của.|因 為 　 神 要 拯 救 錫 安 、 建 造 猶 大 的 城 邑 ． 他 的 民 要 在 那 裡 居 住 、 得 以 為 業 。
Dòng dõi các tôi tớ Ngài sẽ hưởng nó làm sản nghiệp; Phàm ai yêu mến danh Ngài sẽ ở tại đó.|他 僕 人 的 後 裔 、 要 承 受 為 業 ． 愛 他 名 的 人 、 也 要 住 在 其 中 。

					Thánh Thi 70				|
						詩篇 70					
Đức Chúa Trời ôi! xin mau mau giải cứu tôi; Đức Giê-hô-va ôi! xin mau mau giúp đỡ tôi.|〔 大 衛 的 記 念 詩 、 交 與 伶 長 。 〕 　 神 阿 、 求 你 快 快 搭 救 我 ． 耶 和 華 阿 、 求 你 速 速 幫 助 我 。
Nguyện những kẻ tìm hại mạng sống tôi. Đều phải bị hổ thẹn và nhuốc nhơ; Nguyện những kẻ vui vẻ về sự thiệt hại tôi Phải thối lại sau, và bị mất cỡ.|願 那 些 尋 索 我 命 的 、 抱 愧 蒙 羞 ． 願 那 些 喜 悅 我 遭 害 的 、 退 後 受 辱 。
Những kẻ nói rằng: Ha ha! ha ha! Nguyện chúng nó phải thối lại sau, vì cớ sự hổ thẹn chúng nó.|願 那 些 對 我 說 、 阿 哈 、 阿 哈 的 、 因 羞 愧 退 後 。
Nguyện hết thảy người nào tìm cầu Chúa, Được mừng rỡ vui vẻ nơi Chúa; Nguyện những kẻ yêu mến sự cứu rỗi của Chúa Hằng nói rằng: Đáng tôn Đức Chúa Trời oai nghi thay!|願 一 切 尋 求 你 的 、 因 你 高 興 歡 喜 ． 願 那 些 喜 愛 你 救 恩 的 常 說 、 當 尊 　 神 為 大 。
Còn tôi bị khốn cùng và thiếu thốn; Đức Chúa Trời ôi! xin hãy mau mau đến cùng tôi: Chúa là sự giúp đỡ tôi, Đấng giải cứu tôi; Đức Giê-hô-va ôi! chớ chậm trễ.|但 我 是 困 苦 窮 乏 的 ． 　 神 阿 、 求 你 速 速 到 我 這 裡 來 ． 你 是 幫 助 我 的 、 搭 救 我 的 ． 耶 和 華 阿 、 求 你 不 要 耽 延 。

					Thánh Thi 71				|
						詩篇 71					
Hỡi Đức Giê-hô-va, tôi nương náu mình nơi Ngài: Chớ để tôi bị hổ thẹn.|耶 和 華 阿 、 我 投 靠 你 ． 求 你 叫 我 永 不 羞 愧 。
Xin hãy lấy công bình Chúa giải cứu tôi, và làm tôi được thoát khỏi; Hãy nghiêng tai qua tôi, và cứu tôi.|求 你 憑 你 的 公 義 搭 救 我 、 救 拔 我 、 側 耳 聽 我 、 拯 救 我 。
Xin Chúa làm hòn đá dưng làm chỗ ở cho tôi, Hầu cho tôi được vào đó luôn luôn; Chúa đã ra lịnh cứu tôi, Vì Chúa là hòn đá và là đồn lũy tôi.|求 你 作 我 常 住 的 磐 石 ． 你 已 經 命 定 要 救 我 ． 因 為 你 是 我 的 巖 石 、 我 的 山 寨 。
Hỡi Đức Chúa Trời tôi, xin hãy cứu tôi khỏi tay kẻ ác, Khỏi tay kẻ bất nghĩa và người hung bạo.|我 的 　 神 阿 、 求 你 救 我 脫 離 惡 人 的 手 、 脫 離 不 義 和 殘 暴 之 人 的 手 。
Vì, Chúa Giê-hô-va ôi, Chúa là sự trông đợi tôi, Và là sự tin cậy tôi từ buổi thơ ấu.|主 耶 和 華 阿 、 你 是 我 所 盼 望 的 ． 從 我 年 幼 你 是 我 所 倚 靠 的 。
Tôi nương dựa trên Chúa từ lúc mới lọt lòng; Ay là Chúa đã đem tôi ra khỏi lòng mẹ tôi: Tôi sẽ ngợi khen Chúa luôn luôn.|我 從 出 母 胎 被 你 扶 持 ． 使 我 出 母 腹 的 是 你 ． 我 必 常 常 讚 美 你 。
Tôi như sự lạ lùng cho nhiều người; Nhưng Chúa là nơi nương náu vững bền cho tôi,|許 多 人 以 我 為 怪 ． 但 你 是 我 堅 固 的 避 難 所 。
Hằng ngày miệng tôi đầy sự ngợi khen Và sự tôn vinh Chúa.|你 的 讚 美 、 你 的 榮 耀 、 終 日 必 滿 了 我 的 口 。
Xin Chúa chớ từ bỏ tôi trong thì già cả; Cũng đừng lìa khỏi tôi khi sức tôi hao mòn.|我 年 老 的 時 候 、 求 你 不 要 丟 棄 我 ． 我 力 氣 衰 弱 的 時 候 、 求 你 不 要 離 棄 我 。
Vì những kẻ thù nghịch nói nghịch tôi, Những kẻ rình rập linh hồn tôi đồng mưu cùng nhau,|我 的 仇 敵 議 論 我 ． 那 些 窺 探 要 害 我 命 的 彼 此 商 議 、
Mà rằng: Đức Chúa Trời đã bỏ hắn; Hãy đuổi theo bắt hắn, vì chẳng có ai giải cứu cho.|說 、 　 神 已 經 離 棄 他 ． 我 們 追 趕 他 、 捉 拿 他 罷 ． 因 為 沒 有 人 搭 救 。
Đức Chúa Trời ôi! xin chớ đứng xa tôi; Đức Chúa Trời tôi ô! xin mau mau đến giúp đỡ tôi.|　 神 阿 、 求 你 不 要 遠 離 我 ． 我 的 　 神 阿 、 求 你 速 速 幫 助 我 。
Nguyện những cừu địch linh hồn tôi bị hổ thẹn và tiêu diệt đi; Nguyện kẻ nào tìm làm hại tôi, bị bao phủ sỉ nhục và nhuốc nhơ.|願 那 與 我 性 命 為 敵 的 、 羞 愧 被 滅 ． 願 那 謀 害 我 的 、 受 辱 蒙 羞 。
Nhưng tôi sẽ trông cậy luôn luôn, Và ngợi khen Chúa càng ngày càng thêm.|我 卻 要 常 常 盼 望 、 並 要 越 發 讚 美 你 。
Hằng ngày miệng tôi sẽ thuật sự công bình và sự cứu rỗi của Chúa; Vì tôi không biết số nó được.|我 的 口 終 日 要 述 說 你 的 公 義 、 和 你 的 救 恩 ． 因 我 不 計 其 數 。
Tôi sẽ đến thuật công việc quyền năng của Chúa Giê-hô-va; Tôi sẽ nói về sự công bình của Chúa, chỉ nói đến sự công bình của Chúa mà thôi.|我 要 來 說 主 耶 和 華 大 能 的 事 ． 我 單 要 提 說 你 的 公 義 。
Hỡi Đức Chúa Trời, Chúa đã dạy tôi từ buổi thơ ấu; Cho đến bây giờ tôi đã rao truyền các công việc lạ lùng của Chúa.|　 神 阿 、 自 我 年 幼 時 、 你 就 教 訓 我 ． 直 到 如 今 、 我 傳 揚 你 奇 妙 的 作 為 。
Hỡi Đức Chúa Trời, dầu khi tôi đã già và tóc bạc rồi, Xin chớ bỏ tôi, Cho đến chừng tôi đã truyền ra cho dòng dõi sau sức lực của Chúa, Và quyền thế Chúa cho mỗi người sẽ đến.|　 神 阿 、 我 到 年 老 髮 白 的 時 候 、 求 你 不 要 離 棄 我 、 等 我 將 你 的 能 力 指 示 下 代 、 將 你 的 大 能 指 示 後 世 的 人 。
Hỡi Đức Chúa Trời, sự công bình Chúa rất cao. Chính Chúa đã làm công việc cả thể, Hỡi Đức Chúa Trời, ai giống như Chúa?|　 神 阿 、 你 的 公 義 甚 高 ． 行 過 大 事 的 　 神 阿 、 誰 能 像 你 。
Chúa là Đấng đã cho chúng tôi thấy vô số gian truân đắng cay, Sẽ làm cho chúng tôi được sống lại, Và đem chúng tôi lên khỏi vực sâu của đất.|你 是 叫 我 們 多 經 歷 重 大 急 難 的 、 必 使 我 們 復 活 ． 從 地 的 深 處 救 上 來 。
Chúa sẽ gia thêm sự sang trọng cho tôi, Trở lại an ủi tôi.|求 你 使 我 越 發 昌 大 、 又 轉 來 安 慰 我 。
Hỡi Đức Chúa Trời tôi, tôi cũng sẽ dùng đờn cầm mà ngợi khen Chúa, Tán mĩ sự chơn thật của Chúa; Hỡi Đấng thánh của Y-sơ-ra-ên, tôi sẽ dùng đờn sắt mà ca tụng Ngài.|我 的 　 神 阿 、 我 要 鼓 瑟 稱 讚 你 、 稱 讚 你 的 誠 實 ． 以 色 列 的 聖 者 阿 、 我 要 彈 琴 歌 頌 你 。
Mọi và linh hồn tôi mà Chúa đã chuộc lại, Sẽ reo mừng khi tôi ca tụng Chúa.|我 歌 頌 你 的 時 候 、 我 的 嘴 唇 、 和 你 所 贖 我 的 靈 魂 、 都 必 歡 呼 。
Cả ngày lưỡi tôi cũng sẽ nói lại sự công bình của Chúa; Vì những kẻ tìm làm hại tôi đã bị mất cỡ và hổ thẹn cả.|並 且 我 的 舌 頭 、 必 終 日 講 論 你 的 公 義 、 因 為 那 些 謀 害 我 的 人 、 已 經 蒙 羞 受 辱 了 。

					Thánh Thi 72				|
						詩篇 72					
Hỡi Đức Chúa Trời, xin ban cho vua sự xét đoán của Chúa, Và ban cho vương tử sự công bình của Ngài.|〔 所 羅 門 的 詩 。 〕 　 神 阿 、 求 你 將 判 斷 的 權 柄 賜 給 王 、 將 公 義 賜 給 王 的 兒 子 。
Người sẽ đoán xét dân sự Chúa cách công bình, Xử kẻ khốn cùng cách ngay thẳng.|他 要 按 公 義 審 判 你 的 民 、 按 公 平 審 判 你 的 困 苦 人 。
Nhơn vì sự công bình, các núi và gò nỗng Sẽ đem bình an đến cho dân sự.|大 山 小 山 、 都 要 因 公 義 使 民 得 享 平 安 。
Người sẽ đoán xét kẻ khốn cùng của dân, Cứu con cái người thiếu thốn, và chà nát kẻ hà hiếp.|他 必 為 民 中 的 困 苦 人 伸 冤 、 拯 救 窮 乏 之 輩 、 壓 碎 那 欺 壓 人 的 。
Hễ mặt trời, mặt trăng còn có bao lâu, Thì chúng nó kính sợ Chúa bấy lâu, cho đến muôn đời.|太 陽 還 存 、 月 亮 還 在 、 人 要 敬 畏 你 、 直 到 萬 代 。
Vua sẽ giáng xuống như mưa trên cỏ mới phát, Khác nào giọt của trận mưa tưới đất vậy.|他 必 降 臨 、 像 雨 降 在 已 割 的 草 地 上 、 如 甘 霖 滋 潤 田 地 。
Trong ngày vua ấy, người công bình sẽ hưng thạnh, Cũng sẽ có bình an dư dật cho đến chừng mặt trăng không còn.|在 他 的 日 子 義 人 要 發 旺 、 大 有 平 安 、 好 像 月 亮 長 存 。
Người sẽ quản hạt từ biển nầy tới biển kia, Từ sông cho đến cùng trái đất.|他 要 執 掌 權 柄 、 從 這 海 直 到 那 海 、 從 大 河 直 到 地 極 。
