
					I Cô-rinh-tô 1				|
Hay là chỉ một tôi với Ba-na-ba không có phép được khỏi làm việc?|獨 有 我 與 巴 拿 巴 沒 有 權 柄 不 作 工 麼 。
Vậy thì có ai ăn lương nhà mà đi đánh giặc? Có ai trồng vườn nho mà không ăn trái? Hay là có ai chăn bầy vật mà không dùng sữa nó để nuôi mình?|有 誰 當 兵 、 自 備 糧 餉 呢 ． 有 誰 栽 種 葡 萄 園 、 不 喫 園 裡 的 果 子 呢 ． 有 誰 牧 養 牛 羊 、 不 喫 牛 羊 的 奶 呢 。
Tôi nói vậy, nào phải chỉ theo thói người ta quen nói đâu? Luật pháp há chẳng nói như vậy sao?|我 說 這 話 、 豈 是 照 人 的 意 見 ． 律 法 不 也 是 樣 說 麼 。
Vì chưng có chép trong luật pháp Môi-se rằng: Ngươi chớ khớp miệng con bò đang đạp lúa. Há phải Đức Chúa Trời lo cho bò sao?|就 如 摩 西 的 律 法 記 著 說 、 『 牛 在 場 上 踹 榖 的 時 候 、 不 可 籠 住 他 的 嘴 。 』 難 道 　 神 所 掛 念 的 是 牛 麼 ．
Quả thật Ngài nói câu đó về chúng ta mà có chép rằng ai cày ruộng phải trông cậy mình sẽ có phần mà đạp lúa.|不 全 是 為 我 們 說 的 麼 ． 分 明 是 為 我 們 說 的 ． 因 為 耕 種 的 當 存 著 指 望 去 耕 種 ． 打 場 的 也 當 存 得 糧 的 指 望 去 打 場 。
Nếu chúng tôi đã gieo của thiêng liêng cho anh em, mà muốn thâu lại của vật chất của anh em, thì nào có phải một việc quá lẽ đâu?|我 們 若 把 屬 靈 的 種 子 撒 在 你 們 中 間 、 就 是 從 你 們 收 割 奉 養 肉 身 之 物 、 這 還 算 大 事 麼 。
Người khác còn có quyền ấy trên anh em, huống chi là chúng tôi? Dầu vậy, chúng tôi chẳng từng dùng quyền ấy; nhưng chúng tôi chịu mọi sự, hầu cho khỏi làm ngăn trở Tin Lành của Đấng Christ chút nào.|若 別 人 在 你 們 身 上 有 這 權 柄 、 何 況 我 們 呢 ． 然 而 我 們 沒 有 用 過 這 權 柄 、 倒 凡 事 忍 受 、 免 得 基 督 的 福 音 被 阻 隔 。
Anh em há chẳng biết rằng ai hầu việc thánh thì ăn của dâng trong đền thờ, còn ai hầu việc nơi bàn thờ thì có phần nơi bàn thờ sao?|你 們 豈 不 知 為 聖 事 勞 碌 的 、 就 喫 殿 中 的 物 麼 ． 伺 候 祭 壇 的 、 就 分 領 壇 上 的 物 麼 。
Cũng vậy, Chúa có truyền rằng ai rao giảng Tin Lành thì được nuôi mình bởi Tin Lành.|主 也 是 這 樣 命 定 、 叫 傳 福 音 的 靠 著 福 音 養 生 。
Phần tôi thì chẳng từng dùng quyền ấy chút nào, và viết thơ nầy chẳng phải để đòi quyền ấy lại; vì tôi thà chết còn hơn là chịu ai cất lấy cớ khoe mình nầy đi.|但 這 權 柄 我 全 沒 有 用 過 ． 我 寫 這 話 、 並 非 要 你 們 這 樣 待 我 ． 因 為 我 寧 可 死 、 也 不 叫 人 使 我 所 誇 的 落 了 空 。
Ví bằng tôi rao truyền Tin Lành, tôi chẳng có cớ khoe mình, vì có lẽ cần buộc tôi; còn không rao truyền Tin Lành, thì khốn khó cho tôi thay.|我 傳 福 音 原 沒 有 可 誇 的 ． 因 為 我 是 不 得 已 的 ． 若 不 傳 福 音 、 我 便 有 禍 了 。
Nếu tôi vui lòng làm việc đó, thì được thưởng; lại nếu tôi không vui lòng mà làm, thì cái chức vụ cũng vẫn phó thác cho tôi.|我 若 甘 心 作 這 事 、 就 有 賞 賜 ． 若 不 甘 心 、 責 任 卻 已 經 託 付 我 了 。
Thế thì phần thưởng của tôi là gì? Ay là khi giảng Tin Lành, thì giảng nhưng không, chẳng dùng quyền tôi có như người giảng Tin Lành.|既 是 這 樣 、 我 的 賞 賜 是 甚 麼 呢 ． 就 是 我 傳 福 音 的 時 候 、 叫 人 不 花 錢 得 福 音 、 免 得 用 盡 我 傳 福 音 的 權 柄 。
Vả, tôi đối với ai vẫn cũng là được tự do, mà tôi đành phục mọi người, hầu cho tôi được nhiều người hơn.|我 雖 是 自 由 的 、 無 人 轄 管 、 然 而 我 甘 心 作 了 眾 人 的 僕 人 、 為 要 多 得 人 。
Với người Giu-đa, tôi ở như một người Giu-đa, hầu được những người Giu-đa; với những người dưới quyền luật pháp, , tôi cũng ở như kẻ dưới quyền luật pháp, hầu được những người dưới quyền luật pháp;|向 猶 太 人 、 我 就 作 猶 太 人 、 為 要 得 猶 太 人 ． 向 律 法 以 下 的 人 、 我 雖 不 在 律 法 以 下 、 還 是 作 律 法 以 下 的 人 、 為 要 得 律 法 以 下 的 人 。
với những người không luật pháp, , song tôi cũng ở như người không luật pháp.|向 沒 有 律 法 的 人 、 我 就 作 沒 有 律 法 的 人 、 為 要 得 沒 有 律 法 的 人 ． 其 實 我 在 　 神 面 前 、 不 是 沒 有 律 法 、 在 基 督 面 前 、 正 在 律 法 之 下 。
Tôi ở yếu đuối với những người yếu đuối, hầu được những người yếu đuối; tôi đã trở nên mọi cách cho mọi người, để cứu chuộc được một vài người không cứ cách nào.|向 軟 弱 的 人 、 我 就 作 軟 弱 的 人 、 為 要 得 軟 弱 的 人 ． 向 甚 麼 樣 的 人 、 我 就 作 甚 麼 樣 的 人 ． 無 論 如 何 、 總 要 救 些 人 。
Mọi điều tôi làm, thì làm vì cớ Tin Lành, hầu cho tôi cũng có phần trong đó.|凡 我 所 行 的 、 都 是 為 福 音 的 緣 故 、 為 要 與 人 同 得 這 福 音 的 好 處 。
Anh em há Chúa Giê-xu biết rằng trong cuộc chạy thi nơi trường đua, hết thảy đều chạy, nhưng chỉ một người được thưởng sao? Vậy, anh em hãy chạy cách nào cho được thưởng.|豈 不 知 在 場 上 賽 跑 的 都 跑 、 但 得 獎 賞 的 只 有 一 人 ． 你 們 也 當 這 樣 跑 、 好 叫 你 們 得 著 獎 賞 。
Hết thảy những người đua tranh, tự mình chịu lấy mọi sự kiêng kỵ, họ chịu vậy để được mão triều thiên hay hư nát. Nhưng chúng ta chịu vậy để được mão triều thiên không hay hư nát.|凡 較 力 爭 勝 的 、 諸 事 都 有 節 制 ． 他 們 不 過 是 要 得 能 壞 的 冠 冕 ． 我 們 卻 是 要 得 不 能 壞 的 冠 冕 。
Vậy thì, tôi chạy, chẳng phải là chạy bá vơ; tôi đánh, chẳng phải là đánh gió;|所 以 我 奔 跑 、 不 像 無 定 向 的 ． 我 鬥 拳 、 不 像 打 空 氣 的 。
song tôi đãi thân thể mình cách nghiêm khắc, bắt nó phải phục, e rằng sau khi tôi đã giảng dạy kẻ khác, mà chính mình phải bị bỏ chăng.|我 是 攻 克 己 身 、 叫 身 服 我 ． 恐 怕 我 傳 福 音 給 別 人 、 自 己 反 倒 被 棄 絕 了 。

					I Cô-rinh-tô 10				|
						哥林多前書 10					
Vả, hỡi anh em, tôi chẳng muốn cho anh em không biết tổ phụ chúng ta đều đã ở dưới đám mây, đi ngang qua biển,|弟 兄 們 、 我 不 願 意 你 們 不 曉 得 、 我 們 的 祖 宗 從 前 都 在 雲 下 、 都 從 海 中 經 過 ．
chịu Môi-se làm phép báp tem trong đám mây và dưới biển,|都 在 雲 裡 海 裡 受 洗 歸 了 摩 西 ．
ăn một thứ ăn thiêng liêng;|並 且 都 喫 了 一 樣 的 靈 食 ．
và uống một thứ uống thiêng liêng; vì họ uống nơi một hòn đá thiêng liêng theo mình và đá ấy tức là Đấng Christ.|也 都 喝 了 一 樣 的 靈 水 ． 所 喝 的 是 出 於 隨 著 他 們 的 靈 磐 石 ． 那 磐 石 就 是 基 督 。
Song phần nhiều trong vòng họ không đẹp lòng Đức Chúa Trời, nên đã ngã chết nơi đồng vắng.|但 他 們 中 間 、 多 半 是 　 神 不 喜 歡 的 人 ． 所 以 在 曠 野 倒 斃 。
Mọi điều đó đã xảy ra để làm gương cho chúng ta, hầu cho chúng ta chớ buông mình theo tình dục xấu, như chính tổ phụ chúng ta đã buông mình.|這 些 事 都 是 我 們 的 鑑 戒 、 叫 我 們 不 要 貪 戀 惡 事 、 像 他 們 那 樣 貪 戀 的 。
Cũng đừng thờ hình tượng nữa, như mấy người trong họ, theo lời chép rằng: Dân sự ngồi mà ăn uống, rồi đứng dậy mà chơi dỡn.|也 不 要 拜 偶 像 、 像 他 們 有 人 拜 的 ． 如 經 上 所 記 、 『 百 姓 坐 下 喫 喝 、 起 來 玩 耍 。 』
Chúng ta chớ dâm dục như mấy người trong họ đã dâm dục, mà trong một ngày có hai vạn ba ngàn người bị bỏ mạng.|我 們 也 不 要 行 姦 淫 、 像 他 們 有 人 行 的 、 一 天 就 倒 斃 了 二 萬 三 千 人 。
Cũng chớ thử thách Chúa như mấy người trong họ đã thử thách mà bị loài rắn hủy diệt.|也 不 要 試 探 主 、 〔 主 有 古 卷 作 基 督 〕 像 他 們 有 人 試 探 的 、 就 被 蛇 所 滅 。
Lại cũng chớ lằm bằm như nấy người trong họ đã lằm bằm mà bị chết bởi kẻ hủy diệt.|你 們 也 不 要 發 怨 言 、 像 他 們 有 發 怨 言 的 、 就 被 滅 命 的 所 滅 。
Những sự ấy có nghĩa hình bóng, và họ đã lưu truyền để khuyên bảo chúng ta là kẻ ở gần cuối cùng các đời.|他 們 遭 遇 這 些 事 、 都 要 作 為 鑑 戒 ． 並 且 寫 在 經 上 、 正 是 警 戒 我 們 這 末 世 的 人 。
Vậy thì, ai tưởng mình đứng, hãy giữ kẻo ngã.|所 以 自 己 以 為 站 得 穩 的 、 須 要 謹 慎 、 免 得 跌 倒 。
Những sự cám dỗ đến cho anh em, chẳng có sự nào quá sức loài người. Đức Chúa Trời là thành tín, Ngài chẳng hề cho anh em bị cám dỗ quá sức mình đâu; nhưng trong sự cám dỗ, Ngài cũng mở đàng cho ra khỏi, để anh em có thể chịu được.|你 們 所 遇 見 的 試 探 、 無 非 是 人 所 能 受 的 、 　 神 是 信 實 的 、 必 不 叫 你 們 受 試 探 過 於 所 能 受 的 ． 在 受 試 探 的 時 候 、 總 要 給 你 們 開 一 條 出 路 、 叫 你 們 能 忍 受 得 住 。
Hỡi kẻ yêu dấu của tôi, vậy nên hãy tránh khỏi sự thờ lạy hình tượng.|我 所 親 愛 的 弟 兄 阿 、 你 們 要 逃 避 拜 偶 像 的 事 。
Tôi nói với anh em cũng như nói với kẻ thông minh; chính anh em hãy suy xét điều tôi nói.|我 好 像 對 明 白 人 說 的 、 你 們 要 審 察 我 的 話 。
Cái chén phước lành mà chúng ta chúc phước, há chẳng phải là thông với huyết của Đấng Christ sao? Cái bánh mà chúng ta bẻ, há chẳng phải là thông với thân thể của Đấng Christ sao?|我 們 所 祝 福 的 杯 、 豈 不 是 同 領 基 督 的 血 麼 ． 我 們 所 擘 開 的 餅 、 豈 不 是 同 領 基 督 的 身 體 麼 。
Vì chỉ có một cái bánh, chúng ta dầu nhiều, cũng chỉ một thân thể; bởi chưng chúng ta đều có phần chung trong một cái bánh.|我 們 雖 多 、 仍 是 一 個 餅 、 一 個 身 體 ． 因 為 我 們 都 是 分 受 這 一 個 餅 。
Hãy xem dân Y-sơ-ra-ên theo phần xác; những kẻ ăn thịt con sinh tế, há không thông đồng với bàn thờ sao?|你 們 看 屬 肉 體 的 以 色 列 人 ． 那 喫 祭 物 的 、 豈 不 是 在 祭 壇 上 有 分 麼 。
Nói vậy có ý chi? Của cùng thần tượng có ra gì chẳng?|我 是 怎 麼 說 呢 ． 豈 是 說 祭 偶 像 之 物 算 得 甚 麼 呢 。 或 說 偶 像 算 得 甚 麼 呢 。
Chắc là không; nhưng đồ người ngoại đạo cúng tế là cúng tế các quỉ, chớ không phải cúng tế Đức Chúa Trời. Vậy, tôi không muốn anh em thông đồng với các quỉ.|我 乃 是 說 、 外 邦 人 所 獻 的 祭 、 是 祭 鬼 、 不 是 祭 　 神 ． 我 不 願 意 你 們 與 鬼 相 交 。
Anh em chẳng có thể uống chén của Chúa và cũng uống chén của các quỉ; chẳng có thể dự tiệc của Chúa, lại dự tiệc của các quỉ.|你 們 不 能 喝 主 的 杯 、 又 喝 鬼 的 杯 ． 不 能 喫 主 的 筵 席 、 又 喫 鬼 的 筵 席 。
Hay là chúng ta muốn trêu lòng Chúa ghen chăng? Chúng ta há mạnh hơn Ngài sao?|我 們 可 惹 主 的 憤 恨 麼 ． 我 們 比 他 還 有 能 力 麼 。
Mọi sự đều có phép làm, nhưng chẳng phải mọi sự đều có ích; mọi sự đều có phép làm, nhưng chẳng phải mọi sự đều làm gương tốt.|凡 事 都 可 行 ． 但 不 都 有 益 處 。 凡 事 都 可 行 ． 但 不 都 造 就 人 。
Chớ ai tìm lợi riêng cho mình, nhưng ai nấy hãy tìm cho kẻ khác.|無 論 何 人 、 不 要 求 自 己 的 益 處 、 乃 要 求 別 人 的 益 處 。
Phàm vật gì bán ở hàng thịt, hãy ăn, đừng vì cớ lương tâm mà hỏi chi về việc đó;|凡 市 上 所 賣 的 、 你 們 只 管 喫 、 不 要 為 良 心 的 緣 故 問 甚 麼 話 ．
bởi chưng đất và mọi vật chứa trong đất đều thuộc về Chúa.|因 為 地 和 其 中 所 充 滿 的 、 都 屬 乎 主 。
Nếu có người chẳng tin mời anh em, và anh em muốn đi, thì không cứ họ dọn ra đồ gì, hãy ăn đi hết thảy, đừng vì cớ lương tâm mà hỏi chi hết.|倘 有 一 個 不 信 的 人 請 你 們 赴 席 、 你 們 若 願 意 去 、 凡 擺 在 你 們 面 前 的 、 只 管 喫 、 不 要 為 良 心 的 緣 故 問 甚 麼 話 。
Song nếu có ai nói với anh em rằng: Cái nầy đã dâng làm của cúng, thì chớ ăn, vì cớ người đã bảo trước mình, lại vì cớ lương tâm:|若 有 人 對 你 們 說 、 這 是 獻 過 祭 的 物 、 就 要 為 那 告 訴 你 們 的 人 、 並 為 良 心 的 緣 故 、 不 喫 。
tôi chẳng nói về lương tâm anh em, nhưng về lương tâm người đó. Vả, vì cớ nào sự tự do tôi phải bị lương tâm kẻ khác đoán xét?|我 說 的 良 心 、 不 是 你 的 、 乃 是 他 的 ． 我 這 自 由 、 為 甚 麼 被 別 人 的 良 心 論 斷 呢 。
Nếu tôi tạ ơn rồi ăn, cớ nào vì một bữa ăn đã cảm ơn mà lại bị chê bai?|我 若 謝 恩 而 喫 、 為 甚 麼 因 我 謝 恩 的 物 被 人 毀 謗 呢 。
Vậy, anh em hoặc ăn, hoặc uống, hay là làm sự chi khác, hãy vì sự vinh hiển Đức Chúa Trời mà làm.|所 以 你 們 或 喫 或 喝 、 無 論 作 甚 麼 、 都 要 為 榮 耀 　 神 而 行 。
Đừng làm gương xấu cho người Giu-đa, người Gờ-réc, hay là Hội thánh của Đức Chúa Trời;|不 拘 是 猶 太 人 、 是 希 利 尼 人 、 是 　 神 的 教 會 、 你 們 都 不 要 使 他 跌 倒 ．
hãy như tôi gắng sức đẹp lòng mọi người trong mọi việc, chẳng tìm ích lợi riêng cho mình, nhưng cho phần nhiều người, để họ được cứu.|就 好 像 我 凡 事 都 叫 眾 人 喜 歡 、 不 求 自 己 的 益 處 、 只 求 眾 人 的 益 處 、 叫 他 們 得 救 。

					I Cô-rinh-tô 11				|
						哥林多前書 11					
Hãy bắt chước tôi, cũng như chính mình tôi bắt chước Đấng Christ vậy.|你 們 該 效 法 我 、 像 我 效 法 基 督 一 樣 。
Tôi khen anh em vì hay nhớ đến tôi trong mọi dịp, và lấy lòng trung tín mà giữ những điều tôi đã dạy dỗ anh em.|我 稱 讚 你 們 、 因 你 們 凡 事 記 念 我 、 又 堅 守 我 所 傳 給 你 們 的 。
Dầu vậy, tôi muốn anh em biết Đấng Christ là đầu mọi người; người đờn ông là đầu người đờn bà; và Đức Chúa Trời là đầu của Đấng Christ.|我 願 意 你 們 知 道 、 基 督 是 各 人 的 頭 ． 男 人 是 女 人 的 頭 、 　 神 是 基 督 的 頭 。
Phàm người đờn ông cầu nguyện hoặc giảng đạo mà trùm đầu lại, thì làm nhục đầu mình.|凡 男 人 禱 告 或 是 講 道 、 〔 講 道 或 作 說 豫 言 下 同 〕 若 蒙 著 頭 、 就 羞 辱 自 己 的 頭 。
Nhưng phàm người đờn bà cầu nguyện hoặc giảng đạo mà không trùm đầu lại, thì làm nhục đầu mình: thật chẳng khác gì đã cạo đầu vậy.|凡 女 人 禱 告 或 是 講 道 、 若 不 蒙 著 頭 、 就 是 羞 辱 自 己 的 頭 ． 因 為 這 就 如 同 剃 了 頭 髮 一 樣 。
Ví bằng người đờn bà không trùm đầu, thì cũng nên hớt tóc đi. Song nếu người đờn bà lấy sự hớt tóc hoặc cạo đầu làm xấu hổ, thì hãy trùm đầu lại.|女 人 若 不 蒙 著 頭 、 就 該 剪 了 頭 髮 ． 女 人 若 以 剪 髮 剃 髮 為 羞 愧 、 就 該 蒙 著 頭 。
Vả, đờn ông là hình ảnh và sự vinh hiển của Đức Chúa Trời, thì không nên trùm đầu; nhưng đờn bà là sự vinh hiển của đờn ông.|男 人 本 不 該 蒙 著 頭 、 因 為 他 是 　 神 的 形 像 和 榮 耀 、 但 女 人 是 男 人 的 榮 耀 。
Bởi chưng không phải đờn ông ra từ đờn bà, bèn là đờn bà ra từ đờn ông;|起 初 、 男 人 不 是 由 女 人 而 出 ． 女 人 乃 是 由 男 人 而 出 。
không phải đờn ông vì cớ đờn bà mà được dựng nên, bèn là đờn bà vì cớ đờn ông vậy.|並 且 男 人 不 是 為 女 人 所 造 的 ． 女 人 乃 是 為 男 人 造 的 。
Bởi đó, vì cớ các thiên sứ, đờn bà phải có dấu hiệu trên đầu chỉ về quyền phép mình nương cậy.|因 此 、 女 人 為 天 使 的 緣 故 、 應 當 在 頭 上 有 服 權 柄 的 記 號 。
Song trong Chúa thì chẳng phải đờn bà ngoại đờn ông, cũng chẳng phải đờn ông ngoại đờn bà;|然 而 照 主 的 安 排 、 女 也 不 無 男 、 男 也 不 是 無 女 。
vì, như đờn bà đã ra từ đờn ông, thì đờn ông cũng sanh bởi đờn bà, và cả thảy đều ra bởi Đức Chúa Trời.|因 為 女 人 原 是 由 男 人 而 出 、 男 人 也 由 女 人 而 出 ． 但 萬 有 都 是 出 乎 　 神 。
Chính anh em hãy đoán xét điều nầy: đờn bà cầu nguyện Đức Chúa Trời mà không trùm đầu là hiệp lẽ chăng?|你 們 自 己 審 察 、 女 人 禱 告 　 神 、 不 蒙 著 頭 、 是 合 宜 的 麼 。
Chính lẽ tự nhiên há chẳng dạy cho anh em biết đờn ông để tóc dài thì lấy làm hổ thẹn sao?|你 們 的 本 性 不 也 指 示 你 們 、 男 人 若 有 長 頭 髮 、 便 是 他 的 羞 辱 麼 。
Nhưng, nếu đờn bà để tóc dài thì là lịch sự cho mình, và đã ban tóc dài cho người, dường như khăn trùm vậy.|但 女 人 有 長 頭 髮 、 乃 是 他 的 榮 耀 ． 因 為 這 頭 髮 是 給 他 作 蓋 頭 的 。
Bằng có ai muốn cãi lẽ, thì chúng tôi không có thói quen ấy, mà các Hội thánh Đức Chúa Trời cũng không có nữa.|若 有 人 想 要 辯 駁 、 我 們 卻 沒 有 這 樣 的 規 矩 、 　 神 的 眾 教 會 也 是 沒 有 的 。
Trong khi tôi truyền lời cáo dụ nầy, chẳng phải khen anh em, vì sự nhóm lại của anh em không làm cho mình hay hơn mà làm cho mình dở hơn.|我 現 今 吩 咐 你 們 的 話 、 不 是 稱 讚 你 們 ． 因 為 你 們 聚 會 不 是 受 益 、 乃 是 招 損 。
Trước hết, tôi nghe rằng khi anh em có sự nhóm họp Hội thánh, thì sanh ra sự phân rẽ; tôi cũng hơi tin điều đó.|第 一 、 我 聽 說 你 們 聚 會 的 時 候 、 彼 此 分 門 別 類 ． 我 也 稍 微 的 信 這 話 。
Vì chắc trong vòng anh em phải có bè đảng, hầu cho được nhận biết trong anh em những kẻ nào thật là trung thành.|在 你 們 中 間 不 免 有 分 門 結 黨 的 事 、 好 叫 那 些 經 驗 的 人 、 顯 明 出 來 。
Vậy, khi anh em nhóm nhau lại một chỗ, ấy chẳng còn phải là Tiệc thánh của Chúa mà anh em ăn;|你 們 聚 會 的 時 候 、 算 不 得 喫 主 的 晚 餐 ．
bởi vì lúc ngồi ăn, ai cũng nôn nả mà ăn bữa riêng mình, đến nỗi người nọ chịu đói, còn kẻ kia thì quá độ.|因 為 喫 的 時 候 、 各 人 先 喫 自 己 的 飯 、 甚 至 這 個 飢 餓 、 那 個 酒 醉 。
Anh em há chẳng có nhà để ăn uống sao? Hay là anh em khinh bỉ Hội thánh của Đức Chúa Trời, muốn làm cho những kẻ không có gì phải hổ thẹn? Tôi nên nói chi với anh em? Có nên khen anh em không? Trong việc nầy tôi chẳng khen đâu.|你 們 要 喫 喝 、 難 道 沒 有 家 麼 ． 還 是 藐 視 　 神 的 教 會 、 叫 那 沒 有 的 羞 愧 呢 。 我 向 你 們 可 怎 麼 說 呢 ． 可 因 此 稱 讚 你 們 麼 ． 我 不 稱 讚 。
Vả, tôi có nhận nơi Chúa điều tôi đã dạy cho anh em: ấy là Đức Chúa Jêsus, trong đêm Ngài bị nộp, lấy bánh,|我 當 日 傳 給 你 們 的 、 原 是 從 主 領 受 的 、 就 是 主 耶 穌 被 賣 的 那 一 夜 、 拿 起 餅 來 、
tạ ơn, rồi bẻ ra mà phán rằng: Nầy là thân thể ta, vì các ngươi mà phó cho; hãy làm điều nầy để nhớ ta.|祝 謝 了 、 就 擘 開 、 說 、 這 是 我 的 身 體 、 為 你 們 捨 的 ． 〔 捨 有 古 卷 作 擘 開 〕 你 們 應 當 如 此 行 、 為 的 是 記 念 我 。
Cũng một lẽ ấy, sai khi ăn bữa tối rồi, Ngài lấy chén và phán rằng: Chén nầy là sự giao ước mới trong huyết ta; hễ khi nào các ngươi uống, hãy làm điều nầy để nhớ ta.|飯 後 、 也 照 樣 拿 起 杯 來 、 說 、 這 杯 是 用 我 的 血 所 立 的 新 約 ． 你 們 每 逢 喝 的 時 候 、 要 如 此 行 、 為 的 是 記 念 我 。
Ay vậy, mỗi lần anh em ăn bánh nầy, uống chén nầy, thì rao sự chết của Chúa cho tới lúc Ngài đến.|你 們 每 逢 喫 這 餅 、 喝 這 杯 、 是 表 明 主 的 死 、 直 等 到 他 來 。
Bởi đó, ai ăn bánh hoặc uống chén của Chúa cách không xứng đáng, thì sẽ mắc tội với thân và huyết của Chúa.|所 以 無 論 何 人 、 不 按 理 喫 主 的 餅 、 喝 主 的 杯 、 就 是 干 犯 主 的 身 主 的 血 了 。
Vậy mỗi người phải tự xét lấy mình, và như thế mới ăn bánh uống chén ấy;|人 應 當 自 己 省 察 、 然 後 喫 這 餅 、 喝 這 杯 。
vì người nào không phân biệt thân Chúa mà ăn bánh uống chén đó, tức là ăn uống sự xét đoán cho mình.|因 為 人 喫 喝 、 若 不 分 辨 是 主 的 身 體 、 就 是 喫 喝 自 己 的 罪 了 。
Ay vì cớ đó mà trong anh em có nhiều kẻ tật nguyền, đau ốm, và có lắm kẻ ngủ.|因 此 、 在 你 們 中 間 有 好 些 軟 弱 的 、 與 患 病 的 、 死 的 也 不 少 。 〔 死 原 文 作 睡 〕
Nếu chúng ta biết xét đoán lấy mình, thì khỏi bị xét đoán.|我 們 若 是 先 分 辨 自 己 、 就 不 至 於 受 審 。 ”
Song khi chúng ta bị Chúa xét đoán, thì bị Ngài sửa phạt, hầu cho khỏi bị án làm một với người thế gian.|我 們 受 審 的 時 候 、 乃 是 被 主 懲 治 ． 免 得 我 們 和 世 人 一 同 定 罪 。
Hỡi anh em, vậy thì lúc anh em hội lại để ăn chung với nhau, hãy chờ đợi nhau.|所 以 我 弟 兄 們 、 你 們 聚 會 喫 的 時 候 、 要 彼 此 等 待 。
Ví bằng có ai đói, hãy ăn tại nhà mình, hầu cho anh em không nhóm lại để mà chuốc lấy sự đoán xét. Còn các việc khác, lúc tôi đến sẽ đoán định.|若 有 人 飢 餓 、 可 以 在 家 裡 先 喫 ． 免 得 你 們 聚 會 自 己 取 罪 。 其 餘 的 事 、 我 來 的 時 候 再 安 排 。

					I Cô-rinh-tô 12				|
						哥林多前書 12					
Hỡi anh em, tôi không muốn anh em chẳng biết về các sự ban cho thiêng liêng.|弟 兄 們 、 論 到 屬 靈 的 恩 賜 、 我 不 願 意 你 們 不 明 白 。
Anh em biết khi mình còn là người ngoại đạo, bị khuyên dỗ hướng về các thần tượng câm, tùy ý người ta dẫn dụ mình.|你 們 作 外 邦 人 的 時 候 、 隨 事 被 牽 引 受 迷 惑 、 去 服 事 那 啞 吧 偶 像 ． 這 是 你 們 知 道 的 。
Bởi đó, tôi tỏ cùng anh em, chẳng ai cảm Thánh Linh của Đức Chúa Trời, mà nói rằng: Đức Chúa Jêsus đáng nguyền rủa! Nếu không cảm Đức Thánh Linh, cũng chẳng ai xưng Đức Chúa Jêsus là Chúa!|所 以 我 告 訴 你 們 、 被 　 神 的 靈 感 動 的 、 沒 有 說 耶 穌 是 可 咒 詛 的 ． 若 不 是 被 聖 靈 感 動 的 、 也 沒 有 能 說 耶 穌 是 主 的 。
Vả, có các sự ban cho khác nhau, nhưng chỉ có một Đức Thánh Linh.|恩 賜 原 有 分 別 、 聖 靈 卻 是 一 位 。
Có các chức vụ khác nhau, nhưng chỉ có một Chúa.|職 事 也 有 分 別 、 主 卻 是 一 位 。
Có các việc làm khác nhau, nhưng chỉ có một Đức Chúa Trời, là Đấng làm mọi việc trong mọi người.|功 用 也 有 分 別 、 　 神 卻 是 一 位 、 在 眾 人 裡 面 運 行 一 切 的 事 。
Đức Thánh Linh tỏ ra trong mỗi một người, cho ai nấy đều được sự ích chung.|聖 靈 顯 在 各 人 身 上 、 是 叫 人 得 益 處 。
Vả, người nầy nhờ Đức Thánh Linh, được lời nói khôn ngoan; kẻ kia nhờ một Đức Thánh Linh ấy, cũng được lời nói có tri thức.|這 人 蒙 聖 靈 賜 他 智 慧 的 言 語 ． 那 人 也 蒙 這 位 聖 靈 賜 他 知 識 的 言 語 ．
Bởi một Đức Thánh Linh, cho người nầy được đức tin; cũng bởi một Đức Thánh Linh ấy, cho kẻ kia được ơn chữa tật bịnh;|又 有 一 人 蒙 這 位 聖 靈 賜 他 信 心 ． 還 有 一 人 蒙 這 位 聖 靈 賜 他 醫 病 的 恩 賜 ．
người thì được làm phép lạ; kẻ thì được nói tiên tri; người thì được phân biệt các thần; kẻ thì được nói nhiều thứ tiếng khác nhau, người thì được thông giải các thứ tiếng ấy.|又 叫 一 人 能 行 異 能 ． 又 叫 一 人 能 作 先 知 ． 又 叫 一 人 能 辨 別 諸 靈 ． 又 叫 一 人 能 說 方 言 ． 又 叫 一 人 能 繙 方 言 。
Mọi điều đó là công việc của đồng một Đức Thánh Linh mà thôi, theo ý Ngài muốn, phân phát sự ban cho riêng cho mỗi người.|這 一 切 都 是 這 位 聖 靈 所 運 行 、 隨 己 意 分 給 各 人 的 。
Vả, như thân là một, mà có nhiều chi thể, và như các chi thể của thân dầu có nhiều, cũng chỉ hiệp thành một thân mà thôi, Đấng Christ khác nào như vậy.|就 如 身 子 是 一 個 、 卻 有 許 多 肢 體 、 而 且 肢 體 雖 多 、 仍 是 一 個 身 子 ． 基 督 也 是 這 樣 。
Vì chưng chúng ta hoặc người Giu-đa, hoặc người Gờ-réc, hoặc tôi mọi, hoặc tự chủ, đều đã chịu phép báp-tem chung một Thánh Linh để hiệp làm một thân; và chúng tôi đều đã chịu uống chung một Thánh Linh nữa.|我 們 不 拘 是 猶 太 人 、 是 希 利 尼 人 、 是 為 奴 的 、 是 自 主 的 、 都 從 一 位 聖 靈 受 洗 、 成 了 一 個 身 體 ． 飲 於 一 位 聖 靈 。
