
					Phục Truyền Luật Lệ 1				|
Ngươi phải theo sự công bình cách trọn vẹn, để ngươi được sống và nhận lấy xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi.|你 要 追 求 至 公 、 至 義 、 好 叫 你 存 活 、 承 受 耶 和 華 你 　 神 所 賜 你 的 地 。
Gần bên bàn thờ mà ngươi sẽ lập cho Giê-hô-va Đức Chúa Trời ngươi, chớ dựng lên hình tượng của thần A-sê-ra bằng thứ cây nào.|你 為 耶 和 華 你 的 　 神 築 壇 、 不 可 在 壇 旁 栽 甚 麼 樹 木 、 作 為 木 偶 。
Cũng chẳng nên dựng lên một trụ thờ nào: Giê-hô-va Đức Chúa Trời ngươi lấy làm ghét các vật ấy.|也 不 可 為 自 己 設 立 柱 像 、 這 是 耶 和 華 你 　 神 所 恨 惡 的 。

					Phục Truyền Luật Lệ 17				|
						申命記 17					
Ngươi chớ dâng cho Giê-hô-va Đức Chúa Trời ngươi con bò đực, hoặc con chiên có tì vít, hay một tật chi; vì ấy là một sự gớm ghiếc cho Giê-hô-va Đức Chúa Trời ngươi.|凡 有 殘 疾 、 或 有 甚 麼 惡 病 的 牛 羊 、 你 都 不 可 獻 給 耶 和 華 你 的 　 神 、 因 為 這 是 耶 和 華 你 　 神 所 憎 惡 的 。
Khi ở giữa ngươi, trong một thành nào mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi, có một người nam hay nữ làm điều ác trước mặt Giê-hô-va Đức Chúa Trời ngươi, vi phạm giao ước Ngài,|在 你 們 中 間 、 在 耶 和 華 你 　 神 所 賜 你 的 諸 城 中 、 無 論 那 座 城 裡 、 若 有 人 、 或 男 、 或 女 、 行 耶 和 華 你 　 神 眼 中 看 為 惡 的 事 、 違 背 了 他 的 約 、
đi hầu việc và quì lạy các thần khác, hoặc mặt trời, mặt trăng, hay là cả thiên binh, tức là điều ta không có dạy biểu;|去 事 奉 敬 拜 別 神 、 或 拜 日 頭 、 或 拜 月 亮 、 或 拜 天 象 、 是 主 不 曾 吩 咐 的 ．
khi điều đó đem học cho ngươi hay, thì phải tra hỏi kỹ càng, và nếu điều người ta nói là thật, và quả quyết có một sự gớm ghê dường ấy đã phạm trong Y-sơ-ra-ên,|有 人 告 訴 你 、 你 也 聽 見 了 、 就 要 細 細 的 探 聽 、 果 然 是 真 、 準 有 這 可 憎 惡 的 事 、 行 在 以 色 列 中 、
thì ngươi phải dẫn người nam hay nữ đã làm việc ác đó đến cửa thành, ném đá cho chúng nó chết.|你 就 要 將 行 這 惡 事 的 男 人 、 或 女 人 、 拉 到 城 門 外 、 用 石 頭 將 他 打 死 。
Cứ theo lời của hai hoặc ba người chứng mới xử tử kẻ đáng bị chết; nhưng cứ lời của một người chứng không đủ xử tử người.|要 憑 兩 三 個 人 的 口 作 見 證 、 將 那 當 死 的 人 治 死 、 不 可 憑 一 個 人 的 口 作 見 證 、 將 他 治 死 。
Tay của các người chứng phải tra vào mình nó đầu hết, đặng làm cho nó chết, kế sau tay của cả dân sự. Như vậy, ngươi sẽ cất kẻ hung ác khỏi giữa mình.|見 證 人 要 先 下 手 、 然 後 眾 民 也 下 手 、 將 他 治 死 ． 這 樣 、 就 把 那 惡 從 你 們 中 間 除 掉 。
Khi nào trong thành mình có một sự tranh tụng, hoặc vì đổ huyết, hoặc vì giành xé, hay là vì thương tích, mà ngươi phân xử lấy làm khó quá, thì phải đứng dậy, đi lên chỗ mà Giê-hô-va Đức Chúa Trời ngươi sẽ chọn,|你 城 中 若 起 了 爭 訟 的 事 、 或 因 流 血 、 或 因 爭 競 、 或 因 毆 打 、 是 你 難 斷 的 案 件 、 你 就 當 起 來 、 往 耶 和 華 你 　 神 所 選 擇 的 地 方 、
đến gần những thầy tế lễ về chi phái Lê-vi, cùng người đang khi ấy làm quan án, mà hỏi han họ; họ sẽ tỏ cho mình biết sự phán xét đáng định.|去 見 祭 司 利 未 人 、 並 當 時 的 審 判 官 、 求 問 他 們 、 他 們 必 將 判 語 指 示 你 。
Ngươi phải làm y theo lời họ tỏ dạy cho mình tại nơi Đức Giê-hô-va sẽ chọn, và khá cẩn thận làm theo mọi lời dạy của họ.|他 們 在 耶 和 華 所 選 擇 的 地 方 指 示 你 的 判 語 、 你 必 照 著 他 們 所 指 教 你 的 一 切 話 、 謹 守 遵 行 ．
Phải làm theo luật pháp họ dạy cho, và sự phán xét họ giảng ra, chớ xây về bên hữu hay bên tả mà bỏ các điều giảng của họ.|要 按 他 們 所 指 教 你 的 律 法 、 照 他 們 所 斷 定 的 去 行 、 他 們 所 指 示 你 的 判 語 、 你 不 可 偏 離 左 右 。
Song người nào ở cách kiêu ngạo, không khứng vâng theo thầy tế lễ đứng tại đó đặng hầu việc Giê-hô-va Đức Chúa Trời ngươi, hay là không vâng quan án, thì người đó phải chết, và ngươi sẽ cất sự ác khỏi giữa Y-sơ-ra-ên.|若 有 人 擅 敢 不 聽 從 那 侍 立 在 耶 和 華 你 　 神 面 前 的 祭 司 、 或 不 聽 從 審 判 官 、 那 人 就 必 治 死 ． 這 樣 、 便 將 那 惡 從 以 色 列 中 除 掉 。
Cả dân sự sẽ nghe điều ấy và bắt sợ, không còn buông theo sự kiêu ngạo nữa.|眾 百 姓 都 要 聽 見 害 怕 、 不 再 擅 敢 行 事 。
Khi ngươi đã vào xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho, được nhận lấy và ở tại xứ đó rồi, nếu ngươi nói: Tôi sẽ lập một vua lên cai trị tôi, như các dân tộc chung quanh,|到 了 耶 和 華 你 　 神 所 賜 你 的 地 、 得 了 那 地 、 居 住 的 時 候 、 若 說 、 我 要 立 王 治 理 我 、 像 四 圍 的 國 一 樣 。
thì khá lập một vua lên cai trị ngươi, mà Giê-hô-va Đức Chúa Trời ngươi sẽ chọn; phải lập lên một vua thuộc về anh em ngươi; chớ nên lập một người ngoại bang lên, không phải anh em ngươi.|你 總 要 立 耶 和 華 你 　 神 所 揀 選 的 人 為 王 ． 必 從 你 弟 兄 中 立 一 人 、 不 可 立 你 弟 兄 以 外 的 人 為 王 。
Song vua ấy chẳng nên lo cho có nhiều ngựa, chớ vì muốn thêm nhiều ngựa mà dẫn dân sự trở lại xứ Ê-díp-tô; bởi Đức Giê-hô-va đã phán cùng các ngươi rằng: Các ngươi sẽ chẳng trở về đường đó nữa.|只 是 王 不 可 為 自 己 加 添 馬 匹 、 也 不 可 使 百 姓 回 埃 及 去 、 為 要 加 添 他 的 馬 匹 、 因 耶 和 華 曾 吩 咐 你 們 說 、 不 可 再 回 那 條 路 去 。
Vua cũng không nên kén nhiều phi tần, e lòng người trở xấu xa; lại chẳng nên thâu góp nhiều bạc vàng.|他 也 不 可 為 自 己 多 立 妃 嬪 、 恐 怕 他 的 心 偏 邪 ． 也 不 可 為 自 己 多 積 金 銀 。
Vua khi tức vị, vua phải chiếu theo luật pháp nầy mà những thầy tế lễ về dòng Lê-vi giữ, chép một bản cho mình.|他 登 了 國 位 、 就 要 將 祭 司 利 未 人 面 前 的 這 律 法 書 、 為 自 己 抄 錄 一 本 、
Bản ấy phải ở bên vua trọn đời, vua phải đọc ở trong, để tập biết kính sợ Giê-hô-va Đức Chúa Trời mình, cẩn thận làm theo các lời của luật pháp nầy, và hết thảy điều răn nầy,|存 在 他 那 裡 、 要 平 生 誦 讀 、 好 學 習 敬 畏 耶 和 華 他 的 　 神 、 謹 守 遵 行 這 律 法 書 上 的 一 切 言 語 、 和 這 些 律 例 ．
kẻo lòng vua lướt trên anh em mình, xây về bên hữu hay bên tả, lìa bỏ điều răn nầy, hầu cho vua và con cháu vua được trị vì lâu ngày giữa Y-sơ-ra-ên.|免 得 他 向 弟 兄 心 高 氣 傲 、 偏 左 偏 右 、 離 了 這 誡 命 ． 這 樣 、 他 和 他 的 子 孫 便 可 在 以 色 列 中 在 國 位 上 年 長 日 久 。

					Phục Truyền Luật Lệ 18				|
						申命記 18					
Những thầy tế lễ về dòng Lê-vi, và cả chi phái Lê-vi không có phần, cũng không có sản nghiệp chung với Y-sơ-ra-ên. Chúng sẽ hưởng những của tế lễ dùng lửa dâng cho Đức Giê-hô-va, và cơ nghiệp Ngài, mà nuôi lấy mình.|祭 司 利 未 人 和 利 未 全 支 派 、 必 在 以 色 列 中 無 分 無 業 、 他 們 所 喫 用 的 、 就 是 獻 給 耶 和 華 的 火 祭 、 和 一 切 所 捐 的 。
Vậy, chúng không có phần sản nghiệp giữa anh em mình: Đức Giê-hô-va là cơ nghiệp của họ, y như Ngài đã phán.|他 們 在 弟 兄 中 必 沒 有 產 業 、 耶 和 華 是 他 們 的 產 業 、 正 如 耶 和 華 所 應 許 他 們 的 。
Vả, nầy là phần định mà những thầy tế lễ sẽ có phép lấy trong các lễ vật của dân sự dâng lên, hoặc bằng bò đực hay là chiên: cái chẻo vai, cái hàm, và cái bụng.|祭 司 從 百 姓 所 當 得 的 分 乃 是 這 樣 ． 凡 獻 牛 或 羊 為 祭 的 、 要 把 前 腿 、 和 兩 腮 、 並 脾 胃 給 祭 司 。
Ngươi sẽ cấp cho người của đầu mùa về ngũ cốc, rượu, dầu và lông chiên hớt đầu tiên của ngươi;|初 收 的 五 穀 、 新 酒 、 和 油 、 並 初 剪 的 羊 毛 、 也 要 給 他 。
vì tại trong các chi phái ngươi, Giê-hô-va Đức Chúa Trời ngươi đã chọn thầy tế lễ, để người và các con trai người nhân danh Đức Giê-hô-va chầu chực và phục sự trước mặt Ngài đời đời không dứt.|因 為 耶 和 華 你 的 　 神 、 從 你 各 支 派 中 將 他 揀 選 出 來 、 使 他 和 他 子 孫 、 永 遠 奉 耶 和 華 的 名 侍 立 事 奉 。
Khi một người Lê-vi ở bất luận thành nào chỗ nào tại trong Y-sơ-ra-ên, mà thành tâm đến nơi Đức Giê-hô-va sẽ chọn,|利 未 人 、 無 論 寄 居 在 以 色 列 中 的 那 一 座 城 、 若 從 那 裡 出 來 、 一 心 願 意 到 耶 和 華 所 選 擇 的 地 方 、
và nếu người nhân danh Giê-hô-va Đức Chúa Trời mình, hầu việc như hết thảy anh em mình, là người Lê-vi, vẫn chầu chực tại đó trước mặt Đức Giê-hô-va,|就 要 奉 耶 和 華 他 　 神 的 名 事 奉 、 像 他 眾 弟 兄 利 未 人 侍 立 在 耶 和 華 面 前 事 奉 一 樣 。
thì người sẽ có một phần lương thực bằng phần của các anh em mình, không kể của người có thể bán được về của tổ-nghiệp mình.|除 了 他 賣 祖 父 產 業 所 得 的 以 外 、 還 要 得 一 分 祭 物 與 他 們 同 喫 。
Khi ngươi đã vào xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho; chớ tập bắt chước những sự gớm ghiếc của các dân tộc ở tại đó.|你 到 了 耶 和 華 你 　 神 所 賜 之 地 、 那 些 國 民 所 行 可 憎 惡 的 事 、 你 不 可 學 著 行 。
Ở giữa ngươi chớ nên có ai đem con trai hay con gái mình ngang qua lửa, chớ nên có thầy bói, hoặc kẻ hay xem sao mà bói, thầy phù thủy, thầy pháp,|你 們 中 間 不 可 有 人 使 兒 女 經 火 、 也 不 可 有 占 卜 的 、 觀 兆 的 、 用 法 術 的 、 行 邪 術 的 、
kẻ hay dùng ếm chú, người đi hỏi đồng cốt, kẻ thuật số, hay là kẻ đi cầu cong;|用 迷 術 的 、 交 鬼 的 、 行 巫 術 的 、 過 陰 的 。
vì Đức Giê-hô-va lấy làm gớm ghiếc kẻ làm các việc ấy, và vì các sự gớm ghiếc ấy, nên Giê-hô-va Đức Chúa Trời ngươi đuổi các dân tộc đó khỏi trước mặt ngươi.|凡 行 這 些 事 的 、 都 為 耶 和 華 所 憎 惡 ． 因 那 些 國 民 行 這 可 憎 惡 的 事 、 所 以 耶 和 華 你 的 　 神 將 他 們 從 你 面 前 趕 出 。
Ngươi phải ở trọn vẹn với Giê-hô-va Đức Chúa Trời ngươi.|你 要 在 耶 和 華 你 的 　 神 面 前 作 完 全 人 。
Vì những dân tộc mà ngươi sẽ đuổi đi, nghe theo tà thuật và bói khoa; song về phần ngươi, Giê-hô-va Đức Chúa Trời ngươi không cho phép ngươi làm như vậy.|因 你 所 要 趕 出 的 那 些 國 民 、 都 聽 信 觀 兆 的 、 和 占 卜 的 、 至 於 你 、 耶 和 華 你 的 　 神 從 來 不 許 你 這 樣 行 。
Từ giữa anh em ngươi, Giê-hô-va Đức Chúa Trời ngươi sẽ lập lên một đấng tiên tri như ta; các ngươi khá nghe theo đấng ấy!|耶 和 華 你 的 　 神 要 從 你 們 弟 兄 中 間 、 給 你 興 起 一 位 先 知 像 我 、 你 們 要 聽 從 他 。
Đó là điều chính ngươi đã cầu Giê-hô-va Đức Chúa Trời ngươi, tại Hô-rếp, trong ngày nhóm hiệp, mà rằng: Cầu xin tôi chớ nghe tiếng Giê-hô-va Đức Chúa Trời tôi nữa, và chớ thấy đám lửa hừng nầy nữa, e tôi chết chăng.|正 如 你 在 何 烈 山 大 會 的 日 子 、 求 耶 和 華 你 　 神 一 切 的 話 說 、 求 你 不 再 叫 我 聽 見 耶 和 華 我 　 神 的 聲 音 、 也 不 再 叫 我 看 見 這 大 火 、 免 得 我 死 亡 。
Bấy giờ, Đức Giê-hô-va phán cùng ta rằng: Chúng nó nói có lý;|耶 和 華 就 對 我 說 、 他 們 所 說 的 是 。
ta sẽ lập lên cho chúng một đấng tiên tri như ngươi, thuộc trong anh em chúng, ta sẽ lấy các lời ta để trong miệng người, thì người sẽ nói cho chúng mọi điều ta phán dặn ngươi.|我 必 在 他 們 弟 兄 中 間 、 給 他 們 興 起 一 位 先 知 像 你 、 我 要 將 當 說 的 話 傳 給 他 、 他 要 將 我 一 切 所 吩 咐 的 、 都 傳 給 他 們 。
Bằng có ai không nghe theo lời ta mà đấng tiên tri nhân danh ta nói, thì ta sẽ hạch ai đó.|誰 不 聽 他 奉 我 名 所 說 的 話 、 我 必 討 誰 的 罪 。
Còn kẻ tiên tri có lòng kiêu ngạo, nhân danh ta nói điều chi ta không biểu người nói hay là nhân danh các thần khác mà nói, thì kẻ tiên tri ấy phải chết.|若 有 先 知 擅 敢 託 我 的 名 、 說 我 所 未 曾 吩 咐 他 說 的 話 、 或 是 奉 別 神 的 名 說 話 、 那 先 知 就 必 治 死 。
Nếu ngươi nói trong lòng rằng: Làm sao chúng ta nhìn biết được lời nào Đức Giê-hô-va không có phán?|你 心 裡 若 說 、 耶 和 華 所 未 曾 吩 咐 的 話 我 們 怎 能 知 道 呢 。
Khi kẻ tiên tri nhân danh Đức Giê-hô-va nói, ví bằng lời người nói không xảy đến và không ứng nghiệm, ấy là lời mà Đức Giê-hô-va chẳng có phán. Kẻ tiên tri đó bởi sự kiêu ngạo mà nói ra: chớ sợ người.|先 知 託 耶 和 華 的 名 說 話 、 所 說 的 若 不 成 就 、 也 無 效 驗 、 這 就 是 耶 和 華 所 未 曾 份 咐 的 、 是 那 先 知 擅 自 說 的 、 你 不 要 怕 他 。

					Phục Truyền Luật Lệ 19				|
						申命記 19					
Khi Giê-hô-va Đức Chúa Trời ngươi đã diệt các dân tộc của xứ mà Ngài ban cho ngươi, khi ngươi đã đuổi chúng nó đi, được ở trong các thành và các nhà chúng nó rồi,|耶 和 華 你 　 神 將 列 國 之 民 剪 除 的 時 候 、 耶 和 華 你 　 神 也 將 他 們 的 地 賜 給 你 、 你 接 著 住 他 們 的 城 邑 、 並 他 們 的 房 屋 、
thì phải để riêng ba cái thành giữa xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi nhận lấy.|就 要 在 耶 和 華 你 　 神 所 賜 你 為 業 的 地 上 、 分 定 三 座 城 。
Ngươi phải dọn đường, chia ra làm ba phần địa phận của xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi làm sản nghiệp: ấy hầu cho kẻ sát nhân ẩn núp tại đó.|要 將 耶 和 華 你 　 神 使 你 承 受 為 業 的 地 、 分 為 三 段 、 又 要 豫 備 道 路 使 誤 殺 人 的 、 都 可 以 逃 到 那 裡 去 。
Vả, nầy là cách mà người ta phải đãi kẻ sát nhân ẩn núp tại đó đặng bảo tồn sự sống mình. Nếu ai vì vô ý đánh chết kẻ lân cận mình, không có ganh ghét trước;|誤 殺 人 的 逃 到 那 裡 可 以 存 活 、 定 例 乃 是 這 樣 ． 凡 素 無 仇 恨 、 無 心 殺 了 人 的 、
thí dụ, nếu người đó đi cùng kẻ lân cận mình vào rừng đốn củi, tay người đang giơ rìu ra đốn, rủi lưỡi rìu sút cán trúng nhằm kẻ lân cận, làm cho kẻ ấy bị chết đi, thì người phải chạy ẩn núp mình trong một của ba cái thành nầy, đặng bảo tồn sự sống mình.|就 如 人 與 鄰 舍 同 入 樹 林 砍 伐 樹 木 、 手 拿 斧 子 一 砍 、 本 想 砍 下 樹 木 、 不 料 、 斧 頭 脫 了 把 、 飛 落 在 鄰 舍 身 上 、 以 致 於 死 、 這 人 逃 到 那 些 城 的 一 座 城 、 就 可 以 存 活 ．
Bằng chẳng, kẻ báo thù huyết, vì nóng giận chạy đuổi theo kẻ sát nhân đó, và nếu đường dài quá, theo kịp và đánh người chết đi, mặc dầu người không đáng chết, bởi từ trước người không có ganh ghét kẻ lân cận mình.|免 得 報 血 仇 的 、 心 中 火 熱 追 趕 他 、 因 路 遠 就 追 上 將 他 殺 死 、 其 實 他 不 該 死 、 因 為 他 與 被 殺 的 素 無 仇 恨 。
Vì vậy, ta dặn và phán cùng ngươi rằng: Hãy để riêng ba cái thành.|所 以 我 吩 咐 你 說 、 要 分 定 三 座 城 。
Nếu ngươi cẩn thận làm theo các điều răn nầy mà ta truyền cho ngươi ngày nay, tức là thương mến Giê-hô-va Đức Chúa Trời ngươi, hằng đi theo đường lối Ngài,|耶 和 華 你 　 神 、 若 照 他 向 你 列 祖 所 起 的 誓 、 擴 張 你 的 境 界 、 將 所 應 許 賜 你 列 祖 的 地 、 全 然 給 你 ．
thì Giê-hô-va Đức Chúa Trời ngươi sẽ mở rộng bờ cõi ngươi, y như Ngài đã thề cùng tổ phụ ngươi, và ban cho ngươi cả xứ mà Ngài đã hứa ban cho tổ phụ ngươi, rồi bấy giờ, ngươi phải thêm ba thành nữa vào ba thành trước;|你 若 謹 守 遵 行 我 今 日 所 吩 咐 的 這 一 切 誡 命 、 愛 耶 和 華 你 的 　 神 、 常 常 遵 行 他 的 道 、 就 要 在 這 三 座 城 之 外 、 再 添 三 座 城 ．
hầu cho huyết vô tội không đổ ra giữa xứ mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi làm sản nghiệp, và không có huyết trên mình ngươi.|免 得 無 辜 之 人 的 血 、 流 在 耶 和 華 你 　 神 所 賜 你 為 業 的 地 上 、 流 血 的 罪 就 歸 於 你 。
Nhưng nếu ai ganh ghét kẻ lân cận mình, gài mưu hại người, nổi lên đánh người chết, rồi chạy ẩn núp mình trong một của các thành ấy,|若 有 人 恨 他 的 鄰 舍 、 埋 伏 著 、 起 來 擊 殺 他 、 以 致 於 死 、 便 逃 到 這 些 城 的 一 座 城 ．
thì những trưởng lão của thành kẻ đó, phải sai đi kéo nó ra khỏi nơi, nộp vào tay kẻ báo thù huyết, để nó chết đi.|本 城 的 長 老 就 要 打 發 人 去 、 從 那 裡 帶 出 他 來 、 交 在 報 血 仇 的 手 中 將 他 治 死 。
Mắt ngươi sẽ không thương xót nó; nhưng phải trừ huyết người vô tội khỏi Y-sơ-ra-ên, thì ngươi sẽ được phước.|你 眼 不 可 顧 惜 他 、 卻 要 從 以 色 列 中 除 掉 流 無 辜 血 的 罪 、 使 你 可 以 得 福 。
Ngươi chớ dời mộc giới của kẻ lân cận mình mà các tiên nhân ngươi đã cắm nơi sản nghiệp ngươi sẽ nhận được, tại xứ Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi nhận lấy.|在 耶 和 華 你 　 神 所 賜 你 承 受 為 業 之 地 、 不 可 挪 移 你 鄰 舍 的 地 界 、 那 是 先 人 所 定 的 。
Chứng độc chiếc không đủ cớ định tội cho người nào, bất luận gian ác, tội lỗi nào mà người đã phạm; cứ theo lời của hai hay ba người chứng, thì sự mới định tội được.|人 無 論 犯 甚 麼 罪 、 作 甚 麼 惡 、 不 可 憑 一 個 人 的 口 作 見 證 、 總 要 憑 兩 三 個 人 的 口 作 見 證 、 纔 可 定 案 。
Khi một người chứng dối dấy lên cùng kẻ nào đặng phao tội cho,|若 有 兇 惡 的 見 證 人 起 來 、 見 證 某 人 作 惡 、
thì hai đàng có tranh tụng nhau phải ứng hầu trước mặt Đức Giê-hô-va, trước mặt những thầy tế lễ và quan án làm chức đang thì đó.|這 兩 個 爭 訟 的 人 就 要 站 在 耶 和 華 面 前 、 和 當 時 的 祭 司 、 並 審 判 官 面 前 、
Các quan án phải tra xét kỹ càng, nếu thấy người chứng nầy là chứng dối, đã thưa gian cho anh em mình,|審 判 官 要 細 細 的 查 究 、 若 見 證 人 果 然 是 作 假 見 證 的 、 以 假 見 證 陷 害 弟 兄 、
thì các ngươi phải làm cho hắn như hắn đã toan làm cho anh em mình; vậy, ngươi sẽ cất sự ác khỏi giữa mình.|你 們 就 要 待 他 如 同 他 想 要 待 的 弟 兄 ． 這 樣 就 把 那 惡 從 你 們 中 間 除 掉 。
Còn những người khác hay điều đó, sẽ sợ, không làm sự hung ác như thế ở giữa ngươi nữa.|別 人 聽 見 都 要 害 怕 、 就 不 敢 在 你 們 中 間 再 行 這 樣 的 惡 了 。
Mắt ngươi chớ thương xót: mạng đền mạng, mắt đền mắt, răng đền răng, tay đền tay, chân đền chân.|你 眼 不 可 顧 惜 、 要 以 命 償 命 、 以 眼 還 眼 、 以 牙 還 牙 、 以 手 還 手 、 以 腳 還 腳 。

					Phục Truyền Luật Lệ 20				|
						申命記 20					
Khi nào ngươi ra giao chiến cùng thù nghịch mình, nếu thấy ngựa, xe và binh đông hơn mình, thì chớ sợ; vì Giê-hô-va Đức Chúa Trời ngươi, là Đấng đã khiến ngươi lên khỏi xứ Ê-díp-tô, ở cùng ngươi.|你 出 去 與 仇 敵 爭 戰 的 時 候 、 看 見 馬 匹 、 車 輛 、 並 有 比 你 多 的 人 民 、 不 要 怕 他 們 、 因 為 領 你 出 埃 及 地 的 耶 和 華 你 　 神 與 你 同 在 。
Lúc gần khai chiến, thầy tế lễ sẽ bước tới, nói cùng dân sự₫|你 們 將 要 上 陣 的 時 候 、 祭 司 要 到 百 姓 面 前 宣 告 、
mà rằng: Hỡi Y-sơ-ra-ên, hãy nghe! Ngày nay các ngươi đi giao chiến cùng thù nghịch mình, lòng các ngươi chớ nhát, chớ sợ, chớ run rẩy, và chớ kinh khiếp vì chúng nó;|說 、 以 色 列 人 哪 、 你 們 當 聽 、 你 們 今 日 將 要 與 仇 敵 爭 戰 、 不 要 膽 怯 、 不 要 懼 怕 戰 兢 、 也 不 要 因 他 們 驚 恐 ．
bởi Giê-hô-va Đức Chúa Trời các ngươi là Đấng cùng đi với các ngươi, đặng vì các ngươi đánh kẻ thù nghịch và giải cứu cho.|因 為 耶 和 華 你 們 的 　 神 與 你 們 同 去 、 要 為 你 們 與 仇 敵 爭 戰 、 拯 救 你 們 。
Bấy giờ, các quan trưởng sẽ nói cùng dân sự mà rằng: Ai đã cất một nhà mới, mà chưa khánh thành? Hãy đi trờ về nhà mình, e chết nơi chiến trận, rồi một người khác sẽ khánh thành chăng.|官 長 也 要 對 百 姓 宣 告 說 、 誰 建 造 房 屋 、 尚 未 奉 獻 、 他 可 以 回 家 去 、 恐 怕 他 陣 亡 、 別 人 去 奉 獻 。
Ai đã trồng một vườn nho và chưa hái trái? Hãy đi trở về nhà mình, kẻo chết nơi chiến trận, rồi một người khác sẽ hái trái chăng.|誰 種 葡 萄 園 、 尚 未 用 所 結 的 果 子 、 他 可 以 回 家 去 、 恐 怕 他 陣 亡 、 別 人 去 用 。
Ai đã làm lễ hỏi một người nữ, mà chưa cưới? Hãy đi trở về nhà mình, e chết nơi chiến trận, rồi người khác sẽ cưới nàng chăng.|誰 聘 定 了 妻 、 尚 未 迎 娶 、 他 可 以 回 家 去 、 恐 怕 他 陣 亡 、 別 人 去 娶 。
Các quan trưởng sẽ cứ nói tiếp cùng dân sự mà rằng: Ai là người sợ và nhất? Hãy đi trở về nhà mình, e lòng của anh em mình tán đởm như lòng mình chăng.|官 長 又 要 對 百 姓 宣 告 說 、 誰 懼 怕 膽 怯 、 他 可 以 回 家 去 、 恐 怕 他 弟 兄 的 心 消 化 、 和 他 一 樣 。
Vừa khi các quan trưởng nói xong với dân sự, thì phải lập những tướng làm đầu dân sự.|官 長 對 百 姓 宣 告 完 了 、 就 當 派 軍 長 率 領 他 們 。
Khi ngươi đến gần một cái thành đặng hãm, trước phải giảng hòa cùng nó.|你 臨 近 一 座 城 要 攻 打 的 時 候 、 先 要 對 城 裡 的 民 宣 告 和 睦 的 話 。
Nếu thành đó đáp hòa và mở cửa cho ngươi, thì toàn dân sự ở đó sẽ nạp thuế và phục dịch ngươi.|他 們 若 以 和 睦 的 話 回 答 你 、 給 你 開 了 城 、 城 裡 所 有 的 人 都 要 給 你 效 勞 、 服 事 你 。
Ví bằng thành không khứng hòa, nhưng khai chiến cùng ngươi, bấy giờ ngươi sẽ vây nó.|若 不 肯 與 你 和 好 、 反 要 與 你 打 仗 、 你 就 要 圍 困 那 城 。
Giê-hô-va Đức Chúa Trời ngươi sẽ phó nó vào tay ngươi, rồi ngươi giết hết thảy người nam bằng lưỡi gươm.|耶 和 華 你 的 　 神 、 把 城 交 付 你 手 、 你 就 要 用 刀 殺 盡 這 城 的 男 丁 。
Song ngươi phải thâu cho mình những đàn bà, con trẻ, súc vật, và mọi vật chi ở trong thành, tức là mọi của cướp được. Ngươi sẽ ăn lấy của cướp của quân nghịch mà Giê-hô-va Đức Chúa Trời ngươi, ban cho ngươi.|惟 有 婦 女 、 孩 子 、 牲 畜 、 和 城 內 一 切 的 財 物 、 你 可 以 取 為 自 己 的 掠 物 、 耶 和 華 你 　 神 把 你 仇 敵 的 財 物 賜 給 你 、 你 可 以 喫 用 。
Ngươi phải đối đãi như vậy cùng các thành ở cách xa ngươi, không thuộc về những dân tộc nầy.|離 你 甚 遠 的 各 城 、 不 是 這 些 國 民 的 城 、 你 都 要 這 樣 待 他 。
Nhưng trong các thành của những dân tộc nầy, mà Giê-hô-va Đức Chúa Trời ngươi ban cho ngươi làm sản nghiệp, thì chớ để sống một vật nào biết thở;|但 這 些 國 民 的 城 、 耶 和 華 你 　 神 既 賜 你 為 業 、 其 中 凡 有 氣 息 的 、 一 個 不 可 存 留 、
khá tận diệt dân Hê-tít, dân A-mô-rít, dân Ca-na-an, dân Phê-rê-sít, dân Hê-vít, dân Giê-bu-sít, y như Giê-hô-va Đức Chúa Trời ngươi đã phán dặn,|只 要 照 耶 和 華 你 　 神 所 吩 咐 的 、 將 這 赫 人 、 亞 摩 利 人 、 迦 南 人 、 比 利 洗 人 、 希 未 人 、 耶 布 斯 人 、 都 滅 絕 淨 盡 ．
để chúng nó không dạy các ngươi bắt chước làm theo những sự gớm ghiếc chúng nó đã làm, đặng cúng thờ các thần chúng nó, e các ngươi phạm tội cùng Giê-hô-va Đức Chúa Trời các ngươi chăng.|免 得 他 們 教 導 你 們 學 習 一 切 可 憎 惡 的 事 、 就 是 他 們 向 自 己 神 所 行 的 、 以 致 你 們 得 罪 耶 和 華 你 們 的 　 神 。
