
					Lu-ca 1				|
hầu cho huyết mọi đấng tiên tri đổ ra từ khi sáng thế, cứ dòng dõi nầy mà đòi,|使 創 世 以 來 、 所 流 先 知 血 的 罪 、 都 要 問 在 這 世 代 的 人 身 上 ．
là từ huyết A-bên cho đến huyết Xa-cha-ri đã bị giết giữa khoảng bàn thờ và đền thờ; phải, ta nói cùng các ngươi, sẽ cứ dòng dõi nầy mà đòi huyết ấy.|就 是 從 亞 伯 的 血 起 、 直 到 被 殺 在 壇 和 殿 中 間 撒 迦 利 亞 的 血 為 止 ． 我 實 在 告 訴 你 們 、 這 都 要 問 在 這 世 代 的 人 身 上 。
Khốn cho các ngươi, là thầy dạy luật, vì các ngươi đã đoạt lấy chìa khóa của sự biết, chính mình không vào, mà người khác muốn vào, lại ngăn cấm không cho!|你 們 律 法 師 有 禍 了 ． 因 為 你 們 把 知 識 的 鑰 匙 奪 了 去 ． 自 己 不 進 去 、 正 要 進 去 的 人 、 你 們 也 阻 擋 他 們 。
Khi Đức Chúa Jêsus ra khỏi đó rồi, các thầy thông giáo và người Pha-ra-si bèn ra sức ép Ngài dữ tợn, lấy nhiều câu hỏi khêu chọc Ngài,|耶 穌 從 那 裡 出 來 、 文 士 和 法 利 賽 人 就 極 力 的 催 逼 他 、 引 動 他 多 說 話 ．
và lập mưu để bắt bẻ lời nào từ miệng Ngài nói ra.|私 下 窺 聽 、 要 拿 他 的 話 柄 。

					Lu-ca 12				|
						路加福音 12					
Khi ấy, dân chúng nhóm lại kể hàng ngàn người, đến nỗi giày đạp nhau, Đức Chúa Jêsus mới trước hết phán cùng môn đồ rằng: Hãy giữ mình về men của người Pha-ri-si, là sự giả hình.|這 時 、 有 幾 萬 人 聚 集 、 甚 至 彼 此 踐 踏 、 耶 穌 開 講 、 先 對 門 徒 說 、 你 們 要 防 備 法 利 賽 人 的 酵 、 就 是 假 冒 為 善 。
Chẳng có sự gì giấu mà không phải lộ ra, chẳng có sự gì kín mà không được biết.|掩 蓋 的 事 、 沒 有 不 露 出 來 的 ． 隱 藏 的 事 、 沒 有 不 被 人 知 道 的 。
Vậy nên mọi điều mà các ngươi đã nói nơi tối, sẽ nghe ra nơi sáng; mọi điều mà các ngươi đã nói vào lỗ tai trong buồng kín, sẽ giảng ra trên mái nhà.|因 此 你 們 在 暗 中 所 說 的 、 將 要 在 明 處 被 人 聽 見 ． 在 內 室 附 耳 所 說 的 、 將 要 在 房 上 被 人 宣 揚 。
Ta nói cùng các ngươi, là bạn hữu ta: Đừng sợ kẻ giết xác rồi sau không làm gì được nữa.|我 的 朋 友 、 我 對 你 們 說 、 那 殺 身 體 以 後 、 不 能 再 作 甚 麼 的 、 不 要 怕 他 們 。
Song ta chỉ cho các ngươi biết phải sợ ai: phải sợ Đấng khi đã giết rồi, có quyền bỏ xuống địa ngục; phải ta nói cùng các ngươi, ấy là Đấng các ngươi phải sợ!|我 要 指 示 你 們 當 怕 的 是 誰 ． 當 怕 那 殺 了 以 後 、 又 有 權 柄 丟 在 地 獄 裡 的 ． 我 實 在 告 訴 你 們 、 正 要 怕 他 。
Người ta há chẳng bán năm con chim sẻ giá hai đồng tiền sao? Nhưng Đức Chúa Trời không quên một con nào hết.|五 個 麻 雀 、 不 是 賣 二 分 銀 子 麼 ． 但 在 　 神 面 前 、 一 個 也 不 忘 記 。
Dầu đến tóc trên đầu các ngươi cũng đã đếm cả rồi. Đừng sợ chi, vì các ngươi trọng hơn nhiều chim sẻ.|就 是 你 們 的 頭 髮 也 都 被 數 過 了 ． 不 要 懼 怕 、 你 們 比 許 多 麻 雀 還 貴 重 。
Ta nói cùng các ngươi, ai sẽ xưng ta trước một thiên hạ, thì Con người cũng sẽ xưng họ trước mặt thiên sứ của Đức Chúa Trời.|我 又 告 訴 你 們 、 凡 在 人 面 前 認 我 的 、 人 子 在 　 神 的 使 者 面 前 也 必 認 他 ．
Nhưng ai chối ta trước mặt thiên hạ, thì họ sẽ bị chối trước mặt thiên sứ của Đức Chúa Trời.|在 人 面 前 不 認 我 的 、 人 子 在 　 神 的 使 者 面 前 也 必 不 認 他 。
Ai nói nghịch cùng Con người, thì sẽ được tha; song kẻ nói lộng ngôn đến Đức Thánh Linh, thì không được tha đâu.|凡 說 話 干 犯 人 子 的 、 還 可 得 赦 免 、 惟 獨 褻 瀆 聖 靈 的 、 總 不 得 赦 免 。
Khi người ta đem các ngươi đến nhà hội, trước mặt quan án và quan cai trị, thì chớ lo về nói cách nào để binh vực mình, hoặc nói lời gì;|人 帶 你 們 到 會 堂 、 並 官 府 、 和 有 權 柄 的 人 面 前 、 不 要 思 慮 怎 麼 分 訴 、 說 甚 麼 話 ．
bởi vì chính giờ đó Đức Thánh Linh sẽ dạy các ngươi những lời phải nói.|因 為 正 在 那 時 候 、 聖 靈 要 指 教 你 們 當 說 的 話 。
Bấy giờ, một người giữa dân chúng thưa rằng: Thưa thầy, xin biểu anh tôi chia gia tài cho tôi.|眾 人 中 有 一 個 人 對 耶 穌 說 、 夫 子 、 請 你 吩 咐 我 的 兄 長 和 我 分 開 家 業 。
Nhưng Đức Chúa Jêsus đáp rằng: Hỡi người kia, ai đặt ta làm quan xử kiện hay là chia của cho các ngươi?|耶 穌 說 、 你 這 個 人 、 誰 立 我 作 你 們 斷 事 的 官 、 給 你 們 分 家 業 呢 。
Đoạn, Ngài phán cùng chúng rằng: Hãy giữ cẩn thận chớ hà tiện gì hết; vì sự sống của người ta không phải cốt tại của cải mình dư dật đâu.|於 是 對 眾 人 說 、 你 們 要 謹 慎 自 守 、 免 去 一 切 的 貪 心 ． 因 為 人 的 生 命 、 不 在 乎 家 道 豐 富 。
Ngài lại phán cùng chúng lời vinh dự nầy: Ruộng của một người giàu kia sinh lợi nhiều lắm,|就 用 比 喻 對 他 們 說 、 有 一 個 財 主 、 田 產 豐 盛 ．
người bèn tự nghĩ rằng: Ta phải làm thể nào? Vì không có đủ chỗ chứa hết sản vật.|自 己 心 裡 思 想 說 、 我 的 出 產 沒 有 地 方 收 藏 、 怎 麼 辦 呢 。
Lại nói: Nầy, việc ta sẽ làm: ta phá cả kho tàng và cất cái khác lớn hơn, thâu trử sản vật và gia tài vào đó;|又 說 、 我 要 這 麼 辦 ． 要 把 我 的 倉 房 拆 了 、 另 蓋 更 大 的 ． 在 那 裡 好 收 藏 我 一 切 的 糧 食 和 財 物 。
rồi sẽ nói với linh hồn ta rằng: Linh hồn ơi, mầy đã được nhiều của để dành dùng lâu năm; thôi, hãy nghỉ, ăn uống, và vui vẻ.|然 後 要 對 我 的 靈 魂 說 、 靈 魂 哪 、 你 有 許 多 財 物 積 存 、 可 作 多 年 的 費 用 ． 只 管 安 安 逸 逸 的 喫 喝 快 樂 罷 。
Song Đức Chúa Trời phán cùng người rằng: Hỡi kẻ dại! Chính đêm nay linh hồn ngươi sẽ bị đòi lại; vậy những của cải ngươi đã sắm sẵn sẽ thuộc về ai?|　 神 卻 對 他 說 、 無 知 的 人 哪 、 今 夜 必 要 你 的 靈 魂 ． 你 所 豫 備 的 、 要 歸 誰 呢 。
Hễ ai thâu trử của cho mình mà không giàu có nơi Đức Chúa Trời thì cũng như vậy.|凡 為 自 己 積 財 、 在 　 神 面 前 卻 不 富 足 的 、 也 是 這 樣 。
Đức Chúa Jêsus bèn phán cùng môn đồ rằng: Ay vậy, ta nói cùng các ngươi, đừng vì sự sống mình mà lo đồ ăn, cũng đừng vì thân thể mình mà lo đồ mặc.|耶 穌 又 對 門 徒 說 、 所 以 我 告 訴 你 們 、 不 要 為 生 命 憂 慮 喫 甚 麼 ． 為 身 體 憂 慮 穿 甚 麼 。
Sự sống trọng hơn đồ ăn, thân thể trọng hơn đồ mặc.|因 為 生 命 勝 於 飲 食 、 身 體 勝 於 衣 裳 。
Hãy xem con quạ: nó không gieo, không gặt, cũng không có hầm vựa kho tàng chi, mà Đức Chúa Trời còn nuôi nó; huống chi các ngươi quí hơn chim chóc là dường nào!|你 想 烏 鴉 、 也 不 種 、 也 不 收 ． 又 沒 有 倉 、 又 沒 有 庫 、 　 神 尚 且 養 活 他 ． 你 們 比 飛 鳥 是 何 等 的 貴 重 呢 。
Có ai trong các ngươi lo lắng mà làm cho đời mình dài thêm một khắc không?|你 們 那 一 個 能 用 思 慮 、 使 壽 數 多 加 一 刻 呢 。 〔 或 作 使 身 量 多 加 一 肘 呢 〕
Vậy nếu đến việc rất nhỏ các ngươi cũng không có thể được sao các ngươi lo việc khác?|這 最 小 的 事 、 你 們 尚 且 不 能 作 、 為 甚 麼 還 憂 慮 其 餘 的 事 呢 。
Hãy xem hoa huệ mọc lên thể nào: nó chẳng làm khó nhọc, cũng không kéo chỉ; song ta phán cùng các ngươi, dầu vua Sa-lô-môn sang trọng đến đâu, cũng không được mặc áo như một hoa nào trong giống ấy.|你 想 百 合 花 、 怎 麼 長 起 來 ． 他 也 不 勞 苦 、 也 不 紡 線 ． 然 而 我 告 訴 你 們 、 就 是 所 羅 門 極 榮 華 的 時 候 、 他 所 穿 戴 的 、 還 不 如 這 花 一 朵 呢 。
Hỡi kẻ ít đức tin, nếu loài cỏ ngoài đồng là loài nay sống mai bỏ vào lò, mà Đức Chúa Trời còn cho mặc thể ấy, huống chi là các ngươi!|你 們 這 小 信 的 人 哪 、 野 地 裡 的 草 、 今 天 還 在 、 明 天 就 丟 在 爐 裡 、 　 神 還 給 他 這 樣 的 妝 飾 、 何 況 你 們 呢 。
Vậy các ngươi đừng kiếm đồ ăn đồ uống, cũng đừng có lòng lo lắng.|你 們 不 要 求 喫 其 麼 、 喝 甚 麼 、 也 不 要 罣 心 。
Vì mọi sự đó, các dân ngoại ở thế gian vẫn thường tìm, và Cha các ngươi biết các ngươi cần dùng mọi sự đó rồi.|這 都 是 外 邦 人 所 求 的 、 你 們 必 須 用 這 些 東 西 、 你 們 的 父 是 知 道 的 。
Nhưng thà các ngươi hãy tìm kiếm nước Đức Chúa Trời, rồi mọi sự đó sẽ được cho thêm.|你 們 只 要 求 他 的 國 、 這 些 東 西 就 必 加 給 你 們 了 。
Hỡi bầy nhỏ, đừng sợ chi; vì Cha các ngươi đã bằng lòng cho các ngươi nước thiên đàng.|你 們 這 小 群 、 不 要 懼 怕 、 因 為 你 們 的 父 、 樂 意 把 國 賜 給 你 們 。
Hãy bán gia tài mình mà bố thí. Hãy sắm cho mình túi không hư, và của báu không hề hao kém ở trên trời, là nơi kẻ trộm không đến gần, sâu mọt không làm hư nát.|你 們 要 變 賣 所 有 的 、 賙 濟 人 ． 為 自 己 豫 備 永 不 壞 的 錢 囊 、 用 不 盡 的 財 寶 在 天 上 、 就 是 賊 不 能 近 、 蟲 不 能 蛀 的 地 方 。
Vì của báu các ngươi ở đâu, thì lòng cũng ở đó.|因 為 你 們 的 財 寶 在 那 裡 、 你 們 的 心 也 在 那 裡 ．
Lưng các ngươi phải thắt lại, đèn các ngươi phải thắp lên.|你 們 腰 裡 要 束 上 帶 、 燈 也 要 點 著 ．
Hãy làm như người chờ đợi chủ mình ở tiệc cưới về, để lúc chủ đến gõ cửa thì liền mở.|自 己 好 像 僕 人 等 候 主 人 、 從 婚 姻 的 筵 席 上 回 來 ． 他 來 到 叩 門 、 就 立 刻 給 他 開 門 。
Phước cho những đầy tớ ấy, khi chủ về thấy họ thức canh! Quả thật, ta nói cùng các ngươi, chủ sẽ thắt lưng mình, cho đầy tớ ngồi bàn mình, và đến hầu việc họ.|主 人 來 了 、 看 見 僕 人 儆 醒 、 那 僕 人 就 有 福 了 ． 我 實 在 告 訴 你 們 、 主 人 必 叫 他 們 坐 席 、 自 己 束 上 帶 、 進 前 伺 候 他 們 。
Hoặc canh hai, canh ba, chủ trở về, nếu thấy đầy tớ như vậy thì phước cho họ!|或 是 二 更 天 來 、 或 是 三 更 天 來 、 看 見 僕 人 這 樣 、 那 僕 人 就 有 福 了 。
Hãy biết rõ, nếu chủ nhà hay kẻ trộm đến giờ nào, thì sẽ tỉnh thức, chẳng để cho nó đào ngạch nhà đâu.|家 主 若 知 道 賊 甚 麼 時 候 來 、 就 必 儆 醒 、 不 容 賊 挖 透 房 屋 、 這 是 你 們 所 知 道 的 。
Các ngươi cũng vậy, hãy chực cho sẵn sàng, vì Con người sẽ đến trong giờ các ngươi không ngờ.|你 們 也 要 豫 備 ． 因 為 你 們 想 不 到 的 時 候 、 人 子 就 來 了 。
Phi -e-rơ bèn thưa Ngài rằng: Lạy Chúa, thí dụ nầy Chúa phán cho chúng tôi, hay là cũng cho mọi người?|彼 得 說 、 主 阿 、 這 比 喻 是 為 我 們 說 的 呢 、 還 是 為 眾 人 呢 。
Chúa đáp rằng: Ai là người quản gia ngay thật khôn ngoan, chủ nhà đặt coi cả người nhà mình, để đến dịp tiện, phát lương phạn cho họ?|主 說 、 誰 是 那 忠 心 有 見 識 的 管 家 、 主 人 派 他 管 理 家 裡 的 人 、 按 時 分 糧 給 他 們 呢 。
Phước cho đầy tớ ấy khi chủ nhà về, thấy làm như vậy!|主 人 來 到 、 看 見 僕 人 這 樣 行 、 那 僕 人 就 有 福 了 。
Quả thật, ta nói cùng các ngươi, chủ sẽ cho nó quản lý cả gia tài mình.|我 實 在 告 訴 你 們 、 主 人 要 派 他 管 理 一 切 所 有 的 。
Nhưng nếu đầy tớ ấy tự nghĩ rằng: Chủ ta chậm đến; rồi cứ đánh đập đầy tớ trai và gái, ăn uống say sưa,|那 僕 人 若 心 裡 說 、 我 的 主 人 必 來 得 遲 ． 就 動 手 打 僕 人 和 使 女 、 並 且 喫 喝 醉 酒 ．
thì chủ nó sẽ đến trong ngày nó không dè, và giờ nó không biết; lấy roi đánh xé da nó, và để cho nó đồng số phận với kẻ bất trung.|在 他 想 不 到 的 日 子 、 不 知 道 的 時 辰 、 那 僕 人 的 主 人 要 來 、 重 重 的 處 治 他 、 〔 或 作 把 他 腰 斬 了 〕 定 他 和 不 忠 心 的 人 同 罪 。
Đầy tớ nầy đã biết ý chủ mình, mà không sửa soạn sẵn và không theo ý ấy, thì sẽ bị đòn nhiều.|僕 人 知 道 主 人 的 意 思 、 卻 不 豫 備 、 又 不 順 他 的 意 思 行 、 那 僕 人 必 多 受 責 打 ．
Song đầy tớ không biết ý chủ, mà làm việc đáng phạt, thì bị đòn ít. Vì ai được ban cho nhiều, thì sẽ bị đòi lại nhiều; và ai đã được giao cho nhiều, thì sẽ bị đòi lại nhiều hơn.|惟 有 那 不 知 道 的 、 作 了 當 受 責 打 的 事 、 必 少 受 責 打 ． 因 為 多 給 誰 、 就 向 誰 多 取 ． 多 託 誰 、 就 向 誰 多 要 。
Ta đã đến quăng lửa xuống đất; nếu cháy lên rồi, ta còn ước ao chi nữa!|我 來 要 把 火 丟 在 地 上 ． 倘 若 已 經 ? 起 來 、 不 也 是 我 所 願 意 的 麼 。
Có một phép báp-tem mà ta phải chịu, ta đau đớn biết bao cho đến chừng nào phép ấy được hoàn thành!|我 有 當 受 的 洗 ． 還 沒 有 成 就 、 我 是 何 等 的 迫 切 呢 。
Các ngươi tưởng ta đến đem sự bình an cho thế gian sao? Ta nói cùng các ngươi, không, nhưng thà đem sự phân rẽ.|你 們 以 為 我 來 、 是 叫 地 上 太 平 麼 ． 我 告 訴 你 們 、 不 是 、 乃 是 叫 人 分 爭 ．
Vì từ nay về sau, nếu năm người ở chung một nhà, thì sẽ phân li nhau, ba người nghịch cùng hai, hai người nghịch cùng ba;|從 今 以 後 、 一 家 五 個 人 將 要 分 爭 、 三 個 人 和 兩 個 人 相 爭 、 兩 個 人 和 三 個 人 相 爭 ．
cha nghịch cùng con trai, con trai nghịch cùng cha; mẹ nghịch cùng con gái, con gái nghịch cùng mẹ; bà gia nghịch cùng dâu, dâu nghịch cùng bà gia.|父 親 和 兒 子 相 爭 、 兒 子 和 父 親 相 爭 ． 母 親 和 女 兒 相 爭 、 女 兒 和 母 親 相 爭 ． 婆 婆 和 媳 婦 相 爭 、 媳 婦 和 婆 婆 相 爭 。
Ngài lại phán cùng đoàn dân rằng: Khi các ngươi thấy đám mây nổi lên phương tây, liền nói rằng: Sẽ có mưa; thì quả có vậy.|耶 穌 又 對 眾 人 說 、 你 們 看 見 西 邊 起 了 雲 彩 、 就 說 、 要 下 一 陣 雨 ． 果 然 就 有 。
Lại khi gió nam thổi, các ngươi nói rằng: Sẽ nóng nực; thì quả có vậy.|起 了 南 風 、 就 說 、 將 要 燥 熱 ． 也 就 有 了 。
Hỡi kẻ giả hình! các ngươi biết phân biệt khí sắc của trời đất; vậy sao không biết phân biệt thời nầy?|假 冒 為 善 的 人 哪 、 你 們 知 道 分 辨 天 地 的 氣 色 ． 怎 麼 不 知 道 分 辨 這 時 候 呢 ．
Lại sao các ngươi cũng không tự mình xét đoán điều gì là công bình?|你 們 又 為 何 不 自 己 審 量 、 甚 麼 是 合 理 的 呢 。
Vậy, khi ngươi đi với kẻ kiện mình đến trước mặt quan tòa, dọc đường hãy gắng sức giải hòa cùng họ, e họ kéo ngươi đến trước mặt quan án, quan án giao cho thầy đội, rồi bỏ tù ngươi chăng.|你 同 告 你 的 對 頭 去 見 官 、 還 在 路 上 、 務 要 盡 力 的 和 他 了 結 ． 恐 怕 他 拉 你 到 官 面 前 、 官 交 付 差 役 、 差 役 把 你 下 在 監 裡 。
Ta nói cùng ngươi, ngươi trả còn thiếu một đồng tiền, thì không ra khỏi tù được.|我 告 訴 你 、 若 有 半 文 錢 沒 有 還 清 、 你 斷 不 能 從 那 裡 出 來 。

					Lu-ca 13				|
						路加福音 13					
Cũng lúc ấy, có mấy người ở đó thuật cho Đức Chúa Jêsus nghe về việc Phi-lát giết mấy người Ga-li-lê, lấy huyết trộn lộn với của lễ họ.|正 當 那 時 、 有 人 將 彼 拉 多 使 加 利 利 人 的 血 攙 雜 在 他 們 祭 物 中 的 事 、 告 訴 耶 穌 。
Đức Chúa Jêsus cất tiếng đáp rằng: Các ngươi tưởng mấy người đó vì chịu khốn nạn dường ấy, có tội lỗi trọng hơn mọi người Ga-li-lê khác sao?|耶 穌 說 、 你 們 以 為 這 些 加 利 利 人 比 眾 加 利 利 人 更 有 罪 、 所 以 受 這 害 麼 。
Ta nói cùng các ngươi, không phải; song nếu các ngươi chẳng ăn năn, thì hết thảy sẽ bị hư mất như vậy.|我 告 訴 你 們 、 不 是 的 ． 你 們 若 不 悔 改 、 都 要 如 此 滅 亡 。
Hay là mười tám người bị tháp Si-lô-ê ngã xuống đẻ chết kia, các ngươi tưởng họ có tội lỗi trọng hơn mọi kẻ khác ở thành Giê-ru-sa-lem sao?|從 前 西 羅 亞 樓 倒 塌 了 、 壓 死 十 八 個 人 ． 你 們 以 為 那 些 人 比 一 切 住 在 耶 路 撒 冷 的 人 更 有 罪 麼 。
Ta nói cùng các ngươi, không phải; nhưng nếu các ngươi chẳng ăn năn, thì hết thảy cũng sẽ bị hư mất như vậy.|我 告 訴 你 們 、 不 是 的 ． 你 們 若 不 悔 改 、 都 要 如 此 滅 亡 。
Ngài lại phán thí dụ nầy: Người kia có một cây vả trồng trong vườn nho mình, đến hái trái mà không thấy;|於 是 用 比 喻 說 、 一 個 人 有 一 棵 無 花 果 樹 、 栽 在 葡 萄 園 裡 ． 他 來 到 樹 前 找 果 子 、 卻 找 不 著 。
bèn nói cùng kẻ trồng nho rằng: Kìa đã ba năm nay ta đến hái trái nơi cây vả nầy mà không thấy: hãy đốn nó đi; cớ sao nó choán đất vô ích?|就 對 管 園 的 說 、 看 哪 、 我 這 三 年 、 來 到 這 無 花 果 樹 前 找 果 子 、 竟 找 不 著 、 把 他 砍 了 罷 ． 何 必 白 佔 地 土 呢 。
Kẻ trồng nho rằng: Thưa chúa, xin để lại năm nầy nữa, tôi sẽ đào đất xung quanh nó rồi đổ phân vào.|管 園 的 說 、 主 阿 、 今 年 且 留 著 、 等 我 周 圍 掘 開 土 、 加 上 糞 ．
Có lẽ về sau nó sẽ ra trái; bằng không, chúa sẽ đốn.|以 後 若 結 果 子 便 罷 ． 不 然 再 把 他 砍 了 。
Một ngày Sa-bát, Đức Chúa Jêsus giảng dạy trong nhà hội kia.|安 息 日 、 耶 穌 在 會 堂 裡 教 訓 人 。
Vả, tại đó, có người đờn bà mắc quỉ ám, phải đau liệt đã mười tám năm; cong lưng chẳng đứng thẳng được.|有 一 個 女 人 、 被 鬼 附 著 病 了 十 八 年 ． 腰 彎 得 一 點 直 不 起 來 。
Đức Chúa Jêsus vừa thấy, gọi mà phán rằng: Hỡi đờn bà kia, ngươi đã được cứu khỏi bịnh;|耶 穌 看 見 、 便 叫 過 他 來 、 對 他 說 、 女 人 、 你 脫 離 這 病 了 。
Ngài bèn đặt tay trên mình người. Tức thì, người đứng thẳng lên được, và ngợi khen Đức Chúa Trời.|於 是 用 兩 隻 手 按 著 他 ． 他 立 刻 直 起 腰 來 、 就 歸 榮 耀 與 　 神 。
Bấy giờ người cai nhà hội nhơn Đức Chúa Jêsus đã chữa bịnh trong ngày Sa-bát, thì giận mà cất tiếng nói cùng đoàn dân rằng: Có sáu ngày phải làm việc, vậy hãy đến trong những ngày ấy để được chữa cho, đừng đến trong ngày Sa-bát.|管 會 堂 的 、 因 為 耶 穌 在 安 息 日 治 病 、 就 氣 忿 忿 的 對 眾 人 說 、 有 六 日 應 當 作 工 ． 那 六 日 之 內 、 可 以 來 求 醫 、 在 安 息 日 卻 不 可 。
Nhưng Chúa đáp rằng: Hỡi kẻ giả hình, mỗi người trong các ngươi, đang ngày Sa-bát, há không mở bò hoặc lừa mình ra khỏi máng cỏ, dắt đi uống nước hay sao?|主 說 、 假 冒 為 善 的 人 哪 、 難 道 你 們 各 人 在 安 息 日 不 解 開 槽 上 的 牛 驢 、 牽 去 飲 麼 。
Con gái của Ap-ra-ham nầy, quỉ Sa-tan đã cầm buộc mười tám năm, há chẳng nên mở trói cho nó trong ngày Sa-bát sao?|況 且 這 女 人 本 是 亞 伯 拉 罕 的 後 裔 、 被 撒 但 捆 綁 了 這 十 八 年 、 不 當 在 安 息 日 解 開 他 的 綁 麼 。
Ngài phán như vậy, thì các kẻ thù nghịch cùng Ngài đều hổ thẹn, và cả dân chúng vui mừng về mọi việc vinh hiển Ngài đã làm.|耶 穌 說 這 話 、 他 的 敵 人 都 慚 愧 了 ． 眾 人 因 他 所 行 一 切 榮 耀 的 事 、 就 都 歡 喜 了 。
Vậy, Đức Chúa Jêsus phán rằng: Nước Đức Chúa Trời giống như gì, ta lấy chi mà sánh với?|耶 穌 說 、 　 神 的 國 、 好 像 甚 麼 ． 我 拿 甚 麼 來 比 較 呢 ．
Nước ấy giống như một hột cải, người kia lấy gieo trong vườn; nó mọc lên trở nên cây cối, và chim trời làm ở trên nhành.|好 像 一 粒 芥 菜 種 、 有 人 拿 去 種 在 園 子 裡 ． 長 大 成 樹 、 天 上 的 飛 鳥 、 宿 在 他 的 枝 上 。
Ngài lại phán rằng: Ta sẽ sánh nước Đức Chúa Trời với gì?|又 說 、 我 拿 甚 麼 來 比 　 神 的 國 呢 ．
Nước ấy giống như men, người đờn bà kia lấy trộn vào ba đấu bột, cho đến chừng bột dậy cả lên.|好 比 麵 酵 、 有 婦 人 拿 來 藏 在 三 斗 麵 裡 、 直 等 全 糰 都 發 起 來 。
Đức Chúa Jêsus trải qua các thành các làng, vừa dạy dỗ vừa đi thẳng tới thành Giê-ru-sa-lem.|耶 穌 往 耶 路 撒 冷 去 、 在 所 經 過 的 各 城 各 鄉 教 訓 人 。
Có người thưa Ngài rằng: Lạy Chúa, có phải chỉ ít kẻ được cứu chăng?|有 一 個 人 問 他 說 、 主 阿 、 得 救 的 人 少 麼 。
Ngài đáp rằng: Hãy gắng sức vào cửa hẹp, vì, ta nói cùng các ngươi, nhiều người sẽ tìm cách vào mà không vào được.|耶 穌 對 眾 人 說 、 你 們 要 努 力 進 窄 門 ． 我 告 訴 你 們 、 將 來 有 許 多 人 想 要 進 去 、 卻 是 不 能 。
Khi chủ nhà chờ dậy, đóng cửa lại rồi, các ngươi ở ngoài gõ cửa kêu rằng: Lạy Chúa, xin mở cho chúng tôi! Chủ sẽ trả lời rằng: Ta không biết các ngươi đến từ đâu.|及 至 家 主 起 來 關 了 門 、 你 們 站 在 外 面 叩 門 、 說 、 主 阿 、 給 我 們 開 門 、 他 就 回 答 說 、 我 不 認 識 你 們 、 不 曉 得 你 們 是 那 裡 來 的 。
Bấy giờ các ngươi sẽ thưa rằng: Chúng tôi đã ăn uống trước mặt Chúa, và Chúa đã dạy dỗ trong các chợ chúng tôi.|那 時 、 你 們 要 說 、 我 們 在 你 面 前 喫 過 喝 過 、 你 也 在 我 們 的 街 上 教 訓 過 人 。
Chủ lại sẽ trả lời rằng: Ta nói cùng các ngươi, không biết các ngươi đến từ đâu; hết thảy những kẻ làm dữ kia, hãy lui ra khỏi ta!|他 要 說 、 我 告 訴 你 們 、 我 不 曉 得 你 們 是 那 裡 來 的 ． 你 們 這 一 切 作 惡 的 人 、 離 開 我 去 罷 。
Khi ấy, các ngươi thấy Ap-ra-ham, Y-sác và Gia-cốp, cùng hết thảy các đấng tiên tri đều ở trong nước Đức Chúa Trời, còn các ngươi sẽ bị quăng ra ngoài, là nơi có khóc lóc và nghiến răng.|你 們 要 看 見 亞 伯 拉 罕 、 以 撒 、 雅 各 、 和 眾 先 知 、 都 在 　 神 的 國 裡 、 你 們 卻 被 趕 到 外 面 ． 在 那 裡 必 要 哀 哭 切 齒 了 。
Lại từ Đông Tây Nam Bắc, người ta sẽ đến mà ngồi bàn ở trong nước Đức Chúa Trời.|從 東 、 從 西 、 從 南 、 從 北 、 將 有 人 來 、 在 　 神 的 國 裡 坐 席 。
Nầy, khi ấy có kẻ rốt sẽ nên đầu, kẻ đầu sẽ là rốt.|只 是 有 在 後 的 將 要 在 前 ． 有 在 前 的 將 要 在 後 。
Cũng trong lúc đó, có mấy người Pha-ri-si đến thưa Ngài rằng: Thầy nên bỏ chỗ nầy mà đi, vì vua Hê-rốt muốn giết thầy.|正 當 那 時 、 有 幾 個 法 利 賽 人 來 對 耶 穌 說 、 離 開 這 裡 去 罷 ． 因 為 希 律 想 要 殺 你 。
Ngài đáp rằng: Hãy đi nói với con chồn cáo ấy rằng: Ngày nay, ngày mai, ta đuổi quỉ chữa bịnh, đến ngày thứ ba, thì đời ta sẽ xong rồi.|耶 穌 說 、 你 們 去 告 訴 那 個 狐 狸 說 、 今 天 明 天 我 趕 鬼 治 病 、 第 三 天 我 的 事 就 成 全 了 。
Nhưng ngày nay, ngày mai, và ngày kia ta phải đi, vì không có lẽ một đấng tiên tri phải chết ngoài thành Giê-ru-sa-lem.|雖 然 這 樣 、 今 天 明 天 後 天 我 必 須 前 行 ． 因 為 先 知 在 耶 路 撒 冷 之 外 喪 命 是 不 能 的 。
Hỡi Giê-ru-sa-lem, Giê-ru-sa-lem, ngươi giết các tiên tri, và quăng đá các đấng chịu sai đến cùng ngươi, ghe phen ta muốn nhóm họp con cái ngươi, như gà mái túc và ấp con mình dưới cánh, mà các ngươi chẳng muốn!|耶 路 撒 冷 阿 、 耶 路 撒 冷 阿 、 你 常 殺 害 先 知 、 又 用 石 頭 打 死 那 奉 差 遣 到 你 這 裡 來 的 人 ． 我 多 次 願 意 聚 集 你 的 兒 女 、 好 像 母 雞 把 小 雞 聚 集 在 翅 膀 底 下 、 只 是 你 們 不 願 意 。
Nầy, nhà các ngươi, các ngươi sẽ bỏ hoang. Ta nói cùng các ngươi, các ngươi không còn thấy ta nữa cho đến chừng nào sẽ nói rằng: Phước cho Đấng nhơn danh Chúa mà đến!|看 哪 、 你 們 的 家 成 為 荒 場 留 給 你 們 ． 我 告 訴 你 們 、 從 今 以 後 你 們 不 得 再 見 我 、 直 等 到 你 們 說 、 奉 主 名 來 的 是 應 當 稱 頌 的 。

					Lu-ca 14				|
