
					Ða-ni-ên 1				|
Trong nước vua có một người, linh của các thần thánh ở trong nó. Về đời vua cha, người ta thấy trong nó có ánh sáng, sự thông minh, khôn ngoan, như sự khôn ngoan của các vì thần. Vậy nên vua Nê-bu-cát-nết-sa, cha vua, chính cha vua, đã lập người lên làm đầu các đồng bóng, thuật sĩ, người Canh-đê và thầy bói,|在 你 國 中 有 一 人 、 他 裡 頭 有 聖 神 的 靈 、 你 父 在 世 的 日 子 、 這 人 心 中 光 明 、 又 有 聰 明 智 慧 、 好 像 神 的 智 慧 ． 你 父 尼 布 甲 尼 撒 王 、 就 是 王 的 父 、 立 他 為 術 士 、 用 法 術 的 、 和 迦 勒 底 人 、 並 觀 兆 的 領 袖 ．
bởi vì Đa-ni-ên mà vua đã đặt tên Bên-tơ-xát-sa, trong người có linh tánh tốt lành, có sự thông biết và khôn sáng để giải nghĩa được những câu kín nhiệm, và làm co những sự hồ nghi tan chảy. Vậy bây giờ hãy sai gọi Đa-ni-ên, và người sẽ giải nghĩa cho.|在 他 裡 頭 有 美 好 的 靈 性 、 又 有 知 識 聰 明 、 能 圓 夢 、 釋 謎 語 、 解 疑 惑 、 這 人 名 叫 但 以 理 、 尼 布 甲 尼 撒 王 又 稱 他 為 伯 提 沙 撒 ． 現 在 可 以 召 他 來 、 他 必 解 明 這 意 思 。
Bấy giờ Đa-ni-ên được đem đến trước mặt vua. Đoạn, vua cất tiếng nói cùng Đa-ni-ên rằng: Ngươi có phải là Đa-ni-ên, một trong các con cái phu tù Giu-đa, mà vua cha ta đã điệu từ Giu-đa về chăng?|但 以 理 就 被 領 到 王 前 ． 王 問 但 以 理 說 、 你 是 被 擄 之 猶 大 人 中 的 但 以 理 麼 ． 就 是 我 父 王 從 猶 大 擄 來 的 麼 ．
Ta đã nghe nói về ngươi rằng linh của các thần ở trong ngươi, và người ta đã thấy trong ngươi có ánh sáng, sự thông minh, và khôn ngoan lạ thường.|我 聽 說 你 裡 頭 有 神 的 靈 、 心 中 光 明 、 又 有 聰 明 和 美 好 的 智 慧 ．
Bây giờ những bác sĩ và thuật sĩ đã được đem đến trước mặt ta để đọc những chữ nầy và giải nghĩa cho ta; nhưng họ không giải nghĩa được.|現 在 哲 士 和 用 法 術 的 、 都 領 到 我 面 前 、 為 叫 他 們 讀 這 文 字 、 把 講 解 告 訴 我 、 無 奈 他 們 都 不 能 把 講 解 說 出 來 ．
Ta nghe nói rằng ngươi có thể giải nghĩa và làm cho những sự hồ nghi tan chảy. Vậy nếu ngươi đọc được chữ nầy và giải nghĩa cho ta, thì sẽ được mặc màu tía, sẽ mang vòng vàng nơi cổ, và dự chức thứ ba trong việc chánh trị nhà nước.|我 聽 說 你 善 於 講 解 、 能 解 疑 惑 ． 現 在 你 若 能 讀 這 文 字 、 把 講 解 告 訴 我 、 就 必 身 穿 紫 袍 、 項 戴 金 鍊 、 在 我 國 中 位 列 第 三 。
Bấy giờ Đa-ni-ên cất tiếng và nói trước mặt vua rằng: Vua hãy giữ lại của ban thưởng, và lễ vật vua hãy ban cho kẻ khác! Dầu vậy, tôi sẽ đọc chữ viết đó và giải nghĩa cho vua.|但 以 理 在 王 面 前 回 答 說 、 你 的 贈 品 可 以 歸 你 自 己 ． 你 的 賞 賜 可 以 歸 給 別 人 ． 我 卻 要 為 王 讀 這 文 字 、 把 講 解 告 訴 王 。
Hỡi vua, Đức Chúa Trời Rất Cao đã ban ngôi vua và quyền thế lớn, sự tôn vinh và uy nghiêm cho cha vua là Nê-bu-cát-nết-sa.|王 阿 、 至 高 的 　 神 曾 將 國 位 、 大 權 、 榮 耀 、 威 嚴 、 賜 與 你 父 尼 布 甲 尼 撒 ．
Vì cớ Ngài đã ban cho người quyền to, thì hết thảy các dân, các nước, các thứ tiếng đều run rẩy trước mặt người, và sợ hãi người. Người muốn giết ai thì giết, và muốn để ai sống thì để. Người nâng ai cao lên hay hạ ai thấp xuống thì tùy ý người.|因 　 神 所 賜 他 的 大 權 、 各 方 各 國 各 族 的 人 、 都 在 他 面 前 戰 兢 恐 懼 、 他 可 以 隨 意 生 殺 、 隨 意 升 降 ．
Nhưng vì lòng người tự cao, và tánh người cứng cỏi, làm một cách kiêu ngạo, nên người bị truất mất ngôi vua và lột hết sự vinh hiển.|但 他 心 高 氣 傲 、 靈 也 剛 愎 、 甚 至 行 事 狂 傲 、 就 被 革 去 王 位 、 奪 去 榮 耀 ．
Người bị đuổi khỏi giữa các con trai loài người; lòng người trở nên giống như lòng súc vật, và chỗ ở người thì cùng với những lừa rừng. Người bị nuôi bằng cỏ như bò, và thân người bị nhuần thấm sương móc trên trời, cho đến khi người nhận biết rằng Đức Chúa Trời Rất Cao cai trị trong nước loài người, và Ngài muốn lập ai lên đó tùy ý.|他 被 趕 出 離 開 世 人 、 他 的 心 變 如 獸 心 、 與 野 驢 同 居 、 喫 草 如 牛 、 身 被 天 露 滴 濕 、 等 他 知 道 至 高 的 　 神 在 人 的 國 中 掌 權 、 憑 自 巳 的 意 旨 立 人 治 國 。
Hỡi vua Bên-xát-sa, con của người, vua cũng vậy, dầu vua đã biết hết các việc ấy, mà lòng vua cũng không chịu nhún nhường chút nào;|伯 沙 撒 阿 、 你 是 他 的 兒 子 、 〔 或 作 孫 子 〕 你 雖 知 道 這 一 切 、 你 心 仍 不 自 卑 、
nhưng vua đã lên mình nghịch cũng Chúa trên trời, mà khiến đem đến trước vua những khí mạnh của nhà Ngài, và dùng mà uống rượu, cùng với các quan đại thần, các hoàng hậu và cung phi vua. Vua cũng đã tôn vinh thần bằng bạc, bằng vàng, bằng đồng, bằng sắt, bằng gỗ và bằng đá, là những thần không thấy không nghe không biết gì; và vua không thờ phượng Đức Chúa Trời là Đấng cầm trong tay Ngài hơi thở và hết thảy các đường lối của vua.|竟 向 天 上 的 主 自 高 、 使 人 將 他 殿 中 的 器 皿 拿 到 你 面 前 、 你 和 大 臣 皇 后 妃 嬪 用 這 器 皿 飲 酒 ． 你 又 讚 美 那 不 能 看 、 不 能 聽 、 無 知 無 識 金 銀 銅 鐵 木 石 所 造 的 神 、 卻 沒 有 將 榮 耀 歸 與 那 手 中 有 你 氣 息 、 管 理 你 一 切 行 動 的 　 神 ．
Vậy nên từ nơi Ngài đã sai phần bàn tay nầy đến, và chữ đó đã vạch ra.|因 此 從 　 神 那 裡 顯 出 指 頭 來 、 寫 這 文 字 。
Những chữ đã vạch ra như sau nầy: Mê-nê, Mê-nê, Tê-ken, U-phác-sin.|所 寫 的 文 字 是 彌 尼 、 彌 尼 、 提 客 勒 、 烏 法 珥 新 ．
Nầy là nghĩa những chữ đó: Mê-nê là: Đức Chúa Trời đã đếm nước vua và khiến nó đến cuối cùng.|講 解 是 這 樣 。 彌 尼 、 就 是 　 神 已 經 數 算 你 國 的 年 日 到 此 完 畢 ．
Tê-ken là: Vua đã bị cân trên cái cân, và thấy kém thiếu.|提 客 勒 、 就 是 你 被 稱 在 天 平 裡 顯 出 你 的 虧 欠 ．
Phê-rết là: Nước vua bị chia ra, được ban cho người Mê-đi và người Phe-rơ-sơ.|毘 勒 斯 、 〔 與 烏 法 珥 新 同 義 〕 就 是 你 的 國 分 裂 、 歸 與 瑪 代 人 和 波 斯 人 。
Tức thì, theo lịnh truyền của vua Bên-xát-sa, người ta mặc màu tía cho Đa-ni-ên; đeo vào cổ người một vòng vàng, và rao ra rằng người được dự chức thứ ba trong việc chánh trị nhà nước.|伯 沙 撒 下 令 、 人 就 把 紫 袍 給 但 以 理 穿 上 、 把 金 鍊 給 他 戴 在 頸 項 上 、 又 傳 令 使 他 在 國 中 位 列 第 三 。
Ngay đêm đó, vua người Canh-đê là Bên-xát-sa bị giết.|當 夜 迦 勒 底 王 伯 沙 撒 被 殺 ．
Rồi Đa-ri-út là người Mê-đi được nước, bấy giờ tuổi người độ sáu mươi hai.|瑪 代 人 大 利 烏 、 年 六 十 二 歲 、 取 了 迦 勒 底 國 。

					Ða-ni-ên 6				|
						但以理書 6					
Vua Đa-ri-út ưng đặt trong nước một trăm hai mươi quan trấn thủ, để chia nhau trị cả nước,|大 利 烏 隨 心 所 願 、 立 一 百 二 十 個 總 督 、 治 理 通 國 。
và trên họ có ba quan thượng thơ, mà một là Đa-ni-ên. Các quan trấn thủ phải khai trình với ba quan đó, hầu cho vua khỏi chịu một sự tổn hại nào.|又 在 他 們 以 上 立 總 長 三 人 、 （ 但 以 理 在 其 中 ） 使 總 督 在 他 們 三 人 面 前 回 覆 事 務 、 免 得 王 受 虧 損 。
Vả, Đa-ni-ên lại trổi hơn hai quan thượng thơ kia và các quan trấn thủ, vì người có linh tánh tốt lành; thì vua định lập người trên cả nước.|因 這 但 以 理 有 美 好 的 靈 性 、 所 以 顯 然 超 乎 其 餘 的 總 長 和 總 督 、 王 又 想 立 他 治 理 通 國 。
Các quan thượng thơ và trấn thủ bèn tìm cớ kiện Đa-ni-ên về việc nước; nhưng họ không thể tìm được một cớ nào, hay một sự xấu nào của người, bởi người là trung thành, trong người chẳng có điều lỗi và cũng chẳng có sự xấu.|那 時 總 長 和 總 督 、 尋 找 但 以 理 誤 國 的 把 柄 、 為 要 參 他 ． 只 是 找 不 著 他 的 錯 誤 過 失 、 因 他 忠 心 辦 事 、 毫 無 錯 誤 過 失 。
Vậy những người đó nói rằng: Chúng ta không tìm được một cớ nào mà cáo Đa-ni-ên nầy, nếu chúng ta chẳng tìm trong sự thuộc về luật pháp Đức Chúa Trời nó.|那 些 人 便 說 、 我 們 要 找 參 這 但 以 理 的 把 柄 、 除 非 在 他 　 神 的 律 法 中 就 尋 不 著 。
Các quan thượng thơ và trấn thủ đó bèn vào chầu vua và tâu rằng: Hỡi vua Đa-ri-út, chúc vua sống đời đời!|於 是 總 長 和 總 督 、 紛 紛 聚 集 來 見 王 、 說 、 願 大 利 烏 王 萬 歲 ．
Hết thảy các quan thượng thơ trong nước, các quan lãnh binh, các quan trấn thủ, các nghị viên và các đại thần đều đồng tình xin vua ra chỉ dụ, lập một cấm lịnh nghiêm nhặt trong ba mươi ngày, hễ ai cầu xin thần nào hay một người nào ngoài vua, thì, hỡi vua, kẻ ấy sẽ phải quăng vào hang sư tử.|國 中 的 總 長 、 欽 差 、 總 督 、 謀 士 、 和 巡 撫 、 彼 此 商 議 、 要 立 一 條 堅 定 的 禁 令 ． 〔 或 作 求 王 下 旨 要 立 一 條 云 云 〕 三 十 日 內 不 拘 何 人 、 若 在 王 以 外 或 向 神 或 向 人 求 甚 麼 、 就 必 扔 在 獅 子 坑 中 ．
Bây giờ hỡi vua, hãy lập điều cấm đó và ký tên vào, hầu cho không đổi thay đi, theo như luật pháp của người Mê-đi và người Phe-rơ-sơ, không thể đổi được.|王 阿 、 現 在 求 你 立 這 禁 令 、 加 蓋 玉 璽 、 使 禁 令 決 不 更 改 、 照 瑪 代 和 波 斯 人 的 例 、 是 不 可 更 改 的 。
Vậy vua Đa-ri-út bèn ký tên lập cấm lịnh đó.|於 是 大 利 烏 王 立 這 禁 令 、 加 蓋 玉 璽 。
Khi Đa-ni-ên nghe rằng chỉ dụ đó đã ký tên rồi, thì về nhà mình . Tại đó, cứ một ngày ba lần, người quì gối xuống, cầu nguyện, xưng tạ trước mặt Đức Chúa Trời mình, như vẫn làm khi trước.|但 以 理 知 道 這 禁 令 蓋 了 玉 璽 、 就 到 自 巳 家 裡 、 （ 他 樓 上 的 窗 戶 、 開 向 耶 路 撒 冷 ） 一 日 三 次 、 雙 膝 跪 在 他 　 神 面 前 、 禱 告 感 謝 、 與 素 常 一 樣 。
Bấy giờ những người đó nhóm lại, thấy Đa-ni-ên đương cầu nguyện nài xin trước mặt Đức Chúa Trời mình.|那 些 人 就 紛 紛 聚 集 、 見 但 以 理 在 他 　 神 面 前 祈 禱 懇 求 ．
Họ bèn đến chầu vua và tâu cùng vua về cấm lịnh của vua rằng: Hỡi vua, vua chẳng từng ký tên vào một cấm lịnh rằng trong ba mươi ngày, hễ ai cầu xin thần nào hay người nào ngoài vua, thì sẽ phải quăng vào hang sư tử đó chăng? Vua trả lời rằng: Sự đó là thật, theo như luật pháp của người Mê-đi và người Phe-rơ-sơ, không thể đổi được.|他 們 便 進 到 王 前 、 題 王 的 禁 令 、 說 、 王 阿 、 三 十 日 內 不 拘 何 人 、 若 在 王 以 外 或 向 神 或 向 人 求 甚 麼 ． 必 被 扔 在 獅 子 坑 中 、 王 不 是 在 這 禁 令 上 蓋 了 玉 璽 麼 。 王 回 答 說 、 實 有 這 事 、 照 瑪 代 和 波 斯 人 的 例 、 是 不 可 更 改 的 。
Họ bèn đáp lại và tâu vua rằng: Đa-ni-ên, là một trong những con cái phu tù Giu-đa, không có lòng kiêng nể vua chút nào, hỡi vua, dầu đến cấm lịnh vua đã ký tên cũng vậy; song nó cứ một ngày cầu nguyện ba lần.|他 們 對 王 說 、 王 阿 、 那 被 擄 之 猶 大 人 中 的 但 以 理 不 理 你 、 也 不 遵 你 蓋 了 玉 璽 的 禁 令 、 他 竟 一 日 三 次 祈 禱 。
Khi vua nghe những lời đó, thì lấy làm buồn bã lắm; vua định lòng giải cứu Đa-ni-ên, và mãi đến khi mặt trời lặn, cố hết sức tìm thể để giải cứu người.|王 聽 見 這 話 、 就 甚 愁 煩 、 一 心 要 救 但 以 理 、 籌 畫 解 救 他 、 直 到 日 落 的 時 候 。
Nhưng các người đó nhóm lại cùng vua và tâu rằng: Hỡi vua, xin biết rằng theo luật pháp của người Mê-đi và người Phe-rơ-sơ, hễ là cấm lịnh hay chỉ dụ nào mà vua đã lập định rồi, thì không thể thay đổi được.|那 些 人 就 紛 紛 聚 集 來 見 王 、 說 、 王 阿 、 當 知 道 瑪 代 人 和 波 斯 人 有 例 、 凡 王 所 立 的 禁 令 、 和 律 例 、 都 不 可 更 改 。
Bấy giờ vua truyền điệu Đa-ni-ên đến, và phải ném người vào hang sư tử. Vua cất tiếng nói cùng Đa-ni-ên rằng: Đức Chúa Trời ngươi là Đấng ngươi hằng hầu việc, sẽ giải cứu ngươi.|王 下 令 、 人 就 把 但 以 理 帶 來 、 扔 在 獅 子 坑 中 ． 王 對 但 以 理 說 、 你 所 常 事 奉 的 　 神 、 他 必 救 你 。
Người ta bèn đem đến một hòn đá chận nơi cửa hang, và vua đóng ấn mình cùng ấn các đại thần nữa, hầu cho không có điều gì thay đổi được về Đa-ni-ên.|有 人 搬 石 頭 放 在 坑 口 、 王 用 自 巳 的 璽 、 和 大 臣 的 印 、 封 閉 那 坑 、 使 懲 辦 但 以 理 的 事 、 毫 無 更 改 。
Sau đó, vua trở về cung mình, và suốt đêm kiêng ăn, cũng không đem bạn nhạc đến trước mặt mình, và vua không ngủ được.|王 回 宮 、 終 夜 禁 食 、 無 人 拿 樂 器 到 他 面 前 ． 並 且 睡 不 著 覺 。
Đoạn, vua dậy sớm, khi hừng sáng, vội vàng đi đến hang sư tử.|次 日 黎 明 、 王 就 起 來 、 急 忙 往 獅 子 坑 裡 去 、
Khi vua đến gần hang, lấy giọng rầu rĩ mà kêu Đa-ni-ên; vua cất tiếng nói cùng Đa-ni-ên rằng: Hỡi Đa-ni-ên, tôi tớ Đức Chúa Trời hằng sống! Đức Chúa Trời ngươi mà ngươi hằng hầu việc có thể giải cứu ngươi khỏi sư tử được chăng?|臨 近 坑 邊 、 哀 聲 呼 叫 但 以 理 、 對 但 以 理 說 、 永 生 　 神 的 僕 人 但 以 理 阿 、 你 所 常 事 奉 的 　 神 能 救 你 脫 離 獅 子 麼 。
Bấy giờ Đa-ni-ên tâu cùng vua rằng: Hỡi vua, chúc vua sống đời đời!|但 以 理 對 王 說 、 願 王 萬 歲 。
Đức Chúa Trời tôi đã sai thiên sứ Ngài, và bịt miệng các sư tử, nên chúng nó không làm hại chi đến tôi, bởi tôi đã được nhận là vô tội trước mặt Ngài. Hỡi vua, đối với vua cũng vậy, tôi chẳng từng làm hại gì.|我 的 　 神 差 遣 使 者 、 封 住 獅 子 的 口 、 叫 獅 子 不 傷 我 、 因 我 在 　 神 面 前 無 辜 、 我 在 王 面 前 也 沒 有 行 過 虧 損 的 事 。
Bấy giờ vua mừng rỡ lắm, và truyền đem Đa-ni-ên lên khỏi hang. Vậy Đa-ni-ên được đem lên khỏi hang, và người không thấy một vết tích nào trên người, bởi người đã nhờ cậy Đức Chúa Trời mình.|王 就 甚 喜 樂 、 吩 咐 人 將 但 以 理 從 坑 裡 縏 上 來 ． 於 是 但 以 理 從 坑 裡 被 繫 上 來 ． 身 上 毫 無 傷 損 、 因 為 信 靠 他 的 　 神 。
Theo lịnh vua, những kẻ đã kiện Đa-ni-ên ấy cùng con cái và vợ họ đều bị điệu đến quăng vào hang sư tử. Khi họ chưa đến dưới đáy hang, thì những sư tử đã vồ lấy và xé xương hết thảy.|王 下 令 、 人 就 把 那 些 控 告 但 以 理 的 人 、 連 他 們 的 妻 子 兒 女 都 帶 來 、 扔 在 獅 子 坑 中 ． 他 們 還 沒 有 到 坑 底 、 獅 子 就 抓 住 他 們 、 〔 抓 住 原 文 作 勝 了 〕 咬 碎 他 們 的 骨 頭 。
Bấy giờ, vua Đa-ri-út viết cho hết thảy các dân, các nước, các thứ tiếng ở khắp trên đất rằng: Nguyền cho sự bình an các ngươi được thêm lên!|那 時 大 利 烏 王 傳 旨 、 曉 諭 住 在 全 地 、 各 方 各 國 各 族 的 人 、 說 、 願 你 們 大 享 平 安 ．
Ta ban chiếu chỉ rằng, trong khắp các miền nước ta, người ta phải run rẩy kính sợ trước mặt Đức Chúa Trời của Đa-ni-ên; vì Ngài là Đức Chúa Trời hằng sống và còn đời đời. Nước Ngài không bao giờ bị hủy diệt, và quyền thế Ngài sẽ còn đến cuối cùng.|現 在 我 降 旨 曉 諭 我 所 統 轄 的 全 國 人 民 、 要 在 但 以 理 的 　 神 面 前 、 戰 兢 恐 懼 、 因 為 他 是 永 遠 長 存 的 活 　 神 、 他 的 國 永 不 敗 壞 、 他 的 權 柄 永 存 無 極 ．
Ngài cứu rỗi và giải thoát, làm những dấu lạ sự lạ ở trên trời dưới đất, đã cứu Đa-ni-ên khỏi quyền thế sư tử.|他 護 庇 人 、 搭 救 人 、 在 天 上 地 下 施 行 神 蹟 奇 事 、 救 了 但 以 理 脫 離 獅 子 的 口 。
Đa-ni-ên cứ được thạnh vượng như vậy trong đời vua Đa-ri-út và vua Si-ru là người Phe-rơ-sơ.|如 此 、 這 但 以 理 當 大 利 烏 王 在 位 的 時 候 、 和 波 斯 王 古 列 在 位 的 時 候 、 大 享 亨 通 。

					Ða-ni-ên 7				|
						但以理書 7					
Năm đầu đời vua Bên-xát-sa, nước Ba-by-lôn, Đa-ni-ên đang nằm trên giường, thì thấy chiêm bao, và những sự hiện thấy trong đầu mình. Người bèn viết chiêm bao đó ra, và thuật lại đại lược các sự ấy.|巴 比 倫 王 伯 沙 撒 元 年 、 但 以 理 在 床 上 作 夢 、 見 了 腦 中 的 異 象 、 就 記 錄 這 夢 、 述 說 其 中 的 大 意 ．
Vậy, Đa-ni-ên nói rằng: Đương đêm, ta nhìn xem trong sự hiện thấy, và, nầy, có bốn hướng gió trên trời xô xát trên biển lớn.|但 以 理 說 、 我 夜 裡 見 異 象 、 看 見 天 的 四 風 陡 起 、 颳 在 大 海 之 上 。
Đoạn, bốn con thú lớn từ biển lên; con nọ khác con kia.|有 四 個 大 獸 從 海 中 上 來 、 形 狀 各 有 不 同 、
Con thứ nhứt giống như sư tử, và có cánh chim ưng. Ta nhìn xem cho đến khi những cánh nó bị nhổ, nó bị cất lên khỏi đất, đứng hai chơn như người ta, và nó được ban cho lòng loài người.|頭 一 個 像 獅 子 、 有 鷹 的 翅 膀 、 我 正 觀 看 的 時 候 、 獸 的 翅 膀 被 拔 去 、 獸 從 地 上 得 立 起 來 、 用 兩 腳 站 立 、 像 人 一 樣 、 又 得 了 人 心 。
Nầy, một con thú thứ hai, in như con gấu; nó đứng nghiêng nửa mình, có ba cái xương sườn trong miệng, giữa những răng; và người ta bảo nó rằng: Hãy chổi dậy, hãy cắn nuốt nhiều thịt.|又 有 一 獸 如 熊 、 就 是 第 二 獸 、 旁 跨 而 坐 、 口 齒 內 啣 著 三 根 肋 骨 、 有 吩 咐 這 獸 的 、 說 、 起 來 吞 喫 多 肉 、
Sau đó, ta nhìn xem, nầy, có một con thú khác giống như con beo, ở trên lương có bốn cánh như cánh chim. Con thú đó có bốn đầu, và được ban cho quyền cai trị.|此 後 、 我 觀 看 、 又 有 一 獸 如 豹 、 背 上 有 鳥 的 四 個 翅 膀 、 這 獸 有 四 個 頭 、 又 得 了 權 柄 。
Sau ta lại nhìn xem trong sự hiện thấy ban đêm, nầy, một con thú thứ tư, dữ tợn, rất mạnh và có sức lắm. Con thú đó có những răng lớn bằng sắt; nó nuốt ăn và nghiền nát, dùng chơn giày đạp vật gì còn lại, nó khác với các con thú đã đến trước, và có mười sừng.|其 後 我 在 夜 間 的 異 象 中 觀 看 、 見 第 四 獸 甚 是 可 怕 、 極 其 強 壯 、 大 有 力 量 、 有 大 鐵 牙 、 吞 喫 嚼 碎 、 所 剩 下 的 用 腳 踐 踏 、 這 獸 與 前 三 獸 、 大 不 相 同 、 頭 有 十 角 ．
Ta suy xét những sừng đó, và, nầy, có một cái sừng nhỏ khác ở giữa những sừng ấy mọc lên, và ba cái trong những sừng trước bị nhổ đi trước mặt nó. Nầy, cái sừng đó có những mắt in như mắt người, và một cái miệng nói những lời xấc xược.|我 正 觀 看 這 些 角 、 見 其 中 又 長 起 一 個 小 角 、 先 前 的 角 中 、 有 三 角 在 這 角 前 、 連 根 被 他 拔 出 來 ． 這 角 有 眼 、 像 人 的 眼 、 有 口 說 誇 大 的 話 。
Ta nhìn xem cho đến chừng các ngôi đã đặt, và có Đấng Thượng Cổ ngồi ở trên. Ao Ngài trắng như tuyết, và tóc trên đầu Ngài như lông chiên sạch. Ngôi Ngài là những ngọn lửa, và các bánh xe là lửa hừng.|我 觀 看 、 見 有 寶 座 設 立 、 上 頭 坐 著 亙 古 常 在 者 、 他 的 衣 服 潔 白 如 雪 、 頭 髮 如 純 淨 的 羊 毛 、 寶 座 乃 火 燄 、 其 輪 乃 烈 火 ．
Trước mặt Ngài, một sông lửa chảy ra và tràn lan; ngàn ngàn hầu hạ Ngài và muôn muôn đứng trước mặt Ngài. Sự xét đoán đã sắm sẵn, và các sách mở ra.|從 他 面 前 有 火 像 河 發 出 、 事 奉 他 的 有 千 千 、 在 他 面 前 侍 立 的 有 萬 萬 ． 他 坐 著 要 行 審 判 、 案 卷 都 展 開 了 。
Bấy giờ ta nhìn xem vì cớ tiếng của những lời xấc xược mà sừng ấy nói ra. Vậy ta nhìn xem cho đến chừng con thú bị giết, xác nó bị hủy diệt và bị phó cho lửa để đốt.|那 時 我 觀 看 、 見 那 獸 因 小 角 說 誇 大 話 的 聲 音 被 殺 、 身 體 損 壞 、 扔 在 火 中 焚 燒 。
Còn những con thú khác cũng bị cất hết quyền, nhưng được làm dài đời sống mình một mùa và một kỳ.|其 餘 的 獸 、 權 柄 都 被 奪 去 、 生 命 卻 仍 存 留 、 直 到 所 定 的 時 候 和 日 期 。
Ta lại nhìn xem trong những sự hiện thấy ban đêm, nầy, có một người giống như con người đến với những đám mây đến trời; người tới đến Đấng Thượng Cổ và bị dẫn đến trước mặt Ngài.|我 在 夜 間 的 異 象 中 觀 看 、 見 有 一 位 像 人 子 的 、 駕 著 天 雲 而 來 、 被 領 到 亙 古 常 在 者 面 前 、
Người đến ban cho quyền thế, vinh hiển, và nước; hầu cho hết thảy các dân, các nước, các thứ tiếng đều hầu việc người. Quyền thế người là quyền thế đời đời chẳng qua đi, và nước người không bao giờ phải hủy phá.|得 了 權 柄 、 榮 耀 、 國 度 、 使 各 方 各 國 各 族 的 人 都 事 奉 他 ． 他 的 權 柄 是 永 遠 的 、 不 能 廢 去 、 他 的 國 必 不 敗 壞 。
Còn như ta, Đa-ni-ên, thì tâm thần ta rầu rĩ trong mình ta, và những sự hiện thấy trong đầu ta lam cho ta bối rối.|至 於 我 但 以 理 、 我 的 靈 在 我 裡 面 愁 煩 、 我 腦 中 的 異 象 使 我 驚 惶 。
Ta bèn lại gần một người trong những người đứng đó, và hỏi người về lẽ thật của mọi sự nầy. Người bèn nói cùng ta và giải nghĩa cho ta mà rằng:|我 就 近 一 位 侍 立 者 、 問 他 這 一 切 的 真 情 ． 他 就 告 訴 我 、 將 那 事 的 講 解 給 我 說 明 。
Bốn con thú lớn đó là bốn vua sẽ dấy khiến trên đất.|這 四 個 大 獸 就 是 四 王 將 要 在 世 上 興 起 ．
Nhưng các thánh của Đấng Rất Cao sẽ nhận lấy nước, và được nước làm của mình đời đời, cho đến đời đời vô cùng.|然 而 至 高 者 的 聖 民 、 必 要 得 國 享 受 、 直 到 永 永 遠 遠 。
Bấy giờ ta muốn biết lẽ thật về con thú thứ tư, là con khác với hết thảy các con khác, rất dữ tợn, răng thì bằng sắt, móng thì bằng đồng, nó cắn nuốt, nghiền nát, và có gì còn lại thì giày đạp dưới chơn.|那 時 我 願 知 道 第 四 獸 的 真 情 、 他 為 何 與 那 三 獸 的 真 情 、 大 不 相 同 、 甚 是 可 怕 、 有 鐵 牙 銅 爪 、 吞 喫 嚼 碎 、 所 剩 下 的 用 腳 踐 踏 、
Ta cũng muốn biết lẽ thật về mười cái sừng ở trên đầu nó, và về cái sừng khác mọc lên, và trước mặt nó ba sừng kia đã bị rơi xuống, sừng nầy có những mắt và miệng nói những lời xấc xược, và hình dạng nó mạnh bạo hơn những sừng khác.|頭 有 十 角 、 和 那 另 長 的 一 角 、 在 這 角 前 有 三 角 被 他 打 落 、 這 角 有 眼 、 有 說 誇 大 話 的 口 、 形 狀 強 橫 、 過 於 他 的 同 類 。
Ta nhìn xem, cái sừng đó tranh chiến cùng các thánh, và thắng trận,|我 觀 看 、 見 這 角 與 聖 民 爭 戰 、 勝 了 他 們 、
cho tới khi Đấng Thượng Cổ đã đến, sự xét đoán và ban cho các thánh của Đấng Rất Cao và thì giờ đã đến, là khi các thánh được nước làm của mình.|直 到 亙 古 常 在 者 來 給 至 高 者 的 聖 民 伸 冤 、 聖 民 得 國 的 時 候 就 到 了 。
Vậy người nói cùng ta như vầy: Con thú thứ tư sẽ làm nước thứ tư trên đất, khác với hết thảy các nước, và nó sẽ nuốt cả đất, giày đạp và nghiền nát ra.|那 侍 立 者 這 樣 說 、 第 四 獸 就 是 世 上 必 有 的 第 四 國 、 與 一 切 國 大 不 相 同 、 必 吞 喫 全 地 、 並 且 踐 踏 嚼 碎 。
Mười cái sừng là mười vua sẽ dấy khiến từ nước đó; và có một vua dấy lên sau, khác với các vua trước, và người đánh đổ ba vua.|至 於 那 十 角 、 就 是 從 這 國 中 必 興 起 的 十 王 、 後 來 又 興 起 一 王 、 與 先 前 的 不 同 、 他 必 制 伏 三 王 。
Vua đó sẽ nói những lời phạm đến Đấng Rất Cao, làm hao mòn các thánh của Đấng Rất Cao, và định ý đổi những thời kỳ và luật pháp; các thánh sẽ bị phó trong tay người cho đến một kỳ, những kỳ, và nửa kỳ.|他 必 向 至 高 者 說 誇 大 的 話 、 必 折 磨 至 高 者 的 聖 民 、 必 想 改 變 節 期 、 和 律 法 ． 聖 民 必 交 付 他 手 一 載 、 二 載 、 半 載 。
Nhưng sẽ xét đoán sẽ đến, và người ta sẽ cất quyền thế khỏi nó, để diệt đi và làm cho hủy phá đến cuối cùng.|然 而 審 判 者 必 坐 著 行 審 判 、 他 的 權 柄 必 被 奪 去 、 毀 壞 、 滅 絕 、 一 直 到 底 。
