
					I-sai-a 1				|
Ta sẽ giải cứu ngươi cùng thành nầy khỏi tay vua A-si-ri, và ta sẽ binh vực thành nầy.|並 且 我 要 救 你 和 這 城 脫 離 亞 述 王 的 手 、 也 要 保 護 這 城 。
Nầy là dấu Đức Giê-hô-va ban cho ngươi để nghiệm biết Đức Giê-hô-va sẽ làm hoàn thành lời mình đã phán:|我 耶 和 華 必 成 就 我 所 說 的 、 我 先 給 你 一 個 兆 頭 ．
trên bàn trắc ảnh A-cha, ta sẽ làm cho bóng mặt trời đương đi và đã đi quá, lui lại mười độ. Vậy thì trên bàn trắc ảnh, bóng mặt trời đã lui lại mười độ mà nó đã đi quá rồi.|就 是 叫 亞 哈 斯 的 日 晷 、 向 前 進 的 日 影 往 後 退 十 度 ． 於 是 前 進 的 日 影 、 果 然 在 日 晷 上 往 後 退 了 十 度 。
Nầy là lời chép của Ê-xê-chia, vua Giu-đa, khi đã lâm bịnh và được lành bịnh:|猶 大 王 希 西 家 患 病 已 經 痊 愈 、 就 作 詩 說 、
Tôi từng nói: Vậy thì, đương khi giữa trưa của đời tôi, tôi hầu vào cửa âm phủ, còn mấy năm thừa bị cất mất!|我 說 、 正 在 我 中 年 〔 或 作 晌 午 〕 之 日 、 必 進 入 陰 間 的 門 ． 我 餘 剩 的 年 歲 不 得 享 受 。
Tôi từng nói: Tôi sẽ chẳng thấy Đức Giê-hô-va nữa, là Đức Giê-hô-va ở trên đất người sống. Tôi chẳng còn thấy loài người ở cùng dân cư thế gian.|我 說 、 我 必 不 得 見 耶 和 華 、 就 是 在 活 人 之 地 不 見 耶 和 華 ． 我 與 世 上 的 居 民 不 再 見 面 。
Nhà của tôi bị triệt đi, dời xa khỏi tôi như cái trại của người chăn chiên. Tôi cuốn đời tôi như thợ dệt cuốn vải nó; Chúa sẽ cắt tôi khỏi khung cửi; từ sáng đến tối, Chúa sẽ dứt mạng sống tôi!|我 的 住 處 被 遷 去 離 開 我 、 好 像 牧 人 的 帳 棚 一 樣 ． 我 將 性 命 捲 起 、 像 織 布 的 捲 布 一 樣 ． 耶 和 華 必 將 我 從 機 頭 剪 斷 、 從 早 到 晚 、 他 要 使 我 完 結 。
Tôi làm thinh cho đến sáng mai: như Ngài đã xé cả xương tôi như sư tử vậy. Từ sáng đến tối, Chúa sẽ dứt mạng sống tôi!|我 使 自 己 安 靜 直 到 天 亮 ． 他 像 獅 子 折 斷 我 一 切 的 骨 頭 、 從 早 到 晚 、 他 要 使 我 完 結 。
Tôi rầm rì như chim hạc chim yến; gù như chim bò câu; mắt tôi nhìn trên cao nên nỗi mỏi. Hỡi Đức Giê-hô-va, tôi đương cơn sầu khổ, xin Ngài bảo lãnh tôi.|我 像 燕 子 呢 喃 ． 像 白 鶴 鳴 叫 ． 又 像 鴿 子 哀 鳴 ． 我 因 仰 觀 、 眼 睛 困 倦 ． 耶 和 華 阿 、 我 受 欺 壓 、 求 你 為 我 作 保 。
Tôi còn nói gì? Ngài đã phán cùng tôi thì Ngài cũng đã làm thành việc nầy. Trọn đời tôi sẽ ăn ở cách khiêm nhường vì cớ trong lòng cay đắng.|我 可 說 甚 麼 呢 、 他 應 許 我 的 、 也 給 我 成 就 了 ． 我 因 心 裡 的 苦 楚 、 在 一 生 的 年 日 、 必 悄 悄 而 行 。
Hỡi Chúa, người ta được sống là nhờ đó; thần linh tôi được sống cũng nhờ đó! Xin Chúa chữa lành tôi, khiến tôi được sống.|主 阿 、 人 得 存 活 、 乃 在 乎 此 ． 我 靈 存 活 、 也 全 在 此 。 所 以 求 你 使 我 痊 愈 、 仍 然 存 活 。
Nầy, sự rất cay đắng của tôi đã trở nên sự bình an! Chúa đã yêu thương linh hồn tôi, đem nó ra khỏi hầm hư nát; vì Chúa đã ném mọi tội lỗi tôi ra sau lưng Ngài.|看 哪 、 我 受 大 苦 、 本 為 使 我 得 平 安 、 你 因 愛 我 的 靈 魂 、 〔 或 作 生 命 〕 便 救 我 脫 離 敗 壞 的 坑 、 因 為 你 將 我 一 切 的 罪 、 扔 在 你 的 背 後 。
Nơi âm phủ chẳng ngợi khen Ngài được, và sự chết chẳng tôn vinh Ngài được; những kẻ đã xuống mồ rồi chẳng còn trông cậy sự thành thật của Ngài nữa.|原 來 陰 間 不 能 稱 謝 你 、 死 亡 不 能 頌 揚 你 、 下 坑 的 人 不 能 盼 望 你 的 誠 實 ．
Duy kẻ sống, kẻ sống mới hay tôn vinh Ngài, như tôi làm ngày nay; kẻ làm cha sẽ cho con cái mình biết sự thành thật của Ngài.|只 有 活 人 、 活 人 必 稱 謝 你 、 像 我 今 日 稱 謝 你 一 樣 ． 為 父 的 、 必 使 兒 女 知 道 你 的 誠 實 。
Đức Giê-hô-va là Đấng cứu tôi! Trọn đời chúng tôi sẽ đờn và hát trong nhà Đức Giê-hô-va!|耶 和 華 肯 救 我 、 所 以 我 們 要 一 生 一 世 、 在 耶 和 華 殿 中 用 絲 絃 的 樂 器 、 唱 我 的 詩 歌 。
Vả, Ê-sai có nói rằng: Hãy lấy một cái bánh trái vả đắp trên mụt ung độc, vua sẽ được lành.|以 賽 亞 說 、 當 取 一 塊 無 花 果 餅 來 、 貼 在 瘡 上 、 王 必 痊 愈 。
Ê-xê-chia đáp rằng: Có dấu nào cho ta biết rằng ta còn được lên nhà Đức Giê-hô-va nữa chăng?|希 西 家 問 說 、 我 能 上 耶 和 華 的 殿 、 有 甚 麼 兆 頭 呢 。

					I-sai-a 39				|
						以賽亞書 39					
Trong lúc đó, vua Ba-by-lôn, là Mê-rô-đác-Ba-la-đan, con vua Ba-la-đan, sai đưa thơ và lễ vật dâng Ê-xê-chia; vì nghe người đau và được lành.|那 時 、 巴 比 倫 王 巴 拉 但 的 兒 子 米 羅 達 巴 拉 但 、 聽 見 希 西 家 病 而 痊 愈 、 就 送 書 信 和 禮 物 給 他 。
Ê-xê-chia vui mừng vì các sứ thần, thì cho xem trong cung điện, nơi để những của quí, như bạc vàng, thuốc thơm, dầu báu, cùng kho khí giới, và mọi đồ trong phủ khố mình. Phàm vật chi trong cung và trong cả nước mình, chẳng có tí gì là Ê-xê-chia chẳng cho các sứ thần xem đến.|希 西 家 喜 歡 見 使 者 、 就 把 自 己 寶 庫 的 金 子 、 銀 子 、 香 料 、 貴 重 的 膏 油 、 和 他 武 庫 的 一 切 軍 器 、 並 所 有 的 財 寶 都 給 他 們 看 ． 他 家 中 和 全 國 之 內 、 希 西 家 沒 有 一 樣 不 給 他 們 看 的 。
Đấng tiên tri Ê-sai bèn đến chầu vua Ê-xê-chia, và hỏi rằng: Các người đó nói chi, và từ đâu đến thăm vua? Ê-xê-chia đáp rằng: Họ đến từ phương xa, tức là từ nước Ba-by-lôn.|於 是 先 知 以 賽 亞 來 見 希 西 家 王 、 問 他 說 、 這 些 人 說 甚 麼 、 他 們 從 那 裡 來 見 你 ． 希 西 家 說 、 他 們 從 遠 方 的 巴 比 倫 來 見 我 。
Ê-sai tiếp rằng: Họ đã xem gì trong cung vua? Ê-xê-chia đáp rằng: Họ đã xem hết thảy mọi vật ở trong cung ta; chẳng có vật gì trong phủ khố ta mà ta chẳng chỉ cho họ.|以 賽 亞 說 、 他 們 在 你 家 裡 看 見 了 甚 麼 ． 希 西 家 說 、 凡 我 家 中 所 有 的 、 他 們 都 看 見 了 、 我 財 寶 中 沒 有 一 樣 不 給 他 們 看 的 。
Ê-sai bèn tâu cùng Ê-xê-chia rằng: Xin nghe lời Đức Giê-hô-va vạn quân phán:|以 賽 亞 對 希 西 家 說 、 你 要 聽 萬 軍 之 耶 和 華 的 話 ．
Nầy, ngày đến, là khi mọi vật trong cung ngươi, mọi vật mà tổ tiên ngươi đã chứa trong kho cho đến ngày nay, sẽ dời sang Ba-by-lôn, chẳng còn tí nào hết, Đức Giê-hô-va phán vậy.|日 子 必 到 、 凡 你 家 裡 所 有 的 、 並 你 列 祖 積 蓄 到 如 今 的 、 都 要 被 擄 到 巴 比 倫 去 、 不 留 下 一 樣 、 這 是 耶 和 華 說 的 。
Các con trai ngươi, con cháu ra từ ngươi, sanh bởi ngươi, cũng có kẻ sẽ bị bắt để làm quan hoạn trong cung vua Ba-by-lôn.|並 且 從 你 本 身 所 生 的 眾 子 、 其 中 必 有 被 擄 去 、 在 巴 比 倫 王 宮 裡 當 太 監 的 。
Ê-xê-chia đáp lại cùng Ê-sai rằng: Lời của Đức Giê-hô-va mà ông vừa thuật cho ta nghe đó là tốt lắm! Lại rằng: Vì trong ngày ta còn sống, sẽ được bình yên và lẽ thật.|希 西 家 對 以 賽 亞 說 、 你 所 說 耶 和 華 的 話 甚 好 、 因 為 在 我 的 年 日 中 、 必 有 太 平 和 穩 固 的 景 況 。

					I-sai-a 40				|
						以賽亞書 40					
Đức Chúa Trời của các ngươi phán rằng: Hãy yên ủi, hãy yên ủi dân ta.|你 們 的 　 神 說 、 你 們 要 安 慰 、 安 慰 我 的 百 姓 。
Hãy nói cho thấu lòng Giê-ru-sa-lem, và rao rằng sự tranh chiến của nó đã trọn; tội lỗi nó đã được tha; nó đã chịu gấp hai từ tay Đức Giê-hô-va vì các tội mình.|要 對 耶 路 撒 冷 說 安 慰 的 話 、 又 向 他 宣 告 說 、 他 爭 戰 的 日 子 已 滿 了 、 他 的 罪 孽 赦 免 了 、 他 為 自 己 的 一 切 罪 、 從 耶 和 華 手 中 加 倍 受 罰 。
Có tiếng kêu rằng: Hãy mở đường trong đồng vắng cho Đức Giê-hô-va; hãy ban bằng đường cái trong đất hoang cho Đức Chúa Trời chúng ta!|有 人 聲 喊 著 說 、 在 曠 野 豫 備 耶 和 華 的 路 、 〔 或 作 在 曠 野 有 人 聲 喊 著 說 當 豫 備 耶 和 華 的 路 〕 在 沙 漠 地 修 平 我 們 　 神 的 道 。
Mọi nơi sủng thấp sẽ được cao lên; mọi núi mọi gò sẽ bị hạ xuống; các nơi gập ghềnh sẽ làm cho bằng; các nơi dốc hãm sẽ làm thành đồng nội.|一 切 山 窪 都 要 填 滿 、 大 小 山 岡 都 要 削 平 、 高 高 低 低 的 要 改 為 平 坦 、 崎 崎 嶇 嶇 的 必 成 為 平 原 。
Bấy giờ sự vinh hiển của Đức Giê-hô-va sẽ hiện ra, và mọi xác thịt đều sẽ xem thấy; vì miệng Đức Giê-hô-va đã phán vậy.|耶 和 華 的 榮 耀 必 然 顯 現 、 凡 有 血 氣 的 、 必 一 同 看 見 、 因 為 這 是 耶 和 華 親 口 說 的 。
Có tiếng kẻ rằng: Hãy kêu! Và có đáp rằng: Tôi sẽ kêu thế nào? Mọi xác thịt giống như cỏ, nhan sắc nó như hoa ngoài đồng.|有 人 聲 說 、 你 喊 叫 罷 ． 有 一 個 說 、 我 喊 叫 甚 麼 呢 ． 說 、 凡 有 血 氣 的 、 盡 都 如 草 、 他 的 美 容 、 都 像 野 地 的 花 。
Cỏ khô, hoa rụng, vì hơi Đức Giê-hô-va thổi qua. Phải, dân nầy khác nào cỏ ấy:|草 必 枯 乾 、 花 必 凋 殘 、 因 為 耶 和 華 的 氣 吹 在 其 上 ． 百 姓 誠 然 是 草 。
cỏ khô, hoa rụng; nhưng lời của Đức Chúa Trời chúng ta còn mãi đời đời!|草 必 枯 乾 、 花 必 凋 殘 、 惟 有 我 們 　 神 的 話 、 必 永 遠 立 定 。
Ai rao tin lành cho Si-ôn, hãy lên trên núi cao! Ai rao tin lành cho Giê-ru-sa-lem, hãy ra sức cất tiếng lên! Hãy cất tiếng lên, đừng sợ! Hãy bảo các thành của Giu-đa rằng: Đức Chúa Trời của các ngươi đây!|報 好 信 息 給 錫 安 的 阿 、 你 要 登 高 山 ． 報 好 信 息 給 耶 路 撒 冷 的 阿 、 你 要 極 力 揚 聲 ． 揚 聲 不 要 懼 怕 、 對 猶 大 的 城 邑 說 、 看 哪 、 你 們 的 　 神 。
Nầy, Chúa Giê-hô-va sẽ lấy quyền năng mà đến; Ngài dùng cánh tay mình và cai trị. Nầy, sự ban thưởng Ngài ở nơi Ngài, sự báo trả Ngài ở trước mặt Ngài.|主 耶 和 華 必 像 大 能 者 臨 到 、 他 的 膀 臂 必 為 他 掌 權 ． 他 的 賞 賜 在 他 那 裡 、 他 的 報 應 在 他 面 前 。
Ngài sẽ chăn bầy mình như người chăn chiên; thâu các con chiên con vào cánh tay mình và ẳm vào lòng; từ từ dắt các chiên cái đương cho bú.|他 必 像 牧 人 牧 養 自 己 的 羊 群 、 用 膀 臂 聚 集 羊 羔 抱 在 懷 中 、 慢 慢 引 導 那 乳 養 小 羊 的 。
Ai đã lấy lòng bàn tay mà lường biển, lấy gang tay mà đo các từng trời? Ai đã lấy đấu mà đong bụi đất? Ai đã dùng cân mà cân núi, và dùng thăng bằng mà cân gò?|誰 曾 用 手 心 量 諸 水 、 用 手 虎 口 量 蒼 天 、 用 升 斗 盛 大 地 的 塵 土 、 用 秤 稱 山 嶺 、 用 天 平 平 岡 陵 呢 。
Ai lường được Thần của Đức Chúa Trời, và làm mưu sĩ Ngài, đặng dạy Ngài điều gì?|誰 曾 測 度 耶 和 華 的 心 、 〔 或 作 誰 曾 指 示 耶 和 華 的 靈 〕 、 或 作 他 的 謀 士 指 教 他 呢 。
Nào Ngài đã bàn luận với ai? Ai đã dạy khôn cho Ngài và dạy Ngài đường công nghĩa? Nào ai đã đem sự thông biết dạy Ngài và chỉ cho Ngài lối khôn ngoan?|他 與 誰 商 議 、 誰 教 導 他 、 誰 將 公 平 的 路 指 示 他 、 又 將 知 識 教 訓 他 、 將 通 達 的 道 指 教 他 呢 。
Kìa, các dân tộc khác nào một giọt nước nhỏ trong thùng, và kể như là một mảy bụi rơi trên cân; nầy, Ngài giở các cù lao lên như đồi vật nhỏ.|看 哪 、 萬 民 都 像 水 桶 的 一 滴 、 又 算 如 天 平 上 的 微 塵 ． 他 舉 起 眾 海 島 、 好 像 極 微 之 物 。
Rừng Li-ban chẳng đủ đốt lửa, những thú vật ở đó chẳng đủ làm của lễ thiêu.|利 巴 嫩 的 樹 林 不 彀 當 柴 燒 、 其 中 的 走 獸 也 不 彀 作 燔 祭 。
Mọi dân tộc ở trước mặt Đức Giê-hô-va thảy đều như không, Ngài xem như trống không và hư vô vậy.|萬 民 在 他 面 前 好 像 虛 無 、 被 他 看 為 不 及 虛 無 、 乃 為 虛 空 。
Vậy thì các ngươi có thể vì Đức Chúa Trời với ai, lấy ảnh tượng nào mà so sánh với Ngài được?|你 們 究 竟 將 誰 比 　 神 、 用 甚 麼 形 像 與 　 神 比 較 呢 。
Khi người thợ đúc tượng, thì thợ bạc lấy vàng mà bọc, và đúc cho những cái dây chuyền bằng bạc.|偶 像 是 匠 人 鑄 造 、 銀 匠 用 金 包 裹 、 為 他 鑄 造 銀 鍊 。
Kẻ nghèo không dâng nổi vật đó, thì chọn gỗ không mục được, và tìn thợ khéo đặng trổ một tượng không lay đổ.|窮 乏 獻 不 起 這 樣 供 物 的 、 就 揀 選 不 能 朽 壞 的 樹 木 、 為 自 己 尋 找 巧 匠 、 立 起 不 能 搖 動 的 偶 像 。
Các ngươi không biết sao? Vậy thì các ngươi không nghe sao? Người ta há chưa dạy cho các ngươi từ lúc ban đầu? Các ngươi há chẳng hiểu từ khi dựng nền đất?|你 們 豈 不 曾 知 道 麼 、 你 們 豈 不 曾 聽 見 麼 、 從 起 初 豈 沒 有 人 告 訴 你 們 麼 、 自 從 立 地 的 根 基 、 你 們 豈 沒 有 明 白 麼 。
Ay là Đấng ngự trên vòng trái đất nầy, các dân cư trên đất như cào cào vậy. Chính Ngài là Đấng giương các từng trời ra như cái màn, và giương ra như trại để ở.|　 神 坐 在 地 球 大 圈 之 上 、 地 上 的 居 民 好 像 蝗 蟲 ． 他 鋪 張 穹 蒼 如 幔 子 、 展 開 諸 天 如 可 住 的 帳 棚 。
Chính Ngài là Đấng làm tiêu diệt các quan trưởng và làm cho các quan xét trên đất ra hư không.|他 使 君 王 歸 於 虛 無 、 使 地 上 的 審 判 官 成 為 虛 空 。
Họ mới trồng, mới gieo, cây mới châm rễ trong đất, hơi Đức Giê-hô-va thổi qua, thì khô héo; nầy, gió lốc đùa hết đi như rơm rác.|他 們 是 剛 纔 栽 上 、 〔 剛 纔 或 作 不 曾 下 同 〕 剛 纔 種 上 、 根 也 剛 纔 扎 在 地 裡 、 他 一 吹 在 其 上 、 便 都 枯 乾 、 旋 風 將 他 們 吹 去 、 像 碎 秸 一 樣 。
Đấng Thánh phán rằng: Vậy thì các ngươi sánh ta cùng ai? Ai sẽ bằng ta?|那 聖 者 說 、 你 們 將 誰 比 我 、 叫 他 與 我 相 等 呢 。
Hãy ngước mắt lên cao mà xem: Ai đã tạo những vật nầy? Ay là Đấng khiến các cơ binh ra theo số nó, và đặt tên hết thảy; chẳng một vật nào thiếu, vì sức mạnh Ngài lớn lắm, và quyền năng Ngài rất cao.|你 們 向 上 舉 目 、 看 誰 創 造 這 萬 象 、 按 數 目 領 出 、 他 一 一 稱 其 名 ． 因 他 的 權 能 、 又 因 他 的 大 能 大 力 、 連 一 個 都 不 缺 。
Vậy thì, hỡi Gia-cốp, sao ngươi nói, hãy Y-sơ-ra-ên, sao ngươi nói như vầy: Đường tôi đã khuất khỏi Đức Giê-hô-va, lý đoán tôi qua khỏi Đức Chúa Trời tôi?|雅 各 阿 、 你 為 何 說 、 我 的 道 路 向 耶 和 華 隱 藏 ． 以 色 列 阿 、 你 為 何 言 、 我 的 冤 屈 　 神 並 不 查 問 。
Ngươi không biết sao, không nghe sao? Đức Chúa Trời hằng sống, là Đức Giê-hô-va, là Đấng đã dựng nên các đầu cùng đất, chẳng mỏi chẳng mệt; sự khôn ngoan Ngài không thể dò.|你 豈 不 曾 知 道 麼 、 你 豈 不 曾 聽 見 麼 、 永 在 的 　 神 耶 和 華 、 創 造 地 極 的 主 、 並 不 疲 乏 、 也 不 困 倦 ． 他 的 智 慧 無 法 測 度 。
Ngài ban sức mạnh cho kẻ nhọc nhằn, thêm lực lượng cho kẻ chẳng có sức.|疲 乏 的 、 他 賜 能 力 ． 軟 弱 的 、 他 加 力 量 ．
Những kẻ trai trẻ cũng phải mòn mỏi mệt nhọc, người trai tráng cũng phải vấp ngã.|就 是 少 年 人 也 要 疲 乏 困 倦 、 強 壯 的 也 必 全 然 跌 倒 ．
Nhưng ai trông đợi Đức Giê-hô-va thì chắc được sức mới, cất cánh bay cao như chim ưng; chạy mà không mệt nhọc, đi mà không mòn mỏi.|但 那 等 候 耶 和 華 的 、 必 從 新 得 力 、 他 們 必 如 鷹 展 翅 上 騰 、 他 們 奔 跑 卻 不 困 倦 、 行 走 卻 不 疲 乏 。

					I-sai-a 41				|
						以賽亞書 41					
Hỡi các cù lao, hãy nín lặng trước mặt ta; các dân tộc hãy lấy sức mới; hãy đến gần, thì mới nói! Chúng ta hãy đến gần nhau để xét đoán!|眾 海 島 阿 、 當 在 我 面 前 靜 默 ． 眾 民 當 從 新 得 力 、 都 要 近 前 來 纔 可 以 說 話 ． 我 們 可 以 彼 此 辯 論 。
Ai đã khiến người kia dấy lên từ phương đông, lấy sự công bình gọi người đến kề chơn mình? Ngài phó các dân tộc trước mặt Người, khiến người cai trị các vua, phó họ như bụi cho gươm người, giống như rác rến bị gió thổi cho cung người.|誰 從 東 方 興 起 一 人 、 憑 公 義 召 他 來 到 腳 前 呢 。 耶 和 華 將 列 國 交 給 他 、 使 他 管 轄 君 王 、 把 他 們 如 灰 塵 交 與 他 的 刀 、 如 風 吹 的 碎 秸 交 與 他 的 弓 。
Người đuổi theo họ trên con đường chưa hề đặt chơn, mà vẫn vô sự lướt dặm.|他 追 趕 他 們 、 走 他 所 未 走 的 道 、 坦 然 前 行 。
Ai đã làm và thành tựu việc nầy? Ay là chính ta, Đức Giê-hô-va, là đầu tiên, mà cũng sẽ ở với cuối cùng.|誰 行 作 成 就 這 事 、 從 起 初 宣 召 歷 代 呢 、 就 是 我 耶 和 華 、 我 是 首 先 的 、 也 與 末 後 的 同 在 。
Các cù lao thấy và thất kinh; các đầu cùng đất đều run rẩy. Chúng nó đều đến gần và nhóm lại,|海 島 看 見 就 都 害 怕 、 地 極 也 都 戰 兢 、 就 近 前 來 。
ai nấy giúp đỡ kẻ lân cận mình, và bảo anh em mình rằng: Hãy phấn chí!|他 們 各 人 幫 助 鄰 舍 、 各 人 對 弟 兄 說 、 壯 膽 罷 。
Thợ mộc giục lòng thợ vàng; kẻ dùng búa đánh bóng giục lòng kẻ đánh đe; luận về việc hàn rằng: Hàn vẫn tốt; đoạn lấy đinh đóng nó cho khỏi lung lay.|木 匠 勉 勵 銀 匠 、 用 鎚 打 光 的 勉 勵 打 砧 的 、 論 銲 工 說 、 銲 得 好 ． 又 用 釘 子 釘 穩 、 免 得 偶 像 動 搖 。
Nhưng, hỡi Y-sơ-ra-ên, ngươi là tôi tớ ta, còn ngươi, Gia-cốp, là kẻ ta đã chọn, dòng giống của Ap-ra-ham, bạn ta;|惟 你 以 色 列 我 的 僕 人 、 雅 各 我 所 揀 選 的 、 我 朋 友 亞 伯 拉 罕 的 後 裔 、
ta đã cầm lấy ngươi từ đầu cùng đất, gọi ngươi từ các góc đất, mà bảo ngươi rằng: Ngươi là tôi tớ ta; ta đã lựa ngươi, chưa từng bỏ ngươi.|你 是 我 從 地 極 所 領 〔 原 文 作 抓 〕 來 的 、 從 地 角 所 召 來 的 、 且 對 你 說 、 你 是 我 的 僕 人 、 我 揀 選 你 並 不 棄 絕 你 。
Đừng sợ, vì ta ở với ngươi; chớ kinh khiếp, vì ta là Đức Chúa Trời ngươi! Ta sẽ bổ sức cho ngươi; phải, ta sẽ giúp đỡ ngươi, lấy tay hữu công bình ta mà nâng đỡ ngươi.|你 不 要 害 怕 、 因 為 我 與 你 同 在 ． 不 要 驚 惶 、 因 為 我 是 你 的 　 神 ． 我 必 堅 固 你 、 我 必 幫 助 你 、 我 必 用 我 公 義 的 右 手 扶 持 你 。
Nầy, những kẻ nổi giận cùng ngươi sẽ hổ thẹn nhuốc nha. Những kẻ dấy lên nghịch cùng ngươi sẽ ra hư không và chết mất.|凡 向 你 發 怒 的 、 必 都 抱 愧 蒙 羞 ． 與 你 相 爭 的 、 必 如 無 有 、 並 要 滅 亡 。
Những kẻ công kích ngươi, ngươi sẽ tìm nó mà chẳng thấy; những kẻ giao chiến cùng ngươi sẽ bị diệt và thành không.|與 你 爭 競 的 、 你 要 找 他 們 也 找 不 著 ． 與 你 爭 戰 的 、 必 如 無 有 、 成 為 虛 無 。
Vì ta, là Giê-hô-va Đức Chúa Trời ngươi, sẽ nắm tay hữu ngươi, và phán cùng ngươi rằng: Đừng sợ, ta sẽ giúp đỡ ngươi;|因 為 我 耶 和 華 你 的 　 神 、 必 攙 扶 你 的 右 手 、 對 你 說 、 不 要 害 怕 、 我 必 幫 助 你 。
hỡi sâu bọ Gia-cốp, và các ngươi của dân Y-sơ-ra-ên, đừng sợ chi hết, ta sẽ giúp ngươi, Đức Giê-hô-va phán vậy, tức là Đấng Thánh của Y-sơ-ra-ên, và là Đấng chuộc ngươi.|你 這 蟲 雅 各 、 和 你 們 以 色 列 人 、 不 要 害 怕 ． 耶 和 華 說 、 我 必 幫 助 你 ． 你 的 救 贖 主 、 就 是 以 色 列 的 聖 者 。
Nầy, ta sẽ lấy ngươi làm cái bừa nhọn, thật mới và có răng bén. Ngươi sẽ tán các núi và nghiền nhỏ ra, làm cho các gò nên giống như cám mịn.|看 哪 、 我 已 使 你 成 為 有 快 齒 打 糧 的 新 器 具 、 你 要 把 山 嶺 打 得 粉 碎 、 使 岡 陵 如 同 糠 秕 。
Ngươi sẽ dê nó, gió sẽ đùa đi, gió lốc sẽ làm tan lạc; nhưng ngươi sẽ vui mừng trong Đức Giê-hô-va, khoe mình trong Đấng Thánh của Y-sơ-ra-ên.|你 要 把 他 簸 揚 風 要 吹 去 、 旋 風 要 把 他 颳 散 ． 你 倒 要 以 耶 和 華 為 喜 樂 、 以 以 色 列 的 聖 者 為 誇 耀 。
Những kẻ nghèo nàn thiếu thốn tìm nước mà không được, lưỡi khô vì khát; nhưng ta, Đức Giê-hô-va, sẽ nhậm lời họ; ta, Đức Chúa Trời của Y-sơ-ra-ên, sẽ không lìa bỏ họ đâu.|困 苦 窮 乏 人 尋 求 水 卻 沒 有 、 他 們 因 口 渴 、 舌 頭 乾 燥 ． 我 耶 和 華 必 應 允 他 們 、 我 以 色 列 的 　 神 必 不 離 棄 他 們 。
Ta sẽ khiến sông chảy ra trên đỉnh núi trọi, và suối trào lên giữa trũng. Ta sẽ biến sa mạc thành ao, và đất khô thành nguồn nước.|我 要 在 淨 光 的 高 處 開 江 河 、 在 谷 中 開 泉 源 、 我 要 使 沙 漠 變 為 水 池 、 使 乾 地 變 為 湧 泉 。
Ta sẽ đặt trong đồng vắng những cây hương bách, cây tạo giáp, cây sim và cây dầu. Ta sẽ trồng chung nơi sa mạc những cây tùng, cây sam, cây hoàng dương,|我 要 在 曠 野 種 上 香 柏 樹 、 皂 莢 樹 、 番 石 榴 樹 、 和 野 橄 欖 樹 ． 我 在 沙 漠 要 把 松 樹 、 杉 樹 、 並 黃 楊 樹 一 同 栽 植 ．
hầu cho mọi người xem thấy và biết, ngẫm nghĩ và cùng nhau hiểu rằng tay Đức Giê-hô-va đã làm sự đó, Đấng Thánh của Y-sơ-ra-ên đã dựng nên sự đó.|好 叫 人 看 見 、 知 道 、 思 想 、 明 白 、 這 是 耶 和 華 的 手 所 作 的 、 是 以 色 列 的 聖 者 所 造 的 。
Đức Giê-hô-va phán: Hãy trình đơn các ngươi; Vua của Gia-cốp phán: Hãy bày tỏ lẽ mạnh các ngươi.|耶 和 華 對 假 神 說 、 你 們 要 呈 上 你 們 的 案 件 、 雅 各 的 君 說 、 你 們 要 聲 明 你 們 確 實 的 理 由 。
Phải, hãy thuật lại đi! Hãy rao cho chúng ta điều sẽ xảy đến! Hãy tỏ ra những điều đã có lúc trước, cho chúng ta để ý nghiệm sự cuối cùng nó là thế nào, hãy là bảo cho chúng ta biết những sự hầu đến.|可 以 聲 明 、 指 示 我 們 將 來 必 遇 的 事 、 說 明 先 前 的 是 甚 麼 事 、 好 叫 我 們 思 索 、 得 知 事 的 結 局 、 或 者 把 將 來 的 事 指 示 我 們 。
Hãy rao những việc sẽ xảy đến sau nầy, cho chúng ta biết các ngươi là thần, cũng hãy xuống phước hoặc xuống họa đi, hầu cho chúng ta cùng nhau xem thấy và lấy làm lạ.|要 說 明 後 來 的 事 、 好 叫 我 們 知 道 你 們 是 神 、 你 們 或 降 福 、 或 降 禍 、 使 我 們 驚 奇 、 一 同 觀 看 。
Nầy các ngươi chẳng ra gì, sự các ngươi làm cũng là vô ích; kẻ lựa chọn các ngươi là đáng gớm ghiếc!|看 哪 、 你 們 屬 乎 虛 無 、 你 們 的 作 為 也 屬 乎 虛 空 ． 那 選 擇 你 們 的 是 可 憎 惡 的 。
Ta dấy lên một người từ phương bắc, và người đã đến; người kêu cầu danh ta từ phía mặt trời mọc, giẵm lên trên các quan trưởng như giẵm trên đất vôi, khác nào thự gốm nhồi đất sét.|我 從 北 方 興 起 一 人 、 他 是 求 告 我 名 的 、 從 日 出 之 地 而 來 ． 他 必 臨 到 掌 權 的 、 好 像 臨 到 灰 泥 、 彷 彿 ? 匠 踹 泥 一 樣 。
Ai đã tỏ ra điều đó từ lúc ban đầu cho chúng ta biết? Ai đã rao ra từ trước đặng chúng ta nói rằng, người là công bình? Nhưng chẳng ai rao hết, chẳng ai báo hết, chẳng ai từng nghe tiếng các ngươi.|誰 從 起 初 指 明 這 事 、 使 我 們 知 道 呢 ． 誰 從 先 前 說 明 、 使 我 們 說 他 不 錯 呢 ． 誰 也 沒 有 指 明 、 誰 也 沒 有 說 明 。 誰 也 沒 有 聽 見 你 們 的 話 。
