
					Xê-ca-ri-a 1				|
Chỉ trong một thánh ta diệt mất ba kẻ chăn, vì linh hồn ta đã nhàm chúng nó, và linh hồn chúng nó cũng chán ta.|一 月 之 內 、 我 除 滅 三 個 牧 人 ． 因 為 我 的 心 厭 煩 他 們 、 他 們 的 心 也 憎 嫌 我 。
Ta bèn nói rằng: Ta sẽ không chăn bay. Con nào chết, chết đi; con nào mất, mất đi; còn những con nào sót lại thì con nầy ăn thịt con kia.|我 就 說 、 我 不 牧 養 你 們 ． 要 死 的 、 由 他 死 ． 要 喪 亡 的 、 由 他 喪 亡 ． 餘 剩 的 、 由 他 們 彼 此 相 食 。
Đoạn, ta lấy gậy ta gọi là Tốt đẹp mà chặt nó ra từng khúc, đặng dứt lời giao ước mà ta đã kết với hết thảy các dân.|我 折 斷 那 稱 為 榮 美 的 杖 、 表 明 我 廢 棄 與 萬 民 所 立 的 約 。
Nó bị dứt trong ngày đó; vậy thì những con chiên rất khốn nạn trong bầy, là chiên nghe theo ta, biết rằng ấy là lời Đức Giê-hô-va.|當 日 就 廢 棄 了 ． 這 樣 、 那 些 仰 望 我 的 困 苦 羊 、 就 知 道 所 說 的 是 耶 和 華 的 話 。
Ta nói cùng chúng nó rằng: Nếu các ngươi lấy làm tốt, thì hãy cho tiền công ta; bằng không thì đừng cho. Chúng nó bèn cân tiền công cho ta, là ba chục miếng bạc.|我 對 他 們 說 、 你 們 若 以 為 美 、 就 給 我 工 價 、 不 然 、 就 罷 了 。 於 是 他 們 給 了 三 十 塊 錢 作 為 我 的 工 價 。
Đức Giê-hô-va phán cùng ta rằng: Hãy lấy giá tốt mà chúng nó định cho ta đó, đem quăng cho thợ gốm! Ta bèn lấy ba chục miếng bạc mà quăng cho thợ gốm tại trong nhà Đức Giê-hô-va.|耶 和 華 吩 咐 我 說 、 要 把 眾 人 所 估 定 美 好 的 價 值 、 丟 給 ? 戶 。 我 便 將 這 三 十 塊 錢 、 在 耶 和 華 的 殿 中 、 丟 給 ? 戶 了 。
Rồi ta chặt gậy thứ hai của ta, gọi là Dây buộc, đặng dứt tình anh em giữa Giu-đa và Y-sơ-ra-ên.|我 又 折 斷 稱 為 聯 索 的 那 根 杖 、 表 明 我 廢 棄 猶 大 與 以 色 列 弟 兄 的 情 誼 。
Đức Giê-hô-va phán cùng ta rằng: Hãy lấy khí vật của kẻ chăn dại dột cho ngươi.|耶 和 華 又 吩 咐 我 說 、 你 再 取 愚 昧 人 所 用 的 器 具 。
Vì nầy, ta sẽ dấy lên một kẻ chăn trong đất nầy, kẻ ấy sẽ chẳng thăm viếng chiên bị mất, chẳng tìm kiếm chiên tản lạc, không chữa con nào bị thương, không nuôi con nào mập mạnh; song nó ăn thịt con rất mập, và xé móng chúng nó.|因 我 要 在 這 地 興 起 一 個 牧 人 ． 他 不 看 顧 喪 亡 的 、 不 尋 找 分 散 的 、 不 醫 治 受 傷 的 、 也 不 牧 養 強 壯 的 ． 卻 要 喫 肥 羊 的 肉 、 撕 裂 他 的 蹄 子 。
Khốn thay cho kẻ chăn vô ích bỏ bầy mình! Gươm sẽ ở trên cánh tay nó, và trên con mắt hữu nó; cánh tay nó sẽ khô cả, và con mắt hữu nó sẽ mù cả.|無 用 的 牧 人 丟 棄 羊 群 有 禍 了 ． 刀 必 臨 到 他 的 膀 臂 、 和 右 眼 上 ． 他 的 膀 臂 必 全 然 枯 乾 、 他 的 右 眼 也 必 昏 暗 失 明 。

					Xê-ca-ri-a 12				|
						撒迦利亞書 12					
Gánh nặng lời Đức Giê-hô-va phán về Y-sơ-ra-ên. Đức Giê-hô-va là Đấng giương các từng trời, lập nền của đất, và tạo thần trong mình người ta, có phán như vầy:|耶 和 華 論 以 色 列 的 默 示 。 鋪 張 諸 天 、 建 立 地 基 、 造 人 裡 面 之 靈 的 耶 和 華 說 ．
Nầy, ta sẽ khiến Giê-ru-sa-lem làm chén xây xẩm cho mọi dân chung quanh; và khi Giê-ru-sa-lem bị vây, tai nạn sẽ cũng kịp đến Giu-đa.|我 必 使 耶 路 撒 冷 被 圍 困 的 時 候 、 向 四 圍 列 國 的 民 成 為 令 人 昏 醉 的 杯 ． 這 默 示 也 論 到 猶 大 。 〔 或 作 猶 大 也 是 如 此 〕
Xảy ra trong ngày đó, ta sẽ khiến Giê-ru-sa-lem làm hòn đá nặng cho các dân tộc. Phàm những kẻ mang nó sẽ bị thương nặng; và mọi nước trên đất sẽ nhóm lại nghịch cùng nó.|那 日 、 我 必 使 耶 路 撒 冷 向 聚 集 攻 擊 他 的 萬 民 、 當 作 一 塊 重 石 頭 ． 凡 舉 起 的 、 必 受 重 傷 。
Đức Giê-hô-va phán: Trong ngày đó, ta sẽ đánh mỗi con ngựa cho kinh hãi, những kẻ cỡi nó phải điên cuồng; ta sẽ mở mắt ta trên nhà Giu-đa, và đánh mỗi con ngựa của các dân cho đui đi.|耶 和 華 說 、 到 那 日 、 我 必 使 一 切 馬 匹 驚 惶 、 使 騎 馬 的 顛 狂 ． 我 必 看 顧 猶 大 家 、 使 列 國 的 一 切 馬 匹 瞎 眼 。
Bấy giờ các trưởng Giu-đa sẽ nói trong lòng mình rằng: Những dân cư Giê-ru-sa-lem là sức mạnh của ta trong Đức Giê-hô-va vạn quân, là Đức Chúa Trời mình.|猶 大 的 族 長 、 必 心 裡 說 、 耶 路 撒 冷 的 居 民 、 倚 靠 萬 軍 之 耶 和 華 他 們 的 　 神 、 就 作 我 們 的 能 力 。
Trong ngày đó, ta sẽ làm cho các trưởng Giu-đa giống như một bếp lửa ở giữa những bó lúa, chúng nó sẽ thiêu nuốt bên hữu và bên tả hết thảy các dân tộc xung quanh; và dân cư Giê-ru-sa-lem sẽ lại còn ỡ chỗ mình, tức là Giê-ru-sa-lem.|那 日 、 我 必 使 猶 大 的 族 長 、 如 火 盆 在 木 柴 中 、 又 如 火 把 在 禾 捆 裡 ． 他 們 必 左 右 燒 滅 四 圍 列 國 的 民 ． 耶 路 撒 冷 人 、 必 仍 住 本 處 、 就 是 耶 路 撒 冷 。
Đức Giê-hô-va trước hết sẽ cứu những trại của Giu-đa, hầu cho sự vinh hiển của nhà Đa-vít và sự vinh hiển của dân cư Giê-ru-sa-lem không dấy lên trên Giu-đa được.|耶 和 華 必 先 拯 救 猶 大 的 帳 棚 、 免 得 大 衛 家 的 榮 耀 、 和 耶 路 撒 冷 居 民 的 榮 耀 、 勝 過 猶 大 。
Trong ngày đó, Đức Giê-hô-va sẽ làm Đấng bảo hộ của dân cư Giê-ru-sa-lem, và trong ngày đó kẻ rất yếu trong chúng nó sẽ như Đa-vít, nhà Đa-vít sẽ như Đức Chúa Trời, sẽ như thiên sứ của Đức Giê-hô-va ở trước mặt chúng nó.|那 日 、 耶 和 華 必 保 護 耶 路 撒 冷 的 居 民 ． 他 們 中 間 軟 弱 的 、 必 如 大 衛 ． 大 衛 的 家 必 如 　 神 、 如 行 在 他 們 前 面 之 耶 和 華 的 使 者 。
Xảy ra trong ngày đó ta sẽ tìm cách hủy diệt hết thảy những nước nào đến đánh Giê-ru-sa-lem.|那 日 、 我 必 定 意 滅 絕 來 攻 擊 耶 路 撒 冷 各 國 的 民 。
Ta sẽ đổ thần của ơn phước và của sự nài xin ra trên nhà Đa-vít, và trên dân cư Giê-ru-sa-lem; chúng nó sẽ nhìn xem ta là Đấng chúng nó đã đâm; và chúng nó sẽ thương khóc, như là thương khóc con trai một, sẽ ở trong sự cay đắng vì cớ con đầu lòng.|我 必 將 那 施 恩 叫 人 懇 求 的 靈 、 澆 灌 大 衛 家 、 和 耶 路 撒 冷 的 居 民 ． 他 們 必 仰 望 我 、 〔 或 作 他 本 節 同 〕 就 是 他 們 所 扎 的 ． 必 為 我 悲 哀 、 如 喪 獨 生 子 、 又 為 我 愁 苦 、 如 喪 長 子 。
Trong ngày đó, sẽ có sự thương khóc lớn tại Giê-ru-sa-lem, như là sự thương khóc của Ha-đát-Rim-môn ở trong đồng bằng Mê-ghi-đô.|那 日 耶 路 撒 冷 必 有 大 大 的 悲 哀 、 如 米 吉 多 平 原 之 哈 達 臨 門 的 悲 哀 。
Đất nầy sẽ thương khóc, mỗi họ riêng phần mình: họ của nhà Đa-vít riêng ra, những vợ chúng nó riêng ra; họ của nhà Na-than riêng ra, những vợ chúng nó riêng ra;|境 內 、 一 家 一 家 的 、 都 必 悲 哀 ． 大 衛 家 、 男 的 獨 在 一 處 、 女 的 獨 在 一 處 ． 拿 單 家 、 男 的 獨 在 一 處 、 女 的 獨 在 一 處 ．
họ của nhà Lê-vi riêng ra, những vợ chúng nó riêng ra; Họ Si-mê -y riêng ra, những vợ chúng nó riêng ra;|利 未 家 、 男 的 獨 在 一 處 、 女 的 獨 在 一 處 ． 示 每 家 、 男 的 獨 在 一 處 、 女 的 獨 在 一 處 ．
phàm những họ còn sót lại, mỗi họ riêng ra, và những vợ chúng nó riêng ra.|其 餘 的 各 家 、 男 的 獨 在 一 處 、 女 的 獨 在 一 處 。

					Xê-ca-ri-a 13				|
						撒迦利亞書 13					
Trong ngày đó sẽ có một suối mở ra cho nhà Đa-vít và dân cư Giê-ru-sa-lem, vì tội lỗi và sự ô uế.|那 日 必 給 大 衛 家 和 耶 路 撒 冷 的 居 民 、 開 一 個 泉 源 、 洗 除 罪 惡 與 污 穢 。
Đức Giê-hô-va vạn quân phán rằng: Cũng xảy ra trong ngày đó, ta sẽ trừ bỏ các danh của các thần tượng khỏi đất nầy, người ta sẽ không ghi nhớ đến nữa; ta cũng sẽ khiến các tiên tri và quỉ ô uế ra khỏi đất nầy.|萬 軍 之 耶 和 華 說 、 那 日 我 必 從 地 上 除 滅 偶 像 的 名 、 不 再 被 人 記 念 ． 也 必 使 這 地 不 再 有 假 先 知 與 污 穢 的 靈 。
Từ rày về sau nếu có ai còn nói tiên tri, thì cha và mẹ nó là kẻ đã sanh nó ra, sẽ nói cùng nó rằng: Mầy sẽ không sống nữa, vì mầy nhơn danh Đức Giê-hô-va và rao những lời dối. Cha và mẹ là kẻ đã sanh nó sẽ đâm nó khi nó nói tiên tri.|若 再 有 人 說 豫 言 、 生 他 的 父 母 必 對 他 說 、 你 不 得 存 活 、 因 為 你 託 耶 和 華 的 名 說 假 豫 言 、 生 他 的 父 母 、 在 他 說 豫 言 的 時 候 、 要 將 他 刺 透 。
Sẽ xảy ra trong ngày đó, khi những tiên tri nói tiên tri, thì ai nấy sẽ bị xấu hổ về sự hiện thấy của mình; họ cũng sẽ không mặc áo choàng bằng lông để dối trá nữa.|那 日 凡 作 先 知 說 豫 言 的 、 必 因 他 所 論 的 異 象 羞 愧 、 不 再 穿 毛 衣 哄 騙 人 。
Nhưng nó sẽ nói rằng: Ta không phải là tiên tri, bèn là kẻ cày ruộng; vì ta đã làm tôi mọi từ thuở nhỏ.|他 必 說 、 我 不 是 先 知 、 我 是 耕 地 的 ． 我 從 幼 年 作 人 的 奴 僕 。
Nếu ai hỏi rằng: Những vết thương giữa cánh tay ngươi bởi cớ gì? Thì nó sẽ đáp rằng: Ay là những vết thương ta đã bị trong nhà bạn ta.|必 有 人 問 他 說 、 你 兩 臂 中 間 是 甚 麼 傷 呢 ． 他 必 回 答 說 、 這 是 我 在 親 友 家 中 所 受 的 傷 。
Đức Giê-hô-va vạn quân phán rằng: Hỡi gươm, hãy thức dậy nghịch cùng kẻ chăn của ta, và nghịch cùng người làm bạn hữu ta; hãy đánh kẻ chăn, cho những chiên tản lạc; và ta sẽ trở tay lại trên những con nhỏ.|萬 軍 之 耶 和 華 說 、 刀 劍 哪 、 應 當 興 起 、 攻 擊 我 的 牧 人 、 和 我 的 同 伴 ． 擊 打 牧 人 、 羊 就 分 散 ． 我 必 反 手 加 在 微 小 者 的 身 上 。
Đức Giê-hô-va phán rằng: Xảy ra trong khắp đất, hai phần của nó sẽ bị diệt và mất song một phần ba sẽ được còn lại.|耶 和 華 說 、 這 全 地 的 人 、 三 分 之 二 、 必 剪 除 而 死 、 三 分 之 一 仍 必 存 留 。
Ta sẽ đem một phần ba ấy vào lửa, ta sẽ luyện nó như luyện bạc, thử nó như thử vàng; chúng nó sẽ kêu cầu danh ta, và ta sẽ nhậm lời nó; ta sẽ phán rằng: Ay là dân ta đây. Và nó sẽ nói rằng: Đức Giê-hô-va là Đức Chúa Trời tôi.|我 要 使 這 三 分 之 一 經 火 、 熬 煉 他 們 、 如 熬 煉 銀 子 、 試 煉 他 們 、 如 試 煉 金 子 ． 他 們 必 求 告 我 的 名 、 我 必 應 允 他 們 ． 我 要 說 、 這 是 我 的 子 民 ． 他 們 也 要 說 、 耶 和 華 是 我 們 的 　 神 。

					Xê-ca-ri-a 14				|
						撒迦利亞書 14					
Nầy, ngày của Đức Giê-hô-va đến, những của cướp ngươi sẽ bị chia giữa ngươi.|耶 和 華 的 日 子 臨 近 ． 你 的 財 物 必 被 搶 掠 、 在 你 中 間 分 散 。
Vậy ta sẽ nhóm mọi nước lại tranh chiến cùng Giê-ru-sa-lem, và thành sẽ bị lấy, nhà sẽ bị cướp, đờn bà sẽ bị hãm, phân nửa thành sẽ đi làm phu tù; nhưng dân còn lại sẽ không bị trừ bỏ khỏi thành.|因 為 我 必 聚 集 萬 國 與 耶 路 撒 冷 爭 戰 ． 城 必 被 攻 取 、 房 屋 被 搶 奪 、 婦 女 被 玷 污 、 城 中 的 民 一 半 被 擄 去 、 剩 下 的 民 、 仍 在 城 中 、 不 致 剪 除 。
Bấy giờ Đức Giê-hô-va sẽ ra đánh cùng các nước đó, như Ngài đã đánh trong ngày chiến trận.|那 時 、 耶 和 華 必 出 去 與 那 些 國 爭 戰 、 好 像 從 前 爭 戰 一 樣 。
Trong ngày đó, chơn Ngài sẽ đứng trên núi ô-li-ve, là núi đối ngang Giê-ru-sa-lem về phía đông; và núi ô-li-ve sẽ bị xé ra chính giữa về phía đông và phái tây, đến nỗi thành ra một trũng rất lớn; phân nửa núi dời qua phương bắc, phân nửa dời qua phương nam.|那 日 、 他 的 腳 必 站 在 耶 路 撒 冷 前 面 朝 東 的 橄 欖 山 上 ． 這 山 必 從 中 間 分 裂 、 自 東 至 西 、 成 為 極 大 的 谷 ． 山 的 一 半 向 北 挪 移 、 一 半 向 南 挪 移 。
Các ngươi sẽ trốn trong trũng núi, vì trũng núi ấy sẽ chạy dài đến At-san; và các ngươi sẽ đi trốn như là trốn khỏi cơn động đất đang ngày Ô-xia, vua Giu-đa. Bấy giờ Giê-hô-va Đức Chúa Trời ta sẽ đến, hết thảy các thánh sẽ ở cùng ngươi.|你 們 要 從 我 山 的 谷 中 逃 跑 、 因 為 山 谷 必 延 到 亞 薩 ． 你 們 逃 跑 、 必 如 猶 大 王 烏 西 雅 年 間 的 人 逃 避 大 地 震 一 樣 ． 耶 和 華 我 的 　 神 必 降 臨 、 有 一 切 聖 者 同 來 。
Trong ngày đó sẽ không có sự sáng nữa, những vì sáng sẽ thâu mình lại.|那 日 、 必 沒 有 光 ． 三 光 必 退 縮 。
Ay sẽ là một ngày mà Đức Giê-hô-va biết; chẳng phải ngày, chẳng phải đêm, song xảy ra đến buổi chiều sẽ có sự sáng.|那 日 、 必 是 耶 和 華 所 知 道 的 ． 不 是 白 晝 、 也 不 是 黑 夜 、 到 了 晚 上 纔 有 光 明 。
Xảy ra trong ngày đó, nước uống sẽ ra từ Giê-ru-sa-lem, phân nửa chảy về biển đông, phân nửa chảy về biển tây, trong mùa hạ và mùa đông đều có.|那 日 、 必 有 活 水 從 耶 路 撒 冷 出 來 、 一 半 往 東 海 流 、 一 半 往 西 海 流 ． 冬 夏 都 是 如 此 。
Đức Giê-hô-va sẽ làm vua khắp đất; trong ngày đó, Đức Giê-hô-va sẽ là có một, và danh Ngài cũng sẽ là có một.|耶 和 華 必 作 全 地 的 王 、 那 日 耶 和 華 必 為 獨 一 無 二 的 ． 他 的 名 也 是 獨 一 無 二 的 。
Cả đất sẽ làm nên đồng bằng, từ Ghê-ba cho đến Rim-môn, về phía nam Giê-ru-sa-lem, thành nầy sẽ được nhắc lên và ở trong chỗ mình, từ cửa Bên-gia-min cho đến chỗ cửa thứ nhứt, và đến cửa góc, lại từ tháp Ha-na-nê-ên cho đến những nơi ép rượu của vua.|全 地 、 從 迦 巴 直 到 耶 路 撒 冷 南 方 的 臨 門 、 要 變 為 亞 拉 巴 、 耶 路 撒 冷 必 仍 居 高 位 、 就 是 從 便 雅 憫 門 到 第 一 門 之 處 、 又 到 角 門 、 並 從 哈 楠 業 樓 、 直 到 王 的 酒 醡 。
Người ta sẽ ở đó, nó chẳng bị rủa sả nữa, nhưng Giê-ru-sa-lem sẽ được ở yên ổn.|人 必 住 在 其 中 、 不 再 有 咒 詛 ． 耶 路 撒 冷 人 必 安 然 居 住 。
Vả, nầy sẽ là tai vạ mà Đức Giê-hô-va dùng để phạt mọi dân tranh chiến cùng Giê-ru-sa-lem: Ngài sẽ lam cho ai nấy khi chơn đương đứng thì thịt mục nát ra, mắt mục trong vành nó, lưỡi mục trong miệng nó.|耶 和 華 用 災 殃 攻 擊 那 與 耶 路 撒 冷 爭 戰 的 列 國 人 、 必 是 這 樣 ． 他 們 兩 腳 站 立 的 時 候 、 肉 必 消 沒 、 眼 在 眶 中 乾 癟 、 吞 在 口 中 潰 爛 。
Trong ngày đó, Đức Giê-hô-va sẽ gieo sự rối loạn lớn trong chúng nó; vì ai nấy sẽ nắm tay kẻ lân cận mình, và tay người nầy sẽ giá lên nghịch cùng tay người kia.|那 日 、 耶 和 華 必 使 他 們 大 大 擾 亂 ． 他 們 各 人 彼 此 揪 住 、 舉 手 攻 擊 。
Giu-đa cũng được tranh chiến tại Giê-ru-sa-lem, và những của cải của mọi nước chung quanh sẽ nhóm lại ở đó: vàng, bạc và những áo xống rất nhiều.|猶 大 也 必 在 耶 路 撒 冷 爭 戰 ． 那 時 四 圍 各 國 的 財 物 、 就 是 許 多 金 銀 衣 服 、 必 被 收 聚 。
Cũng có ôn dịch cho những ngựa, la lạc đà, lửa, và hết thảy thú vật trong dinh trại đó, đều bị ôn dịch như vậy.|那 臨 到 馬 匹 、 騾 子 、 駱 駝 、 驢 、 和 營 中 一 切 牲 畜 的 災 殃 是 與 那 災 殃 一 般 。
Xảy ra hết thảy những kẻ nào còn sót lại trong mọi nước lên đánh Giê-ru-sa-lem, sẽ lên đó hàng năm đặng thờ lạy trước mặt Vua, là Đức Giê-hô-va vạn quân, và giữ lễ lều tạm.|所 有 來 攻 擊 耶 路 撒 冷 列 國 中 剩 下 的 人 、 必 年 年 上 來 敬 拜 大 君 王 萬 軍 之 耶 和 華 、 並 守 住 棚 節 。
Trong những họ hàng trên đất, kẻ nào đã chẳng lên Giê-ru-sa-lem đặng thờ lạy trước mặt Vua, là Đức Giê-hô-va vạn quân, thì sẽ không có mưa trên chúng nó.|地 上 萬 族 中 、 凡 不 上 耶 路 撒 冷 敬 拜 大 君 王 萬 軍 之 耶 和 華 的 、 必 無 雨 降 在 他 們 的 地 上 。
Nếu họ hàng Ê-díp-tô không lên và không đến đó, thì mưa cũng không xuống trên chúng nó; và chúng nó sẽ bị ôn dịch nầy, là ôn dịch mà Đức Giê-hô-va đã dùng phạt các nước không lên giữ lễ lều tạm.|埃 及 族 若 不 上 來 、 雨 也 不 降 在 他 們 的 地 上 ． 凡 不 上 來 守 住 棚 節 的 列 國 人 、 耶 和 華 也 必 用 這 災 攻 擊 他 們 。
Ay hình phạt của Ê-díp-tô và hình phạt của các nước chẳng lên giữ lễ lều tạm sẽ là như vậy.|這 就 是 埃 及 的 刑 罰 、 和 那 不 上 來 守 住 棚 節 之 列 國 的 刑 罰 。
Trong ngày đó, sẽ có chạm chữ trên những lạc ngựa rằng: "Thánh Cho Đức Giê-hô-va!" Những nồi trong nhà Đức Giê-hô-va sẽ giống như những bát trước bàn thờ.|當 那 日 、 馬 的 鈴 鐺 上 、 必 有 歸 耶 和 華 為 聖 的 這 句 話 ． 耶 和 華 殿 內 的 鍋 必 如 祭 壇 前 的 碗 一 樣 。
Mọi nồi ở trong Giê-ru-sa-lem và trong Giu-đa sẽ là thánh cho Đức Giê-hô-va vạn quân; phàm những kẻ dâng tế lễ sẽ đến, lấy nồi mà nấu; và trong ngày đó, sẽ không còn có người Ca-na-an trong nhà Đức Giê-hô-va vạn quân.|凡 耶 路 撒 冷 和 猶 大 的 鍋 、 都 必 歸 萬 軍 之 耶 和 華 為 聖 ． 凡 獻 祭 的 、 都 必 來 取 這 鍋 、 煮 肉 在 其 中 。 當 那 日 、 在 萬 軍 之 耶 和 華 的 殿 中 必 不 再 有 迦 南 人 。
