
					Hô-sê-a 1				|
Ep-ra-im ăn gió, chạy theo sau gió đông. Mỗi ngày, nó thêm nhiều sự nói dối và sự hoang vu; nó lập giao ước với A-si-ri, và đem dầu vào Ê-díp-tô.|以 法 蓮 喫 風 、 且 追 趕 東 風 ． 時 常 增 添 虛 謊 和 強 暴 ． 與 亞 述 立 約 、 把 油 送 到 埃 及 。
Đức Giê-hô-va cũng có sự khẩn cầu với Giu-đa, và Ngài sẽ phạt Gia-cốp theo đường lối nó; Ngài sẽ báo trả nó theo việc nó lam.|耶 和 華 與 猶 大 爭 辯 、 必 照 雅 各 所 行 的 懲 罰 他 、 按 他 所 作 的 報 應 他 。
Vừa lúc ở trong lòng mẹ, Gia-cốp nắm gót chơn anh mình; và đến tuổi trưởng thành, có quyền nơi Đức Chúa Trời.|他 在 腹 中 抓 住 哥 哥 的 腳 跟 、 壯 年 的 時 候 與 　 神 較 力 、
Người có quyền hơn thiên sứ, và được thắng; khóc lóc và khẩn cầu người. Ngài đã gặp người tại Bê-tên, và ấy đó là nơi Ngài phán cùng chúng ta,|與 天 使 較 力 並 且 得 勝 、 哭 泣 懇 求 、 在 伯 特 利 遇 見 耶 和 華 、 耶 和 華 萬 軍 之 　 神 在 那 裡 曉 諭 我 們 以 色 列 人 ． 耶 和 華 是 他 可 記 念 的 名 。
tức là Giê-hô-va Đức Chúa Trời vạn quân; danh kỷ niệm Ngài là Đức Giê-hô-va.|見 上 節
Vậy ngươi khá trở lại cùng Đức Chúa Trời ngươi; giữ sự nhơn từ và sự công bình, luôn luôn trông đợi Đức Chúa Trời ngươi.|所 以 你 當 歸 向 你 的 　 神 、 謹 守 仁 愛 、 公 平 、 常 常 等 候 你 的 　 神 。
Nó là người buôn bán cầm những cân dối trá trong tay mình; nó ưa gian lận.|以 法 蓮 是 商 人 、 手 裡 有 詭 詐 的 天 平 、 愛 行 欺 騙 。
Phải, Ep-ra-im nói rằng: Thật, ta đã trở nên giàu; ta đã được của cải. Trong mọi việc ta làm chẳng hề thấy một việc gian ác gì là tội lỗi.|以 法 蓮 說 、 我 果 然 成 了 富 足 、 得 了 財 寶 ． 我 所 勞 碌 得 來 的 、 人 必 不 見 有 甚 麼 不 義 、 可 算 為 罪 的 。
Ta là Đức Giê-hô-va, làm Đức Chúa Trời ngươi từ khi ngươi ra khỏi đất Ê-díp-tô, ta sẽ còn làm cho ngươi dưới các trại như trong những ngày lễ trọng thể.|自 從 你 出 埃 及 地 以 來 、 我 就 是 耶 和 華 你 的 　 神 、 我 必 使 你 再 住 帳 棚 、 如 在 大 會 的 日 子 一 樣 。
ta cũng đã phán cho các kẻ tiên tri; đã thêm nhiều sự hiện thấy và đã cậy chức vụ các kẻ tiên tri mà dùng thí dụ.|我 已 曉 諭 眾 先 知 、 並 且 加 增 默 示 、 藉 先 知 設 立 比 喻 。
Ga-la-át là gian ác, chúng nó chỉ là giả dối. Chúng nó dâng những bò đực trong Ghinh-ganh; nên những bàn thờ chúng nó giống như những đống trong luống cày nơi ruộng.|基 列 人 沒 有 罪 孽 麼 ． 他 們 全 然 是 虛 假 的 ． 人 在 吉 甲 獻 牛 犢 為 祭 、 他 們 的 祭 壇 、 好 像 田 間 犁 溝 中 的 亂 堆 。
Gia-cốp trốn đến ruộng A-ram; Y-sơ-ra-ên làm tôi để được vợ, và vì được vợ mà người chăn các bầy.|從 前 雅 各 逃 到 亞 蘭 地 、 以 色 列 為 得 妻 服 事 人 、 為 得 妻 與 人 放 羊 。
Đoạn, Đức Giê-hô-va nhờ một đấng tiên tri đem Y-sơ-ra-ên khỏi Ê-díp-tô; và nhờ đấng tiên tri gìn giữ nó.|耶 和 華 藉 先 知 領 以 色 列 從 埃 及 上 來 、 以 色 列 也 藉 先 知 而 得 保 存 。
Ep-ra-im chọc cho ta phát cơn giận đắng cay; nên máu nó sẽ đổ lại trên nó, và Chúa sẽ trả sự sỉ nhục cho nó nữa.|以 法 蓮 大 大 惹 動 主 怒 、 所 以 他 流 血 的 罪 、 必 歸 在 他 身 上 、 主 必 將 那 因 以 法 蓮 所 受 的 羞 辱 歸 還 他 。

					Hô-sê-a 13				|
						何西阿書 13					
Vừa khi Ep-ra-im nói ra, người ta run rẩy. Nó đã lên mình trong Y-sơ-ra-ên. Nhưng sau khi vì cớ Ba-anh mà phạm tội thì nó chết mất.|從 前 以 法 蓮 說 話 、 人 都 戰 兢 、 他 在 以 色 列 中 居 處 高 位 、 但 他 在 事 奉 巴 力 的 事 上 犯 罪 就 死 了 。
Vả, bây giờ chúng nó cứ phạm tội càng ngày càng thêm; dùng bạc làm những tượng đúc cho mình, những hình tượng theo trí khôn mình; cả sự đó là công việc của thợ khéo! Người ta nói về chúng nó rằng: Để mặc kẻ dâng của lễ hôn bò con.|現 今 他 們 罪 上 加 罪 、 用 銀 子 為 自 己 鑄 造 偶 像 、 就 是 照 自 己 的 聰 明 製 造 、 都 是 匠 人 的 工 作 、 有 人 論 說 、 獻 祭 的 人 可 以 向 牛 犢 親 嘴 。
Vậy nên, chúng nó sẽ giống như mây ban mai, như móc buổi sáng tan đi lúc sớm, như rơm rác bị gió lốc đùa khỏi sân đạp lúa, như khói bởi ống khói thoát ra!|因 此 、 他 們 必 如 早 晨 的 雲 霧 、 又 如 速 散 的 甘 露 、 像 場 上 的 糠 郱 被 狂 風 吹 去 、 又 像 煙 氣 騰 於 窗 外 。
Nhưng mà, ấy chính ta là Giê-hô-va Đức Chúa Trời ngươi từ khi ngươi ra khỏi đất Ê-díp-tô, và ngoài ta, ngươi chớ nên nhận biết thần nào khác: ngoài ta không có đấng cứu nào khác!|自 從 你 出 埃 及 地 以 來 、 我 就 是 耶 和 華 你 的 　 神 、 在 我 以 外 、 你 不 可 認 識 別 神 、 除 我 以 外 並 沒 有 救 主 。
Ta đã biết ngươi trong đồng vắng, trong đất khô khan.|我 曾 在 曠 野 乾 旱 之 地 認 識 你 。
Chúng nó đã được no nê theo đồng cỏ; và được no nê rồi, thì chúng nó sanh lòng kiêu ngạo; vậy nên chúng nó đã quên ta.|這 些 民 照 我 所 賜 的 食 物 得 了 飽 足 ． 既 得 飽 足 心 就 高 傲 、 忘 記 了 我 。
Vì thế, ta đối với chúng nó sẽ như là sư tử. Ta sẽ như con beo rình chúng nó trên đường.|因 此 、 我 向 他 們 如 獅 子 、 又 如 豹 伏 在 道 旁 。
Ta sẽ vồ trên chúng nó như con gấu cái bị cướp mất con nó. Ta sẽ xé cái bọc lòng chúng nó, và sẽ nuốt chúng nó ở đó như sư tử cái. Thú rừng sẽ xé chúng nó.|我 遇 見 他 們 必 像 丟 崽 子 的 母 熊 、 撕 裂 他 們 的 胸 膛 、 〔 或 作 心 膜 〕 在 那 裡 我 必 像 母 獅 吞 喫 他 們 ． 野 獸 必 撕 裂 他 們 。
Hỡi Y-sơ-ra-ên, sự bại hoại của ngươi, ấy là tại ngươi dấy loạn nghịch cùng ta, tức là Đấng giúp ngươi.|以 色 列 阿 、 你 與 我 反 對 、 就 是 反 對 幫 助 你 的 、 自 取 敗 壞 。
Vậy vua ngươi ở đâu? hầu cho người giải cứu ngươi trong hết thảy các thành! nào những quan xét ngươi là những người mà ngươi nói với rằng: Hãy cho tôi một vua và các quan trưởng!|你 曾 求 我 說 、 給 我 立 王 和 首 領 、 現 在 你 的 王 在 哪 裡 呢 、 治 理 你 的 在 哪 裡 呢 、 讓 他 在 你 所 有 的 城 中 拯 救 你 罷 。
Ta đã nhơn cơn giận mà ban cho ngươi một vua, và đã nhơn cơn giận mà cất đi.|我 在 怒 氣 中 將 王 賜 你 、 又 在 烈 怒 中 將 王 廢 去 。
Sự gian ác của Ep-ra-im đã ràng buộc, tội lỗi nó đã giấu để.|以 法 蓮 的 罪 孽 包 裹 、 他 的 罪 惡 收 藏 。
Sự đau đớn của đờn bà đẻ sẽ đến trên nó. Nhưng nó là con trai không khôn ngoan; vì, đến kỳ rồi, nó không nên chậm trễ ở trong dạ con.|產 婦 的 疼 痛 必 臨 到 他 身 上 ． 他 是 無 智 慧 之 子 、 到 了 產 期 不 當 遲 延 。
Ta sẽ cứu chúng nó khỏi quyền lực của âm phủ, và chuộc chúng nó ra khỏi sự chết. Hỡi sự chết, nào tai vạ mầy ở đâu? Hỡi âm phủ, nào sự hủy hoại mầy ở đâu? ôi! sự ăn năn sẽ bị giấu khỏi mắt ta.|我 必 救 贖 他 們 脫 離 陰 間 、 救 贖 他 們 脫 離 死 亡 ． 死 亡 阿 、 你 的 災 害 在 哪 裡 呢 ． 陰 間 哪 、 你 的 毀 滅 在 哪 裡 呢 ． 在 我 眼 前 絕 無 後 悔 之 事 。
Ví dầu Ep-ra-im có đậu trái giữa anh em nó, nhưng gió đông sự dậy; tức là hơi thở của Đức Giê-hô-va lên từ đồng vắng, sẽ đến làm khô các suối và cạn các mạch nước. Kẻ nghịch sẽ cướp những kho tàng chứa mọi khí mạnh quí báu.|他 在 弟 兄 中 雖 然 茂 盛 、 必 有 東 風 颳 來 、 就 是 耶 和 華 的 風 從 曠 野 上 來 、 他 的 泉 源 必 乾 、 他 的 源 頭 必 竭 、 仇 敵 必 擄 掠 他 所 積 蓄 的 一 切 寶 器 。
Sa-ma-ri sẽ mang tội nó, vì nó đã dấy loạn nghịch cùng Đức Chúa Trời mình! Chúng nó sẽ ngã bởi gươm; các con trẻ chúng nó sẽ bị dập nát, và những đờn bà của chúng nó có chửa sẽ bị mổ bụng.|撒 瑪 利 亞 必 擔 當 自 己 的 罪 、 因 為 悖 逆 他 的 　 神 、 他 必 倒 在 刀 下 、 嬰 孩 必 被 摔 死 、 孕 婦 必 被 剖 開 。

					Hô-sê-a 14				|
						何西阿書 14					
Hỡi Y-sơ-ra-ên, hãy trở lại cùng Giê-hô-va Đức Chúa Trời ngươi, vì ấy là tại tội lỗi ngươi làm cho ngươi sa ngã.|以 色 列 阿 、 你 要 歸 向 耶 和 華 你 的 　 神 ． 你 是 因 自 己 的 罪 孽 跌 倒 了 。
Các ngươi khá lấy lời nói trở lại cùng Ngài rằng: Xin cất mọi sự gian ác đi, và nhậm sự tốt lành, vậy chúng ta sẽ dâng lời ngợi khen ở môi chúng tôi thay vì con bò đực.|當 歸 向 耶 和 華 、 用 言 語 禱 告 他 說 、 求 你 除 淨 罪 孽 、 悅 納 善 行 、 這 樣 、 我 們 就 把 嘴 唇 的 祭 代 替 牛 犢 獻 上 。
A-si-ri sẽ không giải cứu chúng tôi, chúng tôi sẽ không cỡi ngựa chiến nữa, không nói với đồ bởi tay chúng tôi làm ra mà rằng: Các ngài là thần của chúng tôi! Vì ấy là trong Ngài mà kẻ mồ côi tìm thấy sự thương xót!|我 們 不 向 亞 述 求 救 ． 不 騎 埃 及 的 馬 ． 也 不 再 對 我 們 手 所 造 的 說 、 你 是 我 們 的 　 神 、 因 為 孤 兒 在 你 耶 和 華 那 裡 得 蒙 憐 憫 。
Ta sẽ chữa lành sự bội nghịch của chúng nó. Ta sẽ lấy lòng tốt yêu chúng nó; vì cơn giận của ta đã xây khỏi nó rồi.|我 必 醫 治 他 們 背 道 的 病 、 甘 心 愛 他 們 、 因 為 我 的 怒 氣 向 他 們 轉 消 。
Ta sẽ như là sương móc cho Y-sơ-ra-ên; nó trổ hoa như bông huệ, và đâm rễ như Li-ban.|我 必 向 以 色 列 如 甘 露 、 他 必 如 百 合 花 開 放 、 如 利 巴 嫩 的 樹 木 扎 根 。
Những nhánh nó giang ra tận xa; sự xinh tốt của nó sẽ giống như sự xinh tốt của cây ô-li-ve, mùi thơm của nó như mùi thơm của Li-ban.|他 的 枝 條 必 延 長 、 他 的 榮 華 如 橄 欖 樹 、 他 的 香 氣 如 利 巴 嫩 的 香 柏 樹 。
Những kẻ ngồi dưới bóng nó sẽ trở về; chúng nó sẽ tỉnh lại như cây lúa. Chúng nó sẽ trổ hoa như cây nho, và mùi thơm chúng nó sẽ như rượu Li-ban.|曾 住 在 他 蔭 下 的 必 歸 回 、 發 旺 如 五 穀 、 開 花 如 葡 萄 樹 ． 他 的 香 氣 如 利 巴 嫩 的 酒 。
Ep-ra-im sẽ nói: Ta với những thần tượng có sự thông đồng gì được nữa sao? Ta đã trả lời và sẽ đoái xem nó. Ta như là một cây tùng xanh; bởi ta mà sanh ra hoa trái ngươi.|以 法 蓮 必 說 、 我 與 偶 像 還 有 甚 麼 關 涉 呢 ． 我 耶 和 華 回 答 他 、 也 必 顧 念 他 ． 我 如 青 翠 的 松 樹 、 你 的 果 子 從 我 而 得 。
Ai là khôn ngoan mà hiểu những sự nầy? Ai là giỏi giang mà biết những sự đó? Vì các đường lối của Đức Giê-hô-va là ngay thẳng; những kẻ công bình sẽ bước đi trong đó, còn những kẻ phạm phép thì vấp ngã trong đó.|誰 是 智 慧 人 、 可 以 明 白 這 些 事 、 誰 是 通 達 人 、 可 以 知 道 這 一 切 ． 因 為 耶 和 華 的 道 是 正 直 的 、 義 人 必 在 其 中 行 走 、 罪 人 卻 在 其 上 跌 倒 。
