
					Ê-xê-ki-ên 1				|
Vì Chúa Giê-hô-va phán như vầy: Mãn bốn mươi năm, ta sẽ nhóm dân Ê-díp-tô lại từ giữa các dân mà trong đó chúng nó đã bị tan tác.|主 耶 和 華 如 此 說 、 滿 了 四 十 年 、 我 必 招 聚 分 散 在 各 國 民 中 的 埃 及 人 ．
Ta sẽ làm cho những phu tù Ê-díp-tô trở về, và đem chúng nó về trong đất Pha-trốt, là đất quê quán của chúng nó, nhưng chúng nó chỉ lập nên một nước yếu hèn.|我 必 叫 埃 及 被 擄 的 人 回 來 、 使 他 們 歸 回 本 地 巴 忒 羅 ． 在 那 裡 必 成 為 低 微 的 國 ．
Nước Ê-díp-tô sẽ là một nước yếu hèn hơn hết các nước, và sẽ không dấy lên trên các nước nữa; ta sẽ khiến chúng nó kém đi, hầu cho chúng nó không cai trị các nước nữa.|必 為 列 國 中 最 低 微 的 、 也 不 再 自 高 於 列 國 之 上 ． 我 必 減 少 他 們 、 以 致 不 再 轄 制 列 國 。
Nước ấy sẽ không còn làm sự nhờ cậy cho nhà Y-sơ-ra-ên; khi nhà Y-sơ-ra-ên trông xem chúng nó thì sẽ nhắc lại sự gian ác; và chúng nó sẽ biết rằng ta là Chúa Giê-hô-va.|埃 及 必 不 再 作 以 色 列 家 所 倚 靠 的 ． 以 色 列 家 仰 望 埃 及 人 的 時 候 、 便 思 念 罪 孽 、 他 們 就 知 道 我 是 主 耶 和 華 。
Năm thứ hai mươi bảy, ngày mồng một tháng giêng, có lời Đức Giê-hô-va phán cùng ta rằng:|二 十 七 年 正 月 初 一 日 、 耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, Nê-bu-cát-nết-sa, vua Ba-by-lôn, đã gán cho đạo binh minh những việc rất nặng nhọc nghịch cùng Ty-rơ; mọi đầu đầu đã trở nên trọc, mọi vai đều đã bị mòn; mà vua ấy chưa được tiền công nào của thành Ty-rơ, hãy cho mình, hoặc cho đạo binh mình, để bù lại công khó mình đã đánh thành ấy.|人 子 阿 、 巴 比 倫 王 尼 布 甲 尼 撒 、 使 他 的 軍 兵 大 大 效 勞 攻 打 推 羅 、 以 致 頭 都 光 禿 、 肩 都 磨 破 ． 然 而 他 和 他 的 軍 兵 攻 打 推 羅 、 並 沒 有 從 那 裡 得 甚 麼 酬 勞 。
Vậy nên, Chúa Giê-hô-va phán như vầy: Nầy, ta sẽ phó đất Ê-díp-tô cho Nê-bu-cát-nết-sa, vua Ba-by-lôn; người sẽ bắt lấy dân chúng, cất lấy của cướp và mồi nó; đó sẽ là tiền công của đạo binh người.|所 以 主 耶 和 華 如 此 說 、 我 必 將 埃 及 地 賜 給 巴 比 倫 王 尼 布 甲 尼 撒 ． 他 必 擄 掠 埃 及 群 眾 、 搶 其 中 的 財 為 擄 物 奪 其 中 的 貨 為 掠 物 這 就 可 以 作 他 軍 兵 的 酬 勞 。
Ta đã phó đất Ê-díp-tô cho người để thưởng sự khó nhọc người đã chịu, vì chúng nó đã làm việc cho ta. Chúa Giê-hô-va phán vậy.|我 將 埃 及 地 賜 給 他 、 酬 他 所 效 的 勞 、 因 王 與 軍 兵 是 為 我 勤 勞 ． 這 是 主 耶 和 華 說 的 。
Trong ngày đó, ta sẽ khiến nhà Y-sơ-ra-ên nứt ra một cái sừng, và ta sẽ cho ngươi mở miệng giữa chúng nó; và chúng nó sẽ biết ta là Đức Giê-hô-va.|當 那 日 、 我 必 使 以 色 列 家 的 角 發 生 ． 又 必 使 你 以 西 結 在 他 們 中 間 得 以 開 口 ． 他 們 就 知 道 我 是 耶 和 華 。

					Ê-xê-ki-ên 30				|
						以西結書 30					
Lại có lời Đức Giê-hô-va phán cùng ta rằng:|耶 和 華 的 話 又 臨 到 我 說 、
Hỡi con người, hãy nói tiên tri và rằng: Chúa Giê-hô-va phán như vầy: Hãy khóc than! Ngày khốn nạn dường nào!|人 子 阿 、 你 要 發 豫 言 說 、 主 耶 和 華 如 此 說 、 哀 哉 這 日 、 你 們 應 當 哭 號 。
Thật vậy, ngày ấy gần rồi, phán, là ngày của Đức Giê-hô-va; ngày có mây, kỳ của các dân tộc.|因 為 耶 和 華 的 日 子 臨 近 、 就 是 密 雲 之 日 、 列 國 受 罰 之 期 。
Gươm sẽ đánh trên Ê-díp-tô; sự buồn rầu ở trong Ê-thi-ô-bi, khi những kẻ bị giết sẽ ngã xuống trong Ê-díp-tô; chúng nó sẽ cất lấy đoàn dân nó, và những nền nó bị đổ.|必 有 刀 劍 臨 到 埃 及 、 在 埃 及 被 殺 之 人 仆 倒 的 時 候 、 古 實 人 就 有 痛 苦 、 人 民 必 被 擄 掠 、 基 址 必 被 拆 毀 ．
Ê-thi-ô-bi, Phút, Lút, mọi người lộn giống, Cúp, và con cái của đất đồng minh, sẽ cùng chúng nó ngã xuống bởi gươm.|古 實 人 、 弗 人 、 〔 或 作 呂 彼 亞 人 〕 、 路 德 人 、 雜 族 的 人 民 、 並 古 巴 人 、 以 及 同 盟 之 地 的 人 、 都 要 與 埃 及 人 一 同 倒 在 刀 下 。
Đức Giê-hô-va phán như vầy: Những cái nâng đỡ Ê-díp-tô sẽ ngã; sức mạnh kiêu ngạo của nó sẽ hạ xuống. Chúng nó sẽ ngã trong nó bởi gươm, từ tháp Sy -e-nê, Chúa Giê-hô-va phán vậy.|耶 和 華 如 此 說 、 扶 助 埃 及 的 、 也 必 傾 倒 ． 埃 及 因 勢 力 而 有 的 驕 傲 、 必 降 低 微 ． 其 中 的 人 民 從 色 弗 尼 塔 起 、 〔 見 二 十 九 章 十 節 〕 必 倒 在 刀 下 ． 這 是 主 耶 和 華 說 的 。
Chúng nó sẽ hoang vu ở giữa các nước hoang vu, và các thành của nó sẽ ở giữa các thành tàn phá.|埃 及 地 在 荒 涼 的 國 中 、 必 成 為 荒 涼 ． 埃 及 城 在 荒 廢 的 城 中 、 也 變 為 荒 廢 。
Thật, chúng nó sẽ biết ta là Đức Giê-hô-va, khi ta đã đặt lửa trong Ê-díp-tô, và khi mọi kẻ giúp nó bị tan nát.|我 在 埃 及 中 使 火 ? 起 、 幫 助 埃 及 的 、 都 被 滅 絕 ． 那 時 、 他 們 就 知 道 我 是 耶 和 華 。
Trong ngày đó, sẽ có sứ giả từ trước mặt ta đi trong tàu đặng làm cho người Ê-thi-ô-bi đương ở yên phải sợ hãi. Dân sự nó sẽ buồn rầu như trong ngày của Ê-díp-tô; vì, nầy nó đến gần rồi!|到 那 日 必 有 使 者 坐 船 、 從 我 面 前 出 去 、 使 安 逸 無 慮 的 古 實 人 驚 懼 ． 必 有 痛 苦 臨 到 他 們 、 好 像 埃 及 遭 災 的 日 子 一 樣 ． 看 哪 、 這 事 臨 近 了 。
Chúa Giê-hô-va phán như vầy: Ta sẽ cậy tay Nê-bu-cát-nết-sa, vua Ba-by-lôn, để diệt đoàn dân của Ê-díp-tô.|主 耶 和 華 如 此 說 、 我 必 藉 巴 比 倫 王 尼 布 甲 尼 撒 的 手 、 除 滅 埃 及 眾 人 。
Vua ấy cùng dân mình, là dân đáng sợ trong các dân, sẽ được đem đến đặng phá hại đất. Chúng nó sẽ rút gươm nghịch cùng Ê-díp-tô, và làm cho đất đầy những thây bị giết.|他 和 隨 從 他 的 人 、 就 是 列 國 中 強 暴 的 、 必 進 來 毀 滅 這 地 ． 他 們 必 拔 刀 攻 擊 埃 及 、 使 遍 地 有 被 殺 的 人 。
Ta sẽ làm cho các sông khô đi, và bán đất ấy trong tay những kẻ dữ. Ta sẽ cậy tay dân ngoại làm hoang vu đất ấy với mọi sự trong nó. Ta là Đức Giê-hô-va phán như vậy.|我 必 使 江 河 乾 涸 、 將 地 賣 在 惡 人 的 手 中 ． 我 必 藉 外 邦 人 的 手 、 使 這 地 和 其 中 所 有 的 、 變 為 淒 涼 ． 這 是 我 耶 和 華 說 的 。
Chúa Giê-hô-va lại phán rằng: Ta sẽ hủy diệt các thần tượng và dứt các hình tượng khỏi thành Nốp. Trong đất Ê-díp-tô sẽ không có vua nữa, và ta sẽ rải sự kinh khiếp trong đất Ê-díp-tô.|主 耶 和 華 如 此 說 、 我 必 毀 滅 偶 像 、 從 挪 弗 除 滅 神 像 ． 必 不 再 有 君 王 出 自 埃 及 地 ． 我 要 使 埃 及 地 的 人 懼 怕 。
Ta sẽ làm cho Pha-trốt nên hoang vu; đặt lửa tại Xô-an, và làm ra sẽ đoán phạt trên Nô.|我 必 使 巴 忒 羅 荒 涼 、 在 瑣 安 中 使 火 ? 起 、 向 挪 施 行 審 判 。
Ta sẽ đổ cơn giận ta trên Sin, là thành vững bền của Ê-díp-tô, và sẽ diệt dân chúng của Nô.|我 必 將 我 的 忿 怒 倒 在 埃 及 的 保 障 上 、 就 是 訓 上 ． 並 要 剪 除 挪 的 眾 人 。
Ta sẽ đặt lửa tại Ê-díp-tô, Sin sẽ bị đau đớn cả thể; Nô sẽ bị phá tan, và đương giữa ban ngày Nốp sẽ bị giặc hại.|我 必 在 埃 及 中 使 火 ? 起 、 訓 必 大 大 痛 苦 ． 挪 必 被 攻 破 ． 挪 弗 白 日 見 仇 敵 。 〔 白 日 或 作 終 日 〕
Những người trai trẻ của A-ven và Phi-Bê-sốt sẽ ngã bởi gươm, và dân các thành ấy sẽ đi làm phu tù.|亞 文 和 比 伯 實 的 少 年 人 、 必 倒 在 刀 下 ． 這 些 城 的 人 、 必 被 擄 掠 。
Tại Tác-pha-nết, ban ngày sẽ tối tăm, khi ta sẽ gãy các ách của Ê-díp-tô ở đó, và sức mạnh kiêu ngạo của nó sẽ hết. Về nó, sẽ có đám mây che lấp đất ấy, những con gái nó sẽ đi làm phu tù.|我 在 答 比 匿 折 斷 埃 及 的 諸 軛 、 使 他 因 勢 力 而 有 的 驕 傲 、 在 其 中 止 息 、 那 時 、 日 光 必 退 去 ． 至 於 這 城 、 必 有 密 雲 遮 蔽 、 其 中 的 女 子 、 必 被 擄 掠 。
Ta sẽ làm sự đoán phạt ta trên Ê-díp-tô, và chúng nó sẽ biết ta là Đức Giê-hô-va.|我 必 這 樣 向 埃 及 施 行 審 判 ． 他 們 就 知 道 我 是 耶 和 華 。
Năm thứ mười một, ngày mồng bảy tháng giêng, có lời Đức Giê-hô-va phán cùng ta rằng:|十 一 年 正 月 初 七 日 、 耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, ta đã bẻ cách tay của Pha-ra-ôn, vua Ê-díp-tô. Nầy, không ai rịt thuốc để chữa lành; không ai quấn chỗ thương để hàn miệng và để lấy sức lại, hầu cho nó có thể cầm gươm.|人 子 阿 、 我 已 打 折 埃 及 王 法 老 的 膀 臂 ． 沒 有 敷 藥 、 也 沒 有 用 布 纏 好 、 使 他 有 力 持 刀 。
Vậy nên, Chúa Giê-hô-va phán như vầy: Nầy, ta nghịch cùng Pha-ra-ôn, vua Ê-díp-tô, và sẽ bẻ hai cánh tay nó, cánh đương mạnh luôn với cánh đã gãy, và làm cho gươm rốt xuống khỏi tay nó.|所 以 主 耶 和 華 如 此 說 、 看 哪 、 我 與 埃 及 王 法 老 為 敵 、 必 將 他 有 力 的 膀 臂 、 和 已 打 折 的 膀 臂 、 全 行 打 斷 ． 使 刀 從 他 手 中 墜 落 。
Ta sẽ làm cho tan tác dân Ê-díp-tô trong các dân, và rải hết thảy chúng nó ra trong các nước.|我 必 將 埃 及 人 分 散 在 列 國 、 四 散 在 列 邦 。
Ta sẽ làm cho cánh tay vua Ba-by-lôn thêm mạnh, để gươm ta trong tay người; nhưng ta sẽ bẻ gãy cánh tay của Pha-ra-ôn, vua nầy rên la trước mặt vua kia, như một người bị thương hầu chết rên la vậy.|我 必 使 巴 比 倫 王 的 膀 臂 有 力 、 將 我 的 刀 交 在 他 手 中 ． 卻 要 打 斷 法 老 的 膀 臂 、 他 就 在 巴 比 倫 王 面 前 唉 哼 、 如 同 受 死 傷 的 人 一 樣 。
Ta sẽ nâng đỡ hai cánh tay của vua Ba-by-lôn, và hai cánh tay của Pha-ra-ôn sẽ sa xuống. Chúng nó sẽ biết ta là Đức Giê-hô-va, khi ta sẽ trao gươm ta trong tay vua Ba-by-lôn, và người sẽ giơ gươm ấy ra nghịch cùng đất Ê-díp-tô.|我 必 扶 持 巴 比 倫 王 的 膀 臂 、 法 老 的 膀 臂 卻 要 下 垂 、 我 將 我 的 刀 交 在 巴 比 倫 王 手 中 ． 他 必 舉 刀 攻 擊 埃 及 地 ． 他 們 就 知 道 我 是 耶 和 華 。
Ta sẽ làm tan tác dân Ê-díp-tô trong các dân, rải chúng nó ra trong các nước; và chúng nó sẽ biết ta là Đức Giê-hô-va.|我 必 將 埃 及 人 分 散 在 列 國 、 四 散 在 列 邦 ． 他 們 就 知 道 我 是 耶 和 華 。

					Ê-xê-ki-ên 31				|
						以西結書 31					
Năm thứ mười một, ngày mồng một tháng ba, có lời Đức Giê-hô-va phán cùng ta như vầy:|十 一 年 三 月 初 一 日 、 耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, hãy nói cùng Pha-ra-ôn, vua Ê-díp-tô, và cùng cả đoàn dân người rằng: Sự tôn đại của ngươi so sánh cùng ai?|人 子 阿 、 你 要 向 埃 及 王 法 老 和 他 的 眾 人 說 、 在 威 勢 上 誰 能 與 你 相 比 呢 。
Hãy xem A-si-ri: ngày trước nó giống như cây hương bách của Li-ban, nhánh đẹp đẽ, bóng diềm dà, cây cao, và ngọn nó lên đến mây.|亞 述 王 曾 如 利 巴 嫩 中 的 香 柏 樹 、 枝 條 榮 美 、 影 密 如 林 、 極 其 高 大 、 樹 尖 插 入 雲 中 。
Các dòng nước nuôi nó, có vực sâu chảy nước chung quanh chỗ nó trồng mà làm cho nó lớn lên, và tưới các suối mình cho mọi cây cối ở trong đồng.|眾 水 使 他 生 長 、 深 水 使 他 長 大 ． 所 栽 之 地 有 江 河 圍 流 、 汊 出 的 水 道 、 延 到 田 野 諸 樹 。
Vậy nên cây hương bách ấy cao hơn hết thảy các cây trong đồng; nhánh nó lớn lên, và tược nó nứt thêm ra, là nhờ có nhiều nước làm cho nó nay nở.|所 以 他 高 大 超 過 田 野 諸 樹 、 發 旺 的 時 候 、 枝 子 繁 多 ． 因 得 大 水 之 力 枝 條 長 長 。
Mọi giống chim trời làm ở trong những nhánh nó; mọi giống thú đồng đẻ con dưới những tược nó, và hết thảy các dân tộc lớn đều ở dưới bóng nó.|空 中 的 飛 鳥 、 都 在 枝 子 上 搭 窩 ． 田 野 的 走 獸 、 都 在 枝 條 下 生 子 ． 所 有 大 國 的 人 民 、 都 在 他 蔭 下 居 住 。
Nó là xinh tốt bởi thân nó cao, bởi tược nó dài; vì rễ nó đâm trong chỗ nhiều nước.|樹 大 條 長 、 成 為 榮 美 、 因 為 根 在 眾 水 之 旁 。
Chẳng có cây hương bách nào trong vườn Đức Chúa Trời che khuất nó được; cây tùng không bằng cái nhánh nó, cây bàng không bằng cái tược nó. Chẳng có cây nào của vườn Đức Chúa Trời xinh tốt bằng nó cả.|　 神 園 中 的 香 柏 樹 不 能 遮 蔽 他 ． 松 樹 不 及 他 的 枝 子 、 楓 樹 不 及 他 的 枝 條 ． 　 神 園 中 的 樹 、 都 沒 有 他 榮 美 。
Ta đã làm cho nó xinh tốt bởi muôn vàn nhánh nó, và hết thảy những cây của Ê-đen, là những cây trong vườn Đức Chúa Trời đều ganh gỗ nó.|我 使 他 的 枝 條 蕃 多 、 成 為 榮 美 、 以 致 　 神 伊 甸 園 中 的 樹 都 嫉 妒 他 。
Vậy nên, Chúa Giê-hô-va phán như vầy: Vì ngươi cao lớn, và nó đã vượt ngọn nó đến tận mây, và lòng nó đã kiêu ngạo vì mình cao lớn;|所 以 主 耶 和 華 如 此 說 、 因 他 高 大 、 樹 尖 插 入 雲 中 、 心 驕 氣 傲 ．
nên ta sẽ phó nó trong tay một đấng mạnh của các nước, người chắc sẽ xử với nó; ta đã đuổi nó ra vì những tội ác nó.|我 就 必 將 他 交 給 列 國 中 大 有 威 勢 的 人 ． 他 必 定 辦 他 ． 我 因 他 的 罪 惡 、 已 經 驅 逐 他 。
Một dân hung bạo trong hết thảy các dân ngoại đã chặt nó và bỏ lại. Những nhánh nó rốt xuống trên các núi và trong mọi nơi trũng; những tược nó bị gãy nơi bờ khe, và mọi dân trên đất tránh xa bóng nó và lìa bỏ nó.|外 邦 人 、 就 是 列 邦 中 強 暴 的 、 將 他 砍 斷 棄 掉 ． 他 的 枝 條 落 在 山 間 和 一 切 谷 中 ． 他 的 枝 子 折 斷 、 落 在 地 的 一 切 河 旁 ． 地 上 的 眾 民 已 經 走 去 、 離 開 他 的 蔭 下 。
Mọi loài chim trời sẽ đậu trên sự đổ nát của nó, và mọi loài thú đồng sẽ đến nghỉ trên những tược nó,|空 中 的 飛 鳥 、 都 要 宿 在 這 敗 落 的 樹 上 ． 田 野 的 走 獸 、 都 要 臥 在 他 的 枝 條 下 ．
hầu cho chẳng có cây nào trồng gần nước dám kiêu ngạo về sự cao mình, hay là vượt ngọn lên đến tận mây, và cho không có những cây nào được các dòng nước tưới rộng cho mà khoe mình cao lớn; vì chúng nó hết thảy bị phó cho sự chết, cho vực sâu của đất, ở giữa con cái loài người, với những kẻ xuống trong hầm hố!|好 使 水 旁 的 諸 樹 、 不 因 高 大 而 自 尊 、 也 不 將 樹 尖 插 入 雲 中 、 並 且 那 些 得 水 滋 潤 有 勢 力 的 、 也 不 得 高 大 自 立 ． 因 為 他 們 在 世 人 中 、 和 下 坑 的 人 都 被 交 與 死 亡 、 到 陰 府 去 了 。
Chúa Giê-hô-va phán như vầy: Ngày mà nó xuống nơi âm phủ, ta đã khiến kẻ thương khóc vì cớ nó, ta lấp vực sâu; ngăn cấm các sông chảy mạnh, và những dòng nước lớn bị tắt lại. Ta khiến Li-ban buồn rầu vì cớ nó, và mọi cây ngoài đồng vì nó bị suy tàn.|主 耶 和 華 如 此 說 、 他 下 陰 間 的 那 日 、 我 便 使 人 悲 哀 ． 我 為 他 遮 蓋 深 淵 、 使 江 河 凝 結 、 大 水 停 流 、 我 也 使 利 巴 嫩 為 他 悽 慘 、 田 野 的 諸 樹 、 都 因 他 發 昏 。
Ta làm cho các dân tộc nghe tiếng nó đổ xuống mà rúng động, khi ta quăng nó xuống đến âm phủ, với hết thảy những kẻ xuống trong hầm hố! Bấy giờ mọi cây của Ê-đen, những cây rất xinh, những cây rất tốt của Li-ban, hết thảy những cây ngày trước được nhiều nước tưới, đều được yên ủi trong nơi vực sâu của đất.|我 將 他 扔 到 陰 間 、 與 下 坑 的 人 一 同 下 去 ． 那 時 、 列 國 聽 見 他 墜 落 的 響 聲 、 就 都 震 動 、 並 且 伊 甸 的 一 切 樹 、 就 是 利 巴 嫩 得 水 滋 潤 最 佳 最 美 的 樹 、 都 在 陰 府 受 了 安 慰 。
Chúng nó cũng đã xuống với nó trong nơi âm phủ, kề những kẻ đã bị gươm giết, những kẻ ngày trước vốn là cánh tay của nó và ở dưới bóng nó giữa các dân.|他 們 也 與 他 同 下 陰 間 、 到 被 殺 的 人 那 裡 ． 他 們 曾 作 他 的 膀 臂 、 在 列 國 中 他 的 蔭 下 居 住 。
Trong những cây của vườn Ê-đen, thì ngươi là giống ai về sự vinh hiển tôn trọng? Ngươi cũng sẽ bị xô xuống cùng với các cây của Ê-đen trong nơi vực sâu của đất; ngươi sẽ nằm chính giữa những kẻ không chịu cắt bì, với những kẻ đã bị gươm giết. Pha-ra-ôn và hết thảy dân chúng người sẽ như vầy, Chúa Giê-hô-va phán.|在 這 樣 榮 耀 威 勢 上 、 在 伊 甸 園 諸 樹 中 、 誰 能 與 你 相 比 呢 ． 然 而 你 要 與 伊 甸 的 諸 樹 一 同 下 到 陰 府 、 在 未 受 割 禮 的 人 中 、 與 被 殺 的 人 一 同 躺 臥 ． 法 老 和 他 的 群 眾 乃 是 如 此 ． 這 是 主 耶 和 華 說 的 。

					Ê-xê-ki-ên 32				|
						以西結書 32					
Năm thứ mười hai, ngày mồng một tháng chạp, có lời Đức Giê-hô-va phán cùng ta như vầy:|十 二 年 十 二 月 初 一 日 、 耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, hãy làm một bài ca thương về Pha-ra-ôn, vua Ê-díp-tô, và nói rằng: Ngươi giống như một con sư tử giữa các dân tộc; khác nào một vật quái dưới biển, mà đã trướng lên các sông. Ngươi lấy chơn vậy đục các dòng nước, và làm cho các sông đầy những bùn.|人 子 阿 、 你 要 為 埃 及 王 法 老 作 哀 歌 、 說 、 從 前 你 在 列 國 中 、 如 同 少 壯 獅 子 ． 現 在 你 卻 像 海 中 的 大 魚 ． 你 衝 出 江 河 、 用 爪 攪 動 諸 水 、 使 江 河 渾 濁 。
Chúa Giê-hô-va phán như vầy: Ta sẽ giăng lưới ta trên ngươi, có một đoàn dân đông vô số giùm giúp, chúng nó sẽ kéo ngươi lên trong lưới ta.|主 耶 和 華 如 此 說 、 我 必 用 多 國 的 人 民 、 將 我 的 網 撒 在 你 身 上 ． 把 你 拉 上 來 。
Ta sẽ bỏ ngươi lại trên đất, và quăng ngươi trên mặt đồng ruộng. Ta sẽ khiến mọi loài chim trời đậu trên ngươi, và các loài thú khắp đất ăn ngươi mà no.|我 必 將 你 丟 在 地 上 、 拋 在 田 野 、 使 空 中 的 飛 鳥 都 落 在 你 身 上 、 使 遍 地 的 野 獸 喫 你 得 飽 。
Ta sẽ đặt thịt ngươi trên các núi, và lấy tiền tệ ngươi lấp đầy các nơi trũng.|我 必 將 你 的 肉 丟 在 山 間 、 用 你 高 大 的 屍 首 填 滿 山 谷 。
Ta sẽ lấy huyết ngươi tưới nơi đất ngươi lội bơi, cho đến các núi; và các khe nước sẽ đầy ngươi.|我 又 必 用 你 的 血 澆 灌 你 所 游 泳 之 地 、 漫 過 山 頂 、 河 道 都 必 充 滿 。
Khi ta giập tắt ngươi, thì ta sẽ che các từng trời và làm tối các ngôi sao; dùng mây bao bọc mặt trời, và mặt trăng sẽ không chiếu sáng nữa.|我 將 你 撲 滅 的 時 候 、 要 把 天 遮 蔽 、 使 眾 星 昏 暗 、 以 密 雲 遮 掩 太 陽 、 月 亮 也 不 放 光 。
Ta sẽ làm cho tối tăm trên ngươi mọi sự sáng láng trên trời, và ta sẽ bủa sự mờ mịt ra trên đất ngươi, Chúa Giê-hô-va phán vậy.|我 必 使 天 上 的 亮 光 都 在 你 以 上 變 為 昏 暗 、 使 你 的 地 上 黑 暗 ． 這 是 主 耶 和 華 說 的 。
Ta sẽ làm bối rối lòng nhiều dân khi ta sẽ sao sự hủy diệt của ngươi ra trong các dân tộc, trong các nước mà ngươi chưa biết đến.|我 使 你 敗 亡 的 風 聲 傳 到 你 所 不 認 識 的 各 國 ． 那 時 、 我 必 使 多 民 的 心 因 你 愁 煩 。
Ta sẽ làm cho nhiều dân kinh sợ về ngươi, và các vua chúng nó sẽ vì cớ ngươi sợ hết hồn, khi ta huơ gươm trên mặt họ. Nơi ngày ngươi bị ngã xuống, chúng nó mỗi người đều vì sự sống mình mà run rẩy luôn luôn.|我 在 許 多 國 民 和 君 王 面 前 向 你 掄 我 的 刀 、 國 民 就 必 因 你 驚 奇 、 君 王 也 必 因 你 極 其 恐 慌 ． 在 你 仆 倒 的 日 子 、 他 們 各 人 為 自 己 的 性 命 時 刻 戰 兢 。
Thật vậy, Chúa Giê-hô-va phán như vầy: Gươm của vua Ba-by-lôn sẽ xông vào trên ngươi.|主 耶 和 華 如 此 說 、 巴 比 倫 王 的 刀 、 必 臨 到 你 。
Ta sẽ khiến cả thảy dân ngươi ngã xuống dưới gươm của những người mạnh bạo, thảy đều là kẻ đáng sợ trong các dân. Chúng nó sẽ hạ sự kiêu ngạo của Ê-díp-tô xuống, và cả đoàn dân nó đều sẽ bị tiêu diệt.|我 必 藉 勇 士 的 刀 使 你 的 眾 民 仆 倒 、 這 勇 士 都 是 列 國 中 強 暴 的 ． 他 們 必 使 埃 及 的 驕 傲 歸 於 無 有 ． 埃 及 的 眾 民 必 被 滅 絕 。
Ta cũng sẽ làm cho cả súc vật nó chết hết nơi bờ sông lớn, nước sẽ không bị vậy đục nước bởi chơn của người ta hoặc bởi vó của thú vật.|我 必 從 埃 及 多 水 旁 除 滅 所 有 的 走 獸 ． 人 腳 獸 蹄 必 不 再 攪 渾 這 水 。
Bấy giờ ta lại làm cho các dòng nước của chúng nó được trong sạch, và làm cho các sông chúng nó chảy như dầu, Chúa Giê-hô-va phán vậy.|那 時 、 我 必 使 埃 及 河 澄 清 、 江 河 像 油 緩 流 ． 這 是 主 耶 和 華 說 的 。
Khi ta sẽ khiến đất Ê-díp-tô thành ra nơi hoang vu hủy phá, và đất ấy vị vét sạch cả của mình trước đã đầy dẫy, khi ta sẽ đất hết thảy dân sự nó, thì chúng nó sẽ biết rằng ta là Đức Giê-hô-va.|我 使 埃 及 地 變 為 荒 廢 淒 涼 ． 這 地 缺 少 從 前 所 充 滿 的 、 又 擊 殺 其 中 一 切 的 居 民 ． 那 時 、 他 們 就 知 道 我 是 耶 和 華 。
Kìa là bài ca thương mà chúng nó sẽ than vãn. Những con gái các nước sẽ than vãn bằng một giọng thảm thương. Chúng nó sẽ than vãn bài ấy để khóc Ê-díp-tô cùng cả thày dân nó, Chúa Giê-hô-va phán vậy.|人 必 用 這 哀 歌 去 哀 哭 ． 列 國 的 女 子 為 埃 及 和 他 的 群 眾 、 也 必 以 此 悲 哀 ． 這 是 主 耶 和 華 說 的 。
Năm thứ mười hai, ngày rằm, có lời Đức Giê-hô-va phán cùng ta rằng:|十 二 年 十 二 月 十 五 日 、 耶 和 華 的 話 臨 到 我 說 、
Hỡi con người, hãy than vãn về đoàn dân Ê-díp-tô. Hãy xô dân ấy cùng với những con gái của các nước có danh tiếng xuống nơi vực sâu của đất, làm một với những kẻ xuống trong hầm hố!|人 子 阿 、 你 要 為 埃 及 群 眾 哀 號 、 又 要 將 埃 及 、 和 有 名 之 國 的 女 子 並 下 坑 的 人 、 一 同 扔 到 陰 府 去 。
Ngươi há đẹp hơn ai sao? Vậy hãy xuống và nằm chung với những kẻ không chịu cắt bì.|你 埃 及 的 美 麗 勝 過 誰 呢 ． 你 下 去 與 未 受 割 禮 的 人 一 同 躺 臥 罷 。
Phải, kìa những kẻ ấy sẽ ngã xuống chính giữa những người đã bị gươm giết. Nó bị phó cho gươm; hãy kéo nó ra với cả các đoàn dân nó!|他 們 必 在 被 殺 的 人 中 仆 到 ． 他 被 交 給 刀 劍 ． 要 把 他 和 他 的 群 眾 拉 去 。
Từ giữa âm phủ, những lính chiến rất mạnh bạo, cùng những kẻ giúp đỡ nó, sẽ nói cùng nó mà rằng: Chúng nó đã xuống đó, chúng nó đã nằm yên, là kẻ chưa chịu cắt bì mà đã bị gươm giết!|強 盛 的 勇 士 、 要 在 陰 間 對 埃 及 王 和 幫 助 他 的 說 話 ． 他 們 是 未 受 割 禮 被 殺 的 人 、 已 經 下 去 、 躺 臥 不 動 。
Tại đó có A-si-ri với cả đoàn dân nó; chung quanh nó đều là mồ mả. Hết thảy chúng nó đã bị giết, và đã ngã xuống bởi gươm.|亞 述 和 他 的 眾 民 、 都 在 那 裡 ． 他 民 的 墳 墓 在 他 四 圍 ． 他 們 都 是 被 殺 倒 在 刀 下 的 ．
Mồ mả nó ở trong những nơi sâu thẳm của hầm hố, và dân nó sắp hàng chung quanh mồ mả nó. Hết thảy đều đã bị giết; chúng nó vốn là những kẻ rải sự khiếp sợ ra trên đất người sống, mà nay đã ngã xuống bởi gươm.|他 們 的 墳 墓 在 坑 中 極 深 之 處 、 他 的 眾 民 在 他 墳 墓 的 四 圍 、 都 是 被 殺 倒 在 刀 下 的 ． 他 們 曾 在 活 人 之 地 使 人 驚 恐 。
