
					Giê-rê-mi-a 1				|
Đoạn, tiên tri Giê-rê-mi nói với tiên tri Ha-na-nia rằng: Hỡi Ha-na-nia, hãy nghe! Đức Giê-hô-va chưa hề sai ngươi, nhưng ngươi làm cho dân nầy trông cậy sự giả dối.|於 是 先 知 耶 利 米 對 先 知 哈 拿 尼 雅 說 、 哈 拿 尼 雅 阿 、 你 應 當 聽 ． 耶 和 華 並 沒 有 差 遣 你 、 你 竟 使 這 百 姓 倚 靠 謊 言 。
Vậy nên, Đức Giê-hô-va phán như vầy: Nầy, ta sẽ duồng ngươi khỏi mặt đất, năm nay ngươi sẽ chết vì đã nói ra sự bạn nghịch Đức Giê-hô-va.|所 以 耶 和 華 如 此 說 、 看 哪 、 我 要 叫 你 去 世 、 你 今 年 必 死 、 因 為 你 向 耶 和 華 說 了 叛 逆 的 話 。
Cũng năm ấy, tháng bảy, thì tiên tri Ha-na-nia chết.|這 樣 、 先 知 哈 拿 尼 雅 當 年 七 月 間 就 死 了 。

					Giê-rê-mi-a 29				|
						耶利米書 29					
Nầy là lời thơ của tiên tri Giê-rê-mi từ thành Giê-ru-sa-lem gởi cho các trưởng lão hiện còn bị phu tù, cùng cho các thầy tế lễ, các tiên tri và cả dân mà vua Nê-bu-cát-nết-sa đã bắt từ Giê-ru-sa-lem điệu về Ba-by-lôn,|先 知 耶 利 米 從 耶 路 撒 冷 寄 信 與 被 擄 的 祭 司 、 先 知 、 和 眾 民 、 並 生 存 的 長 老 、 就 是 尼 布 甲 尼 撒 從 耶 路 撒 冷 擄 到 巴 比 倫 去 的 。
sau khi vua Giê-cô-nia, thái hậu, hoạn quan, các quan trưởng của Giu-đa và Giê-ru-sa-lem, thợ nghề và thợ rèn đã đi khỏi Giê-ru-sa-lem rồi.|（ 這 在 耶 哥 尼 雅 王 、 和 太 后 、 太 監 、 並 猶 大 、 耶 路 撒 冷 的 首 領 、 以 及 工 匠 、 鐵 匠 、 都 離 了 耶 路 撒 冷 以 後 。 ）
Thơ nầy gởi bởi tay Ê-lê -a-sa, con trai Sa-phan, và Ghê-ma-ria, con trai Hinh-kia, là hai người mà Sê-đê-kia, vua Giu-đa, sau sang Ba-by-lôn, chầu Nê-bu-cát-nết-sa, vua Ba-by-lôn. Thơ như sau nầy:|他 藉 沙 番 的 兒 子 以 利 亞 薩 、 和 希 勒 家 的 兒 子 基 瑪 利 的 手 寄 去 ． 他 們 二 人 、 是 猶 大 王 西 底 家 打 發 往 巴 比 倫 去 見 尼 布 甲 尼 撒 王 的 。
Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán cùng những kẻ mà ta đã khiến bị bắt làm phu tù từ Giê-ru-sa-lem qua Ba-by-lôn như vầy:|信 上 說 、 萬 軍 之 耶 和 華 以 色 列 的 　 神 、 對 一 切 被 擄 去 的 、 就 是 我 使 他 們 從 耶 路 撒 冷 被 擄 到 巴 比 倫 的 人 、 如 此 說 、
Hãy xây nhà và ở; hãy trồng vườn và ăn trái;|你 們 要 蓋 造 房 屋 住 在 其 中 、 栽 種 田 園 喫 其 中 所 產 的 。
hãy lấy vợ, đẻ con trai và con gái; hãy lấy vợ cho con trai, gả chồng cho con gái, hầu cho chúng nó đẻ ra con trai và con gái. Số các ngươi khá thêm nhiều ra ở đó và đừng kém đi.|娶 妻 生 兒 女 、 為 你 們 的 兒 子 娶 妻 、 使 你 們 的 女 兒 嫁 人 、 生 兒 養 女 、 在 那 裡 生 養 眾 多 、 不 至 減 少 。
Hãy tìm sự bình an cho thành mà ta đã khiến các ngươi bị đày đến làm phu tù, hãy vì nó các ngươi Đức Giê-hô-va; vì sự bình an các ngươi nhờ sự bình an của nó.|我 所 使 你 們 被 擄 到 的 那 城 、 你 們 要 為 那 城 求 平 安 、 為 那 城 禱 告 耶 和 華 、 因 為 那 城 得 平 安 、 你 們 也 隨 著 得 平 安 。
Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy: Chớ để cho các tiên tri ở trong vòng các ngươi và các thầy bói lừa dối các ngươi; cũng chớ nghe những điềm chiêm bao mà các ngươi thấy.|萬 軍 之 耶 和 華 以 色 列 的 　 神 如 此 說 、 不 要 被 你 們 中 間 的 先 知 和 占 卜 的 誘 惑 、 也 不 要 聽 信 自 己 所 作 的 夢 ．
Vì chúng nó nhơn danh ta mà nói tiên tri giả dối cho cácngươi. Đức Giê-hô-va phán: Ta chẳng hề sai chúng nó.|因 為 他 們 託 我 的 名 對 你 們 說 假 豫 言 、 我 並 沒 有 差 遣 他 們 ． 這 是 耶 和 華 說 的 。
Vả, Đức Giê-hô-va phán như vầy: Khi bảy mươi năm sẽ mãn cho Ba-by-lôn, ta sẽ thăm viếng các ngươi, sẽ làm trọn lời tốt lành cho các ngươi, khiến các ngươi trở về đất nầy.|耶 和 華 如 此 說 、 為 巴 比 倫 所 定 的 七 十 年 滿 了 以 後 、 我 要 眷 顧 你 們 、 向 你 們 成 就 我 的 恩 言 、 使 你 們 仍 回 此 地 。
Đức Giê-hô-va phán: Vì ta biết ý tưởng ta nghĩ đối cùng các ngươi, là ý tưởng bình an, không phải tai họa, để cho các ngươi được sự trông cậy trong lúc cuối cùng của mình.|耶 和 華 說 、 我 知 道 我 向 你 們 所 懷 的 意 念 、 是 賜 平 安 的 意 念 、 不 是 降 災 禍 的 意 念 、 要 叫 你 們 末 後 有 指 望 。
Bấy giờ các ngươi sẽ kêu cầu ta, sẽ đi và cầu nguyện ta, và ta sẽ nhậm lời.|你 們 要 呼 求 我 、 禱 告 我 、 我 就 應 允 你 們 。
Các ngươi sẽ tìm ta, và gặp được, khi các ngươi tìm kiếm ta hết lòng.|你 們 尋 求 我 、 若 專 心 尋 求 我 、 就 必 尋 見 。
Đức Giê-hô-va phán: Ta sẽ cho các ngươi tìm được ta, và sẽ đem những phu tù các ngươi trở về. Đức Giê-hô-va phán: ta sẽ nhóm các ngươi lại từ mọi nước và mọi nơi mà ta đã đuổi các ngươi đến, và sẽ đem các ngươi về trong đất mà ta đã khiến các ngươi bị đày đi khỏi đó.|耶 和 華 說 、 我 必 被 你 們 尋 見 、 我 也 必 使 你 們 被 擄 的 人 歸 回 、 將 你 們 從 各 國 中 、 和 我 所 趕 你 們 到 的 各 處 招 聚 了 來 、 又 將 你 們 帶 回 我 使 你 們 被 擄 掠 離 開 的 地 方 ． 這 是 耶 和 華 說 的 。
Các ngươi nói rằng: Đức Giê-hô-va đã dấy lên các tiên tri cho chúng ta tại Ba-by-lôn!|你 們 說 、 耶 和 華 在 巴 比 倫 為 我 們 興 起 先 知 ．
Cho nên, Đức Giê-hô-va phán như vầy về vua đương ngồi trên ngai Đa-vít và dân cư thành nầy, cũng phán về anh em các ngươi, là những kẻ không bị đem đi làm phu tù với các ngươi.|所 以 耶 和 華 論 到 坐 大 衛 寶 座 的 王 、 和 住 在 這 城 著 的 一 切 百 姓 、 就 是 未 曾 與 你 們 一 同 被 擄 的 弟 兄 、
Vậy, nầy là lời Đức Giê-hô-va vạn quân phán: Nầy, ta sẽ sai gươm dao, đói kém, và ôn dịch đến trên chúng nó, sẽ khiến chúng nó giống như những trái vả xấu xa nầy, xấu đến nỗi người ta không thể ăn được.|萬 軍 之 耶 和 華 如 此 說 、 看 哪 、 我 必 使 刀 劍 、 飢 荒 、 瘟 疫 、 臨 到 他 們 、 使 他 們 像 極 壞 的 無 花 果 、 壞 得 不 可 喫 。
Ta sẽ lấy gươm dao, đói kém và ôn dịch đuổi theo chúng nó, sẽ phó chúng nó bị ném đi ném lại giữa mọi nước thế gian, làm sự rủa sả, gở lạ, chê cười, hổ nhuốc giữa mọi dân tộc mà ta đã đuổi chúng nó đến.|我 必 用 刀 劍 、 飢 荒 、 瘟 疫 、 追 趕 他 們 、 使 他 們 在 天 下 萬 國 拋 來 拋 去 、 在 我 所 趕 他 們 到 的 各 國 中 、 令 人 咒 詛 、 驚 駭 、 嗤 笑 、 羞 辱 。
Đức Giê-hô-va phán: Đó là vì chúng nó không nghe lời ta, khi ta đã dậy sớm sai đầy tớ ta, là các tiên tri, lấy lời đó đến cùng chúng nó; nhưng các ngươi chẳng khứng nghe, Đức Giê-hô-va phán vậy.|耶 和 華 說 、 這 是 因 為 他 們 沒 有 聽 從 我 的 話 、 就 是 我 從 早 起 來 差 遣 我 僕 人 眾 先 知 去 說 的 、 無 奈 他 們 不 聽 ． 這 是 耶 和 華 說 的 。
Cho nên, hỡi các ngươi, là những kẻ phu tù mà ta đã sai đi từ Giê-ru-sa-lem qua Ba-by-lôn, hãy nghe lời Đức Giê-hô-va.|所 以 你 們 一 切 被 擄 去 的 、 就 是 我 從 耶 路 撒 冷 打 發 到 巴 比 倫 去 的 、 當 聽 耶 和 華 的 話 。
Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy về A-háp, con trai Cô-la-gia, và về Sê-đê-kia, con trai Ma -a-sê-gia, là những kẻ nhơn danh ta nói tiên tri giả dối: Nầy, ta sẽ phó chúng nó trong tay Nê-bu-cát-nết-sa, vua Ba-by-lôn, người sẽ giết chúng nó trước mắt các ngươi.|萬 軍 之 耶 和 華 以 色 列 的 　 神 、 論 到 哥 賴 雅 的 兒 子 亞 哈 、 並 瑪 西 雅 的 兒 子 西 底 家 、 如 此 說 、 他 們 是 託 我 名 向 你 們 說 假 豫 言 的 ． 我 必 將 他 們 交 在 巴 比 倫 王 尼 布 甲 尼 撒 的 手 中 、 他 要 在 你 們 眼 前 殺 害 他 們 。
Mọi người Giu-đa bị làm phu tù tại Ba-by-lôn sẽ lấy hai người ấy làm câu nguyền rủa mà rằng: Nguyền xin Đức Giê-hô-va làm cho ngươi cũng như Sê-đê-kia và A-háp, mà vua Ba-by-lôn đã quay trong lửa!|住 巴 比 倫 一 切 被 擄 的 猶 大 人 、 必 藉 這 二 人 賭 咒 、 說 、 願 耶 和 華 使 你 像 巴 比 倫 王 在 火 中 燒 的 西 底 家 和 亞 哈 一 樣 。
vì chúng nó đã làm sự dại dột trong Y-sơ-ra-ên, đã phạm tội tà dâm với những vợ người lân cận mình, và đã nhơn danh ta rao truyền lời giả dối mà ta chưa hề khiến rao truyền. Đức Giê-hô-va phán: Ta là Đấng biết, và làm chứng.|這 二 人 是 在 以 色 列 中 行 了 醜 事 、 與 鄰 舍 的 妻 行 淫 、 又 假 託 我 名 說 我 未 曾 吩 咐 他 們 的 話 ． 知 道 的 是 我 、 作 見 證 的 也 是 我 ． 這 是 耶 和 華 說 的 。
Ngươi cũng khá nói về Sê-ma-gia ở Nê-hê-lam rằng:|論 到 尼 希 蘭 人 示 瑪 雅 、 你 當 說 、
Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy: Ngươi đã lấy danh mình gởi thơ cho cả dân cư Giê-ru-sa-lem, cho Sô-phô-ni, con trai Ma -a-sê-gia, làm thầy tế lễ, và cho mọi thầy tế lễ rằng:|萬 軍 之 耶 和 華 以 色 列 的 　 神 如 此 說 、 你 曾 用 自 己 的 名 寄 信 給 耶 路 撒 冷 的 眾 民 、 和 祭 司 瑪 西 雅 的 兒 子 西 番 雅 、 並 眾 祭 司 、 說 、
Đức Giê-hô-va đã lập ngươi làm thầy tế lễ thay cho Giê-hô-gia-đa, là thầy tế lễ, đặng có người coi sóc trong nhà Đức Giê-hô-va, hễ người nào điên dại xưng mình là tiên tri, thì bắt lấy, cùm và gông lại.|耶 和 華 已 經 立 你 西 番 雅 為 祭 司 、 代 替 祭 司 耶 何 耶 大 、 使 耶 和 華 殿 中 有 官 長 、 好 將 一 切 狂 妄 自 稱 為 先 知 的 人 、 用 枷 枷 住 、 用 鎖 鎖 住 。
Vậy thì làm sao ngươi không trách Giê-rê-mi ở A-na-tốt, là người xưng mình là tiên tri cho các ngươi dường ấy?|現 在 亞 拿 突 人 耶 利 米 、 向 你 們 自 稱 為 先 知 、 你 們 為 何 沒 有 責 備 他 呢 ．
Vả, chính nó đã gởi lời đến Ba-by-lôn nói cùng chúng ta rằng: Sự bị phu tù còn lâu ngày; hãy xây nhà và ở; hãy trồng vườn và ăn trái.|因 為 他 寄 信 給 我 們 在 巴 比 倫 的 人 說 、 被 擄 的 事 必 長 久 、 你 們 要 蓋 造 房 屋 住 在 其 中 、 栽 種 田 園 喫 其 中 所 產 的 。
Thầy tế lễ Sô-phô-ni đã đọc thơ nầy và tai tiên tri Giê-rê-mi.|祭 司 西 番 雅 就 把 這 信 念 給 先 知 耶 利 米 聽 。
Bấy giờ có lời Đức Giê-hô-va phán cùng Giê-rê-mi rằng:|於 是 耶 和 華 的 話 臨 到 耶 利 米 說 、
Hãy sai nói điều nầy cho mọi kẻ bị phu tù rằng: Đức Giê-hô-va phán về Sê-ma-gia ở Nê-hê-lam như vầy: Vì Sê-ma-gia đã nói tiên tri cho các ngươi, mà ta chưa hề sai nó, và nó đã làm cho các ngươi nhờ cậy sự giả dối,|你 當 寄 信 給 一 切 被 擄 的 人 、 說 、 耶 和 華 論 到 尼 希 蘭 人 示 瑪 雅 說 、 因 為 示 瑪 雅 向 你 們 說 豫 言 、 我 並 沒 有 差 遣 他 、 他 使 你 們 倚 靠 謊 言 ．
nên Đức Giê-hô-va phán như vầy: Nầy, ta sẽ phạt Sê-ma-gia, người Nê-hê-lam, và dòng dõi nó nữa. Về dòng nó, sẽ chẳng có ai được còn ở giữa dân nầy; chính mình nó cũng sẽ chẳng thấy sự lành ta sẽ làm cho dân ta, vì nó đã nói sự bạn nghịch Đức Giê-hô-va, Đức Giê-hô-va phán vậy.|所 以 耶 和 華 如 此 說 、 我 必 刑 罰 尼 希 蘭 人 示 瑪 雅 、 和 他 的 後 裔 、 他 必 無 一 人 存 留 住 在 這 民 中 、 也 不 得 見 我 所 要 賜 與 我 百 姓 的 福 樂 、 因 為 他 向 耶 和 華 說 了 叛 逆 的 話 。 這 是 耶 和 華 說 的 。

					Giê-rê-mi-a 30				|
						耶利米書 30					
Có lời của Đức Giê-hô-va phán cùng Giê-rê-mi rằng:|耶 和 華 的 話 臨 到 耶 利 米 說 、
Giê-hô-va, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy: Hãy chép mọi lời ta đã phán cùng ngươi vào trong sách.|耶 和 華 以 色 列 的 　 神 如 此 說 、 你 將 我 對 你 說 過 的 一 切 話 都 寫 在 書 上 。
Đức Giê-hô-va phán: Nầy, những ngày đến, bấy giờ ta sẽ đem những kẻ bị phu tù của dân Y-sơ-ra-ên và dân Giu-đa ta trở về. Đức Giê-hô-va phán: Ta sẽ khiến chúng nó về trong đất mà ta đã ban cho tổ phụ chúng nó, và chúng nó sẽ được đất ấy làm sản nghiệp.|耶 和 華 說 、 日 子 將 到 、 我 要 使 我 的 百 姓 以 色 列 、 和 猶 大 被 擄 的 人 歸 回 ． 我 也 要 使 他 們 回 到 我 所 賜 給 他 們 列 祖 之 地 、 他 們 就 得 這 地 為 業 ． 這 是 耶 和 華 說 的 。
Đây là những lời của Đức Giê-hô-va đã phán về Y-sơ-ra-ên và Giu-đa.|以 下 是 耶 和 華 論 到 以 色 列 和 猶 大 所 說 的 話 ．
Đức Giê-hô-va phán như vầy: Chúng ta đã nghe tiếng run rẩy sợ hãi, chẳng phải tiếng bình an.|耶 和 華 如 此 說 、 我 們 聽 見 聲 音 、 是 戰 抖 懼 怕 而 不 平 安 的 聲 音 。
Hãy dò la, hỏi thử có phải ấy là đờn ông sanh đẻ không? Làm sao ta thấy mọi người nam đều lấy tay đỡ lưng mình như đờn bà đương đẻ? Làm sao mặt ai nấy đều tái xanh đi?|你 們 且 訪 問 看 看 、 男 人 有 產 難 麼 、 我 怎 麼 看 見 人 人 用 手 掐 腰 、 像 產 難 的 婦 人 、 臉 面 都 變 青 了 呢 。
Khốn thay! Ngày đó thật lớn, đến nỗi chẳng hề có ngày nào giống như vậy. Ay là kỳ tai hại của Gia-cốp! Nhưng nó sẽ được cứu thoát khỏi sự ấy.|哀 哉 、 那 日 為 大 、 無 日 可 比 、 這 是 雅 各 遭 難 的 時 候 、 但 他 必 被 救 出 來 。
Đức Giê-hô-va vạn quân phán: Trong ngày đó, ta sẽ bẻ ách nó khỏi cổ ngươi; sẽ dứt dây trói ngươi, dân ngoại sẽ không bắt nó phục dịch nữa;|萬 軍 之 耶 和 華 說 、 到 那 日 、 我 必 從 你 頸 項 上 折 斷 仇 敵 的 軛 、 扭 開 他 的 繩 索 、 外 邦 人 不 得 再 使 你 作 他 們 的 奴 僕 。
nhưng chúng nó sẽ hầu việc Giê-hô-va Đức Chúa Trời mình, và Đa-vít, vua mình, mà ta sẽ dấy lên cho.|你 們 卻 要 事 奉 耶 和 華 你 們 的 　 神 、 和 我 為 你 們 所 要 興 起 的 王 大 衛 。
Đức Giê-hô-va phán: Hỡi Gia-cốp, ngươi là tôi tớ ta, chớ sợ chi. Hỡi Y-sơ-ra-ên, đừng kinh hãi! vì, nầy, ta sẽ cứu ngươi từ phương xa, và dòng dõi ngươi từ đất bị đày. Gia-cốp sẽ trở về được yên lặng an ổn, chẳng có ai làm cho nó sợ hãi.|故 此 、 耶 和 華 說 、 我 的 僕 人 雅 各 阿 、 不 要 懼 怕 ． 以 色 列 阿 、 不 要 驚 惶 ． 因 我 要 從 遠 方 拯 救 你 、 從 被 擄 到 之 地 拯 救 你 的 後 裔 、 雅 各 必 回 來 得 享 平 靖 安 逸 、 無 人 使 他 害 怕 。
Đức Giê-hô-va phán: Vì ta ở cùng ngươi đặng giải cứu ngươi. Ta sẽ diệt hết các nước mà ta đã làm cho ngươi tan lạc trong đó, nhưng ngươi, thì ta không diệt hết. Ta sẽ sửa phạt ngươi có chừng mực, song chẳng hề để cho ngươi khỏi hình phạt.|因 我 與 你 同 在 、 要 拯 救 你 ． 也 要 將 所 趕 散 你 到 的 那 些 國 、 滅 絕 淨 盡 、 卻 不 將 你 滅 絕 淨 盡 、 倒 要 從 寬 懲 治 你 、 萬 不 能 不 罰 你 ． 〔 不 罰 你 或 作 以 你 為 無 罪 〕 這 是 耶 和 華 說 的 。
Đức Giê-hô-va phán như vầy: Vết thương ngươi không chữa được, dấu vít ngươi nặng lắm.|耶 和 華 如 此 說 、 你 的 損 傷 無 法 醫 治 、 你 的 傷 痕 極 其 重 大 。
Chẳng ai lấy cớ ngươi cầu thay, để ngươi được ràng buộc; ngươi chẳng có thuốc chữa.|無 人 為 你 分 訴 、 使 你 的 傷 痕 得 以 纏 裹 、 你 沒 有 醫 治 的 良 藥 。
Mọi kẻ yêu ngươi đã quên ngươi, không hỏi han ngươi; vì ta đã đánh ngươi bị thương như kẻ hù đánh, sửa phạt ngươi như người hung ác sửa phạt, bởi cớ sự gian ác ngươi dồn dập, tội lỗi ngươi thêm nhiều.|你 所 親 愛 的 都 忘 記 你 、 不 來 探 問 〔 或 作 理 會 〕 你 ． 我 因 你 的 罪 孽 甚 大 、 罪 惡 眾 多 、 曾 用 仇 敵 加 的 傷 害 、 傷 害 你 、 用 殘 忍 者 的 懲 治 、 懲 治 你 。
Sao ngươi kêu la vì vết thương mình? Sự đa đoan ngươi không phương chữa. Ay là vì cớ sự gian ác ngươi dồn dập, tội lỗi ngươi thêm nhiều, mà ta đã làm cho những sự nầy.|你 為 何 因 損 傷 哀 號 呢 、 你 的 痛 苦 無 法 醫 治 、 我 因 你 的 罪 孽 甚 大 、 罪 惡 眾 多 、 曾 將 這 些 加 在 你 身 上 。
Cho nên mọi kẻ nuốt ngươi sẽ bị nuốt; mọi kẻ đối địch ngươi, mỗi một ngươi, sẽ bị làm phu tù; những kẻ bốc lột ngươi sẽ bị bốc lột, còn mọi kẻ cướp giựt ngươi, ta cũng sẽ phó cho sự cướp giựt.|故 此 、 凡 吞 喫 你 的 、 必 被 吞 喫 ． 你 的 敵 人 、 個 個 都 被 擄 去 、 擄 掠 你 的 、 必 成 為 擄 物 、 搶 奪 你 的 、 必 成 為 掠 物 。
Đức Giê-hô-va phán: Ta sẽ chữa lành thân thể ngươi, và chữa vết thương ngươi, vì chúng nó đã gọi ngươi là kẻ bị bỏ, mà rằng: Ay là Si-ôn, chẳng ai ngõ ngàng đến!|耶 和 華 說 、 我 必 使 你 痊 愈 、 醫 好 你 的 傷 痕 、 都 因 人 稱 你 為 被 趕 散 的 、 說 、 這 是 錫 安 、 無 人 來 探 問 〔 或 作 理 會 〕 的 。
Đức Giê-hô-va phán như vầy: Nầy, ta sẽ đem các nhà trại Gia-cốp trở về khỏi sự phu tù, ta sẽ thương xót chỗ ở nó; thành nầy sẽ xây lại trên gò nó, cung điện sẽ có người ở như thuở xưa.|耶 和 華 如 此 說 、 我 必 使 雅 各 被 擄 去 的 帳 棚 歸 回 、 也 必 顧 惜 他 的 住 處 ． 城 必 建 造 在 原 舊 的 山 岡 、 宮 殿 也 照 舊 有 人 居 住 。
Sự tạ ơn và tiếng của kẻ reo vui sẽ ra từ chúng nó. Ta sẽ làm cho số chúng nó thêm nhiều ra, và chúng nó sẽ không kém đi; ta cũng sẽ làm cho chúng nó vinh hiển, chẳng còn là thấp hèn.|必 有 感 謝 和 歡 樂 的 聲 音 、 從 其 中 發 出 ． 我 要 使 他 們 增 多 、 不 致 減 少 ． 使 他 們 尊 榮 、 不 致 卑 微 。
Con cái chúng nó sẽ đứng vững trước mặt ta, và ta sẽ phạt mọi kẻ hiếp đáp chúng nó.|他 們 的 兒 女 要 如 往 日 、 他 們 的 會 眾 堅 立 在 我 面 前 、 凡 欺 壓 他 們 的 、 我 必 刑 罰 他 。
Vua chúng nó sẽ ra từ trong chúng nó, quan cai sẽ ra từ giữa chúng nó. Ta sẽ khiến người lại gần, thì người sẽ đến gần ta: vì ai đã có sự dạn dĩ đến gần ta? Đức Giê-hô-va phán vậy.|他 們 的 君 王 、 必 是 屬 乎 他 們 的 ． 掌 權 的 必 從 他 們 中 間 而 出 ． 我 要 使 他 就 近 我 、 他 也 要 親 近 我 、 不 然 、 誰 有 膽 量 親 近 我 呢 ． 這 是 耶 和 華 說 的 。
Như vậy, các ngươi sẽ làm dân ta, ta sẽ làm Đức Chúa Trời các ngươi.|你 們 要 作 我 的 子 民 、 我 要 作 你 們 的 　 神 。
Nầy, cơn bão của Đức Giê-hô-va, tức là cơn thạnh nộ của Ngài, đã phát ra, một cơn bão lớn: nó sẽ phát ra trên đầu kẻ dữ.|看 哪 、 耶 和 華 的 忿 怒 、 好 像 暴 風 已 經 發 出 、 是 掃 滅 的 暴 風 、 必 轉 到 惡 人 的 頭 上 。
Sự nóng giận của Đức Giê-hô-va chẳng trở về cho đến chừng nào Ngài đã làm và đã trọn ý toan trong lòng Ngài. Trong những ngày sau rốt, các ngươi sẽ hiểu điều đó.|耶 和 華 的 烈 怒 必 不 轉 消 、 直 到 他 心 中 所 擬 定 的 成 就 了 ． 末 後 的 日 子 你 們 要 明 白 。

					Giê-rê-mi-a 31				|
						耶利米書 31					
Đức Giê-hô-va phán: Trong lúc đó, ta sẽ làm Đức Chúa Trời của hết thảy họ hàng Y-sơ-ra-ên; chúng nó sẽ làm dân ta.|耶 和 華 說 、 那 時 我 必 作 以 色 列 各 家 的 　 神 ． 他 們 必 作 我 的 子 民 。
Đức Giê-hô-va phán như vầy: Dân sót lại thoát khỏi gươm dao, tức là Y-sơ-ra-ên, đã được ơn trong đồng vắng, khi ta đi khiến chúng nó được yên nghỉ.|耶 和 華 如 此 說 、 脫 離 刀 劍 的 、 就 是 以 色 列 人 、 我 使 他 享 安 息 的 時 候 、 他 曾 在 曠 野 蒙 恩 。
Đức Giê-hô-va từ thuở xưa hiện ra cùng tôi và phán rằng: Phải, ta đã lấy sự yêu thương đời đời mà yêu ngươi; nên đã lấy sự nhơn từ mà kéo ngươi đến.|古 時 〔 或 作 從 遠 方 〕 耶 和 華 向 以 色 列 〔 原 文 作 我 〕 顯 現 、 說 、 我 以 永 遠 的 愛 、 愛 你 、 因 此 我 以 慈 愛 、 吸 引 你 。
Ta sẽ dựng lại ngươi, thì ngươi sẽ được dựng, hỡi gái đồng trinh Y-sơ-ra-ên! Ngươi sẽ lại cầm trống cơm làm trang sức, đi làm một với những người nhảy múa vui vẻ.|以 色 列 的 民 哪 、 〔 民 原 文 作 處 女 〕 我 要 再 建 立 你 、 你 就 被 建 立 ． 你 必 再 以 擊 鼓 為 美 、 與 歡 樂 的 人 一 同 跳 舞 而 出 。
Ngươi sẽ lại trồng vườn nho trên núi Sa-ma-ri, những kẻ trồng sẽ trồng và sẽ được hái trái.|又 必 在 撒 瑪 利 亞 的 山 上 、 栽 種 葡 萄 園 、 栽 種 的 人 要 享 用 所 結 的 果 子 。
Sẽ có ngày, những kẻ canh trên các núi Ep-ra-im kêu rằng: Hãy chổi dậy, chúng ta hãy lên núi Si-ôn, đến cùng Giê-hô-va Đức Chúa Trời chúng ta!|日 子 必 到 、 以 法 蓮 山 上 守 望 的 人 、 必 呼 叫 說 、 起 來 罷 、 我 們 可 以 上 錫 安 、 到 耶 和 華 我 們 的 　 神 那 裡 去 。
Đức Giê-hô-va phán như vầy: Hãy trổi tiếng reo vui vì Gia-cốp; hãy hò hét lên vì dân làm đầu các nước. Khá rao truyền ngợi khen mà rằng: Hỡi Đức Giê-hô-va, xin hãy cứu dân Ngài, là dân còn sót của Y-sơ-ra-ên.|耶 和 華 如 此 說 、 你 們 當 為 雅 各 歡 樂 歌 唱 、 因 萬 國 中 為 首 的 歡 呼 ． 當 傳 揚 頌 讚 、 說 、 耶 和 華 阿 、 求 你 拯 救 你 的 百 姓 以 色 列 所 剩 下 的 人 。
Nầy, ta sẽ đem chúng nó về từ xứ phương bắc, nhóm lại từ các đầu cùng đất. Trong vòng chúng nó sẽ có kẻ đui, kẻ què, đờn bà có nghén, đờn bà đẻ, hiệp nên một hội lớn mà trở về đây.|我 必 將 他 們 從 北 方 領 來 、 從 地 極 招 聚 、 同 著 他 們 來 的 、 有 瞎 子 、 瘸 子 、 孕 婦 、 產 婦 、 他 們 必 成 為 大 幫 回 到 這 裡 來 。
Chúng nó khóc lóc mà đến, và ta sẽ dắt dẫn trong khi chúng nó nài xin ta; ta sẽ đưa chúng nó đi dọc bờ các sông, theo đường bằng thẳng, chẳng bị vấp ngã. Vì ta làm cha cho Y-sơ-ra-ên, còn Ep-ra-im là con đầu lòng ta.|他 們 要 哭 泣 而 來 、 我 要 照 他 們 懇 求 的 引 導 他 們 、 使 他 們 在 河 水 旁 走 正 直 的 路 、 在 其 上 不 致 絆 跌 、 因 為 我 是 以 色 列 的 父 、 以 法 蓮 是 我 的 長 子 。
Hỡi các nước, hãy nghe lời Đức Giê-hô-va; hãy reo lời ấy ra trong các cù lao xa! Khá nói rằng: Đấng đã làm tan lạc Y-sơ-ra-ên sẽ thâu nhóm nó lại, sẽ giữ như kẻ chăn giữ bầy mình.|列 國 阿 、 要 聽 耶 和 華 的 話 、 傳 揚 在 遠 處 的 海 島 、 說 、 趕 散 以 色 列 的 、 必 招 聚 他 、 又 看 守 他 、 好 像 牧 人 看 守 羊 群 ．
Vì Đức Giê-hô-va đã chuộc giải đáp, cứu khỏi tay kẻ mạnh hơn.|因 耶 和 華 救 贖 了 雅 各 、 救 贖 他 脫 離 比 他 更 強 之 人 的 手 。
Họ sẽ đến và hát trên nơi cao của Si-ôn; sẽ trôi chảy đến ơn phước của Đức Giê-hô-va, đến lúa mì, rượu mới, dầu, và con nhỏ của chiên và bò; lòng họ sẽ như vườn đượm nhuần, chẳng buồn rầu chi nữa hết.|他 們 要 來 到 錫 安 的 高 處 歌 唱 、 又 流 歸 耶 和 華 施 恩 之 地 、 就 是 有 五 穀 、 新 酒 、 和 油 、 並 羊 羔 、 牛 犢 之 地 ． 他 們 的 心 必 像 澆 灌 的 園 子 、 他 們 也 不 再 有 一 點 愁 煩 。
