
					I Các Vua 1				|
tức là các con cháu của chúng nó còn lại ở trong xứ mà dân Y-sơ-ra-ên không đủ sức diệt hết được, thì Sa-lô-môn bắt phụ làm xâu dịch cho đến ngày nay.|就 是 以 色 列 人 不 能 滅 盡 的 、 所 羅 門 挑 取 他 們 的 後 裔 、 作 服 苦 的 奴 僕 、 直 到 今 日 。
Nhưng Sa-lô-môn không bắt dân Y-sơ-ra-ên làm tôi mọi; song họ làm binh chiến, tôi tớ, quan trưởng, quan tướng, quan cai xe, và lính kỵ của người.|惟 有 以 色 列 人 、 所 羅 門 不 使 他 們 作 奴 僕 、 乃 是 作 他 的 戰 士 、 臣 僕 、 統 領 、 軍 長 、 車 兵 長 、 馬 兵 長 。
Còn về các quan trưởng đặt lên coi sóc các công việc của Sa-lô-môn, số là năm trăm năm mươi người; họ cai trị dân làm công việc.|所 羅 門 有 五 百 五 十 督 工 的 、 監 管 工 人 。
Con gái Pha-ra-ôn ở thành Đa-vít đi lên cung mà Sa-lô-môn đã xây cất cho nàng; bấy giờ, người xây cất Mi-lô.|法 老 的 女 兒 、 從 大 衛 城 搬 到 所 羅 門 為 他 建 造 的 宮 裡 ． 那 時 所 羅 門 纔 建 造 米 羅 。
Mỗi năm ba lần, Sa-lô-môn dâng của lễ thiêu và của lễ thù ân trên bàn thờ mà người đã đóng cho Đức Giê-hô-va, và xông hương trên bàn thờ đã đặt ở trước mặt Đức Giê-hô-va. Người xây xong đền thờ là như vậy.|所 羅 門 每 年 三 次 在 他 為 耶 和 華 所 築 的 壇 上 獻 燔 祭 、 和 平 安 祭 、 又 在 耶 和 華 面 前 的 壇 上 燒 香 。 這 樣 、 他 建 造 殿 的 工 程 完 畢 了 。
Vua Sa-lô-môn cũng sắm sửa một đoàn tàu tại Ê-xi-ôn-Ghê-be, gần Ê-lốt, trên mé Biển đỏ, trong xứ Ê-đôm.|所 羅 門 王 在 以 東 地 、 紅 海 邊 、 靠 近 以 祿 的 以 旬 迦 別 製 造 船 隻 。
Hi-ram sai những tôi tớ mình, tức những thủy thủ, thông thạo về nghề đi biển, đến trong đoàn tàu đó, đặng giúp tôi tớ của Sa-lô-môn.|希 蘭 差 遣 他 的 僕 人 、 就 是 熟 悉 泛 海 的 船 家 、 與 所 羅 門 的 僕 人 、 一 同 坐 船 航 海 。
Họ đi Ô-phia đem về cho Sa-lô-môn bốn trăm hai mươi ta lâng vàng.|他 們 到 了 俄 斐 、 從 那 裡 得 了 四 百 二 十 他 連 得 金 子 、 運 到 所 羅 門 王 那 裡 。

					I Các Vua 10				|
						列王紀上 10					
Khi nữ vương Sê-ba nghe nói về danh tiếng của Sa-lô-môn và về danh của Đức Giê-hô-va, bèn đến thử Sa-lô-môn nhiều câu đố.|示 巴 女 王 聽 見 所 羅 門 因 耶 和 華 之 名 所 得 的 名 聲 、 就 來 要 用 難 解 的 話 、 試 問 所 羅 門 。
Bà đến Giê-ru-sa-lem có hầu hạ theo rất đông, lạc đà chở thuốc thơm, nhiều vàng và ngọc. Bà đến cùng Sa-lô-môn, nói với người mọi điều có trong lòng mình.|跟 隨 他 到 耶 路 撒 冷 的 人 甚 多 ． 又 有 駱 駝 馱 著 香 料 、 寶 石 、 和 許 多 金 子 ． 他 來 見 了 所 羅 門 王 、 就 把 心 裡 所 有 的 、 對 所 羅 門 都 說 出 來 。
Sa-lô-môn đáp các câu hỏi của bà, chẳng câu nào ẩn bí quá cho vua, mà vua không giải nghĩa nổi cho bà.|所 羅 門 王 將 他 所 問 的 都 答 上 了 ． 沒 有 一 句 不 明 白 、 不 能 答 的 。
Khi nữ vương Sê-ba thấy mọi sự khôn ngoan của Sa-lô-môn, cung điện người cất,|示 巴 女 王 見 所 羅 門 大 有 智 慧 、 和 他 所 建 造 的 宮 室 、
những món ăn trên bàn người, nhà cửa của tôi tớ người, thứ tự công việc của các quan, và đồ ăn mặc của họ, các quan chước tửu, và các của lễ thiêu người dâng trong đền Đức Giê-hô-va, thì mất vía.|席 上 的 珍 饈 美 味 、 群 臣 分 列 而 坐 、 僕 人 兩 旁 侍 立 、 以 及 他 們 的 衣 服 裝 飾 、 和 酒 政 的 衣 服 裝 飾 、 又 見 他 上 耶 和 華 殿 的 臺 階 、 〔 或 作 他 在 耶 和 華 殿 裡 所 獻 的 燔 祭 〕 就 詫 異 得 神 不 守 舍 ．
Rồi bà nói rằng: Điều tôi nghe nói trong xứ tôi về lời nói và sự khôn ngoan của vua, thì thật lắm.|對 王 說 、 我 在 本 國 裡 所 聽 見 論 到 你 的 事 、 和 你 的 智 慧 、 實 在 是 真 的 。
Song trước khi tôi chưa đến đây, và chưa thấy tận mắt những điều này, thì tôi chẳng tin; và kìa, người ta chẳng nói đến được phân nửa! Sự khôn ngoan và oai nghi của vua trổi hơn tiếng đồn tôi đã nghe.|我 先 不 信 那 些 話 ． 及 至 我 來 親 眼 見 了 、 纔 知 道 人 所 告 訴 我 的 、 還 不 到 一 半 ． 你 的 智 慧 和 你 的 福 分 、 越 過 我 所 聽 見 的 風 聲 。
Các tôi tớ vua thật có phước thay! Các tôi tớ vua hằng đứng chầu trước mặt vua, nghe sự khôn ngoan của vua, lấy làm có phước thay!|你 的 臣 子 、 你 的 僕 人 、 常 侍 立 在 你 面 前 、 聽 你 智 慧 的 話 、 是 有 福 的 。
Đáng khen ngợi thay Giê-hô-va Đức Chúa Trời của vua, vì Ngài đẹp lòng vua, đặt vua trên ngôi của Y-sơ-ra-ên! Bởi vì Đức Giê-hô-va yêu dấu Y-sơ-ra-ên mãi mãi, nên Ngài đã lập vua làm vua đặng cai trị theo sự ngay thẳng và công bình.|耶 和 華 你 的 　 神 是 應 當 稱 頌 的 、 他 喜 悅 你 、 使 你 坐 以 色 列 的 國 位 ． 因 為 他 永 遠 愛 以 色 列 、 所 以 立 你 作 王 、 使 你 秉 公 行 義 。
Đoạn nữ vương dâng cho vua một trăm hai mươi ta lâng vàng và rất nhiều thuốc thơm cùng ngọc quí. Từ đó nhẫn nay, chẳng hề có ai đem thuốc thơm đến số nhiều bằng của nữ vương nước Sê-ba dâng cho vua Sa-lô-môn.|於 是 示 巴 女 王 將 一 百 二 十 他 連 得 金 子 、 和 寶 石 與 極 多 的 香 料 、 送 給 所 羅 門 王 ． 他 送 給 王 的 香 料 、 以 後 奉 來 的 不 再 有 這 樣 多 。
Đoàn tàu Hi-ram chở vàng Ô-phia, cũng chở cây bạch đàn rất nhiều, và ngọc quí.|希 蘭 的 船 隻 從 俄 斐 運 了 金 子 來 、 又 從 俄 斐 運 了 許 多 檀 香 木 〔 或 作 烏 木 下 同 〕 和 寶 石 來 。
Vua dùng cây bạch đàn này mà làm bao lơn cho đền thờ Đức Giê-hô-va và cho nhà vua, cùng những đờn cầm và đơn sắt cho con hát. Từ đó, chẳng hề có ai đem đến Giê-ru-sa-lem cây bạch đàn dường ấy nữa, không ai thấy lại cho đến ngày nay.|王 用 檀 香 木 為 耶 和 華 殿 、 和 王 宮 、 作 欄 杆 、 又 為 歌 唱 的 人 作 琴 瑟 ． 以 後 再 沒 有 這 樣 的 檀 香 木 進 國 來 、 也 沒 有 人 看 見 過 、 直 到 如 今 。
Vua Sa-lô-môn ban cho nữ vương Sê-ba mọi đều người ước và xin, chẳng kể những vật mà Sa-lô-môn đã ban cho bà, tùy lệ thường của vua. Đoạn, bà và các tôi tớ bà lên đường trở về xứ mình.|示 巴 女 王 一 切 所 要 所 求 的 、 所 羅 門 王 都 送 給 他 ． 另 外 照 自 己 的 厚 意 餽 送 他 。 於 是 女 王 和 他 臣 僕 轉 回 本 國 去 了 。
Vàng mà vua Sa-lô-môn thâu nhận mỗi năm cân đến sáu trăm bảy mươi sáu ta lâng,|所 羅 門 每 年 所 得 的 金 子 、 共 有 六 百 六 十 六 他 連 得 。
không kể vàng người thâu lấy nơi người buôn bán dông, và nơi sự đổi chác của kẻ thương mại, cùng vàng mà các vua A-ra-bi, và các quan tổng đốc của xứ đem nộp.|另 外 還 有 商 人 、 和 雜 族 的 諸 王 、 與 國 中 的 省 長 、 所 進 的 金 子 。 〔 雜 族 在 歷 代 下 九 章 十 四 節 作 亞 拉 伯 〕
Vua Sa-lô-môn làm hai trăm cái khiên lớn bằng vàng đánh giác, cứ mỗi cái dùng sáu trăm siếc lơ vàng;|所 羅 門 王 用 錘 出 來 的 金 子 、 打 成 擋 牌 二 百 面 、 每 面 用 金 子 六 百 舍 客 勒 ．
lại làm ba trăm cái khiên nhỏ, bằng vàng đánh giác, cứ mỗi cái dùng ba min vàng. Vua để các khiên ấy trong đền rừng Li-ban.|又 用 錘 出 來 的 金 子 、 打 成 盾 牌 三 百 面 、 每 面 用 金 子 三 彌 那 、 都 放 在 利 巴 嫩 林 宮 裡 。
Vua cũng làm một cái ngai lớn bằng ngà, bọc vàng ròng.|王 用 象 牙 製 造 一 個 寶 座 、 用 精 金 包 裹 。
Ngai này có sáu nấc; thân cao ngai phía sau thì tròn; mỗi phía ngai có thanh nâng tay, và hai con sư tử đứng kề.|寶 座 有 六 層 臺 階 ． 座 的 後 背 是 圓 的 ． 兩 旁 有 扶 手 ． 靠 近 扶 手 有 兩 個 獅 子 站 立 。
Lại có mười hai con khác đứng trên sáu nấc, nơi hữu và tả: chẳng có nước nào làm ngai giống như vậy.|六 層 臺 階 上 有 十 二 個 獅 子 站 立 、 每 層 有 兩 個 、 左 邊 一 個 、 右 邊 一 個 ． 在 列 國 中 沒 有 這 樣 作 的 。
Hết thảy các chén uống của vua Sa-lô-môn đều bằng vàng, và những khí dụng trong cung rừng Li-ban đều cũng bằng vàng ròng. Chẳng có chi là bằng bạc: trong đời vua Sa-lô-môn, người ta chẳng kể bạc là chi.|所 羅 門 王 一 切 的 飲 器 、 都 是 金 子 的 ． 利 巴 嫩 林 宮 裡 的 一 切 器 皿 、 都 是 精 金 的 ． 所 羅 門 年 間 、 銀 子 算 不 了 甚 麼 。
Vì đoàn tàu Ta-rê-si của vua mỗi ba năm một lần vượt biển với đoàn tàu của Hi-ram, đem về vàng, bạc, ngà voi, con khỉ, và con công.|因 為 王 有 他 施 船 隻 與 希 蘭 的 船 隻 一 同 航 海 、 三 年 一 次 、 裝 載 金 銀 、 象 牙 、 猿 猴 、 孔 雀 回 來 。
Ay vậy, vua Sa-lô-môn trổi hơn các vua thế gian về sự giàu có và sự khôn ngoan.|所 羅 門 王 的 財 寶 與 智 慧 、 勝 過 天 下 的 列 王 。
Cả thiên hạ đều tìm kiếm mặt Sa-lô-môn đặng nghe sự khôn ngoan mà Đức Chúa Trời đã để trong lòng người.|普 天 下 的 王 都 求 見 所 羅 門 、 要 聽 　 神 賜 給 他 智 慧 的 話 ．
Cứ hằng năm, theo lệ định, mọi người đều đem đến dâng vật mình tiến cống cho vua, nào chậu bằng bạc và bằng vàng, áo xống, binh khí, thuốc thơm, ngựa, và la.|他 們 各 帶 貢 物 、 就 是 金 器 、 銀 器 、 衣 服 、 軍 械 、 香 料 、 騾 馬 、 每 年 有 一 定 之 例 。
Sa-lô-môn cũng nhóm xe và lính kị; có một ngàn bốn trăm xe và mười hai ngàn lính kị, để trong các thành chứa xe, và tại Giê-ru-sa-lem, gần bên vua.|所 羅 門 聚 集 戰 車 馬 兵 、 有 戰 車 一 千 四 百 輛 、 馬 兵 一 萬 二 千 名 、 安 置 在 屯 車 的 城 邑 、 和 耶 路 撒 冷 就 是 王 那 裡 。
Tại Giê-ru-sa-lem vua làm cho bạc ra thường như đá, và cây bá hương nhiều như cây sung mọc nơi đồng bằng.|王 在 耶 路 撒 冷 使 銀 子 多 如 石 頭 。 香 柏 木 多 如 高 原 的 桑 樹 。
Vua Sa-lô-môn do nơi Ê-díp-tô mà được ngựa; một đoàn con buôn của vua đi kiếm mua từng bầy, giá phải chăng.|所 羅 門 的 馬 是 從 埃 及 帶 來 的 、 是 王 的 商 人 、 一 群 一 群 、 按 著 定 價 、 買 來 的 。
Mỗi cỗ xe mua ở xứ Ê-díp-tô và dẫn về Giê-ru-sa-lem, giá đáng sáu trăm siếc lơ bạc, còn mỗi con ngựa giá đáng một trăm năm mươi siếc lơ. Các vua dân Hê-tít và vua Sy-ri cũng theo giá ấy, nhờ những con buôn của vua mua về.|從 埃 及 買 來 的 車 、 每 輛 價 銀 六 百 舍 客 勒 、 馬 每 匹 一 百 五 十 舍 客 勒 ． 赫 人 諸 王 、 和 亞 蘭 諸 王 、 所 買 的 車 馬 、 也 是 按 這 價 值 經 他 們 手 買 來 的 。

					I Các Vua 11				|
						列王紀上 11					
Ngoài con gái của Pha-ra-ôn, vua Sa-lô-môn lại còn thương mến nhiều người nữ của dân ngoại; tức là người nữ Mô-áp, Am-môn, Ê-đôm, Si-đôn, và Hê-tít.|所 羅 門 王 在 法 老 的 女 兒 之 外 、 又 寵 愛 許 多 外 邦 女 子 、 就 是 摩 押 女 子 、 亞 捫 女 子 、 以 東 女 子 、 西 頓 女 子 、 赫 人 女 子 。
Chúng nó thuộc về các dân tộc mà Đức Giê-hô-va có phán với dân Y-sơ-ra-ên rằng: Các ngươi và chúng nó chớ đi lại giao thông với nhau; vì chúng nó hẳn sẽ quyến dụ lòng các ngươi hướng theo các thần chúng nó. Sa-lô-môn tríu mến những người nữ ấy.|論 到 這 些 國 的 人 、 耶 和 華 曾 曉 諭 以 色 列 人 、 說 、 你 們 不 可 與 他 們 往 來 相 通 ． 因 為 他 們 必 誘 惑 你 們 的 心 、 去 隨 從 他 們 的 神 ． 所 羅 門 卻 戀 愛 這 些 女 子 。
Người có bảy trăm hoàng hậu, và ba trăm cung nữ; chúng nó bèn làm cho người trở lòng.|所 羅 門 有 妃 七 百 、 都 是 公 主 ． 還 有 嬪 三 百 ． 這 些 妃 嬪 誘 惑 他 的 心 。
Trong buổi già yếu, các hoàng hậu của Sa-lô-môn dụ lòng người đi theo các thần khác: Đối cùng Giê-hô-va Đức Chúa Trời mình, lòng người chẳng trọn lành như thể lòng của Đa-vít, là cha người.|所 羅 門 年 老 的 時 候 、 他 的 妃 嬪 誘 惑 他 的 心 、 去 隨 從 別 神 、 不 效 法 他 父 親 大 衛 、 誠 誠 實 實 的 順 服 耶 和 華 他 的 　 神 。
Vì Sa-lô-môn cúng thờ At-tạt-tê, nữ thần của dân Si-đôn, và thần Minh-côm, là thần đáng gớm ghiếc của dân Am-môn.|因 為 所 羅 門 隨 從 西 頓 人 的 女 神 亞 斯 他 錄 、 和 亞 捫 人 可 憎 的 神 米 勒 公 。
Như vậy, Sa-lô-môn làm điều ác trước mặt Đức Giê-hô-va, chẳng vâng theo Đức Giê-hô-va cách trọn lành như Đa-vít, cha người, đã làm.|所 羅 門 行 耶 和 華 眼 中 看 為 惡 的 事 、 不 效 法 他 父 親 大 衛 、 專 心 順 從 耶 和 華 。
Bấy giờ, Sa-lô-môn lại xây cất tại trên núi đối ngang Giê-ru-sa-lem, một nơi cao cho Kê-móc, vật đáng gớm ghiếc của dân Mô-áp, và cho Mo-lóc, vật đáng gớm ghiếc của dân Am-môn.|所 羅 門 為 摩 押 可 憎 的 神 基 抹 、 和 亞 捫 人 可 憎 的 神 摩 洛 、 在 耶 路 撒 冷 對 面 的 山 上 建 築 邱 壇 。
Vua cũng làm như vậy cho hết thảy các hoàng hậu ngoại của mình, xông hương và tế lễ cho thần của chúng nó.|他 為 那 些 向 自 己 的 神 燒 香 獻 祭 的 外 邦 女 子 、 就 是 他 娶 來 的 妃 嬪 、 也 是 這 樣 行 。
Đức Giê-hô-va nổi giận cùng Sa-lô-môn, bởi vì lòng người trở bỏ Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, là Đấng đã hai lần hiện đến cùng người,|耶 和 華 向 所 羅 門 發 怒 、 因 為 他 的 心 偏 離 向 他 兩 次 顯 現 的 耶 和 華 以 色 列 的 　 神 ．
phán bảo người rằng chớ theo các thần khác; nhưng người không vâng theo lịnh của Đức Giê-hô-va.|耶 和 華 曾 吩 咐 他 不 可 隨 從 別 神 ． 他 卻 沒 有 遵 守 耶 和 華 所 吩 咐 的 。
Đức Giê-hô-va phán với Sa-lô-môn rằng: Bởi vì ngươi đã làm điều này, không giữ giao ước và luật pháp ta truyền cho ngươi, nên ta chắc sẽ đoạt lấy nước khỏi ngươi, cho kẻ tôi tớ ngươi.|所 以 耶 和 華 對 他 說 、 你 既 行 了 這 事 、 不 遵 守 我 所 吩 咐 你 守 的 約 和 律 例 、 我 必 將 你 的 國 奪 回 、 賜 給 你 的 臣 子 。
Song vì cớ Đa-vít, cha ngươi, ta sẽ chẳng làm điều đó trong đời ngươi. Ta sẽ đoạt lấy nước khỏi tay con trai ngươi.|然 而 因 你 父 親 大 衛 的 緣 故 、 我 不 在 你 活 著 的 日 子 行 這 事 ． 必 從 你 兒 子 的 手 中 將 國 奪 回 。
Lại ta chẳng đoạt lấy cả nước khỏi nó; song vì cớ Đa-vít, đầy tớ ta và vì cớ Giê-ru-sa-lem mà ta đã chọn, ta sẽ để lại một chi phái cho con trai ngươi.|只 是 我 不 將 全 國 奪 回 ． 要 因 我 僕 人 大 衛 、 和 我 所 選 擇 的 耶 路 撒 冷 、 還 留 一 支 派 給 你 的 兒 子 。
Vậy, Đức Giê-hô-va khiến dấy lên một kẻ thù nghịch cùng Sa-lô-môn, là Ha-đát, người Ê-đôm vốn dòng dõi vua Ê-đôm.|耶 和 華 使 以 東 人 哈 達 興 起 、 作 所 羅 門 的 敵 人 ． 他 是 以 東 王 的 後 裔 。
Vả, trong lúc Đa-vít đánh dẹp Ê-đôm, thì Giô-áp là tổng binh, đi lên chôn các kẻ thác, và giết hết thảy người nam trong Ê-đôm.|先 前 大 衛 攻 擊 以 東 、 元 帥 約 押 上 去 葬 埋 陣 亡 的 人 、 將 以 東 的 男 丁 都 殺 了 ．
Giô-áp và cả Y-sơ-ra-ên ở lại đó sáu tháng, cho đến khi người đã giết hết thảy người trong Ê-đôm.|約 押 和 以 色 列 眾 人 在 以 東 住 了 六 個 月 、 直 到 將 以 東 的 男 丁 盡 都 剪 除 ．
Lúc bấy giờ, Ha-đát chạy trốn cùng mấy người Ê-đôm, là tôi tớ của cha người, đặng đến ở Ê-díp-tô; Ha-đát hãy còn thơ ấu.|那 時 哈 達 還 是 幼 童 ． 他 和 他 父 親 的 臣 僕 、 幾 個 以 東 人 逃 往 埃 及 。
Chúng đi từ Ma-đi-an đến Pha-ran; đoạn bắt mấy người Pha-ran theo mình mà đi đến Ê-díp-tô, ra mắt Pha-ra-ôn, vua xứ Ê-díp-tô. Vua cấp cho Ha-đát nhà ở, lương thực và đất ruộng.|他 們 從 米 甸 起 行 、 到 了 巴 蘭 ． 從 巴 蘭 帶 著 幾 個 人 、 來 到 埃 及 、 見 埃 及 王 法 老 ． 法 老 為 他 派 定 糧 食 、 又 給 他 房 屋 田 地 。
Ha-đát được ơn nhiều trước mặt Pha-ra-ôn; vua bèn gả em vợ mình cho người, tức là em của hoàng hậu Tác-bê-ne.|哈 達 在 法 老 面 前 大 蒙 恩 惠 、 以 致 法 老 將 王 后 答 比 匿 的 妹 子 賜 他 為 妻 。
Em của Tác-bê-ne sanh cho Ha-đát một con trai tên là Ghê-nu-bát; Tác-bê-ne dứt sữa nó tại trong đền Pha-ra-ôn. Như vậy, Ghê-nu-bát ở tại trong đền Pha-ra-ôn, giữa các con trai của vua.|答 比 匿 的 妹 子 給 哈 達 生 了 一 個 兒 子 、 名 叫 基 努 拔 、 答 比 匿 使 基 努 拔 在 法 老 的 宮 裡 斷 奶 ． 基 努 拔 就 與 法 老 的 眾 子 一 同 住 在 法 老 的 宮 裡 。
Khi Ha-đát ở Ê-díp-tô hay rằng Đa-vít đã an giấc cùng các tổ tiên người, và Giô-áp, quan tổng binh, đã thác, thì người tâu cùng Pha-ra-ôn rằng: Xin hãy để cho tôi đi trở về trong xứ tôi.|哈 達 在 埃 及 聽 見 大 衛 與 他 列 祖 同 睡 、 元 帥 約 押 也 死 了 、 就 對 法 老 說 、 求 王 容 我 回 本 國 去 。
Pha-ra-ôn đáp với người rằng: Ngươi ở nơi ta có thiếu gì sao, nên ao ước trở về trong xứ mình như vậy? Người thưa rằng: Chẳng thiếu chi. Dầu vậy, xin cho tôi đi.|法 老 對 他 說 、 你 在 我 這 裡 有 甚 麼 缺 乏 、 你 竟 要 回 你 本 國 去 呢 。 他 回 答 說 、 我 沒 有 缺 乏 甚 麼 ． 只 是 求 王 容 我 回 去 。
Đức Chúa Trời lại khiến dấy lên một kẻ thù nghịch khác, là Rê-xôn, con trai Ê-li-gia-đa, đã chạy trốn khỏi chúa mình là Ha-đa-đê-xe, vua Xô-ba.|　 神 又 使 以 利 亞 大 的 兒 子 利 遜 興 起 、 作 所 羅 門 的 敵 人 ． 他 先 前 逃 避 主 人 瑣 巴 王 哈 大 底 謝 ．
Khi Đa-vít giết quân vua Xô-ba, thì người ấy nhóm người ta chung quanh mình, và làm đầu bọn đó, đi đến thành Đa-mách, bèn ở tại đó, và quản trị thành ấy.|大 衛 擊 殺 瑣 巴 人 的 時 候 、 利 遜 招 聚 了 一 群 人 、 自 己 作 他 們 的 頭 目 、 往 大 馬 色 居 住 、 在 那 裡 作 王 。
Rê-xôn làm kẻ cừu địch cùng Y-sơ-ra-ên trọn đời Sa-lô-môn, ngoài ra sự bại mà Ha-đát đã làm; người cai trị nước Sy-ri, và ghen ghét Y-sơ-ra-ên.|所 羅 門 活 著 的 時 候 、 哈 達 為 患 之 外 、 利 遜 也 作 以 色 列 的 敵 人 ． 他 恨 惡 以 色 列 人 、 且 作 了 亞 蘭 人 的 王 。
Giê-rô-bô-am, con trai của Nê-bát, người Ep-ra-im, ở đất Xê-rê-đa, là tôi tớ của Sa-lô-môn, cũng dấy nghịch với người. Mẹ người góa bụa, tên là Xê-ru-ha.|所 羅 門 的 臣 僕 、 尼 八 的 兒 子 耶 羅 波 安 、 也 舉 手 攻 擊 王 ． 他 是 以 法 蓮 支 派 的 洗 利 達 人 ． 他 母 親 是 寡 婦 、 名 叫 洗 魯 阿 。
Này là duyên cớ mà người phản nghịch với vua: Sa-lô-môn xây cất Mi-lô, lấp vá lại nơi hư lủng của thành Đa-vít, là cha người.|他 舉 手 攻 擊 王 的 緣 故 、 乃 由 先 前 所 羅 門 建 造 米 羅 、 修 補 他 父 親 大 衛 城 的 破 口 。
Vả, Giê-rô-bô-am là một người mạnh dạn và tài năng; Sa-lô-môn thấy người tuổi trẻ có tài nghề, bèn đặt người làm đầu xâu cho cả nhà Giô-sép.|耶 羅 波 安 是 大 有 才 能 的 人 ． 所 羅 門 見 這 少 年 人 殷 勤 、 就 派 他 監 管 約 瑟 家 的 一 切 工 程 。
Xảy trong lúc đó, Giê-rô-bô-am ở Giê-ru-sa-lem đi ra, gặp tiên tri A-hi-gia ở Si-lô tại giữa đường, mặc cái áo tơi mới. Chỉ có hai người ở ngoài đồng mà thôi.|一 日 耶 羅 波 安 出 了 耶 路 撒 冷 、 示 羅 人 先 知 亞 希 雅 在 路 上 遇 見 他 ． 亞 希 雅 身 上 穿 著 一 件 新 衣 、 他 們 二 人 在 田 野 、 以 外 並 無 別 人 。
A-hi-gia bèn nắm áo mới người mặc trong mình mà xé ra làm mười miếng.|亞 希 雅 將 自 己 穿 的 那 件 新 衣 撕 成 十 二 片 ．
Đoạn, người nói với Giê-rô-bô-am rằng: Hãy lấy mười miếng về phần ngươi, vì Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên có phán như vậy: Kìa, ta sẽ đoạt lấy nước khỏi tay Sa-lô-môn và trao cho ngươi mười chi phái của nước ấy.|對 耶 羅 波 安 說 、 你 可 以 拿 十 片 ． 耶 和 華 以 色 列 的 　 神 如 此 說 、 我 必 將 國 從 所 羅 門 手 裡 奪 回 、 將 十 個 支 派 賜 給 你 。
Nhưng vì cớ Đa-vít, kẻ tôi tớ ta, và vì cớ Giê-ru-sa-lem, thành ta đã chọn giữa các chi phái Y-sơ-ra-ên, nên sẽ có một chi phái cứ ở trung tín cùng người.|（ 我 因 僕 人 大 衛 、 和 我 在 以 色 列 眾 支 派 中 所 選 擇 的 耶 路 撒 冷 城 的 緣 故 、 仍 給 所 羅 門 留 一 個 支 派 ）
Ay, bởi vì chúng nó đã từ bỏ ta, đi thờ lạy At-tạ-tê, nữ thần của dân Si-đôn, thần xứ Mô-áp, và Minh-côm, thần của dân Am-môn. Chúng nó không đi theo các đường lối ta, đặng làm điều ngay thẳng tại trước mặt ta, và cũng chẳng giữ luật lệ và điều răn ta, y như Đa-vít, cha của Sa-lô-môn, đã làm.|因 為 他 離 棄 我 、 敬 拜 西 頓 人 的 女 神 亞 斯 他 錄 、 摩 押 的 神 基 抹 、 和 亞 捫 人 的 神 米 勒 公 、 沒 有 遵 從 我 的 道 、 行 我 眼 中 看 為 正 的 事 、 守 我 的 律 例 典 章 、 像 他 父 親 大 衛 一 樣 。
Nhưng ta sẽ chẳng cất lấy cả nước khỏi tay Sa-lô-môn; song vì Đa-vít, kẻ tôi tớ ta, ta đã chọn, ta sẽ lập người làm vua trọn đời người sống, bởi vì Đa-vít đã giữ các điều răn và luật lệ ta.|但 我 不 從 他 手 裡 將 全 國 奪 回 、 使 他 終 身 為 君 、 是 因 我 所 揀 選 的 僕 人 大 衛 謹 守 我 的 誡 命 律 例 ．
Nhưng ta sẽ đoạt lấy nước khỏi tay con trai người, mà trao cho ngươi mười chi phái.|我 必 從 他 兒 子 的 手 裡 將 國 奪 回 、 以 十 個 支 派 賜 給 你 ．
Ta sẽ để lại một chi phái cho con trai người, để cho tại Giê-ru-sa-lem, thành ta đã chọn đặng đặt danh ta ở đó, Đa-vít, kẻ tôi tớ ta, hằng có một ngọn đèn trước mặt ta luôn luôn.|還 留 一 個 支 派 給 他 的 兒 子 、 使 我 僕 人 大 衛 在 我 所 選 擇 立 我 名 的 耶 路 撒 冷 城 裡 、 在 我 面 前 、 長 有 燈 光 。
Vậy, ta sẽ chọn ngươi và lập làm vua Y-sơ-ra-ên; ngươi sẽ cai trị theo ý muốn lòng ngươi.|我 必 揀 選 你 、 使 你 照 心 裡 一 切 所 願 的 、 作 王 治 理 以 色 列 。
Và, nếu ngươi vâng theo lịnh ta, đi trong các đường lối ta, làm điều thiện trước mặt ta, giữ gìn luật lệ và điều răn ta, y như Đa-vít, tôi tớ ta, đã làm, thì ta sẽ ở cùng ngươi,|你 若 聽 從 我 一 切 所 吩 咐 你 的 、 遵 行 我 的 道 、 行 我 眼 中 看 為 正 的 事 、 謹 守 我 的 律 例 誡 命 、 像 我 僕 人 大 衛 所 行 的 、 我 就 與 你 同 在 、 為 你 立 堅 固 的 家 、 像 我 為 大 衛 所 立 的 一 樣 、 將 以 色 列 人 賜 給 你 。
lập cho ngươi một nhà vững chắc, y như ta đã lập cho Đa-vít, và ta sẽ ban Y-sơ-ra-ên cho ngươi. Như vậy, ta sẽ làm sỉ nhục dòng dõi Đa-vít, nhưng chẳng phải đời đời.|我 必 因 所 羅 門 所 行 的 、 使 大 衛 後 裔 受 患 難 、 但 不 至 於 永 遠 。
Sa-lô-môn tìm thế giết Giê-rô-bô-am; nhưng Giê-rô-bô-am chạy trốn qua Ê-díp-tô, đến cùng Si-sắc, vua Ê-díp-tô; rồi người ở tại Ê-díp-tô cho đến chừng Sa-lô-môn băng hà.|所 羅 門 因 此 想 要 殺 耶 羅 波 安 ． 耶 羅 波 安 卻 起 身 逃 往 埃 及 、 到 了 埃 及 王 示 撒 那 裡 、 就 住 在 埃 及 、 直 到 所 羅 門 死 了 。
Còn các điều khác về chuyện Sa-lô-môn, mọi việc người, sự khôn ngoan của người, thảy đều đã chép trong sách hành trạng của Sa-lô-môn.|所 羅 門 其 餘 的 事 、 凡 他 所 行 的 、 和 他 的 智 慧 、 都 寫 在 所 羅 門 記 上 。
